Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NXC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NXC_M_R
699,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
700,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
701,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
702,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
703,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
704,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
705,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
706,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
707,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
708,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
709,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
710,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
711,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
712,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
713,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
714,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
715,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
716,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
717,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
718,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
719,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
720,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
721,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
722,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
723,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
724,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
725,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
726,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
727,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
728,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
729,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Wetland
730,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Bareland
731,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Forest
732,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,NULL
733,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
734,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
735,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Water
736,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
737,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
738,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
739,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
740,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
741,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
742,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
743,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
744,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
745,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
746,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
747,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
748,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
749,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
750,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
751,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
752,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
753,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,NULL
754,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
755,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
756,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
757,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
758,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
759,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
760,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
761,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Forest
762,Grassland,NULL,Shrubland,Water,Non_Wetland,Shrubland,Grassland,Grassland
763,Grassland,NULL,Shrubland,Water,Non_Wetland,Shrubland,Wetland,Grassland
764,Grassland,NULL,Shrubland,Water,Non_Wetland,Shrubland,Wetland,Forest
765,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Shrubland,Grassland
766,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
767,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
768,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Water
769,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
770,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,NULL
771,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
772,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Water
773,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
774,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
775,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Water
776,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Forest
777,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,NULL
778,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
779,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
780,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Bareland
781,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Forest
782,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,NULL
783,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
784,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
785,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
786,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Water
787,Grassland,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
788,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
789,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
790,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
791,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
792,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
793,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
794,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
795,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
796,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
797,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
798,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Grassland
799,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Forest
800,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,NULL
801,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
802,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Forest
803,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,NULL
804,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
805,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Forest
806,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Water,Grassland
807,Grassland,NULL,Wetland,NULL,Wetland,Grassland,NULL,NULL
808,Grassland,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
809,Grassland,NULL,Wetland,NULL,Wetland,Grassland,NULL,Forest
810,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,NULL
811,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
812,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Forest
813,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
814,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
815,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
816,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Water
817,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
818,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
819,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
820,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
821,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
822,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Water,NULL
823,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
824,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
825,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
826,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
827,Grassland,NULL,Wetland,NULL,Wetland,Wetland,NULL,NULL
828,Grassland,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
829,Grassland,NULL,Wetland,NULL,Wetland,Wetland,NULL,Wetland
830,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,NULL
831,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Grassland
832,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Wetland
833,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Forest
834,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
835,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
836,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
837,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
838,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
839,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
840,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
841,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
842,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
843,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
844,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
845,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
846,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Grassland,NULL
847,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
848,Grassland,NULL,Wetland,NULL,Wetland,Water,Shrubland,NULL
849,Grassland,NULL,Wetland,NULL,Wetland,Water,Shrubland,Forest
850,Grassland,NULL,Wetland,NULL,Wetland,Water,Grassland,NULL
851,Grassland,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
852,Grassland,NULL,Wetland,NULL,Wetland,Water,Grassland,Wetland
853,Grassland,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
854,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
855,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
856,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
857,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
858,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
859,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Grassland,NULL
860,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Wetland,NULL
861,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Wetland,Grassland
862,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Wetland,Forest
863,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,NULL
864,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
865,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Wetland
866,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,NULL
867,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
868,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
869,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
870,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Wetland
871,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
872,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Wetland
873,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,NULL
874,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
875,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
876,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
877,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Grassland
878,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
879,Grassland,NULL,Wetland,Water,Wetland,Shrubland,Grassland,Forest
880,Grassland,NULL,Wetland,Water,Wetland,Shrubland,Wetland,NULL
881,Grassland,NULL,Wetland,Water,Wetland,Shrubland,Wetland,Grassland
882,Grassland,NULL,Wetland,Water,Wetland,Shrubland,Wetland,Forest
883,Grassland,NULL,Wetland,Water,Wetland,Shrubland,Water,Forest
884,Grassland,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
885,Grassland,NULL,Wetland,Water,Wetland,Grassland,Grassland,Wetland
886,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
887,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
888,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
889,Grassland,NULL,Wetland,Water,Wetland,Grassland,Water,Wetland
890,Grassland,NULL,Wetland,Water,Wetland,Wetland,NULL,Wetland
891,Grassland,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
892,Grassland,NULL,Wetland,Water,Wetland,Wetland,Grassland,Wetland
893,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,NULL
894,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
895,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
896,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
897,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
898,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
899,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
900,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
901,Grassland,NULL,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Grassland
902,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
903,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
904,Grassland,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
905,Grassland,NULL,Water,NULL,Water,Grassland,Grassland,Water
906,Grassland,NULL,Water,NULL,Water,Grassland,Wetland,Grassland
907,Grassland,NULL,Water,NULL,Water,Grassland,Wetland,Wetland
908,Grassland,NULL,Water,NULL,Water,Grassland,Wetland,Forest
909,Grassland,NULL,Water,NULL,Water,Grassland,Water,Grassland
910,Grassland,NULL,Water,NULL,Water,Grassland,Water,Wetland
911,Grassland,NULL,Water,NULL,Water,Wetland,Shrubland,Forest
912,Grassland,NULL,Water,NULL,Water,Wetland,Grassland,NULL
913,Grassland,NULL,Water,NULL,Water,Wetland,Grassland,Grassland
914,Grassland,NULL,Water,NULL,Water,Wetland,Wetland,NULL
915,Grassland,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
916,Grassland,NULL,Water,NULL,Water,Wetland,Water,NULL
917,Grassland,NULL,Water,NULL,Water,Wetland,Water,Forest
918,Grassland,NULL,Water,NULL,Water,Water,Grassland,Wetland
919,Grassland,NULL,Water,NULL,Water,Water,Grassland,Bareland
920,Grassland,NULL,Water,NULL,Water,Water,Wetland,Grassland
921,Grassland,NULL,Water,Non_Water,Water,Grassland,Water,Wetland
922,Grassland,NULL,Water,Water,Water,Shrubland,Wetland,NULL
923,Grassland,NULL,Water,Water,Water,Shrubland,Wetland,Forest
924,Grassland,NULL,Water,Water,Water,Shrubland,Water,NULL
925,Grassland,NULL,Water,Water,Water,Shrubland,Water,Forest
926,Grassland,NULL,Water,Water,Water,Grassland,Grassland,Wetland
927,Grassland,NULL,Water,Water,Water,Grassland,Grassland,Water
928,Grassland,NULL,Water,Water,Water,Grassland,Wetland,NULL
929,Grassland,NULL,Water,Water,Water,Grassland,Wetland,Wetland
930,Grassland,NULL,Water,Water,Water,Grassland,Wetland,Forest
931,Grassland,NULL,Water,Water,Water,Grassland,Water,Grassland
932,Grassland,NULL,Water,Water,Water,Grassland,Water,Wetland
933,Grassland,NULL,Water,Water,Water,Grassland,Water,Water
934,Grassland,NULL,Water,Water,Water,Wetland,Grassland,Grassland
935,Grassland,NULL,Water,Water,Water,Wetland,Grassland,Wetland
936,Grassland,NULL,Water,Water,Water,Wetland,Grassland,Bareland
937,Grassland,NULL,Water,Water,Water,Wetland,Wetland,Grassland
938,Grassland,NULL,Water,Water,Water,Wetland,Wetland,Forest
939,Grassland,NULL,Water,Water,Water,Wetland,Water,Grassland
940,Grassland,NULL,Water,Water,Water,Wetland,Water,Wetland
941,Grassland,NULL,Water,Water,Water,Water,Water,Wetland
942,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
943,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
944,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
945,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
946,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
947,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
948,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
949,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
950,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
951,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
952,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
953,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
954,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
955,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
956,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,NULL
957,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
958,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
959,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,NULL
960,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Grassland
961,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,Forest
962,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
963,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
964,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
965,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
966,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
967,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
968,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
969,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
970,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
971,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
972,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
973,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
974,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
975,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
976,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
977,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
978,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
979,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
980,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Water,NULL
981,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
982,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
983,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
984,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,NULL
985,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
986,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
987,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,NULL
988,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
989,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
990,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
991,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
992,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
993,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
994,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
995,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
996,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
997,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
998,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
999,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1000,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
1001,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1002,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1003,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
1004,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
1005,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
1006,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1007,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1008,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
1009,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Grassland,Forest
1010,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
1011,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1012,Grassland,Water,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
1013,Grassland,Water,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
1014,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1015,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1016,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
1017,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
1018,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
1019,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
1020,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
1021,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1022,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
1023,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
1024,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1025,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
1026,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
1027,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
1028,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
1029,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1030,Grassland,Water,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
1031,Grassland,Water,Wetland,NULL,Wetland,Shrubland,Wetland,Forest
1032,Grassland,Water,Wetland,NULL,Wetland,Shrubland,Water,Grassland
1033,Grassland,Water,Wetland,NULL,Wetland,Grassland,Grassland,Forest
1034,Grassland,Water,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1035,Grassland,Water,Wetland,NULL,Wetland,Grassland,Wetland,Forest
