Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NMJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NMJ_M_R
733,Bareland,Wetland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
734,Bareland,Wetland,Wetland,Water,Wetland,Bareland,Bareland,Water
735,Bareland,Wetland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
736,Bareland,Wetland,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
737,Bareland,Wetland,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
738,Bareland,Wetland,Forest,NULL,Non_Wetland,Bareland,Bareland,Water
739,Bareland,Wetland,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
740,Bareland,Wetland,Forest,Water,Non_Wetland,Bareland,Bareland,Grassland
741,Bareland,Bareland,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
742,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
743,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
744,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
745,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
746,Bareland,Bareland,Shrubland,Water,Non_Wetland,Bareland,Wetland,Bareland
747,Bareland,Bareland,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
748,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
749,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland,Wetland,Bareland
750,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
751,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
752,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
753,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
754,Bareland,Bareland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
755,Bareland,Bareland,Wetland,NULL,Wetland,NULL,Bareland,Forest
756,Bareland,Bareland,Wetland,NULL,Wetland,Grassland,Bareland,Water
757,Bareland,Bareland,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
758,Bareland,Bareland,Wetland,NULL,Wetland,Bareland,Bareland,Forest
759,Bareland,Bareland,Wetland,NULL,Wetland,Bareland,Forest,Water
760,Bareland,Bareland,Wetland,Water,Wetland,Grassland,Bareland,Water
761,Bareland,Bareland,Wetland,Water,Wetland,Grassland,Water,Forest
762,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
763,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Water,Forest
764,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
765,Bareland,Bareland,Water,NULL,Water,Grassland,Bareland,Bareland
766,Bareland,Bareland,Water,NULL,Water,Grassland,Bareland,Water
767,Bareland,Bareland,Water,NULL,Water,Bareland,Bareland,Water
768,Bareland,Bareland,Water,Water,Water,Bareland,Bareland,Grassland
769,Bareland,Bareland,Water,Water,Water,Bareland,Bareland,Water
770,Bareland,Bareland,Water,Water,Water,Bareland,Water,Water
771,Bareland,Bareland,Water,Water,Water,Bareland,Water,Forest
772,Bareland,Bareland,Water,Water,Water,Water,Water,Forest
773,Bareland,Bareland,Forest,NULL,Non_Wetland,Grassland,Bareland,Bareland
774,Bareland,Bareland,Forest,NULL,Non_Wetland,Grassland,Bareland,Water
775,Bareland,Bareland,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
776,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland,Wetland,Water
777,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
778,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
779,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
780,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Water
781,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
782,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland,Water,Grassland
783,Bareland,Bareland,Forest,NULL,Non_Wetland,Water,Bareland,Forest
784,Bareland,Bareland,Forest,NULL,Non_Wetland,Forest,Bareland,Grassland
785,Bareland,Bareland,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
786,Bareland,Bareland,Forest,Water,Non_Wetland,Grassland,Bareland,Water
787,Bareland,Bareland,Forest,Water,Non_Wetland,Bareland,Bareland,Grassland
788,Bareland,Bareland,Forest,Water,Non_Wetland,Bareland,Bareland,Bareland
789,Bareland,Bareland,Forest,Water,Non_Wetland,Bareland,Bareland,Water
790,Bareland,Bareland,Forest,Water,Non_Wetland,Bareland,Bareland,Forest
791,Bareland,Bareland,Forest,Water,Non_Wetland,Bareland,Water,Grassland
792,Bareland,Bareland,Forest,Water,Non_Wetland,Bareland,Forest,Forest
793,Bareland,Built-up,Water,NULL,Water,Bareland,Bareland,Water
794,Bareland,Built-up,Water,Water,Water,Bareland,Bareland,Water
795,Bareland,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
796,Bareland,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
797,Bareland,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
798,Bareland,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
799,Bareland,Built-up,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
800,Bareland,Water,NULL,NULL,Non_Wetland,Water,Water,Water
801,Bareland,Water,NULL,Water,Non_Wetland,Grassland,Water,Water
802,Bareland,Water,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
803,Bareland,Water,Shrubland,NULL,Non_Wetland,Grassland,Water,Water
804,Bareland,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
805,Bareland,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
806,Bareland,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
807,Bareland,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
808,Bareland,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Water
809,Bareland,Water,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
810,Bareland,Water,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
811,Bareland,Water,Shrubland,Water,Non_Wetland,Bareland,Water,Water
812,Bareland,Water,Shrubland,Water,Non_Wetland,Bareland,Forest,Grassland
813,Bareland,Water,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
814,Bareland,Water,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
815,Bareland,Water,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
816,Bareland,Water,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
817,Bareland,Water,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
818,Bareland,Water,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
819,Bareland,Water,Cropland,NULL,Non_Wetland,Bareland,Bareland,Water
820,Bareland,Water,Cropland,NULL,Non_Wetland,Bareland,Water,Water
821,Bareland,Water,Wetland,NULL,Wetland,Grassland,Bareland,Forest
822,Bareland,Water,Wetland,NULL,Wetland,Grassland,Forest,Water
823,Bareland,Water,Wetland,NULL,Wetland,Bareland,Wetland,Water
824,Bareland,Water,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
825,Bareland,Water,Wetland,NULL,Wetland,Bareland,Bareland,Water
826,Bareland,Water,Wetland,NULL,Wetland,Bareland,Water,Forest
827,Bareland,Water,Wetland,NULL,Wetland,Water,Water,Water
828,Bareland,Water,Wetland,NULL,Wetland,Water,Water,Forest
829,Bareland,Water,Wetland,Non_Water,Wetland,Grassland,Water,Water
830,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
831,Bareland,Water,Wetland,Water,Wetland,Grassland,Water,Water
832,Bareland,Water,Wetland,Water,Wetland,Bareland,Wetland,Water
833,Bareland,Water,Wetland,Water,Wetland,Bareland,Bareland,Water
834,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Water
835,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Forest
836,Bareland,Water,Wetland,Water,Wetland,Water,Bareland,Water
837,Bareland,Water,Wetland,Water,Wetland,Water,Water,Water
838,Bareland,Water,Wetland,Water,Wetland,Water,Water,Forest
839,Bareland,Water,Water,NULL,Water,Grassland,Water,Grassland
840,Bareland,Water,Water,NULL,Water,Bareland,Bareland,Bareland
841,Bareland,Water,Water,NULL,Water,Bareland,Bareland,Forest
842,Bareland,Water,Water,NULL,Water,Bareland,Forest,Grassland
843,Bareland,Water,Water,NULL,Water,Water,Bareland,Water
844,Bareland,Water,Water,NULL,Water,Water,Water,Water
845,Bareland,Water,Water,NULL,Water,Water,Forest,Water
846,Bareland,Water,Water,Non_Water,Water,Grassland,Water,Water
847,Bareland,Water,Water,Non_Water,Water,Water,Water,Water
848,Bareland,Water,Water,Water,Water,NULL,Water,Water
849,Bareland,Water,Water,Water,Water,Shrubland,Bareland,Water
850,Bareland,Water,Water,Water,Water,Grassland,Bareland,Water
851,Bareland,Water,Water,Water,Water,Grassland,Water,Water
852,Bareland,Water,Water,Water,Water,Bareland,Wetland,Forest
853,Bareland,Water,Water,Water,Water,Bareland,Bareland,Water
854,Bareland,Water,Water,Water,Water,Bareland,Bareland,Forest
855,Bareland,Water,Water,Water,Water,Bareland,Water,Water
856,Bareland,Water,Water,Water,Water,Water,Wetland,Water
857,Bareland,Water,Water,Water,Water,Water,Bareland,Bareland
858,Bareland,Water,Water,Water,Water,Water,Bareland,Water
859,Bareland,Water,Water,Water,Water,Water,Water,Water
860,Bareland,Water,Water,Water,Water,Water,Water,Forest
861,Bareland,Water,Water,Water,Water,Water,Forest,Water
862,Bareland,Water,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
863,Bareland,Water,Forest,NULL,Non_Wetland,NULL,Forest,Forest
864,Bareland,Water,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
865,Bareland,Water,Forest,NULL,Non_Wetland,Grassland,Bareland,Bareland
866,Bareland,Water,Forest,NULL,Non_Wetland,Grassland,Bareland,Water
867,Bareland,Water,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
868,Bareland,Water,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
869,Bareland,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Water
870,Bareland,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
871,Bareland,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
872,Bareland,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
873,Bareland,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Water
874,Bareland,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
875,Bareland,Water,Forest,NULL,Non_Wetland,Bareland,Water,Grassland
876,Bareland,Water,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
877,Bareland,Water,Forest,NULL,Non_Wetland,Water,Bareland,Water
878,Bareland,Water,Forest,NULL,Non_Wetland,Water,Bareland,Forest
879,Bareland,Water,Forest,NULL,Non_Wetland,Water,Water,Water
880,Bareland,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
881,Bareland,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
882,Bareland,Water,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
883,Bareland,Water,Forest,Water,Non_Wetland,Grassland,Wetland,Water
884,Bareland,Water,Forest,Water,Non_Wetland,Bareland,Bareland,Bareland
885,Bareland,Water,Forest,Water,Non_Wetland,Bareland,Bareland,Water
886,Bareland,Water,Forest,Water,Non_Wetland,Bareland,Bareland,Forest
887,Bareland,Water,Forest,Water,Non_Wetland,Bareland,Water,Water
888,Bareland,Water,Forest,Water,Non_Wetland,Bareland,Water,Forest
889,Bareland,Water,Forest,Water,Non_Wetland,Bareland,Forest,Forest
890,Bareland,Water,Forest,Water,Non_Wetland,Water,Water,Water
891,Bareland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
892,Bareland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
893,Bareland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
894,Bareland,Forest,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
895,Bareland,Forest,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
896,Bareland,Forest,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
897,Bareland,Forest,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
898,Bareland,Forest,Grassland,Water,Non_Wetland,Bareland,Bareland,Bareland
899,Bareland,Forest,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
900,Bareland,Forest,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
901,Bareland,Forest,Wetland,NULL,Wetland,Bareland,Wetland,Bareland
902,Bareland,Forest,Wetland,NULL,Wetland,Water,Forest,Forest
903,Bareland,Forest,Water,NULL,Water,Bareland,Bareland,Bareland
904,Bareland,Forest,Water,Non_Water,Water,Bareland,Bareland,Bareland
905,Bareland,Forest,Water,Water,Water,Grassland,Wetland,Water
906,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
907,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
908,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
909,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
910,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
911,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Bareland
912,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
913,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
914,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
915,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
916,Bareland,Forest,Forest,Water,Non_Wetland,Bareland,Bareland,Forest
917,Water,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
918,Water,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
919,Water,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
920,Water,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
921,Water,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
922,Water,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
923,Water,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
924,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
925,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
926,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
927,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
928,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
929,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
930,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
931,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
932,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
933,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
934,Water,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
935,Water,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
936,Water,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
937,Water,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
938,Water,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
939,Water,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
940,Water,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
941,Water,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
942,Water,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
943,Water,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
944,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
945,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
946,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
947,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
948,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
949,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
950,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
951,Water,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
952,Water,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Forest
953,Water,NULL,Grassland,NULL,Non_Wetland,Forest,Shrubland,Grassland
954,Water,NULL,Grassland,NULL,Non_Wetland,Forest,Shrubland,Forest
955,Water,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
956,Water,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
957,Water,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
958,Water,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Water
959,Water,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Forest
960,Water,NULL,Wetland,NULL,Wetland,NULL,Bareland,Forest
961,Water,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Grassland
962,Water,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
963,Water,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Grassland
964,Water,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
965,Water,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
966,Water,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
967,Water,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
968,Water,NULL,Wetland,NULL,Wetland,Bareland,Water,Forest
969,Water,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
970,Water,NULL,Wetland,Water,Wetland,Bareland,Water,Water
971,Water,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
972,Water,NULL,Water,NULL,Water,Bareland,Bareland,Bareland
973,Water,NULL,Water,NULL,Water,Bareland,Water,Forest
974,Water,NULL,Water,NULL,Water,Water,Forest,Grassland
975,Water,NULL,Water,NULL,Water,Forest,Forest,Grassland
976,Water,NULL,Water,NULL,Water,Forest,Forest,Forest
977,Water,NULL,Water,Non_Water,Water,Bareland,Bareland,Water
978,Water,NULL,Water,Water,Water,Bareland,Bareland,Water
979,Water,NULL,Water,Water,Water,Forest,Bareland,Bareland
980,Water,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
981,Water,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
982,Water,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
983,Water,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
984,Water,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
985,Water,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
986,Water,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
987,Water,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
988,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
989,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
990,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
991,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
992,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
993,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Water
994,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
995,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
996,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Water
997,Water,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
998,Water,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
999,Water,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Water
1000,Water,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
1001,Water,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1002,Water,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
1003,Water,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
1004,Water,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Water
1005,Water,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
1006,Water,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Forest
1007,Water,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
1008,Water,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
1009,Water,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Forest
1010,Water,NULL,Forest,NULL,Non_Wetland,Water,Water,Forest
1011,Water,NULL,Forest,NULL,Non_Wetland,Water,Forest,Grassland
1012,Water,NULL,Forest,NULL,Non_Wetland,Water,Forest,Water
1013,Water,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
1014,Water,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Grassland
1015,Water,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
1016,Water,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
1017,Water,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1018,Water,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
1019,Water,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
1020,Water,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Bareland
1021,Water,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Water
1022,Water,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1023,Water,Wetland,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1024,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
1025,Water,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1026,Water,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1027,Water,Wetland,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
1028,Water,Wetland,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
1029,Water,Wetland,Shrubland,NULL,Non_Wetland,Water,Forest,Bareland
1030,Water,Wetland,Shrubland,NULL,Non_Wetland,Water,Forest,Water
1031,Water,Wetland,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
1032,Water,Wetland,Shrubland,Water,Non_Wetland,Grassland,Bareland,Bareland
1033,Water,Wetland,Shrubland,Water,Non_Wetland,Grassland,Bareland,Water
1034,Water,Wetland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Water
1035,Water,Wetland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1036,Water,Wetland,Grassland,Water,Non_Wetland,Grassland,Bareland,Water
1037,Water,Wetland,Cropland,Water,Non_Wetland,Bareland,Grassland,Forest
1038,Water,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Forest
1039,Water,Wetland,Wetland,NULL,Wetland,NULL,Bareland,Forest
1040,Water,Wetland,Wetland,NULL,Wetland,NULL,Water,Forest
1041,Water,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
1042,Water,Wetland,Wetland,NULL,Wetland,Water,Water,Bareland
1043,Water,Wetland,Wetland,NULL,Wetland,Water,Water,Water
1044,Water,Wetland,Wetland,NULL,Wetland,Water,Water,Forest
1045,Water,Wetland,Wetland,NULL,Wetland,Water,Forest,Forest
1046,Water,Wetland,Wetland,Water,Wetland,Bareland,Wetland,Water
1047,Water,Wetland,Wetland,Water,Wetland,Water,Water,Water
1048,Water,Wetland,Water,NULL,Water,NULL,Wetland,Forest
1049,Water,Wetland,Water,NULL,Water,Bareland,Water,Forest
1050,Water,Wetland,Water,NULL,Water,Water,Bareland,Water
1051,Water,Wetland,Water,NULL,Water,Water,Water,Water
1052,Water,Wetland,Water,NULL,Water,Water,Water,Forest
1053,Water,Wetland,Water,NULL,Water,Water,Forest,Forest
1054,Water,Wetland,Water,NULL,Water,Forest,Bareland,Forest
1055,Water,Wetland,Water,NULL,Water,Forest,Forest,Forest
1056,Water,Wetland,Water,Non_Water,Water,Water,Wetland,Forest
1057,Water,Wetland,Water,Water,Water,NULL,Wetland,Forest
1058,Water,Wetland,Water,Water,Water,Grassland,Bareland,Grassland
1059,Water,Wetland,Water,Water,Water,Grassland,Bareland,Bareland
1060,Water,Wetland,Water,Water,Water,Grassland,Bareland,Water
1061,Water,Wetland,Water,Water,Water,Bareland,Bareland,Water
1062,Water,Wetland,Water,Water,Water,Water,Wetland,Water
1063,Water,Wetland,Water,Water,Water,Water,Bareland,NULL
1064,Water,Wetland,Water,Water,Water,Water,Bareland,Bareland
1065,Water,Wetland,Water,Water,Water,Water,Bareland,Water
1066,Water,Wetland,Water,Water,Water,Water,Bareland,Forest
1067,Water,Wetland,Water,Water,Water,Water,Water,Water
1068,Water,Wetland,Water,Water,Water,Water,Water,Forest
1069,Water,Wetland,Water,Water,Water,Forest,Water,Forest
1070,Water,Wetland,Forest,NULL,Non_Wetland,NULL,Bareland,Water
1071,Water,Wetland,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
1072,Water,Wetland,Forest,NULL,Non_Wetland,Grassland,Bareland,Water
1073,Water,Wetland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1074,Water,Wetland,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
1075,Water,Wetland,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
1076,Water,Wetland,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
1077,Water,Wetland,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
1078,Water,Wetland,Forest,NULL,Non_Wetland,Bareland,Water,Forest
1079,Water,Wetland,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
1080,Water,Wetland,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
1081,Water,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Forest
1082,Water,Wetland,Forest,NULL,Non_Wetland,Water,Bareland,Forest
1083,Water,Wetland,Forest,NULL,Non_Wetland,Water,Water,Water
1084,Water,Wetland,Forest,NULL,Non_Wetland,Water,Water,Forest
1085,Water,Wetland,Forest,NULL,Non_Wetland,Water,Forest,Grassland
1086,Water,Wetland,Forest,NULL,Non_Wetland,Water,Forest,Water
1087,Water,Wetland,Forest,NULL,Non_Wetland,Water,Forest,Forest
1088,Water,Wetland,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
