Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MCC_M_R
1455,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Water
1456,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1457,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Grassland
1458,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Wetland
1459,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Water
1460,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
1461,NULL,Water,Wetland,NULL,Wetland,Wetland,Forest,Grassland
1462,NULL,Water,Wetland,NULL,Wetland,Bareland,Grassland,Wetland
1463,NULL,Water,Wetland,NULL,Wetland,Bareland,Grassland,Forest
1464,NULL,Water,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
1465,NULL,Water,Wetland,NULL,Wetland,Bareland,Wetland,Forest
1466,NULL,Water,Wetland,NULL,Wetland,Bareland,Water,Grassland
1467,NULL,Water,Wetland,NULL,Wetland,Bareland,Water,Water
1468,NULL,Water,Wetland,NULL,Wetland,Bareland,Water,Forest
1469,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
1470,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Wetland
1471,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Water
1472,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
1473,NULL,Water,Wetland,NULL,Wetland,Water,Water,Grassland
1474,NULL,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
1475,NULL,Water,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
1476,NULL,Water,Wetland,Non_Water,Wetland,Grassland,Grassland,Forest
1477,NULL,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
1478,NULL,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
1479,NULL,Water,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
1480,NULL,Water,Wetland,Non_Water,Wetland,Grassland,Water,Wetland
1481,NULL,Water,Wetland,Non_Water,Wetland,Grassland,Water,Water
1482,NULL,Water,Wetland,Non_Water,Wetland,Grassland,Water,Forest
1483,NULL,Water,Wetland,Non_Water,Wetland,Wetland,NULL,Wetland
1484,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
1485,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Grassland,Wetland
1486,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Grassland,Water
1487,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
1488,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
1489,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
1490,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
1491,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
1492,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Water,Water
1493,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
1494,NULL,Water,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
1495,NULL,Water,Wetland,Non_Water,Wetland,Bareland,Wetland,Water
1496,NULL,Water,Wetland,Non_Water,Wetland,Bareland,Wetland,Forest
1497,NULL,Water,Wetland,Non_Water,Wetland,Bareland,Bareland,Grassland
1498,NULL,Water,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
1499,NULL,Water,Wetland,Non_Water,Wetland,Bareland,Water,Wetland
1500,NULL,Water,Wetland,Non_Water,Wetland,Bareland,Water,Water
1501,NULL,Water,Wetland,Non_Water,Wetland,Bareland,Water,Forest
1502,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
1503,NULL,Water,Wetland,Water,Wetland,Grassland,Wetland,Water
1504,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Grassland
1505,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Water
1506,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Forest
1507,NULL,Water,Wetland,Water,Wetland,Wetland,Grassland,Wetland
1508,NULL,Water,Wetland,Water,Wetland,Wetland,Grassland,Water
1509,NULL,Water,Wetland,Water,Wetland,Wetland,Wetland,Wetland
1510,NULL,Water,Wetland,Water,Wetland,Wetland,Wetland,Water
1511,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
1512,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Wetland
1513,NULL,Water,Wetland,Water,Wetland,Bareland,Grassland,Water
1514,NULL,Water,Wetland,Water,Wetland,Bareland,Grassland,Forest
1515,NULL,Water,Wetland,Water,Wetland,Bareland,Wetland,Grassland
1516,NULL,Water,Wetland,Water,Wetland,Bareland,Wetland,Water
1517,NULL,Water,Wetland,Water,Wetland,Bareland,Water,Grassland
1518,NULL,Water,Wetland,Water,Wetland,Bareland,Water,Water
1519,NULL,Water,Wetland,Water,Wetland,Bareland,Water,Forest
1520,NULL,Water,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1521,NULL,Water,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
1522,NULL,Water,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
1523,NULL,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
1524,NULL,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Wetland
1525,NULL,Water,Bareland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
1526,NULL,Water,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1527,NULL,Water,Bareland,Non_Water,Non_Wetland,Wetland,Water,Wetland
1528,NULL,Water,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
1529,NULL,Water,Built-up,Water,Non_Wetland,Bareland,Wetland,Grassland
1530,NULL,Water,Water,NULL,Water,Grassland,Water,Forest
1531,NULL,Water,Water,NULL,Water,Wetland,Wetland,Wetland
1532,NULL,Water,Water,NULL,Water,Wetland,Wetland,Forest
1533,NULL,Water,Water,NULL,Water,Bareland,Water,Water
1534,NULL,Water,Water,NULL,Water,Water,Wetland,Forest
1535,NULL,Water,Water,NULL,Water,Water,Water,Forest
1536,NULL,Water,Water,Non_Water,Water,Wetland,Wetland,Grassland
1537,NULL,Water,Water,Non_Water,Water,Wetland,Wetland,Forest
1538,NULL,Water,Water,Non_Water,Water,Bareland,Forest,Forest
1539,NULL,Water,Water,Water,Water,Grassland,Water,Forest
1540,NULL,Water,Water,Water,Water,Wetland,Wetland,Wetland
1541,NULL,Water,Water,Water,Water,Wetland,Water,Grassland
1542,NULL,Water,Water,Water,Water,Wetland,Water,Wetland
1543,NULL,Water,Water,Water,Water,Wetland,Water,Water
1544,NULL,Water,Water,Water,Water,Water,Water,Water
1545,NULL,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
1546,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1547,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1548,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Water,Forest
1549,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1550,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1551,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1552,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
1553,NULL,Water,Forest,NULL,Non_Wetland,Forest,NULL,Forest
1554,NULL,Water,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1555,NULL,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
1556,NULL,Water,Forest,NULL,Non_Wetland,Forest,Water,Forest
1557,NULL,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1558,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
1559,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland,Water,Forest
1560,NULL,Water,Forest,Water,Non_Wetland,NULL,Wetland,Forest
1561,NULL,Water,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
1562,NULL,Water,Forest,Water,Non_Wetland,Forest,Wetland,Forest
1563,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1564,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1565,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1566,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1567,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
1568,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
1569,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
1570,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1571,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1572,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
1573,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
1574,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
1575,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
1576,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
1577,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
1578,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
1579,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1580,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1581,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
1582,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
1583,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
1584,NULL,Forest,NULL,NULL,Non_Wetland,Water,Wetland,Forest
1585,NULL,Forest,NULL,NULL,Non_Wetland,Forest,NULL,Forest
1586,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
1587,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
1588,NULL,Forest,NULL,Water,Non_Wetland,Water,Wetland,Forest
1589,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
1590,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
1591,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
1592,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1593,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1594,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1595,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
1596,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
1597,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1598,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
1599,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
1600,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
1601,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1602,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
1603,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1604,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
1605,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1606,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
1607,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
1608,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
1609,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
1610,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
1611,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
1612,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
1613,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
1614,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1615,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1616,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
1617,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
1618,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
1619,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
1620,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
1621,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
1622,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
1623,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
1624,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
1625,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1626,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1627,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1628,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
1629,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1630,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
1631,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
1632,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
1633,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
1634,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1635,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
1636,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
1637,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1638,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
1639,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
1640,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
1641,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,Wetland
1642,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
1643,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1644,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
1645,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1646,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
1647,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1648,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
1649,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
1650,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
1651,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
1652,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
1653,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
1654,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
1655,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
1656,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
1657,NULL,Forest,Wetland,NULL,Wetland,NULL,Wetland,Grassland
1658,NULL,Forest,Wetland,NULL,Wetland,NULL,Wetland,Wetland
1659,NULL,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
1660,NULL,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
1661,NULL,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
1662,NULL,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Forest
1663,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1664,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
1665,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1666,NULL,Forest,Wetland,NULL,Wetland,Grassland,Water,Grassland
1667,NULL,Forest,Wetland,NULL,Wetland,Grassland,Forest,Grassland
1668,NULL,Forest,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
1669,NULL,Forest,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
1670,NULL,Forest,Wetland,NULL,Wetland,Wetland,Grassland,Forest
1671,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1672,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
1673,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1674,NULL,Forest,Wetland,NULL,Wetland,Wetland,Water,Grassland
1675,NULL,Forest,Wetland,NULL,Wetland,Wetland,Water,Wetland
1676,NULL,Forest,Wetland,NULL,Wetland,Wetland,Water,Forest
1677,NULL,Forest,Wetland,NULL,Wetland,Wetland,Forest,Grassland
1678,NULL,Forest,Wetland,NULL,Wetland,Wetland,Forest,Wetland
1679,NULL,Forest,Wetland,NULL,Wetland,Wetland,Forest,Forest
1680,NULL,Forest,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
1681,NULL,Forest,Wetland,NULL,Wetland,Bareland,Grassland,Forest
1682,NULL,Forest,Wetland,NULL,Wetland,Bareland,Wetland,Forest
1683,NULL,Forest,Wetland,NULL,Wetland,Bareland,Water,Grassland
1684,NULL,Forest,Wetland,NULL,Wetland,Bareland,Water,Forest
1685,NULL,Forest,Wetland,NULL,Wetland,Bareland,Forest,Grassland
1686,NULL,Forest,Wetland,NULL,Wetland,Water,Wetland,Grassland
1687,NULL,Forest,Wetland,NULL,Wetland,Water,Wetland,Wetland
1688,NULL,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
1689,NULL,Forest,Wetland,NULL,Wetland,Water,Water,Wetland
1690,NULL,Forest,Wetland,NULL,Wetland,Forest,Wetland,Wetland
1691,NULL,Forest,Wetland,NULL,Wetland,Forest,Forest,Forest
1692,NULL,Forest,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
1693,NULL,Forest,Wetland,Non_Water,Wetland,Grassland,Grassland,Forest
1694,NULL,Forest,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
1695,NULL,Forest,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
1696,NULL,Forest,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
1697,NULL,Forest,Wetland,Non_Water,Wetland,Grassland,Water,Forest
1698,NULL,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
1699,NULL,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
1700,NULL,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
1701,NULL,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Forest
1702,NULL,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
1703,NULL,Forest,Wetland,Non_Water,Wetland,Forest,Wetland,Wetland
1704,NULL,Forest,Wetland,Water,Wetland,Grassland,Wetland,Forest
1705,NULL,Forest,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1706,NULL,Forest,Wetland,Water,Wetland,Wetland,Wetland,Wetland
1707,NULL,Forest,Wetland,Water,Wetland,Water,Wetland,Grassland
1708,NULL,Forest,Wetland,Water,Wetland,Water,Water,Grassland
1709,NULL,Forest,Wetland,Water,Wetland,Forest,Wetland,Wetland
1710,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
1711,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1712,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
1713,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1714,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
1715,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
1716,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
1717,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1718,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
1719,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
1720,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1721,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland,Water,Forest
1722,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland,Forest,Grassland
1723,NULL,Forest,Bareland,NULL,Non_Wetland,Water,Wetland,Wetland
1724,NULL,Forest,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
1725,NULL,Forest,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
1726,NULL,Forest,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
1727,NULL,Forest,Built-up,NULL,Non_Wetland,Wetland,Forest,Grassland
1728,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
1729,NULL,Forest,Water,NULL,Water,Wetland,Wetland,Wetland
1730,NULL,Forest,Water,NULL,Water,Wetland,Forest,Grassland
1731,NULL,Forest,Water,NULL,Water,Water,Wetland,Grassland
1732,NULL,Forest,Water,Water,Water,Wetland,Wetland,Wetland
1733,NULL,Forest,Water,Water,Water,Wetland,Wetland,Water
1734,NULL,Forest,Water,Water,Water,Wetland,Wetland,Forest
1735,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
1736,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
1737,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
1738,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
1739,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1740,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1741,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1742,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Wetland
1743,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1744,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Water,Forest
1745,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1746,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1747,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1748,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1749,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1750,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
1751,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1752,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
1753,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
1754,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1755,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
1756,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
1757,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
1758,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Built-up
1759,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
1760,NULL,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
1761,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
1762,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1763,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
1764,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1765,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
1766,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
1767,NULL,Forest,Forest,Water,Non_Wetland,Grassland,Grassland,Forest
1768,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
1769,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1770,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1771,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
1772,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
1773,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1774,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
1775,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
1776,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1777,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1778,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
1779,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
1780,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
1781,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
1782,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
1783,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
1784,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1785,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1786,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Wetland
1787,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
1788,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
1789,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
1790,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
1791,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
1792,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
1793,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
1794,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
1795,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
1796,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
