Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MCR_M_R
2305,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
2306,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland,NULL,Grassland
2307,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
2308,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Forest
2309,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
2310,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland,Bareland,Grassland
2311,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland,Forest,Grassland
2312,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
2313,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
2314,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
2315,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
2316,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
2317,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
2318,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
2319,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
2320,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
2321,Grassland,NULL,Built-up,NULL,Non_Wetland,Water,NULL,Built-up
2322,Grassland,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Grassland
2323,Grassland,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Bareland
2324,Grassland,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Forest
2325,Grassland,NULL,Built-up,NULL,Non_Wetland,Water,Wetland,Grassland
2326,Grassland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
2327,Grassland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
2328,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
2329,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Water,Grassland
2330,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Bareland,NULL,Grassland
2331,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Bareland,NULL,Water
2332,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
2333,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Water,NULL,Grassland
2334,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Water,NULL,Water
2335,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Water,Grassland,Grassland
2336,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Water,Wetland,Grassland
2337,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Water,Water,Grassland
2338,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Water,Water,Water
2339,Grassland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
2340,Grassland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Wetland
2341,Grassland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
2342,Grassland,NULL,Built-up,Water,Non_Wetland,Grassland,NULL,Grassland
2343,Grassland,NULL,Built-up,Water,Non_Wetland,Bareland,NULL,Grassland
2344,Grassland,NULL,Built-up,Water,Non_Wetland,Water,NULL,Grassland
2345,Grassland,NULL,Built-up,Water,Non_Wetland,Water,NULL,Water
2346,Grassland,NULL,Built-up,Water,Non_Wetland,Water,Water,Water
2347,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
2348,Grassland,NULL,Water,NULL,Water,NULL,NULL,Wetland
2349,Grassland,NULL,Water,NULL,Water,NULL,NULL,Water
2350,Grassland,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
2351,Grassland,NULL,Water,NULL,Water,Wetland,NULL,Grassland
2352,Grassland,NULL,Water,NULL,Water,Wetland,Grassland,Grassland
2353,Grassland,NULL,Water,NULL,Water,Wetland,Water,Water
2354,Grassland,NULL,Water,NULL,Water,Bareland,NULL,Grassland
2355,Grassland,NULL,Water,NULL,Water,Bareland,NULL,Forest
2356,Grassland,NULL,Water,NULL,Water,Bareland,Grassland,Grassland
2357,Grassland,NULL,Water,NULL,Water,Bareland,Bareland,Grassland
2358,Grassland,NULL,Water,NULL,Water,Water,Grassland,Grassland
2359,Grassland,NULL,Water,NULL,Water,Water,Wetland,Grassland
2360,Grassland,NULL,Water,NULL,Water,Water,Wetland,Water
2361,Grassland,NULL,Water,NULL,Water,Water,Water,Grassland
2362,Grassland,NULL,Water,NULL,Water,Water,Water,Water
2363,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
2364,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
2365,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Water
2366,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
2367,Grassland,NULL,Water,Non_Water,Water,Grassland,NULL,Grassland
2368,Grassland,NULL,Water,Non_Water,Water,Grassland,Wetland,Grassland
2369,Grassland,NULL,Water,Non_Water,Water,Wetland,NULL,Grassland
2370,Grassland,NULL,Water,Non_Water,Water,Wetland,NULL,Wetland
2371,Grassland,NULL,Water,Non_Water,Water,Wetland,Wetland,Grassland
2372,Grassland,NULL,Water,Non_Water,Water,Wetland,Wetland,Water
2373,Grassland,NULL,Water,Non_Water,Water,Wetland,Water,Grassland
2374,Grassland,NULL,Water,Non_Water,Water,Wetland,Water,Water
2375,Grassland,NULL,Water,Non_Water,Water,Wetland,Water,Forest
2376,Grassland,NULL,Water,Non_Water,Water,Bareland,NULL,Grassland
2377,Grassland,NULL,Water,Non_Water,Water,Bareland,Grassland,Grassland
2378,Grassland,NULL,Water,Non_Water,Water,Bareland,Wetland,Grassland
2379,Grassland,NULL,Water,Non_Water,Water,Bareland,Water,Grassland
2380,Grassland,NULL,Water,Non_Water,Water,Built-up,Water,Grassland
2381,Grassland,NULL,Water,Non_Water,Water,Water,NULL,Grassland
2382,Grassland,NULL,Water,Non_Water,Water,Water,NULL,Wetland
2383,Grassland,NULL,Water,Non_Water,Water,Water,NULL,Water
2384,Grassland,NULL,Water,Non_Water,Water,Water,Wetland,Grassland
2385,Grassland,NULL,Water,Non_Water,Water,Water,Wetland,Water
2386,Grassland,NULL,Water,Non_Water,Water,Water,Water,Grassland
2387,Grassland,NULL,Water,Non_Water,Water,Water,Water,Wetland
2388,Grassland,NULL,Water,Non_Water,Water,Water,Water,Water
2389,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
2390,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
2391,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
2392,Grassland,NULL,Water,Water,Water,NULL,NULL,Forest
2393,Grassland,NULL,Water,Water,Water,Wetland,NULL,Grassland
2394,Grassland,NULL,Water,Water,Water,Wetland,NULL,Wetland
2395,Grassland,NULL,Water,Water,Water,Wetland,NULL,Water
2396,Grassland,NULL,Water,Water,Water,Wetland,Wetland,Grassland
2397,Grassland,NULL,Water,Water,Water,Wetland,Wetland,Wetland
2398,Grassland,NULL,Water,Water,Water,Wetland,Water,Grassland
2399,Grassland,NULL,Water,Water,Water,Wetland,Water,Wetland
2400,Grassland,NULL,Water,Water,Water,Wetland,Water,Water
2401,Grassland,NULL,Water,Water,Water,Bareland,NULL,Grassland
2402,Grassland,NULL,Water,Water,Water,Bareland,NULL,Forest
2403,Grassland,NULL,Water,Water,Water,Bareland,Water,Wetland
2404,Grassland,NULL,Water,Water,Water,Bareland,Water,Water
2405,Grassland,NULL,Water,Water,Water,Built-up,Built-up,Grassland
2406,Grassland,NULL,Water,Water,Water,Built-up,Water,Grassland
2407,Grassland,NULL,Water,Water,Water,Water,NULL,Grassland
2408,Grassland,NULL,Water,Water,Water,Water,NULL,Wetland
2409,Grassland,NULL,Water,Water,Water,Water,NULL,Water
2410,Grassland,NULL,Water,Water,Water,Water,Wetland,Grassland
2411,Grassland,NULL,Water,Water,Water,Water,Wetland,Wetland
2412,Grassland,NULL,Water,Water,Water,Water,Wetland,Water
2413,Grassland,NULL,Water,Water,Water,Water,Water,Grassland
2414,Grassland,NULL,Water,Water,Water,Water,Water,Wetland
2415,Grassland,NULL,Water,Water,Water,Water,Water,Water
2416,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
2417,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
2418,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
2419,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
2420,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
2421,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
2422,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
2423,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
2424,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
2425,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
2426,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
2427,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
2428,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
2429,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
2430,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
2431,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
2432,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
2433,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
2434,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
2435,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
2436,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
2437,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
2438,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
2439,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
2440,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
2441,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
2442,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
2443,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
2444,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
2445,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
2446,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up,Wetland,Grassland
2447,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
2448,Grassland,NULL,Forest,NULL,Non_Wetland,Water,NULL,Grassland
2449,Grassland,NULL,Forest,NULL,Non_Wetland,Water,NULL,Forest
2450,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
2451,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Water
2452,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
2453,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
2454,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
2455,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
2456,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
2457,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
2458,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,NULL,Grassland
2459,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
2460,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
2461,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Water,Forest
2462,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,NULL,Grassland
2463,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
2464,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Water
2465,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Grassland
2466,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Water
2467,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
2468,Grassland,NULL,Forest,Non_Water,Non_Wetland,Bareland,NULL,Grassland
2469,Grassland,NULL,Forest,Non_Water,Non_Wetland,Bareland,Grassland,Water
2470,Grassland,NULL,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
2471,Grassland,NULL,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
2472,Grassland,NULL,Forest,Non_Water,Non_Wetland,Bareland,Water,Grassland
2473,Grassland,NULL,Forest,Non_Water,Non_Wetland,Bareland,Water,Forest
2474,Grassland,NULL,Forest,Non_Water,Non_Wetland,Built-up,Wetland,Grassland
2475,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water,Grassland,Forest
2476,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
2477,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
2478,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Grassland
2479,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest,NULL,Grassland
2480,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
2481,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
2482,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
2483,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,NULL,Grassland
2484,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,NULL,Wetland
2485,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
2486,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
2487,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Water,Wetland
2488,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Water,Water
2489,Grassland,NULL,Forest,Water,Non_Wetland,Bareland,NULL,Grassland
2490,Grassland,NULL,Forest,Water,Non_Wetland,Water,Water,Water
2491,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2492,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
2493,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
2494,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
2495,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
2496,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
2497,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
2498,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
2499,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2500,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
2501,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
2502,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
2503,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
2504,Grassland,Cropland,Water,NULL,Water,NULL,NULL,Grassland
2505,Grassland,Cropland,Water,Non_Water,Water,NULL,NULL,Water
2506,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
2507,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
2508,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
2509,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2510,Grassland,Wetland,NULL,NULL,Non_Wetland,Water,Water,Water
2511,Grassland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
2512,Grassland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
2513,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
2514,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
2515,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
2516,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
2517,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
2518,Grassland,Wetland,NULL,Water,Non_Wetland,Wetland,NULL,Grassland
2519,Grassland,Wetland,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
2520,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
2521,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
2522,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
2523,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
2524,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
2525,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
2526,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
2527,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Water,NULL,Grassland
2528,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
2529,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
2530,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
2531,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
2532,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
2533,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
2534,Grassland,Wetland,Grassland,Water,Non_Wetland,Wetland,NULL,Wetland
2535,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
2536,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
2537,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
2538,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
2539,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
2540,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
2541,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
2542,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,NULL,Grassland
2543,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
2544,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
2545,Grassland,Wetland,Wetland,Non_Water,Wetland,Bareland,NULL,Grassland
2546,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Water
2547,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Water
2548,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
2549,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
2550,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
2551,Grassland,Wetland,Wetland,Water,Wetland,Wetland,NULL,Grassland
2552,Grassland,Wetland,Wetland,Water,Wetland,Wetland,NULL,Wetland
2553,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
2554,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Water,Water
2555,Grassland,Wetland,Wetland,Water,Wetland,Bareland,NULL,Grassland
2556,Grassland,Wetland,Wetland,Water,Wetland,Water,NULL,Grassland
2557,Grassland,Wetland,Wetland,Water,Wetland,Water,Water,Water
2558,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
2559,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
2560,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
2561,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
2562,Grassland,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
2563,Grassland,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Water
2564,Grassland,Wetland,Bareland,Water,Non_Wetland,Wetland,NULL,Grassland
2565,Grassland,Wetland,Bareland,Water,Non_Wetland,Wetland,NULL,Wetland
2566,Grassland,Wetland,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
2567,Grassland,Wetland,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
2568,Grassland,Wetland,Bareland,Water,Non_Wetland,Water,Water,Water
2569,Grassland,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
2570,Grassland,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
2571,Grassland,Wetland,Built-up,NULL,Non_Wetland,Wetland,Bareland,Forest
2572,Grassland,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
2573,Grassland,Wetland,Water,NULL,Water,NULL,NULL,Grassland
2574,Grassland,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
2575,Grassland,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
2576,Grassland,Wetland,Water,Non_Water,Water,NULL,NULL,Water
2577,Grassland,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
2578,Grassland,Wetland,Water,Non_Water,Water,Wetland,NULL,Grassland
2579,Grassland,Wetland,Water,Non_Water,Water,Wetland,NULL,Water
2580,Grassland,Wetland,Water,Non_Water,Water,Wetland,Water,Grassland
2581,Grassland,Wetland,Water,Non_Water,Water,Water,Wetland,Water
2582,Grassland,Wetland,Water,Non_Water,Water,Water,Water,Water
2583,Grassland,Wetland,Water,Water,Water,NULL,NULL,Grassland
2584,Grassland,Wetland,Water,Water,Water,NULL,NULL,Wetland
2585,Grassland,Wetland,Water,Water,Water,NULL,NULL,Water
2586,Grassland,Wetland,Water,Water,Water,Wetland,NULL,Grassland
2587,Grassland,Wetland,Water,Water,Water,Wetland,NULL,Wetland
2588,Grassland,Wetland,Water,Water,Water,Wetland,Water,Water
2589,Grassland,Wetland,Water,Water,Water,Water,Water,Grassland
2590,Grassland,Wetland,Water,Water,Water,Water,Water,Water
2591,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
2592,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
2593,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
2594,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,NULL,Grassland
2595,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Water,NULL,Grassland
2596,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Water,Water,Grassland
2597,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Water,Water,Water
2598,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
2599,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
2600,Grassland,Wetland,Forest,Water,Non_Wetland,Wetland,NULL,Grassland
2601,Grassland,Bareland,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
2602,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2603,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
2604,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
2605,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
2606,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2607,Grassland,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
2608,Grassland,Built-up,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
2609,Grassland,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
2610,Grassland,Built-up,Shrubland,Water,Non_Wetland,Built-up,Built-up,Grassland
2611,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
2612,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
2613,Grassland,Built-up,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
2614,Grassland,Built-up,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
2615,Grassland,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
2616,Grassland,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,Built-up
2617,Grassland,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
2618,Grassland,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
2619,Grassland,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
2620,Grassland,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
2621,Grassland,Built-up,Grassland,NULL,Non_Wetland,Water,NULL,Grassland
2622,Grassland,Built-up,Grassland,Water,Non_Wetland,Built-up,Built-up,Grassland
2623,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
2624,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
2625,Grassland,Built-up,Built-up,NULL,Non_Wetland,Wetland,NULL,Grassland
2626,Grassland,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
2627,Grassland,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
2628,Grassland,Built-up,Built-up,NULL,Non_Wetland,Water,NULL,Built-up
2629,Grassland,Built-up,Water,NULL,Water,Bareland,NULL,Grassland
2630,Grassland,Built-up,Water,Non_Water,Water,Bareland,NULL,Grassland
2631,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
2632,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Water
2633,Grassland,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
2634,Grassland,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
2635,Grassland,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
2636,Grassland,Built-up,Forest,Non_Water,Non_Wetland,Water,NULL,Grassland
2637,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
2638,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
2639,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
2640,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
2641,Grassland,Water,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
