Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KMP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KMP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KMP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KMP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KMP_M_R
1358,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Water,Water
1359,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Water,Forest
1360,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
1361,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Forest,Built-up
1362,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Forest,Forest
1363,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
1364,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
1365,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1366,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
1367,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
1368,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland,Built-up,Grassland
1369,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
1370,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,NULL,Wetland
1371,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,NULL,Built-up
1372,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
1373,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1374,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Built-up,Grassland
1375,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Built-up,Built-up
1376,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Built-up,Forest
1377,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
1378,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Bareland
1379,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Built-up
1380,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
1381,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
1382,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Grassland
1383,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Built-up
1384,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Water
1385,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Forest
1386,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Water,Grassland
1387,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Water,Forest
1388,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
1389,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,NULL,Grassland
1390,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,NULL,Bareland
1391,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,NULL,Built-up
1392,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,NULL,Forest
1393,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
1394,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Bareland
1395,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
1396,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Wetland,Built-up
1397,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Wetland,Forest
1398,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Grassland
1399,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Built-up
1400,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Forest
1401,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
1402,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Built-up
1403,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Water
1404,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Forest
1405,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Water,Built-up
1406,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Water,Forest
1407,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Forest,Grassland
1408,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Forest,Built-up
1409,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Forest,Forest
1410,NULL,Built-up,Forest,NULL,Non_Wetland,Water,NULL,Water
1411,NULL,Built-up,Forest,NULL,Non_Wetland,Water,NULL,Forest
1412,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Built-up,Wetland
1413,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Built-up,Water
1414,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Built-up,Forest
1415,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Water,Built-up
1416,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Water,Water
1417,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Water,Forest
1418,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
1419,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,NULL,Cropland
1420,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,NULL,Built-up
1421,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,NULL,Forest
1422,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
1423,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1424,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Bareland,Grassland
1425,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Built-up,Grassland
1426,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Built-up,Forest
1427,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Water,Forest
1428,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
1429,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Forest,Bareland
1430,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Forest,Built-up
1431,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1432,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
1433,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Built-up
1434,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
1435,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
1436,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,Built-up,Grassland
1437,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,Built-up,Forest
1438,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,Water,Water
1439,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,Water,Forest
1440,NULL,Built-up,Forest,Non_Water,Non_Wetland,Bareland,Built-up,Forest
1441,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up,NULL,Built-up
1442,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up,NULL,Forest
1443,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up,Built-up,Built-up
1444,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up,Built-up,Forest
1445,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up,Water,Forest
1446,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest,NULL,Forest
1447,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest,Built-up,Forest
1448,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest,Water,Forest
1449,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Water
1450,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Forest
1451,NULL,Built-up,Forest,Water,Non_Wetland,NULL,Water,Water
1452,NULL,Built-up,Forest,Water,Non_Wetland,NULL,Water,Forest
1453,NULL,Built-up,Forest,Water,Non_Wetland,Built-up,Built-up,Grassland
1454,NULL,Built-up,Forest,Water,Non_Wetland,Water,Water,Forest
1455,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1456,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1457,NULL,Water,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
1458,NULL,Water,NULL,NULL,Non_Wetland,NULL,Water,Forest
1459,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1460,NULL,Water,NULL,NULL,Non_Wetland,Water,NULL,Forest
1461,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
1462,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
1463,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
1464,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
1465,NULL,Water,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
1466,NULL,Water,NULL,Non_Water,Non_Wetland,Water,Forest,Grassland
1467,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1468,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1469,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
1470,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
1471,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
1472,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
1473,NULL,Water,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
1474,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1475,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
1476,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,Water,Grassland
1477,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1478,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
1479,NULL,Water,Shrubland,Non_Water,Non_Wetland,Built-up,NULL,Built-up
1480,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
1481,NULL,Water,Shrubland,Water,Non_Wetland,NULL,Water,Grassland
1482,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
1483,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
1484,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
1485,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
1486,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Water,Forest
1487,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
1488,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
1489,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1490,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
1491,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
1492,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
1493,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1494,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Built-up,Bareland
1495,NULL,Water,Cropland,NULL,Non_Wetland,Water,NULL,Water
1496,NULL,Water,Cropland,NULL,Non_Wetland,Forest,Forest,Grassland
1497,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1498,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
1499,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
1500,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,Water,Grassland
1501,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,Forest,Forest
1502,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
1503,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1504,NULL,Water,Cropland,Non_Water,Non_Wetland,Water,NULL,Cropland
1505,NULL,Water,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
1506,NULL,Water,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
1507,NULL,Water,Cropland,Water,Non_Wetland,Wetland,Water,Water
1508,NULL,Water,Cropland,Water,Non_Wetland,Bareland,Built-up,Grassland
1509,NULL,Water,Wetland,NULL,NULL,NULL,NULL,Water
1510,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
1511,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
1512,NULL,Water,Wetland,NULL,Wetland,NULL,Water,Water
1513,NULL,Water,Wetland,NULL,Wetland,NULL,Water,Forest
1514,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
1515,NULL,Water,Wetland,NULL,Wetland,Bareland,NULL,Bareland
1516,NULL,Water,Wetland,NULL,Wetland,Bareland,Built-up,Bareland
1517,NULL,Water,Wetland,NULL,Wetland,Bareland,Built-up,Water
1518,NULL,Water,Wetland,NULL,Wetland,Water,NULL,Grassland
1519,NULL,Water,Wetland,NULL,Wetland,Water,Bareland,Water
1520,NULL,Water,Wetland,NULL,Wetland,Water,Built-up,Water
1521,NULL,Water,Wetland,NULL,Wetland,Water,Built-up,Forest
1522,NULL,Water,Wetland,Non_Water,NULL,NULL,NULL,Water
1523,NULL,Water,Wetland,Non_Water,NULL,NULL,NULL,Forest
1524,NULL,Water,Wetland,Non_Water,NULL,NULL,Water,Forest
1525,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
1526,NULL,Water,Wetland,Non_Water,Wetland,NULL,Water,Grassland
1527,NULL,Water,Wetland,Non_Water,Wetland,Bareland,Built-up,Grassland
1528,NULL,Water,Wetland,Non_Water,Wetland,Bareland,Built-up,Bareland
1529,NULL,Water,Wetland,Non_Water,Wetland,Bareland,Built-up,Water
1530,NULL,Water,Wetland,Non_Water,Wetland,Bareland,Water,Bareland
1531,NULL,Water,Wetland,Non_Water,Wetland,Bareland,Water,Water
1532,NULL,Water,Wetland,Non_Water,Wetland,Built-up,Built-up,Grassland
1533,NULL,Water,Wetland,Non_Water,Wetland,Water,NULL,Grassland
1534,NULL,Water,Wetland,Non_Water,Wetland,Water,Built-up,Forest
1535,NULL,Water,Wetland,Water,NULL,NULL,NULL,Grassland
1536,NULL,Water,Wetland,Water,NULL,NULL,NULL,Water
1537,NULL,Water,Wetland,Water,NULL,NULL,NULL,Forest
1538,NULL,Water,Wetland,Water,NULL,NULL,Built-up,Water
1539,NULL,Water,Wetland,Water,NULL,Built-up,Built-up,Grassland
1540,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
1541,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
1542,NULL,Water,Wetland,Water,Wetland,Grassland,NULL,Grassland
1543,NULL,Water,Wetland,Water,Wetland,Bareland,Built-up,Bareland
1544,NULL,Water,Wetland,Water,Wetland,Bareland,Built-up,Water
1545,NULL,Water,Wetland,Water,Wetland,Bareland,Water,Bareland
1546,NULL,Water,Wetland,Water,Wetland,Bareland,Water,Water
1547,NULL,Water,Wetland,Water,Wetland,Built-up,Built-up,Grassland
1548,NULL,Water,Wetland,Water,Wetland,Built-up,Built-up,Built-up
1549,NULL,Water,Wetland,Water,Wetland,Water,Built-up,Water
1550,NULL,Water,Wetland,Water,Wetland,Water,Water,Grassland
1551,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1552,NULL,Water,Bareland,Non_Water,Non_Wetland,Water,Bareland,Wetland
1553,NULL,Water,Bareland,Water,Non_Wetland,NULL,Water,Grassland
1554,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
1555,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
1556,NULL,Water,Built-up,NULL,Non_Wetland,NULL,Built-up,Forest
1557,NULL,Water,Built-up,NULL,Non_Wetland,NULL,Water,Bareland
1558,NULL,Water,Built-up,NULL,Non_Wetland,NULL,Water,Forest
1559,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
1560,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
1561,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
1562,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
1563,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
1564,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
1565,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Built-up,Water
1566,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
1567,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Water,Bareland
1568,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Water,Built-up
1569,NULL,Water,Built-up,NULL,Non_Wetland,Built-up,NULL,Built-up
1570,NULL,Water,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
1571,NULL,Water,Built-up,NULL,Non_Wetland,Water,Built-up,Water
1572,NULL,Water,Built-up,NULL,Non_Wetland,Water,Water,Built-up
1573,NULL,Water,Built-up,NULL,Non_Wetland,Water,Water,Forest
1574,NULL,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
1575,NULL,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
1576,NULL,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
1577,NULL,Water,Built-up,Non_Water,Non_Wetland,NULL,Water,Grassland
1578,NULL,Water,Built-up,Non_Water,Non_Wetland,NULL,Water,Forest
1579,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland,NULL,Grassland
1580,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland,NULL,Built-up
1581,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
1582,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
1583,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
1584,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland,Built-up,Bareland
1585,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland,Built-up,Water
1586,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland,Water,Bareland
1587,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland,Water,Built-up
1588,NULL,Water,Built-up,Non_Water,Non_Wetland,Built-up,Built-up,Bareland
1589,NULL,Water,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
1590,NULL,Water,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
1591,NULL,Water,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
1592,NULL,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
1593,NULL,Water,Built-up,Water,Non_Wetland,NULL,Water,Built-up
1594,NULL,Water,Built-up,Water,Non_Wetland,Bareland,NULL,Bareland
1595,NULL,Water,Built-up,Water,Non_Wetland,Bareland,Bareland,Grassland
1596,NULL,Water,Built-up,Water,Non_Wetland,Bareland,Built-up,Grassland
1597,NULL,Water,Built-up,Water,Non_Wetland,Bareland,Built-up,Bareland
1598,NULL,Water,Built-up,Water,Non_Wetland,Bareland,Built-up,Water
1599,NULL,Water,Built-up,Water,Non_Wetland,Bareland,Water,Bareland
1600,NULL,Water,Built-up,Water,Non_Wetland,Bareland,Water,Forest
1601,NULL,Water,Built-up,Water,Non_Wetland,Built-up,Built-up,Built-up
1602,NULL,Water,Built-up,Water,Non_Wetland,Built-up,Water,Grassland
1603,NULL,Water,Built-up,Water,Non_Wetland,Built-up,Water,Water
1604,NULL,Water,Built-up,Water,Non_Wetland,Water,Water,Grassland
1605,NULL,Water,Built-up,Water,Non_Wetland,Water,Water,Water
1606,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
1607,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
1608,NULL,Water,Water,NULL,Water,NULL,Built-up,Forest
1609,NULL,Water,Water,NULL,Water,NULL,Water,Water
1610,NULL,Water,Water,NULL,Water,Water,Water,Forest
1611,NULL,Water,Water,Non_Water,Water,NULL,NULL,Grassland
1612,NULL,Water,Water,Non_Water,Water,NULL,NULL,Cropland
1613,NULL,Water,Water,Water,NULL,NULL,Water,Forest
1614,NULL,Water,Water,Water,NULL,Water,Water,Water
1615,NULL,Water,Water,Water,Water,NULL,NULL,Water
1616,NULL,Water,Water,Water,Water,NULL,NULL,Forest
1617,NULL,Water,Water,Water,Water,NULL,Water,Grassland
1618,NULL,Water,Water,Water,Water,Water,NULL,Grassland
1619,NULL,Water,Water,Water,Water,Water,Water,Water
1620,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1621,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1622,NULL,Water,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
1623,NULL,Water,Forest,NULL,Non_Wetland,NULL,Water,Grassland
1624,NULL,Water,Forest,NULL,Non_Wetland,NULL,Water,Water
1625,NULL,Water,Forest,NULL,Non_Wetland,NULL,Water,Forest
1626,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Water,Forest
1627,NULL,Water,Forest,NULL,Non_Wetland,Water,NULL,Forest
1628,NULL,Water,Forest,NULL,Non_Wetland,Water,Bareland,Water
1629,NULL,Water,Forest,NULL,Non_Wetland,Water,Built-up,Water
1630,NULL,Water,Forest,NULL,Non_Wetland,Water,Water,Bareland
1631,NULL,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
1632,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
1633,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
1634,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,Water,Grassland
1635,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
1636,NULL,Water,Forest,Water,Non_Wetland,NULL,Water,Grassland
1637,NULL,Water,Forest,Water,Non_Wetland,Water,Water,Water
1638,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1639,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1640,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
1641,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1642,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
1643,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
1644,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1645,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
1646,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1647,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
1648,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
1649,NULL,Forest,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
1650,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1651,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
1652,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1653,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
1654,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
1655,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
1656,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
1657,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
1658,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
1659,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
1660,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1661,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
1662,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
1663,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1664,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up,NULL,Bareland
1665,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
1666,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
1667,NULL,Forest,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
1668,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
1669,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
1670,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
1671,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
1672,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
1673,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1674,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
1675,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
1676,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
1677,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
1678,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
1679,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
1680,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Built-up,Forest
1681,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Water,Forest
1682,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
1683,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
1684,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
1685,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
1686,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1687,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1688,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1689,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
1690,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
1691,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
1692,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
1693,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
1694,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,NULL,Bareland
1695,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,NULL,Built-up
1696,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,NULL,Forest
1697,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,Bareland,Built-up
1698,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,Forest,Grassland
1699,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,Forest,Forest
