Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LCE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LCE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LCE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LCE_M_R
676,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
677,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
678,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
679,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
680,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
681,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
682,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
683,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
684,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
685,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
686,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
687,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
688,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
689,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
690,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
691,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
692,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
693,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
694,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
695,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
696,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
697,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
698,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
699,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
700,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
701,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
702,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
703,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
704,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
705,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
706,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
707,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
708,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
709,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
710,Cropland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
711,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
712,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
713,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
714,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
715,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
716,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
717,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
718,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
719,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
720,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
721,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
722,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
723,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
724,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
725,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
726,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
727,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
728,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
729,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
730,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
731,Cropland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
732,Cropland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
733,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
734,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
735,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
736,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
737,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
738,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
739,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
740,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
741,Cropland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
742,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
743,Cropland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
744,Cropland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
745,Cropland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
746,Cropland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
747,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
748,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
749,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
750,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
751,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
752,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
753,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
754,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
755,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
756,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
757,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
758,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
759,Wetland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
760,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
761,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
762,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
763,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
764,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
765,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
766,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
767,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
768,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
769,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
770,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
771,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
772,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
773,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
774,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
775,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
776,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
777,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
778,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
779,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
780,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
781,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
782,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
783,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
784,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
785,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Water
786,Wetland,Wetland,Water,Water,Water,NULL,NULL,Wetland
787,Wetland,Wetland,Water,Water,Water,NULL,NULL,Water
788,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
789,Wetland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
790,Wetland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
791,Wetland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
792,Wetland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
793,Wetland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
794,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
795,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
796,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
797,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
798,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
799,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
800,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
801,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
802,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
803,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
804,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Permanent_ice_and_snow
805,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
806,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
807,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
808,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
809,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
810,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
811,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
812,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
813,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
814,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
815,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
816,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
817,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
818,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
819,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Permanent_ice_and_snow
820,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
821,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
822,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
823,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
824,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
825,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
826,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
827,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
828,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
829,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
830,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
831,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
832,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
833,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
834,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
835,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
836,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
837,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
838,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
839,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
840,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
841,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Permanent_ice_and_snow
842,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
843,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
844,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
845,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
846,Bareland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
847,Bareland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
848,Bareland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
849,Bareland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
850,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
851,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
852,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
853,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
854,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
855,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
856,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
857,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
858,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
859,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
860,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
861,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
862,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
863,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
864,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
865,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
866,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
867,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
868,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
869,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
870,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
871,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
872,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
873,Bareland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
874,Bareland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
875,Bareland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Water
876,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Bareland
877,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
878,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
879,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
880,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
881,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Lichens_and_Mosses
882,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
883,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
884,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
885,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Permanent_ice_and_snow
886,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
887,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
888,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
889,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Built-up
890,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
891,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
892,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
893,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
894,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
895,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
896,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
897,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
898,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
899,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
900,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
901,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
902,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
903,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
904,Bareland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
905,Bareland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
906,Bareland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
907,Bareland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
908,Bareland,NULL,Water,NULL,Water,NULL,NULL,Grassland
909,Bareland,NULL,Water,NULL,Water,NULL,NULL,Bareland
910,Bareland,NULL,Water,NULL,Water,NULL,NULL,Water
911,Bareland,NULL,Water,NULL,Water,NULL,NULL,Permanent_ice_and_snow
912,Bareland,NULL,Water,NULL,Water,NULL,NULL,Forest
913,Bareland,NULL,Water,Non_Water,Water,NULL,NULL,Water
914,Bareland,NULL,Water,Water,Water,NULL,NULL,Grassland
915,Bareland,NULL,Water,Water,Water,NULL,NULL,Wetland
916,Bareland,NULL,Water,Water,Water,NULL,NULL,Bareland
917,Bareland,NULL,Water,Water,Water,NULL,NULL,Water
918,Bareland,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,NULL,NULL,Grassland
919,Bareland,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,NULL,NULL,Bareland
920,Bareland,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,NULL,NULL,Permanent_ice_and_snow
921,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
922,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
923,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
924,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
925,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
926,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
927,Bareland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
928,Bareland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
929,Bareland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
930,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
931,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
932,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
933,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
934,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
935,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
936,Bareland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
937,Bareland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
938,Bareland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
939,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
940,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
941,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
942,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
943,Bareland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
944,Bareland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
945,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
946,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
947,Bareland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
948,Bareland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
949,Bareland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
950,Bareland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
951,Bareland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
952,Bareland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
953,Bareland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
954,Bareland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
955,Bareland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
956,Bareland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
957,Bareland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
958,Bareland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
959,Bareland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
960,Bareland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
961,Bareland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
962,Bareland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
963,Bareland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
964,Bareland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Permanent_ice_and_snow
965,Bareland,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
966,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
967,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
968,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
969,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Water
970,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Permanent_ice_and_snow
971,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
972,Bareland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
973,Bareland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
974,Bareland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
975,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
976,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
977,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Lichens_and_Mosses
978,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
979,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
980,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
981,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Permanent_ice_and_snow
982,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
983,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
984,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
985,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
986,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
987,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
988,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
989,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
990,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
991,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
992,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
993,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
994,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
995,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
996,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
997,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Water
998,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
999,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
1000,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
1001,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
1002,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
1003,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Permanent_ice_and_snow
1004,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
1005,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
1006,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
