Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MGM_M_R
1187,Grassland,NULL,Water,Water,Water,Grassland,Water,Water
1188,Grassland,NULL,Water,Water,Water,Wetland,Wetland,Grassland
1189,Grassland,NULL,Water,Water,Water,Wetland,Wetland,Wetland
1190,Grassland,NULL,Water,Water,Water,Wetland,Wetland,Water
1191,Grassland,NULL,Water,Water,Water,Wetland,Wetland,Forest
1192,Grassland,NULL,Water,Water,Water,Wetland,Water,Grassland
1193,Grassland,NULL,Water,Water,Water,Wetland,Water,Wetland
1194,Grassland,NULL,Water,Water,Water,Wetland,Water,Water
1195,Grassland,NULL,Water,Water,Water,Wetland,Forest,Water
1196,Grassland,NULL,Water,Water,Water,Water,Grassland,Grassland
1197,Grassland,NULL,Water,Water,Water,Water,Wetland,Grassland
1198,Grassland,NULL,Water,Water,Water,Water,Wetland,Water
1199,Grassland,NULL,Water,Water,Water,Water,Water,Grassland
1200,Grassland,NULL,Water,Water,Water,Water,Water,Wetland
1201,Grassland,NULL,Water,Water,Water,Water,Water,Water
1202,Grassland,NULL,Water,Water,Water,Water,Water,Forest
1203,Grassland,NULL,Water,Water,Water,Water,Forest,Water
1204,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1205,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1206,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1207,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1208,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1209,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
1210,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
1211,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1212,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1213,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
1214,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1215,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1216,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1217,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1218,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
1219,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
1220,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
1221,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
1222,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1223,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1224,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up,Shrubland,Grassland
1225,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
1226,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
1227,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
1228,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
1229,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Water
1230,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
1231,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Water,Water
1232,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Forest,Grassland
1233,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Forest,Water
1234,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
1235,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1236,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1237,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
1238,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Forest
1239,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1240,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Grassland
1241,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Water
1242,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
1243,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Forest
1244,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
1245,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Forest
1246,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,NULL,Grassland
1247,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Grassland,Grassland
1248,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Grassland,Forest
1249,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
1250,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
1251,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Bareland,Forest
1252,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Water,Grassland
1253,Grassland,NULL,Forest,Water,Non_Wetland,Bareland,Wetland,Grassland
1254,Grassland,NULL,Forest,Water,Non_Wetland,Water,Water,Water
1255,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1256,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1257,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1258,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1259,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1260,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1261,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1262,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1263,Grassland,Cropland,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
1264,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1265,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1266,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1267,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1268,Grassland,Wetland,Wetland,NULL,Wetland,Water,Water,Grassland
1269,Grassland,Wetland,Wetland,Water,Wetland,Grassland,Wetland,Grassland
1270,Grassland,Wetland,Wetland,Water,Wetland,Grassland,Water,Water
1271,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1272,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Water,Forest
1273,Grassland,Wetland,Water,Water,Water,Grassland,Wetland,Water
1274,Grassland,Wetland,Water,Water,Water,Wetland,Wetland,Water
1275,Grassland,Wetland,Water,Water,Water,Wetland,Water,Water
1276,Grassland,Wetland,Water,Water,Water,Wetland,Forest,Water
1277,Grassland,Wetland,Water,Water,Water,Water,Water,Grassland
1278,Grassland,Bareland,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
1279,Grassland,Bareland,Wetland,Water,Wetland,Water,Water,Water
1280,Grassland,Bareland,Water,Water,Water,Water,Water,Water
1281,Grassland,Built-up,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
1282,Grassland,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1283,Grassland,Built-up,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
1284,Grassland,Built-up,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
1285,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1286,Grassland,Built-up,Cropland,Water,Non_Wetland,Wetland,Water,Water
1287,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
1288,Grassland,Built-up,Forest,NULL,Non_Wetland,Built-up,Shrubland,Grassland
1289,Grassland,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
1290,Grassland,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
1291,Grassland,Built-up,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
1292,Grassland,Water,Grassland,Water,Non_Wetland,Water,Water,Water
1293,Grassland,Water,Cropland,Water,Non_Wetland,Grassland,Water,Grassland
1294,Grassland,Water,Cropland,Water,Non_Wetland,Wetland,Water,Grassland
1295,Grassland,Water,Cropland,Water,Non_Wetland,Water,Water,Forest
1296,Grassland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1297,Grassland,Water,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
1298,Grassland,Water,Wetland,NULL,Wetland,Water,Water,Forest
1299,Grassland,Water,Wetland,Non_Water,Wetland,Grassland,Water,Forest
1300,Grassland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
1301,Grassland,Water,Wetland,Water,Wetland,Grassland,Water,Grassland
1302,Grassland,Water,Wetland,Water,Wetland,Grassland,Water,Water
1303,Grassland,Water,Wetland,Water,Wetland,Wetland,Grassland,Water
1304,Grassland,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1305,Grassland,Water,Wetland,Water,Wetland,Wetland,Bareland,Forest
1306,Grassland,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
1307,Grassland,Water,Wetland,Water,Wetland,Wetland,Water,Water
1308,Grassland,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
1309,Grassland,Water,Wetland,Water,Wetland,Water,Water,Grassland
1310,Grassland,Water,Wetland,Water,Wetland,Water,Water,Wetland
1311,Grassland,Water,Wetland,Water,Wetland,Water,Water,Water
1312,Grassland,Water,Wetland,Water,Wetland,Water,Water,Forest
1313,Grassland,Water,Water,NULL,Water,Wetland,Water,Grassland
1314,Grassland,Water,Water,NULL,Water,Water,Wetland,Forest
1315,Grassland,Water,Water,Non_Water,Water,Wetland,Water,Grassland
1316,Grassland,Water,Water,Water,Water,Grassland,Water,Water
1317,Grassland,Water,Water,Water,Water,Wetland,Wetland,Grassland
1318,Grassland,Water,Water,Water,Water,Wetland,Wetland,Water
1319,Grassland,Water,Water,Water,Water,Wetland,Water,Water
1320,Grassland,Water,Water,Water,Water,Bareland,Water,Water
1321,Grassland,Water,Water,Water,Water,Water,Wetland,Water
1322,Grassland,Water,Water,Water,Water,Water,Water,Grassland
1323,Grassland,Water,Water,Water,Water,Water,Water,Water
1324,Grassland,Water,Water,Water,Water,Water,Water,Forest
1325,Grassland,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1326,Grassland,Water,Forest,Water,Non_Wetland,Wetland,Grassland,Forest
1327,Grassland,Water,Forest,Water,Non_Wetland,Wetland,Bareland,Grassland
1328,Grassland,Water,Forest,Water,Non_Wetland,Wetland,Water,Forest
1329,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1330,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1331,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
1332,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1333,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1334,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1335,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland,Bareland,Grassland
1336,Grassland,Forest,Cropland,Water,Non_Wetland,Wetland,Wetland,Grassland
1337,Grassland,Forest,Cropland,Water,Non_Wetland,Wetland,Water,Grassland
1338,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Forest
1339,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1340,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Water,Forest
1341,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Forest,Forest
1342,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
1343,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1344,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1345,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Water,Grassland
1346,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Water,Forest
1347,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Forest,Grassland
1348,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Forest,Forest
1349,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
1350,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
1351,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Water
1352,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Forest
1353,Grassland,Forest,Wetland,Water,Wetland,NULL,Wetland,Forest
1354,Grassland,Forest,Wetland,Water,Wetland,Grassland,Wetland,Grassland
1355,Grassland,Forest,Wetland,Water,Wetland,Grassland,Wetland,Water
1356,Grassland,Forest,Wetland,Water,Wetland,Grassland,Wetland,Forest
1357,Grassland,Forest,Wetland,Water,Wetland,Grassland,Water,Grassland
1358,Grassland,Forest,Wetland,Water,Wetland,Grassland,Water,Water
1359,Grassland,Forest,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1360,Grassland,Forest,Wetland,Water,Wetland,Wetland,Water,Grassland
1361,Grassland,Forest,Wetland,Water,Wetland,Wetland,Water,Water
1362,Grassland,Forest,Wetland,Water,Wetland,Wetland,Water,Forest
1363,Grassland,Forest,Wetland,Water,Wetland,Bareland,Water,Grassland
1364,Grassland,Forest,Wetland,Water,Wetland,Water,Wetland,Grassland
1365,Grassland,Forest,Wetland,Water,Wetland,Water,Wetland,Water
1366,Grassland,Forest,Wetland,Water,Wetland,Water,Water,Water
1367,Grassland,Forest,Bareland,NULL,Non_Wetland,Wetland,Bareland,Forest
1368,Grassland,Forest,Water,NULL,Water,Wetland,Grassland,Grassland
1369,Grassland,Forest,Water,Non_Water,Water,Wetland,Water,Water
1370,Grassland,Forest,Water,Non_Water,Water,Wetland,Water,Forest
1371,Grassland,Forest,Water,Water,Water,Grassland,Water,Grassland
1372,Grassland,Forest,Water,Water,Water,Grassland,Water,Water
1373,Grassland,Forest,Water,Water,Water,Wetland,Grassland,Water
1374,Grassland,Forest,Water,Water,Water,Wetland,Wetland,Grassland
1375,Grassland,Forest,Water,Water,Water,Wetland,Wetland,Water
1376,Grassland,Forest,Water,Water,Water,Wetland,Water,Grassland
1377,Grassland,Forest,Water,Water,Water,Wetland,Water,Forest
1378,Grassland,Forest,Water,Water,Water,Water,Water,Grassland
1379,Grassland,Forest,Water,Water,Water,Water,Water,Water
1380,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1381,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1382,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1383,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1384,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1385,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1386,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1387,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
1388,Grassland,Forest,Forest,Water,Non_Wetland,Grassland,Water,Grassland
1389,Grassland,Forest,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
1390,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1391,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1392,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
1393,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1394,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1395,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1396,Cropland,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
1397,Cropland,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
1398,Cropland,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Water
1399,Cropland,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
1400,Cropland,NULL,NULL,Water,Non_Wetland,Water,Water,Water
1401,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1402,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1403,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1404,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Water
1405,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
1406,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1407,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1408,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
1409,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
1410,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
1411,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1412,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1413,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1414,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
1415,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
1416,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1417,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1418,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
1419,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1420,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
1421,Cropland,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
1422,Cropland,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Bareland
1423,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1424,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1425,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
1426,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
1427,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland,Water,Water
1428,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Grassland
1429,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Grassland
1430,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Water
1431,Cropland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
1432,Cropland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1433,Cropland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1434,Cropland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1435,Cropland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1436,Cropland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
1437,Cropland,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
1438,Cropland,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
1439,Cropland,NULL,Wetland,NULL,Wetland,Water,Water,Water
1440,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
1441,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
1442,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
1443,Cropland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
1444,Cropland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
1445,Cropland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
1446,Cropland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
1447,Cropland,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
1448,Cropland,NULL,Wetland,Water,Wetland,Grassland,Water,Water
1449,Cropland,NULL,Wetland,Water,Wetland,Grassland,Water,Forest
1450,Cropland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1451,Cropland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Bareland
1452,Cropland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
1453,Cropland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
1454,Cropland,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
1455,Cropland,NULL,Wetland,Water,Wetland,Wetland,Water,Water
1456,Cropland,NULL,Wetland,Water,Wetland,Wetland,Forest,Water
1457,Cropland,NULL,Wetland,Water,Wetland,Bareland,Grassland,Water
1458,Cropland,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
1459,Cropland,NULL,Wetland,Water,Wetland,Bareland,Wetland,Water
1460,Cropland,NULL,Wetland,Water,Wetland,Bareland,Bareland,Water
1461,Cropland,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
1462,Cropland,NULL,Wetland,Water,Wetland,Bareland,Water,Bareland
1463,Cropland,NULL,Wetland,Water,Wetland,Bareland,Water,Water
1464,Cropland,NULL,Wetland,Water,Wetland,Built-up,Water,Water
1465,Cropland,NULL,Wetland,Water,Wetland,Water,Grassland,Water
1466,Cropland,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
1467,Cropland,NULL,Wetland,Water,Wetland,Water,Wetland,Water
1468,Cropland,NULL,Wetland,Water,Wetland,Water,Water,Grassland
1469,Cropland,NULL,Wetland,Water,Wetland,Water,Water,Wetland
1470,Cropland,NULL,Wetland,Water,Wetland,Water,Water,Bareland
1471,Cropland,NULL,Wetland,Water,Wetland,Water,Water,Water
1472,Cropland,NULL,Wetland,Water,Wetland,Water,Water,Forest
1473,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1474,Cropland,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
1475,Cropland,NULL,Bareland,Water,Non_Wetland,Water,Grassland,Water
1476,Cropland,NULL,Bareland,Water,Non_Wetland,Water,Water,Grassland
1477,Cropland,NULL,Bareland,Water,Non_Wetland,Water,Water,Water
1478,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1479,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
1480,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
1481,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
1482,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
1483,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
1484,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1485,Cropland,NULL,Built-up,Water,Non_Wetland,Grassland,Wetland,Grassland
1486,Cropland,NULL,Built-up,Water,Non_Wetland,Bareland,Grassland,Grassland
1487,Cropland,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
1488,Cropland,NULL,Water,NULL,Water,Wetland,Water,Water
1489,Cropland,NULL,Water,NULL,Water,Water,Wetland,Grassland
1490,Cropland,NULL,Water,NULL,Water,Water,Wetland,Water
1491,Cropland,NULL,Water,NULL,Water,Water,Water,Grassland
1492,Cropland,NULL,Water,NULL,Water,Water,Water,Water
1493,Cropland,NULL,Water,Water,Water,Grassland,Wetland,Grassland
1494,Cropland,NULL,Water,Water,Water,Grassland,Water,Grassland
1495,Cropland,NULL,Water,Water,Water,Grassland,Water,Water
1496,Cropland,NULL,Water,Water,Water,Wetland,Wetland,Grassland
1497,Cropland,NULL,Water,Water,Water,Wetland,Wetland,Water
1498,Cropland,NULL,Water,Water,Water,Wetland,Water,Grassland
1499,Cropland,NULL,Water,Water,Water,Wetland,Water,Water
1500,Cropland,NULL,Water,Water,Water,Bareland,Wetland,Water
1501,Cropland,NULL,Water,Water,Water,Bareland,Water,Grassland
1502,Cropland,NULL,Water,Water,Water,Bareland,Water,Water
1503,Cropland,NULL,Water,Water,Water,Water,Wetland,Grassland
1504,Cropland,NULL,Water,Water,Water,Water,Wetland,Water
1505,Cropland,NULL,Water,Water,Water,Water,Water,Wetland
1506,Cropland,NULL,Water,Water,Water,Water,Water,Water
1507,Cropland,NULL,Water,Water,Water,Water,Water,Forest
1508,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1509,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1510,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1511,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1512,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1513,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1514,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1515,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1516,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1517,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
1518,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1519,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1520,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
1521,Cropland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
1522,Cropland,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
1523,Cropland,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Water
1524,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1525,Cropland,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
1526,Cropland,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
1527,Cropland,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
1528,Cropland,NULL,Forest,Water,Non_Wetland,Wetland,Water,Forest
1529,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1530,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1531,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1532,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1533,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
