Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20PQR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PQR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PQR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PQR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PQR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20PQR_M_R
466,Water,Water,Water,Water,Water,Cropland
467,Water,Water,Water,Water,Water,Wetland
468,Water,Water,Water,Water,Water,Bareland
469,Water,Water,Water,Water,Water,Built-up
470,Water,Water,Water,Water,Water,Water
471,Water,Water,Water,Water,Water,Forest
472,Water,Water,Forest,NULL,Non_Wetland,Grassland
473,Water,Water,Forest,NULL,Non_Wetland,Wetland
474,Water,Water,Forest,NULL,Non_Wetland,Built-up
475,Water,Water,Forest,NULL,Non_Wetland,Water
476,Water,Water,Forest,NULL,Non_Wetland,Forest
477,Water,Water,Forest,Non_Water,Non_Wetland,Grassland
478,Water,Water,Forest,Non_Water,Non_Wetland,Wetland
479,Water,Water,Forest,Non_Water,Non_Wetland,Built-up
480,Water,Water,Forest,Non_Water,Non_Wetland,Water
481,Water,Water,Forest,Non_Water,Non_Wetland,Forest
482,Water,Water,Forest,Water,Non_Wetland,Grassland
483,Water,Water,Forest,Water,Non_Wetland,Wetland
484,Water,Water,Forest,Water,Non_Wetland,Water
485,Water,Water,Forest,Water,Non_Wetland,Forest
486,Water,Forest,Shrubland,NULL,Non_Wetland,Grassland
487,Water,Forest,Shrubland,NULL,Non_Wetland,Wetland
488,Water,Forest,Shrubland,NULL,Non_Wetland,Forest
489,Water,Forest,Grassland,NULL,Non_Wetland,Grassland
490,Water,Forest,Grassland,NULL,Non_Wetland,Wetland
491,Water,Forest,Grassland,NULL,Non_Wetland,Forest
492,Water,Forest,Grassland,Non_Water,Non_Wetland,Grassland
493,Water,Forest,Cropland,NULL,Non_Wetland,Grassland
494,Water,Forest,Cropland,NULL,Non_Wetland,Wetland
495,Water,Forest,Cropland,NULL,Non_Wetland,Forest
496,Water,Forest,Wetland,NULL,NULL,Forest
497,Water,Forest,Wetland,NULL,Wetland,NULL
498,Water,Forest,Wetland,NULL,Wetland,Grassland
499,Water,Forest,Wetland,NULL,Wetland,Wetland
500,Water,Forest,Wetland,NULL,Wetland,Bareland
501,Water,Forest,Wetland,NULL,Wetland,Water
502,Water,Forest,Wetland,NULL,Wetland,Forest
503,Water,Forest,Wetland,Non_Water,NULL,Wetland
504,Water,Forest,Wetland,Non_Water,Wetland,Grassland
505,Water,Forest,Wetland,Non_Water,Wetland,Wetland
506,Water,Forest,Wetland,Non_Water,Wetland,Bareland
507,Water,Forest,Wetland,Non_Water,Wetland,Built-up
508,Water,Forest,Wetland,Non_Water,Wetland,Water
509,Water,Forest,Wetland,Non_Water,Wetland,Forest
510,Water,Forest,Wetland,Water,NULL,Water
511,Water,Forest,Wetland,Water,Wetland,Wetland
512,Water,Forest,Wetland,Water,Wetland,Water
513,Water,Forest,Wetland,Water,Wetland,Forest
514,Water,Forest,Built-up,NULL,Non_Wetland,Built-up
515,Water,Forest,Built-up,Water,Non_Wetland,Forest
516,Water,Forest,Water,NULL,NULL,Wetland
517,Water,Forest,Water,NULL,NULL,Water
518,Water,Forest,Water,NULL,NULL,Forest
519,Water,Forest,Water,NULL,Water,Grassland
520,Water,Forest,Water,NULL,Water,Wetland
521,Water,Forest,Water,NULL,Water,Water
522,Water,Forest,Water,NULL,Water,Forest
523,Water,Forest,Water,Non_Water,Water,Wetland
524,Water,Forest,Water,Non_Water,Water,Water
525,Water,Forest,Water,Water,NULL,Forest
526,Water,Forest,Water,Water,Water,Grassland
527,Water,Forest,Water,Water,Water,Wetland
528,Water,Forest,Water,Water,Water,Bareland
529,Water,Forest,Water,Water,Water,Water
530,Water,Forest,Water,Water,Water,Forest
531,Water,Forest,Forest,NULL,Non_Wetland,Grassland
532,Water,Forest,Forest,NULL,Non_Wetland,Wetland
533,Water,Forest,Forest,NULL,Non_Wetland,Bareland
534,Water,Forest,Forest,NULL,Non_Wetland,Water
535,Water,Forest,Forest,NULL,Non_Wetland,Forest
536,Water,Forest,Forest,Non_Water,Non_Wetland,Wetland
537,Water,Forest,Forest,Non_Water,Non_Wetland,Built-up
538,Water,Forest,Forest,Non_Water,Non_Wetland,Water
539,Water,Forest,Forest,Non_Water,Non_Wetland,Forest
540,Water,Forest,Forest,Water,Non_Wetland,Wetland
541,Water,Forest,Forest,Water,Non_Wetland,Water
542,Water,Forest,Forest,Water,Non_Wetland,Forest
543,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,Wetland
544,Permanent_ice_and_snow,NULL,Cropland,NULL,Non_Wetland,Wetland
545,Permanent_ice_and_snow,NULL,Wetland,NULL,Wetland,Grassland
546,Permanent_ice_and_snow,NULL,Wetland,NULL,Wetland,Wetland
547,Permanent_ice_and_snow,NULL,Wetland,NULL,Wetland,Forest
548,Permanent_ice_and_snow,NULL,Forest,NULL,Non_Wetland,Forest
549,Permanent_ice_and_snow,Wetland,Wetland,Non_Water,Wetland,Wetland
550,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,Grassland
551,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,Wetland
552,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,Water
553,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,Forest
554,Permanent_ice_and_snow,Water,Wetland,Non_Water,Wetland,Water
555,Permanent_ice_and_snow,Water,Wetland,Non_Water,Wetland,Forest
556,Permanent_ice_and_snow,Water,Wetland,Water,Wetland,Water
557,Permanent_ice_and_snow,Water,Wetland,Water,Wetland,Forest
558,Permanent_ice_and_snow,Water,Water,NULL,Water,Wetland
559,Permanent_ice_and_snow,Water,Water,NULL,Water,Water
560,Permanent_ice_and_snow,Water,Water,Non_Water,Water,Water
561,Permanent_ice_and_snow,Water,Water,Water,NULL,Water
562,Permanent_ice_and_snow,Water,Water,Water,Water,Water
563,Permanent_ice_and_snow,Water,Water,Water,Water,Forest
564,Permanent_ice_and_snow,Water,Forest,NULL,Non_Wetland,Forest
565,Permanent_ice_and_snow,Water,Forest,Water,Non_Wetland,Water
566,Permanent_ice_and_snow,Water,Forest,Water,Non_Wetland,Forest
567,Permanent_ice_and_snow,Forest,Wetland,NULL,Wetland,Grassland
568,Permanent_ice_and_snow,Forest,Wetland,NULL,Wetland,Wetland
569,Permanent_ice_and_snow,Forest,Wetland,NULL,Wetland,Forest
570,Permanent_ice_and_snow,Forest,Wetland,Non_Water,Wetland,Wetland
571,Permanent_ice_and_snow,Forest,Wetland,Non_Water,Wetland,Forest
572,Permanent_ice_and_snow,Forest,Wetland,Water,Wetland,Forest
573,Permanent_ice_and_snow,Forest,Water,NULL,Water,Wetland
574,Permanent_ice_and_snow,Forest,Water,NULL,Water,Water
575,Permanent_ice_and_snow,Forest,Water,NULL,Water,Forest
576,Permanent_ice_and_snow,Forest,Water,Non_Water,Water,Forest
577,Permanent_ice_and_snow,Forest,Water,Water,Water,Water
578,Permanent_ice_and_snow,Forest,Water,Water,Water,Forest
579,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,Wetland
580,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,Forest
581,Permanent_ice_and_snow,Forest,Forest,Non_Water,Non_Wetland,Water
582,Permanent_ice_and_snow,Forest,Forest,Non_Water,Non_Wetland,Forest
583,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
584,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland
585,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
586,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
587,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland
588,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
589,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
590,Forest,NULL,Cropland,NULL,Non_Wetland,Wetland
591,Forest,NULL,Wetland,NULL,Wetland,NULL
592,Forest,NULL,Wetland,NULL,Wetland,Grassland
593,Forest,NULL,Wetland,NULL,Wetland,Wetland
594,Forest,NULL,Wetland,NULL,Wetland,Bareland
595,Forest,NULL,Wetland,NULL,Wetland,Forest
596,Forest,NULL,Wetland,Non_Water,NULL,Wetland
597,Forest,NULL,Wetland,Non_Water,Wetland,NULL
598,Forest,NULL,Wetland,Non_Water,Wetland,Grassland
599,Forest,NULL,Wetland,Non_Water,Wetland,Wetland
600,Forest,NULL,Wetland,Non_Water,Wetland,Forest
601,Forest,NULL,Wetland,Water,Wetland,Wetland
602,Forest,NULL,Water,Non_Water,Water,Wetland
603,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
604,Forest,NULL,Forest,NULL,Non_Wetland,Wetland
605,Forest,NULL,Forest,NULL,Non_Wetland,Forest
606,Forest,NULL,Forest,Non_Water,Non_Wetland,Wetland
607,Forest,Wetland,Wetland,NULL,Wetland,Wetland
608,Forest,Wetland,Wetland,NULL,Wetland,Forest
609,Forest,Wetland,Wetland,Non_Water,Wetland,Wetland
610,Forest,Wetland,Wetland,Non_Water,Wetland,Water
611,Forest,Wetland,Wetland,Non_Water,Wetland,Forest
612,Forest,Wetland,Wetland,Water,Wetland,Wetland
613,Forest,Wetland,Wetland,Water,Wetland,Water
614,Forest,Wetland,Water,Water,Water,Wetland
615,Forest,Wetland,Water,Water,Water,Water
616,Forest,Wetland,Forest,Non_Water,Non_Wetland,Wetland
617,Forest,Wetland,Forest,Non_Water,Non_Wetland,Forest
618,Forest,Bareland,Wetland,Non_Water,Wetland,Water
619,Forest,Built-up,Wetland,NULL,Wetland,Built-up
620,Forest,Water,NULL,NULL,Non_Wetland,Wetland
621,Forest,Water,NULL,Non_Water,Non_Wetland,Grassland
622,Forest,Water,NULL,Non_Water,Non_Wetland,Wetland
623,Forest,Water,NULL,Water,Non_Wetland,Grassland
624,Forest,Water,NULL,Water,Non_Wetland,Wetland
625,Forest,Water,NULL,Water,Non_Wetland,Bareland
626,Forest,Water,NULL,Water,Non_Wetland,Water
627,Forest,Water,Shrubland,NULL,Non_Wetland,Grassland
628,Forest,Water,Shrubland,NULL,Non_Wetland,Wetland
629,Forest,Water,Shrubland,NULL,Non_Wetland,Water
630,Forest,Water,Shrubland,NULL,Non_Wetland,Forest
631,Forest,Water,Shrubland,Non_Water,Non_Wetland,Grassland
632,Forest,Water,Shrubland,Non_Water,Non_Wetland,Wetland
633,Forest,Water,Shrubland,Non_Water,Non_Wetland,Bareland
634,Forest,Water,Shrubland,Non_Water,Non_Wetland,Forest
635,Forest,Water,Shrubland,Water,Non_Wetland,Wetland
636,Forest,Water,Shrubland,Water,Non_Wetland,Bareland
637,Forest,Water,Shrubland,Water,Non_Wetland,Water
638,Forest,Water,Shrubland,Water,Non_Wetland,Forest
639,Forest,Water,Grassland,Water,Non_Wetland,Grassland
640,Forest,Water,Cropland,NULL,Non_Wetland,Grassland
641,Forest,Water,Cropland,NULL,Non_Wetland,Wetland
642,Forest,Water,Cropland,NULL,Non_Wetland,Forest
643,Forest,Water,Cropland,Non_Water,Non_Wetland,Grassland
644,Forest,Water,Cropland,Non_Water,Non_Wetland,Wetland
645,Forest,Water,Cropland,Non_Water,Non_Wetland,Water
646,Forest,Water,Cropland,Non_Water,Non_Wetland,Forest
647,Forest,Water,Cropland,Water,Non_Wetland,Grassland
648,Forest,Water,Cropland,Water,Non_Wetland,Water
649,Forest,Water,Wetland,NULL,NULL,Grassland
650,Forest,Water,Wetland,NULL,NULL,Wetland
651,Forest,Water,Wetland,NULL,NULL,Water
652,Forest,Water,Wetland,NULL,NULL,Forest
653,Forest,Water,Wetland,NULL,Wetland,Grassland
654,Forest,Water,Wetland,NULL,Wetland,Wetland
655,Forest,Water,Wetland,NULL,Wetland,Bareland
656,Forest,Water,Wetland,NULL,Wetland,Built-up
657,Forest,Water,Wetland,NULL,Wetland,Water
658,Forest,Water,Wetland,NULL,Wetland,Forest
659,Forest,Water,Wetland,Non_Water,NULL,Wetland
660,Forest,Water,Wetland,Non_Water,NULL,Bareland
661,Forest,Water,Wetland,Non_Water,NULL,Water
662,Forest,Water,Wetland,Non_Water,NULL,Forest
663,Forest,Water,Wetland,Non_Water,Wetland,Grassland
664,Forest,Water,Wetland,Non_Water,Wetland,Cropland
665,Forest,Water,Wetland,Non_Water,Wetland,Wetland
666,Forest,Water,Wetland,Non_Water,Wetland,Bareland
667,Forest,Water,Wetland,Non_Water,Wetland,Built-up
668,Forest,Water,Wetland,Non_Water,Wetland,Water
669,Forest,Water,Wetland,Non_Water,Wetland,Forest
670,Forest,Water,Wetland,Water,NULL,Grassland
671,Forest,Water,Wetland,Water,NULL,Wetland
672,Forest,Water,Wetland,Water,NULL,Bareland
673,Forest,Water,Wetland,Water,NULL,Water
674,Forest,Water,Wetland,Water,Wetland,Grassland
675,Forest,Water,Wetland,Water,Wetland,Cropland
676,Forest,Water,Wetland,Water,Wetland,Wetland
677,Forest,Water,Wetland,Water,Wetland,Bareland
678,Forest,Water,Wetland,Water,Wetland,Water
679,Forest,Water,Wetland,Water,Wetland,Forest
680,Forest,Water,Bareland,NULL,Non_Wetland,Forest
681,Forest,Water,Bareland,Non_Water,Non_Wetland,Water
682,Forest,Water,Built-up,NULL,Non_Wetland,Grassland
683,Forest,Water,Built-up,NULL,Non_Wetland,Forest
684,Forest,Water,Built-up,Non_Water,Non_Wetland,Grassland
685,Forest,Water,Built-up,Non_Water,Non_Wetland,Wetland
686,Forest,Water,Built-up,Water,Non_Wetland,Built-up
687,Forest,Water,Water,NULL,NULL,Grassland
688,Forest,Water,Water,NULL,NULL,Wetland
689,Forest,Water,Water,NULL,NULL,Water
690,Forest,Water,Water,NULL,NULL,Forest
691,Forest,Water,Water,NULL,Water,Grassland
692,Forest,Water,Water,NULL,Water,Wetland
693,Forest,Water,Water,NULL,Water,Bareland
694,Forest,Water,Water,NULL,Water,Built-up
695,Forest,Water,Water,NULL,Water,Water
696,Forest,Water,Water,NULL,Water,Forest
697,Forest,Water,Water,Non_Water,NULL,Grassland
698,Forest,Water,Water,Non_Water,NULL,Wetland
699,Forest,Water,Water,Non_Water,NULL,Water
700,Forest,Water,Water,Non_Water,NULL,Forest
701,Forest,Water,Water,Non_Water,Water,Wetland
702,Forest,Water,Water,Non_Water,Water,Water
703,Forest,Water,Water,Non_Water,Water,Forest
704,Forest,Water,Water,Water,NULL,Grassland
705,Forest,Water,Water,Water,NULL,Wetland
706,Forest,Water,Water,Water,NULL,Bareland
707,Forest,Water,Water,Water,NULL,Water
708,Forest,Water,Water,Water,NULL,Forest
709,Forest,Water,Water,Water,Water,Grassland
710,Forest,Water,Water,Water,Water,Wetland
711,Forest,Water,Water,Water,Water,Bareland
712,Forest,Water,Water,Water,Water,Water
713,Forest,Water,Water,Water,Water,Forest
714,Forest,Water,Forest,NULL,Non_Wetland,Grassland
715,Forest,Water,Forest,NULL,Non_Wetland,Wetland
716,Forest,Water,Forest,NULL,Non_Wetland,Built-up
717,Forest,Water,Forest,NULL,Non_Wetland,Water
718,Forest,Water,Forest,NULL,Non_Wetland,Forest
719,Forest,Water,Forest,Non_Water,Non_Wetland,Grassland
720,Forest,Water,Forest,Non_Water,Non_Wetland,Wetland
721,Forest,Water,Forest,Non_Water,Non_Wetland,Water
722,Forest,Water,Forest,Non_Water,Non_Wetland,Forest
723,Forest,Water,Forest,Water,Non_Wetland,Grassland
724,Forest,Water,Forest,Water,Non_Wetland,Wetland
725,Forest,Water,Forest,Water,Non_Wetland,Water
726,Forest,Water,Forest,Water,Non_Wetland,Forest
727,Forest,Forest,NULL,Water,Non_Wetland,Grassland
728,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
729,Forest,Forest,Shrubland,NULL,Non_Wetland,Wetland
730,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
731,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
732,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
733,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Built-up
734,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Water
735,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Forest
736,Forest,Forest,Shrubland,Water,Non_Wetland,Grassland
737,Forest,Forest,Shrubland,Water,Non_Wetland,Wetland
738,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
739,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland
740,Forest,Forest,Grassland,NULL,Non_Wetland,Forest
741,Forest,Forest,Grassland,Non_Water,Non_Wetland,Grassland
742,Forest,Forest,Grassland,Non_Water,Non_Wetland,Wetland
743,Forest,Forest,Grassland,Non_Water,Non_Wetland,Forest
744,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
745,Forest,Forest,Cropland,NULL,Non_Wetland,Wetland
746,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
747,Forest,Forest,Cropland,Non_Water,Non_Wetland,Grassland
748,Forest,Forest,Cropland,Non_Water,Non_Wetland,Forest
749,Forest,Forest,Wetland,NULL,NULL,Grassland
750,Forest,Forest,Wetland,NULL,NULL,Wetland
751,Forest,Forest,Wetland,NULL,NULL,Bareland
752,Forest,Forest,Wetland,NULL,NULL,Water
753,Forest,Forest,Wetland,NULL,NULL,Forest
754,Forest,Forest,Wetland,NULL,Wetland,NULL
755,Forest,Forest,Wetland,NULL,Wetland,Grassland
756,Forest,Forest,Wetland,NULL,Wetland,Wetland
757,Forest,Forest,Wetland,NULL,Wetland,Bareland
758,Forest,Forest,Wetland,NULL,Wetland,Built-up
759,Forest,Forest,Wetland,NULL,Wetland,Water
760,Forest,Forest,Wetland,NULL,Wetland,Forest
761,Forest,Forest,Wetland,Non_Water,NULL,Grassland
762,Forest,Forest,Wetland,Non_Water,NULL,Wetland
763,Forest,Forest,Wetland,Non_Water,NULL,Bareland
764,Forest,Forest,Wetland,Non_Water,NULL,Water
765,Forest,Forest,Wetland,Non_Water,NULL,Forest
766,Forest,Forest,Wetland,Non_Water,Wetland,NULL
767,Forest,Forest,Wetland,Non_Water,Wetland,Grassland
768,Forest,Forest,Wetland,Non_Water,Wetland,Wetland
769,Forest,Forest,Wetland,Non_Water,Wetland,Bareland
770,Forest,Forest,Wetland,Non_Water,Wetland,Built-up
771,Forest,Forest,Wetland,Non_Water,Wetland,Water
772,Forest,Forest,Wetland,Non_Water,Wetland,Forest
773,Forest,Forest,Wetland,Water,NULL,Wetland
774,Forest,Forest,Wetland,Water,NULL,Water
775,Forest,Forest,Wetland,Water,NULL,Forest
776,Forest,Forest,Wetland,Water,Wetland,Grassland
777,Forest,Forest,Wetland,Water,Wetland,Wetland
778,Forest,Forest,Wetland,Water,Wetland,Bareland
779,Forest,Forest,Wetland,Water,Wetland,Water
780,Forest,Forest,Wetland,Water,Wetland,Forest
781,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
782,Forest,Forest,Built-up,NULL,Non_Wetland,Grassland
783,Forest,Forest,Built-up,NULL,Non_Wetland,Wetland
784,Forest,Forest,Built-up,NULL,Non_Wetland,Built-up
785,Forest,Forest,Built-up,NULL,Non_Wetland,Forest
786,Forest,Forest,Built-up,Non_Water,Non_Wetland,Grassland
787,Forest,Forest,Built-up,Non_Water,Non_Wetland,Wetland
788,Forest,Forest,Built-up,Non_Water,Non_Wetland,Built-up
789,Forest,Forest,Built-up,Non_Water,Non_Wetland,Forest
790,Forest,Forest,Built-up,Water,Non_Wetland,Wetland
791,Forest,Forest,Built-up,Water,Non_Wetland,Forest
792,Forest,Forest,Water,NULL,NULL,Grassland
793,Forest,Forest,Water,NULL,NULL,Wetland
794,Forest,Forest,Water,NULL,NULL,Water
795,Forest,Forest,Water,NULL,NULL,Forest
796,Forest,Forest,Water,NULL,Water,Grassland
797,Forest,Forest,Water,NULL,Water,Wetland
798,Forest,Forest,Water,NULL,Water,Bareland
799,Forest,Forest,Water,NULL,Water,Water
800,Forest,Forest,Water,NULL,Water,Forest
801,Forest,Forest,Water,Non_Water,NULL,Wetland
802,Forest,Forest,Water,Non_Water,NULL,Water
803,Forest,Forest,Water,Non_Water,NULL,Forest
804,Forest,Forest,Water,Non_Water,Water,Grassland
805,Forest,Forest,Water,Non_Water,Water,Wetland
806,Forest,Forest,Water,Non_Water,Water,Bareland
807,Forest,Forest,Water,Non_Water,Water,Water
808,Forest,Forest,Water,Non_Water,Water,Forest
809,Forest,Forest,Water,Water,NULL,Wetland
810,Forest,Forest,Water,Water,NULL,Water
811,Forest,Forest,Water,Water,NULL,Forest
812,Forest,Forest,Water,Water,Water,Grassland
813,Forest,Forest,Water,Water,Water,Wetland
814,Forest,Forest,Water,Water,Water,Bareland
815,Forest,Forest,Water,Water,Water,Water
816,Forest,Forest,Water,Water,Water,Forest
817,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
818,Forest,Forest,Forest,NULL,Non_Wetland,Wetland
819,Forest,Forest,Forest,NULL,Non_Wetland,Bareland
820,Forest,Forest,Forest,NULL,Non_Wetland,Built-up
821,Forest,Forest,Forest,NULL,Non_Wetland,Water
822,Forest,Forest,Forest,NULL,Non_Wetland,Forest
823,Forest,Forest,Forest,Non_Water,Non_Wetland,Grassland
824,Forest,Forest,Forest,Non_Water,Non_Wetland,Wetland
825,Forest,Forest,Forest,Non_Water,Non_Wetland,Bareland
826,Forest,Forest,Forest,Non_Water,Non_Wetland,Built-up
827,Forest,Forest,Forest,Non_Water,Non_Wetland,Water
828,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest
829,Forest,Forest,Forest,Water,Non_Wetland,Wetland
830,Forest,Forest,Forest,Water,Non_Wetland,Water
831,Forest,Forest,Forest,Water,Non_Wetland,Forest
