Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MUM_M_R
755,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
756,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
757,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
758,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
759,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
760,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
761,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
762,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
763,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
764,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
765,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
766,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
767,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
768,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
769,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
770,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
771,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
772,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
773,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
774,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
775,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
776,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
777,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
778,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
779,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
780,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
781,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
782,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
783,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
784,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
785,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
786,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
787,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
788,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Grassland
789,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Forest
790,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
791,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Forest
792,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Grassland
793,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
794,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
795,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
796,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Grassland
797,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Forest
798,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
799,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
800,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
801,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
802,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
803,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
804,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
805,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
806,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Grassland
807,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Wetland,Grassland
808,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Forest,Grassland
809,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Shrubland,Grassland
810,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
811,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Forest,Grassland
812,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
813,Grassland,NULL,Wetland,Water,Wetland,Shrubland,Wetland,Grassland
814,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
815,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,NULL
816,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Grassland
817,Grassland,NULL,Bareland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
818,Grassland,NULL,Bareland,NULL,Non_Wetland,Shrubland,Wetland,Forest
819,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
820,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
821,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
822,Grassland,NULL,Built-up,NULL,Non_Wetland,Shrubland,Wetland,Grassland
823,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
824,Grassland,NULL,Water,Water,Water,Bareland,Wetland,Grassland
825,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
826,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
827,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
828,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
829,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
830,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,NULL
831,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
832,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
833,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
834,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
835,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
836,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
837,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
838,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
839,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
840,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
841,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
842,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
843,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
844,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
845,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
846,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
847,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
848,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
849,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
850,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
851,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
852,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
853,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
854,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
855,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Grassland,Forest
856,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
857,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
858,Grassland,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
859,Grassland,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
860,Grassland,Forest,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
861,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Forest
862,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
863,Grassland,Forest,Wetland,NULL,Wetland,Bareland,Wetland,Forest
864,Grassland,Forest,Bareland,Non_Water,Non_Wetland,Bareland,Water,Forest
865,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
866,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
867,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
868,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
869,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
870,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
871,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
872,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
873,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
874,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
875,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
876,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
877,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
878,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
879,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Grassland
880,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
881,Cropland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
882,Cropland,NULL,Wetland,Non_Water,Wetland,Water,Forest,Grassland
883,Cropland,Bareland,Wetland,Water,Wetland,Grassland,Wetland,Grassland
884,Cropland,Water,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
885,Cropland,Water,NULL,Water,Non_Wetland,Shrubland,Wetland,Grassland
886,Cropland,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
887,Cropland,Water,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
888,Cropland,Water,Wetland,Water,Wetland,Water,Water,Water
889,Cropland,Water,Wetland,Water,Wetland,Water,Water,Forest
890,Cropland,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
891,Cropland,Water,Bareland,Water,Non_Wetland,Water,Wetland,Water
892,Cropland,Forest,Wetland,Water,Wetland,Grassland,Wetland,Grassland
893,Cropland,Forest,Wetland,Water,Wetland,Water,Wetland,Water
894,Wetland,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
895,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
896,Wetland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
897,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
898,Wetland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
899,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
900,Wetland,NULL,Shrubland,Water,Non_Wetland,Shrubland,Wetland,Grassland
901,Wetland,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
902,Wetland,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
903,Wetland,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
904,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
905,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
906,Wetland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
907,Wetland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
908,Wetland,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
909,Wetland,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Forest
910,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
911,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
912,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Grassland
913,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
914,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
915,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
916,Wetland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
917,Wetland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
918,Wetland,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
919,Wetland,NULL,Wetland,Non_Water,Wetland,Shrubland,Wetland,Grassland
920,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
921,Wetland,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
922,Wetland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
923,Wetland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
924,Wetland,NULL,Wetland,Water,Wetland,Shrubland,Wetland,Grassland
925,Wetland,NULL,Wetland,Water,Wetland,Shrubland,Wetland,Wetland
926,Wetland,NULL,Wetland,Water,Wetland,Shrubland,Water,Grassland
927,Wetland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
928,Wetland,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
929,Wetland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
930,Wetland,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
931,Wetland,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
932,Wetland,NULL,Wetland,Water,Wetland,Wetland,Water,Bareland
933,Wetland,NULL,Wetland,Water,Wetland,Wetland,Water,Water
934,Wetland,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
935,Wetland,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
936,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Grassland
937,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Wetland
938,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Bareland
939,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Water
940,Wetland,NULL,Wetland,Water,Wetland,Forest,Water,Grassland
941,Wetland,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
942,Wetland,NULL,Water,Water,Water,Water,Wetland,Grassland
943,Wetland,NULL,Water,Water,Water,Water,Water,Wetland
944,Wetland,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
945,Wetland,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
946,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
947,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
948,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
949,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
950,Wetland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
951,Wetland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
952,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland,Grassland
953,Wetland,NULL,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
954,Wetland,Bareland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
955,Wetland,Bareland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
956,Wetland,Bareland,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
957,Wetland,Bareland,Grassland,NULL,Non_Wetland,Bareland,Wetland,Bareland
958,Wetland,Bareland,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
959,Wetland,Bareland,Cropland,Water,Non_Wetland,Bareland,Wetland,Bareland
960,Wetland,Bareland,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
961,Wetland,Bareland,Wetland,Water,Wetland,Bareland,Wetland,Grassland
962,Wetland,Bareland,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
963,Wetland,Water,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
964,Wetland,Water,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
965,Wetland,Water,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Water
966,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Water
967,Wetland,Water,Wetland,NULL,Wetland,Bareland,Water,Forest
968,Wetland,Water,Wetland,Non_Water,Wetland,NULL,Water,Forest
969,Wetland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
970,Wetland,Water,Wetland,Water,Wetland,Shrubland,Water,Grassland
971,Wetland,Water,Wetland,Water,Wetland,Grassland,Water,Water
972,Wetland,Water,Wetland,Water,Wetland,Wetland,Wetland,Water
973,Wetland,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
974,Wetland,Water,Wetland,Water,Wetland,Wetland,Water,Water
975,Wetland,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
976,Wetland,Water,Wetland,Water,Wetland,Water,Wetland,Water
977,Wetland,Water,Wetland,Water,Wetland,Water,Water,Grassland
978,Wetland,Water,Wetland,Water,Wetland,Water,Water,Wetland
979,Wetland,Water,Wetland,Water,Wetland,Water,Water,Water
980,Wetland,Water,Water,NULL,Water,Water,Water,Water
981,Wetland,Water,Water,Water,Water,NULL,Water,Grassland
982,Wetland,Water,Water,Water,Water,NULL,Water,Water
983,Wetland,Water,Water,Water,Water,Water,Water,Grassland
984,Wetland,Water,Water,Water,Water,Water,Water,Water
985,Wetland,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
986,Wetland,Forest,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
987,Wetland,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
988,Wetland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
989,Wetland,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
990,Wetland,Forest,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
991,Wetland,Forest,Wetland,NULL,Wetland,Shrubland,Wetland,Forest
992,Wetland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
993,Wetland,Forest,Wetland,NULL,Wetland,Bareland,Wetland,Forest
994,Wetland,Forest,Water,NULL,Water,NULL,Water,Grassland
995,Wetland,Forest,Water,Non_Water,Water,NULL,Water,Wetland
996,Wetland,Forest,Water,Water,Water,NULL,Water,Wetland
997,Wetland,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
998,Wetland,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
999,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1000,Bareland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1001,Bareland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Water
1002,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
1003,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1004,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1005,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1006,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1007,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
1008,Bareland,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
1009,Bareland,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
1010,Bareland,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Bareland
1011,Bareland,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Water
1012,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1013,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Bareland
1014,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1015,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Water
1016,Bareland,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
1017,Bareland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1018,Bareland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
1019,Bareland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
1020,Bareland,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
1021,Bareland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
1022,Bareland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
1023,Bareland,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
1024,Bareland,NULL,Wetland,Water,Wetland,Grassland,Water,Bareland
1025,Bareland,NULL,Wetland,Water,Wetland,Grassland,Water,Water
1026,Bareland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1027,Bareland,NULL,Wetland,Water,Wetland,Wetland,Water,Water
1028,Bareland,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
1029,Bareland,NULL,Wetland,Water,Wetland,Water,Wetland,Bareland
1030,Bareland,NULL,Wetland,Water,Wetland,Water,Wetland,Water
1031,Bareland,NULL,Wetland,Water,Wetland,Water,Water,Grassland
1032,Bareland,NULL,Wetland,Water,Wetland,Water,Water,Wetland
1033,Bareland,NULL,Wetland,Water,Wetland,Water,Water,Bareland
1034,Bareland,NULL,Wetland,Water,Wetland,Water,Water,Water
1035,Bareland,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Bareland
1036,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
1037,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
1038,Bareland,NULL,Water,Non_Water,Water,Grassland,Water,Grassland
1039,Bareland,NULL,Water,Water,Water,Water,Water,Water
1040,Bareland,Wetland,Wetland,Water,Wetland,Grassland,Wetland,Grassland
1041,Bareland,Wetland,Wetland,Water,Wetland,Water,Wetland,Water
1042,Bareland,Bareland,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1043,Bareland,Bareland,NULL,NULL,Non_Wetland,Grassland,Wetland,Water
1044,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
1045,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
1046,Bareland,Bareland,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
1047,Bareland,Bareland,NULL,NULL,Non_Wetland,Water,Wetland,Water
1048,Bareland,Bareland,NULL,NULL,Non_Wetland,Water,Water,Grassland
1049,Bareland,Bareland,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1050,Bareland,Bareland,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Bareland
1051,Bareland,Bareland,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Water
1052,Bareland,Bareland,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
1053,Bareland,Bareland,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
1054,Bareland,Bareland,NULL,Non_Water,Non_Wetland,Water,Water,Water
1055,Bareland,Bareland,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
1056,Bareland,Bareland,NULL,Water,Non_Wetland,Grassland,Wetland,Bareland
1057,Bareland,Bareland,NULL,Water,Non_Wetland,Water,Wetland,Grassland
1058,Bareland,Bareland,NULL,Water,Non_Wetland,Water,Water,Bareland
1059,Bareland,Bareland,NULL,Water,Non_Wetland,Water,Water,Water
1060,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1061,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
1062,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,Water,Water,Bareland
1063,Bareland,Bareland,Shrubland,Water,Non_Wetland,Grassland,Water,Forest
1064,Bareland,Bareland,Shrubland,Water,Non_Wetland,Water,Wetland,Water
1065,Bareland,Bareland,Shrubland,Water,Non_Wetland,Water,Wetland,Forest
1066,Bareland,Bareland,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
1067,Bareland,Bareland,Grassland,NULL,Non_Wetland,Water,Wetland,Water
1068,Bareland,Bareland,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
1069,Bareland,Bareland,Grassland,NULL,Non_Wetland,Water,Water,Grassland
1070,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
1071,Bareland,Bareland,Grassland,Water,Non_Wetland,Grassland,Wetland,Water
1072,Bareland,Bareland,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
1073,Bareland,Bareland,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
1074,Bareland,Bareland,Grassland,Water,Non_Wetland,Water,Wetland,Water
1075,Bareland,Bareland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1076,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1077,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland,Wetland,Water
1078,Bareland,Bareland,Cropland,NULL,Non_Wetland,Water,Wetland,Grassland
1079,Bareland,Bareland,Cropland,NULL,Non_Wetland,Water,Wetland,Water
1080,Bareland,Bareland,Cropland,NULL,Non_Wetland,Water,Water,Bareland
1081,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1082,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Water
1083,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Bareland,Wetland,Water
1084,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Bareland,Water,Bareland
1085,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Bareland,Water,Water
1086,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Water,Wetland,Grassland
1087,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Water,Wetland,Bareland
1088,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Water,Wetland,Water
