Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NWJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NWJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NWJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NWJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NWJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18NWJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18NWJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NWJ_M_R
346,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
347,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
348,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
349,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
350,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
351,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
352,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
353,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
354,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
355,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
356,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Water
357,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
358,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
359,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
360,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Forest
361,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
362,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
363,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
364,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
365,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Bareland
366,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
367,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
368,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
369,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
370,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
371,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
372,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Bareland
373,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Water
374,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
375,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
376,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
377,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
378,NULL,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
379,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
380,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
381,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
382,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
383,NULL,Forest,Water,NULL,Water,NULL,NULL,Grassland
384,NULL,Forest,Water,NULL,Water,NULL,NULL,Bareland
385,NULL,Forest,Water,NULL,Water,NULL,NULL,Water
386,NULL,Forest,Water,NULL,Water,NULL,NULL,Forest
387,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
388,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Bareland
389,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Water
390,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Forest
391,NULL,Forest,Water,Water,Water,NULL,NULL,Cropland
392,NULL,Forest,Water,Water,Water,NULL,NULL,Bareland
393,NULL,Forest,Water,Water,Water,NULL,NULL,Water
394,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
395,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
396,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
397,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
398,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
399,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
400,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
401,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
402,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
403,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
404,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
405,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Cropland
406,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Bareland
407,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
408,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
409,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
410,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
411,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
412,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
413,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
414,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
415,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
416,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
417,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
418,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
419,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
420,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
421,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
422,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
423,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
424,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
425,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
426,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
427,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
428,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
429,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
430,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
431,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
432,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
433,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
434,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
435,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
436,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
437,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
438,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
439,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
440,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
441,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
442,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
443,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
444,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
445,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
446,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
447,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
448,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
449,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
450,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
451,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
452,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
453,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
454,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
455,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
456,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
457,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
458,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
459,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
460,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
461,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
462,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
463,Grassland,NULL,Water,NULL,Water,NULL,NULL,Bareland
464,Grassland,NULL,Water,NULL,Water,NULL,NULL,Water
465,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
466,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
467,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
468,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
469,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
470,Grassland,NULL,Water,Water,Water,NULL,NULL,Bareland
471,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
472,Grassland,NULL,Water,Water,Water,NULL,NULL,Forest
473,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
474,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
475,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
476,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
477,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
478,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
479,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
480,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
481,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
482,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
483,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
484,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
485,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
486,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
487,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
488,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
489,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
490,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
491,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
492,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
493,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
494,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
495,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
496,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
497,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
498,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
499,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
500,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
501,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
502,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
503,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
504,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
505,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
506,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
507,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
508,Grassland,Cropland,Water,NULL,Water,NULL,NULL,Bareland
509,Grassland,Cropland,Water,NULL,Water,NULL,NULL,Forest
510,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
511,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
512,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
513,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
514,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
515,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
516,Grassland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
517,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
518,Grassland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Forest
519,Grassland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
520,Grassland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
521,Grassland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
522,Grassland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
523,Grassland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
524,Grassland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
525,Grassland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Water
526,Grassland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
527,Grassland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
528,Grassland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
529,Grassland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
530,Grassland,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
531,Grassland,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
532,Grassland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
533,Grassland,Bareland,Water,NULL,Water,NULL,NULL,Grassland
534,Grassland,Bareland,Water,NULL,Water,NULL,NULL,Bareland
535,Grassland,Bareland,Water,Non_Water,Water,NULL,NULL,Grassland
536,Grassland,Bareland,Water,Non_Water,Water,NULL,NULL,Forest
537,Grassland,Bareland,Water,Water,Water,NULL,NULL,Grassland
538,Grassland,Bareland,Water,Water,Water,NULL,NULL,Forest
539,Grassland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
540,Grassland,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
541,Grassland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
542,Grassland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Forest
543,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
544,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
545,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
546,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
547,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
548,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
549,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
550,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
551,Grassland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
552,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
553,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
554,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
555,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
556,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
557,Grassland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
558,Grassland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
559,Grassland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
560,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
561,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
562,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
563,Grassland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
564,Grassland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
565,Grassland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
566,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
567,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
568,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
569,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
570,Grassland,Water,Water,NULL,Water,NULL,NULL,Grassland
571,Grassland,Water,Water,NULL,Water,NULL,NULL,Forest
572,Grassland,Water,Water,Water,Water,NULL,NULL,Cropland
573,Grassland,Water,Water,Water,Water,NULL,NULL,Water
574,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
575,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
576,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
577,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
578,Grassland,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
579,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
580,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
581,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
582,Grassland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
583,Grassland,Forest,NULL,Water,Non_Wetland,NULL,NULL,Bareland
584,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
585,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
586,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
587,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
588,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
589,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
590,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
591,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
592,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
593,Grassland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
594,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
595,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
596,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
597,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
598,Grassland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
599,Grassland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
600,Grassland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
601,Grassland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
602,Grassland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Forest
603,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
604,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
605,Grassland,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
606,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
607,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
608,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
609,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
610,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
611,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Bareland
612,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
613,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
614,Grassland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
615,Grassland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
616,Grassland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
617,Grassland,Forest,Water,NULL,Water,NULL,NULL,Grassland
618,Grassland,Forest,Water,NULL,Water,NULL,NULL,Bareland
619,Grassland,Forest,Water,NULL,Water,NULL,NULL,Water
620,Grassland,Forest,Water,NULL,Water,NULL,NULL,Forest
621,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
622,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Water
623,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Forest
624,Grassland,Forest,Water,Water,Water,NULL,NULL,Bareland
625,Grassland,Forest,Water,Water,Water,NULL,NULL,Water
626,Grassland,Forest,Water,Water,Water,NULL,NULL,Forest
627,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
628,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
629,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
630,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
631,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
632,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
633,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
634,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
635,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
636,Grassland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Bareland
637,Grassland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
638,Grassland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
639,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
640,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
641,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
642,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
643,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
644,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
645,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
646,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
647,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
648,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
649,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
650,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
651,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
652,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
653,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
654,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
655,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
656,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
657,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
658,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
659,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
660,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
661,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
662,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
663,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
664,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
665,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
666,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
667,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
668,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
669,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
670,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Built-up
671,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
672,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
673,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
674,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
675,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
676,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
677,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
678,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
679,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
680,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
681,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
682,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
683,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
684,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
685,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
686,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
687,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
688,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
689,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
690,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
691,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
692,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
693,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
