Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LUF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LUF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LUF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LUF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LUF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LUF_M_R
5130,Cropland,Forest,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
5131,Cropland,Forest,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
5132,Cropland,Forest,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
5133,Cropland,Forest,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
5134,Cropland,Forest,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
5135,Cropland,Forest,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
5136,Cropland,Forest,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
5137,Cropland,Forest,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
5138,Cropland,Forest,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
5139,Cropland,Forest,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
5140,Cropland,Forest,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
5141,Cropland,Forest,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
5142,Cropland,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
5143,Cropland,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
5144,Cropland,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
5145,Cropland,Forest,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
5146,Cropland,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
5147,Cropland,Forest,NULL,NULL,Non_Wetland,Forest,NULL,Forest
5148,Cropland,Forest,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
5149,Cropland,Forest,NULL,Water,Non_Wetland,Water,Water,Grassland
5150,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
5151,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
5152,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
5153,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
5154,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
5155,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
5156,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
5157,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
5158,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
5159,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
5160,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
5161,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
5162,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
5163,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
5164,Cropland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
5165,Cropland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
5166,Cropland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
5167,Cropland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
5168,Cropland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
5169,Cropland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
5170,Cropland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
5171,Cropland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
5172,Cropland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
5173,Cropland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
5174,Cropland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
5175,Cropland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
5176,Cropland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
5177,Cropland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
5178,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
5179,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
5180,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
5181,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
5182,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
5183,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
5184,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
5185,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
5186,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
5187,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
5188,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
5189,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
5190,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
5191,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
5192,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
5193,Cropland,Forest,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
5194,Cropland,Forest,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
5195,Cropland,Forest,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
5196,Cropland,Forest,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
5197,Cropland,Forest,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
5198,Cropland,Forest,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
5199,Cropland,Forest,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
5200,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
5201,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
5202,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
5203,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
5204,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
5205,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
5206,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
5207,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
5208,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
5209,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
5210,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
5211,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
5212,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
5213,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
5214,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
5215,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
5216,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
5217,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
5218,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
5219,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
5220,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
5221,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
5222,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
5223,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
5224,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
5225,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
5226,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,Shrubland,NULL
5227,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
5228,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,Shrubland,Cropland
5229,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
5230,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
5231,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
5232,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
5233,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
5234,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
5235,Cropland,Forest,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
5236,Cropland,Forest,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
5237,Cropland,Forest,Cropland,NULL,Non_Wetland,Shrubland,NULL,Cropland
5238,Cropland,Forest,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
5239,Cropland,Forest,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
5240,Cropland,Forest,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
5241,Cropland,Forest,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
5242,Cropland,Forest,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
5243,Cropland,Forest,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
5244,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
5245,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
5246,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
5247,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
5248,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
5249,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
5250,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
5251,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
5252,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
5253,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
5254,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
5255,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
5256,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland,NULL,Built-up
5257,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
5258,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
5259,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
5260,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
5261,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland,Forest,Cropland
5262,Cropland,Forest,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
5263,Cropland,Forest,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
5264,Cropland,Forest,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
5265,Cropland,Forest,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
5266,Cropland,Forest,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
5267,Cropland,Forest,Cropland,NULL,Non_Wetland,Bareland,Shrubland,NULL
5268,Cropland,Forest,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
5269,Cropland,Forest,Cropland,NULL,Non_Wetland,Bareland,Grassland,NULL
5270,Cropland,Forest,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
5271,Cropland,Forest,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
5272,Cropland,Forest,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
5273,Cropland,Forest,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
5274,Cropland,Forest,Cropland,NULL,Non_Wetland,Bareland,Bareland,NULL
5275,Cropland,Forest,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
5276,Cropland,Forest,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
5277,Cropland,Forest,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
5278,Cropland,Forest,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
5279,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
5280,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest,Shrubland,Cropland
5281,Cropland,Forest,Wetland,NULL,Wetland,Forest,Forest,Grassland
5282,Cropland,Forest,Wetland,Water,Wetland,Shrubland,Shrubland,Water
5283,Cropland,Forest,Built-up,NULL,Non_Wetland,NULL,Forest,Grassland
5284,Cropland,Forest,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Forest
5285,Cropland,Forest,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Grassland
5286,Cropland,Forest,Built-up,NULL,Non_Wetland,Cropland,NULL,Cropland
5287,Cropland,Forest,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
5288,Cropland,Forest,Built-up,Water,Non_Wetland,NULL,NULL,Water
5289,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
5290,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
5291,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Shrubland,NULL
5292,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Shrubland,Cropland
5293,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
5294,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
5295,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
5296,Cropland,Forest,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
5297,Cropland,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
5298,Cropland,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
5299,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
5300,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
5301,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
5302,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
5303,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
5304,Cropland,Forest,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
5305,Cropland,Forest,Forest,NULL,Non_Wetland,Cropland,NULL,Cropland
5306,Cropland,Forest,Forest,NULL,Non_Wetland,Cropland,NULL,Forest
5307,Cropland,Forest,Forest,NULL,Non_Wetland,Cropland,Shrubland,Cropland
5308,Cropland,Forest,Forest,NULL,Non_Wetland,Bareland,NULL,NULL
5309,Cropland,Forest,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
5310,Cropland,Forest,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
5311,Cropland,Forest,Forest,NULL,Non_Wetland,Bareland,Shrubland,NULL
5312,Cropland,Forest,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
5313,Cropland,Forest,Forest,NULL,Non_Wetland,Bareland,Shrubland,Forest
5314,Cropland,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
5315,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
5316,Wetland,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Wetland
5317,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
5318,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
5319,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Water,Water
5320,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
5321,Wetland,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
5322,Wetland,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
5323,Wetland,NULL,Wetland,NULL,Wetland,Water,Water,Water
5324,Wetland,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
5325,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Water
5326,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
5327,Wetland,NULL,Water,Water,Water,Water,Water,Wetland
5328,Wetland,NULL,Water,Water,Water,Water,Water,Water
5329,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Water,Shrubland,Wetland
5330,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Water,Water,Water
5331,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
5332,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Wetland
5333,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Water
5334,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Forest,Water
5335,Wetland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Wetland
5336,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Grassland
5337,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Wetland
5338,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Water
5339,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Water
5340,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Wetland
5341,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Water
5342,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Water
5343,Wetland,Wetland,Water,NULL,Water,Water,Water,Water
5344,Wetland,Wetland,Water,Non_Water,Water,Water,Water,Grassland
5345,Wetland,Wetland,Water,Non_Water,Water,Water,Water,Water
5346,Wetland,Wetland,Water,Water,Water,Wetland,Water,Wetland
5347,Wetland,Wetland,Water,Water,Water,Water,Water,Water
5348,Wetland,Water,NULL,NULL,Non_Wetland,Water,Water,Water
5349,Wetland,Water,Wetland,NULL,Wetland,Wetland,Water,Water
5350,Wetland,Water,Wetland,NULL,Wetland,Water,Water,Water
5351,Wetland,Water,Wetland,NULL,Wetland,Water,Water,Forest
5352,Wetland,Water,Wetland,NULL,Wetland,Water,Forest,Water
5353,Wetland,Water,Wetland,Water,Wetland,Water,Water,Water
5354,Wetland,Water,Water,NULL,Water,Water,Water,Water
5355,Wetland,Water,Water,Water,Water,Water,Water,Water
5356,Wetland,Water,Forest,Non_Water,Non_Wetland,Forest,Water,Water
5357,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
5358,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
5359,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
5360,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
5361,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
5362,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
5363,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
5364,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
5365,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Bareland
5366,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
5367,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
5368,Bareland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
5369,Bareland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
5370,Bareland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
5371,Bareland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
5372,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
5373,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
5374,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
5375,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
5376,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
5377,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
5378,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
5379,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
5380,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
5381,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
5382,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
5383,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
5384,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
5385,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
5386,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
5387,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
5388,Bareland,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
5389,Bareland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
5390,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
5391,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
5392,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
5393,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
5394,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
5395,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
5396,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
5397,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
5398,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
5399,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
5400,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
5401,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
5402,Bareland,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
5403,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
5404,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
5405,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
5406,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
5407,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
5408,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
5409,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
5410,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
5411,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
5412,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
5413,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
5414,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
5415,Bareland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
5416,Bareland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
5417,Bareland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
5418,Bareland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
5419,Bareland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
5420,Bareland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
5421,Bareland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
5422,Bareland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
5423,Bareland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
5424,Bareland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
5425,Bareland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
5426,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
5427,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
5428,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
5429,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
5430,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
5431,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
5432,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
5433,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
5434,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
5435,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
5436,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
5437,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
5438,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
5439,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
5440,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
5441,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
5442,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
5443,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
5444,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
5445,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
5446,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
5447,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
5448,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Built-up
5449,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
5450,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
5451,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,NULL
