Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LBN_M_R
1437,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
1438,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
1439,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1440,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1441,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1442,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
1443,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
1444,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
1445,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
1446,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
1447,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
1448,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1449,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
1450,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1451,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1452,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
1453,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
1454,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1455,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1456,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
1457,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
1458,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
1459,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
1460,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
1461,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
1462,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
1463,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
1464,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
1465,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
1466,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
1467,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
1468,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
1469,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
1470,Grassland,Cropland,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
1471,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
1472,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
1473,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
1474,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
1475,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
1476,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
1477,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
1478,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1479,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1480,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1481,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
1482,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1483,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
1484,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
1485,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1486,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
1487,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
1488,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
1489,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
1490,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
1491,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
1492,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1493,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
1494,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
1495,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
1496,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Cropland
1497,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
1498,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
1499,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
1500,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
1501,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
1502,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1503,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
1504,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
1505,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
1506,Grassland,Cropland,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
1507,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
1508,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
1509,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
1510,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
1511,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
1512,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1513,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1514,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1515,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1516,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
1517,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
1518,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
1519,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
1520,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1521,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Cropland
1522,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
1523,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland,Wetland,Grassland
1524,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
1525,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
1526,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1527,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
1528,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
1529,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
1530,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
1531,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
1532,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
1533,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
1534,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
1535,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
1536,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1537,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1538,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1539,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1540,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Cropland
1541,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
1542,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1543,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
1544,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
1545,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
1546,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
1547,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Bareland
1548,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
1549,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,NULL
1550,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1551,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
1552,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
1553,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Wetland,Grassland
1554,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Wetland,Cropland
1555,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Wetland,Forest
1556,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Forest,Grassland
1557,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Forest,Cropland
1558,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
1559,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1560,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
1561,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
1562,Grassland,Cropland,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
1563,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
1564,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1565,Grassland,Cropland,Wetland,NULL,Wetland,Grassland,NULL,Grassland
1566,Grassland,Cropland,Wetland,NULL,Wetland,Grassland,NULL,Cropland
1567,Grassland,Cropland,Wetland,NULL,Wetland,Grassland,NULL,Forest
1568,Grassland,Cropland,Wetland,NULL,Wetland,Wetland,Grassland,Water
1569,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland,NULL,Grassland
1570,Grassland,Cropland,Bareland,Water,Non_Wetland,Grassland,Grassland,Grassland
1571,Grassland,Cropland,Water,NULL,Water,Grassland,NULL,Grassland
1572,Grassland,Cropland,Water,NULL,Water,Grassland,NULL,Forest
1573,Grassland,Cropland,Water,NULL,Water,Grassland,Grassland,Grassland
1574,Grassland,Cropland,Water,NULL,Water,Wetland,NULL,Water
1575,Grassland,Cropland,Water,NULL,Water,Water,Grassland,Grassland
1576,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
1577,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
1578,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
1579,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
1580,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
1581,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1582,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
1583,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1584,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
1585,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1586,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1587,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1588,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
1589,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Cropland
1590,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Forest
1591,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
1592,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Cropland
1593,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
1594,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Wetland,Cropland
1595,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Wetland,Forest
1596,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Forest,Grassland
1597,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Forest,Cropland
1598,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
1599,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
1600,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1601,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1602,Grassland,Cropland,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
1603,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1604,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1605,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
1606,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
1607,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1608,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1609,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1610,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1611,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
1612,Grassland,Wetland,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
1613,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1614,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1615,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,NULL
1616,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1617,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1618,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Water,Grassland
1619,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Water,Forest
1620,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
1621,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1622,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
1623,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1624,Grassland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
1625,Grassland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
1626,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
1627,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
1628,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
1629,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
1630,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
1631,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
1632,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Forest
1633,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1634,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Forest
1635,Grassland,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
1636,Grassland,Wetland,Water,NULL,Water,Wetland,Wetland,Grassland
1637,Grassland,Wetland,Water,NULL,Water,Wetland,Wetland,Forest
1638,Grassland,Wetland,Water,Non_Water,Water,Wetland,Wetland,Forest
1639,Grassland,Wetland,Water,Water,Water,Grassland,Water,Water
1640,Grassland,Wetland,Water,Water,Water,Wetland,Wetland,Forest
1641,Grassland,Wetland,Water,Water,Water,Wetland,Water,Water
1642,Grassland,Wetland,Water,Water,Water,Wetland,Water,Forest
1643,Grassland,Wetland,Water,Water,Water,Water,Wetland,Forest
1644,Grassland,Wetland,Water,Water,Water,Water,Water,Water
1645,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
1646,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1647,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1648,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
1649,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1650,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1651,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1652,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1653,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Water,Water,Forest
1654,Grassland,Bareland,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
1655,Grassland,Bareland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1656,Grassland,Bareland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1657,Grassland,Bareland,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
1658,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1659,Grassland,Built-up,Cropland,NULL,Non_Wetland,Wetland,Bareland,Grassland
1660,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
1661,Grassland,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1662,Grassland,Water,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
1663,Grassland,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
1664,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
1665,Grassland,Water,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
1666,Grassland,Water,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1667,Grassland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1668,Grassland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1669,Grassland,Water,Wetland,NULL,Wetland,Wetland,Water,Grassland
1670,Grassland,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
1671,Grassland,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
1672,Grassland,Water,Wetland,Water,Wetland,Water,Water,Grassland
1673,Grassland,Water,Wetland,Water,Wetland,Water,Water,Water
1674,Grassland,Water,Water,NULL,Water,NULL,Wetland,Forest
1675,Grassland,Water,Water,NULL,Water,Wetland,Wetland,Forest
1676,Grassland,Water,Water,Non_Water,Water,Wetland,Wetland,Forest
1677,Grassland,Water,Water,Water,Water,Wetland,Water,Grassland
1678,Grassland,Water,Water,Water,Water,Wetland,Water,Forest
1679,Grassland,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1680,Grassland,Water,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1681,Grassland,Water,Forest,Water,Non_Wetland,Grassland,Water,Grassland
1682,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
1683,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
1684,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1685,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1686,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
1687,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
1688,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
1689,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
1690,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
1691,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
1692,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1693,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1694,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1695,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
1696,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
1697,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
1698,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
1699,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1700,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
1701,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1702,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
1703,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
1704,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1705,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1706,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
1707,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
1708,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
1709,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1710,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1711,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1712,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
1713,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
1714,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1715,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
1716,Grassland,Forest,Wetland,NULL,Wetland,NULL,Wetland,NULL
1717,Grassland,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
1718,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1719,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1720,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Water,Forest
1721,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1722,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1723,Grassland,Forest,Water,NULL,Water,Grassland,Wetland,Forest
1724,Grassland,Forest,Water,NULL,Water,Wetland,Wetland,Forest
1725,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
1726,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
1727,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1728,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
1729,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1730,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1731,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1732,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
1733,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1734,Grassland,Forest,Forest,Non_Water,Non_Wetland,Water,Forest,Grassland
1735,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
1736,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
1737,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
1738,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
1739,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1740,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
1741,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1742,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
1743,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
1744,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1745,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
1746,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
1747,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
1748,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
1749,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
1750,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
1751,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
1752,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
1753,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Bareland
1754,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
1755,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
1756,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
1757,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
