Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MMR_M_R
2128,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Forest
2129,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,NULL
2130,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
2131,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Cropland
2132,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
2133,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,Forest,Grassland
2134,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,Forest,Cropland
2135,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
2136,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
2137,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
2138,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
2139,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
2140,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
2141,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
2142,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
2143,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
2144,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
2145,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
2146,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
2147,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
2148,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,NULL
2149,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
2150,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,Cropland
2151,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,Forest
2152,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
2153,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
2154,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
2155,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
2156,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Cropland
2157,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Forest
2158,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland,Grassland,NULL
2159,NULL,Cropland,Forest,Water,Non_Wetland,Forest,Grassland,Forest
2160,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
2161,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
2162,NULL,Wetland,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
2163,NULL,Wetland,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
2164,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
2165,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
2166,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
2167,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
2168,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
2169,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
2170,NULL,Wetland,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
2171,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
2172,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
2173,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
2174,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
2175,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
2176,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
2177,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
2178,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
2179,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
2180,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
2181,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
2182,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland,Water,Forest
2183,NULL,Wetland,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
2184,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
2185,NULL,Wetland,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
2186,NULL,Wetland,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
2187,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
2188,NULL,Wetland,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
2189,NULL,Wetland,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
2190,NULL,Wetland,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
2191,NULL,Wetland,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
2192,NULL,Wetland,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
2193,NULL,Wetland,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
2194,NULL,Wetland,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
2195,NULL,Wetland,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
2196,NULL,Wetland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
2197,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2198,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
2199,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
2200,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
2201,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
2202,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
2203,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
2204,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
2205,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
2206,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
2207,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
2208,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
2209,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
2210,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2211,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
2212,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
2213,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
2214,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
2215,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
2216,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
2217,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
2218,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Water,Wetland
2219,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
2220,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
2221,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
2222,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
2223,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
2224,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
2225,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
2226,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
2227,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
2228,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
2229,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
2230,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
2231,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
2232,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
2233,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
2234,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
2235,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland,Grassland,Water
2236,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
2237,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland,Wetland,Wetland
2238,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
2239,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
2240,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Wetland,NULL
2241,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
2242,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
2243,NULL,Wetland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2244,NULL,Wetland,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
2245,NULL,Wetland,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
2246,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
2247,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
2248,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2249,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
2250,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
2251,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
2252,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
2253,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
2254,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
2255,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
2256,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Built-up
2257,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
2258,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
2259,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
2260,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
2261,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Built-up,Built-up
2262,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
2263,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
2264,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
2265,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
2266,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
2267,NULL,Wetland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
2268,NULL,Wetland,Grassland,NULL,Non_Wetland,Cropland,Wetland,Grassland
2269,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
2270,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
2271,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Built-up
2272,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
2273,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
2274,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
2275,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Cropland
2276,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
2277,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Built-up
2278,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
2279,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Bareland,Wetland
2280,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
2281,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
2282,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
2283,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
2284,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2285,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Cropland
2286,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
2287,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
2288,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
2289,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
2290,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Wetland,Cropland
2291,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Wetland,Wetland
2292,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Wetland,Bareland
2293,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
2294,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
2295,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
2296,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
2297,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
2298,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
2299,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Water,Wetland
2300,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Water,Water
2301,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Water,Forest
2302,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
2303,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Forest,Built-up
2304,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
2305,NULL,Wetland,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
2306,NULL,Wetland,Grassland,NULL,Non_Wetland,Built-up,Grassland,Cropland
2307,NULL,Wetland,Grassland,NULL,Non_Wetland,Built-up,Grassland,Wetland
2308,NULL,Wetland,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
2309,NULL,Wetland,Grassland,NULL,Non_Wetland,Built-up,Wetland,Grassland
2310,NULL,Wetland,Grassland,NULL,Non_Wetland,Built-up,Wetland,Built-up
2311,NULL,Wetland,Grassland,NULL,Non_Wetland,Built-up,Bareland,Built-up
2312,NULL,Wetland,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
2313,NULL,Wetland,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
2314,NULL,Wetland,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
2315,NULL,Wetland,Grassland,NULL,Non_Wetland,Built-up,Forest,Grassland
2316,NULL,Wetland,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
2317,NULL,Wetland,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
2318,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
2319,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
2320,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
2321,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
2322,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
2323,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
2324,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Cropland
2325,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
2326,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
2327,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
2328,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
2329,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
2330,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
2331,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
2332,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
2333,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
2334,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Cropland
2335,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
2336,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
2337,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Water,Cropland
2338,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
2339,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
2340,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
2341,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
2342,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
2343,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
2344,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
2345,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Bareland,Water,Grassland
2346,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Bareland,Water,Forest
2347,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Bareland,Forest,Grassland
2348,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Built-up,Wetland,Grassland
2349,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
2350,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
2351,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland,Wetland,Wetland
2352,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
2353,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
2354,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland,Grassland,Wetland
2355,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
2356,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland,Wetland,Cropland
2357,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
2358,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland,Wetland,Water
2359,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland,Bareland,Grassland
2360,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
2361,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland,Water,Wetland
2362,NULL,Wetland,Grassland,Water,Non_Wetland,Bareland,NULL,Grassland
2363,NULL,Wetland,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
2364,NULL,Wetland,Grassland,Water,Non_Wetland,Bareland,Grassland,Wetland
2365,NULL,Wetland,Grassland,Water,Non_Wetland,Bareland,Grassland,Forest
2366,NULL,Wetland,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
2367,NULL,Wetland,Grassland,Water,Non_Wetland,Bareland,Wetland,Cropland
2368,NULL,Wetland,Grassland,Water,Non_Wetland,Bareland,Wetland,Wetland
2369,NULL,Wetland,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
2370,NULL,Wetland,Grassland,Water,Non_Wetland,Bareland,Bareland,Forest
2371,NULL,Wetland,Grassland,Water,Non_Wetland,Bareland,Water,Grassland
2372,NULL,Wetland,Grassland,Water,Non_Wetland,Water,Grassland,Wetland
2373,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2374,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
2375,NULL,Wetland,Cropland,NULL,Non_Wetland,Cropland,Wetland,Grassland
2376,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
2377,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2378,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
2379,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
2380,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
2381,NULL,Wetland,Cropland,Water,Non_Wetland,Bareland,Wetland,Grassland
2382,NULL,Wetland,Wetland,NULL,Wetland,NULL,Grassland,Forest
2383,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Grassland
2384,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Wetland
2385,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Forest
2386,NULL,Wetland,Wetland,NULL,Wetland,NULL,Forest,Grassland
2387,NULL,Wetland,Wetland,NULL,Wetland,NULL,Forest,Forest
2388,NULL,Wetland,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
2389,NULL,Wetland,Wetland,NULL,Wetland,Shrubland,Wetland,NULL
2390,NULL,Wetland,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
2391,NULL,Wetland,Wetland,NULL,Wetland,Shrubland,Wetland,Forest
2392,NULL,Wetland,Wetland,NULL,Wetland,Shrubland,Forest,Grassland
2393,NULL,Wetland,Wetland,NULL,Wetland,Grassland,NULL,Grassland
2394,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
2395,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Grassland,Cropland
2396,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Grassland,Forest
2397,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,NULL
2398,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
2399,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Cropland
2400,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
2401,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Built-up
2402,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Water
2403,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Forest
2404,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
2405,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Bareland,Forest
2406,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Water,Grassland
2407,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Water,Wetland
2408,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Water,Forest
2409,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Forest,Grassland
2410,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Forest,Forest
2411,NULL,Wetland,Wetland,NULL,Wetland,Cropland,Wetland,Grassland
2412,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
2413,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Grassland,Built-up
2414,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Grassland,Forest
2415,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
2416,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
2417,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Cropland
2418,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
2419,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Built-up
2420,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Water
2421,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
2422,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
2423,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Grassland
2424,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Cropland
2425,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Wetland
2426,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Water
2427,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Forest
2428,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Forest,Grassland
2429,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Forest,Forest
2430,NULL,Wetland,Wetland,NULL,Wetland,Bareland,NULL,Grassland
2431,NULL,Wetland,Wetland,NULL,Wetland,Bareland,NULL,Wetland
2432,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
2433,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Grassland,Cropland
2434,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Grassland,Built-up
2435,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Grassland,Forest
2436,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
2437,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Wetland,Cropland
2438,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Wetland,Wetland
2439,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Wetland,Built-up
2440,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Wetland,Water
2441,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Wetland,Forest
2442,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
2443,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Bareland,Wetland
2444,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Bareland,Forest
2445,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Water,Grassland
2446,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Water,Wetland
2447,NULL,Wetland,Wetland,NULL,Wetland,Bareland,Water,Bareland
