Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NWA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NWA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NWA_M_R
349,Wetland,Bareland,Wetland,Water,Wetland,Water,Wetland,Grassland
350,Wetland,Bareland,Wetland,Water,Wetland,Water,Water,Water
351,Wetland,Bareland,Water,NULL,Water,Grassland,Water,Water
352,Wetland,Bareland,Water,NULL,Water,Water,Water,Water
353,Wetland,Bareland,Water,Water,Water,Water,Water,Grassland
354,Wetland,Bareland,Water,Water,Water,Water,Water,Bareland
355,Wetland,Bareland,Water,Water,Water,Water,Water,Water
356,Wetland,Water,NULL,NULL,Non_Wetland,Water,Water,Water
357,Wetland,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
358,Wetland,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
359,Wetland,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
360,Wetland,Water,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
361,Wetland,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
362,Wetland,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Water
363,Wetland,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
364,Wetland,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Water
365,Wetland,Water,Shrubland,Water,Non_Wetland,Water,Water,Grassland
366,Wetland,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
367,Wetland,Water,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
368,Wetland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
369,Wetland,Water,Wetland,NULL,Wetland,Wetland,Water,Grassland
370,Wetland,Water,Wetland,NULL,Wetland,Wetland,Water,Wetland
371,Wetland,Water,Wetland,NULL,Wetland,Wetland,Water,Water
372,Wetland,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
373,Wetland,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
374,Wetland,Water,Wetland,NULL,Wetland,Water,Wetland,Wetland
375,Wetland,Water,Wetland,NULL,Wetland,Water,Wetland,Water
376,Wetland,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
377,Wetland,Water,Wetland,NULL,Wetland,Water,Water,Grassland
378,Wetland,Water,Wetland,NULL,Wetland,Water,Water,Wetland
379,Wetland,Water,Wetland,NULL,Wetland,Water,Water,Water
380,Wetland,Water,Wetland,NULL,Wetland,Water,Water,Forest
381,Wetland,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
382,Wetland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
383,Wetland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
384,Wetland,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
385,Wetland,Water,Wetland,Water,Wetland,Grassland,Wetland,Grassland
386,Wetland,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
387,Wetland,Water,Wetland,Water,Wetland,Wetland,Wetland,Water
388,Wetland,Water,Wetland,Water,Wetland,Wetland,Wetland,Forest
389,Wetland,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
390,Wetland,Water,Wetland,Water,Wetland,Wetland,Water,Water
391,Wetland,Water,Wetland,Water,Wetland,Wetland,Water,Forest
392,Wetland,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
393,Wetland,Water,Wetland,Water,Wetland,Water,Wetland,Bareland
394,Wetland,Water,Wetland,Water,Wetland,Water,Wetland,Water
395,Wetland,Water,Wetland,Water,Wetland,Water,Water,Grassland
396,Wetland,Water,Wetland,Water,Wetland,Water,Water,Wetland
397,Wetland,Water,Wetland,Water,Wetland,Water,Water,Bareland
398,Wetland,Water,Wetland,Water,Wetland,Water,Water,Water
399,Wetland,Water,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
400,Wetland,Water,Bareland,Water,Non_Wetland,Water,Water,Water
401,Wetland,Water,Water,NULL,Water,Wetland,Water,Water
402,Wetland,Water,Water,NULL,Water,Water,Water,Grassland
403,Wetland,Water,Water,NULL,Water,Water,Water,Wetland
404,Wetland,Water,Water,NULL,Water,Water,Water,Water
405,Wetland,Water,Water,NULL,Water,Water,Water,Forest
406,Wetland,Water,Water,Non_Water,Water,Water,Wetland,Water
407,Wetland,Water,Water,Non_Water,Water,Water,Water,Water
408,Wetland,Water,Water,Water,Water,Grassland,Water,Water
409,Wetland,Water,Water,Water,Water,Wetland,Wetland,Grassland
410,Wetland,Water,Water,Water,Water,Wetland,Wetland,Wetland
411,Wetland,Water,Water,Water,Water,Wetland,Wetland,Water
412,Wetland,Water,Water,Water,Water,Wetland,Wetland,Forest
413,Wetland,Water,Water,Water,Water,Wetland,Water,Grassland
414,Wetland,Water,Water,Water,Water,Wetland,Water,Wetland
415,Wetland,Water,Water,Water,Water,Wetland,Water,Water
416,Wetland,Water,Water,Water,Water,Wetland,Water,Forest
417,Wetland,Water,Water,Water,Water,Water,Wetland,Wetland
418,Wetland,Water,Water,Water,Water,Water,Wetland,Bareland
419,Wetland,Water,Water,Water,Water,Water,Wetland,Water
420,Wetland,Water,Water,Water,Water,Water,Water,Grassland
421,Wetland,Water,Water,Water,Water,Water,Water,Wetland
422,Wetland,Water,Water,Water,Water,Water,Water,Bareland
423,Wetland,Water,Water,Water,Water,Water,Water,Water
424,Wetland,Water,Water,Water,Water,Water,Water,Forest
425,Wetland,Water,Forest,NULL,Non_Wetland,NULL,Water,Forest
426,Wetland,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
427,Wetland,Water,Forest,Water,Non_Wetland,Water,Water,Forest
428,Bareland,Bareland,Wetland,Water,Wetland,Grassland,Wetland,Water
429,Bareland,Water,Shrubland,Water,Non_Wetland,Grassland,Wetland,Water
430,Bareland,Water,Water,Water,Water,Grassland,Water,Water
431,Bareland,Water,Water,Water,Water,Wetland,Water,Water
432,Bareland,Water,Water,Water,Water,Water,Wetland,Water
433,Bareland,Water,Water,Water,Water,Water,Water,Forest
434,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
435,Water,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Water
436,Water,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Water
437,Water,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Bareland
438,Water,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
439,Water,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
440,Water,NULL,Wetland,NULL,Wetland,Water,Water,Forest
441,Water,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Bareland
442,Water,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
443,Water,NULL,Wetland,Water,Wetland,Wetland,Water,Water
444,Water,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
445,Water,NULL,Wetland,Water,Wetland,Water,Wetland,Bareland
446,Water,NULL,Wetland,Water,Wetland,Water,Wetland,Water
447,Water,NULL,Wetland,Water,Wetland,Water,Water,Water
448,Water,NULL,Wetland,Water,Wetland,Water,Water,Forest
449,Water,NULL,Water,NULL,Water,Water,Water,Bareland
450,Water,NULL,Water,NULL,Water,Water,Water,Water
451,Water,NULL,Water,Water,Water,Wetland,Wetland,Water
452,Water,NULL,Water,Water,Water,Wetland,Water,Bareland
453,Water,NULL,Water,Water,Water,Wetland,Water,Water
454,Water,NULL,Water,Water,Water,Water,Wetland,Water
455,Water,NULL,Water,Water,Water,Water,Wetland,Forest
456,Water,NULL,Water,Water,Water,Water,Water,Bareland
457,Water,NULL,Water,Water,Water,Water,Water,Water
458,Water,NULL,Water,Water,Water,Water,Water,Forest
459,Water,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
460,Water,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
461,Water,Wetland,NULL,NULL,Non_Wetland,Water,Wetland,Forest
462,Water,Wetland,NULL,Water,Non_Wetland,Water,Water,Grassland
463,Water,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
464,Water,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
465,Water,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
466,Water,Wetland,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
467,Water,Wetland,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
468,Water,Wetland,Shrubland,NULL,Non_Wetland,Water,Water,Water
469,Water,Wetland,Shrubland,NULL,Non_Wetland,Water,Water,Forest
470,Water,Wetland,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Forest
471,Water,Wetland,Shrubland,Non_Water,Non_Wetland,Water,Water,Wetland
472,Water,Wetland,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
473,Water,Wetland,Shrubland,Water,Non_Wetland,Wetland,Wetland,Bareland
474,Water,Wetland,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
475,Water,Wetland,Shrubland,Water,Non_Wetland,Wetland,Water,Water
476,Water,Wetland,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
477,Water,Wetland,Shrubland,Water,Non_Wetland,Water,Wetland,Water
478,Water,Wetland,Shrubland,Water,Non_Wetland,Water,Water,Grassland
479,Water,Wetland,Shrubland,Water,Non_Wetland,Water,Water,Wetland
480,Water,Wetland,Shrubland,Water,Non_Wetland,Water,Water,Bareland
481,Water,Wetland,Shrubland,Water,Non_Wetland,Water,Water,Water
482,Water,Wetland,Wetland,NULL,Wetland,NULL,Water,Water
483,Water,Wetland,Wetland,NULL,Wetland,Grassland,Water,Grassland
484,Water,Wetland,Wetland,NULL,Wetland,Grassland,Water,Forest
485,Water,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
486,Water,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
487,Water,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Bareland
488,Water,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Water
489,Water,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
490,Water,Wetland,Wetland,NULL,Wetland,Wetland,Water,Grassland
491,Water,Wetland,Wetland,NULL,Wetland,Wetland,Water,Wetland
492,Water,Wetland,Wetland,NULL,Wetland,Wetland,Water,Water
493,Water,Wetland,Wetland,NULL,Wetland,Wetland,Water,Forest
494,Water,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
495,Water,Wetland,Wetland,NULL,Wetland,Water,Wetland,Wetland
496,Water,Wetland,Wetland,NULL,Wetland,Water,Wetland,Water
497,Water,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
498,Water,Wetland,Wetland,NULL,Wetland,Water,Water,Wetland
499,Water,Wetland,Wetland,NULL,Wetland,Water,Water,Bareland
500,Water,Wetland,Wetland,NULL,Wetland,Water,Water,Water
501,Water,Wetland,Wetland,NULL,Wetland,Water,Water,Forest
502,Water,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Water
503,Water,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Water
504,Water,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Forest
505,Water,Wetland,Wetland,Non_Water,Wetland,Water,Water,Water
506,Water,Wetland,Wetland,Non_Water,Wetland,Water,Water,Forest
507,Water,Wetland,Wetland,Non_Water,Wetland,Water,Forest,Water
508,Water,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
509,Water,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Water
510,Water,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Forest
511,Water,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
512,Water,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
513,Water,Wetland,Wetland,Water,Wetland,Wetland,Water,Water
514,Water,Wetland,Wetland,Water,Wetland,Water,Wetland,Grassland
515,Water,Wetland,Wetland,Water,Wetland,Water,Wetland,Bareland
516,Water,Wetland,Wetland,Water,Wetland,Water,Wetland,Water
517,Water,Wetland,Wetland,Water,Wetland,Water,Wetland,Forest
518,Water,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
519,Water,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
520,Water,Wetland,Wetland,Water,Wetland,Water,Water,Bareland
521,Water,Wetland,Wetland,Water,Wetland,Water,Water,Water
522,Water,Wetland,Wetland,Water,Wetland,Water,Water,Forest
523,Water,Wetland,Water,NULL,Water,Wetland,Water,Water
524,Water,Wetland,Water,NULL,Water,Water,Wetland,Water
525,Water,Wetland,Water,NULL,Water,Water,Wetland,Forest
526,Water,Wetland,Water,NULL,Water,Water,Water,Wetland
527,Water,Wetland,Water,NULL,Water,Water,Water,Bareland
528,Water,Wetland,Water,NULL,Water,Water,Water,Water
529,Water,Wetland,Water,NULL,Water,Water,Water,Forest
530,Water,Wetland,Water,NULL,Water,Water,Forest,Forest
531,Water,Wetland,Water,Non_Water,Water,Wetland,Water,Water
532,Water,Wetland,Water,Non_Water,Water,Water,Wetland,Water
533,Water,Wetland,Water,Non_Water,Water,Water,Wetland,Forest
534,Water,Wetland,Water,Non_Water,Water,Water,Water,Bareland
535,Water,Wetland,Water,Non_Water,Water,Water,Water,Water
536,Water,Wetland,Water,Non_Water,Water,Water,Water,Forest
537,Water,Wetland,Water,Water,Water,Wetland,Wetland,Grassland
538,Water,Wetland,Water,Water,Water,Wetland,Water,Wetland
539,Water,Wetland,Water,Water,Water,Wetland,Water,Bareland
540,Water,Wetland,Water,Water,Water,Wetland,Water,Water
541,Water,Wetland,Water,Water,Water,Wetland,Water,Forest
542,Water,Wetland,Water,Water,Water,Water,Wetland,Water
543,Water,Wetland,Water,Water,Water,Water,Water,Grassland
544,Water,Wetland,Water,Water,Water,Water,Water,Wetland
545,Water,Wetland,Water,Water,Water,Water,Water,Bareland
546,Water,Wetland,Water,Water,Water,Water,Water,Water
547,Water,Wetland,Water,Water,Water,Water,Water,Forest
548,Water,Wetland,Forest,NULL,Non_Wetland,Wetland,Water,Water
549,Water,Wetland,Forest,NULL,Non_Wetland,Wetland,Water,Forest
550,Water,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Water
551,Water,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Forest
552,Water,Wetland,Forest,NULL,Non_Wetland,Water,Water,Water
553,Water,Wetland,Forest,NULL,Non_Wetland,Water,Water,Forest
554,Water,Wetland,Forest,NULL,Non_Wetland,Water,Forest,Forest
555,Water,Wetland,Forest,Non_Water,Non_Wetland,NULL,Water,Water
556,Water,Wetland,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
557,Water,Wetland,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
558,Water,Wetland,Forest,Non_Water,Non_Wetland,Water,Water,Water
559,Water,Wetland,Forest,Non_Water,Non_Wetland,Water,Water,Forest
560,Water,Wetland,Forest,Non_Water,Non_Wetland,Water,Forest,Water
561,Water,Wetland,Forest,Non_Water,Non_Wetland,Water,Forest,Forest
562,Water,Wetland,Forest,Water,Non_Wetland,Wetland,Water,Water
563,Water,Wetland,Forest,Water,Non_Wetland,Wetland,Water,Forest
564,Water,Wetland,Forest,Water,Non_Wetland,Water,Wetland,Wetland
565,Water,Wetland,Forest,Water,Non_Wetland,Water,Wetland,Water
566,Water,Wetland,Forest,Water,Non_Wetland,Water,Wetland,Forest
567,Water,Wetland,Forest,Water,Non_Wetland,Water,Water,Water
568,Water,Wetland,Forest,Water,Non_Wetland,Water,Water,Forest
569,Water,Bareland,Shrubland,NULL,Non_Wetland,Water,Forest,Water
570,Water,Bareland,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
571,Water,Bareland,Shrubland,Water,Non_Wetland,Water,Water,Water
572,Water,Bareland,Wetland,NULL,Wetland,Water,Water,Water
573,Water,Bareland,Wetland,Non_Water,Wetland,Wetland,Water,Water
574,Water,Bareland,Wetland,Water,Wetland,Grassland,Wetland,Water
575,Water,Bareland,Wetland,Water,Wetland,Wetland,Wetland,Water
576,Water,Bareland,Wetland,Water,Wetland,Water,Wetland,Water
577,Water,Bareland,Wetland,Water,Wetland,Water,Water,Bareland
578,Water,Bareland,Wetland,Water,Wetland,Water,Water,Water
579,Water,Bareland,Water,NULL,Water,Water,Water,Water
580,Water,Bareland,Water,Water,Water,Grassland,Wetland,Water
581,Water,Bareland,Water,Water,Water,Grassland,Water,Water
582,Water,Bareland,Water,Water,Water,Wetland,Wetland,Water
583,Water,Bareland,Water,Water,Water,Water,Wetland,Water
584,Water,Bareland,Water,Water,Water,Water,Water,Grassland
585,Water,Bareland,Water,Water,Water,Water,Water,Bareland
586,Water,Bareland,Water,Water,Water,Water,Water,Water
587,Water,Bareland,Forest,Water,Non_Wetland,Grassland,Water,Water
588,Water,Bareland,Forest,Water,Non_Wetland,Wetland,Water,Grassland
589,Water,Water,NULL,NULL,Non_Wetland,Wetland,Water,Forest
590,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
591,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
592,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Grassland
593,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Water
594,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
595,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Water
596,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Forest
597,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
598,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
599,Water,Water,NULL,Non_Water,Non_Wetland,Water,Forest,Water
600,Water,Water,NULL,Water,Non_Wetland,Wetland,Water,Grassland
601,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Grassland
602,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Water
603,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Forest
604,Water,Water,NULL,Water,Non_Wetland,Water,Water,Water
605,Water,Water,NULL,Water,Non_Wetland,Water,Water,Forest
606,Water,Water,NULL,Water,Non_Wetland,Water,Forest,Water
607,Water,Water,NULL,Water,Non_Wetland,Water,Forest,Forest
608,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
609,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
610,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
611,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
612,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
613,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
614,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
615,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Forest
616,Water,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Water
617,Water,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
618,Water,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
619,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
620,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Bareland
621,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
622,Water,Water,Shrubland,Water,Non_Wetland,Wetland,Wetland,Bareland
623,Water,Water,Shrubland,Water,Non_Wetland,Wetland,Wetland,Water
624,Water,Water,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
625,Water,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
626,Water,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
627,Water,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Water
628,Water,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
629,Water,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
630,Water,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Bareland
631,Water,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Water
632,Water,Water,Shrubland,Water,Non_Wetland,Water,Water,Grassland
633,Water,Water,Shrubland,Water,Non_Wetland,Water,Water,Bareland
634,Water,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
635,Water,Water,Shrubland,Water,Non_Wetland,Water,Forest,Water
636,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
637,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
638,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Water
639,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
640,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
641,Water,Water,Wetland,NULL,Wetland,NULL,Water,Water
642,Water,Water,Wetland,NULL,Wetland,NULL,Water,Forest
643,Water,Water,Wetland,NULL,Wetland,Grassland,Wetland,Forest
644,Water,Water,Wetland,NULL,Wetland,Grassland,Water,Grassland
645,Water,Water,Wetland,NULL,Wetland,Grassland,Water,Wetland
646,Water,Water,Wetland,NULL,Wetland,Grassland,Water,Water
647,Water,Water,Wetland,NULL,Wetland,Grassland,Water,Forest
648,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
649,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Water
650,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
651,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Grassland
652,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Water
653,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
654,Water,Water,Wetland,NULL,Wetland,Wetland,Forest,Water
655,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
656,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Bareland
657,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Water
658,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
659,Water,Water,Wetland,NULL,Wetland,Water,Water,Grassland
660,Water,Water,Wetland,NULL,Wetland,Water,Water,Wetland
661,Water,Water,Wetland,NULL,Wetland,Water,Water,Bareland
662,Water,Water,Wetland,NULL,Wetland,Water,Water,Water
663,Water,Water,Wetland,NULL,Wetland,Water,Water,Forest
664,Water,Water,Wetland,NULL,Wetland,Water,Forest,Grassland
665,Water,Water,Wetland,NULL,Wetland,Water,Forest,Water
666,Water,Water,Wetland,NULL,Wetland,Water,Forest,Forest
667,Water,Water,Wetland,NULL,Wetland,Forest,Water,Water
668,Water,Water,Wetland,NULL,Wetland,Forest,Water,Forest
669,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Forest
670,Water,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
671,Water,Water,Wetland,Non_Water,Wetland,Grassland,Water,Wetland
672,Water,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
673,Water,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
674,Water,Water,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
675,Water,Water,Wetland,Non_Water,Wetland,Wetland,Water,Water
676,Water,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
677,Water,Water,Wetland,Non_Water,Wetland,Wetland,Forest,Water
678,Water,Water,Wetland,Non_Water,Wetland,Wetland,Forest,Forest
679,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
680,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
681,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Bareland
682,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
683,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
684,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
685,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Wetland
686,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Water
687,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
688,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Bareland
689,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Water
690,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Forest
691,Water,Water,Wetland,Non_Water,Wetland,Forest,Water,Forest
692,Water,Water,Wetland,Water,Wetland,NULL,Wetland,Water
693,Water,Water,Wetland,Water,Wetland,NULL,Water,Water
694,Water,Water,Wetland,Water,Wetland,NULL,Water,Forest
695,Water,Water,Wetland,Water,Wetland,Grassland,Wetland,Grassland
696,Water,Water,Wetland,Water,Wetland,Grassland,Wetland,Forest
697,Water,Water,Wetland,Water,Wetland,Grassland,Water,Grassland
698,Water,Water,Wetland,Water,Wetland,Grassland,Water,Water
699,Water,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
700,Water,Water,Wetland,Water,Wetland,Wetland,Wetland,Wetland
701,Water,Water,Wetland,Water,Wetland,Wetland,Wetland,Water
702,Water,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
703,Water,Water,Wetland,Water,Wetland,Wetland,Water,Wetland
704,Water,Water,Wetland,Water,Wetland,Wetland,Water,Water
705,Water,Water,Wetland,Water,Wetland,Wetland,Water,Forest
706,Water,Water,Wetland,Water,Wetland,Water,Grassland,Water
707,Water,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
708,Water,Water,Wetland,Water,Wetland,Water,Wetland,Wetland
709,Water,Water,Wetland,Water,Wetland,Water,Wetland,Bareland
710,Water,Water,Wetland,Water,Wetland,Water,Wetland,Water
711,Water,Water,Wetland,Water,Wetland,Water,Wetland,Forest
712,Water,Water,Wetland,Water,Wetland,Water,Water,Grassland
713,Water,Water,Wetland,Water,Wetland,Water,Water,Wetland
714,Water,Water,Wetland,Water,Wetland,Water,Water,Bareland
715,Water,Water,Wetland,Water,Wetland,Water,Water,Water
716,Water,Water,Wetland,Water,Wetland,Water,Water,Forest
717,Water,Water,Wetland,Water,Wetland,Water,Forest,Grassland
718,Water,Water,Wetland,Water,Wetland,Water,Forest,Water
719,Water,Water,Wetland,Water,Wetland,Water,Forest,Forest
720,Water,Water,Wetland,Water,Wetland,Forest,Water,Forest
721,Water,Water,Bareland,NULL,Non_Wetland,Wetland,Forest,Water
722,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Water
723,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
724,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
725,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Forest
726,Water,Water,Bareland,NULL,Non_Wetland,Water,Forest,Water
727,Water,Water,Bareland,NULL,Non_Wetland,Water,Forest,Forest
728,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
729,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Wetland
730,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
731,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Forest,Grassland
732,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Forest,Water
733,Water,Water,Bareland,Water,Non_Wetland,Grassland,Wetland,Water
734,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
735,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Water
736,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Water
737,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Forest
738,Water,Water,Bareland,Water,Non_Wetland,Water,Forest,Water
739,Water,Water,Bareland,Water,Non_Wetland,Water,Forest,Forest
740,Water,Water,Built-up,NULL,Non_Wetland,Water,Forest,Grassland
