Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LVQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LVQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LVQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LVQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LVQ_M_R
5495,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Built-up
5496,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,NULL
5497,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
5498,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Bareland
5499,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Built-up
5500,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Water
5501,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Forest
5502,Bareland,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,NULL
5503,Bareland,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
5504,Bareland,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Bareland
5505,Bareland,NULL,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Built-up
5506,Bareland,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,NULL
5507,Bareland,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
5508,Bareland,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
5509,Bareland,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Bareland
5510,Bareland,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,NULL
5511,Bareland,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
5512,Bareland,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
5513,Bareland,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
5514,Bareland,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
5515,Bareland,NULL,Cropland,NULL,Non_Wetland,Water,NULL,Grassland
5516,Bareland,NULL,Cropland,NULL,Non_Wetland,Water,NULL,Bareland
5517,Bareland,NULL,Cropland,NULL,Non_Wetland,Water,NULL,Built-up
5518,Bareland,NULL,Cropland,NULL,Non_Wetland,Water,Bareland,NULL
5519,Bareland,NULL,Cropland,NULL,Non_Wetland,Water,Bareland,Grassland
5520,Bareland,NULL,Cropland,NULL,Non_Wetland,Water,Bareland,Bareland
5521,Bareland,NULL,Cropland,NULL,Non_Wetland,Water,Water,NULL
5522,Bareland,NULL,Cropland,NULL,Non_Wetland,Water,Water,Grassland
5523,Bareland,NULL,Cropland,NULL,Non_Wetland,Water,Water,Bareland
5524,Bareland,NULL,Cropland,NULL,Non_Wetland,Water,Water,Built-up
5525,Bareland,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
5526,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
5527,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
5528,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
5529,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Built-up
5530,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Shrubland,Bareland
5531,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,NULL
5532,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
5533,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Bareland
5534,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Bareland,NULL
5535,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
5536,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Bareland,Bareland
5537,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Built-up,NULL
5538,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Water,NULL
5539,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Water,Grassland
5540,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Water,Bareland
5541,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Bareland,NULL
5542,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Water,NULL
5543,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
5544,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Bareland
5545,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
5546,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
5547,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,NULL
5548,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Bareland
5549,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,NULL
5550,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
5551,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Bareland
5552,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Built-up
5553,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
5554,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
5555,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
5556,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,NULL
5557,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
5558,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
5559,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Water
5560,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Built-up,Bareland
5561,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,NULL
5562,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Grassland
5563,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Bareland
5564,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,Bareland
5565,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Water,Water,Grassland
5566,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Water,Water,Bareland
5567,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Water,Water,Water
5568,Bareland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
5569,Bareland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
5570,Bareland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
5571,Bareland,NULL,Cropland,Water,Non_Wetland,NULL,Shrubland,Grassland
5572,Bareland,NULL,Cropland,Water,Non_Wetland,NULL,Shrubland,Bareland
5573,Bareland,NULL,Cropland,Water,Non_Wetland,NULL,Grassland,Grassland
5574,Bareland,NULL,Cropland,Water,Non_Wetland,NULL,Grassland,Bareland
5575,Bareland,NULL,Cropland,Water,Non_Wetland,NULL,Bareland,Grassland
5576,Bareland,NULL,Cropland,Water,Non_Wetland,NULL,Bareland,Bareland
5577,Bareland,NULL,Cropland,Water,Non_Wetland,NULL,Water,NULL
5578,Bareland,NULL,Cropland,Water,Non_Wetland,NULL,Water,Grassland
5579,Bareland,NULL,Cropland,Water,Non_Wetland,NULL,Water,Bareland
5580,Bareland,NULL,Cropland,Water,Non_Wetland,NULL,Water,Built-up
5581,Bareland,NULL,Cropland,Water,Non_Wetland,NULL,Water,Water
5582,Bareland,NULL,Cropland,Water,Non_Wetland,Shrubland,Shrubland,NULL
5583,Bareland,NULL,Cropland,Water,Non_Wetland,Shrubland,Shrubland,Built-up
5584,Bareland,NULL,Cropland,Water,Non_Wetland,Shrubland,Water,Grassland
5585,Bareland,NULL,Cropland,Water,Non_Wetland,Shrubland,Water,Built-up
5586,Bareland,NULL,Cropland,Water,Non_Wetland,Grassland,NULL,Bareland
5587,Bareland,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
5588,Bareland,NULL,Cropland,Water,Non_Wetland,Bareland,NULL,NULL
5589,Bareland,NULL,Cropland,Water,Non_Wetland,Bareland,NULL,Grassland
5590,Bareland,NULL,Cropland,Water,Non_Wetland,Bareland,NULL,Bareland
5591,Bareland,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Grassland
5592,Bareland,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,NULL
5593,Bareland,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
5594,Bareland,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Bareland
5595,Bareland,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Water
5596,Bareland,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Forest
5597,Bareland,NULL,Cropland,Water,Non_Wetland,Bareland,Water,NULL
5598,Bareland,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Grassland
5599,Bareland,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Bareland
5600,Bareland,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Water
5601,Bareland,NULL,Cropland,Water,Non_Wetland,Built-up,Built-up,Bareland
5602,Bareland,NULL,Cropland,Water,Non_Wetland,Water,NULL,Grassland
5603,Bareland,NULL,Cropland,Water,Non_Wetland,Water,NULL,Bareland
5604,Bareland,NULL,Cropland,Water,Non_Wetland,Water,Water,Grassland
5605,Bareland,NULL,Cropland,Water,Non_Wetland,Water,Water,Bareland
5606,Bareland,NULL,Cropland,Water,Non_Wetland,Forest,Grassland,Grassland
5607,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
5608,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
5609,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
5610,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Built-up
5611,Bareland,NULL,Wetland,NULL,Wetland,NULL,Shrubland,Bareland
5612,Bareland,NULL,Wetland,NULL,Wetland,NULL,Bareland,NULL
5613,Bareland,NULL,Wetland,NULL,Wetland,NULL,Bareland,Forest
5614,Bareland,NULL,Wetland,NULL,Wetland,NULL,Water,Bareland
5615,Bareland,NULL,Wetland,NULL,Wetland,NULL,Water,Built-up
5616,Bareland,NULL,Wetland,NULL,Wetland,Shrubland,Built-up,NULL
5617,Bareland,NULL,Wetland,NULL,Wetland,Grassland,Water,Bareland
5618,Bareland,NULL,Wetland,NULL,Wetland,Bareland,NULL,Grassland
5619,Bareland,NULL,Wetland,NULL,Wetland,Bareland,NULL,Bareland
5620,Bareland,NULL,Wetland,NULL,Wetland,Bareland,NULL,Water
5621,Bareland,NULL,Wetland,NULL,Wetland,Bareland,Shrubland,NULL
5622,Bareland,NULL,Wetland,NULL,Wetland,Bareland,Shrubland,Bareland
5623,Bareland,NULL,Wetland,NULL,Wetland,Bareland,Bareland,NULL
5624,Bareland,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
5625,Bareland,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
5626,Bareland,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Water
5627,Bareland,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Forest
5628,Bareland,NULL,Wetland,NULL,Wetland,Bareland,Water,NULL
5629,Bareland,NULL,Wetland,NULL,Wetland,Bareland,Water,Bareland
5630,Bareland,NULL,Wetland,NULL,Wetland,Bareland,Water,Built-up
5631,Bareland,NULL,Wetland,NULL,Wetland,Bareland,Water,Water
5632,Bareland,NULL,Wetland,NULL,Wetland,Built-up,Bareland,Bareland
5633,Bareland,NULL,Wetland,NULL,Wetland,Water,NULL,Water
5634,Bareland,NULL,Wetland,NULL,Wetland,Water,Water,Built-up
5635,Bareland,NULL,Wetland,NULL,Wetland,Water,Water,Water
5636,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
5637,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,Water,NULL
5638,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,Water,Bareland
5639,Bareland,NULL,Wetland,Non_Water,Wetland,Shrubland,Water,NULL
5640,Bareland,NULL,Wetland,Non_Water,Wetland,Shrubland,Water,Built-up
5641,Bareland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,NULL
5642,Bareland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Bareland
5643,Bareland,NULL,Wetland,Non_Water,Wetland,Bareland,NULL,Bareland
5644,Bareland,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,NULL
5645,Bareland,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Grassland
5646,Bareland,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Bareland
5647,Bareland,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Water
5648,Bareland,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Bareland
5649,Bareland,NULL,Wetland,Non_Water,Wetland,Built-up,Bareland,Built-up
5650,Bareland,NULL,Wetland,Non_Water,Wetland,Water,Bareland,NULL
5651,Bareland,NULL,Wetland,Non_Water,Wetland,Water,Water,Bareland
5652,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
5653,Bareland,NULL,Wetland,Water,Wetland,NULL,Bareland,Grassland
5654,Bareland,NULL,Wetland,Water,Wetland,NULL,Bareland,Bareland
5655,Bareland,NULL,Wetland,Water,Wetland,NULL,Water,Bareland
5656,Bareland,NULL,Wetland,Water,Wetland,NULL,Water,Built-up
5657,Bareland,NULL,Wetland,Water,Wetland,NULL,Water,Water
5658,Bareland,NULL,Wetland,Water,Wetland,Shrubland,Water,NULL
5659,Bareland,NULL,Wetland,Water,Wetland,Shrubland,Water,Grassland
5660,Bareland,NULL,Wetland,Water,Wetland,Shrubland,Water,Built-up
5661,Bareland,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
5662,Bareland,NULL,Wetland,Water,Wetland,Bareland,NULL,Bareland
5663,Bareland,NULL,Wetland,Water,Wetland,Bareland,Shrubland,Water
5664,Bareland,NULL,Wetland,Water,Wetland,Bareland,Bareland,Bareland
5665,Bareland,NULL,Wetland,Water,Wetland,Bareland,Bareland,Water
5666,Bareland,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
5667,Bareland,NULL,Wetland,Water,Wetland,Bareland,Water,Bareland
5668,Bareland,NULL,Wetland,Water,Wetland,Bareland,Water,Water
5669,Bareland,NULL,Wetland,Water,Wetland,Built-up,Bareland,Bareland
5670,Bareland,NULL,Wetland,Water,Wetland,Water,NULL,Bareland
5671,Bareland,NULL,Wetland,Water,Wetland,Water,NULL,Water
5672,Bareland,NULL,Wetland,Water,Wetland,Water,Water,Grassland
5673,Bareland,NULL,Wetland,Water,Wetland,Water,Water,Bareland
5674,Bareland,NULL,Wetland,Water,Wetland,Water,Water,Water
5675,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
5676,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
5677,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
5678,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
5679,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
5680,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,NULL
5681,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Grassland
5682,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Cropland
5683,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Bareland
5684,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,Bareland,Grassland
5685,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,Bareland,Bareland
5686,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,Bareland,Built-up
5687,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,Built-up,Grassland
5688,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,Built-up,Bareland
5689,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,Water,Bareland
5690,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland,NULL,Grassland
5691,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland,NULL,Bareland
5692,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
5693,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Cropland
5694,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Grassland
5695,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland,Built-up,NULL
5696,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland,Built-up,Grassland
5697,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland,Built-up,Cropland
5698,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland,NULL,Grassland
5699,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland,NULL,Cropland
5700,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland,NULL,Bareland
5701,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland,NULL,Built-up
5702,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
5703,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
5704,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Cropland
5705,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Bareland
5706,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,NULL
5707,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
5708,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
5709,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Built-up
5710,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Water
5711,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland,Built-up,Grassland
5712,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland,Built-up,Bareland
5713,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland,Built-up,Built-up
5714,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland,Water,Bareland
5715,Bareland,NULL,Bareland,NULL,Non_Wetland,Built-up,Grassland,Grassland
5716,Bareland,NULL,Bareland,NULL,Non_Wetland,Built-up,Bareland,Bareland
5717,Bareland,NULL,Bareland,NULL,Non_Wetland,Built-up,Built-up,NULL
5718,Bareland,NULL,Bareland,NULL,Non_Wetland,Built-up,Built-up,Grassland
5719,Bareland,NULL,Bareland,NULL,Non_Wetland,Built-up,Built-up,Cropland
5720,Bareland,NULL,Bareland,NULL,Non_Wetland,Built-up,Built-up,Bareland
5721,Bareland,NULL,Bareland,NULL,Non_Wetland,Built-up,Built-up,Built-up
5722,Bareland,NULL,Bareland,NULL,Non_Wetland,Water,NULL,Bareland
5723,Bareland,NULL,Bareland,NULL,Non_Wetland,Water,Bareland,Bareland
5724,Bareland,NULL,Bareland,NULL,Non_Wetland,Water,Water,Built-up
5725,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,Water,Bareland
5726,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
5727,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
5728,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Water,Bareland
5729,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Bareland
5730,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
5731,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
5732,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,Water,NULL
5733,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland,NULL,Bareland
5734,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Bareland
5735,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Water
5736,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland,Water,Bareland
5737,Bareland,NULL,Bareland,Water,Non_Wetland,Built-up,Bareland,Bareland
5738,Bareland,NULL,Bareland,Water,Non_Wetland,Water,Water,Bareland
5739,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
5740,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
5741,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
5742,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
5743,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,Shrubland,NULL
5744,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,Shrubland,Grassland
5745,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,Shrubland,Bareland
5746,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,Shrubland,Built-up
5747,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,NULL
5748,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Grassland
5749,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,Bareland
5750,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,NULL
5751,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Grassland
5752,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Bareland
5753,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Built-up
5754,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Bareland
5755,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,Built-up
5756,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,Water,NULL
5757,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,Water,Grassland
5758,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,Water,Bareland
5759,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,Water,Built-up
5760,Bareland,NULL,Built-up,NULL,Non_Wetland,Shrubland,NULL,Built-up
5761,Bareland,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,NULL
5762,Bareland,NULL,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
5763,Bareland,NULL,Built-up,NULL,Non_Wetland,Shrubland,Bareland,NULL
5764,Bareland,NULL,Built-up,NULL,Non_Wetland,Shrubland,Bareland,Grassland
5765,Bareland,NULL,Built-up,NULL,Non_Wetland,Shrubland,Bareland,Built-up
5766,Bareland,NULL,Built-up,NULL,Non_Wetland,Shrubland,Built-up,NULL
5767,Bareland,NULL,Built-up,NULL,Non_Wetland,Shrubland,Water,NULL
5768,Bareland,NULL,Built-up,NULL,Non_Wetland,Shrubland,Water,Bareland
5769,Bareland,NULL,Built-up,NULL,Non_Wetland,Shrubland,Water,Built-up
5770,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,NULL
5771,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Bareland
5772,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Bareland
5773,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
5774,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Cropland
5775,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Bareland
5776,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
5777,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland,Water,Bareland
5778,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,NULL
5779,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
5780,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
5781,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
5782,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Forest
5783,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Bareland
5784,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Built-up
5785,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
5786,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Cropland
5787,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
5788,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
5789,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
5790,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
5791,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
5792,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
5793,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
5794,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,NULL
5795,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
5796,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
5797,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
5798,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
5799,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,NULL
5800,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
5801,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Bareland
5802,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Built-up
5803,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Forest
5804,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,Built-up
5805,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
5806,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Bareland
5807,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Built-up
5808,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
5809,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Cropland
5810,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
5811,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
5812,Bareland,NULL,Built-up,NULL,Non_Wetland,Water,NULL,Water
5813,Bareland,NULL,Built-up,NULL,Non_Wetland,Water,Shrubland,Built-up
5814,Bareland,NULL,Built-up,NULL,Non_Wetland,Water,Bareland,Bareland
5815,Bareland,NULL,Built-up,NULL,Non_Wetland,Water,Bareland,Built-up
5816,Bareland,NULL,Built-up,NULL,Non_Wetland,Water,Water,NULL
5817,Bareland,NULL,Built-up,NULL,Non_Wetland,Water,Water,Bareland
5818,Bareland,NULL,Built-up,NULL,Non_Wetland,Water,Water,Built-up
5819,Bareland,NULL,Built-up,NULL,Non_Wetland,Water,Water,Water
