Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KZP_M_R
2996,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
2997,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
2998,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
2999,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
3000,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
3001,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
3002,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Cropland
3003,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
3004,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Bareland,Cropland
3005,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
3006,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Cropland
3007,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
3008,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
3009,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Cropland
3010,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Forest
3011,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
3012,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Cropland
3013,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
3014,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Forest,Cropland
3015,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
3016,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
3017,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland,NULL,Water
3018,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
3019,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
3020,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,Wetland
3021,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
3022,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
3023,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
3024,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
3025,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
3026,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
3027,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
3028,Grassland,Cropland,Forest,NULL,Non_Wetland,Built-up,NULL,Grassland
3029,Grassland,Cropland,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
3030,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
3031,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,Cropland
3032,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,Forest
3033,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
3034,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Cropland
3035,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
3036,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Wetland,Grassland
3037,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
3038,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Built-up,Forest
3039,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
3040,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Cropland
3041,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Forest
3042,Grassland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
3043,Grassland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
3044,Grassland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
3045,Grassland,Cropland,Forest,Non_Water,Non_Wetland,NULL,Grassland,Grassland
3046,Grassland,Cropland,Forest,Non_Water,Non_Wetland,NULL,Wetland,Grassland
3047,Grassland,Cropland,Forest,Non_Water,Non_Wetland,NULL,Water,Grassland
3048,Grassland,Cropland,Forest,Non_Water,Non_Wetland,NULL,Water,Water
3049,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland,NULL,Grassland
3050,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland,NULL,Forest
3051,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
3052,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
3053,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Wetland,NULL,Grassland
3054,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
3055,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Forest
3056,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
3057,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Forest,NULL,Grassland
3058,Grassland,Cropland,Forest,Water,Non_Wetland,Wetland,Grassland,Grassland
3059,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
3060,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
3061,Grassland,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Forest
3062,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
3063,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
3064,Grassland,Wetland,Wetland,NULL,Wetland,Forest,Wetland,Forest
3065,Grassland,Wetland,Water,Water,Water,NULL,Water,Grassland
3066,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
3067,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
3068,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
3069,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
3070,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
3071,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
3072,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3073,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
3074,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
3075,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
3076,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
3077,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
3078,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
3079,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
3080,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
3081,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
3082,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
3083,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
3084,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
3085,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
3086,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
3087,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
3088,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
3089,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3090,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
3091,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
3092,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
3093,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
3094,Grassland,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
3095,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
3096,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,Built-up,Grassland
3097,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
3098,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3099,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
3100,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
3101,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
3102,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
3103,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
3104,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
3105,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
3106,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
3107,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
3108,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
3109,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
3110,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
3111,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
3112,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland,Forest
3113,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
3114,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Cropland
3115,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Built-up
3116,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Forest
3117,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
3118,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
3119,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
3120,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
3121,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
3122,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3123,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
3124,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
3125,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
3126,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
3127,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
3128,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
3129,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Built-up
3130,Grassland,Built-up,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
3131,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
3132,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up,NULL,Cropland
3133,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
3134,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
3135,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
3136,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
3137,Grassland,Built-up,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
3138,Grassland,Built-up,Cropland,NULL,Non_Wetland,Forest,Grassland,Cropland
3139,Grassland,Built-up,Cropland,Non_Water,Non_Wetland,Cropland,Built-up,Grassland
3140,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
3141,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
3142,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
3143,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,Grassland,Grassland
3144,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,Grassland,Built-up
3145,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,Grassland,Forest
3146,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,Bareland,Grassland
3147,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,Bareland,Cropland
3148,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,Bareland,Built-up
3149,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up,Grassland
3150,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up,Cropland
3151,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up,Built-up
3152,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up,Forest
3153,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
3154,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Cropland
3155,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
3156,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
3157,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
3158,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Cropland
3159,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
3160,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
3161,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
3162,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
3163,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Cropland
3164,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
3165,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
3166,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up,NULL,Grassland
3167,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up,NULL,Cropland
3168,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up,NULL,Built-up
3169,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Built-up
3170,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
3171,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Cropland
3172,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
3173,Grassland,Built-up,Built-up,NULL,Non_Wetland,Forest,Built-up,Forest
3174,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
3175,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
3176,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
3177,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
3178,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
3179,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
3180,Grassland,Built-up,Forest,NULL,Non_Wetland,Forest,NULL,Forest
3181,Grassland,Built-up,Forest,NULL,Non_Wetland,Forest,Built-up,Forest
3182,Grassland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
3183,Grassland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3184,Grassland,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
3185,Grassland,Water,NULL,NULL,Non_Wetland,NULL,Water,Forest
3186,Grassland,Water,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
3187,Grassland,Water,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
3188,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
3189,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
3190,Grassland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
3191,Grassland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
3192,Grassland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
3193,Grassland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
3194,Grassland,Water,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
3195,Grassland,Water,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
3196,Grassland,Water,Cropland,NULL,Non_Wetland,NULL,Bareland,Cropland
3197,Grassland,Water,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
3198,Grassland,Water,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
3199,Grassland,Water,Cropland,NULL,Non_Wetland,NULL,Water,Water
3200,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
3201,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
3202,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3203,Grassland,Water,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
3204,Grassland,Water,Cropland,NULL,Non_Wetland,Forest,Wetland,Forest
3205,Grassland,Water,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
3206,Grassland,Water,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
3207,Grassland,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
3208,Grassland,Water,Wetland,NULL,Wetland,NULL,Water,Grassland
3209,Grassland,Water,Wetland,NULL,Wetland,NULL,Water,Forest
3210,Grassland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
3211,Grassland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
3212,Grassland,Water,Wetland,NULL,Wetland,Forest,Wetland,Grassland
3213,Grassland,Water,Wetland,NULL,Wetland,Forest,Wetland,Forest
3214,Grassland,Water,Wetland,NULL,Wetland,Forest,Water,Grassland
3215,Grassland,Water,Wetland,NULL,Wetland,Forest,Water,Forest
3216,Grassland,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Grassland
3217,Grassland,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
3218,Grassland,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
3219,Grassland,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
3220,Grassland,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
3221,Grassland,Water,Built-up,NULL,Non_Wetland,NULL,Bareland,Grassland
3222,Grassland,Water,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
3223,Grassland,Water,Built-up,NULL,Non_Wetland,Forest,Water,Forest
3224,Grassland,Water,Water,NULL,Water,NULL,Wetland,Grassland
3225,Grassland,Water,Water,Non_Water,Water,NULL,NULL,Grassland
3226,Grassland,Water,Water,Water,Water,NULL,Water,Water
3227,Grassland,Water,Water,Water,Water,Wetland,Wetland,Forest
3228,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
3229,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
3230,Grassland,Water,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
3231,Grassland,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
3232,Grassland,Water,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
3233,Grassland,Water,Forest,NULL,Non_Wetland,Grassland,Water,Forest
3234,Grassland,Water,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
3235,Grassland,Water,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
3236,Grassland,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
3237,Grassland,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
3238,Grassland,Water,Forest,NULL,Non_Wetland,Wetland,Water,Water
3239,Grassland,Water,Forest,NULL,Non_Wetland,Forest,NULL,Forest
3240,Grassland,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Grassland
3241,Grassland,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
3242,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,Wetland,Grassland
3243,Grassland,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
3244,Grassland,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
3245,Grassland,Water,Forest,Non_Water,Non_Wetland,Forest,NULL,Forest
3246,Grassland,Water,Forest,Non_Water,Non_Wetland,Forest,Wetland,Grassland
3247,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
3248,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3249,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
3250,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
3251,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
3252,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
3253,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
3254,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
3255,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
3256,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
3257,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
3258,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
3259,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
3260,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
3261,Grassland,Forest,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
3262,Grassland,Forest,NULL,NULL,Non_Wetland,Forest,NULL,Forest
3263,Grassland,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
3264,Grassland,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
3265,Grassland,Forest,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
3266,Grassland,Forest,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
3267,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
3268,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
3269,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
3270,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
3271,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
3272,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
3273,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
3274,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
3275,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
3276,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3277,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
3278,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
3279,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
3280,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
3281,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
3282,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
3283,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
3284,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
3285,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Cropland
3286,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
3287,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
3288,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
3289,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
3290,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
3291,Grassland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
3292,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
3293,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
3294,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
3295,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
3296,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
3297,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
3298,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
3299,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
3300,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3301,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
3302,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
3303,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
3304,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
3305,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
3306,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
3307,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
3308,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
3309,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
3310,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
3311,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
3312,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
3313,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
3314,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
3315,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
