Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18LZN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LZN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LZN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LZN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LZN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LZN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LZN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18LZN_M_R
341,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
342,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
343,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Grassland
344,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Bareland
345,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
346,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
347,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
348,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
349,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
350,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
351,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
352,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
353,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
354,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
355,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
356,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
357,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
358,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
359,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
360,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
361,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
362,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
363,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
364,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
365,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
366,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
367,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
368,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
369,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
370,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
371,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
372,Water,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Water
373,Water,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
374,Water,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
375,Water,Water,Cropland,Water,Non_Wetland,NULL,NULL,Water
376,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
377,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
378,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
379,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
380,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
381,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
382,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
383,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
384,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
385,Water,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
386,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
387,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
388,Water,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
389,Water,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Water
390,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
391,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
392,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
393,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
394,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
395,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
396,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
397,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
398,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
399,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
400,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
401,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Forest
402,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
403,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
404,Water,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
405,Water,Water,Water,NULL,Water,NULL,NULL,Grassland
406,Water,Water,Water,NULL,Water,NULL,NULL,Bareland
407,Water,Water,Water,NULL,Water,NULL,NULL,Water
408,Water,Water,Water,NULL,Water,NULL,NULL,Forest
409,Water,Water,Water,Non_Water,Water,NULL,NULL,Grassland
410,Water,Water,Water,Non_Water,Water,NULL,NULL,Bareland
411,Water,Water,Water,Non_Water,Water,NULL,NULL,Water
412,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
413,Water,Water,Water,Water,Water,NULL,NULL,Grassland
414,Water,Water,Water,Water,Water,NULL,NULL,Bareland
415,Water,Water,Water,Water,Water,NULL,NULL,Water
416,Water,Water,Water,Water,Water,NULL,NULL,Forest
417,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
418,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
419,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
420,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
421,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
422,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
423,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
424,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
425,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
426,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
427,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
428,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
429,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
430,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
431,Water,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
432,Water,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Water
433,Water,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
434,Water,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
435,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
436,Water,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
437,Water,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
438,Water,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
439,Water,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
440,Water,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
441,Water,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Water
442,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
443,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
444,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
445,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
446,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Bareland
447,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
448,Water,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Water
449,Water,Forest,Water,NULL,Water,NULL,NULL,Forest
450,Water,Forest,Water,Non_Water,Water,NULL,NULL,Forest
451,Water,Forest,Water,Water,Water,NULL,NULL,Forest
452,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
453,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
454,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
455,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
456,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
457,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
458,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
459,Water,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
460,Water,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
461,Permanent_ice_and_snow,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
462,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
463,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
464,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
465,Forest,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
466,Forest,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
467,Forest,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
468,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
469,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
470,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
471,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
472,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
473,Forest,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
474,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
475,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
476,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
477,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Water
478,Forest,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
479,Forest,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
480,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Water
481,Forest,NULL,Water,Water,Water,NULL,NULL,Forest
482,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
483,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
484,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
485,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
486,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
487,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
488,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
489,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
490,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
491,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
492,Forest,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
493,Forest,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
494,Forest,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
495,Forest,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
496,Forest,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
497,Forest,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
498,Forest,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
499,Forest,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
500,Forest,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
501,Forest,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
502,Forest,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
503,Forest,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
504,Forest,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
505,Forest,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
506,Forest,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
507,Forest,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
508,Forest,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
509,Forest,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
510,Forest,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
511,Forest,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
512,Forest,Bareland,Water,NULL,Water,NULL,NULL,Water
513,Forest,Bareland,Water,Water,Water,NULL,NULL,Water
514,Forest,Bareland,Water,Water,Water,NULL,NULL,Forest
515,Forest,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
516,Forest,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
517,Forest,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
518,Forest,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
519,Forest,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
520,Forest,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
521,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
522,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
523,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
524,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
525,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
526,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
527,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
528,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
529,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
530,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
531,Forest,Water,NULL,Water,Non_Wetland,NULL,NULL,Grassland
532,Forest,Water,NULL,Water,Non_Wetland,NULL,NULL,Bareland
533,Forest,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
534,Forest,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
535,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
536,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
537,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
538,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
539,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
540,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
541,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
542,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
543,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
544,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
545,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
546,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
547,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
548,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
549,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
550,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
551,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
552,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
553,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
554,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
555,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
556,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
557,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
558,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
559,Forest,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
560,Forest,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
561,Forest,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
562,Forest,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
563,Forest,Water,Cropland,Water,Non_Wetland,NULL,NULL,Forest
564,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
565,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
566,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Water
567,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
568,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
569,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
570,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
571,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
572,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
573,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
574,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Water
575,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Forest
576,Forest,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
577,Forest,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
578,Forest,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
579,Forest,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
580,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
581,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
582,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
583,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
584,Forest,Water,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
585,Forest,Water,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
586,Forest,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
587,Forest,Water,Bareland,Water,Non_Wetland,NULL,NULL,Forest
588,Forest,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
589,Forest,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
590,Forest,Water,Water,NULL,Water,NULL,NULL,Bareland
591,Forest,Water,Water,NULL,Water,NULL,NULL,Water
592,Forest,Water,Water,NULL,Water,NULL,NULL,Forest
593,Forest,Water,Water,Non_Water,Water,NULL,NULL,Grassland
594,Forest,Water,Water,Non_Water,Water,NULL,NULL,Bareland
595,Forest,Water,Water,Non_Water,Water,NULL,NULL,Water
596,Forest,Water,Water,Non_Water,Water,NULL,NULL,Forest
597,Forest,Water,Water,Water,Water,NULL,NULL,Grassland
598,Forest,Water,Water,Water,Water,NULL,NULL,Bareland
599,Forest,Water,Water,Water,Water,NULL,NULL,Water
600,Forest,Water,Water,Water,Water,NULL,NULL,Forest
601,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
602,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
603,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
604,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
605,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
606,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
607,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
608,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
609,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
610,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
611,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
612,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
613,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
614,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
615,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Water
616,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
617,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
618,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
619,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
620,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
621,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
622,Forest,Forest,NULL,Water,Non_Wetland,NULL,NULL,Grassland
623,Forest,Forest,NULL,Water,Non_Wetland,NULL,NULL,Bareland
624,Forest,Forest,NULL,Water,Non_Wetland,NULL,NULL,Water
625,Forest,Forest,NULL,Water,Non_Wetland,NULL,NULL,Forest
626,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
627,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
628,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
629,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
630,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
631,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
632,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
633,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
634,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
635,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
636,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
637,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
638,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
639,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
640,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
641,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
642,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Water
643,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
644,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
645,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
646,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
647,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
648,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
649,Forest,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
650,Forest,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
651,Forest,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Water
652,Forest,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Forest
653,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
654,Forest,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
655,Forest,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
656,Forest,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
657,Forest,Forest,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
658,Forest,Forest,Cropland,Water,Non_Wetland,NULL,NULL,Water
659,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
660,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Bareland
661,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
662,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
663,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
664,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
665,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
666,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
667,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
668,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
669,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Bareland
670,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Water
671,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
672,Forest,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
673,Forest,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
674,Forest,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Forest
675,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
676,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
677,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Water
678,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
679,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
680,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
681,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
682,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
683,Forest,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
684,Forest,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
685,Forest,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Water
686,Forest,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Forest
687,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
688,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
689,Forest,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
690,Forest,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
691,Forest,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
692,Forest,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
693,Forest,Forest,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
694,Forest,Forest,Water,NULL,Water,NULL,NULL,Bareland
695,Forest,Forest,Water,NULL,Water,NULL,NULL,Water
696,Forest,Forest,Water,NULL,Water,NULL,NULL,Forest
697,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
698,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Bareland
699,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Water
700,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Forest
701,Forest,Forest,Water,Water,Water,NULL,NULL,Grassland
702,Forest,Forest,Water,Water,Water,NULL,NULL,Bareland
