Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MKE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MKE_M_R
338,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
339,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
340,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,NULL
341,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,NULL
342,Grassland,NULL,Water,NULL,Water,Water,Water,NULL
343,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
344,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
345,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
346,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
347,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,NULL
348,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
349,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
350,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland,Water,NULL
351,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
352,Grassland,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
353,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
354,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
355,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
356,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,NULL
357,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
358,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
359,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
360,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
361,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
362,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
363,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
364,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
365,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
366,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
367,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
368,Cropland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
369,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
370,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
371,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
372,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
373,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,NULL
374,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,NULL
375,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,NULL
376,Cropland,NULL,Water,NULL,Water,Water,Bareland,NULL
377,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
378,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
379,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
380,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
381,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
382,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
383,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
384,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
385,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
386,Cropland,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
387,Cropland,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
388,Cropland,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
389,Cropland,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
390,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,NULL
391,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
392,Cropland,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
393,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
394,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
395,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
396,Cropland,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
397,Cropland,Forest,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
398,Cropland,Forest,Built-up,NULL,Non_Wetland,Grassland,Bareland,NULL
399,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
400,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
401,Wetland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
402,Wetland,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
403,Wetland,NULL,NULL,NULL,Non_Wetland,Water,Wetland,NULL
404,Wetland,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
405,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
406,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Water,NULL
407,Wetland,NULL,Wetland,NULL,Wetland,Water,Water,NULL
408,Wetland,NULL,Water,NULL,Water,Wetland,Wetland,NULL
409,Wetland,NULL,Water,NULL,Water,Wetland,Water,NULL
410,Wetland,NULL,Water,NULL,Water,Water,Wetland,NULL
411,Wetland,NULL,Water,NULL,Water,Water,Water,NULL
412,Wetland,Wetland,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
413,Wetland,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
414,Wetland,Wetland,NULL,NULL,Non_Wetland,Wetland,Water,NULL
415,Wetland,Wetland,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
416,Wetland,Wetland,NULL,NULL,Non_Wetland,Water,Wetland,NULL
417,Wetland,Wetland,NULL,NULL,Non_Wetland,Water,Water,NULL
418,Wetland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
419,Wetland,Wetland,Wetland,NULL,Wetland,NULL,Wetland,NULL
420,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
421,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Water,NULL
422,Wetland,Wetland,Wetland,NULL,Wetland,Water,Wetland,NULL
423,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,NULL
424,Wetland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
425,Wetland,Wetland,Water,NULL,Water,Wetland,Wetland,NULL
426,Wetland,Wetland,Water,NULL,Water,Wetland,Water,NULL
427,Wetland,Wetland,Water,NULL,Water,Water,Water,NULL
428,Wetland,Bareland,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
429,Wetland,Bareland,NULL,NULL,Non_Wetland,Water,Water,NULL
430,Wetland,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
431,Wetland,Water,NULL,NULL,Non_Wetland,Wetland,Water,NULL
432,Wetland,Water,NULL,NULL,Non_Wetland,Water,Wetland,NULL
433,Wetland,Water,NULL,NULL,Non_Wetland,Water,Water,NULL
434,Wetland,Water,Water,NULL,Water,Wetland,Water,NULL
435,Wetland,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
436,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
437,Bareland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
438,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
439,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
440,Bareland,Wetland,Wetland,NULL,Wetland,Water,Water,NULL
441,Bareland,Bareland,NULL,NULL,Non_Wetland,Grassland,Water,NULL
442,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland,Water,NULL
443,Bareland,Bareland,NULL,NULL,Non_Wetland,Water,Water,NULL
444,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
445,Bareland,Bareland,Wetland,NULL,Wetland,Bareland,Water,NULL
446,Bareland,Bareland,Water,NULL,Water,Bareland,Water,NULL
447,Bareland,Bareland,Water,NULL,Water,Water,Water,NULL
448,Bareland,Water,NULL,NULL,Non_Wetland,Wetland,Water,NULL
449,Bareland,Water,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
450,Bareland,Water,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
451,Bareland,Water,NULL,NULL,Non_Wetland,Bareland,Water,NULL
452,Bareland,Water,NULL,NULL,Non_Wetland,Water,Water,NULL
453,Bareland,Water,Wetland,NULL,Wetland,Bareland,Water,NULL
454,Bareland,Water,Wetland,NULL,Wetland,Water,Water,NULL
455,Bareland,Water,Water,NULL,Water,NULL,Water,NULL
456,Bareland,Water,Water,NULL,Water,Bareland,Water,NULL
457,Bareland,Water,Water,NULL,Water,Water,Water,NULL
458,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
459,Water,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
460,Water,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
461,Water,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
462,Water,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
463,Water,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
464,Water,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
465,Water,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
466,Water,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
467,Water,NULL,NULL,NULL,Non_Wetland,Water,Wetland,NULL
468,Water,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
469,Water,NULL,Grassland,NULL,Non_Wetland,Water,Water,NULL
470,Water,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
471,Water,NULL,Wetland,NULL,Wetland,Wetland,Water,NULL
472,Water,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
473,Water,NULL,Wetland,NULL,Wetland,Water,Water,NULL
474,Water,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
475,Water,NULL,Water,NULL,Water,Wetland,Wetland,NULL
476,Water,NULL,Water,NULL,Water,Wetland,Bareland,NULL
477,Water,NULL,Water,NULL,Water,Wetland,Water,NULL
478,Water,NULL,Water,NULL,Water,Water,Wetland,NULL
479,Water,NULL,Water,NULL,Water,Water,Water,NULL
480,Water,Wetland,NULL,NULL,Non_Wetland,NULL,Water,NULL
481,Water,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
482,Water,Wetland,NULL,NULL,Non_Wetland,Wetland,Water,NULL
483,Water,Wetland,NULL,NULL,Non_Wetland,Water,Wetland,NULL
484,Water,Wetland,NULL,NULL,Non_Wetland,Water,Water,NULL
485,Water,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
486,Water,Wetland,Grassland,NULL,Non_Wetland,Wetland,Water,NULL
487,Water,Wetland,Grassland,NULL,Non_Wetland,Water,Wetland,NULL
488,Water,Wetland,Wetland,NULL,Wetland,NULL,Wetland,NULL
489,Water,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,NULL
490,Water,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
491,Water,Wetland,Wetland,NULL,Wetland,Wetland,Water,NULL
492,Water,Wetland,Wetland,NULL,Wetland,Water,Wetland,NULL
493,Water,Wetland,Wetland,NULL,Wetland,Water,Water,NULL
494,Water,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
495,Water,Wetland,Bareland,NULL,Non_Wetland,Water,Wetland,NULL
496,Water,Wetland,Bareland,NULL,Non_Wetland,Water,Water,NULL
497,Water,Wetland,Water,NULL,Water,Wetland,Wetland,NULL
498,Water,Wetland,Water,NULL,Water,Wetland,Water,NULL
499,Water,Wetland,Water,NULL,Water,Water,Wetland,NULL
500,Water,Wetland,Water,NULL,Water,Water,Water,NULL
501,Water,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
502,Water,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,NULL
503,Water,Wetland,Forest,NULL,Non_Wetland,Water,Water,NULL
504,Water,Bareland,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
505,Water,Bareland,NULL,NULL,Non_Wetland,Wetland,Water,NULL
506,Water,Bareland,NULL,NULL,Non_Wetland,Bareland,Water,NULL
507,Water,Bareland,NULL,NULL,Non_Wetland,Water,Wetland,NULL
508,Water,Bareland,NULL,NULL,Non_Wetland,Water,Water,NULL
509,Water,Bareland,Wetland,NULL,Wetland,Wetland,Water,NULL
510,Water,Bareland,Wetland,NULL,Wetland,Water,Wetland,NULL
511,Water,Bareland,Wetland,NULL,Wetland,Water,Water,NULL
512,Water,Bareland,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
513,Water,Bareland,Built-up,NULL,Non_Wetland,Water,Water,NULL
514,Water,Bareland,Water,NULL,Water,Bareland,Water,NULL
515,Water,Bareland,Water,NULL,Water,Water,Water,NULL
516,Water,Built-up,NULL,NULL,Non_Wetland,Grassland,Water,NULL
517,Water,Built-up,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
518,Water,Built-up,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
519,Water,Built-up,NULL,NULL,Non_Wetland,Wetland,Water,NULL
520,Water,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
521,Water,Built-up,NULL,NULL,Non_Wetland,Bareland,Water,NULL
522,Water,Built-up,NULL,NULL,Non_Wetland,Built-up,Wetland,NULL
523,Water,Built-up,NULL,NULL,Non_Wetland,Built-up,Bareland,NULL
524,Water,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
525,Water,Built-up,NULL,NULL,Non_Wetland,Water,Wetland,NULL
526,Water,Built-up,NULL,NULL,Non_Wetland,Water,Bareland,NULL
527,Water,Built-up,NULL,NULL,Non_Wetland,Water,Built-up,NULL
528,Water,Built-up,NULL,NULL,Non_Wetland,Water,Water,NULL
529,Water,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
530,Water,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
531,Water,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
532,Water,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,NULL
533,Water,Built-up,Wetland,NULL,Wetland,Grassland,Bareland,NULL
534,Water,Built-up,Wetland,NULL,Wetland,Wetland,Bareland,NULL
535,Water,Water,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
536,Water,Water,NULL,NULL,Non_Wetland,NULL,Water,NULL
537,Water,Water,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
538,Water,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
539,Water,Water,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
540,Water,Water,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
541,Water,Water,NULL,NULL,Non_Wetland,Grassland,Water,NULL
542,Water,Water,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
543,Water,Water,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
544,Water,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
545,Water,Water,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
546,Water,Water,NULL,NULL,Non_Wetland,Wetland,Built-up,NULL
547,Water,Water,NULL,NULL,Non_Wetland,Wetland,Water,NULL
548,Water,Water,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
549,Water,Water,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
550,Water,Water,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
551,Water,Water,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
552,Water,Water,NULL,NULL,Non_Wetland,Bareland,Water,NULL
553,Water,Water,NULL,NULL,Non_Wetland,Built-up,Wetland,NULL
554,Water,Water,NULL,NULL,Non_Wetland,Built-up,Bareland,NULL
555,Water,Water,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
556,Water,Water,NULL,NULL,Non_Wetland,Built-up,Water,NULL
557,Water,Water,NULL,NULL,Non_Wetland,Water,NULL,NULL
558,Water,Water,NULL,NULL,Non_Wetland,Water,Grassland,NULL
559,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,NULL
560,Water,Water,NULL,NULL,Non_Wetland,Water,Bareland,NULL
561,Water,Water,NULL,NULL,Non_Wetland,Water,Built-up,NULL
562,Water,Water,NULL,NULL,Non_Wetland,Water,Water,NULL
563,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,NULL
564,Water,Water,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
565,Water,Water,NULL,NULL,Non_Wetland,Forest,Water,NULL
566,Water,Water,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
567,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
568,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
569,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
570,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
571,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
572,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
573,Water,Water,Shrubland,NULL,Non_Wetland,Water,Bareland,NULL
574,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,NULL
575,Water,Water,Grassland,NULL,Non_Wetland,NULL,Water,NULL
576,Water,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
577,Water,Water,Grassland,NULL,Non_Wetland,Wetland,Water,NULL
578,Water,Water,Grassland,NULL,Non_Wetland,Bareland,Water,NULL
579,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,NULL
580,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,NULL
581,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,NULL
582,Water,Water,Wetland,NULL,Wetland,NULL,Water,NULL
583,Water,Water,Wetland,NULL,Wetland,Grassland,NULL,NULL
584,Water,Water,Wetland,NULL,Wetland,Grassland,Wetland,NULL
585,Water,Water,Wetland,NULL,Wetland,Grassland,Water,NULL
586,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,NULL
587,Water,Water,Wetland,NULL,Wetland,Wetland,Water,NULL
588,Water,Water,Wetland,NULL,Wetland,Wetland,Forest,NULL
589,Water,Water,Wetland,NULL,Wetland,Bareland,Wetland,NULL
590,Water,Water,Wetland,NULL,Wetland,Bareland,Bareland,NULL
591,Water,Water,Wetland,NULL,Wetland,Bareland,Water,NULL
592,Water,Water,Wetland,NULL,Wetland,Water,Grassland,NULL
593,Water,Water,Wetland,NULL,Wetland,Water,Wetland,NULL
594,Water,Water,Wetland,NULL,Wetland,Water,Bareland,NULL
595,Water,Water,Wetland,NULL,Wetland,Water,Water,NULL
596,Water,Water,Wetland,NULL,Wetland,Water,Forest,NULL
597,Water,Water,Wetland,NULL,Wetland,Forest,Wetland,NULL
598,Water,Water,Wetland,NULL,Wetland,Forest,Water,NULL
599,Water,Water,Bareland,NULL,Non_Wetland,Grassland,Bareland,NULL
600,Water,Water,Bareland,NULL,Non_Wetland,Grassland,Water,NULL
601,Water,Water,Bareland,NULL,Non_Wetland,Wetland,NULL,NULL
602,Water,Water,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
603,Water,Water,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
604,Water,Water,Bareland,NULL,Non_Wetland,Bareland,Water,NULL
605,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,NULL
606,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,NULL
607,Water,Water,Bareland,NULL,Non_Wetland,Water,Forest,NULL
608,Water,Water,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
609,Water,Water,Built-up,NULL,Non_Wetland,Wetland,Water,NULL
610,Water,Water,Built-up,NULL,Non_Wetland,Bareland,Water,NULL
611,Water,Water,Built-up,NULL,Non_Wetland,Water,Wetland,NULL
612,Water,Water,Built-up,NULL,Non_Wetland,Water,Water,NULL
613,Water,Water,Water,NULL,Water,Grassland,Water,NULL
614,Water,Water,Water,NULL,Water,Wetland,Wetland,NULL
615,Water,Water,Water,NULL,Water,Wetland,Water,NULL
616,Water,Water,Water,NULL,Water,Bareland,Water,NULL
617,Water,Water,Water,NULL,Water,Water,Wetland,NULL
618,Water,Water,Water,NULL,Water,Water,Bareland,NULL
619,Water,Water,Water,NULL,Water,Water,Water,NULL
620,Water,Water,Water,NULL,Water,Water,Forest,NULL
621,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
622,Water,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
623,Water,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
624,Water,Water,Forest,NULL,Non_Wetland,Wetland,Bareland,NULL
625,Water,Water,Forest,NULL,Non_Wetland,Wetland,Water,NULL
626,Water,Water,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
627,Water,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
628,Water,Water,Forest,NULL,Non_Wetland,Bareland,Water,NULL
629,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,NULL
630,Water,Water,Forest,NULL,Non_Wetland,Water,Water,NULL
631,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,NULL
632,Water,Water,Forest,NULL,Non_Wetland,Forest,Wetland,NULL
633,Water,Water,Forest,NULL,Non_Wetland,Forest,Water,NULL
634,Water,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
635,Water,Forest,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
636,Water,Forest,NULL,NULL,Non_Wetland,Water,Wetland,NULL
637,Water,Forest,NULL,NULL,Non_Wetland,Water,Water,NULL
638,Water,Forest,NULL,NULL,Non_Wetland,Water,Forest,NULL
639,Water,Forest,Wetland,NULL,Wetland,Wetland,Wetland,NULL
640,Water,Forest,Bareland,NULL,Non_Wetland,Built-up,Bareland,NULL
641,Permanent_ice_and_snow,Bareland,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
642,Permanent_ice_and_snow,Bareland,NULL,NULL,Non_Wetland,Water,Water,NULL
643,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,Wetland,Wetland,NULL
644,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
645,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
646,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
647,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
648,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
649,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
650,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
651,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
652,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
653,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
654,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
655,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
656,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
657,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
658,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
659,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
660,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
661,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
662,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
663,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
664,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
665,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
666,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
667,Forest,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
668,Forest,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
669,Forest,NULL,NULL,NULL,Non_Wetland,Water,Wetland,NULL
670,Forest,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
671,Forest,NULL,NULL,NULL,Non_Wetland,Water,Forest,NULL
672,Forest,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
673,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
674,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
675,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
676,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
677,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
678,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
679,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
680,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
681,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
682,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
683,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
684,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
685,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
686,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
687,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
688,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
689,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
690,Forest,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,NULL
691,Forest,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
692,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
693,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
694,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
695,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,NULL
696,Forest,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,NULL
697,Forest,NULL,Grassland,NULL,Non_Wetland,Water,Water,NULL
