Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MXD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MXD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MXD_M_R
359,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
360,Forest,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
361,Forest,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
362,Forest,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
363,Forest,NULL,Water,NULL,Water,NULL,NULL,Grassland
364,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
365,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Water
366,Forest,NULL,Water,Water,Water,NULL,NULL,Grassland
367,Forest,NULL,Water,Water,Water,NULL,NULL,Wetland
368,Forest,NULL,Water,Water,Water,NULL,NULL,Water
369,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
370,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
371,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
372,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
373,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
374,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
375,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
376,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
377,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
378,Forest,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
379,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
380,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
381,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
382,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
383,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
384,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
385,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
386,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
387,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
388,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
389,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
390,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
391,Forest,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
392,Forest,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Forest
393,Forest,Wetland,Water,NULL,Water,NULL,NULL,Grassland
394,Forest,Wetland,Water,NULL,Water,NULL,NULL,Wetland
395,Forest,Wetland,Water,NULL,Water,NULL,NULL,Water
396,Forest,Wetland,Water,NULL,Water,NULL,NULL,Forest
397,Forest,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
398,Forest,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
399,Forest,Wetland,Water,Water,Water,NULL,NULL,Grassland
400,Forest,Wetland,Water,Water,Water,NULL,NULL,Wetland
401,Forest,Wetland,Water,Water,Water,NULL,NULL,Water
402,Forest,Wetland,Water,Water,Water,NULL,NULL,Forest
403,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
404,Forest,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
405,Forest,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
406,Forest,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
407,Forest,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
408,Forest,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
409,Forest,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
410,Forest,Bareland,Water,Non_Water,Water,NULL,NULL,Water
411,Forest,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
412,Forest,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
413,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
414,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
415,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
416,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
417,Forest,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
418,Forest,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
419,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
420,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
421,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
422,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
423,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
424,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
425,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
426,Forest,Water,NULL,Water,Non_Wetland,NULL,NULL,Grassland
427,Forest,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
428,Forest,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
429,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
430,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
431,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
432,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
433,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
434,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
435,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
436,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
437,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
438,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
439,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
440,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
441,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
442,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
443,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
444,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
445,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
446,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
447,Forest,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Water
448,Forest,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
449,Forest,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
450,Forest,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
451,Forest,Water,Cropland,Water,Non_Wetland,NULL,NULL,Water
452,Forest,Water,Cropland,Water,Non_Wetland,NULL,NULL,Forest
453,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
454,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
455,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Water
456,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
457,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
458,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
459,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
460,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
461,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
462,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Water
463,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Forest
464,Forest,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Water
465,Forest,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Forest
466,Forest,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
467,Forest,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
468,Forest,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
469,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
470,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
471,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
472,Forest,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
473,Forest,Water,Bareland,Water,Non_Wetland,NULL,NULL,Forest
474,Forest,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Water
475,Forest,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
476,Forest,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
477,Forest,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
478,Forest,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
479,Forest,Water,Built-up,Water,Non_Wetland,NULL,NULL,Forest
480,Forest,Water,Water,NULL,Water,NULL,NULL,Grassland
481,Forest,Water,Water,NULL,Water,NULL,NULL,Wetland
482,Forest,Water,Water,NULL,Water,NULL,NULL,Water
483,Forest,Water,Water,NULL,Water,NULL,NULL,Forest
484,Forest,Water,Water,Non_Water,Water,NULL,NULL,Grassland
485,Forest,Water,Water,Non_Water,Water,NULL,NULL,Water
486,Forest,Water,Water,Non_Water,Water,NULL,NULL,Forest
487,Forest,Water,Water,Water,Water,NULL,NULL,Grassland
488,Forest,Water,Water,Water,Water,NULL,NULL,Wetland
489,Forest,Water,Water,Water,Water,NULL,NULL,Water
490,Forest,Water,Water,Water,Water,NULL,NULL,Forest
491,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
492,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
493,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
494,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
495,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
496,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
497,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
498,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
499,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
500,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
501,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
502,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
503,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Water
504,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
505,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
506,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
507,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
508,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
509,Forest,Forest,NULL,Water,Non_Wetland,NULL,NULL,Grassland
510,Forest,Forest,NULL,Water,Non_Wetland,NULL,NULL,Water
511,Forest,Forest,NULL,Water,Non_Wetland,NULL,NULL,Forest
512,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
513,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
514,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
515,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
516,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
517,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
518,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
519,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
520,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
521,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
522,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
523,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
524,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
525,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Water
526,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
527,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
528,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
529,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
530,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
531,Forest,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
532,Forest,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Water
533,Forest,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Forest
534,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
535,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
536,Forest,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
537,Forest,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
538,Forest,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
539,Forest,Forest,Cropland,Water,Non_Wetland,NULL,NULL,Forest
540,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
541,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
542,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
543,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
544,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
545,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,NULL
546,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
547,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
548,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
549,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
550,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
551,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Wetland
552,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Bareland
553,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Water
554,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
555,Forest,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
556,Forest,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Forest
557,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
558,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
559,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Water
560,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
561,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
562,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
563,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
564,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
565,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
566,Forest,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Water
567,Forest,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Forest
568,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
569,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Water
570,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
571,Forest,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
572,Forest,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
573,Forest,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
574,Forest,Forest,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
575,Forest,Forest,Built-up,Water,Non_Wetland,NULL,NULL,Water
576,Forest,Forest,Built-up,Water,Non_Wetland,NULL,NULL,Forest
577,Forest,Forest,Water,NULL,Water,NULL,NULL,Grassland
578,Forest,Forest,Water,NULL,Water,NULL,NULL,Water
579,Forest,Forest,Water,NULL,Water,NULL,NULL,Forest
580,Forest,Forest,Water,Non_Water,Water,NULL,NULL,NULL
581,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
582,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Water
583,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Forest
584,Forest,Forest,Water,Water,Water,NULL,NULL,Grassland
585,Forest,Forest,Water,Water,Water,NULL,NULL,Water
586,Forest,Forest,Water,Water,Water,NULL,NULL,Forest
587,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
588,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
589,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
590,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
591,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
592,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
593,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
594,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
595,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
596,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
597,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
