Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NXD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NXD_M_R
359,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
360,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
361,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
362,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
363,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
364,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
365,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
366,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
367,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Water
368,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
369,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
370,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
371,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
372,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
373,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
374,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
375,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
376,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Water
377,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Forest
378,Forest,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
379,Forest,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
380,Forest,Water,Water,NULL,Water,NULL,NULL,Grassland
381,Forest,Water,Water,NULL,Water,NULL,NULL,Wetland
382,Forest,Water,Water,NULL,Water,NULL,NULL,Bareland
383,Forest,Water,Water,NULL,Water,NULL,NULL,Water
384,Forest,Water,Water,NULL,Water,NULL,NULL,Forest
385,Forest,Water,Water,Non_Water,Water,NULL,NULL,Grassland
386,Forest,Water,Water,Non_Water,Water,NULL,NULL,Wetland
387,Forest,Water,Water,Non_Water,Water,NULL,NULL,Water
388,Forest,Water,Water,Non_Water,Water,NULL,NULL,Forest
389,Forest,Water,Water,Water,Water,NULL,NULL,Grassland
390,Forest,Water,Water,Water,Water,NULL,NULL,Wetland
391,Forest,Water,Water,Water,Water,NULL,NULL,Bareland
392,Forest,Water,Water,Water,Water,NULL,NULL,Water
393,Forest,Water,Water,Water,Water,NULL,NULL,Forest
394,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
395,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
396,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
397,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
398,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
399,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
400,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
401,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
402,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
403,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
404,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
405,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
406,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
407,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
408,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
409,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
410,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
411,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
412,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
413,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
414,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
415,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
416,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
417,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
418,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
419,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
420,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
421,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
422,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
423,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
424,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Cropland
425,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
426,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
427,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
428,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
429,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
430,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
431,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Water
432,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
433,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
434,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
435,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
436,Forest,Forest,Water,NULL,Water,NULL,NULL,Grassland
437,Forest,Forest,Water,NULL,Water,NULL,NULL,Water
438,Forest,Forest,Water,NULL,Water,NULL,NULL,Forest
439,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Water
440,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Forest
441,Forest,Forest,Water,Water,Water,NULL,NULL,Grassland
442,Forest,Forest,Water,Water,Water,NULL,NULL,Water
443,Forest,Forest,Water,Water,Water,NULL,NULL,Forest
444,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
445,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
446,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
447,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
448,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
449,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
450,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
451,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
452,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
453,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
