Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MBC_M_R
1443,NULL,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
1444,NULL,Water,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1445,NULL,Water,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
1446,NULL,Water,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Water
1447,NULL,Water,Grassland,Non_Water,Non_Wetland,Wetland,Water,Forest
1448,NULL,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
1449,NULL,Water,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
1450,NULL,Water,Wetland,NULL,Wetland,Grassland,Grassland,Forest
1451,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1452,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1453,NULL,Water,Wetland,NULL,Wetland,Wetland,NULL,Forest
1454,NULL,Water,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
1455,NULL,Water,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
1456,NULL,Water,Wetland,NULL,Wetland,Wetland,Grassland,Water
1457,NULL,Water,Wetland,NULL,Wetland,Wetland,Grassland,Forest
1458,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1459,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
1460,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Water
1461,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1462,NULL,Water,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
1463,NULL,Water,Wetland,NULL,Wetland,Wetland,Bareland,Forest
1464,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Grassland
1465,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Wetland
1466,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Water
1467,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
1468,NULL,Water,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
1469,NULL,Water,Wetland,NULL,Wetland,Bareland,Water,Water
1470,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
1471,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Wetland
1472,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
1473,NULL,Water,Wetland,NULL,Wetland,Water,Water,Grassland
1474,NULL,Water,Wetland,Non_Water,Wetland,Grassland,Water,Bareland
1475,NULL,Water,Wetland,Non_Water,Wetland,Grassland,Water,Water
1476,NULL,Water,Wetland,Non_Water,Wetland,Grassland,Water,Forest
1477,NULL,Water,Wetland,Non_Water,Wetland,Wetland,NULL,Wetland
1478,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
1479,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Grassland,Wetland
1480,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Grassland,Water
1481,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Grassland,Forest
1482,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
1483,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
1484,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
1485,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
1486,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
1487,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
1488,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
1489,NULL,Water,Wetland,Non_Water,Wetland,Built-up,Water,Bareland
1490,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
1491,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Wetland
1492,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Water
1493,NULL,Water,Wetland,Water,Wetland,Grassland,Wetland,Grassland
1494,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Wetland
1495,NULL,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1496,NULL,Water,Wetland,Water,Wetland,Wetland,Wetland,Wetland
1497,NULL,Water,Wetland,Water,Wetland,Wetland,Wetland,Water
1498,NULL,Water,Wetland,Water,Wetland,Wetland,Wetland,Forest
1499,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
1500,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Wetland
1501,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Bareland
1502,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Water
1503,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Forest
1504,NULL,Water,Wetland,Water,Wetland,Bareland,Water,Grassland
1505,NULL,Water,Wetland,Water,Wetland,Built-up,Water,Grassland
1506,NULL,Water,Wetland,Water,Wetland,Built-up,Water,Bareland
1507,NULL,Water,Wetland,Water,Wetland,Built-up,Water,Built-up
1508,NULL,Water,Wetland,Water,Wetland,Built-up,Water,Water
1509,NULL,Water,Wetland,Water,Wetland,Built-up,Water,Forest
1510,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
1511,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Wetland
1512,NULL,Water,Wetland,Water,Wetland,Water,Water,Grassland
1513,NULL,Water,Wetland,Water,Wetland,Water,Water,Wetland
1514,NULL,Water,Wetland,Water,Wetland,Water,Water,Bareland
1515,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
1516,NULL,Water,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
1517,NULL,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
1518,NULL,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Wetland
1519,NULL,Water,Bareland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
1520,NULL,Water,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1521,NULL,Water,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
1522,NULL,Water,Bareland,Non_Water,Non_Wetland,Wetland,Water,Wetland
1523,NULL,Water,Bareland,Water,Non_Wetland,Wetland,Wetland,Wetland
1524,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
1525,NULL,Water,Built-up,Water,Non_Wetland,Wetland,Wetland,Water
1526,NULL,Water,Water,Non_Water,Water,Wetland,Wetland,Grassland
1527,NULL,Water,Water,Non_Water,Water,Wetland,Water,Wetland
1528,NULL,Water,Water,Water,Water,Wetland,Wetland,Grassland
1529,NULL,Water,Water,Water,Water,Wetland,Wetland,Wetland
1530,NULL,Water,Water,Water,Water,Wetland,Bareland,Grassland
1531,NULL,Water,Water,Water,Water,Wetland,Water,Wetland
1532,NULL,Water,Water,Water,Water,Wetland,Water,Water
1533,NULL,Water,Water,Water,Water,Wetland,Water,Forest
1534,NULL,Water,Water,Water,Water,Bareland,Water,Forest
1535,NULL,Water,Water,Water,Water,Built-up,Water,Bareland
1536,NULL,Water,Water,Water,Water,Water,Wetland,Grassland
1537,NULL,Water,Water,Water,Water,Water,Wetland,Water
1538,NULL,Water,Water,Water,Water,Water,Water,Grassland
1539,NULL,Water,Water,Water,Water,Water,Water,Wetland
1540,NULL,Water,Water,Water,Water,Water,Water,Bareland
1541,NULL,Water,Water,Water,Water,Water,Water,Water
1542,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1543,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
1544,NULL,Water,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
1545,NULL,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1546,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1547,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1548,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1549,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1550,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
1551,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1552,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1553,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
1554,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
1555,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
1556,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
1557,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1558,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
1559,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
1560,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1561,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
1562,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1563,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1564,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1565,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
1566,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
1567,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1568,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
1569,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
1570,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1571,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
1572,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
1573,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
1574,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1575,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
1576,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
1577,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
1578,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
1579,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
1580,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
1581,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
1582,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
1583,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
1584,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
1585,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1586,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1587,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1588,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
1589,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
1590,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1591,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
1592,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
1593,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
1594,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1595,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
1596,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1597,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
1598,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
1599,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
1600,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
1601,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
1602,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
1603,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1604,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
1605,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
1606,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1607,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
1608,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Forest,Bareland
1609,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
1610,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
1611,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
1612,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
1613,NULL,Forest,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1614,NULL,Forest,Wetland,NULL,Wetland,NULL,Wetland,Grassland
1615,NULL,Forest,Wetland,NULL,Wetland,NULL,Wetland,Wetland
1616,NULL,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
1617,NULL,Forest,Wetland,NULL,Wetland,NULL,Forest,Forest
1618,NULL,Forest,Wetland,NULL,Wetland,Grassland,NULL,Forest
1619,NULL,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
1620,NULL,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
1621,NULL,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Forest
1622,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1623,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
1624,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1625,NULL,Forest,Wetland,NULL,Wetland,Grassland,Forest,Forest
1626,NULL,Forest,Wetland,NULL,Wetland,Wetland,NULL,Grassland
1627,NULL,Forest,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
1628,NULL,Forest,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
1629,NULL,Forest,Wetland,NULL,Wetland,Wetland,Grassland,Forest
1630,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1631,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
1632,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Water
1633,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1634,NULL,Forest,Wetland,NULL,Wetland,Wetland,Bareland,Forest
1635,NULL,Forest,Wetland,NULL,Wetland,Wetland,Water,Grassland
1636,NULL,Forest,Wetland,NULL,Wetland,Wetland,Water,Wetland
1637,NULL,Forest,Wetland,NULL,Wetland,Wetland,Forest,Grassland
1638,NULL,Forest,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
1639,NULL,Forest,Wetland,NULL,Wetland,Bareland,Water,Forest
1640,NULL,Forest,Wetland,NULL,Wetland,Water,Wetland,Grassland
1641,NULL,Forest,Wetland,NULL,Wetland,Water,Wetland,Wetland
1642,NULL,Forest,Wetland,NULL,Wetland,Water,Wetland,Water
1643,NULL,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
1644,NULL,Forest,Wetland,NULL,Wetland,Water,Water,Grassland
1645,NULL,Forest,Wetland,NULL,Wetland,Water,Water,Wetland
1646,NULL,Forest,Wetland,NULL,Wetland,Forest,Wetland,Forest
1647,NULL,Forest,Wetland,NULL,Wetland,Forest,Forest,Forest
1648,NULL,Forest,Wetland,Non_Water,Wetland,NULL,Wetland,Grassland
1649,NULL,Forest,Wetland,Non_Water,Wetland,NULL,Wetland,Wetland
1650,NULL,Forest,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
1651,NULL,Forest,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
1652,NULL,Forest,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
1653,NULL,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
1654,NULL,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
1655,NULL,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
1656,NULL,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
1657,NULL,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
1658,NULL,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
1659,NULL,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
1660,NULL,Forest,Wetland,Non_Water,Wetland,Water,Water,Wetland
1661,NULL,Forest,Wetland,Water,Wetland,NULL,Wetland,Grassland
1662,NULL,Forest,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1663,NULL,Forest,Wetland,Water,Wetland,Wetland,Wetland,Wetland
1664,NULL,Forest,Wetland,Water,Wetland,Wetland,Wetland,Forest
1665,NULL,Forest,Wetland,Water,Wetland,Wetland,Water,Grassland
1666,NULL,Forest,Wetland,Water,Wetland,Wetland,Water,Wetland
1667,NULL,Forest,Wetland,Water,Wetland,Bareland,Wetland,Grassland
1668,NULL,Forest,Wetland,Water,Wetland,Water,Wetland,Grassland
1669,NULL,Forest,Wetland,Water,Wetland,Water,Wetland,Wetland
1670,NULL,Forest,Wetland,Water,Wetland,Water,Wetland,Forest
1671,NULL,Forest,Wetland,Water,Wetland,Water,Water,Wetland
1672,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,Wetland,Water
1673,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
1674,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1675,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
1676,NULL,Forest,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
1677,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Wetland
1678,NULL,Forest,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1679,NULL,Forest,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
1680,NULL,Forest,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Water
1681,NULL,Forest,Bareland,Non_Water,Non_Wetland,Wetland,Water,Wetland
1682,NULL,Forest,Bareland,Non_Water,Non_Wetland,Water,Wetland,Wetland
1683,NULL,Forest,Bareland,Non_Water,Non_Wetland,Water,Water,Wetland
1684,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1685,NULL,Forest,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
1686,NULL,Forest,Water,NULL,Water,Wetland,Wetland,Wetland
1687,NULL,Forest,Water,NULL,Water,Wetland,Wetland,Water
1688,NULL,Forest,Water,NULL,Water,Water,Wetland,Grassland
1689,NULL,Forest,Water,Non_Water,Water,Wetland,Wetland,Wetland
1690,NULL,Forest,Water,Non_Water,Water,Water,Water,Wetland
1691,NULL,Forest,Water,Water,Water,Wetland,Wetland,Grassland
1692,NULL,Forest,Water,Water,Water,Wetland,Wetland,Wetland
1693,NULL,Forest,Water,Water,Water,Wetland,Wetland,Water
1694,NULL,Forest,Water,Water,Water,Wetland,Wetland,Forest
1695,NULL,Forest,Water,Water,Water,Wetland,Water,Wetland
1696,NULL,Forest,Water,Water,Water,Water,Wetland,Wetland
1697,NULL,Forest,Water,Water,Water,Water,Water,Wetland
1698,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
1699,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
1700,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
1701,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
1702,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1703,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1704,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1705,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1706,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
1707,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1708,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1709,NULL,Forest,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
1710,NULL,Forest,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
1711,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1712,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1713,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1714,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
1715,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1716,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
1717,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
1718,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1719,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
1720,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
1721,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1722,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
1723,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1724,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
1725,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1726,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
1727,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
1728,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1729,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
1730,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
1731,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1732,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1733,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
1734,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
1735,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
1736,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1737,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1738,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
1739,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
1740,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
1741,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
1742,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
1743,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
1744,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
1745,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
1746,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
1747,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
1748,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
1749,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
1750,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
1751,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1752,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
1753,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
1754,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
1755,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Water
1756,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
1757,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
1758,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
1759,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
1760,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1761,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1762,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
1763,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
1764,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
1765,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1766,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
1767,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Water
1768,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1769,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
1770,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
1771,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
1772,Grassland,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
1773,Grassland,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
1774,Grassland,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
1775,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
1776,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
1777,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
1778,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
1779,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
1780,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
1781,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
1782,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
1783,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
1784,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Forest,Grassland
1785,Grassland,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
1786,Grassland,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
