Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NQG_M_R
2071,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
2072,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
2073,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
2074,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
2075,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
2076,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
2077,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
2078,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
2079,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
2080,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2081,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
2082,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
2083,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
2084,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
2085,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
2086,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Bareland
2087,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
2088,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
2089,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
2090,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
2091,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Bareland
2092,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
2093,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
2094,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
2095,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Water,Grassland
2096,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
2097,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Shrubland,Grassland
2098,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
2099,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
2100,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Grassland
2101,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
2102,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Grassland
2103,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
2104,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
2105,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
2106,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
2107,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
2108,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
2109,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
2110,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
2111,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
2112,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
2113,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
2114,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Forest,Wetland,Grassland
2115,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,Grassland,Grassland
2116,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,Grassland,Forest
2117,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,Wetland,Grassland
2118,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,Shrubland,Grassland
2119,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
2120,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Wetland
2121,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Forest
2122,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
2123,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
2124,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,Forest,Grassland
2125,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,NULL,Grassland
2126,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
2127,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
2128,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
2129,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Water
2130,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Forest
2131,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
2132,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Wetland
2133,Grassland,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
2134,Grassland,NULL,Grassland,Water,Non_Wetland,Water,Grassland,Grassland
2135,Grassland,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
2136,Grassland,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Wetland
2137,Grassland,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Bareland
2138,Grassland,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Water
2139,Grassland,NULL,Grassland,Water,Non_Wetland,Water,Water,Grassland
2140,Grassland,NULL,Grassland,Water,Non_Wetland,Water,Water,Wetland
2141,Grassland,NULL,Grassland,Water,Non_Wetland,Water,Water,Water
2142,Grassland,NULL,Grassland,Water,Non_Wetland,Forest,Wetland,Grassland
2143,Grassland,NULL,Grassland,Water,Non_Wetland,Forest,Wetland,Forest
2144,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2145,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2146,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
2147,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
2148,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
2149,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
2150,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
2151,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
2152,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
2153,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
2154,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
2155,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Bareland
2156,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
2157,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2158,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
2159,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
2160,Grassland,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
2161,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland,NULL
2162,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
2163,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
2164,Grassland,NULL,Wetland,NULL,Wetland,NULL,Water,Forest
2165,Grassland,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
2166,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
2167,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
2168,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
2169,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
2170,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Built-up
2171,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
2172,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
2173,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
2174,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
2175,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
2176,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
2177,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
2178,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
2179,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Wetland
2180,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
2181,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Grassland
2182,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
2183,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
2184,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
2185,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Bareland
2186,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
2187,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
2188,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
2189,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
2190,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
2191,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
2192,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
2193,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
2194,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Water,Water
2195,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
2196,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
2197,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
2198,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
2199,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
2200,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
2201,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
2202,Grassland,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
2203,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
2204,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
2205,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
2206,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
2207,Grassland,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
2208,Grassland,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
2209,Grassland,NULL,Wetland,NULL,Wetland,Water,Water,Water
2210,Grassland,NULL,Wetland,NULL,Wetland,Water,Water,Forest
2211,Grassland,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
2212,Grassland,NULL,Wetland,NULL,Wetland,Forest,Wetland,Grassland
2213,Grassland,NULL,Wetland,NULL,Wetland,Forest,Water,Forest
2214,Grassland,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
2215,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Grassland
2216,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
2217,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
2218,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Wetland
2219,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
2220,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
2221,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
2222,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Forest
2223,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
2224,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
2225,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
2226,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
2227,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
2228,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
2229,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
2230,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Forest,Grassland
2231,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
2232,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
2233,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Water
2234,Grassland,NULL,Wetland,Non_Water,Wetland,Forest,Wetland,Grassland
2235,Grassland,NULL,Wetland,Water,Wetland,NULL,Wetland,Grassland
2236,Grassland,NULL,Wetland,Water,Wetland,NULL,Wetland,Forest
2237,Grassland,NULL,Wetland,Water,Wetland,Grassland,Grassland,Wetland
2238,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
2239,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
2240,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
2241,Grassland,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
2242,Grassland,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
2243,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
2244,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
2245,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Bareland
2246,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
2247,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
2248,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
2249,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
2250,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Water
2251,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
2252,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
2253,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
2254,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Bareland
2255,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Water
2256,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
2257,Grassland,NULL,Wetland,Water,Wetland,Water,Water,Grassland
2258,Grassland,NULL,Wetland,Water,Wetland,Water,Water,Bareland
2259,Grassland,NULL,Wetland,Water,Wetland,Water,Water,Water
2260,Grassland,NULL,Wetland,Water,Wetland,Water,Water,Forest
2261,Grassland,NULL,Wetland,Water,Wetland,Forest,Wetland,Grassland
2262,Grassland,NULL,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Built-up
2263,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Built-up
2264,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
2265,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
2266,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
2267,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
2268,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
2269,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Built-up
2270,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
2271,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
2272,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
2273,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
2274,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Built-up
2275,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Forest
2276,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
2277,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland,Bareland,Grassland
2278,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Grassland
2279,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
2280,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
2281,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
2282,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
2283,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,Shrubland,Grassland
2284,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
2285,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,Wetland,Grassland
2286,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
2287,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
2288,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
2289,Grassland,NULL,Water,NULL,Water,NULL,Wetland,Grassland
2290,Grassland,NULL,Water,NULL,Water,NULL,Wetland,Forest
2291,Grassland,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
2292,Grassland,NULL,Water,NULL,Water,Grassland,Wetland,Grassland
2293,Grassland,NULL,Water,NULL,Water,Grassland,Wetland,Forest
2294,Grassland,NULL,Water,NULL,Water,Grassland,Water,Grassland
2295,Grassland,NULL,Water,NULL,Water,Wetland,Grassland,Grassland
2296,Grassland,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
2297,Grassland,NULL,Water,NULL,Water,Wetland,Wetland,Wetland
2298,Grassland,NULL,Water,NULL,Water,Wetland,Wetland,Forest
2299,Grassland,NULL,Water,NULL,Water,Wetland,Water,Grassland
2300,Grassland,NULL,Water,NULL,Water,Wetland,Forest,Forest
2301,Grassland,NULL,Water,NULL,Water,Water,Wetland,Grassland
2302,Grassland,NULL,Water,NULL,Water,Water,Wetland,Water
2303,Grassland,NULL,Water,NULL,Water,Water,Water,Grassland
2304,Grassland,NULL,Water,NULL,Water,Water,Water,Water
2305,Grassland,NULL,Water,NULL,Water,Forest,Wetland,Grassland
2306,Grassland,NULL,Water,Non_Water,Water,Wetland,Wetland,Grassland
2307,Grassland,NULL,Water,Non_Water,Water,Water,Wetland,Grassland
2308,Grassland,NULL,Water,Non_Water,Water,Water,Wetland,Water
2309,Grassland,NULL,Water,Non_Water,Water,Water,Wetland,Forest
2310,Grassland,NULL,Water,Water,Water,NULL,Wetland,Grassland
2311,Grassland,NULL,Water,Water,Water,NULL,Water,Grassland
2312,Grassland,NULL,Water,Water,Water,Grassland,Grassland,Grassland
2313,Grassland,NULL,Water,Water,Water,Grassland,Grassland,Wetland
2314,Grassland,NULL,Water,Water,Water,Grassland,Wetland,Grassland
2315,Grassland,NULL,Water,Water,Water,Grassland,Wetland,Water
2316,Grassland,NULL,Water,Water,Water,Grassland,Water,Grassland
2317,Grassland,NULL,Water,Water,Water,Wetland,Grassland,Grassland
2318,Grassland,NULL,Water,Water,Water,Wetland,Grassland,Water
2319,Grassland,NULL,Water,Water,Water,Wetland,Wetland,Grassland
2320,Grassland,NULL,Water,Water,Water,Wetland,Wetland,Wetland
2321,Grassland,NULL,Water,Water,Water,Wetland,Wetland,Water
2322,Grassland,NULL,Water,Water,Water,Wetland,Wetland,Forest
2323,Grassland,NULL,Water,Water,Water,Wetland,Water,Grassland
2324,Grassland,NULL,Water,Water,Water,Wetland,Water,Wetland
2325,Grassland,NULL,Water,Water,Water,Wetland,Water,Bareland
2326,Grassland,NULL,Water,Water,Water,Wetland,Water,Water
2327,Grassland,NULL,Water,Water,Water,Water,Grassland,Bareland
2328,Grassland,NULL,Water,Water,Water,Water,Wetland,Grassland
2329,Grassland,NULL,Water,Water,Water,Water,Wetland,Wetland
2330,Grassland,NULL,Water,Water,Water,Water,Wetland,Bareland
2331,Grassland,NULL,Water,Water,Water,Water,Wetland,Water
2332,Grassland,NULL,Water,Water,Water,Water,Wetland,Forest
2333,Grassland,NULL,Water,Water,Water,Water,Water,Grassland
2334,Grassland,NULL,Water,Water,Water,Water,Water,Wetland
2335,Grassland,NULL,Water,Water,Water,Water,Water,Water
2336,Grassland,NULL,Water,Water,Water,Water,Water,Forest
2337,Grassland,NULL,Water,Water,Water,Forest,Wetland,Grassland
2338,Grassland,NULL,Water,Water,Water,Forest,Wetland,Wetland
2339,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
2340,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
2341,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
2342,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
2343,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
2344,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Built-up,Forest
2345,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Water,Forest
2346,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
2347,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
2348,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2349,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
2350,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
2351,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2352,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
2353,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
2354,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
2355,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Wetland
2356,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
2357,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
2358,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
2359,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
2360,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Wetland
2361,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
2362,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
2363,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
2364,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
2365,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Built-up,Forest
2366,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
2367,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
2368,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
2369,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
2370,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
2371,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
2372,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
2373,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
2374,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
2375,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
2376,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Wetland
2377,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Bareland
2378,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Built-up
2379,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
2380,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
2381,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
2382,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
2383,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
2384,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
2385,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
2386,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Forest
2387,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
2388,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
2389,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
2390,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
2391,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Built-up
2392,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Forest
2393,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
2394,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Bareland
2395,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Built-up
2396,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
2397,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
2398,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
2399,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
2400,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
2401,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Built-up,Grassland
2402,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
2403,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
2404,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
2405,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
2406,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
2407,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up,Built-up,Forest
