Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MXC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MXC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MXC_M_R
354,Water,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
355,Water,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
356,Water,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
357,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
358,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
359,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
360,Water,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
361,Water,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
362,Water,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
363,Water,Bareland,Water,Non_Water,Water,NULL,NULL,Grassland
364,Water,Bareland,Water,Non_Water,Water,NULL,NULL,Water
365,Water,Bareland,Water,Non_Water,Water,NULL,NULL,Forest
366,Water,Bareland,Water,Water,Water,NULL,NULL,Grassland
367,Water,Bareland,Water,Water,Water,NULL,NULL,Water
368,Water,Bareland,Water,Water,Water,NULL,NULL,Forest
369,Water,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
370,Water,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
371,Water,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
372,Water,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
373,Water,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Water
374,Water,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
375,Water,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
376,Water,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
377,Water,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
378,Water,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
379,Water,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
380,Water,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
381,Water,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
382,Water,Built-up,Water,NULL,Water,NULL,NULL,Water
383,Water,Built-up,Water,Water,Water,NULL,NULL,Water
384,Water,Built-up,Water,Water,Water,NULL,NULL,Forest
385,Water,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Water
386,Water,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
387,Water,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Water
388,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
389,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
390,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
391,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
392,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
393,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
394,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
395,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Grassland
396,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
397,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
398,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
399,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
400,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
401,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
402,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
403,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
404,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
405,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
406,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
407,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
408,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
409,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
410,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
411,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
412,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
413,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
414,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
415,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
416,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
417,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
418,Water,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Water
419,Water,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
420,Water,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
421,Water,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
422,Water,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
423,Water,Water,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
424,Water,Water,Cropland,Water,Non_Wetland,NULL,NULL,Water
425,Water,Water,Cropland,Water,Non_Wetland,NULL,NULL,Forest
426,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
427,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
428,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
429,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
430,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,NULL
431,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
432,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
433,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
434,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
435,Water,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
436,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
437,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
438,Water,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
439,Water,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Water
440,Water,Water,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Water
441,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
442,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
443,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
444,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
445,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
446,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
447,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
448,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
449,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
450,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Forest
451,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Water
452,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
453,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
454,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
455,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
456,Water,Water,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
457,Water,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
458,Water,Water,Built-up,Water,Non_Wetland,NULL,NULL,Forest
459,Water,Water,Water,NULL,Water,NULL,NULL,Grassland
460,Water,Water,Water,NULL,Water,NULL,NULL,Bareland
461,Water,Water,Water,NULL,Water,NULL,NULL,Water
462,Water,Water,Water,NULL,Water,NULL,NULL,Forest
463,Water,Water,Water,Non_Water,Water,NULL,NULL,NULL
464,Water,Water,Water,Non_Water,Water,NULL,NULL,Grassland
465,Water,Water,Water,Non_Water,Water,NULL,NULL,Water
466,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
467,Water,Water,Water,Water,Water,NULL,NULL,Grassland
468,Water,Water,Water,Water,Water,NULL,NULL,Water
469,Water,Water,Water,Water,Water,NULL,NULL,Forest
470,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
471,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
472,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
473,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
474,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
475,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
476,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
477,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
478,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
479,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
480,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
481,Water,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
482,Water,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
483,Water,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
484,Water,Forest,NULL,Water,Non_Wetland,NULL,NULL,Water
485,Water,Forest,NULL,Water,Non_Wetland,NULL,NULL,Forest
486,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
487,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
488,Water,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
489,Water,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
490,Water,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
491,Water,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
492,Water,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
493,Water,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
494,Water,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
495,Water,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
496,Water,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
497,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
498,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
499,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
500,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
501,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
502,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
503,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Water
504,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
505,Water,Forest,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Water
506,Water,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
507,Water,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
508,Water,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
509,Water,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
510,Water,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
511,Water,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Water
512,Water,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Forest
513,Water,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
514,Water,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
515,Water,Forest,Built-up,Water,Non_Wetland,NULL,NULL,Water
516,Water,Forest,Water,NULL,Water,NULL,NULL,Water
517,Water,Forest,Water,NULL,Water,NULL,NULL,Forest
518,Water,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
519,Water,Forest,Water,Non_Water,Water,NULL,NULL,Water
520,Water,Forest,Water,Non_Water,Water,NULL,NULL,Forest
521,Water,Forest,Water,Water,Water,NULL,NULL,Grassland
522,Water,Forest,Water,Water,Water,NULL,NULL,Water
523,Water,Forest,Water,Water,Water,NULL,NULL,Forest
524,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
525,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
526,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
527,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
528,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
529,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
530,Water,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
531,Water,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
532,Water,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
533,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
534,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
535,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
536,Forest,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
537,Forest,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
538,Forest,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
539,Forest,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
540,Forest,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
541,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
542,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
543,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
544,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
545,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
546,Forest,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
547,Forest,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
548,Forest,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
549,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
550,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
551,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
552,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
553,Forest,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
554,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
555,Forest,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
556,Forest,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
557,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
558,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
559,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
560,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
561,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
562,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
563,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
564,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
565,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
566,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
567,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Water
568,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
569,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
570,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
571,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
572,Forest,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
573,Forest,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
574,Forest,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
575,Forest,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
576,Forest,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
577,Forest,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
578,Forest,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
579,Forest,NULL,Water,NULL,Water,NULL,NULL,Grassland
580,Forest,NULL,Water,NULL,Water,NULL,NULL,Forest
581,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
582,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Water
583,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Forest
584,Forest,NULL,Water,Water,Water,NULL,NULL,Grassland
585,Forest,NULL,Water,Water,Water,NULL,NULL,Water
586,Forest,NULL,Water,Water,Water,NULL,NULL,Forest
587,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
588,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
589,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
590,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
591,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
592,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
593,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
594,Forest,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
595,Forest,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
596,Forest,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
597,Forest,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
598,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
599,Forest,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
600,Forest,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
601,Forest,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
602,Forest,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
603,Forest,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
604,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
605,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
606,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
607,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
608,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
609,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
610,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
611,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
612,Forest,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
613,Forest,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
614,Forest,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
615,Forest,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
616,Forest,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
617,Forest,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
618,Forest,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
619,Forest,Wetland,Water,NULL,Water,NULL,NULL,Grassland
620,Forest,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
621,Forest,Wetland,Water,Non_Water,Water,NULL,NULL,Water
622,Forest,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
623,Forest,Wetland,Water,Water,Water,NULL,NULL,Grassland
624,Forest,Wetland,Water,Water,Water,NULL,NULL,Wetland
625,Forest,Wetland,Water,Water,Water,NULL,NULL,Water
626,Forest,Wetland,Water,Water,Water,NULL,NULL,Forest
627,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
628,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
629,Forest,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
630,Forest,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
631,Forest,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
632,Forest,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
633,Forest,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
634,Forest,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
635,Forest,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
636,Forest,Bareland,Water,Non_Water,Water,NULL,NULL,Water
637,Forest,Bareland,Water,Water,Water,NULL,NULL,Water
638,Forest,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
639,Forest,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
640,Forest,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Forest
641,Forest,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
642,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
643,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
644,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
645,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
646,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
647,Forest,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
648,Forest,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
649,Forest,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
650,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
651,Forest,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
652,Forest,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
653,Forest,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
654,Forest,Built-up,Water,NULL,Water,NULL,NULL,Grassland
655,Forest,Built-up,Water,NULL,Water,NULL,NULL,Forest
656,Forest,Built-up,Water,Water,Water,NULL,NULL,Forest
657,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
658,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
659,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
660,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
661,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
662,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
663,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
664,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
665,Forest,Water,NULL,Water,Non_Wetland,NULL,NULL,Grassland
666,Forest,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
667,Forest,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
668,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
669,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
670,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
671,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
672,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
673,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
674,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
675,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
676,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
677,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
678,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
679,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
680,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
681,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
682,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
683,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
684,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
685,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
686,Forest,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Water
687,Forest,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
688,Forest,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
689,Forest,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
690,Forest,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
691,Forest,Water,Cropland,Water,Non_Wetland,NULL,NULL,Water
692,Forest,Water,Cropland,Water,Non_Wetland,NULL,NULL,Forest
693,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
694,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
695,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
696,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Water
697,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
698,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
699,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
700,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
701,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
702,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
703,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Water
704,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Forest
705,Forest,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
706,Forest,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
707,Forest,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
708,Forest,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
709,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
710,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
711,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
712,Forest,Water,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
713,Forest,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
714,Forest,Water,Bareland,Water,Non_Wetland,NULL,NULL,Forest
715,Forest,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Water
716,Forest,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
717,Forest,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
718,Forest,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
719,Forest,Water,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
