Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MMA_M_R
1855,Grassland,NULL,Water,Water,Water,Wetland,Water,Water
1856,Grassland,NULL,Water,Water,Water,Water,Wetland,Grassland
1857,Grassland,NULL,Water,Water,Water,Water,Wetland,Wetland
1858,Grassland,NULL,Water,Water,Water,Water,Wetland,Water
1859,Grassland,NULL,Water,Water,Water,Water,Wetland,Forest
1860,Grassland,NULL,Water,Water,Water,Water,Water,Grassland
1861,Grassland,NULL,Water,Water,Water,Water,Water,Wetland
1862,Grassland,NULL,Water,Water,Water,Water,Water,Water
1863,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
1864,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
1865,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
1866,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1867,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1868,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1869,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1870,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
1871,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1872,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1873,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
1874,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1875,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1876,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1877,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
1878,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1879,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Forest
1880,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
1881,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
1882,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1883,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1884,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
1885,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
1886,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
1887,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
1888,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
1889,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
1890,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
1891,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Water,Grassland
1892,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
1893,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1894,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1895,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1896,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
1897,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1898,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
1899,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1900,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Grassland
1901,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
1902,Grassland,NULL,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Forest
1903,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
1904,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Wetland
1905,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
1906,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Grassland
1907,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Wetland
1908,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Forest
1909,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
1910,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Forest
1911,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
1912,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
1913,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
1914,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Water,Grassland
1915,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Forest,Grassland
1916,Grassland,NULL,Forest,Water,Non_Wetland,Water,Wetland,Grassland
1917,Grassland,NULL,Forest,Water,Non_Wetland,Water,Wetland,Wetland
1918,Grassland,NULL,Forest,Water,Non_Wetland,Water,Water,Grassland
1919,Grassland,NULL,Forest,Water,Non_Wetland,Water,Water,Wetland
1920,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1921,Grassland,Cropland,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
1922,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1923,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1924,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1925,Grassland,Cropland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1926,Grassland,Cropland,Wetland,Water,Wetland,Wetland,Water,Wetland
1927,Grassland,Cropland,Wetland,Water,Wetland,Water,Water,Wetland
1928,Grassland,Cropland,Wetland,Water,Wetland,Water,Water,Water
1929,Grassland,Cropland,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
1930,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
1931,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
1932,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
1933,Grassland,Wetland,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
1934,Grassland,Wetland,NULL,NULL,Non_Wetland,Water,Wetland,Forest
1935,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1936,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
1937,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1938,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
1939,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
1940,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
1941,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
1942,Grassland,Wetland,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
1943,Grassland,Wetland,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
1944,Grassland,Wetland,NULL,Water,Non_Wetland,Wetland,Water,Grassland
1945,Grassland,Wetland,NULL,Water,Non_Wetland,Water,Wetland,Grassland
1946,Grassland,Wetland,NULL,Water,Non_Wetland,Water,Wetland,Wetland
1947,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1948,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1949,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
1950,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1951,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1952,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
1953,Grassland,Wetland,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
1954,Grassland,Wetland,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
1955,Grassland,Wetland,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
1956,Grassland,Wetland,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
1957,Grassland,Wetland,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
1958,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1959,Grassland,Wetland,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
1960,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1961,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
1962,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1963,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Water,Wetland
1964,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
1965,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Water,Wetland,Wetland
1966,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Water,Water,Grassland
1967,Grassland,Wetland,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
1968,Grassland,Wetland,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
1969,Grassland,Wetland,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
1970,Grassland,Wetland,Grassland,Water,Non_Wetland,Water,Wetland,Wetland
1971,Grassland,Wetland,Grassland,Water,Non_Wetland,Water,Water,Grassland
1972,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1973,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
1974,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1975,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
1976,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1977,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1978,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
1979,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1980,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Grassland
1981,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Wetland
1982,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Forest
1983,Grassland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
1984,Grassland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Wetland
1985,Grassland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
1986,Grassland,Wetland,Wetland,NULL,Wetland,Water,Water,Grassland
1987,Grassland,Wetland,Wetland,NULL,Wetland,Water,Water,Wetland
1988,Grassland,Wetland,Wetland,NULL,Wetland,Water,Water,Forest
1989,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
1990,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
1991,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
1992,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
1993,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
1994,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
1995,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
1996,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Forest
1997,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
1998,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
1999,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Forest
2000,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Grassland
2001,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Wetland
2002,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Water
2003,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Forest
2004,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
2005,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Wetland
2006,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Forest
2007,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
2008,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
2009,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Water,Water
2010,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Water,Forest
2011,Grassland,Wetland,Wetland,Water,Wetland,Water,Wetland,Grassland
2012,Grassland,Wetland,Wetland,Water,Wetland,Water,Wetland,Wetland
2013,Grassland,Wetland,Wetland,Water,Wetland,Water,Wetland,Water
2014,Grassland,Wetland,Wetland,Water,Wetland,Water,Wetland,Forest
2015,Grassland,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
2016,Grassland,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
2017,Grassland,Wetland,Wetland,Water,Wetland,Water,Water,Water
2018,Grassland,Wetland,Wetland,Water,Wetland,Water,Water,Forest
2019,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
2020,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
2021,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
2022,Grassland,Wetland,Bareland,NULL,Non_Wetland,Bareland,Wetland,Forest
2023,Grassland,Wetland,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
2024,Grassland,Wetland,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
2025,Grassland,Wetland,Bareland,NULL,Non_Wetland,Water,Water,Grassland
2026,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
2027,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
2028,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
2029,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
2030,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
2031,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Water,Wetland
2032,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
2033,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Water,Wetland,Grassland
2034,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Water,Wetland,Wetland
2035,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
2036,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Water,Water,Wetland
2037,Grassland,Wetland,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
2038,Grassland,Wetland,Bareland,Water,Non_Wetland,Wetland,Wetland,Wetland
2039,Grassland,Wetland,Bareland,Water,Non_Wetland,Wetland,Wetland,Forest
2040,Grassland,Wetland,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
2041,Grassland,Wetland,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
2042,Grassland,Wetland,Bareland,Water,Non_Wetland,Water,Wetland,Wetland
2043,Grassland,Wetland,Bareland,Water,Non_Wetland,Water,Water,Grassland
2044,Grassland,Wetland,Bareland,Water,Non_Wetland,Water,Water,Wetland
2045,Grassland,Wetland,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
2046,Grassland,Wetland,Built-up,Non_Water,Non_Wetland,Water,Wetland,Grassland
2047,Grassland,Wetland,Built-up,Non_Water,Non_Wetland,Water,Wetland,Wetland
2048,Grassland,Wetland,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
2049,Grassland,Wetland,Built-up,Water,Non_Wetland,Wetland,Wetland,Wetland
2050,Grassland,Wetland,Built-up,Water,Non_Wetland,Wetland,Water,Wetland
2051,Grassland,Wetland,Built-up,Water,Non_Wetland,Water,Wetland,Grassland
2052,Grassland,Wetland,Built-up,Water,Non_Wetland,Water,Wetland,Wetland
2053,Grassland,Wetland,Water,NULL,Water,Water,Water,Grassland
2054,Grassland,Wetland,Water,Non_Water,Water,Wetland,Water,Grassland
2055,Grassland,Wetland,Water,Non_Water,Water,Water,Water,Grassland
2056,Grassland,Wetland,Water,Water,Water,Wetland,Wetland,Grassland
2057,Grassland,Wetland,Water,Water,Water,Wetland,Wetland,Wetland
2058,Grassland,Wetland,Water,Water,Water,Wetland,Wetland,Water
2059,Grassland,Wetland,Water,Water,Water,Wetland,Water,Grassland
2060,Grassland,Wetland,Water,Water,Water,Wetland,Water,Wetland
2061,Grassland,Wetland,Water,Water,Water,Wetland,Water,Water
2062,Grassland,Wetland,Water,Water,Water,Water,Wetland,Grassland
2063,Grassland,Wetland,Water,Water,Water,Water,Wetland,Wetland
2064,Grassland,Wetland,Water,Water,Water,Water,Wetland,Water
2065,Grassland,Wetland,Water,Water,Water,Water,Water,Grassland
2066,Grassland,Wetland,Water,Water,Water,Water,Water,Wetland
2067,Grassland,Wetland,Water,Water,Water,Water,Water,Water
2068,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
2069,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
2070,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
2071,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
2072,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
2073,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
2074,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
2075,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Water,Wetland
2076,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Water,Forest
2077,Grassland,Wetland,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
2078,Grassland,Wetland,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
2079,Grassland,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
2080,Grassland,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Forest
2081,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
2082,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
2083,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
2084,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Water,Grassland
2085,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Water,Wetland
2086,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
2087,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Water,Wetland,Wetland
2088,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Water,Water,Grassland
2089,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Water,Water,Wetland
2090,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Water,Water,Forest
2091,Grassland,Wetland,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
2092,Grassland,Wetland,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
2093,Grassland,Wetland,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
2094,Grassland,Wetland,Forest,Water,Non_Wetland,Wetland,Water,Grassland
2095,Grassland,Wetland,Forest,Water,Non_Wetland,Water,Wetland,Grassland
2096,Grassland,Wetland,Forest,Water,Non_Wetland,Water,Wetland,Wetland
2097,Grassland,Wetland,Forest,Water,Non_Wetland,Water,Water,Grassland
2098,Grassland,Wetland,Forest,Water,Non_Wetland,Water,Water,Wetland
2099,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
2100,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
2101,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
2102,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
2103,Grassland,Built-up,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
2104,Grassland,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
2105,Grassland,Built-up,NULL,NULL,Non_Wetland,Bareland,Water,Water
2106,Grassland,Built-up,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
2107,Grassland,Built-up,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
2108,Grassland,Built-up,NULL,Water,Non_Wetland,Water,Wetland,Grassland
2109,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2110,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
2111,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
2112,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
2113,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
2114,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
2115,Grassland,Built-up,Cropland,Water,Non_Wetland,Grassland,Bareland,Grassland
2116,Grassland,Built-up,Wetland,Water,Wetland,Grassland,Wetland,Grassland
2117,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
2118,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
2119,Grassland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,Forest
2120,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
2121,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
2122,Grassland,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
2123,Grassland,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
2124,Grassland,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
2125,Grassland,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
2126,Grassland,Water,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
2127,Grassland,Water,NULL,Water,Non_Wetland,Water,Wetland,Wetland
2128,Grassland,Water,NULL,Water,Non_Wetland,Water,Water,Wetland
2129,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
2130,Grassland,Water,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2131,Grassland,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
2132,Grassland,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
2133,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
2134,Grassland,Water,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
2135,Grassland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
2136,Grassland,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
2137,Grassland,Water,Wetland,NULL,Wetland,Water,Wetland,Wetland
2138,Grassland,Water,Wetland,NULL,Wetland,Water,Water,Grassland
2139,Grassland,Water,Wetland,NULL,Wetland,Water,Water,Wetland
2140,Grassland,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
2141,Grassland,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
2142,Grassland,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
2143,Grassland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
2144,Grassland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
2145,Grassland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
2146,Grassland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
2147,Grassland,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
2148,Grassland,Water,Wetland,Non_Water,Wetland,Water,Water,Wetland
2149,Grassland,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
2150,Grassland,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
2151,Grassland,Water,Wetland,Water,Wetland,Wetland,Wetland,Wetland
2152,Grassland,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
2153,Grassland,Water,Wetland,Water,Wetland,Wetland,Water,Wetland
2154,Grassland,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
2155,Grassland,Water,Wetland,Water,Wetland,Water,Wetland,Wetland
2156,Grassland,Water,Wetland,Water,Wetland,Water,Water,Grassland
2157,Grassland,Water,Wetland,Water,Wetland,Water,Water,Wetland
2158,Grassland,Water,Wetland,Water,Wetland,Water,Water,Water
2159,Grassland,Water,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
2160,Grassland,Water,Bareland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
2161,Grassland,Water,Bareland,Water,Non_Wetland,Water,Wetland,Wetland
2162,Grassland,Water,Water,NULL,Water,Wetland,Water,Grassland
2163,Grassland,Water,Water,Water,Water,Wetland,Wetland,Wetland
2164,Grassland,Water,Water,Water,Water,Wetland,Water,Wetland
2165,Grassland,Water,Water,Water,Water,Water,Wetland,Wetland
2166,Grassland,Water,Water,Water,Water,Water,Wetland,Water
2167,Grassland,Water,Water,Water,Water,Water,Water,Wetland
2168,Grassland,Water,Water,Water,Water,Water,Water,Water
2169,Grassland,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
2170,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
2171,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
2172,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
2173,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
2174,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
2175,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
2176,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
2177,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland,Water,Forest
2178,Grassland,Forest,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
2179,Grassland,Forest,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
2180,Grassland,Forest,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
2181,Grassland,Forest,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
2182,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2183,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
2184,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
2185,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
