Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MUC_M_R
445,Forest,Built-up,Grassland,NULL,Non_Wetland,Bareland
446,Forest,Built-up,Grassland,NULL,Non_Wetland,Built-up
447,Forest,Built-up,Grassland,NULL,Non_Wetland,Forest
448,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland
449,Forest,Built-up,Cropland,NULL,Non_Wetland,Bareland
450,Forest,Built-up,Cropland,NULL,Non_Wetland,Built-up
451,Forest,Built-up,Cropland,NULL,Non_Wetland,Forest
452,Forest,Built-up,Wetland,NULL,Wetland,Water
453,Forest,Built-up,Bareland,NULL,Non_Wetland,Grassland
454,Forest,Built-up,Bareland,NULL,Non_Wetland,Built-up
455,Forest,Built-up,Bareland,NULL,Non_Wetland,Forest
456,Forest,Built-up,Built-up,NULL,Non_Wetland,Grassland
457,Forest,Built-up,Built-up,NULL,Non_Wetland,Forest
458,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland
459,Forest,Built-up,Forest,NULL,Non_Wetland,Forest
460,Forest,Built-up,Forest,Non_Water,Non_Wetland,Forest
461,Forest,Water,NULL,NULL,Non_Wetland,Water
462,Forest,Water,NULL,NULL,Non_Wetland,Forest
463,Forest,Water,NULL,Non_Water,Non_Wetland,Water
464,Forest,Water,NULL,Non_Water,Non_Wetland,Forest
465,Forest,Water,NULL,Water,Non_Wetland,Water
466,Forest,Water,NULL,Water,Non_Wetland,Forest
467,Forest,Water,Shrubland,NULL,Non_Wetland,Grassland
468,Forest,Water,Shrubland,NULL,Non_Wetland,Water
469,Forest,Water,Shrubland,NULL,Non_Wetland,Forest
470,Forest,Water,Shrubland,Non_Water,Non_Wetland,Grassland
471,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water
472,Forest,Water,Shrubland,Non_Water,Non_Wetland,Forest
473,Forest,Water,Shrubland,Water,Non_Wetland,Water
474,Forest,Water,Shrubland,Water,Non_Wetland,Forest
475,Forest,Water,Grassland,NULL,Non_Wetland,Water
476,Forest,Water,Grassland,NULL,Non_Wetland,Forest
477,Forest,Water,Grassland,Non_Water,Non_Wetland,Water
478,Forest,Water,Grassland,Water,Non_Wetland,Water
479,Forest,Water,Cropland,NULL,Non_Wetland,Grassland
480,Forest,Water,Cropland,NULL,Non_Wetland,Bareland
481,Forest,Water,Cropland,NULL,Non_Wetland,Forest
482,Forest,Water,Cropland,Non_Water,Non_Wetland,Grassland
483,Forest,Water,Cropland,Non_Water,Non_Wetland,Water
484,Forest,Water,Cropland,Non_Water,Non_Wetland,Forest
485,Forest,Water,Cropland,Water,Non_Wetland,Water
486,Forest,Water,Cropland,Water,Non_Wetland,Forest
487,Forest,Water,Wetland,NULL,Wetland,Water
488,Forest,Water,Wetland,NULL,Wetland,Forest
489,Forest,Water,Wetland,Non_Water,Wetland,Grassland
490,Forest,Water,Wetland,Non_Water,Wetland,Water
491,Forest,Water,Wetland,Non_Water,Wetland,Forest
492,Forest,Water,Wetland,Water,Wetland,Grassland
493,Forest,Water,Wetland,Water,Wetland,Bareland
494,Forest,Water,Wetland,Water,Wetland,Water
495,Forest,Water,Wetland,Water,Wetland,Forest
496,Forest,Water,Bareland,Non_Water,Non_Wetland,Water
497,Forest,Water,Bareland,Water,Non_Wetland,Water
498,Forest,Water,Bareland,Water,Non_Wetland,Forest
499,Forest,Water,Built-up,Water,Non_Wetland,Water
500,Forest,Water,Water,NULL,Water,Water
501,Forest,Water,Water,NULL,Water,Forest
502,Forest,Water,Water,Non_Water,Water,Grassland
503,Forest,Water,Water,Non_Water,Water,Bareland
504,Forest,Water,Water,Non_Water,Water,Water
505,Forest,Water,Water,Non_Water,Water,Forest
506,Forest,Water,Water,Water,Water,Grassland
507,Forest,Water,Water,Water,Water,Water
508,Forest,Water,Water,Water,Water,Forest
509,Forest,Water,Forest,NULL,Non_Wetland,Grassland
510,Forest,Water,Forest,NULL,Non_Wetland,Water
511,Forest,Water,Forest,NULL,Non_Wetland,Forest
512,Forest,Water,Forest,Non_Water,Non_Wetland,Grassland
513,Forest,Water,Forest,Non_Water,Non_Wetland,Bareland
514,Forest,Water,Forest,Non_Water,Non_Wetland,Water
515,Forest,Water,Forest,Non_Water,Non_Wetland,Forest
516,Forest,Water,Forest,Water,Non_Wetland,Grassland
517,Forest,Water,Forest,Water,Non_Wetland,Water
518,Forest,Water,Forest,Water,Non_Wetland,Forest
519,Forest,Forest,NULL,NULL,Non_Wetland,Water
520,Forest,Forest,NULL,NULL,Non_Wetland,Forest
521,Forest,Forest,NULL,Non_Water,Non_Wetland,Grassland
522,Forest,Forest,NULL,Non_Water,Non_Wetland,Water
523,Forest,Forest,NULL,Non_Water,Non_Wetland,Forest
524,Forest,Forest,NULL,Water,Non_Wetland,Water
525,Forest,Forest,NULL,Water,Non_Wetland,Forest
526,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
527,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
528,Forest,Forest,Shrubland,NULL,Non_Wetland,Bareland
529,Forest,Forest,Shrubland,NULL,Non_Wetland,Built-up
530,Forest,Forest,Shrubland,NULL,Non_Wetland,Water
531,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
532,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
533,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Bareland
534,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Water
535,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Forest
536,Forest,Forest,Shrubland,Water,Non_Wetland,Grassland
537,Forest,Forest,Shrubland,Water,Non_Wetland,Bareland
538,Forest,Forest,Shrubland,Water,Non_Wetland,Water
539,Forest,Forest,Shrubland,Water,Non_Wetland,Forest
540,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
541,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
542,Forest,Forest,Grassland,NULL,Non_Wetland,Built-up
543,Forest,Forest,Grassland,NULL,Non_Wetland,Forest
544,Forest,Forest,Grassland,Non_Water,Non_Wetland,Grassland
545,Forest,Forest,Grassland,Non_Water,Non_Wetland,Water
546,Forest,Forest,Grassland,Non_Water,Non_Wetland,Forest
547,Forest,Forest,Grassland,Water,Non_Wetland,Forest
548,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
549,Forest,Forest,Cropland,NULL,Non_Wetland,Bareland
550,Forest,Forest,Cropland,NULL,Non_Wetland,Built-up
551,Forest,Forest,Cropland,NULL,Non_Wetland,Water
552,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
553,Forest,Forest,Cropland,Non_Water,Non_Wetland,Grassland
554,Forest,Forest,Cropland,Non_Water,Non_Wetland,Water
555,Forest,Forest,Cropland,Non_Water,Non_Wetland,Forest
556,Forest,Forest,Cropland,Water,Non_Wetland,Grassland
557,Forest,Forest,Cropland,Water,Non_Wetland,Water
558,Forest,Forest,Cropland,Water,Non_Wetland,Forest
559,Forest,Forest,Wetland,NULL,Wetland,NULL
560,Forest,Forest,Wetland,NULL,Wetland,Grassland
561,Forest,Forest,Wetland,NULL,Wetland,Bareland
562,Forest,Forest,Wetland,NULL,Wetland,Water
563,Forest,Forest,Wetland,NULL,Wetland,Forest
564,Forest,Forest,Wetland,Non_Water,Wetland,Grassland
565,Forest,Forest,Wetland,Non_Water,Wetland,Bareland
566,Forest,Forest,Wetland,Non_Water,Wetland,Water
567,Forest,Forest,Wetland,Non_Water,Wetland,Forest
568,Forest,Forest,Wetland,Water,Wetland,Grassland
569,Forest,Forest,Wetland,Water,Wetland,Bareland
570,Forest,Forest,Wetland,Water,Wetland,Water
571,Forest,Forest,Wetland,Water,Wetland,Forest
572,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland
573,Forest,Forest,Bareland,NULL,Non_Wetland,Bareland
574,Forest,Forest,Bareland,NULL,Non_Wetland,Built-up
575,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
576,Forest,Forest,Bareland,Non_Water,Non_Wetland,Grassland
577,Forest,Forest,Bareland,Non_Water,Non_Wetland,Water
578,Forest,Forest,Bareland,Non_Water,Non_Wetland,Forest
579,Forest,Forest,Bareland,Water,Non_Wetland,Grassland
580,Forest,Forest,Bareland,Water,Non_Wetland,Bareland
581,Forest,Forest,Bareland,Water,Non_Wetland,Water
582,Forest,Forest,Bareland,Water,Non_Wetland,Forest
583,Forest,Forest,Built-up,NULL,Non_Wetland,Built-up
584,Forest,Forest,Built-up,NULL,Non_Wetland,Forest
585,Forest,Forest,Built-up,Non_Water,Non_Wetland,Grassland
586,Forest,Forest,Built-up,Non_Water,Non_Wetland,Water
587,Forest,Forest,Built-up,Non_Water,Non_Wetland,Forest
588,Forest,Forest,Built-up,Water,Non_Wetland,Forest
589,Forest,Forest,Water,NULL,Water,Grassland
590,Forest,Forest,Water,NULL,Water,Water
591,Forest,Forest,Water,NULL,Water,Forest
592,Forest,Forest,Water,Non_Water,Water,NULL
593,Forest,Forest,Water,Non_Water,Water,Grassland
594,Forest,Forest,Water,Non_Water,Water,Bareland
595,Forest,Forest,Water,Non_Water,Water,Water
596,Forest,Forest,Water,Non_Water,Water,Forest
597,Forest,Forest,Water,Water,Water,Grassland
598,Forest,Forest,Water,Water,Water,Bareland
599,Forest,Forest,Water,Water,Water,Water
600,Forest,Forest,Water,Water,Water,Forest
601,Forest,Forest,Forest,NULL,Non_Wetland,NULL
602,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
603,Forest,Forest,Forest,NULL,Non_Wetland,Bareland
604,Forest,Forest,Forest,NULL,Non_Wetland,Built-up
605,Forest,Forest,Forest,NULL,Non_Wetland,Water
606,Forest,Forest,Forest,NULL,Non_Wetland,Forest
607,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL
608,Forest,Forest,Forest,Non_Water,Non_Wetland,Grassland
609,Forest,Forest,Forest,Non_Water,Non_Wetland,Bareland
610,Forest,Forest,Forest,Non_Water,Non_Wetland,Water
611,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest
612,Forest,Forest,Forest,Water,Non_Wetland,Grassland
613,Forest,Forest,Forest,Water,Non_Wetland,Bareland
614,Forest,Forest,Forest,Water,Non_Wetland,Water
615,Forest,Forest,Forest,Water,Non_Wetland,Forest
