Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NRK_M_R
1677,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1678,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Bareland
1679,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
1680,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
1681,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
1682,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
1683,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
1684,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1685,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
1686,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,Wetland,Forest
1687,NULL,Built-up,Wetland,Water,Wetland,Grassland,Wetland,Grassland
1688,NULL,Built-up,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1689,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1690,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1691,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1692,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
1693,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
1694,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
1695,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
1696,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1697,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
1698,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
1699,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
1700,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
1701,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
1702,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
1703,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
1704,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
1705,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,NULL,Grassland
1706,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,Grassland,Grassland
1707,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,Wetland,Grassland
1708,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,Bareland,Grassland
1709,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,Built-up,Grassland
1710,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
1711,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Bareland,Grassland
1712,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Built-up,Grassland
1713,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Built-up,Forest
1714,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
1715,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
1716,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
1717,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
1718,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
1719,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
1720,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
1721,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
1722,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Built-up
1723,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Forest
1724,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Wetland,Grassland
1725,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
1726,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Forest
1727,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
1728,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
1729,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
1730,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
1731,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1732,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Forest
1733,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up,Grassland,Grassland
1734,NULL,Built-up,Water,Water,Water,Bareland,Water,Forest
1735,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1736,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
1737,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1738,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
1739,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1740,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1741,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1742,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1743,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
1744,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
1745,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Forest
1746,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
1747,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland,Built-up,Grassland
1748,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland,Built-up,Forest
1749,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1750,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Built-up,Forest
1751,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1752,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1753,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1754,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
1755,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
1756,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
1757,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
1758,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Grassland
1759,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Forest
1760,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
1761,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
1762,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Wetland,Grassland
1763,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Grassland
1764,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Built-up
1765,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Forest
1766,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
1767,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Built-up
1768,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Forest
1769,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1770,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Built-up,Forest
1771,NULL,Built-up,Forest,Non_Water,Non_Wetland,Wetland,Bareland,Forest
1772,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1773,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1774,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1775,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
1776,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
1777,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
1778,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
1779,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
1780,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1781,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
1782,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
1783,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1784,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1785,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
1786,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
1787,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
1788,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1789,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
1790,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
1791,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,NULL,Water
1792,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
1793,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1794,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
1795,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1796,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
1797,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
1798,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
1799,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
1800,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1801,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1802,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
1803,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1804,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
1805,NULL,Water,Shrubland,NULL,Non_Wetland,Water,NULL,NULL
1806,NULL,Water,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
1807,NULL,Water,Shrubland,NULL,Non_Wetland,Water,NULL,Bareland
1808,NULL,Water,Shrubland,NULL,Non_Wetland,Water,NULL,Water
1809,NULL,Water,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
1810,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Grassland,Water
1811,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
1812,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Bareland
1813,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
1814,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
1815,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
1816,NULL,Water,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
1817,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
1818,NULL,Water,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Water
1819,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
1820,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Bareland
1821,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Water
1822,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Forest
1823,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1824,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
1825,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Water
1826,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
1827,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1828,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Water,NULL
1829,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
1830,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Water
1831,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Forest
1832,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Forest
1833,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1834,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
1835,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
1836,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
1837,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water,NULL,Grassland
1838,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water,NULL,Water
1839,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water,NULL,Forest
1840,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
1841,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Bareland
1842,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
1843,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
1844,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,NULL,Bareland
1845,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,NULL,Water
1846,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,NULL,Forest
1847,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
1848,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Grassland,Bareland
1849,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Grassland,Water
1850,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
1851,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Wetland,Bareland
1852,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Wetland,Water
1853,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
1854,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Bareland,Grassland
1855,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Water,NULL
1856,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
1857,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Water,Bareland
1858,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Water,Water
1859,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Water,Forest
1860,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Forest,Grassland
1861,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
1862,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
1863,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
1864,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
1865,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Forest
1866,NULL,Water,Shrubland,Water,Non_Wetland,Water,NULL,Grassland
1867,NULL,Water,Shrubland,Water,Non_Wetland,Water,NULL,Bareland
1868,NULL,Water,Shrubland,Water,Non_Wetland,Water,NULL,Water
1869,NULL,Water,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
1870,NULL,Water,Shrubland,Water,Non_Wetland,Water,Grassland,Bareland
1871,NULL,Water,Shrubland,Water,Non_Wetland,Water,Grassland,Water
1872,NULL,Water,Shrubland,Water,Non_Wetland,Water,Grassland,Forest
1873,NULL,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
1874,NULL,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Bareland
1875,NULL,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Water
1876,NULL,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Forest
1877,NULL,Water,Shrubland,Water,Non_Wetland,Water,Water,Grassland
1878,NULL,Water,Shrubland,Water,Non_Wetland,Water,Water,Bareland
1879,NULL,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
1880,NULL,Water,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1881,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
1882,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1883,NULL,Water,Grassland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
1884,NULL,Water,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
1885,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
1886,NULL,Water,Wetland,NULL,Wetland,Grassland,NULL,Grassland
1887,NULL,Water,Wetland,NULL,Wetland,Grassland,NULL,Forest
1888,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1889,NULL,Water,Wetland,NULL,Wetland,Bareland,Water,Grassland
1890,NULL,Water,Wetland,NULL,Wetland,Water,NULL,Bareland
1891,NULL,Water,Wetland,NULL,Wetland,Water,NULL,Water
1892,NULL,Water,Wetland,NULL,Wetland,Water,NULL,Forest
1893,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
1894,NULL,Water,Wetland,Non_Water,Wetland,Grassland,NULL,Forest
1895,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Grassland,Forest
1896,NULL,Water,Wetland,Non_Water,Wetland,Water,NULL,Water
1897,NULL,Water,Wetland,Non_Water,Wetland,Forest,NULL,Forest
1898,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
1899,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
1900,NULL,Water,Wetland,Water,Wetland,Grassland,NULL,Water
1901,NULL,Water,Wetland,Water,Wetland,Grassland,Grassland,Grassland
1902,NULL,Water,Wetland,Water,Wetland,Grassland,Grassland,Bareland
1903,NULL,Water,Wetland,Water,Wetland,Grassland,Grassland,Forest
1904,NULL,Water,Wetland,Water,Wetland,Grassland,Wetland,Forest
1905,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Grassland
1906,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Bareland
1907,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Water
1908,NULL,Water,Wetland,Water,Wetland,Wetland,Grassland,Wetland
1909,NULL,Water,Wetland,Water,Wetland,Water,NULL,Water
1910,NULL,Water,Wetland,Water,Wetland,Water,NULL,Forest
1911,NULL,Water,Wetland,Water,Wetland,Water,Water,Wetland
1912,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
1913,NULL,Water,Built-up,NULL,Non_Wetland,Wetland,NULL,Forest
1914,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
1915,NULL,Water,Water,NULL,Water,Grassland,NULL,Grassland
1916,NULL,Water,Water,Non_Water,Water,Grassland,NULL,Grassland
1917,NULL,Water,Water,Non_Water,Water,Wetland,NULL,Forest
1918,NULL,Water,Water,Non_Water,Water,Water,NULL,Grassland
1919,NULL,Water,Water,Non_Water,Water,Water,NULL,Water
1920,NULL,Water,Water,Water,Water,Grassland,NULL,Grassland
1921,NULL,Water,Water,Water,Water,Grassland,Grassland,Grassland
1922,NULL,Water,Water,Water,Water,Grassland,Wetland,Grassland
1923,NULL,Water,Water,Water,Water,Grassland,Water,Grassland
1924,NULL,Water,Water,Water,Water,Wetland,Water,Grassland
1925,NULL,Water,Water,Water,Water,Water,NULL,Water
1926,NULL,Water,Water,Water,Water,Water,Water,Grassland
1927,NULL,Water,Water,Water,Water,Water,Water,Water
1928,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1929,NULL,Water,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
1930,NULL,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
1931,NULL,Water,Forest,NULL,Non_Wetland,NULL,Water,Forest
1932,NULL,Water,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
1933,NULL,Water,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
1934,NULL,Water,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
1935,NULL,Water,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
1936,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
1937,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1938,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1939,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1940,NULL,Water,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
1941,NULL,Water,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
1942,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1943,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1944,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1945,NULL,Water,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
1946,NULL,Water,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
1947,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1948,NULL,Water,Forest,NULL,Non_Wetland,Water,NULL,Forest
1949,NULL,Water,Forest,NULL,Non_Wetland,Forest,NULL,Forest
1950,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,Grassland,Forest
1951,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland,NULL,Forest
1952,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
1953,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
1954,NULL,Water,Forest,Non_Water,Non_Wetland,Forest,NULL,Forest
1955,NULL,Water,Forest,Water,Non_Wetland,Grassland,NULL,Grassland
1956,NULL,Water,Forest,Water,Non_Wetland,Wetland,Water,Forest
1957,NULL,Water,Forest,Water,Non_Wetland,Bareland,Grassland,Forest
1958,NULL,Water,Forest,Water,Non_Wetland,Water,NULL,Forest
1959,NULL,Water,Forest,Water,Non_Wetland,Water,Water,Forest
1960,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1961,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
1962,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1963,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
1964,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1965,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
1966,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
1967,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1968,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1969,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
1970,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
1971,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
1972,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
1973,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
1974,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1975,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
1976,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
1977,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1978,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1979,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1980,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
1981,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
1982,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1983,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
1984,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
1985,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1986,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
1987,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
1988,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
1989,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1990,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
1991,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
1992,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
1993,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
1994,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
1995,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1996,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
1997,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1998,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
1999,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
2000,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
2001,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
2002,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
2003,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
2004,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2005,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
2006,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
2007,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
2008,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
2009,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
