Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KED_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KED_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KED_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KED_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KED_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KED_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KED_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KED_M_R
13116,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Cropland
13117,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Wetland
13118,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Water
13119,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Forest
13120,Water,Water,Wetland,Non_Water,Wetland,Forest,NULL,Grassland
13121,Water,Water,Wetland,Non_Water,Wetland,Forest,NULL,Cropland
13122,Water,Water,Wetland,Non_Water,Wetland,Forest,NULL,Water
13123,Water,Water,Wetland,Non_Water,Wetland,Forest,NULL,Forest
13124,Water,Water,Wetland,Non_Water,Wetland,Forest,Grassland,Grassland
13125,Water,Water,Wetland,Non_Water,Wetland,Forest,Grassland,Forest
13126,Water,Water,Wetland,Non_Water,Wetland,Forest,Wetland,Grassland
13127,Water,Water,Wetland,Non_Water,Wetland,Forest,Wetland,Wetland
13128,Water,Water,Wetland,Non_Water,Wetland,Forest,Wetland,Water
13129,Water,Water,Wetland,Non_Water,Wetland,Forest,Wetland,Forest
13130,Water,Water,Wetland,Non_Water,Wetland,Forest,Water,Grassland
13131,Water,Water,Wetland,Non_Water,Wetland,Forest,Water,Cropland
13132,Water,Water,Wetland,Non_Water,Wetland,Forest,Water,Wetland
13133,Water,Water,Wetland,Non_Water,Wetland,Forest,Water,Water
13134,Water,Water,Wetland,Non_Water,Wetland,Forest,Water,Forest
13135,Water,Water,Wetland,Non_Water,Wetland,Forest,Forest,Grassland
13136,Water,Water,Wetland,Non_Water,Wetland,Forest,Forest,Wetland
13137,Water,Water,Wetland,Non_Water,Wetland,Forest,Forest,Water
13138,Water,Water,Wetland,Non_Water,Wetland,Forest,Forest,Forest
13139,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
13140,Water,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
13141,Water,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
13142,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
13143,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
13144,Water,Water,Wetland,Water,Wetland,NULL,Grassland,Grassland
13145,Water,Water,Wetland,Water,Wetland,NULL,Grassland,Water
13146,Water,Water,Wetland,Water,Wetland,NULL,Wetland,Grassland
13147,Water,Water,Wetland,Water,Wetland,NULL,Wetland,Water
13148,Water,Water,Wetland,Water,Wetland,NULL,Water,Grassland
13149,Water,Water,Wetland,Water,Wetland,NULL,Water,Cropland
13150,Water,Water,Wetland,Water,Wetland,NULL,Water,Wetland
13151,Water,Water,Wetland,Water,Wetland,NULL,Water,Bareland
13152,Water,Water,Wetland,Water,Wetland,NULL,Water,Built-up
13153,Water,Water,Wetland,Water,Wetland,NULL,Water,Water
13154,Water,Water,Wetland,Water,Wetland,NULL,Water,Forest
13155,Water,Water,Wetland,Water,Wetland,NULL,Forest,Grassland
13156,Water,Water,Wetland,Water,Wetland,NULL,Forest,Water
13157,Water,Water,Wetland,Water,Wetland,NULL,Forest,Forest
13158,Water,Water,Wetland,Water,Wetland,Grassland,NULL,Wetland
13159,Water,Water,Wetland,Water,Wetland,Grassland,NULL,Water
13160,Water,Water,Wetland,Water,Wetland,Grassland,NULL,Forest
13161,Water,Water,Wetland,Water,Wetland,Grassland,Grassland,Water
13162,Water,Water,Wetland,Water,Wetland,Grassland,Wetland,Water
13163,Water,Water,Wetland,Water,Wetland,Grassland,Wetland,Forest
13164,Water,Water,Wetland,Water,Wetland,Grassland,Water,Grassland
13165,Water,Water,Wetland,Water,Wetland,Grassland,Water,Wetland
13166,Water,Water,Wetland,Water,Wetland,Grassland,Water,Water
13167,Water,Water,Wetland,Water,Wetland,Grassland,Water,Forest
13168,Water,Water,Wetland,Water,Wetland,Cropland,NULL,Water
13169,Water,Water,Wetland,Water,Wetland,Cropland,Water,Grassland
13170,Water,Water,Wetland,Water,Wetland,Cropland,Water,Bareland
13171,Water,Water,Wetland,Water,Wetland,Cropland,Water,Water
13172,Water,Water,Wetland,Water,Wetland,Cropland,Forest,Water
13173,Water,Water,Wetland,Water,Wetland,Wetland,NULL,Grassland
13174,Water,Water,Wetland,Water,Wetland,Wetland,NULL,Wetland
13175,Water,Water,Wetland,Water,Wetland,Wetland,NULL,Water
13176,Water,Water,Wetland,Water,Wetland,Wetland,Wetland,Wetland
13177,Water,Water,Wetland,Water,Wetland,Wetland,Wetland,Water
13178,Water,Water,Wetland,Water,Wetland,Wetland,Wetland,Forest
13179,Water,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
13180,Water,Water,Wetland,Water,Wetland,Wetland,Water,Wetland
13181,Water,Water,Wetland,Water,Wetland,Wetland,Water,Water
13182,Water,Water,Wetland,Water,Wetland,Wetland,Water,Forest
13183,Water,Water,Wetland,Water,Wetland,Wetland,Forest,Wetland
13184,Water,Water,Wetland,Water,Wetland,Wetland,Forest,Water
13185,Water,Water,Wetland,Water,Wetland,Wetland,Forest,Forest
13186,Water,Water,Wetland,Water,Wetland,Bareland,NULL,Grassland
13187,Water,Water,Wetland,Water,Wetland,Bareland,Wetland,Water
13188,Water,Water,Wetland,Water,Wetland,Bareland,Water,Grassland
13189,Water,Water,Wetland,Water,Wetland,Bareland,Water,Wetland
13190,Water,Water,Wetland,Water,Wetland,Bareland,Water,Bareland
13191,Water,Water,Wetland,Water,Wetland,Bareland,Water,Built-up
13192,Water,Water,Wetland,Water,Wetland,Bareland,Water,Water
13193,Water,Water,Wetland,Water,Wetland,Bareland,Water,Forest
13194,Water,Water,Wetland,Water,Wetland,Built-up,Water,Grassland
13195,Water,Water,Wetland,Water,Wetland,Built-up,Water,Water
13196,Water,Water,Wetland,Water,Wetland,Built-up,Water,Forest
13197,Water,Water,Wetland,Water,Wetland,Water,NULL,Grassland
13198,Water,Water,Wetland,Water,Wetland,Water,NULL,Wetland
13199,Water,Water,Wetland,Water,Wetland,Water,NULL,Bareland
13200,Water,Water,Wetland,Water,Wetland,Water,NULL,Water
13201,Water,Water,Wetland,Water,Wetland,Water,NULL,Forest
13202,Water,Water,Wetland,Water,Wetland,Water,Shrubland,Grassland
13203,Water,Water,Wetland,Water,Wetland,Water,Grassland,Water
13204,Water,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
13205,Water,Water,Wetland,Water,Wetland,Water,Wetland,Cropland
13206,Water,Water,Wetland,Water,Wetland,Water,Wetland,Wetland
13207,Water,Water,Wetland,Water,Wetland,Water,Wetland,Water
13208,Water,Water,Wetland,Water,Wetland,Water,Wetland,Forest
13209,Water,Water,Wetland,Water,Wetland,Water,Water,NULL
13210,Water,Water,Wetland,Water,Wetland,Water,Water,Grassland
13211,Water,Water,Wetland,Water,Wetland,Water,Water,Cropland
13212,Water,Water,Wetland,Water,Wetland,Water,Water,Wetland
13213,Water,Water,Wetland,Water,Wetland,Water,Water,Bareland
13214,Water,Water,Wetland,Water,Wetland,Water,Water,Built-up
13215,Water,Water,Wetland,Water,Wetland,Water,Water,Water
13216,Water,Water,Wetland,Water,Wetland,Water,Water,Forest
13217,Water,Water,Wetland,Water,Wetland,Water,Forest,NULL
13218,Water,Water,Wetland,Water,Wetland,Water,Forest,Grassland
13219,Water,Water,Wetland,Water,Wetland,Water,Forest,Wetland
13220,Water,Water,Wetland,Water,Wetland,Water,Forest,Water
13221,Water,Water,Wetland,Water,Wetland,Water,Forest,Forest
13222,Water,Water,Wetland,Water,Wetland,Forest,NULL,Grassland
13223,Water,Water,Wetland,Water,Wetland,Forest,NULL,Water
13224,Water,Water,Wetland,Water,Wetland,Forest,NULL,Forest
13225,Water,Water,Wetland,Water,Wetland,Forest,Wetland,Grassland
13226,Water,Water,Wetland,Water,Wetland,Forest,Wetland,Forest
13227,Water,Water,Wetland,Water,Wetland,Forest,Water,Grassland
13228,Water,Water,Wetland,Water,Wetland,Forest,Water,Wetland
13229,Water,Water,Wetland,Water,Wetland,Forest,Water,Water
13230,Water,Water,Wetland,Water,Wetland,Forest,Water,Forest
13231,Water,Water,Wetland,Water,Wetland,Forest,Forest,Grassland
13232,Water,Water,Wetland,Water,Wetland,Forest,Forest,Wetland
13233,Water,Water,Wetland,Water,Wetland,Forest,Forest,Water
13234,Water,Water,Wetland,Water,Wetland,Forest,Forest,Forest
13235,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
13236,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
13237,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
13238,Water,Water,Bareland,NULL,Non_Wetland,NULL,Grassland,Water
13239,Water,Water,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
13240,Water,Water,Bareland,NULL,Non_Wetland,NULL,Water,Grassland
13241,Water,Water,Bareland,NULL,Non_Wetland,NULL,Water,Water
13242,Water,Water,Bareland,NULL,Non_Wetland,NULL,Water,Forest
13243,Water,Water,Bareland,NULL,Non_Wetland,NULL,Forest,Water
13244,Water,Water,Bareland,NULL,Non_Wetland,Grassland,NULL,Grassland
13245,Water,Water,Bareland,NULL,Non_Wetland,Grassland,NULL,Water
13246,Water,Water,Bareland,NULL,Non_Wetland,Grassland,Water,Grassland
13247,Water,Water,Bareland,NULL,Non_Wetland,Grassland,Water,Water
13248,Water,Water,Bareland,NULL,Non_Wetland,Wetland,NULL,Grassland
13249,Water,Water,Bareland,NULL,Non_Wetland,Wetland,NULL,Water
13250,Water,Water,Bareland,NULL,Non_Wetland,Wetland,NULL,Forest
13251,Water,Water,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
13252,Water,Water,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
13253,Water,Water,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
13254,Water,Water,Bareland,NULL,Non_Wetland,Wetland,Water,Grassland
13255,Water,Water,Bareland,NULL,Non_Wetland,Wetland,Water,Water
13256,Water,Water,Bareland,NULL,Non_Wetland,Wetland,Water,Forest
13257,Water,Water,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
13258,Water,Water,Bareland,NULL,Non_Wetland,Bareland,NULL,Grassland
13259,Water,Water,Bareland,NULL,Non_Wetland,Bareland,NULL,Water
13260,Water,Water,Bareland,NULL,Non_Wetland,Bareland,NULL,Forest
13261,Water,Water,Bareland,NULL,Non_Wetland,Bareland,Shrubland,Water
13262,Water,Water,Bareland,NULL,Non_Wetland,Bareland,Wetland,Bareland
13263,Water,Water,Bareland,NULL,Non_Wetland,Bareland,Wetland,Water
13264,Water,Water,Bareland,NULL,Non_Wetland,Bareland,Wetland,Forest
13265,Water,Water,Bareland,NULL,Non_Wetland,Bareland,Water,Water
13266,Water,Water,Bareland,NULL,Non_Wetland,Bareland,Water,Forest
13267,Water,Water,Bareland,NULL,Non_Wetland,Built-up,Built-up,Water
13268,Water,Water,Bareland,NULL,Non_Wetland,Water,NULL,Water
13269,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Water
13270,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Grassland
13271,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Wetland
13272,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Bareland
13273,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
13274,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Forest
13275,Water,Water,Bareland,NULL,Non_Wetland,Water,Forest,Water
13276,Water,Water,Bareland,NULL,Non_Wetland,Water,Forest,Forest
13277,Water,Water,Bareland,NULL,Non_Wetland,Forest,NULL,Forest
13278,Water,Water,Bareland,NULL,Non_Wetland,Forest,Water,Grassland
13279,Water,Water,Bareland,NULL,Non_Wetland,Forest,Water,Water
13280,Water,Water,Bareland,NULL,Non_Wetland,Forest,Water,Forest
13281,Water,Water,Bareland,NULL,Non_Wetland,Forest,Forest,Water
13282,Water,Water,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
13283,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
13284,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
13285,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
13286,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
13287,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Forest
13288,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,Water,Grassland
13289,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,Water,Bareland
13290,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,Water,Water
13291,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,Water,Forest
13292,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,Forest,Forest
13293,Water,Water,Bareland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
13294,Water,Water,Bareland,Non_Water,Non_Wetland,Grassland,NULL,Water
13295,Water,Water,Bareland,Non_Water,Non_Wetland,Grassland,Water,Grassland
13296,Water,Water,Bareland,Non_Water,Non_Wetland,Grassland,Water,Water
13297,Water,Water,Bareland,Non_Water,Non_Wetland,Cropland,Water,Water
13298,Water,Water,Bareland,Non_Water,Non_Wetland,Wetland,NULL,Water
13299,Water,Water,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
13300,Water,Water,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
13301,Water,Water,Bareland,Non_Water,Non_Wetland,Wetland,Water,Wetland
13302,Water,Water,Bareland,Non_Water,Non_Wetland,Wetland,Water,Water
13303,Water,Water,Bareland,Non_Water,Non_Wetland,Wetland,Water,Forest
13304,Water,Water,Bareland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
13305,Water,Water,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
13306,Water,Water,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
13307,Water,Water,Bareland,Non_Water,Non_Wetland,Bareland,Water,Wetland
13308,Water,Water,Bareland,Non_Water,Non_Wetland,Bareland,Water,Bareland
13309,Water,Water,Bareland,Non_Water,Non_Wetland,Bareland,Water,Water
13310,Water,Water,Bareland,Non_Water,Non_Wetland,Bareland,Water,Forest
13311,Water,Water,Bareland,Non_Water,Non_Wetland,Water,NULL,Grassland
13312,Water,Water,Bareland,Non_Water,Non_Wetland,Water,NULL,Water
13313,Water,Water,Bareland,Non_Water,Non_Wetland,Water,NULL,Forest
13314,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Grassland
13315,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
13316,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
13317,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Cropland
13318,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Wetland
13319,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
13320,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
13321,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Forest,Water
13322,Water,Water,Bareland,Non_Water,Non_Wetland,Forest,Wetland,Forest
13323,Water,Water,Bareland,Non_Water,Non_Wetland,Forest,Water,Water
13324,Water,Water,Bareland,Non_Water,Non_Wetland,Forest,Water,Forest
13325,Water,Water,Bareland,Non_Water,Non_Wetland,Forest,Forest,Grassland
13326,Water,Water,Bareland,Non_Water,Non_Wetland,Forest,Forest,Water
13327,Water,Water,Bareland,Non_Water,Non_Wetland,Forest,Forest,Forest
13328,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
13329,Water,Water,Bareland,Water,Non_Wetland,NULL,Water,Grassland
13330,Water,Water,Bareland,Water,Non_Wetland,NULL,Water,Water
13331,Water,Water,Bareland,Water,Non_Wetland,NULL,Forest,Grassland
13332,Water,Water,Bareland,Water,Non_Wetland,Grassland,NULL,Grassland
13333,Water,Water,Bareland,Water,Non_Wetland,Grassland,Water,Wetland
13334,Water,Water,Bareland,Water,Non_Wetland,Grassland,Water,Water
13335,Water,Water,Bareland,Water,Non_Wetland,Wetland,NULL,Water
13336,Water,Water,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
13337,Water,Water,Bareland,Water,Non_Wetland,Wetland,Water,Water
13338,Water,Water,Bareland,Water,Non_Wetland,Wetland,Water,Forest
13339,Water,Water,Bareland,Water,Non_Wetland,Wetland,Forest,Water
13340,Water,Water,Bareland,Water,Non_Wetland,Wetland,Forest,Forest
13341,Water,Water,Bareland,Water,Non_Wetland,Bareland,Water,Water
13342,Water,Water,Bareland,Water,Non_Wetland,Water,NULL,Water
13343,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Grassland
13344,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Water
13345,Water,Water,Bareland,Water,Non_Wetland,Water,Forest,Water
13346,Water,Water,Bareland,Water,Non_Wetland,Water,Forest,Forest
13347,Water,Water,Bareland,Water,Non_Wetland,Forest,Water,Water
13348,Water,Water,Bareland,Water,Non_Wetland,Forest,Water,Forest
13349,Water,Water,Bareland,Water,Non_Wetland,Forest,Forest,Forest
13350,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
13351,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Water
13352,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
13353,Water,Water,Built-up,NULL,Non_Wetland,NULL,Grassland,Built-up
13354,Water,Water,Built-up,NULL,Non_Wetland,NULL,Bareland,Grassland
13355,Water,Water,Built-up,NULL,Non_Wetland,NULL,Bareland,Built-up
13356,Water,Water,Built-up,NULL,Non_Wetland,NULL,Bareland,Forest
13357,Water,Water,Built-up,NULL,Non_Wetland,NULL,Built-up,Grassland
13358,Water,Water,Built-up,NULL,Non_Wetland,NULL,Water,Grassland
13359,Water,Water,Built-up,NULL,Non_Wetland,NULL,Water,Bareland
13360,Water,Water,Built-up,NULL,Non_Wetland,NULL,Water,Built-up
13361,Water,Water,Built-up,NULL,Non_Wetland,NULL,Water,Water
13362,Water,Water,Built-up,NULL,Non_Wetland,NULL,Water,Forest
13363,Water,Water,Built-up,NULL,Non_Wetland,NULL,Forest,Water
13364,Water,Water,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
13365,Water,Water,Built-up,NULL,Non_Wetland,Grassland,NULL,Water
13366,Water,Water,Built-up,NULL,Non_Wetland,Grassland,Water,Water
13367,Water,Water,Built-up,NULL,Non_Wetland,Grassland,Water,Forest
13368,Water,Water,Built-up,NULL,Non_Wetland,Wetland,Water,Grassland
13369,Water,Water,Built-up,NULL,Non_Wetland,Wetland,Water,Forest
13370,Water,Water,Built-up,NULL,Non_Wetland,Bareland,NULL,Water
13371,Water,Water,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
13372,Water,Water,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
13373,Water,Water,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
13374,Water,Water,Built-up,NULL,Non_Wetland,Bareland,Bareland,Water
13375,Water,Water,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
13376,Water,Water,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
13377,Water,Water,Built-up,NULL,Non_Wetland,Bareland,Water,Bareland
13378,Water,Water,Built-up,NULL,Non_Wetland,Bareland,Water,Built-up
13379,Water,Water,Built-up,NULL,Non_Wetland,Bareland,Water,Water
13380,Water,Water,Built-up,NULL,Non_Wetland,Bareland,Forest,Forest
13381,Water,Water,Built-up,NULL,Non_Wetland,Built-up,Built-up,Water
13382,Water,Water,Built-up,NULL,Non_Wetland,Built-up,Water,Water
13383,Water,Water,Built-up,NULL,Non_Wetland,Water,NULL,Water
13384,Water,Water,Built-up,NULL,Non_Wetland,Water,Bareland,Water
13385,Water,Water,Built-up,NULL,Non_Wetland,Water,Water,Grassland
13386,Water,Water,Built-up,NULL,Non_Wetland,Water,Water,Bareland
13387,Water,Water,Built-up,NULL,Non_Wetland,Water,Water,Water
13388,Water,Water,Built-up,NULL,Non_Wetland,Water,Forest,Water
13389,Water,Water,Built-up,NULL,Non_Wetland,Forest,Water,Water
13390,Water,Water,Built-up,NULL,Non_Wetland,Forest,Water,Forest
13391,Water,Water,Built-up,NULL,Non_Wetland,Forest,Forest,Forest
13392,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
13393,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
13394,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
13395,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
13396,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,Grassland,Built-up
13397,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,Water,Grassland
13398,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,Water,Bareland
13399,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,Water,Built-up
13400,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,Water,Water
13401,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,Water,Forest
13402,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,Forest,Water
13403,Water,Water,Built-up,Non_Water,Non_Wetland,Wetland,NULL,Grassland
13404,Water,Water,Built-up,Non_Water,Non_Wetland,Wetland,NULL,Built-up
13405,Water,Water,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
13406,Water,Water,Built-up,Non_Water,Non_Wetland,Wetland,Water,Grassland
13407,Water,Water,Built-up,Non_Water,Non_Wetland,Wetland,Water,Forest
13408,Water,Water,Built-up,Non_Water,Non_Wetland,Wetland,Forest,Forest
13409,Water,Water,Built-up,Non_Water,Non_Wetland,Bareland,NULL,Built-up
13410,Water,Water,Built-up,Non_Water,Non_Wetland,Bareland,Wetland,Built-up
13411,Water,Water,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
13412,Water,Water,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
13413,Water,Water,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Built-up
13414,Water,Water,Built-up,Non_Water,Non_Wetland,Bareland,Water,Grassland
13415,Water,Water,Built-up,Non_Water,Non_Wetland,Bareland,Water,Bareland
13416,Water,Water,Built-up,Non_Water,Non_Wetland,Bareland,Water,Water
13417,Water,Water,Built-up,Non_Water,Non_Wetland,Built-up,Built-up,Bareland
13418,Water,Water,Built-up,Non_Water,Non_Wetland,Water,NULL,Wetland
13419,Water,Water,Built-up,Non_Water,Non_Wetland,Water,NULL,Bareland
13420,Water,Water,Built-up,Non_Water,Non_Wetland,Water,Grassland,Built-up
13421,Water,Water,Built-up,Non_Water,Non_Wetland,Water,Wetland,Grassland
13422,Water,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Grassland
13423,Water,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Wetland
13424,Water,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Bareland
13425,Water,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Built-up
13426,Water,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Water
13427,Water,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Forest
13428,Water,Water,Built-up,Non_Water,Non_Wetland,Forest,Forest,Forest
13429,Water,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
13430,Water,Water,Built-up,Water,Non_Wetland,NULL,Water,Grassland
13431,Water,Water,Built-up,Water,Non_Wetland,NULL,Water,Bareland
13432,Water,Water,Built-up,Water,Non_Wetland,NULL,Water,Built-up
13433,Water,Water,Built-up,Water,Non_Wetland,NULL,Water,Water
13434,Water,Water,Built-up,Water,Non_Wetland,NULL,Water,Forest
13435,Water,Water,Built-up,Water,Non_Wetland,NULL,Forest,Forest
13436,Water,Water,Built-up,Water,Non_Wetland,Wetland,Water,Water
13437,Water,Water,Built-up,Water,Non_Wetland,Bareland,Bareland,Built-up
13438,Water,Water,Built-up,Water,Non_Wetland,Bareland,Water,Grassland
13439,Water,Water,Built-up,Water,Non_Wetland,Bareland,Water,Bareland
13440,Water,Water,Built-up,Water,Non_Wetland,Bareland,Water,Built-up
13441,Water,Water,Built-up,Water,Non_Wetland,Bareland,Water,Water
13442,Water,Water,Built-up,Water,Non_Wetland,Bareland,Forest,Grassland
13443,Water,Water,Built-up,Water,Non_Wetland,Bareland,Forest,Water
13444,Water,Water,Built-up,Water,Non_Wetland,Water,Bareland,Grassland
13445,Water,Water,Built-up,Water,Non_Wetland,Water,Built-up,Water
13446,Water,Water,Built-up,Water,Non_Wetland,Water,Water,Grassland
13447,Water,Water,Built-up,Water,Non_Wetland,Water,Water,Bareland
13448,Water,Water,Built-up,Water,Non_Wetland,Water,Water,Built-up
13449,Water,Water,Built-up,Water,Non_Wetland,Water,Water,Water
13450,Water,Water,Water,NULL,Water,NULL,NULL,Grassland
13451,Water,Water,Water,NULL,Water,NULL,NULL,Cropland
13452,Water,Water,Water,NULL,Water,NULL,NULL,Wetland
13453,Water,Water,Water,NULL,Water,NULL,NULL,Bareland
13454,Water,Water,Water,NULL,Water,NULL,NULL,Water
13455,Water,Water,Water,NULL,Water,NULL,NULL,Forest
13456,Water,Water,Water,NULL,Water,NULL,Grassland,Grassland
13457,Water,Water,Water,NULL,Water,NULL,Grassland,Wetland
13458,Water,Water,Water,NULL,Water,NULL,Grassland,Water
13459,Water,Water,Water,NULL,Water,NULL,Wetland,Grassland
13460,Water,Water,Water,NULL,Water,NULL,Wetland,Water
13461,Water,Water,Water,NULL,Water,NULL,Built-up,Built-up
13462,Water,Water,Water,NULL,Water,NULL,Built-up,Water
13463,Water,Water,Water,NULL,Water,NULL,Water,Grassland
13464,Water,Water,Water,NULL,Water,NULL,Water,Cropland
13465,Water,Water,Water,NULL,Water,NULL,Water,Wetland
13466,Water,Water,Water,NULL,Water,NULL,Water,Bareland
13467,Water,Water,Water,NULL,Water,NULL,Water,Built-up
13468,Water,Water,Water,NULL,Water,NULL,Water,Water
13469,Water,Water,Water,NULL,Water,NULL,Water,Forest
13470,Water,Water,Water,NULL,Water,NULL,Forest,Grassland
13471,Water,Water,Water,NULL,Water,NULL,Forest,Water
13472,Water,Water,Water,NULL,Water,NULL,Forest,Forest
13473,Water,Water,Water,NULL,Water,Shrubland,Wetland,Forest
13474,Water,Water,Water,NULL,Water,Shrubland,Water,Water
13475,Water,Water,Water,NULL,Water,Shrubland,Water,Forest
13476,Water,Water,Water,NULL,Water,Grassland,NULL,Grassland
13477,Water,Water,Water,NULL,Water,Grassland,NULL,Cropland
13478,Water,Water,Water,NULL,Water,Grassland,NULL,Wetland
13479,Water,Water,Water,NULL,Water,Grassland,NULL,Water
13480,Water,Water,Water,NULL,Water,Grassland,NULL,Forest
13481,Water,Water,Water,NULL,Water,Grassland,Grassland,Grassland
13482,Water,Water,Water,NULL,Water,Grassland,Grassland,Wetland
13483,Water,Water,Water,NULL,Water,Grassland,Grassland,Water
13484,Water,Water,Water,NULL,Water,Grassland,Wetland,Grassland
13485,Water,Water,Water,NULL,Water,Grassland,Wetland,Wetland
13486,Water,Water,Water,NULL,Water,Grassland,Wetland,Water
13487,Water,Water,Water,NULL,Water,Grassland,Wetland,Forest
13488,Water,Water,Water,NULL,Water,Grassland,Water,Grassland
