Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22NBK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NBK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NBK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NBK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NBK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NBK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22NBK_M_R
346,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
347,Forest,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
348,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
349,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
350,Forest,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
351,Forest,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
352,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
353,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
354,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
355,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
356,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
357,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
358,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
359,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
360,Forest,Wetland,Water,NULL,Water,NULL,NULL,Grassland
361,Forest,Wetland,Water,NULL,Water,NULL,NULL,Forest
362,Forest,Wetland,Water,Non_Water,Water,NULL,NULL,Bareland
363,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
364,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
365,Forest,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
366,Forest,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
367,Forest,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
368,Forest,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
369,Forest,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
370,Forest,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
371,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
372,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
373,Forest,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
374,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
375,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
376,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
377,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
378,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
379,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
380,Forest,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
381,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
382,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
383,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
384,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
385,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
386,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
387,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
388,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
389,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
390,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
391,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Water
392,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
393,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
394,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
395,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
396,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
397,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
398,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Water
399,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Forest
400,Forest,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
401,Forest,Water,Water,NULL,Water,NULL,NULL,Grassland
402,Forest,Water,Water,NULL,Water,NULL,NULL,Bareland
403,Forest,Water,Water,NULL,Water,NULL,NULL,Water
404,Forest,Water,Water,NULL,Water,NULL,NULL,Forest
405,Forest,Water,Water,Non_Water,Water,NULL,NULL,Bareland
406,Forest,Water,Water,Non_Water,Water,NULL,NULL,Water
407,Forest,Water,Water,Non_Water,Water,NULL,NULL,Forest
408,Forest,Water,Water,Water,Water,NULL,NULL,Grassland
409,Forest,Water,Water,Water,Water,NULL,NULL,Bareland
410,Forest,Water,Water,Water,Water,NULL,NULL,Water
411,Forest,Water,Water,Water,Water,NULL,NULL,Forest
412,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
413,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
414,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
415,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
416,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
417,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
418,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
419,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
420,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
421,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
422,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
423,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
424,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
425,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
426,Forest,Forest,NULL,Water,Non_Wetland,NULL,NULL,Grassland
427,Forest,Forest,NULL,Water,Non_Wetland,NULL,NULL,Forest
428,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
429,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
430,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
431,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
432,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
433,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
434,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
435,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
436,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
437,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
438,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
439,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
440,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Water
441,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
442,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
443,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
444,Forest,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
445,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
446,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Bareland
447,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
448,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
449,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
450,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
451,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
452,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Water
453,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
454,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
455,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
456,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
457,Forest,Forest,Water,NULL,Water,NULL,NULL,Grassland
458,Forest,Forest,Water,NULL,Water,NULL,NULL,Water
459,Forest,Forest,Water,NULL,Water,NULL,NULL,Forest
460,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
461,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Forest
462,Forest,Forest,Water,Water,Water,NULL,NULL,Grassland
463,Forest,Forest,Water,Water,Water,NULL,NULL,Bareland
464,Forest,Forest,Water,Water,Water,NULL,NULL,Water
465,Forest,Forest,Water,Water,Water,NULL,NULL,Forest
466,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
467,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
468,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
469,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
470,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
471,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
472,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
473,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
474,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
475,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Bareland
476,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
477,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
