Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KNQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KNQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KNQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KNQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KNQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KNQ_M_R
1692,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Water,Forest
1693,NULL,Water,Built-up,NULL,Non_Wetland,Built-up,NULL,Built-up
1694,NULL,Water,Built-up,NULL,Non_Wetland,Built-up,NULL,Water
1695,NULL,Water,Built-up,NULL,Non_Wetland,Built-up,Bareland,Bareland
1696,NULL,Water,Built-up,NULL,Non_Wetland,Built-up,Bareland,Built-up
1697,NULL,Water,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
1698,NULL,Water,Built-up,NULL,Non_Wetland,Built-up,Built-up,Wetland
1699,NULL,Water,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
1700,NULL,Water,Built-up,NULL,Non_Wetland,Built-up,Built-up,Water
1701,NULL,Water,Built-up,NULL,Non_Wetland,Built-up,Water,Built-up
1702,NULL,Water,Built-up,NULL,Non_Wetland,Built-up,Water,Water
1703,NULL,Water,Built-up,NULL,Non_Wetland,Built-up,Forest,Grassland
1704,NULL,Water,Built-up,NULL,Non_Wetland,Water,Built-up,Water
1705,NULL,Water,Built-up,NULL,Non_Wetland,Water,Water,Grassland
1706,NULL,Water,Built-up,NULL,Non_Wetland,Water,Water,Built-up
1707,NULL,Water,Built-up,NULL,Non_Wetland,Water,Water,Water
1708,NULL,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
1709,NULL,Water,Built-up,Non_Water,Non_Wetland,NULL,Bareland,Grassland
1710,NULL,Water,Built-up,Non_Water,Non_Wetland,NULL,Bareland,Built-up
1711,NULL,Water,Built-up,Non_Water,Non_Wetland,NULL,Water,Grassland
1712,NULL,Water,Built-up,Non_Water,Non_Wetland,NULL,Water,Bareland
1713,NULL,Water,Built-up,Non_Water,Non_Wetland,NULL,Water,Built-up
1714,NULL,Water,Built-up,Non_Water,Non_Wetland,NULL,Water,Water
1715,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland,NULL,Built-up
1716,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
1717,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Built-up
1718,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Forest
1719,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland,Built-up,Bareland
1720,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland,Built-up,Water
1721,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland,Water,Grassland
1722,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland,Water,Built-up
1723,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland,Water,Water
1724,NULL,Water,Built-up,Non_Water,Non_Wetland,Built-up,NULL,Built-up
1725,NULL,Water,Built-up,Non_Water,Non_Wetland,Built-up,Built-up,Built-up
1726,NULL,Water,Built-up,Non_Water,Non_Wetland,Built-up,Built-up,Water
1727,NULL,Water,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
1728,NULL,Water,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
1729,NULL,Water,Built-up,Water,Non_Wetland,NULL,Bareland,Grassland
1730,NULL,Water,Built-up,Water,Non_Wetland,NULL,Water,Grassland
1731,NULL,Water,Built-up,Water,Non_Wetland,NULL,Water,Bareland
1732,NULL,Water,Built-up,Water,Non_Wetland,NULL,Water,Built-up
1733,NULL,Water,Built-up,Water,Non_Wetland,NULL,Water,Water
1734,NULL,Water,Built-up,Water,Non_Wetland,NULL,Water,Forest
1735,NULL,Water,Built-up,Water,Non_Wetland,Bareland,Bareland,Bareland
1736,NULL,Water,Built-up,Water,Non_Wetland,Bareland,Bareland,Built-up
1737,NULL,Water,Built-up,Water,Non_Wetland,Bareland,Bareland,Water
1738,NULL,Water,Built-up,Water,Non_Wetland,Bareland,Built-up,Grassland
1739,NULL,Water,Built-up,Water,Non_Wetland,Bareland,Built-up,Bareland
1740,NULL,Water,Built-up,Water,Non_Wetland,Bareland,Built-up,Built-up
1741,NULL,Water,Built-up,Water,Non_Wetland,Bareland,Built-up,Forest
1742,NULL,Water,Built-up,Water,Non_Wetland,Bareland,Water,Bareland
1743,NULL,Water,Built-up,Water,Non_Wetland,Bareland,Water,Built-up
1744,NULL,Water,Built-up,Water,Non_Wetland,Bareland,Water,Water
1745,NULL,Water,Built-up,Water,Non_Wetland,Built-up,NULL,Water
1746,NULL,Water,Built-up,Water,Non_Wetland,Built-up,Built-up,Built-up
1747,NULL,Water,Built-up,Water,Non_Wetland,Built-up,Built-up,Water
1748,NULL,Water,Built-up,Water,Non_Wetland,Built-up,Water,Built-up
1749,NULL,Water,Built-up,Water,Non_Wetland,Water,Wetland,Water
1750,NULL,Water,Built-up,Water,Non_Wetland,Water,Built-up,Built-up
1751,NULL,Water,Built-up,Water,Non_Wetland,Water,Built-up,Water
1752,NULL,Water,Built-up,Water,Non_Wetland,Water,Water,Built-up
1753,NULL,Water,Built-up,Water,Non_Wetland,Water,Water,Water
1754,NULL,Water,Water,NULL,NULL,Bareland,Built-up,Built-up
1755,NULL,Water,Water,NULL,Water,Wetland,Water,Built-up
1756,NULL,Water,Water,NULL,Water,Built-up,Built-up,Water
1757,NULL,Water,Water,NULL,Water,Built-up,Water,Built-up
1758,NULL,Water,Water,NULL,Water,Built-up,Water,Water
1759,NULL,Water,Water,NULL,Water,Water,Built-up,Water
1760,NULL,Water,Water,Non_Water,Water,Built-up,Built-up,Water
1761,NULL,Water,Water,Water,Water,NULL,Water,Forest
1762,NULL,Water,Water,Water,Water,Bareland,Bareland,Water
1763,NULL,Water,Water,Water,Water,Bareland,Water,Water
1764,NULL,Water,Water,Water,Water,Built-up,Built-up,Water
1765,NULL,Water,Water,Water,Water,Built-up,Water,Water
1766,NULL,Water,Water,Water,Water,Water,NULL,Water
1767,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1768,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
1769,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
1770,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1771,NULL,Water,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
1772,NULL,Water,Forest,NULL,Non_Wetland,NULL,Built-up,Forest
1773,NULL,Water,Forest,NULL,Non_Wetland,NULL,Water,Grassland
1774,NULL,Water,Forest,NULL,Non_Wetland,NULL,Water,Water
1775,NULL,Water,Forest,NULL,Non_Wetland,NULL,Water,Forest
1776,NULL,Water,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
1777,NULL,Water,Forest,NULL,Non_Wetland,Bareland,NULL,Bareland
1778,NULL,Water,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
1779,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1780,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Built-up,Built-up
1781,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Water,Bareland
1782,NULL,Water,Forest,NULL,Non_Wetland,Built-up,NULL,Forest
1783,NULL,Water,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
1784,NULL,Water,Forest,NULL,Non_Wetland,Water,NULL,Water
1785,NULL,Water,Forest,NULL,Non_Wetland,Forest,NULL,Forest
1786,NULL,Water,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
1787,NULL,Water,Forest,NULL,Non_Wetland,Forest,Forest,Water
1788,NULL,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1789,NULL,Water,Forest,Non_Water,Non_Wetland,Wetland,NULL,Water
1790,NULL,Water,Forest,Non_Water,Non_Wetland,Water,Bareland,Water
1791,NULL,Water,Forest,Water,Non_Wetland,Built-up,Built-up,Water
1792,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1793,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
1794,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1795,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
1796,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
1797,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1798,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
1799,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Water,Forest
1800,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Forest,Built-up
1801,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Forest,Forest
1802,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
1803,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
1804,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1805,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1806,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
1807,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
1808,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
1809,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1810,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
1811,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
1812,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Water,Forest
1813,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
1814,NULL,Forest,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
1815,NULL,Forest,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
1816,NULL,Forest,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
1817,NULL,Forest,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
1818,NULL,Forest,NULL,NULL,Non_Wetland,Forest,NULL,Forest
1819,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
1820,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
1821,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
1822,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
1823,NULL,Forest,NULL,Water,Non_Wetland,NULL,NULL,Forest
1824,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1825,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
1826,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1827,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
1828,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
1829,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
1830,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
1831,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
1832,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
1833,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
1834,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
1835,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Water,Built-up
1836,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
1837,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
1838,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
1839,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
1840,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
1841,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1842,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1843,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1844,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
1845,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Forest
1846,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
1847,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
1848,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1849,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
1850,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1851,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
1852,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
1853,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
1854,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
1855,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
1856,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
1857,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1858,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
1859,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
1860,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
1861,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
1862,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
1863,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
1864,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
1865,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1866,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
1867,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
1868,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
1869,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
1870,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
1871,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Bareland,Forest
1872,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
1873,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Built-up,Forest
1874,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
1875,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
1876,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
1877,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
1878,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
1879,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1880,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1881,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1882,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1883,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
1884,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
1885,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,NULL,Built-up
1886,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,NULL,Forest
1887,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1888,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
1889,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
1890,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
1891,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
1892,NULL,Forest,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
1893,NULL,Forest,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
1894,NULL,Forest,Wetland,NULL,NULL,NULL,Water,Forest
1895,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
1896,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
1897,NULL,Forest,Wetland,NULL,Wetland,NULL,Water,Grassland
1898,NULL,Forest,Wetland,NULL,Wetland,NULL,Water,Wetland
1899,NULL,Forest,Wetland,NULL,Wetland,NULL,Water,Built-up
1900,NULL,Forest,Wetland,NULL,Wetland,NULL,Water,Forest
1901,NULL,Forest,Wetland,NULL,Wetland,NULL,Forest,Built-up
1902,NULL,Forest,Wetland,NULL,Wetland,Built-up,NULL,Forest
1903,NULL,Forest,Wetland,NULL,Wetland,Built-up,Water,Forest
1904,NULL,Forest,Wetland,Non_Water,NULL,NULL,NULL,Bareland
1905,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
1906,NULL,Forest,Wetland,Non_Water,Wetland,NULL,Water,Forest
1907,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
1908,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
1909,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
1910,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
1911,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Bareland,Grassland
1912,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Bareland,Built-up
1913,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Bareland,Forest
1914,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Built-up,Grassland
1915,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Built-up,Built-up
1916,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Built-up,Forest
1917,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Water,Grassland
1918,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Water,Built-up
1919,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Water,Forest
1920,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Forest,Built-up
1921,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Forest,Forest
1922,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
1923,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
1924,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
1925,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
1926,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,NULL,Forest
1927,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
1928,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
1929,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
1930,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
1931,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
1932,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
1933,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Water,Bareland
1934,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland,Water,Forest
1935,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up,NULL,Grassland
1936,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up,NULL,Built-up
1937,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up,NULL,Forest
1938,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
1939,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
1940,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
1941,NULL,Forest,Built-up,NULL,Non_Wetland,Forest,NULL,Forest
1942,NULL,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
1943,NULL,Forest,Built-up,Non_Water,Non_Wetland,NULL,Built-up,Grassland
1944,NULL,Forest,Built-up,Non_Water,Non_Wetland,NULL,Water,Grassland
1945,NULL,Forest,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
1946,NULL,Forest,Built-up,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
1947,NULL,Forest,Built-up,Non_Water,Non_Wetland,Bareland,Water,Grassland
1948,NULL,Forest,Built-up,Non_Water,Non_Wetland,Bareland,Water,Built-up
1949,NULL,Forest,Built-up,Water,Non_Wetland,NULL,Bareland,Grassland
1950,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1951,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
1952,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1953,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
1954,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
1955,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
1956,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Water,Built-up
1957,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Water,Water
1958,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Water,Forest
1959,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
1960,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
1961,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
1962,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
1963,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1964,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1965,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1966,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1967,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
1968,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
1969,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Built-up
1970,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
1971,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
1972,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1973,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1974,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Built-up,Grassland
1975,NULL,Forest,Forest,NULL,Non_Wetland,Built-up,NULL,Grassland
1976,NULL,Forest,Forest,NULL,Non_Wetland,Built-up,NULL,Built-up
1977,NULL,Forest,Forest,NULL,Non_Wetland,Built-up,NULL,Forest
1978,NULL,Forest,Forest,NULL,Non_Wetland,Built-up,Bareland,Built-up
1979,NULL,Forest,Forest,NULL,Non_Wetland,Built-up,Bareland,Forest
1980,NULL,Forest,Forest,NULL,Non_Wetland,Built-up,Built-up,Forest
1981,NULL,Forest,Forest,NULL,Non_Wetland,Built-up,Forest,Forest
1982,NULL,Forest,Forest,NULL,Non_Wetland,Water,NULL,Forest
1983,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
1984,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Bareland
1985,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
1986,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
1987,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1988,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
1989,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
1990,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1991,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
1992,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1993,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
1994,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
1995,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
1996,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
1997,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
1998,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1999,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
2000,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
2001,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Wetland
2002,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Bareland
2003,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Built-up
2004,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
2005,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
2006,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Cropland
2007,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Wetland
2008,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
2009,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
2010,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
2011,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Wetland
2012,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
2013,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
2014,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
2015,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Water,Built-up
2016,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
2017,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
2018,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
2019,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
2020,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2021,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
2022,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
2023,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
2024,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
2025,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
2026,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
2027,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
2028,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
2029,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
