Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MHQ_M_R
335,Water,Water,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Water
336,Water,Water,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
337,Water,Water,Bareland,Non_Water,Non_Wetland,Bareland,Water,Water
338,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
339,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
340,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
341,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
342,Water,Water,Bareland,Water,Non_Wetland,NULL,Wetland,Water
343,Water,Water,Bareland,Water,Non_Wetland,Bareland,Wetland,Water
344,Water,Water,Bareland,Water,Non_Wetland,Bareland,Water,Water
345,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
346,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Water
347,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Water
348,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Forest
349,Water,Water,Bareland,Water,Non_Wetland,Water,Forest,Water
350,Water,Water,Built-up,NULL,Non_Wetland,Water,Wetland,Water
351,Water,Water,Built-up,Non_Water,Non_Wetland,Water,Wetland,Water
352,Water,Water,Built-up,Water,Non_Wetland,Bareland,Forest,Grassland
353,Water,Water,Built-up,Water,Non_Wetland,Water,Water,Water
354,Water,Water,Water,NULL,Water,NULL,Wetland,Water
355,Water,Water,Water,NULL,Water,NULL,Wetland,Forest
356,Water,Water,Water,NULL,Water,NULL,Water,Forest
357,Water,Water,Water,NULL,Water,Grassland,Water,Water
358,Water,Water,Water,NULL,Water,Wetland,Wetland,Forest
359,Water,Water,Water,NULL,Water,Bareland,Water,Grassland
360,Water,Water,Water,NULL,Water,Water,Wetland,Wetland
361,Water,Water,Water,NULL,Water,Water,Wetland,Water
362,Water,Water,Water,NULL,Water,Water,Wetland,Forest
363,Water,Water,Water,NULL,Water,Water,Water,Wetland
364,Water,Water,Water,NULL,Water,Water,Water,Water
365,Water,Water,Water,NULL,Water,Water,Water,Forest
366,Water,Water,Water,NULL,Water,Water,Forest,Water
367,Water,Water,Water,NULL,Water,Water,Forest,Forest
368,Water,Water,Water,Non_Water,Water,NULL,Wetland,Water
369,Water,Water,Water,Non_Water,Water,NULL,Water,Water
370,Water,Water,Water,Non_Water,Water,NULL,Water,Forest
371,Water,Water,Water,Non_Water,Water,Grassland,Wetland,Water
372,Water,Water,Water,Non_Water,Water,Grassland,Water,Water
373,Water,Water,Water,Non_Water,Water,Wetland,Wetland,Water
374,Water,Water,Water,Non_Water,Water,Wetland,Wetland,Forest
375,Water,Water,Water,Non_Water,Water,Wetland,Water,Water
376,Water,Water,Water,Non_Water,Water,Wetland,Water,Forest
377,Water,Water,Water,Non_Water,Water,Bareland,Wetland,Water
378,Water,Water,Water,Non_Water,Water,Bareland,Water,Water
379,Water,Water,Water,Non_Water,Water,Water,Wetland,Water
380,Water,Water,Water,Non_Water,Water,Water,Wetland,Forest
381,Water,Water,Water,Non_Water,Water,Water,Water,Grassland
382,Water,Water,Water,Non_Water,Water,Water,Water,Water
383,Water,Water,Water,Non_Water,Water,Water,Water,Forest
384,Water,Water,Water,Water,Water,NULL,Wetland,Water
385,Water,Water,Water,Water,Water,NULL,Wetland,Forest
386,Water,Water,Water,Water,Water,NULL,Water,Water
387,Water,Water,Water,Water,Water,NULL,Water,Forest
388,Water,Water,Water,Water,Water,Grassland,Wetland,Water
389,Water,Water,Water,Water,Water,Grassland,Wetland,Forest
390,Water,Water,Water,Water,Water,Wetland,Wetland,Water
391,Water,Water,Water,Water,Water,Wetland,Water,Water
392,Water,Water,Water,Water,Water,Wetland,Water,Forest
393,Water,Water,Water,Water,Water,Bareland,Wetland,Water
394,Water,Water,Water,Water,Water,Bareland,Water,Water
395,Water,Water,Water,Water,Water,Bareland,Water,Forest
396,Water,Water,Water,Water,Water,Water,Wetland,Water
397,Water,Water,Water,Water,Water,Water,Wetland,Forest
398,Water,Water,Water,Water,Water,Water,Water,Grassland
399,Water,Water,Water,Water,Water,Water,Water,Wetland
400,Water,Water,Water,Water,Water,Water,Water,Water
401,Water,Water,Water,Water,Water,Water,Water,Forest
402,Water,Water,Water,Water,Water,Water,Forest,Water
403,Water,Water,Water,Water,Water,Forest,Water,Forest
404,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
405,Water,Water,Forest,NULL,Non_Wetland,NULL,Water,Water
406,Water,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Water
407,Water,Water,Forest,NULL,Non_Wetland,Grassland,Water,Water
408,Water,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
409,Water,Water,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
410,Water,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Water
411,Water,Water,Forest,NULL,Non_Wetland,Bareland,Water,Water
412,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
413,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
414,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Water
415,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
416,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
417,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
418,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Water
419,Water,Water,Forest,Non_Water,Non_Wetland,Bareland,Water,Water
420,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
421,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
422,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
423,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Forest
424,Water,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Water
425,Water,Water,Forest,Non_Water,Non_Wetland,Forest,Wetland,Forest
426,Water,Water,Forest,Water,Non_Wetland,NULL,Wetland,Water
427,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
428,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Forest
429,Water,Water,Forest,Water,Non_Wetland,Water,Water,Wetland
430,Water,Water,Forest,Water,Non_Wetland,Water,Water,Water
431,Water,Water,Forest,Water,Non_Wetland,Water,Water,Forest
432,Water,Water,Forest,Water,Non_Wetland,Water,Forest,Water
433,Water,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
434,Water,Forest,Wetland,NULL,Wetland,Bareland,Wetland,Forest
435,Water,Forest,Wetland,NULL,Wetland,Water,Wetland,Water
436,Water,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
437,Water,Forest,Wetland,Water,Wetland,NULL,Water,Forest
438,Water,Forest,Wetland,Water,Wetland,Water,Wetland,Water
439,Water,Forest,Wetland,Water,Wetland,Water,Wetland,Forest
440,Water,Forest,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
441,Water,Forest,Bareland,Water,Non_Wetland,NULL,Water,Water
442,Water,Forest,Water,NULL,Water,Water,Water,Water
443,Water,Forest,Forest,NULL,Non_Wetland,Water,Water,Water
444,Permanent_ice_and_snow,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
445,Permanent_ice_and_snow,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
446,Permanent_ice_and_snow,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
447,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
448,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
449,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
450,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
451,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
452,Forest,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
453,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
454,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
455,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
456,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
457,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
458,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
459,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
460,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
461,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
462,Forest,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
463,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
464,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
465,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
466,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
467,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
468,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
469,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
470,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
471,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
472,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
473,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
474,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
475,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
476,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
477,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
478,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
479,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
480,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
481,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
482,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
483,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
484,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Bareland
485,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
486,Forest,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
487,Forest,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
488,Forest,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
489,Forest,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,Grassland
490,Forest,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,Built-up
491,Forest,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,Forest
492,Forest,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
493,Forest,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
494,Forest,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Forest
495,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
496,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
497,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
498,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
499,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
500,Forest,NULL,Built-up,NULL,Non_Wetland,Wetland,Forest,Grassland
501,Forest,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
502,Forest,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
503,Forest,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
504,Forest,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
505,Forest,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
506,Forest,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
507,Forest,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
508,Forest,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
509,Forest,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Bareland
510,Forest,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Built-up
511,Forest,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Forest
512,Forest,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Forest
513,Forest,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
514,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
515,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
516,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
517,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
518,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
519,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
520,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
521,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
522,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
523,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
524,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
525,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
526,Forest,NULL,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
527,Forest,Bareland,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
528,Forest,Bareland,NULL,NULL,Non_Wetland,Water,Forest,Forest
529,Forest,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
530,Forest,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
531,Forest,Bareland,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
532,Forest,Bareland,Built-up,NULL,Non_Wetland,Bareland,Forest,Forest
533,Forest,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
534,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
535,Forest,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Forest
536,Forest,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
537,Forest,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
538,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
539,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
540,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
541,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
542,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
543,Forest,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
544,Forest,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
545,Forest,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
546,Forest,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
547,Forest,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,Built-up
548,Forest,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
549,Forest,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
550,Forest,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Built-up
551,Forest,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
552,Forest,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
553,Forest,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
554,Forest,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
555,Forest,Built-up,Grassland,NULL,Non_Wetland,Built-up,Forest,Grassland
556,Forest,Built-up,Grassland,NULL,Non_Wetland,Built-up,Forest,Forest
557,Forest,Built-up,Grassland,NULL,Non_Wetland,Water,Bareland,Grassland
558,Forest,Built-up,Cropland,NULL,Non_Wetland,Bareland,Forest,Built-up
559,Forest,Built-up,Wetland,NULL,Wetland,NULL,Bareland,Forest
560,Forest,Built-up,Wetland,NULL,Wetland,Grassland,Built-up,Grassland
561,Forest,Built-up,Wetland,NULL,Wetland,Grassland,Built-up,Forest
562,Forest,Built-up,Wetland,NULL,Wetland,Built-up,Built-up,Grassland
563,Forest,Built-up,Wetland,NULL,Wetland,Built-up,Built-up,Built-up
564,Forest,Built-up,Wetland,NULL,Wetland,Built-up,Built-up,Forest
565,Forest,Built-up,Bareland,NULL,Non_Wetland,NULL,Bareland,Forest
566,Forest,Built-up,Bareland,NULL,Non_Wetland,NULL,Built-up,Forest
567,Forest,Built-up,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
568,Forest,Built-up,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
569,Forest,Built-up,Bareland,NULL,Non_Wetland,Built-up,Built-up,Forest
570,Forest,Built-up,Bareland,NULL,Non_Wetland,Built-up,Forest,Built-up
571,Forest,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
572,Forest,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
573,Forest,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
574,Forest,Built-up,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
575,Forest,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
576,Forest,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
577,Forest,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
578,Forest,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
579,Forest,Built-up,Built-up,NULL,Non_Wetland,Bareland,Forest,Forest
580,Forest,Built-up,Built-up,NULL,Non_Wetland,Built-up,Wetland,Built-up
581,Forest,Built-up,Built-up,NULL,Non_Wetland,Built-up,Wetland,Forest
582,Forest,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Forest
583,Forest,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
584,Forest,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
585,Forest,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
586,Forest,Built-up,Built-up,NULL,Non_Wetland,Built-up,Forest,Built-up
587,Forest,Built-up,Built-up,NULL,Non_Wetland,Built-up,Forest,Forest
588,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Built-up
589,Forest,Built-up,Forest,NULL,Non_Wetland,Built-up,Wetland,Built-up
590,Forest,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Forest
591,Forest,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
592,Forest,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Built-up
593,Forest,Built-up,Forest,NULL,Non_Wetland,Built-up,Forest,Built-up
594,Forest,Built-up,Forest,NULL,Non_Wetland,Built-up,Forest,Forest
595,Forest,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Water
596,Forest,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
597,Forest,Water,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
598,Forest,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
599,Forest,Water,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
600,Forest,Water,NULL,NULL,Non_Wetland,Bareland,Water,Water
601,Forest,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
602,Forest,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
603,Forest,Water,NULL,NULL,Non_Wetland,Water,Water,Water
604,Forest,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
605,Forest,Water,NULL,NULL,Non_Wetland,Water,Forest,Water
606,Forest,Water,NULL,NULL,Non_Wetland,Water,Forest,Forest
607,Forest,Water,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
608,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,Wetland,Water
609,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
610,Forest,Water,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
611,Forest,Water,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Water
612,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
613,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
614,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
615,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Water,Forest
616,Forest,Water,NULL,Non_Water,Non_Wetland,Forest,Wetland,Water
617,Forest,Water,NULL,Water,Non_Wetland,NULL,Wetland,Water
618,Forest,Water,NULL,Water,Non_Wetland,Wetland,Wetland,Water
619,Forest,Water,NULL,Water,Non_Wetland,Bareland,Wetland,Forest
620,Forest,Water,NULL,Water,Non_Wetland,Water,Wetland,Water
621,Forest,Water,NULL,Water,Non_Wetland,Water,Water,Water
622,Forest,Water,NULL,Water,Non_Wetland,Water,Water,Forest
623,Forest,Water,NULL,Water,Non_Wetland,Water,Forest,Water
624,Forest,Water,NULL,Water,Non_Wetland,Water,Forest,Forest
625,Forest,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
626,Forest,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Water
627,Forest,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
628,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
629,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
630,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
631,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
632,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Forest
633,Forest,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
634,Forest,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Water
635,Forest,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Water
636,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Water
637,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Forest
638,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
639,Forest,Water,Shrubland,Water,Non_Wetland,NULL,Wetland,Forest
640,Forest,Water,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
641,Forest,Water,Shrubland,Water,Non_Wetland,Bareland,Water,Water
642,Forest,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Water
643,Forest,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
644,Forest,Water,Shrubland,Water,Non_Wetland,Water,Water,Forest
645,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Wetland,Water
646,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
647,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Water,Forest
648,Forest,Water,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
649,Forest,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Water
650,Forest,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
651,Forest,Water,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
652,Forest,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Water
653,Forest,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
654,Forest,Water,Grassland,NULL,Non_Wetland,Water,Bareland,Forest
655,Forest,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
656,Forest,Water,Grassland,NULL,Non_Wetland,Water,Water,Forest
657,Forest,Water,Grassland,NULL,Non_Wetland,Water,Forest,Water
658,Forest,Water,Grassland,NULL,Non_Wetland,Water,Forest,Forest
659,Forest,Water,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
660,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Water
661,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Forest
662,Forest,Water,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Water
663,Forest,Water,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
664,Forest,Water,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
665,Forest,Water,Grassland,Non_Water,Non_Wetland,Grassland,Water,Water
666,Forest,Water,Grassland,Non_Water,Non_Wetland,Wetland,Water,Water
667,Forest,Water,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
668,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Water
669,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
670,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Grassland
671,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
672,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
673,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Forest,Water
674,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Forest,Forest
675,Forest,Water,Grassland,Non_Water,Non_Wetland,Forest,Wetland,Water
676,Forest,Water,Grassland,Water,Non_Wetland,NULL,Wetland,Water
677,Forest,Water,Grassland,Water,Non_Wetland,NULL,Water,Water
678,Forest,Water,Grassland,Water,Non_Wetland,Bareland,Wetland,Water
679,Forest,Water,Grassland,Water,Non_Wetland,Bareland,Wetland,Forest
680,Forest,Water,Grassland,Water,Non_Wetland,Water,Wetland,Water
681,Forest,Water,Grassland,Water,Non_Wetland,Water,Wetland,Forest
682,Forest,Water,Grassland,Water,Non_Wetland,Water,Water,Water
683,Forest,Water,Grassland,Water,Non_Wetland,Water,Water,Forest
684,Forest,Water,Grassland,Water,Non_Wetland,Water,Forest,Water
685,Forest,Water,Grassland,Water,Non_Wetland,Forest,Wetland,Water
686,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
687,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
688,Forest,Water,Wetland,NULL,Wetland,NULL,Water,Water
689,Forest,Water,Wetland,NULL,Wetland,NULL,Water,Forest
690,Forest,Water,Wetland,NULL,Wetland,NULL,Forest,Water
691,Forest,Water,Wetland,NULL,Wetland,NULL,Forest,Forest
692,Forest,Water,Wetland,NULL,Wetland,Grassland,Wetland,Water
693,Forest,Water,Wetland,NULL,Wetland,Grassland,Wetland,Forest
694,Forest,Water,Wetland,NULL,Wetland,Grassland,Water,Forest
