Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MTA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MTA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MTA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MTA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MTA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MTA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MTA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MTA_M_R
12898,Bareland,Cropland,Forest,NULL,Non_Wetland,Bareland,Shrubland,Forest
12899,Bareland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
12900,Bareland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
12901,Bareland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Cropland
12902,Bareland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Bareland
12903,Bareland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
12904,Bareland,Cropland,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
12905,Bareland,Cropland,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
12906,Bareland,Cropland,Forest,NULL,Non_Wetland,Bareland,Bareland,Cropland
12907,Bareland,Cropland,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
12908,Bareland,Cropland,Forest,NULL,Non_Wetland,Bareland,Built-up,Grassland
12909,Bareland,Cropland,Forest,NULL,Non_Wetland,Bareland,Built-up,Built-up
12910,Bareland,Cropland,Forest,NULL,Non_Wetland,Built-up,NULL,NULL
12911,Bareland,Cropland,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
12912,Bareland,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,NULL
12913,Bareland,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
12914,Bareland,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,Forest
12915,Bareland,Cropland,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
12916,Bareland,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
12917,Bareland,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
12918,Bareland,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
12919,Bareland,Cropland,Forest,NULL,Non_Wetland,Forest,Bareland,NULL
12920,Bareland,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Forest
12921,Bareland,Wetland,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
12922,Bareland,Wetland,Shrubland,Water,Non_Wetland,Wetland,Water,Water
12923,Bareland,Wetland,Shrubland,Water,Non_Wetland,Bareland,NULL,Grassland
12924,Bareland,Wetland,Cropland,NULL,Non_Wetland,Shrubland,Bareland,NULL
12925,Bareland,Wetland,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
12926,Bareland,Wetland,Cropland,Water,Non_Wetland,Wetland,Water,Bareland
12927,Bareland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Water
12928,Bareland,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
12929,Bareland,Wetland,Bareland,NULL,Non_Wetland,Bareland,NULL,Bareland
12930,Bareland,Wetland,Bareland,Water,Non_Wetland,Bareland,NULL,Grassland
12931,Bareland,Wetland,Water,Non_Water,Water,Water,Water,Grassland
12932,Bareland,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
12933,Bareland,Wetland,Forest,Non_Water,Non_Wetland,Water,Water,Grassland
12934,Bareland,Wetland,Forest,Water,Non_Wetland,Wetland,NULL,Grassland
12935,Bareland,Wetland,Forest,Water,Non_Wetland,Bareland,Water,Grassland
12936,Bareland,Wetland,Forest,Water,Non_Wetland,Water,Water,Water
12937,Bareland,Bareland,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
12938,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
12939,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
12940,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
12941,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
12942,Bareland,Bareland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
12943,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
12944,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
12945,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
12946,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
12947,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL,Bareland,Bareland
12948,Bareland,Bareland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
12949,Bareland,Bareland,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
12950,Bareland,Bareland,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
12951,Bareland,Bareland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
12952,Bareland,Bareland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
12953,Bareland,Bareland,Cropland,NULL,Non_Wetland,Cropland,NULL,Bareland
12954,Bareland,Bareland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
12955,Bareland,Bareland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Bareland
12956,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
12957,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
12958,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
12959,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
12960,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
12961,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
12962,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
12963,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland,Built-up,Cropland
12964,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland,Built-up,Bareland
12965,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland,Built-up,Built-up
12966,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
12967,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland,Water,Bareland
12968,Bareland,Bareland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
12969,Bareland,Bareland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Bareland
12970,Bareland,Bareland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
12971,Bareland,Bareland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
12972,Bareland,Bareland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
12973,Bareland,Bareland,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
12974,Bareland,Bareland,Cropland,NULL,Non_Wetland,Water,Grassland,Bareland
12975,Bareland,Bareland,Cropland,NULL,Non_Wetland,Water,Grassland,Water
12976,Bareland,Bareland,Cropland,NULL,Non_Wetland,Water,Bareland,Grassland
12977,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
12978,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
12979,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
12980,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Water,Grassland,Grassland
12981,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Water,Water,Grassland
12982,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Water,Water,Bareland
12983,Bareland,Bareland,Cropland,Water,Non_Wetland,Bareland,NULL,Bareland
12984,Bareland,Bareland,Cropland,Water,Non_Wetland,Bareland,Grassland,Grassland
12985,Bareland,Bareland,Cropland,Water,Non_Wetland,Bareland,Grassland,Bareland
12986,Bareland,Bareland,Cropland,Water,Non_Wetland,Bareland,Built-up,Bareland
12987,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Grassland
12988,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Water
12989,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL,Grassland,Grassland
12990,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL,Bareland,Bareland
12991,Bareland,Bareland,Bareland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
12992,Bareland,Bareland,Bareland,NULL,Non_Wetland,Cropland,NULL,Bareland
12993,Bareland,Bareland,Bareland,NULL,Non_Wetland,Cropland,Grassland,Grassland
12994,Bareland,Bareland,Bareland,NULL,Non_Wetland,Cropland,Grassland,Bareland
12995,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland,NULL,Grassland
12996,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland,NULL,Bareland
12997,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
12998,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland,Grassland,Bareland
12999,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
13000,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
13001,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Built-up
13002,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland,Built-up,Grassland
13003,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland,Built-up,Bareland
13004,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland,Water,Bareland
13005,Bareland,Bareland,Bareland,NULL,Non_Wetland,Built-up,Grassland,Grassland
13006,Bareland,Bareland,Bareland,NULL,Non_Wetland,Built-up,Grassland,Bareland
13007,Bareland,Bareland,Bareland,NULL,Non_Wetland,Built-up,Built-up,Grassland
13008,Bareland,Bareland,Bareland,NULL,Non_Wetland,Built-up,Built-up,Bareland
13009,Bareland,Bareland,Bareland,NULL,Non_Wetland,Water,Grassland,Grassland
13010,Bareland,Bareland,Bareland,NULL,Non_Wetland,Water,Bareland,Bareland
13011,Bareland,Bareland,Bareland,NULL,Non_Wetland,Water,Water,Bareland
13012,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Water,Built-up,Grassland
13013,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
13014,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland,Bareland,Grassland
13015,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland,Bareland,Bareland
13016,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
13017,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
13018,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
13019,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
13020,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
13021,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland,Water,Bareland
13022,Bareland,Bareland,Built-up,NULL,Non_Wetland,Water,Water,Grassland
13023,Bareland,Bareland,Built-up,Water,Non_Wetland,Bareland,NULL,Bareland
13024,Bareland,Bareland,Water,NULL,Water,Water,Grassland,Grassland
13025,Bareland,Bareland,Water,Non_Water,Water,Water,Grassland,Bareland
13026,Bareland,Bareland,Water,Water,Water,Bareland,Bareland,Water
13027,Bareland,Bareland,Water,Water,Water,Water,Water,Water
13028,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,Grassland,Bareland
13029,Bareland,Bareland,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
13030,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
13031,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland,Grassland,Bareland
13032,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland,Built-up,Cropland
13033,Bareland,Bareland,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
13034,Bareland,Bareland,Forest,NULL,Non_Wetland,Forest,Bareland,Grassland
13035,Bareland,Built-up,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
13036,Bareland,Built-up,NULL,NULL,Non_Wetland,Shrubland,Water,Built-up
13037,Bareland,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
13038,Bareland,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
13039,Bareland,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
13040,Bareland,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
13041,Bareland,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
13042,Bareland,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
13043,Bareland,Built-up,NULL,NULL,Non_Wetland,Water,Built-up,Bareland
13044,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
13045,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
13046,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
13047,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Water,Built-up
13048,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
13049,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
13050,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Water,Built-up,Bareland
13051,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Water,Water,Built-up
13052,Bareland,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
13053,Bareland,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
13054,Bareland,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
13055,Bareland,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
13056,Bareland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
13057,Bareland,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
13058,Bareland,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
13059,Bareland,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
13060,Bareland,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
13061,Bareland,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Bareland
13062,Bareland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
13063,Bareland,Built-up,Cropland,NULL,Non_Wetland,NULL,Shrubland,NULL
13064,Bareland,Built-up,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
13065,Bareland,Built-up,Cropland,NULL,Non_Wetland,NULL,Shrubland,Bareland
13066,Bareland,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
13067,Bareland,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
13068,Bareland,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
13069,Bareland,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
13070,Bareland,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
13071,Bareland,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Bareland
13072,Bareland,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Built-up
13073,Bareland,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
13074,Bareland,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
13075,Bareland,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
13076,Bareland,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Built-up,NULL
13077,Bareland,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Forest
13078,Bareland,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Water,Built-up
13079,Bareland,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
13080,Bareland,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
13081,Bareland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
13082,Bareland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
13083,Bareland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
13084,Bareland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
13085,Bareland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
13086,Bareland,Built-up,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
13087,Bareland,Built-up,Cropland,NULL,Non_Wetland,Cropland,Built-up,Grassland
13088,Bareland,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
13089,Bareland,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
13090,Bareland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
13091,Bareland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
13092,Bareland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
13093,Bareland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
13094,Bareland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
13095,Bareland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,NULL
13096,Bareland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
13097,Bareland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Cropland
13098,Bareland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
13099,Bareland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
13100,Bareland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Cropland
13101,Bareland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Bareland
13102,Bareland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Built-up
13103,Bareland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Water,Bareland
13104,Bareland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Water,Built-up
13105,Bareland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Forest,Bareland
13106,Bareland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
13107,Bareland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Cropland
13108,Bareland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
13109,Bareland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
13110,Bareland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
13111,Bareland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
13112,Bareland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Forest,Grassland
13113,Bareland,Built-up,Cropland,NULL,Non_Wetland,Water,Water,Bareland
13114,Bareland,Built-up,Cropland,NULL,Non_Wetland,Water,Water,Built-up
13115,Bareland,Built-up,Cropland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
13116,Bareland,Built-up,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
13117,Bareland,Built-up,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
13118,Bareland,Built-up,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
13119,Bareland,Built-up,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
13120,Bareland,Built-up,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
13121,Bareland,Built-up,Cropland,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
13122,Bareland,Built-up,Cropland,Non_Water,Non_Wetland,Bareland,Built-up,Bareland
13123,Bareland,Built-up,Cropland,Water,Non_Wetland,Bareland,Water,Bareland
13124,Bareland,Built-up,Bareland,NULL,Non_Wetland,NULL,Grassland,Grassland
13125,Bareland,Built-up,Bareland,NULL,Non_Wetland,NULL,Grassland,Bareland
13126,Bareland,Built-up,Bareland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
13127,Bareland,Built-up,Bareland,NULL,Non_Wetland,Shrubland,Water,Built-up
13128,Bareland,Built-up,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
13129,Bareland,Built-up,Bareland,NULL,Non_Wetland,Cropland,NULL,Grassland
13130,Bareland,Built-up,Bareland,NULL,Non_Wetland,Cropland,Grassland,Grassland
13131,Bareland,Built-up,Bareland,NULL,Non_Wetland,Cropland,Built-up,Grassland
13132,Bareland,Built-up,Bareland,NULL,Non_Wetland,Cropland,Built-up,Bareland
13133,Bareland,Built-up,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
13134,Bareland,Built-up,Bareland,NULL,Non_Wetland,Bareland,Grassland,Bareland
13135,Bareland,Built-up,Bareland,NULL,Non_Wetland,Bareland,Grassland,Built-up
13136,Bareland,Built-up,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
13137,Bareland,Built-up,Bareland,NULL,Non_Wetland,Bareland,Built-up,Grassland
13138,Bareland,Built-up,Bareland,NULL,Non_Wetland,Bareland,Built-up,Bareland
13139,Bareland,Built-up,Bareland,NULL,Non_Wetland,Bareland,Built-up,Built-up
13140,Bareland,Built-up,Bareland,NULL,Non_Wetland,Bareland,Water,Bareland
13141,Bareland,Built-up,Bareland,NULL,Non_Wetland,Bareland,Water,Built-up
13142,Bareland,Built-up,Bareland,NULL,Non_Wetland,Built-up,Grassland,Grassland
13143,Bareland,Built-up,Bareland,NULL,Non_Wetland,Built-up,Grassland,Bareland
13144,Bareland,Built-up,Bareland,NULL,Non_Wetland,Built-up,Built-up,Grassland
13145,Bareland,Built-up,Bareland,NULL,Non_Wetland,Built-up,Built-up,Cropland
13146,Bareland,Built-up,Bareland,NULL,Non_Wetland,Built-up,Built-up,Bareland
13147,Bareland,Built-up,Bareland,NULL,Non_Wetland,Built-up,Built-up,Built-up
13148,Bareland,Built-up,Bareland,NULL,Non_Wetland,Water,Grassland,Bareland
13149,Bareland,Built-up,Bareland,NULL,Non_Wetland,Water,Built-up,Bareland
13150,Bareland,Built-up,Bareland,NULL,Non_Wetland,Water,Water,Bareland
13151,Bareland,Built-up,Bareland,NULL,Non_Wetland,Water,Water,Built-up
13152,Bareland,Built-up,Bareland,Non_Water,Non_Wetland,Bareland,Built-up,Bareland
13153,Bareland,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Bareland,Built-up
13154,Bareland,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Built-up,Built-up
13155,Bareland,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Water,Built-up
13156,Bareland,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
13157,Bareland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
13158,Bareland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
13159,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Built-up
13160,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
13161,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
13162,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
13163,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
13164,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
13165,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
13166,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
13167,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
13168,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
13169,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Water,Bareland
13170,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Water,Built-up
13171,Bareland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
13172,Bareland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
13173,Bareland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Cropland
13174,Bareland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
13175,Bareland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
13176,Bareland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Forest,Built-up
13177,Bareland,Built-up,Built-up,NULL,Non_Wetland,Water,Bareland,Grassland
13178,Bareland,Built-up,Built-up,NULL,Non_Wetland,Water,Bareland,Bareland
13179,Bareland,Built-up,Built-up,NULL,Non_Wetland,Water,Built-up,Bareland
13180,Bareland,Built-up,Built-up,NULL,Non_Wetland,Water,Built-up,Built-up
13181,Bareland,Built-up,Built-up,NULL,Non_Wetland,Water,Water,Built-up
13182,Bareland,Built-up,Built-up,Water,Non_Wetland,Bareland,Bareland,Built-up
13183,Bareland,Built-up,Water,NULL,Water,Bareland,Built-up,Built-up
13184,Bareland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
13185,Bareland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
13186,Bareland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
13187,Bareland,Built-up,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
13188,Bareland,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
13189,Bareland,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
13190,Bareland,Built-up,Forest,NULL,Non_Wetland,NULL,Bareland,NULL
13191,Bareland,Built-up,Forest,NULL,Non_Wetland,NULL,Bareland,Built-up
13192,Bareland,Built-up,Forest,NULL,Non_Wetland,NULL,Built-up,Built-up
13193,Bareland,Built-up,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
13194,Bareland,Built-up,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
13195,Bareland,Built-up,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
13196,Bareland,Built-up,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
13197,Bareland,Built-up,Forest,NULL,Non_Wetland,Shrubland,Built-up,Built-up
13198,Bareland,Built-up,Forest,NULL,Non_Wetland,Shrubland,Water,Built-up
13199,Bareland,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
13200,Bareland,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
13201,Bareland,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
13202,Bareland,Built-up,Forest,NULL,Non_Wetland,Bareland,Shrubland,NULL
13203,Bareland,Built-up,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
13204,Bareland,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
13205,Bareland,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
13206,Bareland,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
13207,Bareland,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
13208,Bareland,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Cropland
