Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MVD_M_R
423,Water,Water,Forest,NULL,Non_Wetland,Grassland
424,Water,Water,Forest,NULL,Non_Wetland,Bareland
425,Water,Water,Forest,NULL,Non_Wetland,Built-up
426,Water,Water,Forest,NULL,Non_Wetland,Water
427,Water,Water,Forest,NULL,Non_Wetland,Forest
428,Water,Water,Forest,Non_Water,Non_Wetland,Grassland
429,Water,Water,Forest,Non_Water,Non_Wetland,Bareland
430,Water,Water,Forest,Non_Water,Non_Wetland,Water
431,Water,Water,Forest,Non_Water,Non_Wetland,Forest
432,Water,Water,Forest,Water,Non_Wetland,Grassland
433,Water,Water,Forest,Water,Non_Wetland,Bareland
434,Water,Water,Forest,Water,Non_Wetland,Water
435,Water,Water,Forest,Water,Non_Wetland,Forest
436,Water,Forest,NULL,Non_Water,Non_Wetland,Forest
437,Water,Forest,NULL,Water,Non_Wetland,Forest
438,Water,Forest,Shrubland,Non_Water,Non_Wetland,Forest
439,Water,Forest,Cropland,Non_Water,Non_Wetland,Grassland
440,Water,Forest,Cropland,Non_Water,Non_Wetland,Forest
441,Water,Forest,Wetland,NULL,Wetland,Forest
442,Water,Forest,Wetland,Non_Water,Wetland,Grassland
443,Water,Forest,Wetland,Non_Water,Wetland,Water
444,Water,Forest,Wetland,Non_Water,Wetland,Forest
445,Water,Forest,Wetland,Water,Wetland,Grassland
446,Water,Forest,Wetland,Water,Wetland,Water
447,Water,Forest,Wetland,Water,Wetland,Forest
448,Water,Forest,Bareland,Non_Water,Non_Wetland,Grassland
449,Water,Forest,Bareland,Non_Water,Non_Wetland,Forest
450,Water,Forest,Water,NULL,Water,Forest
451,Water,Forest,Water,Non_Water,Water,Grassland
452,Water,Forest,Water,Non_Water,Water,Water
453,Water,Forest,Water,Non_Water,Water,Forest
454,Water,Forest,Water,Water,Water,Grassland
455,Water,Forest,Water,Water,Water,Water
456,Water,Forest,Water,Water,Water,Forest
457,Water,Forest,Forest,NULL,Non_Wetland,Grassland
458,Water,Forest,Forest,NULL,Non_Wetland,Water
459,Water,Forest,Forest,NULL,Non_Wetland,Forest
460,Water,Forest,Forest,Non_Water,Non_Wetland,Water
461,Water,Forest,Forest,Non_Water,Non_Wetland,Forest
462,Water,Forest,Forest,Water,Non_Wetland,Forest
463,Permanent_ice_and_snow,NULL,Wetland,Water,Wetland,Water
464,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
465,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
466,Forest,NULL,Shrubland,NULL,Non_Wetland,Built-up
467,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
468,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
469,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Forest
470,Forest,NULL,Shrubland,Water,Non_Wetland,Water
471,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
472,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
473,Forest,NULL,Grassland,Non_Water,Non_Wetland,Grassland
474,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
475,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
476,Forest,NULL,Cropland,Non_Water,Non_Wetland,Forest
477,Forest,NULL,Cropland,Water,Non_Wetland,Water
478,Forest,NULL,Wetland,NULL,Wetland,NULL
479,Forest,NULL,Wetland,NULL,Wetland,Grassland
480,Forest,NULL,Wetland,NULL,Wetland,Wetland
481,Forest,NULL,Wetland,NULL,Wetland,Water
482,Forest,NULL,Wetland,NULL,Wetland,Forest
483,Forest,NULL,Wetland,Non_Water,Wetland,NULL
484,Forest,NULL,Wetland,Non_Water,Wetland,Grassland
485,Forest,NULL,Wetland,Non_Water,Wetland,Water
486,Forest,NULL,Wetland,Non_Water,Wetland,Forest
487,Forest,NULL,Wetland,Water,Wetland,Grassland
488,Forest,NULL,Wetland,Water,Wetland,Water
489,Forest,NULL,Wetland,Water,Wetland,Forest
490,Forest,NULL,Bareland,NULL,Non_Wetland,Forest
491,Forest,NULL,Bareland,Water,Non_Wetland,Water
492,Forest,NULL,Built-up,Water,Non_Wetland,Water
493,Forest,NULL,Water,NULL,Water,Grassland
494,Forest,NULL,Water,NULL,Water,Water
495,Forest,NULL,Water,NULL,Water,Forest
496,Forest,NULL,Water,Non_Water,Water,Grassland
497,Forest,NULL,Water,Non_Water,Water,Water
498,Forest,NULL,Water,Water,Water,Grassland
499,Forest,NULL,Water,Water,Water,Water
500,Forest,NULL,Water,Water,Water,Forest
501,Forest,NULL,Forest,NULL,Non_Wetland,NULL
502,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
503,Forest,NULL,Forest,NULL,Non_Wetland,Built-up
504,Forest,NULL,Forest,NULL,Non_Wetland,Water
505,Forest,NULL,Forest,NULL,Non_Wetland,Forest
506,Forest,NULL,Forest,Non_Water,Non_Wetland,Grassland
507,Forest,NULL,Forest,Non_Water,Non_Wetland,Water
508,Forest,NULL,Forest,Non_Water,Non_Wetland,Forest
509,Forest,NULL,Forest,Water,Non_Wetland,Water
510,Forest,NULL,Forest,Water,Non_Wetland,Forest
511,Forest,Wetland,Shrubland,NULL,Non_Wetland,Forest
512,Forest,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
513,Forest,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
514,Forest,Wetland,Wetland,NULL,Wetland,Grassland
515,Forest,Wetland,Wetland,NULL,Wetland,Forest
516,Forest,Wetland,Wetland,Non_Water,Wetland,Grassland
517,Forest,Wetland,Wetland,Non_Water,Wetland,Wetland
518,Forest,Wetland,Wetland,Non_Water,Wetland,Water
519,Forest,Wetland,Wetland,Non_Water,Wetland,Forest
520,Forest,Wetland,Wetland,Water,Wetland,Grassland
521,Forest,Wetland,Wetland,Water,Wetland,Forest
522,Forest,Wetland,Water,NULL,Water,Forest
523,Forest,Wetland,Water,Non_Water,Water,Forest
524,Forest,Wetland,Water,Water,Water,Grassland
525,Forest,Wetland,Water,Water,Water,Water
526,Forest,Wetland,Water,Water,Water,Forest
527,Forest,Wetland,Forest,NULL,Non_Wetland,Grassland
528,Forest,Wetland,Forest,NULL,Non_Wetland,Forest
529,Forest,Wetland,Forest,Non_Water,Non_Wetland,Grassland
530,Forest,Wetland,Forest,Non_Water,Non_Wetland,Forest
531,Forest,Bareland,Wetland,NULL,Wetland,Forest
532,Forest,Bareland,Wetland,Non_Water,Wetland,Water
533,Forest,Bareland,Wetland,Water,Wetland,Water
534,Forest,Bareland,Water,Non_Water,Water,Water
535,Forest,Bareland,Water,Water,Water,Water
536,Forest,Bareland,Water,Water,Water,Forest
537,Forest,Bareland,Forest,NULL,Non_Wetland,Forest
538,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland
539,Forest,Built-up,Shrubland,NULL,Non_Wetland,Built-up
540,Forest,Built-up,Shrubland,NULL,Non_Wetland,Forest
541,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland
542,Forest,Built-up,Grassland,NULL,Non_Wetland,Forest
543,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland
544,Forest,Built-up,Cropland,NULL,Non_Wetland,Forest
545,Forest,Built-up,Wetland,Non_Water,Wetland,Grassland
546,Forest,Built-up,Wetland,Water,Wetland,Water
547,Forest,Built-up,Wetland,Water,Wetland,Forest
548,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland
549,Forest,Built-up,Forest,NULL,Non_Wetland,Forest
550,Forest,Built-up,Forest,Non_Water,Non_Wetland,Grassland
551,Forest,Built-up,Forest,Non_Water,Non_Wetland,Forest
552,Forest,Water,NULL,NULL,Non_Wetland,Water
553,Forest,Water,NULL,NULL,Non_Wetland,Forest
554,Forest,Water,NULL,Non_Water,Non_Wetland,Water
555,Forest,Water,NULL,Non_Water,Non_Wetland,Forest
556,Forest,Water,NULL,Water,Non_Wetland,Water
557,Forest,Water,NULL,Water,Non_Wetland,Forest
558,Forest,Water,Shrubland,NULL,Non_Wetland,Water
559,Forest,Water,Shrubland,NULL,Non_Wetland,Forest
560,Forest,Water,Shrubland,Non_Water,Non_Wetland,Grassland
561,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water
562,Forest,Water,Shrubland,Non_Water,Non_Wetland,Forest
563,Forest,Water,Shrubland,Water,Non_Wetland,Water
564,Forest,Water,Shrubland,Water,Non_Wetland,Forest
565,Forest,Water,Grassland,NULL,Non_Wetland,Grassland
566,Forest,Water,Grassland,NULL,Non_Wetland,Forest
567,Forest,Water,Grassland,Non_Water,Non_Wetland,Water
568,Forest,Water,Grassland,Non_Water,Non_Wetland,Forest
569,Forest,Water,Cropland,NULL,Non_Wetland,Grassland
570,Forest,Water,Cropland,NULL,Non_Wetland,Forest
571,Forest,Water,Cropland,Non_Water,Non_Wetland,Grassland
572,Forest,Water,Cropland,Non_Water,Non_Wetland,Water
573,Forest,Water,Cropland,Non_Water,Non_Wetland,Forest
574,Forest,Water,Cropland,Water,Non_Wetland,Water
575,Forest,Water,Cropland,Water,Non_Wetland,Forest
576,Forest,Water,Wetland,NULL,Wetland,Grassland
577,Forest,Water,Wetland,NULL,Wetland,Wetland
578,Forest,Water,Wetland,NULL,Wetland,Bareland
579,Forest,Water,Wetland,NULL,Wetland,Water
580,Forest,Water,Wetland,NULL,Wetland,Forest
581,Forest,Water,Wetland,Non_Water,Wetland,Grassland
582,Forest,Water,Wetland,Non_Water,Wetland,Bareland
583,Forest,Water,Wetland,Non_Water,Wetland,Water
584,Forest,Water,Wetland,Non_Water,Wetland,Forest
585,Forest,Water,Wetland,Water,Wetland,Grassland
586,Forest,Water,Wetland,Water,Wetland,Bareland
587,Forest,Water,Wetland,Water,Wetland,Water
588,Forest,Water,Wetland,Water,Wetland,Forest
589,Forest,Water,Bareland,NULL,Non_Wetland,Water
590,Forest,Water,Bareland,NULL,Non_Wetland,Forest
591,Forest,Water,Bareland,Non_Water,Non_Wetland,Bareland
592,Forest,Water,Bareland,Non_Water,Non_Wetland,Water
593,Forest,Water,Bareland,Non_Water,Non_Wetland,Forest
594,Forest,Water,Bareland,Water,Non_Wetland,Water
595,Forest,Water,Bareland,Water,Non_Wetland,Forest
596,Forest,Water,Built-up,NULL,Non_Wetland,Forest
597,Forest,Water,Built-up,Water,Non_Wetland,Water
598,Forest,Water,Built-up,Water,Non_Wetland,Forest
599,Forest,Water,Water,NULL,Water,Grassland
600,Forest,Water,Water,NULL,Water,Bareland
601,Forest,Water,Water,NULL,Water,Water
602,Forest,Water,Water,NULL,Water,Forest
603,Forest,Water,Water,Non_Water,Water,Grassland
604,Forest,Water,Water,Non_Water,Water,Water
605,Forest,Water,Water,Non_Water,Water,Forest
606,Forest,Water,Water,Water,Water,Grassland
607,Forest,Water,Water,Water,Water,Bareland
608,Forest,Water,Water,Water,Water,Water
609,Forest,Water,Water,Water,Water,Forest
610,Forest,Water,Forest,NULL,Non_Wetland,Grassland
611,Forest,Water,Forest,NULL,Non_Wetland,Bareland
612,Forest,Water,Forest,NULL,Non_Wetland,Water
613,Forest,Water,Forest,NULL,Non_Wetland,Forest
614,Forest,Water,Forest,Non_Water,Non_Wetland,Grassland
615,Forest,Water,Forest,Non_Water,Non_Wetland,Bareland
616,Forest,Water,Forest,Non_Water,Non_Wetland,Water
617,Forest,Water,Forest,Non_Water,Non_Wetland,Forest
618,Forest,Water,Forest,Water,Non_Wetland,Grassland
619,Forest,Water,Forest,Water,Non_Wetland,Bareland
620,Forest,Water,Forest,Water,Non_Wetland,Water
621,Forest,Water,Forest,Water,Non_Wetland,Forest
622,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
623,Forest,Forest,NULL,NULL,Non_Wetland,Water
624,Forest,Forest,NULL,NULL,Non_Wetland,Forest
625,Forest,Forest,NULL,Non_Water,Non_Wetland,Grassland
626,Forest,Forest,NULL,Non_Water,Non_Wetland,Water
627,Forest,Forest,NULL,Non_Water,Non_Wetland,Forest
628,Forest,Forest,NULL,Water,Non_Wetland,Grassland
629,Forest,Forest,NULL,Water,Non_Wetland,Water
630,Forest,Forest,NULL,Water,Non_Wetland,Forest
631,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
632,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
633,Forest,Forest,Shrubland,NULL,Non_Wetland,Wetland
634,Forest,Forest,Shrubland,NULL,Non_Wetland,Bareland
635,Forest,Forest,Shrubland,NULL,Non_Wetland,Water
636,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
637,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
638,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Bareland
639,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Water
640,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Forest
641,Forest,Forest,Shrubland,Water,Non_Wetland,Grassland
642,Forest,Forest,Shrubland,Water,Non_Wetland,Water
643,Forest,Forest,Shrubland,Water,Non_Wetland,Forest
644,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
645,Forest,Forest,Grassland,NULL,Non_Wetland,Built-up
646,Forest,Forest,Grassland,NULL,Non_Wetland,Forest
647,Forest,Forest,Grassland,Non_Water,Non_Wetland,Grassland
648,Forest,Forest,Grassland,Non_Water,Non_Wetland,Water
649,Forest,Forest,Grassland,Non_Water,Non_Wetland,Forest
650,Forest,Forest,Grassland,Water,Non_Wetland,Grassland
651,Forest,Forest,Grassland,Water,Non_Wetland,Water
652,Forest,Forest,Grassland,Water,Non_Wetland,Forest
653,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
654,Forest,Forest,Cropland,NULL,Non_Wetland,Water
655,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
656,Forest,Forest,Cropland,Non_Water,Non_Wetland,Grassland
657,Forest,Forest,Cropland,Non_Water,Non_Wetland,Water
658,Forest,Forest,Cropland,Non_Water,Non_Wetland,Forest
659,Forest,Forest,Cropland,Water,Non_Wetland,Grassland
660,Forest,Forest,Cropland,Water,Non_Wetland,Bareland
661,Forest,Forest,Cropland,Water,Non_Wetland,Water
662,Forest,Forest,Cropland,Water,Non_Wetland,Forest
663,Forest,Forest,Wetland,NULL,Wetland,NULL
664,Forest,Forest,Wetland,NULL,Wetland,Grassland
665,Forest,Forest,Wetland,NULL,Wetland,Wetland
666,Forest,Forest,Wetland,NULL,Wetland,Water
667,Forest,Forest,Wetland,NULL,Wetland,Forest
668,Forest,Forest,Wetland,Non_Water,Wetland,NULL
669,Forest,Forest,Wetland,Non_Water,Wetland,Grassland
670,Forest,Forest,Wetland,Non_Water,Wetland,Bareland
671,Forest,Forest,Wetland,Non_Water,Wetland,Water
672,Forest,Forest,Wetland,Non_Water,Wetland,Forest
673,Forest,Forest,Wetland,Water,Wetland,NULL
674,Forest,Forest,Wetland,Water,Wetland,Grassland
675,Forest,Forest,Wetland,Water,Wetland,Bareland
676,Forest,Forest,Wetland,Water,Wetland,Water
677,Forest,Forest,Wetland,Water,Wetland,Forest
678,Forest,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
679,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland
680,Forest,Forest,Bareland,NULL,Non_Wetland,Bareland
681,Forest,Forest,Bareland,NULL,Non_Wetland,Water
682,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
683,Forest,Forest,Bareland,Non_Water,Non_Wetland,Grassland
684,Forest,Forest,Bareland,Non_Water,Non_Wetland,Bareland
685,Forest,Forest,Bareland,Non_Water,Non_Wetland,Water
686,Forest,Forest,Bareland,Non_Water,Non_Wetland,Forest
687,Forest,Forest,Bareland,Water,Non_Wetland,Grassland
688,Forest,Forest,Bareland,Water,Non_Wetland,Water
689,Forest,Forest,Bareland,Water,Non_Wetland,Forest
690,Forest,Forest,Built-up,NULL,Non_Wetland,Forest
691,Forest,Forest,Built-up,Non_Water,Non_Wetland,Water
692,Forest,Forest,Built-up,Non_Water,Non_Wetland,Forest
693,Forest,Forest,Built-up,Water,Non_Wetland,Water
694,Forest,Forest,Built-up,Water,Non_Wetland,Forest
695,Forest,Forest,Water,NULL,Water,Grassland
696,Forest,Forest,Water,NULL,Water,Bareland
697,Forest,Forest,Water,NULL,Water,Water
698,Forest,Forest,Water,NULL,Water,Forest
699,Forest,Forest,Water,Non_Water,Water,NULL
700,Forest,Forest,Water,Non_Water,Water,Grassland
701,Forest,Forest,Water,Non_Water,Water,Bareland
702,Forest,Forest,Water,Non_Water,Water,Water
703,Forest,Forest,Water,Non_Water,Water,Forest
704,Forest,Forest,Water,Water,Water,Grassland
705,Forest,Forest,Water,Water,Water,Bareland
706,Forest,Forest,Water,Water,Water,Water
707,Forest,Forest,Water,Water,Water,Forest
708,Forest,Forest,Forest,NULL,Non_Wetland,NULL
709,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
710,Forest,Forest,Forest,NULL,Non_Wetland,Bareland
711,Forest,Forest,Forest,NULL,Non_Wetland,Built-up
712,Forest,Forest,Forest,NULL,Non_Wetland,Water
713,Forest,Forest,Forest,NULL,Non_Wetland,Forest
714,Forest,Forest,Forest,Non_Water,Non_Wetland,Grassland
715,Forest,Forest,Forest,Non_Water,Non_Wetland,Bareland
716,Forest,Forest,Forest,Non_Water,Non_Wetland,Water
717,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest
718,Forest,Forest,Forest,Water,Non_Wetland,Grassland
719,Forest,Forest,Forest,Water,Non_Wetland,Bareland
720,Forest,Forest,Forest,Water,Non_Wetland,Water
721,Forest,Forest,Forest,Water,Non_Wetland,Forest
