Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MRV_M_R
958,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
959,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
960,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
961,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
962,Grassland,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
963,Grassland,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
964,Grassland,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
965,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
966,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
967,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
968,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
969,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Water
970,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
971,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
972,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
973,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
974,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
975,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
976,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
977,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
978,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
979,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
980,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
981,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
982,Grassland,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
983,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
984,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Forest
985,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
986,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Water
987,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
988,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
989,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Wetland
990,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Water
991,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Forest
992,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Forest
993,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
994,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
995,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
996,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
997,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
998,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
999,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Water
1000,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
1001,Grassland,NULL,Wetland,Water,Wetland,Grassland,NULL,Grassland
1002,Grassland,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
1003,Grassland,NULL,Wetland,Water,Wetland,Grassland,Grassland,Forest
1004,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
1005,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
1006,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
1007,Grassland,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
1008,Grassland,NULL,Wetland,Water,Wetland,Grassland,Water,Wetland
1009,Grassland,NULL,Wetland,Water,Wetland,Grassland,Water,Forest
1010,Grassland,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
1011,Grassland,NULL,Wetland,Water,Wetland,Wetland,Grassland,Forest
1012,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1013,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
1014,Grassland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
1015,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
1016,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
1017,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Water
1018,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
1019,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
1020,Grassland,NULL,Wetland,Water,Wetland,Water,Water,Wetland
1021,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
1022,Grassland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1023,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
1024,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1025,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
1026,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1027,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
1028,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Water,Grassland
1029,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
1030,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
1031,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1032,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
1033,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1034,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
1035,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
1036,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1037,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1038,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
1039,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1040,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
1041,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
1042,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Water,Grassland
1043,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Water,Forest
1044,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1045,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
1046,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
1047,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Forest
1048,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland,Grassland,Grassland
1049,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland,Grassland,Forest
1050,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland,Wetland,Grassland
1051,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland,Water,Wetland
1052,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland,Grassland,Grassland
1053,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
1054,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
1055,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1056,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
1057,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Water,Grassland
1058,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
1059,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
1060,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
1061,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
1062,Grassland,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
1063,Grassland,NULL,Water,NULL,Water,Wetland,Water,Grassland
1064,Grassland,NULL,Water,Non_Water,Water,Grassland,Water,Grassland
1065,Grassland,NULL,Water,Non_Water,Water,Wetland,Water,Water
1066,Grassland,NULL,Water,Water,Water,Grassland,Water,Wetland
1067,Grassland,NULL,Water,Water,Water,Wetland,Wetland,Grassland
1068,Grassland,NULL,Water,Water,Water,Wetland,Wetland,Wetland
1069,Grassland,NULL,Water,Water,Water,Wetland,Water,Grassland
1070,Grassland,NULL,Water,Water,Water,Wetland,Water,Wetland
1071,Grassland,NULL,Water,Water,Water,Wetland,Water,Water
1072,Grassland,NULL,Water,Water,Water,Wetland,Water,Forest
1073,Grassland,NULL,Water,Water,Water,Water,Wetland,Wetland
1074,Grassland,NULL,Water,Water,Water,Water,Wetland,Water
1075,Grassland,NULL,Water,Water,Water,Water,Water,Wetland
1076,Grassland,NULL,Water,Water,Water,Water,Water,Water
1077,Grassland,NULL,Water,Water,Water,Water,Water,Forest
1078,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
1079,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
1080,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1081,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
1082,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1083,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
1084,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1085,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1086,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1087,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1088,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
1089,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
1090,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
1091,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1092,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1093,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1094,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1095,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1096,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1097,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Forest
1098,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
1099,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
1100,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1101,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1102,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1103,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
1104,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
1105,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1106,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1107,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1108,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
1109,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1110,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
1111,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
1112,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Water,Grassland
1113,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Water,Forest
1114,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1115,Grassland,NULL,Forest,Non_Water,Non_Wetland,Bareland,Grassland,Forest
1116,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
1117,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Forest
1118,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Grassland,Grassland
1119,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1120,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1121,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1122,Grassland,Cropland,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
1123,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1124,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1125,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1126,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1127,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1128,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1129,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1130,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1131,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1132,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
1133,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
1134,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1135,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
1136,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1137,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1138,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
1139,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1140,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1141,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1142,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
1143,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
1144,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
1145,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
1146,Grassland,Wetland,NULL,Water,Non_Wetland,Grassland,Water,Grassland
1147,Grassland,Wetland,NULL,Water,Non_Wetland,Grassland,Water,Wetland
1148,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1149,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
1150,Grassland,Wetland,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
1151,Grassland,Wetland,Shrubland,Water,Non_Wetland,Grassland,Water,Wetland
1152,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
1153,Grassland,Wetland,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
1154,Grassland,Wetland,Wetland,NULL,Wetland,Grassland,Water,Forest
1155,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1156,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1157,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Forest
1158,Grassland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Wetland
1159,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
1160,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
1161,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
1162,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland,Water,Water
1163,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
1164,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
1165,Grassland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Water
1166,Grassland,Wetland,Wetland,Water,Wetland,Grassland,Wetland,Grassland
1167,Grassland,Wetland,Wetland,Water,Wetland,Grassland,Wetland,Wetland
1168,Grassland,Wetland,Wetland,Water,Wetland,Grassland,Water,Wetland
1169,Grassland,Wetland,Wetland,Water,Wetland,Grassland,Water,Water
1170,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1171,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
1172,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
1173,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Water,Water
1174,Grassland,Wetland,Wetland,Water,Wetland,Water,Wetland,Wetland
1175,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1176,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Grassland,Water,Grassland
1177,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Water,Water
1178,Grassland,Wetland,Bareland,Water,Non_Wetland,Grassland,Wetland,Grassland
1179,Grassland,Wetland,Bareland,Water,Non_Wetland,Grassland,Wetland,Wetland
1180,Grassland,Wetland,Bareland,Water,Non_Wetland,Grassland,Water,Wetland
1181,Grassland,Wetland,Bareland,Water,Non_Wetland,Wetland,Water,Water
1182,Grassland,Wetland,Built-up,Non_Water,Non_Wetland,Wetland,Water,Grassland
1183,Grassland,Wetland,Water,Non_Water,Water,Grassland,Water,Grassland
1184,Grassland,Wetland,Water,Non_Water,Water,Wetland,Wetland,Grassland
1185,Grassland,Wetland,Water,Non_Water,Water,Wetland,Water,Water
1186,Grassland,Wetland,Water,Water,Water,Grassland,Wetland,Grassland
1187,Grassland,Wetland,Water,Water,Water,Grassland,Wetland,Wetland
1188,Grassland,Wetland,Water,Water,Water,Grassland,Water,Wetland
1189,Grassland,Wetland,Water,Water,Water,Grassland,Water,Water
1190,Grassland,Wetland,Water,Water,Water,Grassland,Water,Forest
1191,Grassland,Wetland,Water,Water,Water,Wetland,Wetland,Grassland
1192,Grassland,Wetland,Water,Water,Water,Wetland,Wetland,Water
1193,Grassland,Wetland,Water,Water,Water,Wetland,Wetland,Forest
1194,Grassland,Wetland,Water,Water,Water,Wetland,Water,Grassland
1195,Grassland,Wetland,Water,Water,Water,Wetland,Water,Wetland
1196,Grassland,Wetland,Water,Water,Water,Wetland,Water,Water
1197,Grassland,Wetland,Water,Water,Water,Water,Wetland,Wetland
1198,Grassland,Wetland,Water,Water,Water,Water,Wetland,Water
1199,Grassland,Wetland,Water,Water,Water,Water,Water,Grassland
1200,Grassland,Wetland,Water,Water,Water,Water,Water,Wetland
1201,Grassland,Wetland,Water,Water,Water,Water,Water,Water
1202,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1203,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland,Water,Forest
1204,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1205,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
1206,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1207,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1208,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1209,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1210,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1211,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
1212,Grassland,Built-up,Bareland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1213,Grassland,Built-up,Built-up,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
1214,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1215,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1216,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
1217,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1218,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
1219,Grassland,Water,Wetland,NULL,Wetland,Grassland,Water,Forest
1220,Grassland,Water,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
1221,Grassland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1222,Grassland,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
1223,Grassland,Water,Wetland,Non_Water,Wetland,Grassland,Water,Wetland
1224,Grassland,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
1225,Grassland,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
1226,Grassland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
1227,Grassland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
1228,Grassland,Water,Wetland,Water,Wetland,Wetland,Water,Water
1229,Grassland,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
1230,Grassland,Water,Wetland,Water,Wetland,Water,Water,Water
1231,Grassland,Water,Water,Water,Water,Grassland,Wetland,Grassland
1232,Grassland,Water,Water,Water,Water,Grassland,Wetland,Forest
1233,Grassland,Water,Water,Water,Water,Grassland,Water,Wetland
1234,Grassland,Water,Water,Water,Water,Wetland,NULL,Grassland
1235,Grassland,Water,Water,Water,Water,Wetland,Water,Wetland
1236,Grassland,Water,Water,Water,Water,Wetland,Water,Water
1237,Grassland,Water,Water,Water,Water,Water,Water,Wetland
1238,Grassland,Water,Water,Water,Water,Water,Water,Water
1239,Grassland,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1240,Grassland,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1241,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
1242,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1243,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
1244,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
1245,Grassland,Forest,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
1246,Grassland,Forest,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
1247,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1248,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
1249,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
1250,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
1251,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1252,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1253,Grassland,Forest,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1254,Grassland,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
1255,Grassland,Forest,Wetland,NULL,Wetland,Grassland,NULL,Grassland
1256,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
1257,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Forest
1258,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Wetland,NULL
1259,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1260,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1261,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Water,Grassland
1262,Grassland,Forest,Wetland,NULL,Wetland,Wetland,NULL,Grassland
1263,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1264,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1265,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Forest,Forest
1266,Grassland,Forest,Wetland,NULL,Wetland,Bareland,Water,Grassland
1267,Grassland,Forest,Wetland,NULL,Wetland,Water,Wetland,Grassland
1268,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
1269,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland,Water,Forest
1270,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
1271,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
1272,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
1273,Grassland,Forest,Wetland,Non_Water,Wetland,Bareland,Water,Wetland
1274,Grassland,Forest,Wetland,Water,Wetland,Grassland,Grassland,Forest
1275,Grassland,Forest,Wetland,Water,Wetland,Grassland,Water,Grassland
1276,Grassland,Forest,Wetland,Water,Wetland,Grassland,Water,Wetland
1277,Grassland,Forest,Wetland,Water,Wetland,Wetland,Grassland,Grassland
1278,Grassland,Forest,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1279,Grassland,Forest,Wetland,Water,Wetland,Wetland,Wetland,Forest
1280,Grassland,Forest,Wetland,Water,Wetland,Wetland,Water,Grassland
1281,Grassland,Forest,Wetland,Water,Wetland,Wetland,Water,Forest
1282,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
1283,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1284,Grassland,Forest,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1285,Grassland,Forest,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1286,Grassland,Forest,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1287,Grassland,Forest,Water,Water,Water,Grassland,Water,Wetland
1288,Grassland,Forest,Water,Water,Water,Grassland,Water,Water
1289,Grassland,Forest,Water,Water,Water,Wetland,Water,Water
1290,Grassland,Forest,Water,Water,Water,Water,Water,Water
1291,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
1292,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
