Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MYQ_M_R
766,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
767,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
768,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
769,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
770,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Water,Water
771,Wetland,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
772,Wetland,NULL,Wetland,NULL,Wetland,Water,Water,Water
773,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
774,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Water
775,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
776,Wetland,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
777,Wetland,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
778,Wetland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
779,Wetland,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
780,Wetland,NULL,Wetland,Water,Wetland,Grassland,Water,Wetland
781,Wetland,NULL,Wetland,Water,Wetland,Grassland,Water,Water
782,Wetland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
783,Wetland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
784,Wetland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
785,Wetland,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
786,Wetland,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
787,Wetland,NULL,Wetland,Water,Wetland,Wetland,Water,Water
788,Wetland,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
789,Wetland,NULL,Wetland,Water,Wetland,Bareland,Water,Water
790,Wetland,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
791,Wetland,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
792,Wetland,NULL,Wetland,Water,Wetland,Water,Wetland,Water
793,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Grassland
794,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Wetland
795,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Bareland
796,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Water
797,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Bareland,Water
798,Wetland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
799,Wetland,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
800,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
801,Wetland,NULL,Water,Water,Water,Grassland,Wetland,Grassland
802,Wetland,NULL,Water,Water,Water,Water,Water,Grassland
803,Wetland,NULL,Water,Water,Water,Water,Water,Bareland
804,Wetland,NULL,Water,Water,Water,Water,Water,Water
805,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
806,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
807,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
808,Wetland,NULL,Forest,Water,Non_Wetland,Grassland,Water,Grassland
809,Wetland,Cropland,Shrubland,Water,Non_Wetland,Bareland,Water,Bareland
810,Wetland,Wetland,NULL,Water,Non_Wetland,Wetland,Water,Water
811,Wetland,Wetland,NULL,Water,Non_Wetland,Water,Water,Grassland
812,Wetland,Wetland,NULL,Water,Non_Wetland,Water,Water,Water
813,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
814,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
815,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
816,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
817,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
818,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Bareland
819,Wetland,Wetland,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
820,Wetland,Wetland,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
821,Wetland,Wetland,Shrubland,Water,Non_Wetland,Wetland,Water,Water
822,Wetland,Wetland,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
823,Wetland,Wetland,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
824,Wetland,Wetland,Shrubland,Water,Non_Wetland,Bareland,Water,Bareland
825,Wetland,Wetland,Shrubland,Water,Non_Wetland,Bareland,Water,Water
826,Wetland,Wetland,Shrubland,Water,Non_Wetland,Water,Water,Grassland
827,Wetland,Wetland,Shrubland,Water,Non_Wetland,Water,Water,Bareland
828,Wetland,Wetland,Shrubland,Water,Non_Wetland,Water,Water,Water
829,Wetland,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Water
830,Wetland,Wetland,Wetland,NULL,Wetland,NULL,Water,Water
831,Wetland,Wetland,Wetland,NULL,Wetland,NULL,Water,Forest
832,Wetland,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
833,Wetland,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Forest
834,Wetland,Wetland,Wetland,NULL,Wetland,Grassland,Water,Grassland
835,Wetland,Wetland,Wetland,NULL,Wetland,Grassland,Water,Water
836,Wetland,Wetland,Wetland,NULL,Wetland,Grassland,Water,Forest
837,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
838,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
839,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
840,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Grassland
841,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Wetland
842,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Water
843,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Forest
844,Wetland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
845,Wetland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Water
846,Wetland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
847,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Grassland
848,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Water
849,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Forest
850,Wetland,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
851,Wetland,Wetland,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
852,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
853,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
854,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
855,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Water
856,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Forest
857,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
858,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Water
859,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Grassland
860,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Water
861,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Forest
862,Wetland,Wetland,Wetland,Non_Water,Wetland,Forest,Water,Water
863,Wetland,Wetland,Wetland,Water,Wetland,NULL,Water,Grassland
864,Wetland,Wetland,Wetland,Water,Wetland,Grassland,Wetland,Grassland
865,Wetland,Wetland,Wetland,Water,Wetland,Grassland,Water,Grassland
866,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
867,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Wetland
868,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Water
869,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Forest
870,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
871,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
872,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Water,Water
873,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Water,Forest
874,Wetland,Wetland,Wetland,Water,Wetland,Bareland,Water,Grassland
875,Wetland,Wetland,Wetland,Water,Wetland,Bareland,Water,Bareland
876,Wetland,Wetland,Wetland,Water,Wetland,Water,Wetland,Grassland
877,Wetland,Wetland,Wetland,Water,Wetland,Water,Wetland,Wetland
878,Wetland,Wetland,Wetland,Water,Wetland,Water,Wetland,Water
879,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
880,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
881,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Bareland
882,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Water
883,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Forest
884,Wetland,Wetland,Wetland,Water,Wetland,Forest,Water,Forest
885,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
886,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
887,Wetland,Wetland,Bareland,Water,Non_Wetland,Grassland,Wetland,Forest
888,Wetland,Wetland,Bareland,Water,Non_Wetland,Water,Wetland,Forest
889,Wetland,Wetland,Water,NULL,Water,Wetland,Water,Grassland
890,Wetland,Wetland,Water,NULL,Water,Wetland,Water,Water
891,Wetland,Wetland,Water,NULL,Water,Water,Water,Water
892,Wetland,Wetland,Water,NULL,Water,Water,Water,Forest
893,Wetland,Wetland,Water,Non_Water,Water,Water,Water,Water
894,Wetland,Wetland,Water,Water,Water,NULL,Water,Grassland
895,Wetland,Wetland,Water,Water,Water,Grassland,Water,Water
896,Wetland,Wetland,Water,Water,Water,Wetland,Water,Water
897,Wetland,Wetland,Water,Water,Water,Water,Wetland,Grassland
898,Wetland,Wetland,Water,Water,Water,Water,Wetland,Water
899,Wetland,Wetland,Water,Water,Water,Water,Water,Grassland
900,Wetland,Wetland,Water,Water,Water,Water,Water,Wetland
901,Wetland,Wetland,Water,Water,Water,Water,Water,Water
902,Wetland,Wetland,Water,Water,Water,Water,Water,Forest
903,Wetland,Wetland,Water,Water,Water,Forest,Wetland,Grassland
904,Wetland,Wetland,Water,Water,Water,Forest,Water,Wetland
905,Wetland,Bareland,Wetland,Water,Wetland,Wetland,Water,Water
906,Wetland,Bareland,Wetland,Water,Wetland,Water,Water,Grassland
907,Wetland,Bareland,Wetland,Water,Wetland,Water,Water,Water
908,Wetland,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
909,Wetland,Water,NULL,NULL,Non_Wetland,Water,Water,Grassland
910,Wetland,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
911,Wetland,Water,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
912,Wetland,Water,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
913,Wetland,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
914,Wetland,Water,NULL,Water,Non_Wetland,Wetland,Water,Water
915,Wetland,Water,NULL,Water,Non_Wetland,Water,Wetland,Water
916,Wetland,Water,NULL,Water,Non_Wetland,Water,Water,Grassland
917,Wetland,Water,NULL,Water,Non_Wetland,Water,Water,Bareland
918,Wetland,Water,NULL,Water,Non_Wetland,Water,Water,Water
919,Wetland,Water,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
920,Wetland,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
921,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
922,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
923,Wetland,Water,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
924,Wetland,Water,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
925,Wetland,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
926,Wetland,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Water
927,Wetland,Water,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
928,Wetland,Water,Shrubland,Water,Non_Wetland,Bareland,Water,Water
929,Wetland,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
930,Wetland,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Bareland
931,Wetland,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Water
932,Wetland,Water,Shrubland,Water,Non_Wetland,Water,Water,Grassland
933,Wetland,Water,Shrubland,Water,Non_Wetland,Water,Water,Bareland
934,Wetland,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
935,Wetland,Water,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
936,Wetland,Water,Wetland,NULL,Wetland,NULL,Water,Water
937,Wetland,Water,Wetland,NULL,Wetland,Grassland,Grassland,Forest
938,Wetland,Water,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
939,Wetland,Water,Wetland,NULL,Wetland,Grassland,Water,Water
940,Wetland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
941,Wetland,Water,Wetland,NULL,Wetland,Wetland,Water,Grassland
942,Wetland,Water,Wetland,NULL,Wetland,Wetland,Water,Water
943,Wetland,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
944,Wetland,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
945,Wetland,Water,Wetland,NULL,Wetland,Water,Wetland,Bareland
946,Wetland,Water,Wetland,NULL,Wetland,Water,Wetland,Water
947,Wetland,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
948,Wetland,Water,Wetland,NULL,Wetland,Water,Water,Grassland
949,Wetland,Water,Wetland,NULL,Wetland,Water,Water,Wetland
950,Wetland,Water,Wetland,NULL,Wetland,Water,Water,Bareland
951,Wetland,Water,Wetland,NULL,Wetland,Water,Water,Water
952,Wetland,Water,Wetland,NULL,Wetland,Water,Water,Forest
953,Wetland,Water,Wetland,NULL,Wetland,Forest,Water,Water
954,Wetland,Water,Wetland,Non_Water,Wetland,NULL,Water,Water
955,Wetland,Water,Wetland,Non_Water,Wetland,NULL,Water,Forest
956,Wetland,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
957,Wetland,Water,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
958,Wetland,Water,Wetland,Non_Water,Wetland,Grassland,Water,Water
959,Wetland,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
960,Wetland,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
961,Wetland,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
962,Wetland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
963,Wetland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Water
964,Wetland,Water,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
965,Wetland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
966,Wetland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
967,Wetland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
968,Wetland,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
969,Wetland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
970,Wetland,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
971,Wetland,Water,Wetland,Non_Water,Wetland,Forest,Water,Forest
972,Wetland,Water,Wetland,Water,Wetland,NULL,Water,Water
973,Wetland,Water,Wetland,Water,Wetland,NULL,Water,Forest
974,Wetland,Water,Wetland,Water,Wetland,Grassland,Wetland,Grassland
975,Wetland,Water,Wetland,Water,Wetland,Grassland,Wetland,Forest
976,Wetland,Water,Wetland,Water,Wetland,Grassland,Water,Grassland
977,Wetland,Water,Wetland,Water,Wetland,Grassland,Water,Wetland
978,Wetland,Water,Wetland,Water,Wetland,Grassland,Water,Water
979,Wetland,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
980,Wetland,Water,Wetland,Water,Wetland,Wetland,Wetland,Wetland
981,Wetland,Water,Wetland,Water,Wetland,Wetland,Wetland,Water
982,Wetland,Water,Wetland,Water,Wetland,Wetland,Wetland,Forest
983,Wetland,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
984,Wetland,Water,Wetland,Water,Wetland,Wetland,Water,Bareland
985,Wetland,Water,Wetland,Water,Wetland,Wetland,Water,Water
986,Wetland,Water,Wetland,Water,Wetland,Wetland,Water,Forest
987,Wetland,Water,Wetland,Water,Wetland,Bareland,Wetland,Grassland
988,Wetland,Water,Wetland,Water,Wetland,Bareland,Water,Bareland
989,Wetland,Water,Wetland,Water,Wetland,Bareland,Water,Water
990,Wetland,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
991,Wetland,Water,Wetland,Water,Wetland,Water,Wetland,Wetland
992,Wetland,Water,Wetland,Water,Wetland,Water,Wetland,Water
993,Wetland,Water,Wetland,Water,Wetland,Water,Wetland,Forest
994,Wetland,Water,Wetland,Water,Wetland,Water,Water,Grassland
995,Wetland,Water,Wetland,Water,Wetland,Water,Water,Wetland
996,Wetland,Water,Wetland,Water,Wetland,Water,Water,Bareland
997,Wetland,Water,Wetland,Water,Wetland,Water,Water,Water
998,Wetland,Water,Wetland,Water,Wetland,Water,Water,Forest
999,Wetland,Water,Wetland,Water,Wetland,Forest,Water,Water
1000,Wetland,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
1001,Wetland,Water,Water,NULL,Water,Water,Water,Grassland
1002,Wetland,Water,Water,NULL,Water,Water,Water,Water
1003,Wetland,Water,Water,Non_Water,Water,Water,Water,Water
1004,Wetland,Water,Water,Water,Water,NULL,Water,Water
1005,Wetland,Water,Water,Water,Water,Grassland,Water,Grassland
1006,Wetland,Water,Water,Water,Water,Wetland,Water,Grassland
1007,Wetland,Water,Water,Water,Water,Bareland,Water,Water
1008,Wetland,Water,Water,Water,Water,Water,Wetland,Grassland
1009,Wetland,Water,Water,Water,Water,Water,Water,Grassland
1010,Wetland,Water,Water,Water,Water,Water,Water,Wetland
1011,Wetland,Water,Water,Water,Water,Water,Water,Bareland
1012,Wetland,Water,Water,Water,Water,Water,Water,Water
1013,Wetland,Water,Water,Water,Water,Water,Water,Forest
1014,Wetland,Water,Water,Water,Water,Forest,Water,Water
1015,Wetland,Water,Water,Water,Water,Forest,Water,Forest
1016,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
1017,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
1018,Bareland,NULL,Shrubland,Water,Non_Wetland,Cropland,NULL,Water
1019,Bareland,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Water
1020,Bareland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1021,Bareland,NULL,Wetland,NULL,Wetland,Water,Water,Water
1022,Bareland,NULL,Wetland,Water,Wetland,Grassland,NULL,Grassland
1023,Bareland,NULL,Wetland,Water,Wetland,Grassland,NULL,Water
1024,Bareland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
1025,Bareland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
1026,Bareland,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
1027,Bareland,NULL,Wetland,Water,Wetland,Grassland,Water,Water
1028,Bareland,NULL,Wetland,Water,Wetland,Cropland,NULL,Grassland
1029,Bareland,NULL,Wetland,Water,Wetland,Cropland,NULL,Water
1030,Bareland,NULL,Wetland,Water,Wetland,Cropland,Water,Water
1031,Bareland,NULL,Wetland,Water,Wetland,Wetland,NULL,Water
1032,Bareland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1033,Bareland,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
1034,Bareland,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
1035,Bareland,NULL,Wetland,Water,Wetland,Wetland,Water,Water
1036,Bareland,NULL,Wetland,Water,Wetland,Bareland,Wetland,Water
1037,Bareland,NULL,Wetland,Water,Wetland,Bareland,Water,Water
1038,Bareland,NULL,Wetland,Water,Wetland,Water,Grassland,Water
1039,Bareland,NULL,Wetland,Water,Wetland,Water,Wetland,Water
1040,Bareland,NULL,Wetland,Water,Wetland,Water,Water,Water
1041,Bareland,NULL,Built-up,Water,Non_Wetland,Bareland,Water,Water
1042,Bareland,NULL,Built-up,Water,Non_Wetland,Water,Water,Water
1043,Bareland,NULL,Water,Water,Water,Grassland,Wetland,Water
1044,Bareland,NULL,Water,Water,Water,Wetland,Wetland,Water
1045,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1046,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
1047,Bareland,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Water
1048,Bareland,Bareland,NULL,Water,Non_Wetland,Grassland,NULL,Water
1049,Bareland,Bareland,NULL,Water,Non_Wetland,Wetland,NULL,Water
1050,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
1051,Bareland,Bareland,Shrubland,Water,Non_Wetland,Cropland,NULL,Water
1052,Bareland,Bareland,Shrubland,Water,Non_Wetland,Bareland,NULL,Water
1053,Bareland,Bareland,Shrubland,Water,Non_Wetland,Bareland,Wetland,Water
1054,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
1055,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
1056,Bareland,Bareland,Cropland,Water,Non_Wetland,Wetland,Water,Water
1057,Bareland,Bareland,Wetland,NULL,Wetland,Water,Water,Water
1058,Bareland,Bareland,Wetland,Non_Water,Wetland,Grassland,NULL,Grassland
1059,Bareland,Bareland,Wetland,Non_Water,Wetland,Cropland,Wetland,Water
1060,Bareland,Bareland,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
1061,Bareland,Bareland,Wetland,Water,Wetland,Grassland,NULL,Water
1062,Bareland,Bareland,Wetland,Water,Wetland,Grassland,Grassland,Water
1063,Bareland,Bareland,Wetland,Water,Wetland,Grassland,Wetland,Water
1064,Bareland,Bareland,Wetland,Water,Wetland,Grassland,Wetland,Forest
1065,Bareland,Bareland,Wetland,Water,Wetland,Grassland,Water,Grassland
1066,Bareland,Bareland,Wetland,Water,Wetland,Grassland,Water,Water
1067,Bareland,Bareland,Wetland,Water,Wetland,Cropland,NULL,Grassland
1068,Bareland,Bareland,Wetland,Water,Wetland,Cropland,NULL,Water
1069,Bareland,Bareland,Wetland,Water,Wetland,Cropland,Grassland,Water
1070,Bareland,Bareland,Wetland,Water,Wetland,Cropland,Wetland,Grassland
1071,Bareland,Bareland,Wetland,Water,Wetland,Cropland,Wetland,Water
1072,Bareland,Bareland,Wetland,Water,Wetland,Cropland,Water,Water
1073,Bareland,Bareland,Wetland,Water,Wetland,Wetland,NULL,Water
1074,Bareland,Bareland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1075,Bareland,Bareland,Wetland,Water,Wetland,Wetland,Wetland,Water
1076,Bareland,Bareland,Wetland,Water,Wetland,Wetland,Water,Grassland
1077,Bareland,Bareland,Wetland,Water,Wetland,Wetland,Water,Water
1078,Bareland,Bareland,Wetland,Water,Wetland,Bareland,NULL,Grassland
1079,Bareland,Bareland,Wetland,Water,Wetland,Bareland,NULL,Water
1080,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Wetland,Water
1081,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
1082,Bareland,Bareland,Wetland,Water,Wetland,Water,NULL,Grassland
1083,Bareland,Bareland,Wetland,Water,Wetland,Water,NULL,Water
1084,Bareland,Bareland,Wetland,Water,Wetland,Water,NULL,Forest
1085,Bareland,Bareland,Wetland,Water,Wetland,Water,Grassland,Water
1086,Bareland,Bareland,Wetland,Water,Wetland,Water,Wetland,Grassland
1087,Bareland,Bareland,Wetland,Water,Wetland,Water,Wetland,Water
1088,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Water
1089,Bareland,Bareland,Built-up,Water,Non_Wetland,Wetland,NULL,Water
1090,Bareland,Bareland,Built-up,Water,Non_Wetland,Wetland,Water,Water
1091,Bareland,Bareland,Built-up,Water,Non_Wetland,Bareland,NULL,Grassland
1092,Bareland,Bareland,Built-up,Water,Non_Wetland,Bareland,NULL,Bareland
1093,Bareland,Bareland,Built-up,Water,Non_Wetland,Bareland,NULL,Water
1094,Bareland,Bareland,Built-up,Water,Non_Wetland,Bareland,Water,Water
1095,Bareland,Bareland,Water,Water,Water,Wetland,Wetland,Water
1096,Bareland,Bareland,Water,Water,Water,Bareland,NULL,Water
1097,Bareland,Bareland,Water,Water,Water,Bareland,Wetland,Water
1098,Bareland,Bareland,Water,Water,Water,Water,Water,Water
1099,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
1100,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
1101,Bareland,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
1102,Bareland,Water,NULL,NULL,Non_Wetland,Water,Water,Water
1103,Bareland,Water,NULL,Water,Non_Wetland,Bareland,Water,Water
1104,Bareland,Water,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
1105,Bareland,Water,Shrubland,Water,Non_Wetland,Bareland,Water,Water
1106,Bareland,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
1107,Bareland,Water,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1108,Bareland,Water,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1109,Bareland,Water,Wetland,NULL,Wetland,Grassland,Water,Forest
1110,Bareland,Water,Wetland,NULL,Wetland,Cropland,Water,Grassland
1111,Bareland,Water,Wetland,NULL,Wetland,Cropland,Water,Water
1112,Bareland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Bareland
1113,Bareland,Water,Wetland,NULL,Wetland,Wetland,Wetland,Water
1114,Bareland,Water,Wetland,NULL,Wetland,Bareland,Water,Forest
1115,Bareland,Water,Wetland,NULL,Wetland,Water,Grassland,Water
1116,Bareland,Water,Wetland,NULL,Wetland,Water,Wetland,Water
1117,Bareland,Water,Wetland,NULL,Wetland,Water,Water,Water
1118,Bareland,Water,Wetland,NULL,Wetland,Water,Water,Forest
1119,Bareland,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Water
1120,Bareland,Water,Wetland,Non_Water,Wetland,Bareland,Water,Water
1121,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
1122,Bareland,Water,Wetland,Water,Wetland,Grassland,NULL,Water
1123,Bareland,Water,Wetland,Water,Wetland,Grassland,Wetland,Water
1124,Bareland,Water,Wetland,Water,Wetland,Grassland,Water,Grassland
1125,Bareland,Water,Wetland,Water,Wetland,Grassland,Water,Water
1126,Bareland,Water,Wetland,Water,Wetland,Cropland,NULL,Water
1127,Bareland,Water,Wetland,Water,Wetland,Cropland,Water,Water
1128,Bareland,Water,Wetland,Water,Wetland,Wetland,NULL,Water
1129,Bareland,Water,Wetland,Water,Wetland,Wetland,Wetland,Water
