Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LGR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LGR_M_R
5714,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
5715,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
5716,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland,Forest,Cropland
5717,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland,Forest,Forest
5718,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland,NULL,NULL
5719,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
5720,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland,NULL,Cropland
5721,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
5722,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Shrubland,NULL
5723,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
5724,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
5725,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Forest
5726,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
5727,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
5728,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Cropland
5729,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
5730,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
5731,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Cropland
5732,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
5733,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
5734,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Forest,Built-up
5735,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
5736,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
5737,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up,Grassland,Cropland
5738,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
5739,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
5740,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest,Shrubland,Grassland
5741,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest,Shrubland,Forest
5742,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
5743,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
5744,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
5745,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
5746,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
5747,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
5748,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
5749,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
5750,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
5751,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
5752,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
5753,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Cropland
5754,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Bareland
5755,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Built-up
5756,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
5757,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
5758,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
5759,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
5760,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
5761,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
5762,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
5763,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,Wetland,Cropland
5764,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
5765,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,Bareland,Cropland
5766,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,Bareland,Bareland
5767,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
5768,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,Built-up,Cropland
5769,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
5770,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest,Cropland
5771,Cropland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
5772,Cropland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Cropland
5773,Cropland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
5774,Cropland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
5775,Cropland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
5776,Cropland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
5777,Cropland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
5778,Cropland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
5779,Cropland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
5780,Cropland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
5781,Cropland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
5782,Cropland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
5783,Cropland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
5784,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
5785,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
5786,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
5787,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
5788,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
5789,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
5790,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
5791,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
5792,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
5793,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
5794,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
5795,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
5796,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
5797,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
5798,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
5799,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
5800,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Cropland
5801,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
5802,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
5803,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
5804,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
5805,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
5806,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
5807,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,NULL
5808,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
5809,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
5810,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Bareland
5811,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Built-up
5812,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
5813,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Shrubland,NULL
5814,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
5815,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
5816,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Forest
5817,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
5818,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
5819,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Bareland
5820,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
5821,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Wetland,Grassland
5822,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Bareland,Grassland
5823,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Bareland,Cropland
5824,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Built-up,Cropland
5825,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Forest,Grassland
5826,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Forest,Cropland
5827,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Forest,Forest
5828,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
5829,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
5830,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
5831,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
5832,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
5833,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
5834,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Shrubland,NULL
5835,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
5836,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
5837,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
5838,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
5839,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Forest
5840,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,NULL
5841,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
5842,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
5843,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
5844,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
5845,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
5846,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
5847,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Cropland
5848,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
5849,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
5850,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
5851,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
5852,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Forest,Cropland
5853,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
5854,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
5855,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up,NULL,Cropland
5856,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
5857,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Cropland
5858,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
5859,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Cropland
5860,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
5861,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
5862,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
5863,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
5864,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
5865,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
5866,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
5867,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
5868,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland,NULL,Grassland
5869,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland,NULL,Forest
5870,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
5871,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,Shrubland,Grassland
5872,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,Grassland,Grassland
5873,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland,NULL,Grassland
5874,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland,NULL,Cropland
5875,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland,NULL,Grassland
5876,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
5877,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
5878,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
5879,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
5880,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
5881,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Shrubland,Grassland
5882,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Shrubland,Cropland
5883,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Shrubland,Built-up
5884,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,Grassland
5885,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,Cropland
5886,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,Built-up
5887,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Bareland,Grassland
5888,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Built-up,Grassland
5889,Cropland,Cropland,Built-up,NULL,Non_Wetland,Shrubland,NULL,Grassland
5890,Cropland,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
5891,Cropland,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
5892,Cropland,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Grassland
5893,Cropland,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Bareland,NULL
5894,Cropland,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Bareland,Grassland
5895,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
5896,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Cropland
5897,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
5898,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Grassland
5899,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Built-up
5900,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
5901,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
5902,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
5903,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
5904,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
5905,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland,NULL,Grassland
5906,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland,NULL,Cropland
5907,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland,Grassland,Grassland
5908,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland,Grassland,Cropland
5909,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland,Grassland,Built-up
5910,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland,Bareland,Grassland
5911,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
5912,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Cropland
5913,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
5914,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Grassland
5915,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
5916,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
5917,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
5918,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
5919,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Cropland
5920,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
5921,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
5922,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
5923,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up,NULL,Cropland
5924,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
5925,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up,Grassland,Bareland
5926,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up,Grassland,Forest
5927,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
5928,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Cropland
5929,Cropland,Cropland,Water,NULL,Water,NULL,Grassland,Grassland
5930,Cropland,Cropland,Water,NULL,Water,Bareland,NULL,Bareland
5931,Cropland,Cropland,Water,NULL,Water,Bareland,Bareland,Bareland
5932,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
5933,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
5934,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
5935,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
5936,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
5937,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,NULL
5938,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
5939,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,Cropland
5940,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
5941,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
5942,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
5943,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Cropland
5944,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
5945,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Bareland,NULL
5946,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Bareland,Grassland
5947,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Bareland,Cropland
5948,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,NULL
5949,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
5950,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,Cropland
5951,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,Forest
5952,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
5953,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
5954,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,Cropland
5955,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
5956,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
5957,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
5958,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
5959,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
5960,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
5961,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Cropland
5962,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
5963,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
5964,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
5965,Cropland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
5966,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
5967,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
5968,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
5969,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
5970,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
5971,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
5972,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Shrubland,Cropland
5973,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
5974,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
5975,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
5976,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
5977,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
5978,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
5979,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
5980,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
5981,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
5982,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
5983,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
5984,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Cropland
5985,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
5986,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,NULL
5987,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
5988,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Cropland
5989,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Forest
5990,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,Shrubland,Grassland
5991,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,Shrubland,Cropland
5992,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,Shrubland,Forest
5993,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,NULL
5994,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
5995,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Cropland
5996,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
5997,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,Bareland,NULL
5998,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,Bareland,Grassland
5999,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,Bareland,Forest
6000,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,Forest,Grassland
6001,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,Forest,Cropland
6002,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
6003,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
6004,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
6005,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,NULL
6006,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
6007,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,Cropland
6008,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,Bareland
6009,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
6010,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,Shrubland,NULL
6011,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
6012,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,Shrubland,Forest
6013,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
6014,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
6015,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Cropland
6016,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
6017,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
6018,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
6019,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
6020,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
6021,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
6022,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
6023,Cropland,Cropland,Forest,NULL,Non_Wetland,Built-up,NULL,Cropland
