Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NPK_M_R
784,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
785,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
786,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Built-up
787,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
788,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
789,NULL,NULL,Built-up,NULL,Non_Wetland,Water,NULL,Grassland
790,NULL,NULL,Built-up,NULL,Non_Wetland,Water,NULL,Wetland
791,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Wetland
792,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Forest
793,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,Grassland,Forest
794,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
795,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Wetland,NULL
796,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
797,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
798,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
799,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
800,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
801,NULL,NULL,Water,NULL,Water,NULL,Wetland,Wetland
802,NULL,NULL,Water,NULL,Water,NULL,Wetland,Forest
803,NULL,NULL,Water,NULL,Water,Grassland,NULL,Bareland
804,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
805,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Bareland
806,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Water
807,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Forest
808,NULL,NULL,Water,NULL,Water,Grassland,Wetland,Grassland
809,NULL,NULL,Water,NULL,Water,Grassland,Bareland,Bareland
810,NULL,NULL,Water,NULL,Water,Grassland,Water,Grassland
811,NULL,NULL,Water,NULL,Water,Grassland,Water,Forest
812,NULL,NULL,Water,NULL,Water,Wetland,Grassland,Grassland
813,NULL,NULL,Water,NULL,Water,Wetland,Grassland,Wetland
814,NULL,NULL,Water,NULL,Water,Wetland,Grassland,Water
815,NULL,NULL,Water,NULL,Water,Wetland,Grassland,Forest
816,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
817,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Wetland
818,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Forest
819,NULL,NULL,Water,NULL,Water,Wetland,Water,Grassland
820,NULL,NULL,Water,NULL,Water,Wetland,Forest,Forest
821,NULL,NULL,Water,NULL,Water,Water,Grassland,Grassland
822,NULL,NULL,Water,NULL,Water,Water,Grassland,Wetland
823,NULL,NULL,Water,NULL,Water,Water,Grassland,Forest
824,NULL,NULL,Water,NULL,Water,Water,Wetland,Grassland
825,NULL,NULL,Water,NULL,Water,Water,Wetland,Wetland
826,NULL,NULL,Water,NULL,Water,Water,Wetland,Forest
827,NULL,NULL,Water,NULL,Water,Water,Water,Wetland
828,NULL,NULL,Water,NULL,Water,Water,Water,Forest
829,NULL,NULL,Water,NULL,Water,Water,Forest,Forest
830,NULL,NULL,Water,NULL,Water,Forest,Forest,Forest
831,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
832,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
833,NULL,NULL,Water,Non_Water,Water,NULL,Wetland,Wetland
834,NULL,NULL,Water,Non_Water,Water,Grassland,Grassland,Grassland
835,NULL,NULL,Water,Non_Water,Water,Grassland,Grassland,Bareland
836,NULL,NULL,Water,Non_Water,Water,Grassland,Wetland,Grassland
837,NULL,NULL,Water,Non_Water,Water,Grassland,Wetland,Wetland
838,NULL,NULL,Water,Non_Water,Water,Grassland,Water,Grassland
839,NULL,NULL,Water,Non_Water,Water,Wetland,Grassland,NULL
840,NULL,NULL,Water,Non_Water,Water,Wetland,Grassland,Grassland
841,NULL,NULL,Water,Non_Water,Water,Wetland,Grassland,Wetland
842,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Grassland
843,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Wetland
844,NULL,NULL,Water,Non_Water,Water,Water,Grassland,Forest
845,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Wetland
846,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Forest
847,NULL,NULL,Water,Non_Water,Water,Water,Water,Wetland
848,NULL,NULL,Water,Non_Water,Water,Water,Water,Water
849,NULL,NULL,Water,Non_Water,Water,Forest,Wetland,Wetland
850,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
851,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
852,NULL,NULL,Water,Water,Water,NULL,NULL,Water
853,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
854,NULL,NULL,Water,Water,Water,NULL,Wetland,Wetland
855,NULL,NULL,Water,Water,Water,Grassland,Grassland,Grassland
856,NULL,NULL,Water,Water,Water,Grassland,Grassland,Water
857,NULL,NULL,Water,Water,Water,Grassland,Grassland,Forest
858,NULL,NULL,Water,Water,Water,Grassland,Wetland,Grassland
859,NULL,NULL,Water,Water,Water,Grassland,Wetland,Wetland
860,NULL,NULL,Water,Water,Water,Grassland,Wetland,Water
861,NULL,NULL,Water,Water,Water,Grassland,Wetland,Forest
862,NULL,NULL,Water,Water,Water,Grassland,Water,Grassland
863,NULL,NULL,Water,Water,Water,Grassland,Water,Wetland
864,NULL,NULL,Water,Water,Water,Grassland,Water,Water
865,NULL,NULL,Water,Water,Water,Grassland,Water,Forest
866,NULL,NULL,Water,Water,Water,Grassland,Forest,Wetland
867,NULL,NULL,Water,Water,Water,Wetland,Grassland,Grassland
868,NULL,NULL,Water,Water,Water,Wetland,Grassland,Wetland
869,NULL,NULL,Water,Water,Water,Wetland,Grassland,Water
870,NULL,NULL,Water,Water,Water,Wetland,Grassland,Forest
871,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
872,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
873,NULL,NULL,Water,Water,Water,Wetland,Wetland,Water
874,NULL,NULL,Water,Water,Water,Wetland,Wetland,Forest
875,NULL,NULL,Water,Water,Water,Wetland,Water,NULL
876,NULL,NULL,Water,Water,Water,Wetland,Water,Grassland
877,NULL,NULL,Water,Water,Water,Wetland,Water,Water
878,NULL,NULL,Water,Water,Water,Wetland,Water,Forest
879,NULL,NULL,Water,Water,Water,Wetland,Forest,Water
880,NULL,NULL,Water,Water,Water,Wetland,Forest,Forest
881,NULL,NULL,Water,Water,Water,Water,Grassland,Grassland
882,NULL,NULL,Water,Water,Water,Water,Grassland,Wetland
883,NULL,NULL,Water,Water,Water,Water,Grassland,Bareland
884,NULL,NULL,Water,Water,Water,Water,Grassland,Water
885,NULL,NULL,Water,Water,Water,Water,Grassland,Forest
886,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
887,NULL,NULL,Water,Water,Water,Water,Wetland,Wetland
888,NULL,NULL,Water,Water,Water,Water,Wetland,Water
889,NULL,NULL,Water,Water,Water,Water,Wetland,Forest
890,NULL,NULL,Water,Water,Water,Water,Water,Grassland
891,NULL,NULL,Water,Water,Water,Water,Water,Wetland
892,NULL,NULL,Water,Water,Water,Water,Water,Bareland
893,NULL,NULL,Water,Water,Water,Water,Water,Water
894,NULL,NULL,Water,Water,Water,Water,Water,Forest
895,NULL,NULL,Water,Water,Water,Water,Forest,Forest
896,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
897,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
898,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
899,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
900,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
901,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
902,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
903,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
904,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
905,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
906,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
907,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Wetland
908,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
909,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
910,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
911,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
912,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
913,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
914,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
915,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Bareland,NULL
916,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
917,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
918,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
919,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
920,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
921,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
922,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Built-up
923,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
924,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
925,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
926,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
927,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Wetland
928,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
929,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
930,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
931,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
932,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Wetland
933,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Water
934,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
935,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
936,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
937,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
938,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
939,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Built-up,Forest
940,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
941,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
942,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
943,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
944,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Bareland
945,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Built-up
946,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
947,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
948,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Shrubland,Grassland
949,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
950,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Wetland
951,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
952,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Wetland,Grassland
953,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Wetland,Wetland
954,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Wetland,Forest
955,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Bareland,Forest
956,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Water,Forest
957,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Grassland
958,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
959,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,NULL
960,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
961,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
962,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,NULL
963,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
964,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Wetland
965,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
966,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
967,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
968,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Wetland
969,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Water
970,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
971,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
972,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
973,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
974,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
975,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,NULL
976,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
977,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
978,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
979,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Wetland
980,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Forest
981,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
982,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
983,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Wetland
984,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
985,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
986,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Forest
987,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
988,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
989,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
990,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
991,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
992,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
993,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
994,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
995,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
996,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Built-up
997,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
998,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
999,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
1000,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Bareland,Grassland
1001,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,NULL
1002,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
1003,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Wetland
1004,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
1005,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,NULL
1006,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
1007,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
1008,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
1009,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,Grassland
1010,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,Wetland
1011,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,Forest
1012,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,NULL
1013,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Grassland
1014,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Wetland
1015,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
1016,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
1017,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
1018,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
1019,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
1020,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
1021,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1022,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
1023,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
1024,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Water,Forest
1025,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
1026,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Water
1027,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1028,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
1029,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland,Wetland
1030,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
1031,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,NULL
1032,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1033,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
1034,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
1035,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,NULL
1036,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1037,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
1038,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
1039,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Water,Grassland
1040,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Water,Wetland
1041,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Water,Forest
1042,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland,Wetland,Wetland
1043,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Grassland,NULL
1044,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
1045,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
1046,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Forest
1047,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,NULL
1048,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1049,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
1050,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1051,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Grassland
1052,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Wetland
1053,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Forest,Forest
1054,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Grassland,Wetland
1055,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
1056,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Wetland
1057,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
1058,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Wetland
1059,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Forest
1060,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Forest,Grassland
1061,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest,Wetland,Wetland
1062,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
1063,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
1064,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
1065,NULL,NULL,Forest,Water,Non_Wetland,NULL,Wetland,Wetland
1066,NULL,NULL,Forest,Water,Non_Wetland,NULL,Wetland,Forest
1067,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
1068,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Wetland
1069,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Water
1070,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
1071,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Wetland
1072,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Forest
1073,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Water,Grassland
1074,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Water,Water
1075,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Forest,Wetland
1076,NULL,NULL,Forest,Water,Non_Wetland,Cropland,Wetland,Wetland
1077,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Grassland,Grassland
1078,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Grassland,Wetland
1079,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Grassland,Water
1080,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Grassland,Forest
1081,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,NULL
1082,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
1083,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
1084,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Water
1085,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
1086,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Water,Grassland
1087,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Water,Water
1088,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Forest,Water
1089,NULL,NULL,Forest,Water,Non_Wetland,Water,Grassland,Grassland
1090,NULL,NULL,Forest,Water,Non_Wetland,Water,Grassland,Wetland
1091,NULL,NULL,Forest,Water,Non_Wetland,Water,Wetland,Wetland
1092,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Grassland
1093,NULL,NULL,Forest,Water,Non_Wetland,Forest,Grassland,Wetland
1094,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1095,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1096,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
1097,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
1098,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1099,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1100,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1101,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
1102,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
1103,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1104,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
1105,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1106,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1107,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Wetland,NULL
1108,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
1109,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
1110,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
1111,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
1112,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
1113,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1114,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
1115,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
1116,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1117,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
1118,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
1119,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
1120,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1121,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
1122,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1123,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland,Grassland,Grassland
1124,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
1125,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland,Wetland,NULL
1126,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
1127,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
1128,NULL,Cropland,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
1129,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
1130,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1131,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1132,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1133,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
1134,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1135,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1136,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
