Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NNK_M_R
345,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
346,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
347,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
348,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
349,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
350,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
351,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
352,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
353,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
354,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
355,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
356,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
357,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
358,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
359,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
360,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
361,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
362,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
363,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
364,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
365,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
366,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
367,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
368,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
369,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
370,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
371,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
372,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
373,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
374,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
375,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
376,Cropland,NULL,Water,Water,Water,NULL,NULL,Grassland
377,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
378,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
379,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
380,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
381,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
382,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
383,Cropland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
384,Cropland,Water,Water,NULL,Water,NULL,NULL,Forest
385,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
386,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
387,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
388,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
389,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
390,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
391,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
392,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
393,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
394,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
395,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Grassland
396,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Water
397,Wetland,Wetland,Water,Water,Water,NULL,NULL,Grassland
398,Wetland,Wetland,Water,Water,Water,NULL,NULL,Bareland
399,Wetland,Wetland,Water,Water,Water,NULL,NULL,Water
400,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
401,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
402,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
403,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
404,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
405,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
406,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
407,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
408,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
409,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
410,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
411,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
412,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
413,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
414,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
415,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
416,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
417,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
418,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
419,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
420,Bareland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
421,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
422,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
423,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
424,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
425,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
426,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
427,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
428,Bareland,NULL,Water,NULL,Water,NULL,NULL,Grassland
429,Bareland,NULL,Water,NULL,Water,NULL,NULL,Bareland
430,Bareland,NULL,Water,NULL,Water,NULL,NULL,Water
431,Bareland,NULL,Water,NULL,Water,NULL,NULL,Forest
432,Bareland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
433,Bareland,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
434,Bareland,NULL,Water,Water,Water,NULL,NULL,Grassland
435,Bareland,NULL,Water,Water,Water,NULL,NULL,Bareland
436,Bareland,NULL,Water,Water,Water,NULL,NULL,Water
437,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
438,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
439,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
440,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
441,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
442,Bareland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
443,Bareland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
444,Bareland,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Water
445,Bareland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
446,Bareland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
447,Bareland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
448,Bareland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
449,Bareland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
450,Bareland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
451,Bareland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
452,Bareland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
453,Bareland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
454,Bareland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
455,Bareland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
456,Bareland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
457,Bareland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
458,Bareland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
459,Bareland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
460,Bareland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
461,Bareland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
462,Bareland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
463,Bareland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
464,Bareland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Water
465,Bareland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
466,Bareland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
467,Bareland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
468,Bareland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
469,Bareland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
470,Bareland,Wetland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
471,Bareland,Wetland,Cropland,Water,Non_Wetland,NULL,NULL,Water
472,Bareland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
473,Bareland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
474,Bareland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
475,Bareland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
476,Bareland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
477,Bareland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
478,Bareland,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
479,Bareland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
480,Bareland,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
481,Bareland,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
482,Bareland,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
483,Bareland,Wetland,Water,NULL,Water,NULL,NULL,Grassland
484,Bareland,Wetland,Water,NULL,Water,NULL,NULL,Bareland
485,Bareland,Wetland,Water,NULL,Water,NULL,NULL,Water
486,Bareland,Wetland,Water,NULL,Water,NULL,NULL,Forest
487,Bareland,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
488,Bareland,Wetland,Water,Non_Water,Water,NULL,NULL,Bareland
489,Bareland,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
490,Bareland,Wetland,Water,Water,Water,NULL,NULL,Grassland
491,Bareland,Wetland,Water,Water,Water,NULL,NULL,Bareland
492,Bareland,Wetland,Water,Water,Water,NULL,NULL,Water
493,Bareland,Wetland,Water,Water,Water,NULL,NULL,Forest
494,Bareland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
495,Bareland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
496,Bareland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
497,Bareland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
498,Bareland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
499,Bareland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
500,Bareland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
501,Bareland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
502,Bareland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
503,Bareland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
504,Bareland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
505,Bareland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
506,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
507,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Water
508,Bareland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
509,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
510,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
511,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
512,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
513,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
514,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
515,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
516,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
517,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
518,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
519,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
520,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
521,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
522,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
523,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
524,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
525,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
526,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
527,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
528,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
529,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Water
530,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
531,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
532,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
533,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
534,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
535,Bareland,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
536,Bareland,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Water
537,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
538,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Wetland
539,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
540,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
541,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
542,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
543,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
544,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
545,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
546,Bareland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
547,Bareland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
548,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
549,Bareland,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Water
550,Bareland,Bareland,Water,NULL,Water,NULL,NULL,Grassland
551,Bareland,Bareland,Water,NULL,Water,NULL,NULL,Bareland
552,Bareland,Bareland,Water,NULL,Water,NULL,NULL,Water
553,Bareland,Bareland,Water,NULL,Water,NULL,NULL,Forest
554,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Grassland
555,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
556,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Water
557,Bareland,Bareland,Water,Water,Water,NULL,NULL,Grassland
558,Bareland,Bareland,Water,Water,Water,NULL,NULL,Bareland
559,Bareland,Bareland,Water,Water,Water,NULL,NULL,Water
560,Bareland,Bareland,Water,Water,Water,NULL,NULL,Forest
561,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
562,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
563,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
564,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
565,Bareland,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
566,Bareland,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
567,Bareland,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
568,Bareland,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
569,Bareland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
570,Bareland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
571,Bareland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
572,Bareland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
573,Bareland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
574,Bareland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
575,Bareland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
576,Bareland,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
577,Bareland,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
578,Bareland,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
579,Bareland,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
580,Bareland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
581,Bareland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
582,Bareland,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
583,Bareland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
584,Bareland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
585,Bareland,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
586,Bareland,Built-up,Wetland,NULL,Wetland,NULL,NULL,Bareland
587,Bareland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
588,Bareland,Built-up,Water,NULL,Water,NULL,NULL,Grassland
589,Bareland,Built-up,Water,NULL,Water,NULL,NULL,Bareland
590,Bareland,Built-up,Water,Non_Water,Water,NULL,NULL,Bareland
591,Bareland,Built-up,Water,Water,Water,NULL,NULL,Grassland
592,Bareland,Built-up,Water,Water,Water,NULL,NULL,Bareland
593,Bareland,Built-up,Water,Water,Water,NULL,NULL,Water
594,Bareland,Built-up,Water,Water,Water,NULL,NULL,Forest
595,Bareland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
596,Bareland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
597,Bareland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
598,Bareland,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
599,Bareland,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Bareland
600,Bareland,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Water
601,Bareland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
602,Bareland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
603,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
604,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
605,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
606,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
607,Bareland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
608,Bareland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
609,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
610,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
611,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
612,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
613,Bareland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
614,Bareland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
615,Bareland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
616,Bareland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
617,Bareland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Water
618,Bareland,Water,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
619,Bareland,Water,Cropland,Water,Non_Wetland,NULL,NULL,Water
620,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
621,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
622,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
623,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
624,Bareland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
625,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
626,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
627,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
628,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
629,Bareland,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
630,Bareland,Water,Water,NULL,Water,NULL,NULL,Grassland
631,Bareland,Water,Water,NULL,Water,NULL,NULL,Bareland
632,Bareland,Water,Water,NULL,Water,NULL,NULL,Water
633,Bareland,Water,Water,NULL,Water,NULL,NULL,Forest
634,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Water
635,Bareland,Water,Water,Water,Water,NULL,NULL,Grassland
636,Bareland,Water,Water,Water,Water,NULL,NULL,Bareland
637,Bareland,Water,Water,Water,Water,NULL,NULL,Water
638,Bareland,Water,Water,Water,Water,NULL,NULL,Forest
639,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
640,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
641,Bareland,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
642,Bareland,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
643,Bareland,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
644,Bareland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
645,Bareland,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
646,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
647,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
648,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
649,Bareland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
650,Bareland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
651,Bareland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
652,Bareland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
653,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
654,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
655,Bareland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
656,Bareland,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
657,Bareland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
658,Bareland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
659,Bareland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Water
660,Bareland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
661,Bareland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
662,Bareland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
663,Bareland,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
664,Bareland,Forest,Water,NULL,Water,NULL,NULL,Grassland
665,Bareland,Forest,Water,NULL,Water,NULL,NULL,Bareland
666,Bareland,Forest,Water,NULL,Water,NULL,NULL,Forest
667,Bareland,Forest,Water,Water,Water,NULL,NULL,Grassland
668,Bareland,Forest,Water,Water,Water,NULL,NULL,Bareland
669,Bareland,Forest,Water,Water,Water,NULL,NULL,Water
670,Bareland,Forest,Water,Water,Water,NULL,NULL,Forest
671,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
672,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
673,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
674,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
675,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
676,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
677,Bareland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
678,Bareland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
679,Bareland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Bareland
680,Bareland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
681,Bareland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
682,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
683,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
684,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
685,Water,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
686,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
687,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
688,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
689,Water,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
690,Water,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Forest
691,Water,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
692,Water,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
693,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
694,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
