Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NVD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NVD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NVD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NVD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NVD_M_R
365,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
366,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Water
367,Forest,NULL,Water,NULL,Water,NULL,NULL,Bareland
368,Forest,NULL,Water,NULL,Water,NULL,NULL,Forest
369,Forest,NULL,Water,Water,Water,NULL,NULL,Grassland
370,Forest,NULL,Water,Water,Water,NULL,NULL,Wetland
371,Forest,NULL,Water,Water,Water,NULL,NULL,Water
372,Forest,NULL,Water,Water,Water,NULL,NULL,Forest
373,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
374,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
375,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
376,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
377,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
378,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
379,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
380,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
381,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
382,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
383,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
384,Forest,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
385,Forest,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
386,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
387,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
388,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
389,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
390,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
391,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
392,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
393,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
394,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
395,Forest,Wetland,Water,NULL,Water,NULL,NULL,Grassland
396,Forest,Wetland,Water,NULL,Water,NULL,NULL,Wetland
397,Forest,Wetland,Water,NULL,Water,NULL,NULL,Bareland
398,Forest,Wetland,Water,NULL,Water,NULL,NULL,Water
399,Forest,Wetland,Water,NULL,Water,NULL,NULL,Forest
400,Forest,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
401,Forest,Wetland,Water,Non_Water,Water,NULL,NULL,Bareland
402,Forest,Wetland,Water,Non_Water,Water,NULL,NULL,Water
403,Forest,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
404,Forest,Wetland,Water,Water,Water,NULL,NULL,Grassland
405,Forest,Wetland,Water,Water,Water,NULL,NULL,Wetland
406,Forest,Wetland,Water,Water,Water,NULL,NULL,Bareland
407,Forest,Wetland,Water,Water,Water,NULL,NULL,Water
408,Forest,Wetland,Water,Water,Water,NULL,NULL,Forest
409,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
410,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
411,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
412,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
413,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
414,Forest,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
415,Forest,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
416,Forest,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
417,Forest,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
418,Forest,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
419,Forest,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
420,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
421,Forest,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
422,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
423,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
424,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
425,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
426,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
427,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
428,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
429,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
430,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
431,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
432,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
433,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
434,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Water
435,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
436,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
437,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
438,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
439,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
440,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
441,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
442,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
443,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
444,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Water
445,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Forest
446,Forest,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
447,Forest,Water,Water,NULL,Water,NULL,NULL,Grassland
448,Forest,Water,Water,NULL,Water,NULL,NULL,Wetland
449,Forest,Water,Water,NULL,Water,NULL,NULL,Bareland
450,Forest,Water,Water,NULL,Water,NULL,NULL,Water
451,Forest,Water,Water,NULL,Water,NULL,NULL,Forest
452,Forest,Water,Water,Non_Water,Water,NULL,NULL,Grassland
453,Forest,Water,Water,Non_Water,Water,NULL,NULL,Wetland
454,Forest,Water,Water,Non_Water,Water,NULL,NULL,Bareland
455,Forest,Water,Water,Non_Water,Water,NULL,NULL,Water
456,Forest,Water,Water,Non_Water,Water,NULL,NULL,Forest
457,Forest,Water,Water,Water,Water,NULL,NULL,Grassland
458,Forest,Water,Water,Water,Water,NULL,NULL,Wetland
459,Forest,Water,Water,Water,Water,NULL,NULL,Bareland
460,Forest,Water,Water,Water,Water,NULL,NULL,Water
461,Forest,Water,Water,Water,Water,NULL,NULL,Forest
462,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
463,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
464,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
465,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
466,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
467,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
468,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
469,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
470,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
471,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
472,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
473,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
474,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
475,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
476,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
477,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
478,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
479,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
480,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
481,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
482,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
483,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
484,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
485,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
486,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
487,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
488,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
489,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Water
490,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
491,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
492,Forest,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Forest
493,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
494,Forest,Forest,Water,NULL,Water,NULL,NULL,Wetland
495,Forest,Forest,Water,NULL,Water,NULL,NULL,Water
496,Forest,Forest,Water,NULL,Water,NULL,NULL,Forest
497,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Water
498,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Forest
499,Forest,Forest,Water,Water,Water,NULL,NULL,Grassland
500,Forest,Forest,Water,Water,Water,NULL,NULL,Water
501,Forest,Forest,Water,Water,Water,NULL,NULL,Forest
502,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
503,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
504,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
505,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
506,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
507,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
508,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
509,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
510,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
511,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
512,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
