Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MHN_M_R
378,Forest,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
379,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
380,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
381,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
382,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
383,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
384,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
385,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
386,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
387,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
388,Forest,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
389,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
390,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
391,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
392,Forest,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
393,Forest,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
394,Forest,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
395,Forest,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
396,Forest,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
397,Forest,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
398,Forest,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
399,Forest,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
400,Forest,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
401,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
402,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
403,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
404,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
405,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
406,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
407,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
408,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
409,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
410,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
411,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
412,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
413,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
414,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
415,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
416,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
417,Forest,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
418,Forest,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
419,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
420,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
421,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
422,Forest,Bareland,Cropland,Non_Water,Non_Wetland,Water,Wetland,Grassland
423,Forest,Bareland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
424,Forest,Bareland,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
425,Forest,Bareland,Wetland,Non_Water,Wetland,Water,Water,Grassland
426,Forest,Bareland,Wetland,Water,Wetland,Grassland,Water,Grassland
427,Forest,Bareland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
428,Forest,Bareland,Wetland,Water,Wetland,Water,Wetland,Bareland
429,Forest,Bareland,Wetland,Water,Wetland,Water,Water,Grassland
430,Forest,Bareland,Wetland,Water,Wetland,Water,Water,Water
431,Forest,Bareland,Wetland,Water,Wetland,Water,Water,Forest
432,Forest,Bareland,Water,Non_Water,Water,Grassland,Wetland,Grassland
433,Forest,Bareland,Water,Non_Water,Water,Wetland,Water,Grassland
434,Forest,Bareland,Water,Water,Water,Wetland,Wetland,Forest
435,Forest,Built-up,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
436,Forest,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
437,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
438,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
439,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
440,Forest,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
441,Forest,Built-up,Forest,NULL,Non_Wetland,Wetland,Water,Forest
442,Forest,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
443,Forest,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
444,Forest,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
445,Forest,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
446,Forest,Water,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
447,Forest,Water,NULL,NULL,Non_Wetland,Wetland,Water,Water
448,Forest,Water,NULL,NULL,Non_Wetland,Wetland,Water,Forest
449,Forest,Water,NULL,NULL,Non_Wetland,Wetland,Forest,Water
450,Forest,Water,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
451,Forest,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
452,Forest,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
453,Forest,Water,NULL,NULL,Non_Wetland,Water,Water,Water
454,Forest,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
455,Forest,Water,NULL,NULL,Non_Wetland,Water,Forest,Water
456,Forest,Water,NULL,NULL,Non_Wetland,Water,Forest,Forest
457,Forest,Water,NULL,NULL,Non_Wetland,Forest,Wetland,Water
458,Forest,Water,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
459,Forest,Water,NULL,NULL,Non_Wetland,Forest,Forest,Forest
460,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,Wetland,Water
461,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,Water,Water
462,Forest,Water,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
463,Forest,Water,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
464,Forest,Water,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
465,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
466,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
467,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
468,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Water,Forest
469,Forest,Water,NULL,Non_Water,Non_Wetland,Water,Forest,Water
470,Forest,Water,NULL,Water,Non_Wetland,NULL,Wetland,Water
471,Forest,Water,NULL,Water,Non_Wetland,NULL,Wetland,Forest
472,Forest,Water,NULL,Water,Non_Wetland,Water,Wetland,Water
473,Forest,Water,NULL,Water,Non_Wetland,Water,Wetland,Forest
474,Forest,Water,NULL,Water,Non_Wetland,Water,Water,Water
475,Forest,Water,NULL,Water,Non_Wetland,Water,Water,Forest
476,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
477,Forest,Water,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
478,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
479,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
480,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
481,Forest,Water,Shrubland,NULL,Non_Wetland,Water,Water,Forest
482,Forest,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
483,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Wetland,Water
484,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
485,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Water,Water
486,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Water,Forest
487,Forest,Water,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
488,Forest,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Water
489,Forest,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
490,Forest,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Water
491,Forest,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
492,Forest,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
493,Forest,Water,Grassland,NULL,Non_Wetland,Water,Water,Forest
494,Forest,Water,Grassland,NULL,Non_Wetland,Water,Forest,Water
495,Forest,Water,Grassland,NULL,Non_Wetland,Water,Forest,Forest
496,Forest,Water,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
497,Forest,Water,Grassland,NULL,Non_Wetland,Forest,Water,Forest
498,Forest,Water,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
499,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Water
500,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Forest
501,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,Water,Water
502,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,Water,Forest
503,Forest,Water,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
504,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Water
505,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
506,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
507,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
508,Forest,Water,Grassland,Non_Water,Non_Wetland,Water,Forest,Water
509,Forest,Water,Grassland,Non_Water,Non_Wetland,Forest,Water,Forest
510,Forest,Water,Grassland,Water,Non_Wetland,NULL,Wetland,Forest
511,Forest,Water,Grassland,Water,Non_Wetland,NULL,Water,Water
512,Forest,Water,Grassland,Water,Non_Wetland,Wetland,Wetland,Water
513,Forest,Water,Grassland,Water,Non_Wetland,Wetland,Wetland,Forest
514,Forest,Water,Grassland,Water,Non_Wetland,Water,Wetland,Water
515,Forest,Water,Grassland,Water,Non_Wetland,Water,Wetland,Forest
516,Forest,Water,Grassland,Water,Non_Wetland,Water,Water,Water
517,Forest,Water,Grassland,Water,Non_Wetland,Water,Water,Forest
518,Forest,Water,Grassland,Water,Non_Wetland,Water,Forest,Forest
519,Forest,Water,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
520,Forest,Water,Cropland,NULL,Non_Wetland,Water,Wetland,Forest
521,Forest,Water,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
522,Forest,Water,Cropland,Water,Non_Wetland,Wetland,Wetland,Forest
523,Forest,Water,Cropland,Water,Non_Wetland,Wetland,Water,Forest
524,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Grassland
525,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
526,Forest,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
527,Forest,Water,Wetland,NULL,Wetland,NULL,Water,Water
528,Forest,Water,Wetland,NULL,Wetland,NULL,Water,Forest
529,Forest,Water,Wetland,NULL,Wetland,NULL,Forest,Water
530,Forest,Water,Wetland,NULL,Wetland,NULL,Forest,Forest
531,Forest,Water,Wetland,NULL,Wetland,Grassland,Wetland,Water
532,Forest,Water,Wetland,NULL,Wetland,Grassland,Wetland,Forest
533,Forest,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
534,Forest,Water,Wetland,NULL,Wetland,Wetland,Wetland,Water
535,Forest,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
536,Forest,Water,Wetland,NULL,Wetland,Wetland,Water,Grassland
537,Forest,Water,Wetland,NULL,Wetland,Wetland,Water,Water
538,Forest,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
539,Forest,Water,Wetland,NULL,Wetland,Wetland,Forest,Water
540,Forest,Water,Wetland,NULL,Wetland,Wetland,Forest,Forest
541,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
542,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Water
543,Forest,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
544,Forest,Water,Wetland,NULL,Wetland,Water,Water,Grassland
545,Forest,Water,Wetland,NULL,Wetland,Water,Water,Water
546,Forest,Water,Wetland,NULL,Wetland,Water,Water,Forest
547,Forest,Water,Wetland,NULL,Wetland,Water,Forest,Water
548,Forest,Water,Wetland,NULL,Wetland,Water,Forest,Forest
549,Forest,Water,Wetland,NULL,Wetland,Forest,Wetland,Water
550,Forest,Water,Wetland,NULL,Wetland,Forest,Wetland,Forest
551,Forest,Water,Wetland,NULL,Wetland,Forest,Water,Water
552,Forest,Water,Wetland,NULL,Wetland,Forest,Water,Forest
553,Forest,Water,Wetland,NULL,Wetland,Forest,Forest,Forest
554,Forest,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Water
555,Forest,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
556,Forest,Water,Wetland,Non_Water,Wetland,NULL,Water,Grassland
557,Forest,Water,Wetland,Non_Water,Wetland,NULL,Water,Water
558,Forest,Water,Wetland,Non_Water,Wetland,NULL,Water,Forest
559,Forest,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
560,Forest,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Water
561,Forest,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
562,Forest,Water,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
563,Forest,Water,Wetland,Non_Water,Wetland,Grassland,Water,Water
564,Forest,Water,Wetland,Non_Water,Wetland,Grassland,Water,Forest
565,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
566,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
567,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
568,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
569,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Water,Water
570,Forest,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
571,Forest,Water,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
572,Forest,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
573,Forest,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
574,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
575,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Wetland
576,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Water
577,Forest,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
578,Forest,Water,Wetland,Non_Water,Wetland,Water,Forest,Water
579,Forest,Water,Wetland,Non_Water,Wetland,Water,Forest,Forest
580,Forest,Water,Wetland,Non_Water,Wetland,Forest,Wetland,Grassland
581,Forest,Water,Wetland,Non_Water,Wetland,Forest,Wetland,Water
582,Forest,Water,Wetland,Non_Water,Wetland,Forest,Wetland,Forest
583,Forest,Water,Wetland,Non_Water,Wetland,Forest,Water,Water
584,Forest,Water,Wetland,Non_Water,Wetland,Forest,Water,Forest
585,Forest,Water,Wetland,Non_Water,Wetland,Forest,Forest,Forest
586,Forest,Water,Wetland,Water,Wetland,NULL,Wetland,Water
587,Forest,Water,Wetland,Water,Wetland,NULL,Wetland,Forest
588,Forest,Water,Wetland,Water,Wetland,NULL,Water,Grassland
589,Forest,Water,Wetland,Water,Wetland,NULL,Water,Water
590,Forest,Water,Wetland,Water,Wetland,NULL,Water,Forest
591,Forest,Water,Wetland,Water,Wetland,Grassland,Wetland,Grassland
592,Forest,Water,Wetland,Water,Wetland,Grassland,Wetland,Forest
593,Forest,Water,Wetland,Water,Wetland,Grassland,Water,Forest
594,Forest,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
595,Forest,Water,Wetland,Water,Wetland,Wetland,Wetland,Water
596,Forest,Water,Wetland,Water,Wetland,Wetland,Wetland,Forest
597,Forest,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
598,Forest,Water,Wetland,Water,Wetland,Wetland,Water,Water
599,Forest,Water,Wetland,Water,Wetland,Wetland,Water,Forest
600,Forest,Water,Wetland,Water,Wetland,Bareland,Water,Water
601,Forest,Water,Wetland,Water,Wetland,Bareland,Water,Forest
602,Forest,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
603,Forest,Water,Wetland,Water,Wetland,Water,Wetland,Wetland
604,Forest,Water,Wetland,Water,Wetland,Water,Wetland,Water
605,Forest,Water,Wetland,Water,Wetland,Water,Wetland,Forest
606,Forest,Water,Wetland,Water,Wetland,Water,Water,Grassland
607,Forest,Water,Wetland,Water,Wetland,Water,Water,Wetland
608,Forest,Water,Wetland,Water,Wetland,Water,Water,Water
609,Forest,Water,Wetland,Water,Wetland,Water,Water,Forest
610,Forest,Water,Wetland,Water,Wetland,Water,Forest,Water
611,Forest,Water,Wetland,Water,Wetland,Water,Forest,Forest
612,Forest,Water,Wetland,Water,Wetland,Forest,Wetland,Water
613,Forest,Water,Wetland,Water,Wetland,Forest,Wetland,Forest
614,Forest,Water,Wetland,Water,Wetland,Forest,Water,Water
615,Forest,Water,Wetland,Water,Wetland,Forest,Water,Forest
616,Forest,Water,Wetland,Water,Wetland,Forest,Forest,Water
617,Forest,Water,Wetland,Water,Wetland,Forest,Forest,Forest
618,Forest,Water,Lichens_and_Mosses,Water,Non_Wetland,Wetland,Water,Water
619,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Wetland,Water
620,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
621,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Water,Water
622,Forest,Water,Bareland,NULL,Non_Wetland,NULL,Water,Forest
623,Forest,Water,Bareland,NULL,Non_Wetland,Wetland,Wetland,Water
624,Forest,Water,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
625,Forest,Water,Bareland,NULL,Non_Wetland,Wetland,Water,Water
626,Forest,Water,Bareland,NULL,Non_Wetland,Wetland,Water,Forest
627,Forest,Water,Bareland,NULL,Non_Wetland,Wetland,Forest,Water
628,Forest,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
629,Forest,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Water
630,Forest,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
631,Forest,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
632,Forest,Water,Bareland,NULL,Non_Wetland,Water,Water,Forest
633,Forest,Water,Bareland,NULL,Non_Wetland,Water,Forest,Water
634,Forest,Water,Bareland,NULL,Non_Wetland,Water,Forest,Forest
635,Forest,Water,Bareland,NULL,Non_Wetland,Forest,Wetland,Water
636,Forest,Water,Bareland,NULL,Non_Wetland,Forest,Wetland,Forest
637,Forest,Water,Bareland,NULL,Non_Wetland,Forest,Water,Forest
638,Forest,Water,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
639,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Water
640,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Forest
641,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,Water,Forest
642,Forest,Water,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Water
643,Forest,Water,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
644,Forest,Water,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
645,Forest,Water,Bareland,Non_Water,Non_Wetland,Wetland,Water,Water
646,Forest,Water,Bareland,Non_Water,Non_Wetland,Wetland,Water,Forest
647,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
648,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
649,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
650,Forest,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
651,Forest,Water,Bareland,Non_Water,Non_Wetland,Forest,Wetland,Forest
652,Forest,Water,Bareland,Non_Water,Non_Wetland,Forest,Water,Water
653,Forest,Water,Bareland,Water,Non_Wetland,NULL,Wetland,Water
654,Forest,Water,Bareland,Water,Non_Wetland,NULL,Wetland,Forest
655,Forest,Water,Bareland,Water,Non_Wetland,NULL,Water,Water
656,Forest,Water,Bareland,Water,Non_Wetland,NULL,Water,Forest
657,Forest,Water,Bareland,Water,Non_Wetland,Wetland,Wetland,Water
658,Forest,Water,Bareland,Water,Non_Wetland,Wetland,Wetland,Forest
659,Forest,Water,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
660,Forest,Water,Bareland,Water,Non_Wetland,Wetland,Water,Water
661,Forest,Water,Bareland,Water,Non_Wetland,Wetland,Water,Forest
662,Forest,Water,Bareland,Water,Non_Wetland,Water,Wetland,Water
663,Forest,Water,Bareland,Water,Non_Wetland,Water,Wetland,Forest
664,Forest,Water,Bareland,Water,Non_Wetland,Water,Water,Grassland
665,Forest,Water,Bareland,Water,Non_Wetland,Water,Water,Wetland
666,Forest,Water,Bareland,Water,Non_Wetland,Water,Water,Water
667,Forest,Water,Bareland,Water,Non_Wetland,Water,Water,Forest
668,Forest,Water,Bareland,Water,Non_Wetland,Forest,Water,Forest
669,Forest,Water,Built-up,NULL,Non_Wetland,NULL,Wetland,Forest
670,Forest,Water,Built-up,NULL,Non_Wetland,NULL,Water,Forest
671,Forest,Water,Built-up,NULL,Non_Wetland,Water,Water,Forest
672,Forest,Water,Water,NULL,Water,NULL,Wetland,Water
673,Forest,Water,Water,NULL,Water,NULL,Wetland,Forest
674,Forest,Water,Water,NULL,Water,NULL,Water,Water
675,Forest,Water,Water,NULL,Water,NULL,Water,Forest
676,Forest,Water,Water,NULL,Water,NULL,Forest,Forest
677,Forest,Water,Water,NULL,Water,Grassland,Wetland,Forest
678,Forest,Water,Water,NULL,Water,Grassland,Water,Water
679,Forest,Water,Water,NULL,Water,Wetland,Wetland,Water
680,Forest,Water,Water,NULL,Water,Wetland,Wetland,Forest
681,Forest,Water,Water,NULL,Water,Wetland,Water,Grassland
682,Forest,Water,Water,NULL,Water,Wetland,Water,Water
683,Forest,Water,Water,NULL,Water,Wetland,Water,Forest
684,Forest,Water,Water,NULL,Water,Wetland,Forest,Water
685,Forest,Water,Water,NULL,Water,Wetland,Forest,Forest
686,Forest,Water,Water,NULL,Water,Water,Wetland,Water
687,Forest,Water,Water,NULL,Water,Water,Wetland,Forest
688,Forest,Water,Water,NULL,Water,Water,Water,Water
689,Forest,Water,Water,NULL,Water,Water,Water,Forest
690,Forest,Water,Water,NULL,Water,Water,Forest,Water
691,Forest,Water,Water,NULL,Water,Water,Forest,Forest
692,Forest,Water,Water,NULL,Water,Forest,Wetland,Water
693,Forest,Water,Water,NULL,Water,Forest,Wetland,Forest
694,Forest,Water,Water,NULL,Water,Forest,Water,Water
695,Forest,Water,Water,NULL,Water,Forest,Water,Forest
696,Forest,Water,Water,NULL,Water,Forest,Forest,Forest
697,Forest,Water,Water,Non_Water,Water,NULL,Wetland,Water
698,Forest,Water,Water,Non_Water,Water,NULL,Wetland,Forest
699,Forest,Water,Water,Non_Water,Water,NULL,Water,Water
700,Forest,Water,Water,Non_Water,Water,NULL,Water,Forest
701,Forest,Water,Water,Non_Water,Water,Grassland,Wetland,Water
702,Forest,Water,Water,Non_Water,Water,Grassland,Wetland,Forest
703,Forest,Water,Water,Non_Water,Water,Grassland,Water,Forest
704,Forest,Water,Water,Non_Water,Water,Wetland,Wetland,Grassland
705,Forest,Water,Water,Non_Water,Water,Wetland,Wetland,Water
706,Forest,Water,Water,Non_Water,Water,Wetland,Wetland,Forest
707,Forest,Water,Water,Non_Water,Water,Wetland,Water,Water
708,Forest,Water,Water,Non_Water,Water,Wetland,Water,Forest
709,Forest,Water,Water,Non_Water,Water,Water,Wetland,Water
710,Forest,Water,Water,Non_Water,Water,Water,Wetland,Forest
711,Forest,Water,Water,Non_Water,Water,Water,Water,Water
712,Forest,Water,Water,Non_Water,Water,Water,Water,Forest
713,Forest,Water,Water,Non_Water,Water,Forest,Wetland,Water
714,Forest,Water,Water,Non_Water,Water,Forest,Wetland,Forest
715,Forest,Water,Water,Non_Water,Water,Forest,Water,Water
716,Forest,Water,Water,Non_Water,Water,Forest,Water,Forest
717,Forest,Water,Water,Water,Water,NULL,Wetland,Water
718,Forest,Water,Water,Water,Water,NULL,Wetland,Forest
719,Forest,Water,Water,Water,Water,NULL,Water,Grassland
720,Forest,Water,Water,Water,Water,NULL,Water,Water
721,Forest,Water,Water,Water,Water,NULL,Water,Forest
722,Forest,Water,Water,Water,Water,Wetland,Wetland,Grassland
723,Forest,Water,Water,Water,Water,Wetland,Wetland,Water
724,Forest,Water,Water,Water,Water,Wetland,Wetland,Forest
725,Forest,Water,Water,Water,Water,Wetland,Water,Grassland
726,Forest,Water,Water,Water,Water,Wetland,Water,Water
727,Forest,Water,Water,Water,Water,Wetland,Water,Forest
728,Forest,Water,Water,Water,Water,Wetland,Forest,Forest
729,Forest,Water,Water,Water,Water,Water,Wetland,Grassland
730,Forest,Water,Water,Water,Water,Water,Wetland,Water
731,Forest,Water,Water,Water,Water,Water,Wetland,Forest
732,Forest,Water,Water,Water,Water,Water,Water,Grassland
733,Forest,Water,Water,Water,Water,Water,Water,Wetland
734,Forest,Water,Water,Water,Water,Water,Water,Water
735,Forest,Water,Water,Water,Water,Water,Water,Forest
736,Forest,Water,Water,Water,Water,Water,Forest,Water
737,Forest,Water,Water,Water,Water,Water,Forest,Forest
738,Forest,Water,Water,Water,Water,Forest,Wetland,Water
739,Forest,Water,Water,Water,Water,Forest,Wetland,Forest
740,Forest,Water,Water,Water,Water,Forest,Water,Water
741,Forest,Water,Water,Water,Water,Forest,Water,Forest
742,Forest,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Water
743,Forest,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
744,Forest,Water,Forest,NULL,Non_Wetland,NULL,Water,Water
745,Forest,Water,Forest,NULL,Non_Wetland,NULL,Water,Forest
746,Forest,Water,Forest,NULL,Non_Wetland,NULL,Forest,Water
747,Forest,Water,Forest,NULL,Non_Wetland,NULL,Forest,Forest
748,Forest,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Water
749,Forest,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
750,Forest,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
751,Forest,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
752,Forest,Water,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
753,Forest,Water,Forest,NULL,Non_Wetland,Wetland,Water,Water
754,Forest,Water,Forest,NULL,Non_Wetland,Wetland,Water,Forest
755,Forest,Water,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
756,Forest,Water,Forest,NULL,Non_Wetland,Wetland,Forest,Water
