Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MHA_M_R
2883,Grassland,Forest,Water,NULL,Water,Grassland,Grassland,Grassland
2884,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
2885,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
2886,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
2887,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
2888,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
2889,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
2890,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
2891,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
2892,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
2893,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
2894,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
2895,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
2896,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland,NULL,Forest
2897,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
2898,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland,Grassland,Cropland
2899,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
2900,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland,Forest,Grassland
2901,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
2902,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
2903,Grassland,Forest,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
2904,Grassland,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
2905,Grassland,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
2906,Grassland,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
2907,Grassland,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
2908,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
2909,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
2910,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
2911,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
2912,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
2913,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
2914,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
2915,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
2916,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
2917,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
2918,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
2919,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
2920,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
2921,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
2922,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
2923,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
2924,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
2925,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
2926,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
2927,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
2928,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Built-up
2929,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
2930,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
2931,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
2932,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
2933,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
2934,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
2935,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
2936,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
2937,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
2938,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
2939,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
2940,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
2941,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
2942,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
2943,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
2944,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
2945,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
2946,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
2947,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
2948,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
2949,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
2950,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
2951,Cropland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
2952,Cropland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
2953,Cropland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
2954,Cropland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
2955,Cropland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
2956,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
2957,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
2958,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
2959,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
2960,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
2961,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
2962,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
2963,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2964,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
2965,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
2966,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
2967,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
2968,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
2969,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
2970,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
2971,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
2972,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
2973,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
2974,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
2975,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
2976,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
2977,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
2978,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
2979,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
2980,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
2981,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
2982,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
2983,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
2984,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
2985,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Cropland
2986,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
2987,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
2988,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
2989,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
2990,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
2991,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
2992,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
2993,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
2994,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
2995,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
2996,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
2997,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2998,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
2999,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
3000,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
3001,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
3002,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
3003,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
3004,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
3005,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
3006,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
3007,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
3008,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
3009,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
3010,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
3011,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Cropland
3012,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
3013,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
3014,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
3015,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
3016,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
3017,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
3018,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
3019,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
3020,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Cropland
3021,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
3022,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
3023,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Cropland
3024,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
3025,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
3026,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland,NULL,Grassland
3027,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland,Grassland,Grassland
3028,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland,Grassland,Cropland
3029,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
3030,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
3031,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
3032,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
3033,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
3034,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3035,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
3036,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3037,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
3038,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
3039,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
3040,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
3041,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
3042,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
3043,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
3044,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
3045,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Cropland
3046,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
3047,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
3048,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
3049,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Bareland
3050,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Built-up
3051,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
3052,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
3053,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Cropland
3054,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Bareland
3055,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Water
3056,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
3057,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Grassland
3058,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
3059,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Forest
3060,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland,Built-up,Grassland
3061,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland,Built-up,Cropland
3062,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
3063,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Cropland
3064,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Bareland
3065,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Forest
3066,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
3067,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Cropland
3068,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
3069,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
3070,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
3071,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Cropland
3072,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Bareland
3073,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Built-up
3074,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
3075,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
3076,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
3077,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
3078,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Cropland
3079,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
3080,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
3081,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
3082,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
3083,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
3084,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
3085,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
3086,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
3087,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Built-up
3088,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
3089,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up,NULL,Grassland
3090,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up,NULL,Cropland
3091,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up,NULL,Forest
3092,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
3093,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
3094,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
3095,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Cropland
3096,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
3097,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
3098,Cropland,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Water
3099,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
3100,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
3101,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,NULL
3102,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
3103,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
3104,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
3105,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
3106,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
3107,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
3108,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Cropland
3109,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Forest
3110,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland,Grassland,Water
3111,Cropland,NULL,Grassland,Water,Non_Wetland,Water,Grassland,Water
3112,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
3113,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
3114,Cropland,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
3115,Cropland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
3116,Cropland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
3117,Cropland,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
3118,Cropland,NULL,Wetland,Water,Wetland,Water,Grassland,Water
3119,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland,NULL,Grassland
3120,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland,NULL,Cropland
3121,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland,NULL,Grassland
3122,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3123,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
3124,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland,NULL,Grassland
3125,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland,NULL,Cropland
3126,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland,NULL,Forest
3127,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland,Grassland,Grassland
3128,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland,Grassland,Cropland
3129,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland,Grassland,Forest
3130,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland,Forest,Grassland
3131,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland,Forest,Forest
3132,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
3133,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland,NULL,Grassland
3134,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
3135,Cropland,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Forest
3136,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,Grassland
3137,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
3138,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
3139,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Cropland
3140,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3141,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
3142,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
3143,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
3144,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
3145,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
3146,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland,NULL,Grassland
3147,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland,NULL,Cropland
3148,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland,NULL,Built-up
3149,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland,Grassland,Grassland
3150,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland,Grassland,Cropland
3151,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland,Built-up,Grassland
3152,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland,Built-up,Cropland
3153,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
3154,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
3155,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
3156,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
3157,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
3158,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
3159,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
3160,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
3161,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Built-up
3162,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,Grassland
3163,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
3164,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Forest
3165,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
3166,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
3167,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
3168,Cropland,NULL,Water,NULL,Water,Water,Grassland,Water
3169,Cropland,NULL,Water,Water,Water,Cropland,Grassland,Bareland
3170,Cropland,NULL,Water,Water,Water,Water,Grassland,Water
3171,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
3172,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
3173,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
3174,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
3175,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
3176,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
3177,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
3178,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
3179,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
3180,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
3181,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
3182,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Cropland
3183,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
3184,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
3185,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Cropland
3186,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Built-up
3187,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Forest
3188,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
3189,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Cropland
3190,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Bareland
3191,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Built-up
3192,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
3193,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland,Bareland,Grassland
3194,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland,Bareland,Forest
3195,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Grassland
3196,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Cropland
3197,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Bareland
3198,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
3199,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
3200,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
3201,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
