Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MNE_M_R
342,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
343,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Water,NULL
344,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
345,NULL,Forest,Forest,NULL,Non_Wetland,Built-up,Grassland,NULL
346,NULL,Forest,Forest,NULL,Non_Wetland,Built-up,Wetland,NULL
347,NULL,Forest,Forest,NULL,Non_Wetland,Water,Wetland,NULL
348,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
349,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,NULL
350,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
351,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
352,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
353,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
354,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
355,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
356,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,NULL
357,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Wetland,NULL
358,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
359,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
360,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
361,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
362,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
363,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
364,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
365,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,NULL
366,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,NULL
367,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
368,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
369,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
370,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland,NULL
371,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
372,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
373,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
374,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Water,NULL
375,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
376,Grassland,NULL,Wetland,NULL,Wetland,Water,Water,NULL
377,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,NULL
378,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
379,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,NULL
380,Grassland,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,NULL
381,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
382,Grassland,NULL,Built-up,NULL,Non_Wetland,Water,Wetland,NULL
383,Grassland,NULL,Water,NULL,Water,Wetland,Wetland,NULL
384,Grassland,NULL,Water,NULL,Water,Wetland,Water,NULL
385,Grassland,NULL,Water,NULL,Water,Water,Wetland,NULL
386,Grassland,NULL,Water,NULL,Water,Water,Water,NULL
387,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
388,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
389,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
390,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
391,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up,Wetland,NULL
392,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Wetland,NULL
393,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
394,Grassland,Wetland,NULL,NULL,Non_Wetland,Water,Wetland,NULL
395,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
396,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
397,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Water,NULL
398,Grassland,Wetland,Wetland,NULL,Wetland,Water,Wetland,NULL
399,Grassland,Wetland,Wetland,NULL,Wetland,Water,Water,NULL
400,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
401,Grassland,Wetland,Bareland,NULL,Non_Wetland,Water,Wetland,NULL
402,Grassland,Wetland,Water,NULL,Water,Wetland,Wetland,NULL
403,Grassland,Wetland,Water,NULL,Water,Wetland,Water,NULL
404,Grassland,Wetland,Water,NULL,Water,Water,Wetland,NULL
405,Grassland,Wetland,Water,NULL,Water,Water,Water,NULL
406,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
407,Grassland,Water,Wetland,NULL,Wetland,Water,Water,NULL
408,Grassland,Water,Water,NULL,Water,Wetland,Wetland,NULL
409,Grassland,Water,Water,NULL,Water,Water,Wetland,NULL
410,Grassland,Water,Water,NULL,Water,Water,Water,NULL
411,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,NULL
412,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Water,NULL
413,Grassland,Forest,Water,NULL,Water,Water,Wetland,NULL
414,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
415,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
416,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
417,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
418,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,NULL
419,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
420,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
421,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
422,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
423,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
424,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,NULL
425,Cropland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
426,Cropland,NULL,Wetland,NULL,Wetland,Wetland,Water,NULL
427,Cropland,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
428,Cropland,NULL,Wetland,NULL,Wetland,Water,Water,NULL
429,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
430,Cropland,NULL,Water,NULL,Water,Wetland,Wetland,NULL
431,Cropland,NULL,Water,NULL,Water,Wetland,Water,NULL
432,Cropland,NULL,Water,NULL,Water,Water,Wetland,NULL
433,Cropland,NULL,Water,NULL,Water,Water,Water,NULL
434,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
435,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
436,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
437,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
438,Cropland,Wetland,Wetland,NULL,Wetland,Wetland,Water,NULL
439,Cropland,Wetland,Water,NULL,Water,Wetland,Wetland,NULL
440,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,NULL
441,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,NULL
442,Cropland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,NULL
443,Cropland,Forest,Forest,NULL,Non_Wetland,Water,Wetland,NULL
444,Wetland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
445,Wetland,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
446,Wetland,NULL,NULL,NULL,Non_Wetland,Water,Wetland,NULL
447,Wetland,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
448,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
449,Wetland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
450,Wetland,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
451,Wetland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
452,Wetland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
453,Wetland,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,NULL
454,Wetland,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
455,Wetland,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,NULL
456,Wetland,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,NULL
457,Wetland,NULL,Grassland,NULL,Non_Wetland,Water,Water,NULL
458,Wetland,NULL,Wetland,NULL,Wetland,NULL,Wetland,NULL
459,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
460,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
461,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
462,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Water,NULL
463,Wetland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,NULL
464,Wetland,NULL,Wetland,NULL,Wetland,Water,Grassland,NULL
465,Wetland,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
466,Wetland,NULL,Wetland,NULL,Wetland,Water,Water,NULL
467,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,NULL
468,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
469,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
470,Wetland,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,NULL
471,Wetland,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,NULL
472,Wetland,NULL,Bareland,NULL,Non_Wetland,Water,Water,NULL
473,Wetland,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
474,Wetland,NULL,Built-up,NULL,Non_Wetland,Wetland,Water,NULL
475,Wetland,NULL,Built-up,NULL,Non_Wetland,Water,Wetland,NULL
476,Wetland,NULL,Built-up,NULL,Non_Wetland,Water,Water,NULL
477,Wetland,NULL,Water,NULL,Water,Wetland,Grassland,NULL
478,Wetland,NULL,Water,NULL,Water,Wetland,Wetland,NULL
479,Wetland,NULL,Water,NULL,Water,Wetland,Water,NULL
480,Wetland,NULL,Water,NULL,Water,Wetland,Forest,NULL
481,Wetland,NULL,Water,NULL,Water,Bareland,Water,NULL
482,Wetland,NULL,Water,NULL,Water,Water,Grassland,NULL
483,Wetland,NULL,Water,NULL,Water,Water,Wetland,NULL
484,Wetland,NULL,Water,NULL,Water,Water,Water,NULL
485,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
486,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Water,NULL
487,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
488,Wetland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,NULL
489,Wetland,NULL,Forest,NULL,Non_Wetland,Water,Wetland,NULL
490,Wetland,NULL,Forest,NULL,Non_Wetland,Water,Water,NULL
491,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL,Water,NULL
492,Wetland,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
493,Wetland,Wetland,NULL,NULL,Non_Wetland,Wetland,Water,NULL
494,Wetland,Wetland,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
495,Wetland,Wetland,NULL,NULL,Non_Wetland,Water,Wetland,NULL
496,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
497,Wetland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
498,Wetland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Water,NULL
499,Wetland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
500,Wetland,Wetland,Grassland,NULL,Non_Wetland,Water,Wetland,NULL
501,Wetland,Wetland,Grassland,NULL,Non_Wetland,Water,Water,NULL
502,Wetland,Wetland,Wetland,NULL,Wetland,NULL,Wetland,NULL
503,Wetland,Wetland,Wetland,NULL,Wetland,NULL,Water,NULL
504,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Grassland,NULL
505,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
506,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Water,NULL
507,Wetland,Wetland,Wetland,NULL,Wetland,Water,Wetland,NULL
508,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,NULL
509,Wetland,Wetland,Wetland,NULL,Wetland,Forest,Wetland,NULL
510,Wetland,Wetland,Wetland,NULL,Wetland,Forest,Water,NULL
511,Wetland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
512,Wetland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
513,Wetland,Wetland,Bareland,NULL,Non_Wetland,Water,Wetland,NULL
514,Wetland,Wetland,Bareland,NULL,Non_Wetland,Water,Water,NULL
515,Wetland,Wetland,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
516,Wetland,Wetland,Built-up,NULL,Non_Wetland,Wetland,Water,NULL
517,Wetland,Wetland,Built-up,NULL,Non_Wetland,Water,Wetland,NULL
518,Wetland,Wetland,Built-up,NULL,Non_Wetland,Water,Water,NULL
519,Wetland,Wetland,Water,NULL,Water,Wetland,Wetland,NULL
520,Wetland,Wetland,Water,NULL,Water,Wetland,Water,NULL
521,Wetland,Wetland,Water,NULL,Water,Water,Wetland,NULL
522,Wetland,Wetland,Water,NULL,Water,Water,Water,NULL
523,Wetland,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
524,Wetland,Wetland,Forest,NULL,Non_Wetland,Wetland,Water,NULL
525,Wetland,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,NULL
526,Wetland,Wetland,Forest,NULL,Non_Wetland,Water,Water,NULL
527,Wetland,Bareland,Wetland,NULL,Wetland,Water,Water,NULL
528,Wetland,Bareland,Water,NULL,Water,Wetland,Water,NULL
529,Wetland,Bareland,Water,NULL,Water,Water,Wetland,NULL
530,Wetland,Bareland,Water,NULL,Water,Water,Water,NULL
531,Wetland,Water,NULL,NULL,Non_Wetland,Water,Water,NULL
532,Wetland,Water,Wetland,NULL,Wetland,Wetland,Wetland,NULL
533,Wetland,Water,Wetland,NULL,Wetland,Wetland,Water,NULL
534,Wetland,Water,Wetland,NULL,Wetland,Water,Wetland,NULL
535,Wetland,Water,Wetland,NULL,Wetland,Water,Water,NULL
536,Wetland,Water,Bareland,NULL,Non_Wetland,Water,Water,NULL
537,Wetland,Water,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
538,Wetland,Water,Water,NULL,Water,Wetland,Wetland,NULL
539,Wetland,Water,Water,NULL,Water,Wetland,Water,NULL
540,Wetland,Water,Water,NULL,Water,Water,Wetland,NULL
541,Wetland,Water,Water,NULL,Water,Water,Water,NULL
542,Wetland,Water,Water,NULL,Water,Water,Forest,NULL
543,Wetland,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
544,Wetland,Water,Forest,NULL,Non_Wetland,Water,Wetland,NULL
545,Wetland,Forest,Wetland,NULL,Wetland,NULL,Wetland,NULL
546,Wetland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,NULL
547,Wetland,Forest,Wetland,NULL,Wetland,Wetland,Water,NULL
548,Wetland,Forest,Wetland,NULL,Wetland,Water,Grassland,NULL
549,Wetland,Forest,Wetland,NULL,Wetland,Water,Wetland,NULL
550,Wetland,Forest,Wetland,NULL,Wetland,Water,Water,NULL
551,Wetland,Forest,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
552,Wetland,Forest,Water,NULL,Water,Wetland,Wetland,NULL
553,Wetland,Forest,Water,NULL,Water,Wetland,Water,NULL
554,Wetland,Forest,Water,NULL,Water,Water,Wetland,NULL
555,Wetland,Forest,Water,NULL,Water,Water,Water,NULL
556,Bareland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
557,Bareland,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
558,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
559,Bareland,NULL,NULL,NULL,Non_Wetland,Water,Wetland,NULL
560,Bareland,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
561,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
562,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
563,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
564,Bareland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
565,Bareland,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
566,Bareland,NULL,Shrubland,NULL,Non_Wetland,Water,Water,NULL
567,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
568,Bareland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
569,Bareland,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,NULL
570,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,NULL
571,Bareland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
572,Bareland,NULL,Wetland,NULL,Wetland,Wetland,Water,NULL
573,Bareland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,NULL
574,Bareland,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
575,Bareland,NULL,Wetland,NULL,Wetland,Water,Water,NULL
576,Bareland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
577,Bareland,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
578,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,NULL
579,Bareland,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,NULL
580,Bareland,NULL,Bareland,NULL,Non_Wetland,Water,Water,NULL
581,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,NULL
582,Bareland,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
583,Bareland,NULL,Built-up,NULL,Non_Wetland,Wetland,Water,NULL
584,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,NULL
585,Bareland,NULL,Built-up,NULL,Non_Wetland,Water,Wetland,NULL
586,Bareland,NULL,Built-up,NULL,Non_Wetland,Water,Water,NULL
587,Bareland,NULL,Water,NULL,Water,Grassland,Wetland,NULL
588,Bareland,NULL,Water,NULL,Water,Wetland,Wetland,NULL
589,Bareland,NULL,Water,NULL,Water,Wetland,Water,NULL
590,Bareland,NULL,Water,NULL,Water,Water,Wetland,NULL
591,Bareland,NULL,Water,NULL,Water,Water,Water,NULL
592,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
593,Bareland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
594,Bareland,NULL,Forest,NULL,Non_Wetland,Wetland,Water,NULL
595,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
596,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Water,NULL
597,Bareland,NULL,Forest,NULL,Non_Wetland,Water,Wetland,NULL
598,Bareland,NULL,Forest,NULL,Non_Wetland,Water,Water,NULL
599,Bareland,Wetland,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
600,Bareland,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
601,Bareland,Wetland,NULL,NULL,Non_Wetland,Wetland,Water,NULL
602,Bareland,Wetland,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
603,Bareland,Wetland,NULL,NULL,Non_Wetland,Water,Wetland,NULL
604,Bareland,Wetland,NULL,NULL,Non_Wetland,Water,Water,NULL
605,Bareland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
606,Bareland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
607,Bareland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
608,Bareland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
609,Bareland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
610,Bareland,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
611,Bareland,Wetland,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
612,Bareland,Wetland,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
613,Bareland,Wetland,Shrubland,NULL,Non_Wetland,Water,Water,NULL
614,Bareland,Wetland,Grassland,NULL,Non_Wetland,Grassland,Water,NULL
615,Bareland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
616,Bareland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Water,NULL
617,Bareland,Wetland,Grassland,NULL,Non_Wetland,Bareland,Wetland,NULL
618,Bareland,Wetland,Grassland,NULL,Non_Wetland,Water,Wetland,NULL
619,Bareland,Wetland,Grassland,NULL,Non_Wetland,Water,Water,NULL
620,Bareland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
621,Bareland,Wetland,Wetland,NULL,Wetland,Wetland,Water,NULL
622,Bareland,Wetland,Wetland,NULL,Wetland,Bareland,Wetland,NULL
623,Bareland,Wetland,Wetland,NULL,Wetland,Bareland,Water,NULL
624,Bareland,Wetland,Wetland,NULL,Wetland,Water,Wetland,NULL
625,Bareland,Wetland,Wetland,NULL,Wetland,Water,Water,NULL
626,Bareland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
627,Bareland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
628,Bareland,Wetland,Bareland,NULL,Non_Wetland,Bareland,Wetland,NULL
629,Bareland,Wetland,Bareland,NULL,Non_Wetland,Bareland,Water,NULL
630,Bareland,Wetland,Bareland,NULL,Non_Wetland,Water,Wetland,NULL
631,Bareland,Wetland,Bareland,NULL,Non_Wetland,Water,Water,NULL
632,Bareland,Wetland,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
633,Bareland,Wetland,Built-up,NULL,Non_Wetland,Wetland,Water,NULL
634,Bareland,Wetland,Built-up,NULL,Non_Wetland,Bareland,Wetland,NULL
635,Bareland,Wetland,Built-up,NULL,Non_Wetland,Bareland,Water,NULL
636,Bareland,Wetland,Built-up,NULL,Non_Wetland,Water,Wetland,NULL
637,Bareland,Wetland,Built-up,NULL,Non_Wetland,Water,Water,NULL
638,Bareland,Wetland,Water,NULL,Water,Grassland,Wetland,NULL
639,Bareland,Wetland,Water,NULL,Water,Wetland,Wetland,NULL
640,Bareland,Wetland,Water,NULL,Water,Wetland,Water,NULL
641,Bareland,Wetland,Water,NULL,Water,Bareland,Wetland,NULL
642,Bareland,Wetland,Water,NULL,Water,Water,Wetland,NULL
643,Bareland,Wetland,Water,NULL,Water,Water,Water,NULL
644,Bareland,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
645,Bareland,Wetland,Forest,NULL,Non_Wetland,Wetland,Water,NULL
646,Bareland,Wetland,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
647,Bareland,Wetland,Forest,NULL,Non_Wetland,Bareland,Water,NULL
648,Bareland,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,NULL
649,Bareland,Wetland,Forest,NULL,Non_Wetland,Water,Water,NULL
650,Bareland,Bareland,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
651,Bareland,Bareland,NULL,NULL,Non_Wetland,Wetland,Water,NULL
652,Bareland,Bareland,NULL,NULL,Non_Wetland,Water,Wetland,NULL
653,Bareland,Bareland,NULL,NULL,Non_Wetland,Water,Water,NULL
654,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
655,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
656,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
657,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
658,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
659,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Water,Water,NULL
660,Bareland,Bareland,Grassland,NULL,Non_Wetland,Wetland,Water,NULL
661,Bareland,Bareland,Grassland,NULL,Non_Wetland,Water,Wetland,NULL
662,Bareland,Bareland,Grassland,NULL,Non_Wetland,Water,Water,NULL
663,Bareland,Bareland,Wetland,NULL,Wetland,Grassland,Wetland,NULL
664,Bareland,Bareland,Wetland,NULL,Wetland,Grassland,Water,NULL
665,Bareland,Bareland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
666,Bareland,Bareland,Wetland,NULL,Wetland,Wetland,Water,NULL
667,Bareland,Bareland,Wetland,NULL,Wetland,Bareland,Wetland,NULL
668,Bareland,Bareland,Wetland,NULL,Wetland,Water,Wetland,NULL
669,Bareland,Bareland,Wetland,NULL,Wetland,Water,Water,NULL
670,Bareland,Bareland,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
671,Bareland,Bareland,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
672,Bareland,Bareland,Bareland,NULL,Non_Wetland,Water,Wetland,NULL
673,Bareland,Bareland,Bareland,NULL,Non_Wetland,Water,Water,NULL
674,Bareland,Bareland,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
675,Bareland,Bareland,Built-up,NULL,Non_Wetland,Wetland,Water,NULL
676,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland,Water,NULL
677,Bareland,Bareland,Built-up,NULL,Non_Wetland,Water,Water,NULL
678,Bareland,Bareland,Water,NULL,Water,Grassland,Water,NULL
679,Bareland,Bareland,Water,NULL,Water,Wetland,Wetland,NULL
680,Bareland,Bareland,Water,NULL,Water,Wetland,Water,NULL
681,Bareland,Bareland,Water,NULL,Water,Bareland,Wetland,NULL
682,Bareland,Bareland,Water,NULL,Water,Bareland,Water,NULL
683,Bareland,Bareland,Water,NULL,Water,Water,Wetland,NULL
684,Bareland,Bareland,Water,NULL,Water,Water,Water,NULL
685,Bareland,Bareland,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
686,Bareland,Bareland,Forest,NULL,Non_Wetland,Wetland,Water,NULL
687,Bareland,Bareland,Forest,NULL,Non_Wetland,Water,Wetland,NULL
688,Bareland,Bareland,Forest,NULL,Non_Wetland,Water,Water,NULL
689,Bareland,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
690,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,NULL
691,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Wetland,NULL
