Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LTM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTM_M_R
7305,Cropland,Cropland,Forest,NULL,Non_Wetland,Built-up,NULL,Cropland
7306,Cropland,Cropland,Forest,NULL,Non_Wetland,Built-up,NULL,Forest
7307,Cropland,Cropland,Forest,NULL,Non_Wetland,Built-up,Shrubland,Cropland
7308,Cropland,Cropland,Forest,NULL,Non_Wetland,Built-up,Grassland,NULL
7309,Cropland,Cropland,Forest,NULL,Non_Wetland,Built-up,Built-up,NULL
7310,Cropland,Cropland,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
7311,Cropland,Cropland,Forest,NULL,Non_Wetland,Built-up,Built-up,Cropland
7312,Cropland,Cropland,Forest,NULL,Non_Wetland,Water,NULL,NULL
7313,Cropland,Cropland,Forest,NULL,Non_Wetland,Water,NULL,Forest
7314,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,NULL
7315,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
7316,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,Cropland
7317,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,Forest
7318,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest,Shrubland,NULL
7319,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest,Shrubland,Grassland
7320,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest,Shrubland,Cropland
7321,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
7322,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
7323,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
7324,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Cropland
7325,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
7326,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
7327,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,NULL
7328,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
7329,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Cropland
7330,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Wetland
7331,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Forest
7332,Cropland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
7333,Cropland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
7334,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
7335,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Forest,NULL,Forest
7336,Cropland,Cropland,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
7337,Cropland,Cropland,Forest,Water,Non_Wetland,Grassland,Forest,Grassland
7338,Cropland,Cropland,Forest,Water,Non_Wetland,Grassland,Forest,Cropland
7339,Cropland,Wetland,Cropland,NULL,Non_Wetland,Shrubland,Forest,Forest
7340,Cropland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Forest,NULL
7341,Cropland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
7342,Cropland,Wetland,Forest,NULL,Non_Wetland,NULL,Forest,Forest
7343,Cropland,Wetland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
7344,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
7345,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
7346,Cropland,Bareland,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
7347,Cropland,Bareland,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
7348,Cropland,Bareland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
7349,Cropland,Bareland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
7350,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,Bareland,Grassland
7351,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland,NULL,Grassland
7352,Cropland,Bareland,Bareland,NULL,Non_Wetland,Built-up,Built-up,Grassland
7353,Cropland,Bareland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
7354,Cropland,Bareland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
7355,Cropland,Bareland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
7356,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
7357,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
7358,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
7359,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
7360,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
7361,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,Shrubland,NULL
7362,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
7363,Cropland,Built-up,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
7364,Cropland,Built-up,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
7365,Cropland,Built-up,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
7366,Cropland,Built-up,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
7367,Cropland,Built-up,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
7368,Cropland,Built-up,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
7369,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
7370,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
7371,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
7372,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
7373,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
7374,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
7375,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
7376,Cropland,Built-up,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
7377,Cropland,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
7378,Cropland,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
7379,Cropland,Built-up,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
7380,Cropland,Built-up,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
7381,Cropland,Built-up,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
7382,Cropland,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
7383,Cropland,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
7384,Cropland,Built-up,NULL,Non_Water,Non_Wetland,Shrubland,Built-up,NULL
7385,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
7386,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
7387,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
7388,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
7389,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
7390,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
7391,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
7392,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
7393,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
7394,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
7395,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
7396,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
7397,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
7398,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
7399,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
7400,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
7401,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
7402,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
7403,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
7404,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
7405,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
7406,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
7407,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
7408,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
7409,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
7410,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
7411,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
7412,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
7413,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
7414,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
7415,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
7416,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
7417,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
7418,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,NULL
7419,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
7420,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
7421,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
7422,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Built-up
7423,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
7424,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
7425,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
7426,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
7427,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Water,Shrubland,NULL
7428,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
7429,Cropland,Built-up,Shrubland,Water,Non_Wetland,NULL,Built-up,Grassland
7430,Cropland,Built-up,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
7431,Cropland,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Forest,NULL
7432,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
7433,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
7434,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
7435,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
7436,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
7437,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
7438,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
7439,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
7440,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
7441,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
7442,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
7443,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,Shrubland,NULL
7444,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,NULL
7445,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
7446,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Cropland
7447,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Bareland
7448,Cropland,Built-up,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
7449,Cropland,Built-up,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
7450,Cropland,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
7451,Cropland,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Built-up,NULL
7452,Cropland,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
7453,Cropland,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
7454,Cropland,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Forest
7455,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
7456,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
7457,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
7458,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
7459,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
7460,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
7461,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
7462,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
7463,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,NULL
7464,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
7465,Cropland,Built-up,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
7466,Cropland,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
7467,Cropland,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
7468,Cropland,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
7469,Cropland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
7470,Cropland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,NULL
7471,Cropland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
7472,Cropland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,NULL
7473,Cropland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
7474,Cropland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Bareland
7475,Cropland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Built-up
7476,Cropland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
7477,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up,NULL,NULL
7478,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
7479,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up,NULL,Cropland
7480,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Shrubland,NULL
7481,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
7482,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
7483,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,NULL
7484,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
7485,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
7486,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
7487,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
7488,Cropland,Built-up,Bareland,NULL,Non_Wetland,Built-up,Built-up,Bareland
7489,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
7490,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
7491,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up,NULL
7492,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up,Grassland
7493,Cropland,Built-up,Built-up,NULL,Non_Wetland,Shrubland,NULL,NULL
7494,Cropland,Built-up,Built-up,NULL,Non_Wetland,Shrubland,NULL,Grassland
7495,Cropland,Built-up,Built-up,NULL,Non_Wetland,Shrubland,NULL,Built-up
7496,Cropland,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Built-up,NULL
7497,Cropland,Built-up,Built-up,NULL,Non_Wetland,Shrubland,Built-up,Built-up
7498,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Grassland
7499,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,NULL
7500,Cropland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Shrubland,NULL
7501,Cropland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,NULL
7502,Cropland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
7503,Cropland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
7504,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up,NULL,NULL
7505,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
7506,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,NULL
7507,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
7508,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Cropland
7509,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
7510,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
7511,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
7512,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
7513,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
7514,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
7515,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,Shrubland,NULL
7516,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,Built-up,Grassland
7517,Cropland,Built-up,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
7518,Cropland,Built-up,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
7519,Cropland,Built-up,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
7520,Cropland,Built-up,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
7521,Cropland,Built-up,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
7522,Cropland,Built-up,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
7523,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
7524,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
7525,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
7526,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
7527,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
7528,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
7529,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
7530,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
7531,Cropland,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
7532,Cropland,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
7533,Cropland,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,NULL
7534,Cropland,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Grassland
7535,Cropland,Built-up,Forest,NULL,Non_Wetland,Built-up,NULL,Grassland
7536,Cropland,Built-up,Forest,NULL,Non_Wetland,Built-up,Shrubland,NULL
7537,Cropland,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
7538,Cropland,Built-up,Forest,NULL,Non_Wetland,Water,NULL,NULL
7539,Cropland,Built-up,Forest,NULL,Non_Wetland,Water,NULL,Forest
7540,Cropland,Built-up,Forest,NULL,Non_Wetland,Water,Shrubland,Forest
7541,Cropland,Built-up,Forest,NULL,Non_Wetland,Water,Forest,Forest
7542,Cropland,Water,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
7543,Cropland,Water,Forest,NULL,Non_Wetland,Water,Water,Grassland
7544,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
7545,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
7546,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
7547,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,Shrubland,NULL
7548,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
7549,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,Shrubland,Bareland
7550,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
7551,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
7552,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
7553,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
7554,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
7555,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,Bareland,NULL
7556,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,Forest,NULL
7557,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
7558,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,Forest,Forest
7559,Cropland,Forest,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
7560,Cropland,Forest,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
7561,Cropland,Forest,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
7562,Cropland,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
7563,Cropland,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
7564,Cropland,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
7565,Cropland,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
7566,Cropland,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
7567,Cropland,Forest,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
7568,Cropland,Forest,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
7569,Cropland,Forest,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
7570,Cropland,Forest,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
7571,Cropland,Forest,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
7572,Cropland,Forest,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
7573,Cropland,Forest,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
7574,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
7575,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
7576,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
7577,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
7578,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
7579,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
7580,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
7581,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
7582,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
7583,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
7584,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
7585,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
7586,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
7587,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
7588,Cropland,Forest,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
7589,Cropland,Forest,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
7590,Cropland,Forest,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
7591,Cropland,Forest,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
7592,Cropland,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
7593,Cropland,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
7594,Cropland,Forest,NULL,NULL,Non_Wetland,Forest,NULL,NULL
7595,Cropland,Forest,NULL,NULL,Non_Wetland,Forest,NULL,Forest
7596,Cropland,Forest,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
7597,Cropland,Forest,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
7598,Cropland,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
7599,Cropland,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
7600,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
7601,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
7602,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
7603,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
7604,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
7605,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
7606,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
7607,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
7608,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
7609,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
7610,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
7611,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
7612,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
7613,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
7614,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
7615,Cropland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
7616,Cropland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
7617,Cropland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
7618,Cropland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
