Value,AFRICA_2024_DynamicWorld_2024_35NPD_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NPD_M_R,AFRICA_2024_GLC_FCS30D_2022_35NPD_M_R,AFRICA_2024_GSW_Yearly_2021_35NPD_M_R,AFRICA_2024_GWL_FCS30D_2022_35NPD_M_R,AFRICA_2024_WorldCover_2021_35NPD_M_R
453,Water,Water,Water,Water,Water,Water
454,Water,Water,Water,Water,Water,Forest
455,Water,Water,Forest,NULL,Non_Wetland,Grassland
456,Water,Water,Forest,NULL,Non_Wetland,Bareland
457,Water,Water,Forest,NULL,Non_Wetland,Water
458,Water,Water,Forest,NULL,Non_Wetland,Forest
459,Water,Water,Forest,Non_Water,Non_Wetland,Grassland
460,Water,Water,Forest,Non_Water,Non_Wetland,Water
461,Water,Water,Forest,Non_Water,Non_Wetland,Forest
462,Water,Water,Forest,Water,Non_Wetland,Grassland
463,Water,Water,Forest,Water,Non_Wetland,Bareland
464,Water,Water,Forest,Water,Non_Wetland,Water
465,Water,Water,Forest,Water,Non_Wetland,Forest
466,Water,Forest,NULL,NULL,Non_Wetland,NULL
467,Water,Forest,NULL,NULL,Non_Wetland,Grassland
468,Water,Forest,NULL,NULL,Non_Wetland,Forest
469,Water,Forest,Shrubland,NULL,Non_Wetland,NULL
470,Water,Forest,Shrubland,NULL,Non_Wetland,Grassland
471,Water,Forest,Shrubland,NULL,Non_Wetland,Forest
472,Water,Forest,Cropland,NULL,Non_Wetland,NULL
473,Water,Forest,Cropland,NULL,Non_Wetland,Grassland
474,Water,Forest,Cropland,NULL,Non_Wetland,Built-up
475,Water,Forest,Cropland,NULL,Non_Wetland,Forest
476,Water,Forest,Wetland,NULL,Wetland,Grassland
477,Water,Forest,Wetland,NULL,Wetland,Forest
478,Water,Forest,Wetland,Non_Water,Wetland,Grassland
479,Water,Forest,Bareland,NULL,Non_Wetland,Forest
480,Water,Forest,Bareland,Non_Water,Non_Wetland,Grassland
481,Water,Forest,Forest,NULL,Non_Wetland,NULL
482,Water,Forest,Forest,NULL,Non_Wetland,Grassland
483,Water,Forest,Forest,NULL,Non_Wetland,Forest
484,Water,Forest,Forest,Non_Water,Non_Wetland,Forest
485,Forest,NULL,NULL,NULL,Non_Wetland,NULL
486,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
487,Forest,NULL,NULL,NULL,Non_Wetland,Built-up
488,Forest,NULL,NULL,NULL,Non_Wetland,Forest
489,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
490,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
491,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland
492,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland
493,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
494,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
495,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
496,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
497,Forest,NULL,Cropland,NULL,Non_Wetland,Wetland
498,Forest,NULL,Cropland,NULL,Non_Wetland,Built-up
499,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
500,Forest,NULL,Wetland,NULL,Wetland,Grassland
501,Forest,NULL,Wetland,NULL,Wetland,Forest
502,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland
503,Forest,NULL,Bareland,NULL,Non_Wetland,Forest
504,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
505,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland
506,Forest,NULL,Built-up,NULL,Non_Wetland,Built-up
507,Forest,NULL,Built-up,NULL,Non_Wetland,Forest
508,Forest,NULL,Forest,NULL,Non_Wetland,NULL
509,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
510,Forest,NULL,Forest,NULL,Non_Wetland,Wetland
511,Forest,NULL,Forest,NULL,Non_Wetland,Bareland
512,Forest,NULL,Forest,NULL,Non_Wetland,Built-up
513,Forest,NULL,Forest,NULL,Non_Wetland,Forest
514,Forest,NULL,Forest,Non_Water,Non_Wetland,Grassland
515,Forest,NULL,Forest,Non_Water,Non_Wetland,Forest
516,Forest,NULL,Forest,Water,Non_Wetland,Grassland
517,Forest,Wetland,Shrubland,NULL,Non_Wetland,Forest
518,Forest,Wetland,Wetland,NULL,Wetland,Forest
519,Forest,Wetland,Bareland,NULL,Non_Wetland,Forest
520,Forest,Wetland,Forest,NULL,Non_Wetland,Grassland
521,Forest,Wetland,Forest,NULL,Non_Wetland,Forest
522,Forest,Built-up,NULL,NULL,Non_Wetland,NULL
523,Forest,Built-up,NULL,NULL,Non_Wetland,Grassland
524,Forest,Built-up,NULL,NULL,Non_Wetland,Built-up
525,Forest,Built-up,NULL,NULL,Non_Wetland,Forest
526,Forest,Built-up,NULL,Non_Water,Non_Wetland,Forest
527,Forest,Built-up,NULL,Water,Non_Wetland,Forest
528,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL
529,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland
530,Forest,Built-up,Shrubland,NULL,Non_Wetland,Built-up
531,Forest,Built-up,Shrubland,NULL,Non_Wetland,Forest
532,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL
533,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland
534,Forest,Built-up,Cropland,NULL,Non_Wetland,Cropland
535,Forest,Built-up,Cropland,NULL,Non_Wetland,Built-up
536,Forest,Built-up,Cropland,NULL,Non_Wetland,Forest
537,Forest,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
538,Forest,Built-up,Cropland,Non_Water,Non_Wetland,Forest
539,Forest,Built-up,Wetland,NULL,Wetland,Grassland
540,Forest,Built-up,Wetland,NULL,Wetland,Forest
541,Forest,Built-up,Wetland,Non_Water,Wetland,Forest
542,Forest,Built-up,Wetland,Water,Wetland,Built-up
543,Forest,Built-up,Wetland,Water,Wetland,Forest
544,Forest,Built-up,Bareland,NULL,Non_Wetland,Forest
545,Forest,Built-up,Bareland,Non_Water,Non_Wetland,Forest
546,Forest,Built-up,Built-up,NULL,Non_Wetland,NULL
547,Forest,Built-up,Built-up,NULL,Non_Wetland,Grassland
548,Forest,Built-up,Built-up,NULL,Non_Wetland,Cropland
549,Forest,Built-up,Built-up,NULL,Non_Wetland,Built-up
550,Forest,Built-up,Built-up,NULL,Non_Wetland,Forest
551,Forest,Built-up,Forest,NULL,Non_Wetland,NULL
552,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland
553,Forest,Built-up,Forest,NULL,Non_Wetland,Built-up
554,Forest,Built-up,Forest,NULL,Non_Wetland,Forest
555,Forest,Built-up,Forest,Non_Water,Non_Wetland,Forest
556,Forest,Water,NULL,NULL,Non_Wetland,Grassland
557,Forest,Water,NULL,NULL,Non_Wetland,Forest
558,Forest,Water,NULL,Water,Non_Wetland,Forest
559,Forest,Water,Shrubland,NULL,Non_Wetland,Grassland
560,Forest,Water,Shrubland,NULL,Non_Wetland,Bareland
561,Forest,Water,Shrubland,NULL,Non_Wetland,Water
562,Forest,Water,Shrubland,NULL,Non_Wetland,Forest
563,Forest,Water,Shrubland,Non_Water,Non_Wetland,Grassland
564,Forest,Water,Shrubland,Water,Non_Wetland,Grassland
565,Forest,Water,Shrubland,Water,Non_Wetland,Forest
566,Forest,Water,Grassland,NULL,Non_Wetland,Forest
567,Forest,Water,Cropland,NULL,Non_Wetland,Grassland
568,Forest,Water,Cropland,NULL,Non_Wetland,Forest
569,Forest,Water,Cropland,Non_Water,Non_Wetland,Forest
570,Forest,Water,Cropland,Water,Non_Wetland,Forest
571,Forest,Water,Wetland,NULL,Wetland,Grassland
572,Forest,Water,Wetland,NULL,Wetland,Water
573,Forest,Water,Wetland,NULL,Wetland,Forest
574,Forest,Water,Wetland,Non_Water,Wetland,Grassland
575,Forest,Water,Wetland,Non_Water,Wetland,Water
576,Forest,Water,Wetland,Non_Water,Wetland,Forest
577,Forest,Water,Wetland,Water,Wetland,NULL
578,Forest,Water,Wetland,Water,Wetland,Grassland
579,Forest,Water,Wetland,Water,Wetland,Water
580,Forest,Water,Wetland,Water,Wetland,Forest
581,Forest,Water,Bareland,NULL,Non_Wetland,Grassland
582,Forest,Water,Bareland,NULL,Non_Wetland,Water
583,Forest,Water,Bareland,NULL,Non_Wetland,Forest
584,Forest,Water,Bareland,Water,Non_Wetland,Water
585,Forest,Water,Bareland,Water,Non_Wetland,Forest
586,Forest,Water,Built-up,NULL,Non_Wetland,Forest
587,Forest,Water,Water,NULL,Water,Water
588,Forest,Water,Water,NULL,Water,Forest
589,Forest,Water,Water,Non_Water,Water,Water
590,Forest,Water,Water,Non_Water,Water,Forest
591,Forest,Water,Water,Water,Water,Grassland
592,Forest,Water,Water,Water,Water,Water
593,Forest,Water,Water,Water,Water,Forest
594,Forest,Water,Forest,NULL,Non_Wetland,NULL
595,Forest,Water,Forest,NULL,Non_Wetland,Grassland
596,Forest,Water,Forest,NULL,Non_Wetland,Water
597,Forest,Water,Forest,NULL,Non_Wetland,Forest
598,Forest,Water,Forest,Non_Water,Non_Wetland,Grassland
599,Forest,Water,Forest,Non_Water,Non_Wetland,Water
600,Forest,Water,Forest,Non_Water,Non_Wetland,Forest
601,Forest,Water,Forest,Water,Non_Wetland,Grassland
602,Forest,Water,Forest,Water,Non_Wetland,Water
603,Forest,Water,Forest,Water,Non_Wetland,Forest
604,Forest,Forest,NULL,NULL,Non_Wetland,NULL
605,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
606,Forest,Forest,NULL,NULL,Non_Wetland,Built-up
607,Forest,Forest,NULL,NULL,Non_Wetland,Forest
608,Forest,Forest,NULL,Non_Water,Non_Wetland,Forest
609,Forest,Forest,NULL,Water,Non_Wetland,Grassland
610,Forest,Forest,NULL,Water,Non_Wetland,Forest
611,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
612,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
613,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
614,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
615,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Forest
616,Forest,Forest,Shrubland,Water,Non_Wetland,Grassland
617,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
618,Forest,Forest,Grassland,NULL,Non_Wetland,Forest
619,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
620,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
621,Forest,Forest,Cropland,NULL,Non_Wetland,Wetland
622,Forest,Forest,Cropland,NULL,Non_Wetland,Built-up
623,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
624,Forest,Forest,Cropland,Non_Water,Non_Wetland,Grassland
625,Forest,Forest,Cropland,Non_Water,Non_Wetland,Forest
626,Forest,Forest,Cropland,Water,Non_Wetland,Grassland
627,Forest,Forest,Cropland,Water,Non_Wetland,Forest
628,Forest,Forest,Wetland,NULL,Wetland,NULL
629,Forest,Forest,Wetland,NULL,Wetland,Grassland
630,Forest,Forest,Wetland,NULL,Wetland,Forest
631,Forest,Forest,Wetland,Non_Water,Wetland,Water
632,Forest,Forest,Wetland,Non_Water,Wetland,Forest
633,Forest,Forest,Wetland,Water,Wetland,Grassland
634,Forest,Forest,Wetland,Water,Wetland,Forest
635,Forest,Forest,Bareland,NULL,Non_Wetland,NULL
636,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland
637,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
638,Forest,Forest,Bareland,Non_Water,Non_Wetland,Forest
639,Forest,Forest,Bareland,Water,Non_Wetland,Forest
640,Forest,Forest,Built-up,NULL,Non_Wetland,NULL
641,Forest,Forest,Built-up,NULL,Non_Wetland,Grassland
642,Forest,Forest,Built-up,NULL,Non_Wetland,Built-up
643,Forest,Forest,Built-up,NULL,Non_Wetland,Forest
644,Forest,Forest,Built-up,Non_Water,Non_Wetland,Forest
645,Forest,Forest,Water,NULL,Water,Forest
646,Forest,Forest,Water,Non_Water,Water,Forest
647,Forest,Forest,Water,Water,Water,Water
648,Forest,Forest,Water,Water,Water,Forest
649,Forest,Forest,Forest,NULL,Non_Wetland,NULL
650,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
651,Forest,Forest,Forest,NULL,Non_Wetland,Bareland
652,Forest,Forest,Forest,NULL,Non_Wetland,Built-up
653,Forest,Forest,Forest,NULL,Non_Wetland,Water
654,Forest,Forest,Forest,NULL,Non_Wetland,Forest
655,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL
656,Forest,Forest,Forest,Non_Water,Non_Wetland,Grassland
657,Forest,Forest,Forest,Non_Water,Non_Wetland,Water
658,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest
659,Forest,Forest,Forest,Water,Non_Wetland,NULL
660,Forest,Forest,Forest,Water,Non_Wetland,Grassland
661,Forest,Forest,Forest,Water,Non_Wetland,Water
662,Forest,Forest,Forest,Water,Non_Wetland,Forest
