Value,AFRICA_2024_DynamicWorld_2024_35PPL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PPL_M_R,AFRICA_2024_GLC_FCS30D_2022_35PPL_M_R,AFRICA_2024_GSW_Yearly_2021_35PPL_M_R,AFRICA_2024_GWL_FCS30D_2022_35PPL_M_R,AFRICA_2024_WorldCover_2021_35PPL_M_R
426,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
427,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland
428,Grassland,Cropland,Wetland,NULL,Wetland,NULL
429,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
430,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
431,Grassland,Cropland,Wetland,Non_Water,Wetland,Wetland
432,Grassland,Cropland,Bareland,NULL,Non_Wetland,Wetland
433,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
434,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland
435,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland
436,Grassland,Wetland,NULL,Water,Non_Wetland,Wetland
437,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL
438,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
439,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
440,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
441,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
442,Grassland,Wetland,Shrubland,Water,Non_Wetland,Grassland
443,Grassland,Wetland,Shrubland,Water,Non_Wetland,Wetland
444,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland
445,Grassland,Wetland,Wetland,NULL,Wetland,NULL
446,Grassland,Wetland,Wetland,NULL,Wetland,Grassland
447,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
448,Grassland,Wetland,Wetland,NULL,Wetland,Forest
449,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland
450,Grassland,Wetland,Wetland,Water,Wetland,Wetland
451,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland
452,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
453,Grassland,Wetland,Bareland,Water,Non_Wetland,Grassland
454,Grassland,Wetland,Bareland,Water,Non_Wetland,Wetland
455,Grassland,Wetland,Built-up,NULL,Non_Wetland,Wetland
456,Grassland,Wetland,Water,NULL,Water,Wetland
457,Grassland,Wetland,Water,Non_Water,Water,Wetland
458,Grassland,Wetland,Water,Water,Water,Wetland
459,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
460,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland
461,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
462,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
463,Grassland,Wetland,Forest,Water,Non_Wetland,Wetland
464,Grassland,Bareland,Shrubland,Non_Water,Non_Wetland,Wetland
465,Grassland,Bareland,Shrubland,Water,Non_Wetland,Wetland
466,Grassland,Bareland,Wetland,Non_Water,Wetland,Wetland
467,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland
468,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest
469,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
470,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Wetland
471,Grassland,Water,Shrubland,Water,Non_Wetland,Wetland
472,Grassland,Water,Wetland,NULL,Wetland,Wetland
473,Grassland,Water,Wetland,Non_Water,Wetland,Wetland
474,Grassland,Water,Wetland,Water,Wetland,Wetland
475,Grassland,Water,Bareland,NULL,Non_Wetland,Wetland
476,Grassland,Water,Forest,Non_Water,Non_Wetland,Wetland
477,Grassland,Water,Forest,Water,Non_Wetland,Wetland
478,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
479,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
480,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
481,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
482,Grassland,Forest,NULL,Non_Water,Non_Wetland,Grassland
483,Grassland,Forest,NULL,Non_Water,Non_Wetland,Wetland
484,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
485,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
486,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
487,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
488,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
489,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL
490,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
491,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
492,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
493,Grassland,Forest,Shrubland,Water,Non_Wetland,Wetland
494,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
495,Grassland,Forest,Grassland,NULL,Non_Wetland,Cropland
496,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland
497,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
498,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
499,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Wetland
500,Grassland,Forest,Wetland,NULL,Wetland,NULL
501,Grassland,Forest,Wetland,NULL,Wetland,Grassland
502,Grassland,Forest,Wetland,NULL,Wetland,Cropland
503,Grassland,Forest,Wetland,NULL,Wetland,Wetland
504,Grassland,Forest,Wetland,NULL,Wetland,Forest
505,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland
506,Grassland,Forest,Wetland,Non_Water,Wetland,Forest
507,Grassland,Forest,Wetland,Water,Wetland,Grassland
508,Grassland,Forest,Wetland,Water,Wetland,Wetland
509,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
510,Grassland,Forest,Bareland,NULL,Non_Wetland,Wetland
511,Grassland,Forest,Bareland,Non_Water,Non_Wetland,Wetland
512,Grassland,Forest,Built-up,NULL,Non_Wetland,NULL
513,Grassland,Forest,Built-up,NULL,Non_Wetland,Grassland
514,Grassland,Forest,Built-up,NULL,Non_Wetland,Wetland
515,Grassland,Forest,Water,NULL,Water,Forest
516,Grassland,Forest,Water,Non_Water,Water,Wetland
517,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
518,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
519,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
520,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
521,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland
522,Grassland,Forest,Forest,Non_Water,Non_Wetland,Wetland
523,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest
524,Grassland,Forest,Forest,Water,Non_Wetland,Wetland
525,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
526,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
527,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
528,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
529,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
530,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
531,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
532,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
533,Cropland,NULL,NULL,Non_Water,Non_Wetland,Cropland
534,Cropland,NULL,NULL,Non_Water,Non_Wetland,Wetland
535,Cropland,NULL,NULL,Non_Water,Non_Wetland,Bareland
536,Cropland,NULL,NULL,Water,Non_Wetland,Grassland
537,Cropland,NULL,NULL,Water,Non_Wetland,Wetland
538,Cropland,NULL,NULL,Water,Non_Wetland,Water
539,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
540,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
541,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
542,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
543,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
544,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
545,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water
546,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
547,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
548,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
549,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
550,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
551,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
552,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
553,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
554,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
555,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland
556,Cropland,NULL,Shrubland,Water,Non_Wetland,Water
557,Cropland,NULL,Shrubland,Water,Non_Wetland,Forest
558,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
559,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
560,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
561,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
562,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
563,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
564,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
565,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
566,Cropland,NULL,Grassland,Water,Non_Wetland,Wetland
567,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
568,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
569,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
570,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
571,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
572,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
573,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
574,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
575,Cropland,NULL,Cropland,Water,Non_Wetland,Wetland
576,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland
577,Cropland,NULL,Cropland,Water,Non_Wetland,Water
578,Cropland,NULL,Wetland,NULL,Wetland,NULL
579,Cropland,NULL,Wetland,NULL,Wetland,Grassland
580,Cropland,NULL,Wetland,NULL,Wetland,Cropland
581,Cropland,NULL,Wetland,NULL,Wetland,Wetland
582,Cropland,NULL,Wetland,NULL,Wetland,Built-up
583,Cropland,NULL,Wetland,NULL,Wetland,Forest
584,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland
585,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland
586,Cropland,NULL,Wetland,Water,Wetland,Grassland
587,Cropland,NULL,Wetland,Water,Wetland,Wetland
588,Cropland,NULL,Wetland,Water,Wetland,Forest
589,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
590,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
591,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
592,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
593,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
594,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
595,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
596,Cropland,NULL,Bareland,Water,Non_Wetland,Wetland
597,Cropland,NULL,Bareland,Water,Non_Wetland,Water
598,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
599,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
600,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
601,Cropland,NULL,Built-up,NULL,Non_Wetland,Wetland
602,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
603,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
604,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
605,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
606,Cropland,NULL,Built-up,Water,Non_Wetland,Wetland
607,Cropland,NULL,Water,Water,Water,Grassland
608,Cropland,NULL,Water,Water,Water,Wetland
609,Cropland,NULL,Water,Water,Water,Water
610,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
611,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
612,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
613,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
614,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
615,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
616,Cropland,NULL,Forest,Non_Water,Non_Wetland,Wetland
617,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
618,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
619,Cropland,NULL,Forest,Water,Non_Wetland,Wetland
620,Cropland,NULL,Forest,Water,Non_Wetland,Water
621,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
622,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
623,Cropland,Cropland,NULL,NULL,Non_Wetland,Wetland
624,Cropland,Cropland,NULL,Water,Non_Wetland,Grassland
625,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
626,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
627,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
628,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
629,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
630,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
631,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
632,Cropland,Cropland,Shrubland,Water,Non_Wetland,Grassland
633,Cropland,Cropland,Shrubland,Water,Non_Wetland,Wetland
634,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
635,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
636,Cropland,Cropland,Grassland,NULL,Non_Wetland,Wetland
637,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
638,Cropland,Cropland,Grassland,Water,Non_Wetland,Wetland
639,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
640,Cropland,Cropland,Wetland,NULL,Wetland,NULL
641,Cropland,Cropland,Wetland,NULL,Wetland,Grassland
642,Cropland,Cropland,Wetland,NULL,Wetland,Wetland
643,Cropland,Cropland,Wetland,NULL,Wetland,Built-up
644,Cropland,Cropland,Wetland,NULL,Wetland,Forest
645,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
646,Cropland,Cropland,Built-up,NULL,Non_Wetland,Wetland
647,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
648,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
649,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland
650,Cropland,Wetland,NULL,NULL,Non_Wetland,Grassland
651,Cropland,Wetland,NULL,NULL,Non_Wetland,Wetland
652,Cropland,Wetland,NULL,NULL,Non_Wetland,Built-up
653,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL
654,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
655,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Cropland
656,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
657,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Built-up
658,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Forest
659,Cropland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
660,Cropland,Wetland,Shrubland,Water,Non_Wetland,Grassland
661,Cropland,Wetland,Shrubland,Water,Non_Wetland,Wetland
662,Cropland,Wetland,Grassland,NULL,Non_Wetland,Grassland
663,Cropland,Wetland,Grassland,NULL,Non_Wetland,Wetland
664,Cropland,Wetland,Grassland,NULL,Non_Wetland,Bareland
665,Cropland,Wetland,Grassland,Water,Non_Wetland,Grassland
666,Cropland,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
667,Cropland,Wetland,Wetland,NULL,Wetland,NULL
668,Cropland,Wetland,Wetland,NULL,Wetland,Grassland
669,Cropland,Wetland,Wetland,NULL,Wetland,Wetland
670,Cropland,Wetland,Wetland,NULL,Wetland,Forest
671,Cropland,Wetland,Wetland,Non_Water,Wetland,Wetland
672,Cropland,Wetland,Wetland,Water,Wetland,Grassland
673,Cropland,Wetland,Wetland,Water,Wetland,Wetland
674,Cropland,Wetland,Bareland,NULL,Non_Wetland,Wetland
675,Cropland,Wetland,Bareland,Water,Non_Wetland,Wetland
676,Cropland,Wetland,Built-up,NULL,Non_Wetland,Cropland
677,Cropland,Wetland,Built-up,NULL,Non_Wetland,Wetland
678,Cropland,Wetland,Forest,NULL,Non_Wetland,Grassland
679,Cropland,Wetland,Forest,NULL,Non_Wetland,Wetland
680,Cropland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
681,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Wetland
682,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
683,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
684,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
685,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
686,Cropland,Built-up,NULL,NULL,Non_Wetland,Wetland
687,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
688,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
689,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Wetland
690,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Forest
691,Cropland,Built-up,Shrubland,Water,Non_Wetland,Bareland
692,Cropland,Built-up,Shrubland,Water,Non_Wetland,Water
693,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
694,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
695,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
696,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up
697,Cropland,Built-up,Cropland,Water,Non_Wetland,Grassland
698,Cropland,Built-up,Bareland,Water,Non_Wetland,Bareland
699,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
700,Cropland,Built-up,Built-up,NULL,Non_Wetland,Cropland
701,Cropland,Built-up,Built-up,NULL,Non_Wetland,Wetland
702,Cropland,Built-up,Built-up,NULL,Non_Wetland,Bareland
703,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL
704,Cropland,Built-up,Forest,Non_Water,Non_Wetland,Wetland
705,Cropland,Water,NULL,NULL,Non_Wetland,Forest
706,Cropland,Water,Shrubland,NULL,Non_Wetland,Grassland
707,Cropland,Water,Shrubland,NULL,Non_Wetland,Wetland
708,Cropland,Water,Shrubland,NULL,Non_Wetland,Forest
709,Cropland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
710,Cropland,Water,Shrubland,Non_Water,Non_Wetland,Wetland
711,Cropland,Water,Shrubland,Water,Non_Wetland,Forest
712,Cropland,Water,Wetland,NULL,Wetland,Wetland
713,Cropland,Water,Water,Water,Water,Water
714,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
715,Cropland,Forest,NULL,NULL,Non_Wetland,Wetland
716,Cropland,Forest,NULL,NULL,Non_Wetland,Forest
717,Cropland,Forest,NULL,Water,Non_Wetland,Grassland
718,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
719,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
720,Cropland,Forest,Shrubland,NULL,Non_Wetland,Cropland
721,Cropland,Forest,Shrubland,NULL,Non_Wetland,Wetland
722,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
723,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
724,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
725,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
726,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
727,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
728,Cropland,Forest,Grassland,NULL,Non_Wetland,Wetland
729,Cropland,Forest,Cropland,NULL,Non_Wetland,Wetland
730,Cropland,Forest,Wetland,NULL,Wetland,NULL
731,Cropland,Forest,Wetland,NULL,Wetland,Grassland
732,Cropland,Forest,Wetland,NULL,Wetland,Wetland
733,Cropland,Forest,Wetland,NULL,Wetland,Forest
734,Cropland,Forest,Wetland,Water,Wetland,Wetland
735,Cropland,Forest,Bareland,NULL,Non_Wetland,Grassland
736,Cropland,Forest,Bareland,NULL,Non_Wetland,Wetland
737,Cropland,Forest,Built-up,NULL,Non_Wetland,Grassland
738,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
739,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
740,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland
741,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
742,Cropland,Forest,Forest,Non_Water,Non_Wetland,Forest
743,Wetland,NULL,NULL,NULL,Non_Wetland,NULL
744,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
745,Wetland,NULL,NULL,NULL,Non_Wetland,Cropland
746,Wetland,NULL,NULL,NULL,Non_Wetland,Wetland
747,Wetland,NULL,NULL,NULL,Non_Wetland,Bareland
748,Wetland,NULL,NULL,NULL,Non_Wetland,Built-up
749,Wetland,NULL,NULL,NULL,Non_Wetland,Water
750,Wetland,NULL,NULL,NULL,Non_Wetland,Forest
751,Wetland,NULL,NULL,Non_Water,Non_Wetland,Grassland
752,Wetland,NULL,NULL,Non_Water,Non_Wetland,Wetland
753,Wetland,NULL,NULL,Non_Water,Non_Wetland,Forest
754,Wetland,NULL,NULL,Water,Non_Wetland,Grassland
755,Wetland,NULL,NULL,Water,Non_Wetland,Wetland
756,Wetland,NULL,NULL,Water,Non_Wetland,Bareland
757,Wetland,NULL,NULL,Water,Non_Wetland,Water
758,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
759,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
760,Wetland,NULL,Shrubland,NULL,Non_Wetland,Cropland
761,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
762,Wetland,NULL,Shrubland,NULL,Non_Wetland,Bareland
763,Wetland,NULL,Shrubland,NULL,Non_Wetland,Built-up
764,Wetland,NULL,Shrubland,NULL,Non_Wetland,Water
765,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
766,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
767,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
768,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
769,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
770,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Water
771,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
772,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL
773,Wetland,NULL,Shrubland,Water,Non_Wetland,Grassland
774,Wetland,NULL,Shrubland,Water,Non_Wetland,Cropland
775,Wetland,NULL,Shrubland,Water,Non_Wetland,Wetland
776,Wetland,NULL,Shrubland,Water,Non_Wetland,Bareland
777,Wetland,NULL,Shrubland,Water,Non_Wetland,Built-up
778,Wetland,NULL,Shrubland,Water,Non_Wetland,Water
779,Wetland,NULL,Shrubland,Water,Non_Wetland,Forest
780,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL
781,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
782,Wetland,NULL,Grassland,NULL,Non_Wetland,Cropland
783,Wetland,NULL,Grassland,NULL,Non_Wetland,Wetland
784,Wetland,NULL,Grassland,NULL,Non_Wetland,Bareland
785,Wetland,NULL,Grassland,NULL,Non_Wetland,Built-up
786,Wetland,NULL,Grassland,NULL,Non_Wetland,Forest
787,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
788,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
789,Wetland,NULL,Grassland,Water,Non_Wetland,Grassland
790,Wetland,NULL,Grassland,Water,Non_Wetland,Wetland
791,Wetland,NULL,Grassland,Water,Non_Wetland,Bareland
792,Wetland,NULL,Grassland,Water,Non_Wetland,Water
793,Wetland,NULL,Cropland,NULL,Non_Wetland,Grassland
794,Wetland,NULL,Cropland,NULL,Non_Wetland,Cropland
795,Wetland,NULL,Cropland,NULL,Non_Wetland,Wetland
796,Wetland,NULL,Cropland,NULL,Non_Wetland,Bareland
797,Wetland,NULL,Cropland,NULL,Non_Wetland,Built-up
798,Wetland,NULL,Cropland,NULL,Non_Wetland,Water
799,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
800,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
801,Wetland,NULL,Cropland,Water,Non_Wetland,Grassland
802,Wetland,NULL,Cropland,Water,Non_Wetland,Wetland
803,Wetland,NULL,Cropland,Water,Non_Wetland,Bareland
804,Wetland,NULL,Cropland,Water,Non_Wetland,Water
805,Wetland,NULL,Wetland,NULL,Wetland,NULL
806,Wetland,NULL,Wetland,NULL,Wetland,Grassland
807,Wetland,NULL,Wetland,NULL,Wetland,Cropland
808,Wetland,NULL,Wetland,NULL,Wetland,Wetland
809,Wetland,NULL,Wetland,NULL,Wetland,Bareland
810,Wetland,NULL,Wetland,NULL,Wetland,Built-up
811,Wetland,NULL,Wetland,NULL,Wetland,Water
812,Wetland,NULL,Wetland,NULL,Wetland,Forest
813,Wetland,NULL,Wetland,Non_Water,Wetland,NULL
814,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland
815,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland
816,Wetland,NULL,Wetland,Non_Water,Wetland,Bareland
817,Wetland,NULL,Wetland,Non_Water,Wetland,Forest
818,Wetland,NULL,Wetland,Water,Wetland,NULL
819,Wetland,NULL,Wetland,Water,Wetland,Grassland
820,Wetland,NULL,Wetland,Water,Wetland,Wetland
821,Wetland,NULL,Wetland,Water,Wetland,Forest
822,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
823,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
824,Wetland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
825,Wetland,NULL,Bareland,NULL,Non_Wetland,Grassland
826,Wetland,NULL,Bareland,NULL,Non_Wetland,Cropland
827,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland
828,Wetland,NULL,Bareland,NULL,Non_Wetland,Bareland
829,Wetland,NULL,Bareland,NULL,Non_Wetland,Water
830,Wetland,NULL,Bareland,NULL,Non_Wetland,Forest
831,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
832,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
833,Wetland,NULL,Bareland,Water,Non_Wetland,Grassland
834,Wetland,NULL,Bareland,Water,Non_Wetland,Wetland
835,Wetland,NULL,Bareland,Water,Non_Wetland,Bareland
836,Wetland,NULL,Bareland,Water,Non_Wetland,Water
837,Wetland,NULL,Built-up,NULL,Non_Wetland,NULL
838,Wetland,NULL,Built-up,NULL,Non_Wetland,Grassland
839,Wetland,NULL,Built-up,NULL,Non_Wetland,Cropland
840,Wetland,NULL,Built-up,NULL,Non_Wetland,Wetland
841,Wetland,NULL,Built-up,NULL,Non_Wetland,Bareland
842,Wetland,NULL,Built-up,NULL,Non_Wetland,Built-up
843,Wetland,NULL,Built-up,NULL,Non_Wetland,Water
844,Wetland,NULL,Built-up,NULL,Non_Wetland,Forest
845,Wetland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
846,Wetland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
847,Wetland,NULL,Built-up,Water,Non_Wetland,Grassland
848,Wetland,NULL,Built-up,Water,Non_Wetland,Wetland
849,Wetland,NULL,Built-up,Water,Non_Wetland,Forest
