Value,AFRICA_2024_DynamicWorld_2024_37PHK_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PHK_M_R,AFRICA_2024_GLC_FCS30D_2022_37PHK_M_R,AFRICA_2024_GSW_Yearly_2021_37PHK_M_R,AFRICA_2024_GWL_FCS30D_2022_37PHK_M_R,AFRICA_2024_WorldCover_2021_37PHK_M_R
421,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
422,Cropland,Bareland,Grassland,NULL,Non_Wetland,Cropland
423,Cropland,Bareland,Cropland,NULL,Non_Wetland,Cropland
424,Cropland,Bareland,Water,NULL,Water,Cropland
425,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL
426,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
427,Cropland,Built-up,NULL,NULL,Non_Wetland,Cropland
428,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL
429,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
430,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
431,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
432,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
433,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL
434,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
435,Cropland,Built-up,Grassland,NULL,Non_Wetland,Cropland
436,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
437,Cropland,Built-up,Grassland,NULL,Non_Wetland,Built-up
438,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL
439,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
440,Cropland,Built-up,Cropland,NULL,Non_Wetland,Cropland
441,Cropland,Built-up,Cropland,NULL,Non_Wetland,Bareland
442,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up
443,Cropland,Built-up,Cropland,NULL,Non_Wetland,Forest
444,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL
445,Cropland,Built-up,Bareland,NULL,Non_Wetland,Grassland
446,Cropland,Built-up,Bareland,NULL,Non_Wetland,Cropland
447,Cropland,Built-up,Bareland,NULL,Non_Wetland,Bareland
448,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
449,Cropland,Built-up,Built-up,NULL,Non_Wetland,Cropland
450,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL
451,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
452,Cropland,Built-up,Forest,NULL,Non_Wetland,Cropland
453,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
454,Cropland,Water,NULL,NULL,Non_Wetland,Grassland
455,Cropland,Water,Shrubland,NULL,Non_Wetland,Grassland
456,Cropland,Water,Shrubland,NULL,Non_Wetland,Cropland
457,Cropland,Water,Shrubland,NULL,Non_Wetland,Bareland
458,Cropland,Water,Grassland,NULL,Non_Wetland,Grassland
459,Cropland,Water,Grassland,NULL,Non_Wetland,Cropland
460,Cropland,Water,Grassland,NULL,Non_Wetland,Bareland
461,Cropland,Water,Cropland,NULL,Non_Wetland,NULL
462,Cropland,Water,Cropland,NULL,Non_Wetland,Grassland
463,Cropland,Water,Cropland,NULL,Non_Wetland,Cropland
464,Cropland,Water,Cropland,NULL,Non_Wetland,Bareland
465,Cropland,Water,Cropland,NULL,Non_Wetland,Forest
466,Cropland,Water,Bareland,NULL,Non_Wetland,Cropland
467,Cropland,Water,Bareland,NULL,Non_Wetland,Bareland
468,Cropland,Water,Bareland,NULL,Non_Wetland,Water
469,Cropland,Water,Built-up,NULL,Non_Wetland,Cropland
470,Cropland,Water,Water,NULL,Water,Grassland
471,Cropland,Water,Water,NULL,Water,Cropland
472,Cropland,Water,Water,NULL,Water,Bareland
473,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
474,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
475,Cropland,Forest,NULL,NULL,Non_Wetland,Cropland
476,Cropland,Forest,NULL,NULL,Non_Wetland,Forest
477,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
478,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
479,Cropland,Forest,Shrubland,NULL,Non_Wetland,Cropland
480,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
481,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
482,Cropland,Forest,Grassland,NULL,Non_Wetland,Cropland
483,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
484,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
485,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
486,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland
487,Cropland,Forest,Cropland,NULL,Non_Wetland,Bareland
488,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
489,Cropland,Forest,Wetland,NULL,Wetland,Forest
490,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL
491,Cropland,Forest,Bareland,NULL,Non_Wetland,Grassland
492,Cropland,Forest,Built-up,NULL,Non_Wetland,Cropland
493,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
494,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
495,Cropland,Forest,Forest,NULL,Non_Wetland,Cropland
496,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland
497,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
498,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
499,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
500,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
501,Wetland,NULL,Shrubland,NULL,Non_Wetland,Cropland
502,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
503,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL
504,Wetland,NULL,Cropland,NULL,Non_Wetland,Grassland
505,Wetland,NULL,Cropland,NULL,Non_Wetland,Cropland
506,Wetland,NULL,Cropland,NULL,Non_Wetland,Forest
507,Wetland,NULL,Water,Non_Water,Water,Wetland
508,Wetland,NULL,Forest,NULL,Non_Wetland,NULL
509,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
510,Wetland,NULL,Forest,NULL,Non_Wetland,Cropland
511,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
512,Wetland,NULL,Forest,Non_Water,Non_Wetland,Grassland
513,Wetland,NULL,Forest,Non_Water,Non_Wetland,Wetland
514,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL
515,Wetland,Wetland,NULL,NULL,Non_Wetland,Cropland
516,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL
517,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Cropland
518,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Forest
519,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
520,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Cropland
521,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
522,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
523,Wetland,Wetland,Cropland,NULL,Non_Wetland,Forest
524,Wetland,Wetland,Bareland,NULL,Non_Wetland,Forest
525,Wetland,Wetland,Water,Non_Water,Water,Cropland
526,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL
527,Wetland,Wetland,Forest,NULL,Non_Wetland,Cropland
528,Wetland,Wetland,Forest,NULL,Non_Wetland,Forest
529,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL
530,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Cropland
531,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
532,Wetland,Wetland,Forest,Water,Non_Wetland,Cropland
533,Wetland,Forest,NULL,NULL,Non_Wetland,Forest
534,Wetland,Forest,Cropland,NULL,Non_Wetland,NULL
535,Wetland,Forest,Forest,NULL,Non_Wetland,NULL
536,Wetland,Forest,Forest,NULL,Non_Wetland,Grassland
537,Wetland,Forest,Forest,NULL,Non_Wetland,Forest
538,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
539,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
540,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland
541,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
542,Bareland,NULL,NULL,NULL,Non_Wetland,Built-up
543,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
544,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
545,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
546,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
547,Bareland,NULL,Shrubland,NULL,Non_Wetland,Built-up
548,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest
549,Bareland,NULL,Shrubland,Water,Non_Wetland,Grassland
550,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
551,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
552,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
553,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
554,Bareland,NULL,Grassland,NULL,Non_Wetland,Built-up
555,Bareland,NULL,Grassland,NULL,Non_Wetland,Water
556,Bareland,NULL,Grassland,NULL,Non_Wetland,Forest
557,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
558,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
559,Bareland,NULL,Grassland,Water,Non_Wetland,Grassland
560,Bareland,NULL,Grassland,Water,Non_Wetland,Bareland
561,Bareland,NULL,Grassland,Water,Non_Wetland,Water
562,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
563,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
564,Bareland,NULL,Cropland,NULL,Non_Wetland,Cropland
565,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
566,Bareland,NULL,Cropland,NULL,Non_Wetland,Water
567,Bareland,NULL,Cropland,NULL,Non_Wetland,Forest
568,Bareland,NULL,Cropland,Water,Non_Wetland,Grassland
569,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
570,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
571,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
572,Bareland,NULL,Bareland,NULL,Non_Wetland,Cropland
573,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
574,Bareland,NULL,Bareland,NULL,Non_Wetland,Water
575,Bareland,NULL,Bareland,NULL,Non_Wetland,Forest
576,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL
577,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
578,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
579,Bareland,NULL,Water,NULL,Water,Grassland
580,Bareland,NULL,Water,NULL,Water,Cropland
581,Bareland,NULL,Forest,NULL,Non_Wetland,NULL
582,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
583,Bareland,NULL,Forest,NULL,Non_Wetland,Cropland
584,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL
585,Bareland,Cropland,NULL,NULL,Non_Wetland,Grassland
586,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL
587,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
588,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
589,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL
590,Bareland,Cropland,Grassland,NULL,Non_Wetland,Grassland
591,Bareland,Cropland,Grassland,NULL,Non_Wetland,Bareland
592,Bareland,Cropland,Cropland,NULL,Non_Wetland,NULL
593,Bareland,Cropland,Cropland,NULL,Non_Wetland,Grassland
594,Bareland,Cropland,Bareland,NULL,Non_Wetland,Grassland
595,Bareland,Bareland,NULL,NULL,Non_Wetland,Grassland
596,Bareland,Bareland,NULL,NULL,Non_Wetland,Cropland
597,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland
598,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
599,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL
600,Bareland,Bareland,Grassland,NULL,Non_Wetland,Grassland
601,Bareland,Bareland,Grassland,NULL,Non_Wetland,Cropland
602,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland
603,Bareland,Bareland,Cropland,NULL,Non_Wetland,Grassland
604,Bareland,Bareland,Cropland,NULL,Non_Wetland,Cropland
605,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
606,Bareland,Bareland,Bareland,NULL,Non_Wetland,Cropland
607,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland
608,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland
609,Bareland,Bareland,Built-up,Water,Non_Wetland,Bareland
610,Bareland,Built-up,NULL,NULL,Non_Wetland,Bareland
611,Bareland,Built-up,Shrubland,NULL,Non_Wetland,NULL
612,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
613,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
614,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
615,Bareland,Built-up,Grassland,NULL,Non_Wetland,NULL
616,Bareland,Built-up,Grassland,NULL,Non_Wetland,Grassland
617,Bareland,Built-up,Grassland,NULL,Non_Wetland,Bareland
618,Bareland,Built-up,Grassland,NULL,Non_Wetland,Built-up
619,Bareland,Built-up,Cropland,NULL,Non_Wetland,Grassland
620,Bareland,Built-up,Bareland,NULL,Non_Wetland,Grassland
621,Bareland,Built-up,Bareland,NULL,Non_Wetland,Bareland
622,Bareland,Built-up,Built-up,NULL,Non_Wetland,Grassland
623,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland
624,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL
625,Bareland,Water,Shrubland,NULL,Non_Wetland,Grassland
626,Bareland,Water,Shrubland,NULL,Non_Wetland,Bareland
627,Bareland,Water,Grassland,NULL,Non_Wetland,NULL
628,Bareland,Water,Grassland,NULL,Non_Wetland,Grassland
629,Bareland,Water,Grassland,NULL,Non_Wetland,Bareland
630,Bareland,Water,Cropland,NULL,Non_Wetland,NULL
631,Bareland,Water,Cropland,NULL,Non_Wetland,Grassland
632,Bareland,Water,Cropland,NULL,Non_Wetland,Bareland
633,Bareland,Water,Cropland,NULL,Non_Wetland,Forest
634,Bareland,Water,Bareland,NULL,Non_Wetland,Bareland
635,Bareland,Forest,NULL,NULL,Non_Wetland,NULL
636,Bareland,Forest,NULL,NULL,Non_Wetland,Grassland
637,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL
638,Bareland,Forest,Shrubland,NULL,Non_Wetland,Grassland
639,Bareland,Forest,Shrubland,NULL,Non_Wetland,Bareland
640,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL
641,Bareland,Forest,Grassland,NULL,Non_Wetland,Grassland
642,Bareland,Forest,Grassland,NULL,Non_Wetland,Bareland
643,Bareland,Forest,Cropland,NULL,Non_Wetland,Cropland
644,Bareland,Forest,Cropland,NULL,Non_Wetland,Bareland
645,Bareland,Forest,Bareland,NULL,Non_Wetland,NULL
646,Bareland,Forest,Bareland,NULL,Non_Wetland,Bareland
647,Water,NULL,NULL,NULL,Non_Wetland,NULL
648,Water,NULL,NULL,NULL,Non_Wetland,Grassland
649,Water,NULL,NULL,NULL,Non_Wetland,Cropland
650,Water,NULL,NULL,NULL,Non_Wetland,Bareland
651,Water,NULL,NULL,NULL,Non_Wetland,Water
652,Water,NULL,NULL,NULL,Non_Wetland,Forest
653,Water,NULL,NULL,Water,Non_Wetland,Cropland
654,Water,NULL,Shrubland,NULL,Non_Wetland,NULL
655,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
656,Water,NULL,Shrubland,NULL,Non_Wetland,Cropland
657,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland
658,Water,NULL,Shrubland,NULL,Non_Wetland,Water
659,Water,NULL,Shrubland,NULL,Non_Wetland,Forest
660,Water,NULL,Shrubland,Water,Non_Wetland,Grassland
661,Water,NULL,Shrubland,Water,Non_Wetland,Cropland
662,Water,NULL,Shrubland,Water,Non_Wetland,Water
663,Water,NULL,Grassland,NULL,Non_Wetland,NULL
664,Water,NULL,Grassland,NULL,Non_Wetland,Grassland
665,Water,NULL,Grassland,NULL,Non_Wetland,Cropland
666,Water,NULL,Grassland,NULL,Non_Wetland,Bareland
667,Water,NULL,Grassland,NULL,Non_Wetland,Water
668,Water,NULL,Grassland,NULL,Non_Wetland,Forest
669,Water,NULL,Grassland,Non_Water,Non_Wetland,Grassland
670,Water,NULL,Grassland,Water,Non_Wetland,Cropland
671,Water,NULL,Grassland,Water,Non_Wetland,Bareland
672,Water,NULL,Grassland,Water,Non_Wetland,Water
673,Water,NULL,Cropland,NULL,Non_Wetland,NULL
674,Water,NULL,Cropland,NULL,Non_Wetland,Grassland
675,Water,NULL,Cropland,NULL,Non_Wetland,Cropland
676,Water,NULL,Cropland,NULL,Non_Wetland,Wetland
677,Water,NULL,Cropland,NULL,Non_Wetland,Bareland
678,Water,NULL,Cropland,NULL,Non_Wetland,Water
679,Water,NULL,Cropland,NULL,Non_Wetland,Forest
680,Water,NULL,Cropland,Water,Non_Wetland,Grassland
681,Water,NULL,Cropland,Water,Non_Wetland,Cropland
682,Water,NULL,Cropland,Water,Non_Wetland,Water
683,Water,NULL,Wetland,NULL,Wetland,Grassland
684,Water,NULL,Wetland,NULL,Wetland,Water
685,Water,NULL,Wetland,Water,Wetland,Water
686,Water,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
687,Water,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
688,Water,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
689,Water,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
690,Water,NULL,Bareland,NULL,Non_Wetland,NULL
691,Water,NULL,Bareland,NULL,Non_Wetland,Grassland
692,Water,NULL,Bareland,NULL,Non_Wetland,Cropland
693,Water,NULL,Bareland,NULL,Non_Wetland,Wetland
694,Water,NULL,Bareland,NULL,Non_Wetland,Bareland
695,Water,NULL,Bareland,NULL,Non_Wetland,Water
696,Water,NULL,Bareland,NULL,Non_Wetland,Forest
697,Water,NULL,Bareland,Non_Water,Non_Wetland,Grassland
698,Water,NULL,Bareland,Water,Non_Wetland,Grassland
699,Water,NULL,Bareland,Water,Non_Wetland,Cropland
700,Water,NULL,Bareland,Water,Non_Wetland,Water
701,Water,NULL,Built-up,NULL,Non_Wetland,NULL
702,Water,NULL,Built-up,NULL,Non_Wetland,Grassland
703,Water,NULL,Built-up,NULL,Non_Wetland,Cropland
704,Water,NULL,Built-up,NULL,Non_Wetland,Bareland
705,Water,NULL,Water,NULL,Water,NULL
706,Water,NULL,Water,NULL,Water,Grassland
707,Water,NULL,Water,NULL,Water,Cropland
708,Water,NULL,Water,NULL,Water,Bareland
709,Water,NULL,Water,NULL,Water,Water
710,Water,NULL,Water,NULL,Water,Forest
711,Water,NULL,Water,Water,Water,Grassland
712,Water,NULL,Water,Water,Water,Cropland
713,Water,NULL,Water,Water,Water,Water
714,Water,NULL,Forest,NULL,Non_Wetland,NULL
715,Water,NULL,Forest,NULL,Non_Wetland,Grassland
716,Water,NULL,Forest,NULL,Non_Wetland,Cropland
717,Water,NULL,Forest,NULL,Non_Wetland,Wetland
718,Water,NULL,Forest,NULL,Non_Wetland,Bareland
719,Water,NULL,Forest,NULL,Non_Wetland,Water
720,Water,NULL,Forest,NULL,Non_Wetland,Forest
721,Water,NULL,Forest,Water,Non_Wetland,Cropland
722,Water,Cropland,NULL,NULL,Non_Wetland,Cropland
723,Water,Cropland,Shrubland,NULL,Non_Wetland,NULL
724,Water,Cropland,Shrubland,NULL,Non_Wetland,Grassland
725,Water,Cropland,Shrubland,NULL,Non_Wetland,Cropland
726,Water,Cropland,Shrubland,NULL,Non_Wetland,Bareland
727,Water,Cropland,Shrubland,NULL,Non_Wetland,Water
728,Water,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
729,Water,Cropland,Shrubland,Water,Non_Wetland,Cropland
730,Water,Cropland,Cropland,NULL,Non_Wetland,Grassland
731,Water,Cropland,Cropland,NULL,Non_Wetland,Cropland
732,Water,Cropland,Cropland,NULL,Non_Wetland,Bareland
733,Water,Cropland,Bareland,NULL,Non_Wetland,NULL
734,Water,Cropland,Bareland,NULL,Non_Wetland,Grassland
735,Water,Cropland,Bareland,NULL,Non_Wetland,Cropland
736,Water,Cropland,Bareland,NULL,Non_Wetland,Water
737,Water,Cropland,Bareland,Water,Non_Wetland,Grassland
738,Water,Cropland,Bareland,Water,Non_Wetland,Cropland
739,Water,Cropland,Bareland,Water,Non_Wetland,Water
740,Water,Cropland,Forest,NULL,Non_Wetland,NULL
741,Water,Cropland,Forest,NULL,Non_Wetland,Cropland
742,Water,Wetland,Shrubland,NULL,Non_Wetland,Grassland
743,Water,Wetland,Shrubland,NULL,Non_Wetland,Cropland
744,Water,Wetland,Shrubland,NULL,Non_Wetland,Forest
745,Water,Wetland,Shrubland,Non_Water,Non_Wetland,Cropland
746,Water,Wetland,Shrubland,Water,Non_Wetland,Cropland
747,Water,Wetland,Forest,Water,Non_Wetland,Cropland
748,Water,Bareland,Shrubland,NULL,Non_Wetland,Cropland
749,Water,Bareland,Grassland,NULL,Non_Wetland,Grassland
750,Water,Bareland,Grassland,NULL,Non_Wetland,Cropland
751,Water,Bareland,Grassland,NULL,Non_Wetland,Bareland
752,Water,Bareland,Cropland,NULL,Non_Wetland,Cropland
753,Water,Bareland,Water,NULL,Water,Cropland
754,Water,Bareland,Water,NULL,Water,Bareland
755,Water,Built-up,Shrubland,NULL,Non_Wetland,Grassland
756,Water,Built-up,Grassland,NULL,Non_Wetland,Bareland
757,Water,Built-up,Bareland,NULL,Non_Wetland,Cropland
758,Water,Built-up,Bareland,Water,Non_Wetland,Cropland
759,Water,Water,NULL,NULL,Non_Wetland,NULL
760,Water,Water,NULL,NULL,Non_Wetland,Grassland
761,Water,Water,NULL,NULL,Non_Wetland,Cropland
762,Water,Water,NULL,NULL,Non_Wetland,Wetland
763,Water,Water,NULL,NULL,Non_Wetland,Bareland
764,Water,Water,NULL,NULL,Non_Wetland,Water
765,Water,Water,NULL,NULL,Non_Wetland,Forest
766,Water,Water,Shrubland,NULL,Non_Wetland,NULL
767,Water,Water,Shrubland,NULL,Non_Wetland,Grassland
768,Water,Water,Shrubland,NULL,Non_Wetland,Cropland
769,Water,Water,Shrubland,NULL,Non_Wetland,Bareland
770,Water,Water,Shrubland,NULL,Non_Wetland,Water
771,Water,Water,Shrubland,Non_Water,Non_Wetland,Cropland
772,Water,Water,Shrubland,Water,Non_Wetland,Cropland
773,Water,Water,Shrubland,Water,Non_Wetland,Water
774,Water,Water,Grassland,NULL,Non_Wetland,NULL
775,Water,Water,Grassland,NULL,Non_Wetland,Grassland
776,Water,Water,Grassland,NULL,Non_Wetland,Cropland
777,Water,Water,Grassland,NULL,Non_Wetland,Bareland
778,Water,Water,Grassland,NULL,Non_Wetland,Water
779,Water,Water,Grassland,NULL,Non_Wetland,Forest
780,Water,Water,Grassland,Water,Non_Wetland,Water
781,Water,Water,Cropland,NULL,Non_Wetland,NULL
782,Water,Water,Cropland,NULL,Non_Wetland,Grassland
783,Water,Water,Cropland,NULL,Non_Wetland,Cropland
784,Water,Water,Cropland,NULL,Non_Wetland,Wetland
785,Water,Water,Cropland,NULL,Non_Wetland,Bareland
786,Water,Water,Cropland,NULL,Non_Wetland,Water
787,Water,Water,Cropland,NULL,Non_Wetland,Forest
788,Water,Water,Cropland,Non_Water,Non_Wetland,Water
789,Water,Water,Cropland,Water,Non_Wetland,Water
790,Water,Water,Wetland,NULL,Wetland,Water
791,Water,Water,Wetland,Water,Wetland,Water
792,Water,Water,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
793,Water,Water,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
794,Water,Water,Bareland,NULL,Non_Wetland,NULL
795,Water,Water,Bareland,NULL,Non_Wetland,Grassland
796,Water,Water,Bareland,NULL,Non_Wetland,Cropland
797,Water,Water,Bareland,NULL,Non_Wetland,Wetland
798,Water,Water,Bareland,NULL,Non_Wetland,Bareland
799,Water,Water,Bareland,NULL,Non_Wetland,Water
800,Water,Water,Bareland,NULL,Non_Wetland,Forest
801,Water,Water,Bareland,Non_Water,Non_Wetland,Cropland
802,Water,Water,Bareland,Water,Non_Wetland,Grassland
803,Water,Water,Bareland,Water,Non_Wetland,Cropland
804,Water,Water,Bareland,Water,Non_Wetland,Water
805,Water,Water,Built-up,NULL,Non_Wetland,NULL
806,Water,Water,Built-up,NULL,Non_Wetland,Grassland
807,Water,Water,Built-up,NULL,Non_Wetland,Cropland
808,Water,Water,Built-up,NULL,Non_Wetland,Bareland
809,Water,Water,Water,NULL,Water,NULL
810,Water,Water,Water,NULL,Water,Grassland
811,Water,Water,Water,NULL,Water,Cropland
812,Water,Water,Water,NULL,Water,Bareland
813,Water,Water,Water,NULL,Water,Water
814,Water,Water,Water,NULL,Water,Forest
815,Water,Water,Water,Water,Water,Cropland
816,Water,Water,Water,Water,Water,Water
817,Water,Water,Forest,NULL,Non_Wetland,NULL
818,Water,Water,Forest,NULL,Non_Wetland,Grassland
819,Water,Water,Forest,NULL,Non_Wetland,Cropland
820,Water,Water,Forest,NULL,Non_Wetland,Bareland
821,Water,Water,Forest,NULL,Non_Wetland,Water
822,Water,Water,Forest,NULL,Non_Wetland,Forest
823,Water,Forest,NULL,NULL,Non_Wetland,NULL
824,Water,Forest,NULL,NULL,Non_Wetland,Grassland
825,Water,Forest,Shrubland,NULL,Non_Wetland,Grassland
826,Water,Forest,Grassland,NULL,Non_Wetland,Forest
827,Water,Forest,Cropland,NULL,Non_Wetland,NULL
828,Water,Forest,Cropland,NULL,Non_Wetland,Grassland
829,Water,Forest,Cropland,NULL,Non_Wetland,Cropland
830,Water,Forest,Cropland,NULL,Non_Wetland,Bareland
831,Water,Forest,Cropland,NULL,Non_Wetland,Forest
832,Water,Forest,Bareland,NULL,Non_Wetland,NULL
833,Water,Forest,Bareland,NULL,Non_Wetland,Grassland
834,Water,Forest,Water,NULL,Water,Forest
835,Water,Forest,Forest,NULL,Non_Wetland,NULL
836,Forest,NULL,NULL,NULL,Non_Wetland,NULL
837,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
838,Forest,NULL,NULL,NULL,Non_Wetland,Cropland
839,Forest,NULL,NULL,NULL,Non_Wetland,Bareland
840,Forest,NULL,NULL,NULL,Non_Wetland,Forest
841,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
842,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
843,Forest,NULL,Shrubland,NULL,Non_Wetland,Cropland
844,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland
845,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
846,Forest,NULL,Shrubland,Water,Non_Wetland,NULL
847,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
848,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
849,Forest,NULL,Grassland,NULL,Non_Wetland,Cropland
850,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland
851,Forest,NULL,Grassland,NULL,Non_Wetland,Built-up
852,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
853,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
854,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
855,Forest,NULL,Cropland,NULL,Non_Wetland,Cropland
856,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland
857,Forest,NULL,Cropland,NULL,Non_Wetland,Water
858,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
859,Forest,NULL,Cropland,Non_Water,Non_Wetland,Forest
860,Forest,NULL,Wetland,NULL,Wetland,Forest
