Value,AFRICA_2024_DynamicWorld_2024_35NPE_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NPE_M_R,AFRICA_2024_GLC_FCS30D_2022_35NPE_M_R,AFRICA_2024_GSW_Yearly_2021_35NPE_M_R,AFRICA_2024_GWL_FCS30D_2022_35NPE_M_R,AFRICA_2024_WorldCover_2021_35NPE_M_R
446,Forest,NULL,Wetland,NULL,Wetland,Forest
447,Forest,NULL,Wetland,Non_Water,Wetland,Grassland
448,Forest,NULL,Wetland,Non_Water,Wetland,Forest
449,Forest,NULL,Bareland,NULL,Non_Wetland,NULL
450,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland
451,Forest,NULL,Bareland,NULL,Non_Wetland,Wetland
452,Forest,NULL,Bareland,NULL,Non_Wetland,Forest
453,Forest,NULL,Bareland,Non_Water,Non_Wetland,Grassland
454,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
455,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland
456,Forest,NULL,Built-up,NULL,Non_Wetland,Built-up
457,Forest,NULL,Built-up,NULL,Non_Wetland,Forest
458,Forest,NULL,Forest,NULL,Non_Wetland,NULL
459,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
460,Forest,NULL,Forest,NULL,Non_Wetland,Wetland
461,Forest,NULL,Forest,NULL,Non_Wetland,Bareland
462,Forest,NULL,Forest,NULL,Non_Wetland,Built-up
463,Forest,NULL,Forest,NULL,Non_Wetland,Forest
464,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL
465,Forest,NULL,Forest,Non_Water,Non_Wetland,Grassland
466,Forest,NULL,Forest,Non_Water,Non_Wetland,Forest
467,Forest,NULL,Forest,Water,Non_Wetland,Grassland
468,Forest,NULL,Forest,Water,Non_Wetland,Forest
469,Forest,Cropland,NULL,NULL,Non_Wetland,Forest
470,Forest,Cropland,Forest,NULL,Non_Wetland,NULL
471,Forest,Cropland,Forest,NULL,Non_Wetland,Grassland
472,Forest,Cropland,Forest,NULL,Non_Wetland,Forest
473,Forest,Wetland,NULL,NULL,Non_Wetland,Forest
474,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL
475,Forest,Wetland,Shrubland,NULL,Non_Wetland,Forest
476,Forest,Wetland,Wetland,NULL,Wetland,NULL
477,Forest,Wetland,Wetland,NULL,Wetland,Grassland
478,Forest,Wetland,Wetland,NULL,Wetland,Water
479,Forest,Wetland,Wetland,NULL,Wetland,Forest
480,Forest,Wetland,Bareland,NULL,Non_Wetland,Forest
481,Forest,Wetland,Forest,NULL,Non_Wetland,NULL
482,Forest,Wetland,Forest,NULL,Non_Wetland,Grassland
483,Forest,Wetland,Forest,NULL,Non_Wetland,Forest
484,Forest,Wetland,Forest,Non_Water,Non_Wetland,Forest
485,Forest,Built-up,NULL,NULL,Non_Wetland,NULL
486,Forest,Built-up,NULL,NULL,Non_Wetland,Grassland
487,Forest,Built-up,NULL,NULL,Non_Wetland,Built-up
488,Forest,Built-up,NULL,NULL,Non_Wetland,Forest
489,Forest,Built-up,NULL,Non_Water,Non_Wetland,Forest
490,Forest,Built-up,NULL,Water,Non_Wetland,Forest
491,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL
492,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland
493,Forest,Built-up,Shrubland,NULL,Non_Wetland,Built-up
494,Forest,Built-up,Shrubland,NULL,Non_Wetland,Forest
495,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL
496,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland
497,Forest,Built-up,Cropland,NULL,Non_Wetland,Cropland
498,Forest,Built-up,Cropland,NULL,Non_Wetland,Built-up
499,Forest,Built-up,Cropland,NULL,Non_Wetland,Forest
500,Forest,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
501,Forest,Built-up,Cropland,Non_Water,Non_Wetland,Forest
502,Forest,Built-up,Wetland,NULL,Wetland,Grassland
503,Forest,Built-up,Wetland,NULL,Wetland,Forest
504,Forest,Built-up,Wetland,Non_Water,Wetland,Forest
505,Forest,Built-up,Wetland,Water,Wetland,Built-up
506,Forest,Built-up,Wetland,Water,Wetland,Forest
507,Forest,Built-up,Bareland,NULL,Non_Wetland,Forest
508,Forest,Built-up,Bareland,Non_Water,Non_Wetland,Forest
509,Forest,Built-up,Built-up,NULL,Non_Wetland,NULL
510,Forest,Built-up,Built-up,NULL,Non_Wetland,Grassland
511,Forest,Built-up,Built-up,NULL,Non_Wetland,Cropland
512,Forest,Built-up,Built-up,NULL,Non_Wetland,Built-up
513,Forest,Built-up,Built-up,NULL,Non_Wetland,Forest
514,Forest,Built-up,Forest,NULL,Non_Wetland,NULL
515,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland
516,Forest,Built-up,Forest,NULL,Non_Wetland,Built-up
517,Forest,Built-up,Forest,NULL,Non_Wetland,Forest
518,Forest,Built-up,Forest,Non_Water,Non_Wetland,Forest
519,Forest,Water,NULL,NULL,Non_Wetland,Grassland
520,Forest,Water,NULL,NULL,Non_Wetland,Water
521,Forest,Water,NULL,NULL,Non_Wetland,Forest
522,Forest,Water,NULL,Water,Non_Wetland,Forest
523,Forest,Water,Shrubland,NULL,Non_Wetland,NULL
524,Forest,Water,Shrubland,NULL,Non_Wetland,Grassland
525,Forest,Water,Shrubland,NULL,Non_Wetland,Bareland
526,Forest,Water,Shrubland,NULL,Non_Wetland,Water
527,Forest,Water,Shrubland,NULL,Non_Wetland,Forest
528,Forest,Water,Shrubland,Non_Water,Non_Wetland,Grassland
529,Forest,Water,Shrubland,Non_Water,Non_Wetland,Forest
530,Forest,Water,Shrubland,Water,Non_Wetland,Grassland
531,Forest,Water,Shrubland,Water,Non_Wetland,Forest
532,Forest,Water,Grassland,NULL,Non_Wetland,Forest
533,Forest,Water,Cropland,NULL,Non_Wetland,Grassland
534,Forest,Water,Cropland,NULL,Non_Wetland,Forest
535,Forest,Water,Cropland,Non_Water,Non_Wetland,Forest
536,Forest,Water,Cropland,Water,Non_Wetland,Forest
537,Forest,Water,Wetland,NULL,Wetland,NULL
538,Forest,Water,Wetland,NULL,Wetland,Grassland
539,Forest,Water,Wetland,NULL,Wetland,Water
540,Forest,Water,Wetland,NULL,Wetland,Forest
541,Forest,Water,Wetland,Non_Water,Wetland,Grassland
542,Forest,Water,Wetland,Non_Water,Wetland,Water
543,Forest,Water,Wetland,Non_Water,Wetland,Forest
544,Forest,Water,Wetland,Water,Wetland,NULL
545,Forest,Water,Wetland,Water,Wetland,Grassland
546,Forest,Water,Wetland,Water,Wetland,Water
547,Forest,Water,Wetland,Water,Wetland,Forest
548,Forest,Water,Bareland,NULL,Non_Wetland,Grassland
549,Forest,Water,Bareland,NULL,Non_Wetland,Water
550,Forest,Water,Bareland,NULL,Non_Wetland,Forest
551,Forest,Water,Bareland,Non_Water,Non_Wetland,Water
552,Forest,Water,Bareland,Non_Water,Non_Wetland,Forest
553,Forest,Water,Bareland,Water,Non_Wetland,Water
554,Forest,Water,Bareland,Water,Non_Wetland,Forest
555,Forest,Water,Built-up,NULL,Non_Wetland,Grassland
556,Forest,Water,Built-up,NULL,Non_Wetland,Forest
557,Forest,Water,Water,NULL,Water,Water
558,Forest,Water,Water,NULL,Water,Forest
559,Forest,Water,Water,Non_Water,Water,Water
560,Forest,Water,Water,Non_Water,Water,Forest
561,Forest,Water,Water,Water,Water,Grassland
562,Forest,Water,Water,Water,Water,Water
563,Forest,Water,Water,Water,Water,Forest
564,Forest,Water,Forest,NULL,Non_Wetland,NULL
565,Forest,Water,Forest,NULL,Non_Wetland,Grassland
566,Forest,Water,Forest,NULL,Non_Wetland,Wetland
567,Forest,Water,Forest,NULL,Non_Wetland,Bareland
568,Forest,Water,Forest,NULL,Non_Wetland,Water
569,Forest,Water,Forest,NULL,Non_Wetland,Forest
570,Forest,Water,Forest,Non_Water,Non_Wetland,Grassland
571,Forest,Water,Forest,Non_Water,Non_Wetland,Water
572,Forest,Water,Forest,Non_Water,Non_Wetland,Forest
573,Forest,Water,Forest,Water,Non_Wetland,Grassland
574,Forest,Water,Forest,Water,Non_Wetland,Water
575,Forest,Water,Forest,Water,Non_Wetland,Forest
576,Forest,Forest,NULL,NULL,Non_Wetland,NULL
577,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
578,Forest,Forest,NULL,NULL,Non_Wetland,Wetland
579,Forest,Forest,NULL,NULL,Non_Wetland,Built-up
580,Forest,Forest,NULL,NULL,Non_Wetland,Forest
581,Forest,Forest,NULL,Non_Water,Non_Wetland,Grassland
582,Forest,Forest,NULL,Non_Water,Non_Wetland,Forest
583,Forest,Forest,NULL,Water,Non_Wetland,Grassland
584,Forest,Forest,NULL,Water,Non_Wetland,Forest
585,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
586,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
587,Forest,Forest,Shrubland,NULL,Non_Wetland,Wetland
588,Forest,Forest,Shrubland,NULL,Non_Wetland,Built-up
589,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
590,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL
591,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
592,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Forest
593,Forest,Forest,Shrubland,Water,Non_Wetland,Grassland
594,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
595,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
596,Forest,Forest,Grassland,NULL,Non_Wetland,Forest
597,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
598,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
599,Forest,Forest,Cropland,NULL,Non_Wetland,Wetland
600,Forest,Forest,Cropland,NULL,Non_Wetland,Built-up
601,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
602,Forest,Forest,Cropland,Non_Water,Non_Wetland,Grassland
603,Forest,Forest,Cropland,Non_Water,Non_Wetland,Forest
604,Forest,Forest,Cropland,Water,Non_Wetland,Grassland
605,Forest,Forest,Cropland,Water,Non_Wetland,Forest
606,Forest,Forest,Wetland,NULL,Wetland,NULL
607,Forest,Forest,Wetland,NULL,Wetland,Grassland
608,Forest,Forest,Wetland,NULL,Wetland,Water
609,Forest,Forest,Wetland,NULL,Wetland,Forest
610,Forest,Forest,Wetland,Non_Water,Wetland,Water
611,Forest,Forest,Wetland,Non_Water,Wetland,Forest
612,Forest,Forest,Wetland,Water,Wetland,Grassland
613,Forest,Forest,Wetland,Water,Wetland,Water
614,Forest,Forest,Wetland,Water,Wetland,Forest
615,Forest,Forest,Bareland,NULL,Non_Wetland,NULL
616,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland
617,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
618,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL
619,Forest,Forest,Bareland,Non_Water,Non_Wetland,Forest
620,Forest,Forest,Bareland,Water,Non_Wetland,Forest
621,Forest,Forest,Built-up,NULL,Non_Wetland,NULL
622,Forest,Forest,Built-up,NULL,Non_Wetland,Grassland
623,Forest,Forest,Built-up,NULL,Non_Wetland,Built-up
624,Forest,Forest,Built-up,NULL,Non_Wetland,Forest
625,Forest,Forest,Built-up,Non_Water,Non_Wetland,Forest
626,Forest,Forest,Built-up,Water,Non_Wetland,Forest
627,Forest,Forest,Water,NULL,Water,Forest
628,Forest,Forest,Water,Non_Water,Water,Forest
629,Forest,Forest,Water,Water,Water,Grassland
630,Forest,Forest,Water,Water,Water,Water
631,Forest,Forest,Water,Water,Water,Forest
632,Forest,Forest,Forest,NULL,Non_Wetland,NULL
633,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
634,Forest,Forest,Forest,NULL,Non_Wetland,Wetland
635,Forest,Forest,Forest,NULL,Non_Wetland,Bareland
636,Forest,Forest,Forest,NULL,Non_Wetland,Built-up
637,Forest,Forest,Forest,NULL,Non_Wetland,Water
638,Forest,Forest,Forest,NULL,Non_Wetland,Forest
639,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL
640,Forest,Forest,Forest,Non_Water,Non_Wetland,Grassland
641,Forest,Forest,Forest,Non_Water,Non_Wetland,Wetland
642,Forest,Forest,Forest,Non_Water,Non_Wetland,Water
643,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest
644,Forest,Forest,Forest,Water,Non_Wetland,NULL
645,Forest,Forest,Forest,Water,Non_Wetland,Grassland
646,Forest,Forest,Forest,Water,Non_Wetland,Water
647,Forest,Forest,Forest,Water,Non_Wetland,Forest
