Value,AFRICA_2024_DynamicWorld_2024_35NQG_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NQG_M_R,AFRICA_2024_GLC_FCS30D_2022_35NQG_M_R,AFRICA_2024_GSW_Yearly_2021_35NQG_M_R,AFRICA_2024_GWL_FCS30D_2022_35NQG_M_R,AFRICA_2024_WorldCover_2021_35NQG_M_R
434,Forest,Wetland,Forest,Water,Non_Wetland,Forest
435,Forest,Built-up,NULL,NULL,Non_Wetland,NULL
436,Forest,Built-up,NULL,NULL,Non_Wetland,Grassland
437,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL
438,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland
439,Forest,Built-up,Forest,NULL,Non_Wetland,NULL
440,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland
441,Forest,Built-up,Forest,NULL,Non_Wetland,Forest
442,Forest,Water,NULL,NULL,Non_Wetland,Forest
443,Forest,Water,Wetland,NULL,Wetland,Forest
444,Forest,Water,Forest,NULL,Non_Wetland,Forest
445,Forest,Forest,NULL,NULL,Non_Wetland,NULL
446,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
447,Forest,Forest,NULL,NULL,Non_Wetland,Cropland
448,Forest,Forest,NULL,NULL,Non_Wetland,Wetland
449,Forest,Forest,NULL,NULL,Non_Wetland,Forest
450,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL
451,Forest,Forest,NULL,Non_Water,Non_Wetland,Grassland
452,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
453,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
454,Forest,Forest,Shrubland,NULL,Non_Wetland,Cropland
455,Forest,Forest,Shrubland,NULL,Non_Wetland,Wetland
456,Forest,Forest,Shrubland,NULL,Non_Wetland,Bareland
457,Forest,Forest,Shrubland,NULL,Non_Wetland,Built-up
458,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
459,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL
460,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
461,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
462,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Forest
463,Forest,Forest,Shrubland,Water,Non_Wetland,Grassland
464,Forest,Forest,Shrubland,Water,Non_Wetland,Forest
465,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
466,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
467,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
468,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
469,Forest,Forest,Wetland,NULL,Wetland,NULL
470,Forest,Forest,Wetland,NULL,Wetland,Grassland
471,Forest,Forest,Wetland,NULL,Wetland,Wetland
472,Forest,Forest,Wetland,NULL,Wetland,Forest
473,Forest,Forest,Wetland,Non_Water,Wetland,Grassland
474,Forest,Forest,Wetland,Non_Water,Wetland,Wetland
475,Forest,Forest,Wetland,Non_Water,Wetland,Forest
476,Forest,Forest,Bareland,NULL,Non_Wetland,NULL
477,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland
478,Forest,Forest,Bareland,NULL,Non_Wetland,Wetland
479,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
480,Forest,Forest,Bareland,Non_Water,Non_Wetland,Forest
481,Forest,Forest,Built-up,NULL,Non_Wetland,NULL
482,Forest,Forest,Built-up,NULL,Non_Wetland,Grassland
483,Forest,Forest,Built-up,NULL,Non_Wetland,Forest
484,Forest,Forest,Water,NULL,Water,Wetland
485,Forest,Forest,Water,NULL,Water,Forest
486,Forest,Forest,Forest,NULL,Non_Wetland,NULL
487,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
488,Forest,Forest,Forest,NULL,Non_Wetland,Cropland
489,Forest,Forest,Forest,NULL,Non_Wetland,Wetland
490,Forest,Forest,Forest,NULL,Non_Wetland,Built-up
491,Forest,Forest,Forest,NULL,Non_Wetland,Forest
492,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL
493,Forest,Forest,Forest,Non_Water,Non_Wetland,Grassland
494,Forest,Forest,Forest,Non_Water,Non_Wetland,Wetland
495,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest
496,Forest,Forest,Forest,Water,Non_Wetland,Grassland
497,Forest,Forest,Forest,Water,Non_Wetland,Forest
