Value,AFRICA_2024_DynamicWorld_2024_35NME_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NME_M_R,AFRICA_2024_GLC_FCS30D_2022_35NME_M_R,AFRICA_2024_GSW_Yearly_2021_35NME_M_R,AFRICA_2024_GWL_FCS30D_2022_35NME_M_R,AFRICA_2024_WorldCover_2021_35NME_M_R
456,Forest,NULL,Cropland,NULL,Non_Wetland,Cropland
457,Forest,NULL,Cropland,NULL,Non_Wetland,Built-up
458,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
459,Forest,NULL,Wetland,NULL,Wetland,Grassland
460,Forest,NULL,Wetland,NULL,Wetland,Forest
461,Forest,NULL,Bareland,NULL,Non_Wetland,Forest
462,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
463,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland
464,Forest,NULL,Built-up,NULL,Non_Wetland,Built-up
465,Forest,NULL,Built-up,NULL,Non_Wetland,Forest
466,Forest,NULL,Forest,NULL,Non_Wetland,NULL
467,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
468,Forest,NULL,Forest,NULL,Non_Wetland,Wetland
469,Forest,NULL,Forest,NULL,Non_Wetland,Forest
470,Forest,Wetland,Forest,NULL,Non_Wetland,Grassland
471,Forest,Wetland,Forest,NULL,Non_Wetland,Forest
472,Forest,Built-up,NULL,NULL,Non_Wetland,Grassland
473,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland
474,Forest,Built-up,Cropland,NULL,Non_Wetland,Built-up
475,Forest,Built-up,Cropland,NULL,Non_Wetland,Forest
476,Forest,Built-up,Built-up,NULL,Non_Wetland,Grassland
477,Forest,Built-up,Built-up,NULL,Non_Wetland,Forest
478,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland
479,Forest,Built-up,Forest,NULL,Non_Wetland,Built-up
480,Forest,Built-up,Forest,NULL,Non_Wetland,Forest
481,Forest,Water,NULL,NULL,Non_Wetland,Forest
482,Forest,Water,Shrubland,NULL,Non_Wetland,Grassland
483,Forest,Water,Shrubland,NULL,Non_Wetland,Built-up
484,Forest,Water,Shrubland,NULL,Non_Wetland,Forest
485,Forest,Water,Shrubland,Non_Water,Non_Wetland,Forest
486,Forest,Water,Grassland,NULL,Non_Wetland,Forest
487,Forest,Water,Wetland,NULL,Wetland,Grassland
488,Forest,Water,Wetland,NULL,Wetland,Wetland
489,Forest,Water,Wetland,NULL,Wetland,Bareland
490,Forest,Water,Wetland,NULL,Wetland,Water
491,Forest,Water,Wetland,NULL,Wetland,Forest
492,Forest,Water,Wetland,Non_Water,Wetland,Forest
493,Forest,Water,Wetland,Water,Wetland,Water
494,Forest,Water,Wetland,Water,Wetland,Forest
495,Forest,Water,Water,NULL,Water,Water
496,Forest,Water,Water,NULL,Water,Forest
497,Forest,Water,Water,Non_Water,Water,Water
498,Forest,Water,Water,Water,Water,Bareland
499,Forest,Water,Water,Water,Water,Water
500,Forest,Water,Water,Water,Water,Forest
501,Forest,Water,Forest,NULL,Non_Wetland,Grassland
502,Forest,Water,Forest,NULL,Non_Wetland,Water
503,Forest,Water,Forest,NULL,Non_Wetland,Forest
504,Forest,Water,Forest,Non_Water,Non_Wetland,Forest
505,Forest,Water,Forest,Water,Non_Wetland,Water
506,Forest,Water,Forest,Water,Non_Wetland,Forest
507,Forest,Forest,NULL,NULL,Non_Wetland,NULL
508,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
509,Forest,Forest,NULL,NULL,Non_Wetland,Built-up
510,Forest,Forest,NULL,NULL,Non_Wetland,Forest
511,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
512,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
513,Forest,Forest,Shrubland,NULL,Non_Wetland,Built-up
514,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
515,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
516,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
517,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
518,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
519,Forest,Forest,Cropland,NULL,Non_Wetland,Built-up
520,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
521,Forest,Forest,Wetland,NULL,Wetland,NULL
522,Forest,Forest,Wetland,NULL,Wetland,Grassland
523,Forest,Forest,Wetland,NULL,Wetland,Water
524,Forest,Forest,Wetland,NULL,Wetland,Forest
525,Forest,Forest,Wetland,Non_Water,Wetland,Water
526,Forest,Forest,Wetland,Non_Water,Wetland,Forest
527,Forest,Forest,Wetland,Water,Wetland,Water
528,Forest,Forest,Wetland,Water,Wetland,Forest
529,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
530,Forest,Forest,Built-up,NULL,Non_Wetland,Grassland
531,Forest,Forest,Built-up,NULL,Non_Wetland,Built-up
532,Forest,Forest,Built-up,NULL,Non_Wetland,Forest
533,Forest,Forest,Water,NULL,Water,Forest
534,Forest,Forest,Water,Non_Water,Water,Forest
535,Forest,Forest,Water,Water,Water,Water
536,Forest,Forest,Water,Water,Water,Forest
537,Forest,Forest,Forest,NULL,Non_Wetland,NULL
538,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
539,Forest,Forest,Forest,NULL,Non_Wetland,Built-up
540,Forest,Forest,Forest,NULL,Non_Wetland,Water
541,Forest,Forest,Forest,NULL,Non_Wetland,Forest
542,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest
543,Forest,Forest,Forest,Water,Non_Wetland,Forest
