Value,AFRICA_2024_DynamicWorld_2024_38PLS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38PLS_M_R,AFRICA_2024_GLC_FCS30D_2022_38PLS_M_R,AFRICA_2024_GSW_Yearly_2021_38PLS_M_R,AFRICA_2024_GWL_FCS30D_2022_38PLS_M_R,AFRICA_2024_WorldCover_2021_38PLS_M_R
435,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
436,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
437,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
438,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
439,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
440,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
441,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
442,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
443,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
444,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
445,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
446,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
447,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
448,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up
449,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
450,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
451,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
452,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL
453,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
454,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL
455,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
456,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
457,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL
458,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
459,Cropland,Built-up,Grassland,NULL,Non_Wetland,Cropland
460,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
461,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL
462,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
463,Cropland,Built-up,Cropland,NULL,Non_Wetland,Cropland
464,Cropland,Built-up,Bareland,NULL,Non_Wetland,Cropland
465,Cropland,Built-up,Built-up,NULL,Non_Wetland,Bareland
466,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
467,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
468,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland
469,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
470,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
471,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland
472,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
473,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
474,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
475,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
476,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
477,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
478,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
479,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
480,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
481,Bareland,NULL,Grassland,NULL,Non_Wetland,Built-up
482,Bareland,NULL,Grassland,NULL,Non_Wetland,Water
483,Bareland,NULL,Grassland,NULL,Non_Wetland,Forest
484,Bareland,NULL,Grassland,Water,Non_Wetland,Bareland
485,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
486,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
487,Bareland,NULL,Cropland,NULL,Non_Wetland,Cropland
488,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
489,Bareland,NULL,Cropland,NULL,Non_Wetland,Built-up
490,Bareland,NULL,Cropland,NULL,Non_Wetland,Forest
491,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
492,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
493,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
494,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
495,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
496,Bareland,NULL,Bareland,NULL,Non_Wetland,Cropland
497,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
498,Bareland,NULL,Bareland,NULL,Non_Wetland,Built-up
499,Bareland,NULL,Bareland,NULL,Non_Wetland,Water
500,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL
501,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
502,Bareland,NULL,Built-up,NULL,Non_Wetland,Cropland
503,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
504,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up
505,Bareland,NULL,Forest,NULL,Non_Wetland,NULL
506,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL
507,Bareland,Cropland,NULL,NULL,Non_Wetland,Cropland
508,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL
509,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
510,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
511,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL
512,Bareland,Cropland,Grassland,NULL,Non_Wetland,Grassland
513,Bareland,Cropland,Grassland,NULL,Non_Wetland,Cropland
514,Bareland,Cropland,Grassland,NULL,Non_Wetland,Bareland
515,Bareland,Cropland,Grassland,NULL,Non_Wetland,Built-up
516,Bareland,Cropland,Cropland,NULL,Non_Wetland,NULL
517,Bareland,Cropland,Cropland,NULL,Non_Wetland,Grassland
518,Bareland,Cropland,Cropland,NULL,Non_Wetland,Cropland
519,Bareland,Cropland,Bareland,NULL,Non_Wetland,Cropland
520,Bareland,Cropland,Built-up,NULL,Non_Wetland,NULL
521,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL
522,Bareland,Bareland,NULL,NULL,Non_Wetland,Grassland
523,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland
524,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL
525,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
526,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Cropland
527,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
528,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL
529,Bareland,Bareland,Grassland,NULL,Non_Wetland,Grassland
530,Bareland,Bareland,Grassland,NULL,Non_Wetland,Cropland
531,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland
532,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL
533,Bareland,Bareland,Cropland,NULL,Non_Wetland,Cropland
534,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland
535,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
536,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL
537,Bareland,Bareland,Bareland,NULL,Non_Wetland,Grassland
538,Bareland,Bareland,Bareland,NULL,Non_Wetland,Cropland
539,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland
540,Bareland,Bareland,Built-up,NULL,Non_Wetland,NULL
541,Bareland,Bareland,Built-up,NULL,Non_Wetland,Grassland
542,Bareland,Bareland,Built-up,NULL,Non_Wetland,Cropland
543,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland
544,Bareland,Bareland,Built-up,NULL,Non_Wetland,Forest
545,Bareland,Built-up,NULL,NULL,Non_Wetland,NULL
546,Bareland,Built-up,NULL,NULL,Non_Wetland,Grassland
547,Bareland,Built-up,NULL,NULL,Non_Wetland,Cropland
548,Bareland,Built-up,NULL,NULL,Non_Wetland,Bareland
549,Bareland,Built-up,Shrubland,NULL,Non_Wetland,NULL
550,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
551,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
552,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
553,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
554,Bareland,Built-up,Grassland,NULL,Non_Wetland,NULL
555,Bareland,Built-up,Grassland,NULL,Non_Wetland,Grassland
556,Bareland,Built-up,Grassland,NULL,Non_Wetland,Cropland
557,Bareland,Built-up,Grassland,NULL,Non_Wetland,Bareland
558,Bareland,Built-up,Grassland,NULL,Non_Wetland,Built-up
559,Bareland,Built-up,Cropland,NULL,Non_Wetland,NULL
560,Bareland,Built-up,Cropland,NULL,Non_Wetland,Grassland
561,Bareland,Built-up,Cropland,NULL,Non_Wetland,Cropland
562,Bareland,Built-up,Cropland,NULL,Non_Wetland,Bareland
563,Bareland,Built-up,Cropland,NULL,Non_Wetland,Built-up
564,Bareland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
565,Bareland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
566,Bareland,Built-up,Bareland,NULL,Non_Wetland,NULL
567,Bareland,Built-up,Bareland,NULL,Non_Wetland,Grassland
568,Bareland,Built-up,Bareland,NULL,Non_Wetland,Cropland
569,Bareland,Built-up,Bareland,NULL,Non_Wetland,Bareland
570,Bareland,Built-up,Bareland,NULL,Non_Wetland,Built-up
571,Bareland,Built-up,Built-up,NULL,Non_Wetland,NULL
572,Bareland,Built-up,Built-up,NULL,Non_Wetland,Grassland
573,Bareland,Built-up,Built-up,NULL,Non_Wetland,Cropland
574,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland
575,Bareland,Built-up,Built-up,NULL,Non_Wetland,Built-up
576,Bareland,Water,NULL,NULL,Non_Wetland,Bareland
577,Bareland,Water,Shrubland,NULL,Non_Wetland,Bareland
578,Bareland,Water,Grassland,NULL,Non_Wetland,Bareland
579,Bareland,Water,Cropland,NULL,Non_Wetland,Bareland
580,Bareland,Water,Bareland,NULL,Non_Wetland,Bareland
581,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL
582,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL
583,Bareland,Forest,Cropland,NULL,Non_Wetland,NULL
584,Bareland,Forest,Cropland,NULL,Non_Wetland,Cropland
585,Bareland,Forest,Cropland,NULL,Non_Wetland,Bareland
586,Water,NULL,Shrubland,NULL,Non_Wetland,NULL
587,Water,NULL,Grassland,NULL,Non_Wetland,NULL
588,Water,NULL,Grassland,NULL,Non_Wetland,Grassland
589,Water,NULL,Grassland,NULL,Non_Wetland,Cropland
590,Water,NULL,Grassland,NULL,Non_Wetland,Bareland
591,Water,NULL,Cropland,NULL,Non_Wetland,NULL
592,Water,NULL,Bareland,NULL,Non_Wetland,Cropland
593,Water,NULL,Bareland,NULL,Non_Wetland,Bareland
594,Water,NULL,Bareland,NULL,Non_Wetland,Water
595,Water,NULL,Bareland,Water,Non_Wetland,Water
596,Water,NULL,Water,Water,Water,Water
597,Water,Water,Grassland,NULL,Non_Wetland,NULL
598,Water,Water,Grassland,NULL,Non_Wetland,Grassland
599,Water,Water,Grassland,Water,Non_Wetland,Cropland
600,Water,Water,Grassland,Water,Non_Wetland,Bareland
601,Water,Water,Cropland,NULL,Non_Wetland,Bareland
602,Water,Water,Cropland,Water,Non_Wetland,Bareland
603,Water,Water,Bareland,NULL,Non_Wetland,Bareland
604,Water,Water,Bareland,NULL,Non_Wetland,Water
605,Water,Water,Built-up,Water,Non_Wetland,Water
606,Water,Water,Water,Water,Water,Water
607,Forest,NULL,NULL,NULL,Non_Wetland,NULL
608,Forest,NULL,NULL,NULL,Non_Wetland,Forest
609,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
610,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
611,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
612,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
613,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
614,Forest,NULL,Grassland,NULL,Non_Wetland,Cropland
615,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland
616,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
617,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
618,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
619,Forest,NULL,Cropland,NULL,Non_Wetland,Cropland
620,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
621,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
622,Forest,NULL,Bareland,NULL,Non_Wetland,NULL
623,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland
624,Forest,NULL,Bareland,NULL,Non_Wetland,Forest
625,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
626,Forest,NULL,Built-up,NULL,Non_Wetland,Forest
627,Forest,NULL,Forest,NULL,Non_Wetland,NULL
628,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
629,Forest,NULL,Forest,NULL,Non_Wetland,Forest
630,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL
631,Forest,Cropland,Grassland,NULL,Non_Wetland,NULL
632,Forest,Cropland,Cropland,NULL,Non_Wetland,NULL
633,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL
634,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL
635,Forest,Built-up,Cropland,NULL,Non_Wetland,Cropland
636,Forest,Built-up,Forest,NULL,Non_Wetland,NULL
637,Forest,Forest,NULL,NULL,Non_Wetland,NULL
638,Forest,Forest,NULL,NULL,Non_Wetland,Forest
639,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
640,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
641,Forest,Forest,Grassland,NULL,Non_Wetland,Cropland
642,Forest,Forest,Grassland,NULL,Non_Wetland,Forest
643,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
644,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
645,Forest,Forest,Cropland,NULL,Non_Wetland,Cropland
646,Forest,Forest,Cropland,NULL,Non_Wetland,Wetland
647,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
648,Forest,Forest,Bareland,NULL,Non_Wetland,NULL
649,Forest,Forest,Built-up,NULL,Non_Wetland,NULL
650,Forest,Forest,Forest,NULL,Non_Wetland,NULL
651,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
652,Forest,Forest,Forest,NULL,Non_Wetland,Forest
