Value,AFRICA_2024_DynamicWorld_2024_35NNE_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NNE_M_R,AFRICA_2024_GLC_FCS30D_2022_35NNE_M_R,AFRICA_2024_GSW_Yearly_2021_35NNE_M_R,AFRICA_2024_GWL_FCS30D_2022_35NNE_M_R,AFRICA_2024_WorldCover_2021_35NNE_M_R
450,Water,Water,Forest,Water,Non_Wetland,Water
451,Water,Water,Forest,Water,Non_Wetland,Forest
452,Water,Forest,Shrubland,NULL,Non_Wetland,Grassland
453,Water,Forest,Shrubland,NULL,Non_Wetland,Forest
454,Water,Forest,Wetland,NULL,Wetland,Grassland
455,Water,Forest,Wetland,NULL,Wetland,Forest
456,Water,Forest,Wetland,Non_Water,Wetland,Grassland
457,Water,Forest,Wetland,Non_Water,Wetland,Forest
458,Water,Forest,Wetland,Water,Wetland,Grassland
459,Water,Forest,Wetland,Water,Wetland,Forest
460,Water,Forest,Bareland,NULL,Non_Wetland,Forest
461,Water,Forest,Water,Water,Water,Forest
462,Water,Forest,Forest,NULL,Non_Wetland,NULL
463,Water,Forest,Forest,NULL,Non_Wetland,Grassland
464,Water,Forest,Forest,NULL,Non_Wetland,Wetland
465,Water,Forest,Forest,NULL,Non_Wetland,Forest
466,Water,Forest,Forest,Non_Water,Non_Wetland,Forest
467,Water,Forest,Forest,Water,Non_Wetland,Grassland
468,Water,Forest,Forest,Water,Non_Wetland,Forest
469,Forest,NULL,NULL,NULL,Non_Wetland,NULL
470,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
471,Forest,NULL,NULL,NULL,Non_Wetland,Wetland
472,Forest,NULL,NULL,NULL,Non_Wetland,Forest
473,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
474,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
475,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland
476,Forest,NULL,Shrubland,NULL,Non_Wetland,Built-up
477,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
478,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Forest
479,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
480,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
481,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
482,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
483,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
484,Forest,NULL,Cropland,NULL,Non_Wetland,Cropland
485,Forest,NULL,Cropland,NULL,Non_Wetland,Built-up
486,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
487,Forest,NULL,Cropland,Non_Water,Non_Wetland,Grassland
488,Forest,NULL,Wetland,NULL,Wetland,NULL
489,Forest,NULL,Wetland,NULL,Wetland,Grassland
490,Forest,NULL,Wetland,NULL,Wetland,Wetland
491,Forest,NULL,Wetland,NULL,Wetland,Forest
492,Forest,NULL,Bareland,NULL,Non_Wetland,NULL
493,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland
494,Forest,NULL,Bareland,NULL,Non_Wetland,Wetland
495,Forest,NULL,Bareland,NULL,Non_Wetland,Forest
496,Forest,NULL,Bareland,Non_Water,Non_Wetland,Forest
497,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
498,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland
499,Forest,NULL,Built-up,NULL,Non_Wetland,Built-up
500,Forest,NULL,Built-up,NULL,Non_Wetland,Forest
501,Forest,NULL,Water,NULL,Water,Forest
502,Forest,NULL,Forest,NULL,Non_Wetland,NULL
503,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
504,Forest,NULL,Forest,NULL,Non_Wetland,Wetland
505,Forest,NULL,Forest,NULL,Non_Wetland,Built-up
506,Forest,NULL,Forest,NULL,Non_Wetland,Forest
507,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL
508,Forest,NULL,Forest,Non_Water,Non_Wetland,Grassland
509,Forest,NULL,Forest,Non_Water,Non_Wetland,Forest
510,Forest,NULL,Forest,Water,Non_Wetland,Grassland
511,Forest,NULL,Forest,Water,Non_Wetland,Water
512,Forest,NULL,Forest,Water,Non_Wetland,Forest
513,Forest,Cropland,NULL,NULL,Non_Wetland,Forest
514,Forest,Cropland,Shrubland,NULL,Non_Wetland,Grassland
515,Forest,Cropland,Shrubland,NULL,Non_Wetland,Forest
516,Forest,Cropland,Cropland,NULL,Non_Wetland,Forest
517,Forest,Cropland,Wetland,NULL,Wetland,NULL
518,Forest,Cropland,Bareland,NULL,Non_Wetland,Forest
519,Forest,Cropland,Forest,NULL,Non_Wetland,NULL
520,Forest,Cropland,Forest,NULL,Non_Wetland,Grassland
521,Forest,Cropland,Forest,NULL,Non_Wetland,Forest
522,Forest,Wetland,NULL,NULL,Non_Wetland,Grassland
523,Forest,Wetland,NULL,NULL,Non_Wetland,Forest
524,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL
525,Forest,Wetland,Shrubland,NULL,Non_Wetland,Grassland
526,Forest,Wetland,Shrubland,NULL,Non_Wetland,Forest
527,Forest,Wetland,Wetland,NULL,Wetland,NULL
528,Forest,Wetland,Wetland,NULL,Wetland,Grassland
529,Forest,Wetland,Wetland,NULL,Wetland,Forest
530,Forest,Wetland,Wetland,Non_Water,Wetland,Forest
531,Forest,Wetland,Bareland,NULL,Non_Wetland,Grassland
532,Forest,Wetland,Bareland,NULL,Non_Wetland,Forest
533,Forest,Wetland,Forest,NULL,Non_Wetland,NULL
534,Forest,Wetland,Forest,NULL,Non_Wetland,Grassland
535,Forest,Wetland,Forest,NULL,Non_Wetland,Wetland
536,Forest,Wetland,Forest,NULL,Non_Wetland,Forest
537,Forest,Built-up,NULL,NULL,Non_Wetland,NULL
538,Forest,Built-up,NULL,NULL,Non_Wetland,Grassland
539,Forest,Built-up,NULL,NULL,Non_Wetland,Built-up
540,Forest,Built-up,NULL,NULL,Non_Wetland,Forest
541,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL
542,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland
543,Forest,Built-up,Shrubland,NULL,Non_Wetland,Built-up
544,Forest,Built-up,Shrubland,NULL,Non_Wetland,Forest
545,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL
546,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland
547,Forest,Built-up,Cropland,NULL,Non_Wetland,Built-up
548,Forest,Built-up,Cropland,NULL,Non_Wetland,Forest
549,Forest,Built-up,Cropland,Water,Non_Wetland,Forest
550,Forest,Built-up,Built-up,NULL,Non_Wetland,NULL
551,Forest,Built-up,Built-up,NULL,Non_Wetland,Grassland
552,Forest,Built-up,Built-up,NULL,Non_Wetland,Built-up
553,Forest,Built-up,Built-up,NULL,Non_Wetland,Forest
554,Forest,Built-up,Forest,NULL,Non_Wetland,NULL
555,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland
556,Forest,Built-up,Forest,NULL,Non_Wetland,Built-up
557,Forest,Built-up,Forest,NULL,Non_Wetland,Forest
558,Forest,Built-up,Forest,Non_Water,Non_Wetland,Forest
559,Forest,Built-up,Forest,Water,Non_Wetland,Forest
560,Forest,Water,NULL,NULL,Non_Wetland,Forest
561,Forest,Water,NULL,Water,Non_Wetland,Water
562,Forest,Water,Shrubland,NULL,Non_Wetland,Grassland
563,Forest,Water,Shrubland,NULL,Non_Wetland,Built-up
564,Forest,Water,Shrubland,NULL,Non_Wetland,Water
565,Forest,Water,Shrubland,NULL,Non_Wetland,Forest
566,Forest,Water,Shrubland,Non_Water,Non_Wetland,Forest
567,Forest,Water,Grassland,NULL,Non_Wetland,Forest
568,Forest,Water,Cropland,NULL,Non_Wetland,Forest
569,Forest,Water,Cropland,Water,Non_Wetland,Forest
570,Forest,Water,Wetland,NULL,Wetland,Grassland
571,Forest,Water,Wetland,NULL,Wetland,Wetland
572,Forest,Water,Wetland,NULL,Wetland,Bareland
573,Forest,Water,Wetland,NULL,Wetland,Water
574,Forest,Water,Wetland,NULL,Wetland,Forest
575,Forest,Water,Wetland,Non_Water,Wetland,Water
576,Forest,Water,Wetland,Non_Water,Wetland,Forest
577,Forest,Water,Wetland,Water,Wetland,Water
578,Forest,Water,Wetland,Water,Wetland,Forest
579,Forest,Water,Bareland,NULL,Non_Wetland,Forest
580,Forest,Water,Bareland,Non_Water,Non_Wetland,Forest
581,Forest,Water,Bareland,Water,Non_Wetland,Forest
582,Forest,Water,Water,NULL,Water,Water
583,Forest,Water,Water,NULL,Water,Forest
584,Forest,Water,Water,Non_Water,Water,Water
585,Forest,Water,Water,Non_Water,Water,Forest
586,Forest,Water,Water,Water,Water,Bareland
587,Forest,Water,Water,Water,Water,Water
588,Forest,Water,Water,Water,Water,Forest
589,Forest,Water,Forest,NULL,Non_Wetland,NULL
590,Forest,Water,Forest,NULL,Non_Wetland,Grassland
591,Forest,Water,Forest,NULL,Non_Wetland,Wetland
592,Forest,Water,Forest,NULL,Non_Wetland,Water
593,Forest,Water,Forest,NULL,Non_Wetland,Forest
594,Forest,Water,Forest,Non_Water,Non_Wetland,Grassland
595,Forest,Water,Forest,Non_Water,Non_Wetland,Wetland
596,Forest,Water,Forest,Non_Water,Non_Wetland,Water
597,Forest,Water,Forest,Non_Water,Non_Wetland,Forest
598,Forest,Water,Forest,Water,Non_Wetland,Grassland
599,Forest,Water,Forest,Water,Non_Wetland,Water
600,Forest,Water,Forest,Water,Non_Wetland,Forest
601,Forest,Forest,NULL,NULL,Non_Wetland,NULL
602,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
603,Forest,Forest,NULL,NULL,Non_Wetland,Built-up
604,Forest,Forest,NULL,NULL,Non_Wetland,Forest
605,Forest,Forest,NULL,Non_Water,Non_Wetland,Forest
606,Forest,Forest,NULL,Water,Non_Wetland,Forest
607,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
608,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
609,Forest,Forest,Shrubland,NULL,Non_Wetland,Built-up
610,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
611,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
612,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Forest
613,Forest,Forest,Shrubland,Water,Non_Wetland,Forest
614,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
615,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
616,Forest,Forest,Grassland,NULL,Non_Wetland,Forest
617,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
618,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
619,Forest,Forest,Cropland,NULL,Non_Wetland,Built-up
620,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
621,Forest,Forest,Cropland,Water,Non_Wetland,Forest
622,Forest,Forest,Wetland,NULL,Wetland,NULL
623,Forest,Forest,Wetland,NULL,Wetland,Grassland
624,Forest,Forest,Wetland,NULL,Wetland,Water
625,Forest,Forest,Wetland,NULL,Wetland,Forest
626,Forest,Forest,Wetland,Non_Water,Wetland,Grassland
627,Forest,Forest,Wetland,Non_Water,Wetland,Water
628,Forest,Forest,Wetland,Non_Water,Wetland,Forest
629,Forest,Forest,Wetland,Water,Wetland,Water
630,Forest,Forest,Wetland,Water,Wetland,Forest
631,Forest,Forest,Bareland,NULL,Non_Wetland,NULL
632,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland
633,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
634,Forest,Forest,Bareland,Non_Water,Non_Wetland,Forest
635,Forest,Forest,Bareland,Water,Non_Wetland,Forest
636,Forest,Forest,Built-up,NULL,Non_Wetland,NULL
637,Forest,Forest,Built-up,NULL,Non_Wetland,Grassland
638,Forest,Forest,Built-up,NULL,Non_Wetland,Built-up
639,Forest,Forest,Built-up,NULL,Non_Wetland,Forest
640,Forest,Forest,Water,NULL,Water,Forest
641,Forest,Forest,Water,Non_Water,Water,Forest
642,Forest,Forest,Water,Water,Water,Water
643,Forest,Forest,Water,Water,Water,Forest
644,Forest,Forest,Forest,NULL,Non_Wetland,NULL
645,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
646,Forest,Forest,Forest,NULL,Non_Wetland,Wetland
647,Forest,Forest,Forest,NULL,Non_Wetland,Built-up
648,Forest,Forest,Forest,NULL,Non_Wetland,Water
649,Forest,Forest,Forest,NULL,Non_Wetland,Forest
650,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL
651,Forest,Forest,Forest,Non_Water,Non_Wetland,Grassland
652,Forest,Forest,Forest,Non_Water,Non_Wetland,Water
653,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest
654,Forest,Forest,Forest,Water,Non_Wetland,NULL
655,Forest,Forest,Forest,Water,Non_Wetland,Grassland
656,Forest,Forest,Forest,Water,Non_Wetland,Water
657,Forest,Forest,Forest,Water,Non_Wetland,Forest
