Value,AFRICA_2024_DynamicWorld_2024_35NNH_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NNH_M_R,AFRICA_2024_GLC_FCS30D_2022_35NNH_M_R,AFRICA_2024_GSW_Yearly_2021_35NNH_M_R,AFRICA_2024_GWL_FCS30D_2022_35NNH_M_R,AFRICA_2024_WorldCover_2021_35NNH_M_R
447,Water,Forest,Forest,Water,Non_Wetland,Forest
448,Forest,NULL,NULL,NULL,Non_Wetland,NULL
449,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
450,Forest,NULL,NULL,NULL,Non_Wetland,Cropland
451,Forest,NULL,NULL,NULL,Non_Wetland,Built-up
452,Forest,NULL,NULL,NULL,Non_Wetland,Forest
453,Forest,NULL,NULL,Non_Water,Non_Wetland,NULL
454,Forest,NULL,NULL,Non_Water,Non_Wetland,Grassland
455,Forest,NULL,NULL,Non_Water,Non_Wetland,Forest
456,Forest,NULL,NULL,Water,Non_Wetland,Grassland
457,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
458,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
459,Forest,NULL,Shrubland,NULL,Non_Wetland,Cropland
460,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland
461,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland
462,Forest,NULL,Shrubland,NULL,Non_Wetland,Built-up
463,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
464,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL
465,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
466,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
467,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Forest
468,Forest,NULL,Shrubland,Water,Non_Wetland,NULL
469,Forest,NULL,Shrubland,Water,Non_Wetland,Grassland
470,Forest,NULL,Shrubland,Water,Non_Wetland,Wetland
471,Forest,NULL,Shrubland,Water,Non_Wetland,Forest
472,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
473,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
474,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
475,Forest,NULL,Cropland,NULL,Non_Wetland,Cropland
476,Forest,NULL,Cropland,NULL,Non_Wetland,Built-up
477,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
478,Forest,NULL,Wetland,NULL,Wetland,NULL
479,Forest,NULL,Wetland,NULL,Wetland,Grassland
480,Forest,NULL,Wetland,NULL,Wetland,Forest
481,Forest,NULL,Wetland,Non_Water,Wetland,Grassland
482,Forest,NULL,Wetland,Non_Water,Wetland,Forest
483,Forest,NULL,Wetland,Water,Wetland,NULL
484,Forest,NULL,Wetland,Water,Wetland,Grassland
485,Forest,NULL,Wetland,Water,Wetland,Forest
486,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland
487,Forest,NULL,Bareland,NULL,Non_Wetland,Forest
488,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
489,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland
490,Forest,NULL,Built-up,NULL,Non_Wetland,Built-up
491,Forest,NULL,Water,NULL,Water,NULL
492,Forest,NULL,Water,NULL,Water,Forest
493,Forest,NULL,Forest,NULL,Non_Wetland,NULL
494,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
495,Forest,NULL,Forest,NULL,Non_Wetland,Cropland
496,Forest,NULL,Forest,NULL,Non_Wetland,Wetland
497,Forest,NULL,Forest,NULL,Non_Wetland,Bareland
498,Forest,NULL,Forest,NULL,Non_Wetland,Built-up
499,Forest,NULL,Forest,NULL,Non_Wetland,Forest
500,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL
501,Forest,NULL,Forest,Non_Water,Non_Wetland,Grassland
502,Forest,NULL,Forest,Non_Water,Non_Wetland,Wetland
503,Forest,NULL,Forest,Non_Water,Non_Wetland,Forest
504,Forest,NULL,Forest,Water,Non_Wetland,NULL
505,Forest,NULL,Forest,Water,Non_Wetland,Grassland
506,Forest,NULL,Forest,Water,Non_Wetland,Wetland
507,Forest,NULL,Forest,Water,Non_Wetland,Forest
508,Forest,Cropland,NULL,NULL,Non_Wetland,NULL
509,Forest,Cropland,NULL,NULL,Non_Wetland,Grassland
510,Forest,Cropland,Shrubland,NULL,Non_Wetland,Grassland
511,Forest,Cropland,Forest,NULL,Non_Wetland,NULL
512,Forest,Cropland,Forest,NULL,Non_Wetland,Grassland
513,Forest,Cropland,Forest,NULL,Non_Wetland,Forest
514,Forest,Built-up,NULL,NULL,Non_Wetland,NULL
515,Forest,Built-up,NULL,NULL,Non_Wetland,Grassland
516,Forest,Built-up,NULL,NULL,Non_Wetland,Cropland
517,Forest,Built-up,NULL,NULL,Non_Wetland,Forest
518,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL
519,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland
520,Forest,Built-up,Shrubland,NULL,Non_Wetland,Cropland
521,Forest,Built-up,Shrubland,NULL,Non_Wetland,Forest
522,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL
523,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland
524,Forest,Built-up,Cropland,NULL,Non_Wetland,Built-up
525,Forest,Built-up,Cropland,NULL,Non_Wetland,Forest
526,Forest,Built-up,Bareland,NULL,Non_Wetland,Forest
527,Forest,Built-up,Built-up,NULL,Non_Wetland,Grassland
528,Forest,Built-up,Built-up,NULL,Non_Wetland,Built-up
529,Forest,Built-up,Forest,NULL,Non_Wetland,NULL
530,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland
531,Forest,Built-up,Forest,NULL,Non_Wetland,Built-up
532,Forest,Built-up,Forest,NULL,Non_Wetland,Forest
533,Forest,Water,NULL,NULL,Non_Wetland,Forest
534,Forest,Water,NULL,Non_Water,Non_Wetland,Forest
535,Forest,Water,NULL,Water,Non_Wetland,Forest
536,Forest,Water,Shrubland,NULL,Non_Wetland,NULL
537,Forest,Water,Shrubland,NULL,Non_Wetland,Grassland
538,Forest,Water,Shrubland,NULL,Non_Wetland,Forest
539,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL
540,Forest,Water,Shrubland,Non_Water,Non_Wetland,Grassland
541,Forest,Water,Shrubland,Non_Water,Non_Wetland,Forest
542,Forest,Water,Shrubland,Water,Non_Wetland,NULL
543,Forest,Water,Shrubland,Water,Non_Wetland,Grassland
544,Forest,Water,Shrubland,Water,Non_Wetland,Forest
545,Forest,Water,Cropland,NULL,Non_Wetland,Forest
546,Forest,Water,Wetland,NULL,Wetland,NULL
547,Forest,Water,Wetland,NULL,Wetland,Grassland
548,Forest,Water,Wetland,NULL,Wetland,Forest
549,Forest,Water,Wetland,Non_Water,Wetland,NULL
550,Forest,Water,Wetland,Non_Water,Wetland,Forest
551,Forest,Water,Wetland,Water,Wetland,Grassland
552,Forest,Water,Wetland,Water,Wetland,Forest
553,Forest,Water,Bareland,NULL,Non_Wetland,Forest
554,Forest,Water,Bareland,Water,Non_Wetland,Forest
555,Forest,Water,Water,NULL,Water,Grassland
556,Forest,Water,Water,NULL,Water,Forest
557,Forest,Water,Water,Non_Water,Water,Forest
558,Forest,Water,Water,Water,Water,Forest
559,Forest,Water,Forest,NULL,Non_Wetland,NULL
560,Forest,Water,Forest,NULL,Non_Wetland,Grassland
561,Forest,Water,Forest,NULL,Non_Wetland,Forest
562,Forest,Water,Forest,Non_Water,Non_Wetland,NULL
563,Forest,Water,Forest,Non_Water,Non_Wetland,Grassland
564,Forest,Water,Forest,Non_Water,Non_Wetland,Forest
565,Forest,Water,Forest,Water,Non_Wetland,Grassland
566,Forest,Water,Forest,Water,Non_Wetland,Forest
567,Forest,Forest,NULL,NULL,Non_Wetland,NULL
568,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
569,Forest,Forest,NULL,NULL,Non_Wetland,Built-up
570,Forest,Forest,NULL,NULL,Non_Wetland,Forest
571,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL
572,Forest,Forest,NULL,Non_Water,Non_Wetland,Grassland
573,Forest,Forest,NULL,Non_Water,Non_Wetland,Forest
574,Forest,Forest,NULL,Water,Non_Wetland,Forest
575,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
576,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
577,Forest,Forest,Shrubland,NULL,Non_Wetland,Wetland
578,Forest,Forest,Shrubland,NULL,Non_Wetland,Bareland
579,Forest,Forest,Shrubland,NULL,Non_Wetland,Built-up
580,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
581,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL
582,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
583,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Forest
584,Forest,Forest,Shrubland,Water,Non_Wetland,NULL
585,Forest,Forest,Shrubland,Water,Non_Wetland,Grassland
586,Forest,Forest,Shrubland,Water,Non_Wetland,Forest
587,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
588,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
589,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
590,Forest,Forest,Wetland,NULL,Wetland,NULL
591,Forest,Forest,Wetland,NULL,Wetland,Grassland
592,Forest,Forest,Wetland,NULL,Wetland,Forest
593,Forest,Forest,Wetland,Non_Water,Wetland,NULL
594,Forest,Forest,Wetland,Non_Water,Wetland,Grassland
595,Forest,Forest,Wetland,Non_Water,Wetland,Forest
596,Forest,Forest,Wetland,Water,Wetland,Forest
597,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
598,Forest,Forest,Bareland,Non_Water,Non_Wetland,Forest
599,Forest,Forest,Bareland,Water,Non_Wetland,Forest
600,Forest,Forest,Built-up,NULL,Non_Wetland,NULL
601,Forest,Forest,Built-up,NULL,Non_Wetland,Grassland
602,Forest,Forest,Built-up,NULL,Non_Wetland,Built-up
603,Forest,Forest,Built-up,NULL,Non_Wetland,Forest
604,Forest,Forest,Water,NULL,Water,Grassland
605,Forest,Forest,Water,NULL,Water,Forest
606,Forest,Forest,Water,Non_Water,Water,Forest
607,Forest,Forest,Water,Water,Water,Forest
608,Forest,Forest,Forest,NULL,Non_Wetland,NULL
609,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
610,Forest,Forest,Forest,NULL,Non_Wetland,Cropland
611,Forest,Forest,Forest,NULL,Non_Wetland,Wetland
612,Forest,Forest,Forest,NULL,Non_Wetland,Built-up
613,Forest,Forest,Forest,NULL,Non_Wetland,Forest
614,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL
615,Forest,Forest,Forest,Non_Water,Non_Wetland,Grassland
616,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest
617,Forest,Forest,Forest,Water,Non_Wetland,NULL
618,Forest,Forest,Forest,Water,Non_Wetland,Grassland
619,Forest,Forest,Forest,Water,Non_Wetland,Forest
