Value,AFRICA_2024_DynamicWorld_2024_36NTK_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NTK_M_R,AFRICA_2024_GLC_FCS30D_2022_36NTK_M_R,AFRICA_2024_GSW_Yearly_2021_36NTK_M_R,AFRICA_2024_GWL_FCS30D_2022_36NTK_M_R,AFRICA_2024_WorldCover_2021_36NTK_M_R
436,Forest,Wetland,NULL,NULL,Non_Wetland,Forest
437,Forest,Wetland,Wetland,NULL,Wetland,Forest
438,Forest,Built-up,NULL,NULL,Non_Wetland,NULL
439,Forest,Built-up,NULL,NULL,Non_Wetland,Grassland
440,Forest,Built-up,NULL,NULL,Non_Wetland,Cropland
441,Forest,Built-up,NULL,NULL,Non_Wetland,Forest
442,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL
443,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland
444,Forest,Built-up,Shrubland,NULL,Non_Wetland,Cropland
445,Forest,Built-up,Shrubland,NULL,Non_Wetland,Built-up
446,Forest,Built-up,Shrubland,NULL,Non_Wetland,Forest
447,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL
448,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland
449,Forest,Built-up,Cropland,NULL,Non_Wetland,Cropland
450,Forest,Built-up,Cropland,NULL,Non_Wetland,Built-up
451,Forest,Built-up,Cropland,NULL,Non_Wetland,Forest
452,Forest,Built-up,Wetland,NULL,Wetland,Grassland
453,Forest,Built-up,Wetland,NULL,Wetland,Forest
454,Forest,Built-up,Bareland,NULL,Non_Wetland,Grassland
455,Forest,Built-up,Bareland,NULL,Non_Wetland,Forest
456,Forest,Built-up,Built-up,NULL,Non_Wetland,NULL
457,Forest,Built-up,Built-up,NULL,Non_Wetland,Grassland
458,Forest,Built-up,Built-up,NULL,Non_Wetland,Cropland
459,Forest,Built-up,Built-up,NULL,Non_Wetland,Built-up
460,Forest,Built-up,Built-up,NULL,Non_Wetland,Forest
461,Forest,Built-up,Forest,NULL,Non_Wetland,NULL
462,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland
463,Forest,Built-up,Forest,NULL,Non_Wetland,Cropland
464,Forest,Built-up,Forest,NULL,Non_Wetland,Built-up
465,Forest,Built-up,Forest,NULL,Non_Wetland,Forest
466,Forest,Water,NULL,NULL,Non_Wetland,Grassland
467,Forest,Water,NULL,NULL,Non_Wetland,Forest
468,Forest,Water,Shrubland,NULL,Non_Wetland,Grassland
469,Forest,Water,Shrubland,NULL,Non_Wetland,Bareland
470,Forest,Water,Shrubland,NULL,Non_Wetland,Forest
471,Forest,Water,Wetland,NULL,Wetland,NULL
472,Forest,Water,Wetland,NULL,Wetland,Grassland
473,Forest,Water,Wetland,NULL,Wetland,Forest
474,Forest,Water,Wetland,Non_Water,Wetland,Forest
475,Forest,Water,Bareland,NULL,Non_Wetland,NULL
476,Forest,Water,Bareland,NULL,Non_Wetland,Forest
477,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL
478,Forest,Water,Water,Water,Water,Forest
479,Forest,Water,Forest,NULL,Non_Wetland,NULL
480,Forest,Water,Forest,NULL,Non_Wetland,Grassland
481,Forest,Water,Forest,NULL,Non_Wetland,Forest
482,Forest,Water,Forest,Non_Water,Non_Wetland,Forest
483,Forest,Forest,NULL,NULL,Non_Wetland,NULL
484,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
485,Forest,Forest,NULL,NULL,Non_Wetland,Cropland
486,Forest,Forest,NULL,NULL,Non_Wetland,Wetland
487,Forest,Forest,NULL,NULL,Non_Wetland,Built-up
488,Forest,Forest,NULL,NULL,Non_Wetland,Forest
489,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL
490,Forest,Forest,NULL,Non_Water,Non_Wetland,Grassland
491,Forest,Forest,NULL,Non_Water,Non_Wetland,Forest
492,Forest,Forest,NULL,Water,Non_Wetland,Grassland
493,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
494,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
495,Forest,Forest,Shrubland,NULL,Non_Wetland,Cropland
496,Forest,Forest,Shrubland,NULL,Non_Wetland,Wetland
497,Forest,Forest,Shrubland,NULL,Non_Wetland,Bareland
498,Forest,Forest,Shrubland,NULL,Non_Wetland,Built-up
499,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
500,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL
501,Forest,Forest,Shrubland,Water,Non_Wetland,Grassland
502,Forest,Forest,Shrubland,Water,Non_Wetland,Forest
503,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
504,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
505,Forest,Forest,Grassland,NULL,Non_Wetland,Forest
506,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
507,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
508,Forest,Forest,Cropland,NULL,Non_Wetland,Cropland
509,Forest,Forest,Cropland,NULL,Non_Wetland,Wetland
510,Forest,Forest,Cropland,NULL,Non_Wetland,Built-up
511,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
512,Forest,Forest,Cropland,Non_Water,Non_Wetland,NULL
513,Forest,Forest,Wetland,NULL,Wetland,NULL
514,Forest,Forest,Wetland,NULL,Wetland,Grassland
515,Forest,Forest,Wetland,NULL,Wetland,Wetland
516,Forest,Forest,Wetland,NULL,Wetland,Built-up
517,Forest,Forest,Wetland,NULL,Wetland,Forest
518,Forest,Forest,Wetland,Non_Water,Wetland,Grassland
519,Forest,Forest,Wetland,Non_Water,Wetland,Forest
520,Forest,Forest,Wetland,Water,Wetland,Wetland
521,Forest,Forest,Bareland,NULL,Non_Wetland,NULL
522,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland
523,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
524,Forest,Forest,Built-up,NULL,Non_Wetland,NULL
525,Forest,Forest,Built-up,NULL,Non_Wetland,Grassland
526,Forest,Forest,Built-up,NULL,Non_Wetland,Cropland
527,Forest,Forest,Built-up,NULL,Non_Wetland,Bareland
528,Forest,Forest,Built-up,NULL,Non_Wetland,Built-up
529,Forest,Forest,Built-up,NULL,Non_Wetland,Forest
530,Forest,Forest,Water,NULL,Water,Grassland
531,Forest,Forest,Water,NULL,Water,Forest
532,Forest,Forest,Water,Water,Water,Wetland
533,Forest,Forest,Water,Water,Water,Forest
534,Forest,Forest,Forest,NULL,Non_Wetland,NULL
535,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
536,Forest,Forest,Forest,NULL,Non_Wetland,Cropland
537,Forest,Forest,Forest,NULL,Non_Wetland,Wetland
538,Forest,Forest,Forest,NULL,Non_Wetland,Bareland
539,Forest,Forest,Forest,NULL,Non_Wetland,Built-up
540,Forest,Forest,Forest,NULL,Non_Wetland,Forest
541,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL
542,Forest,Forest,Forest,Non_Water,Non_Wetland,Grassland
543,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest
544,Forest,Forest,Forest,Water,Non_Wetland,NULL
545,Forest,Forest,Forest,Water,Non_Wetland,Grassland
546,Forest,Forest,Forest,Water,Non_Wetland,Wetland
547,Forest,Forest,Forest,Water,Non_Wetland,Forest
