Value,AFRICA_2024_DynamicWorld_2024_37NGF_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NGF_M_R,AFRICA_2024_GLC_FCS30D_2022_37NGF_M_R,AFRICA_2024_GSW_Yearly_2021_37NGF_M_R,AFRICA_2024_GWL_FCS30D_2022_37NGF_M_R,AFRICA_2024_WorldCover_2021_37NGF_M_R
422,Cropland,Cropland,Bareland,Water,Non_Wetland,Grassland
423,Cropland,Cropland,Bareland,Water,Non_Wetland,Cropland
424,Cropland,Cropland,Bareland,Water,Non_Wetland,Forest
425,Cropland,Cropland,Built-up,NULL,Non_Wetland,Forest
426,Cropland,Cropland,Water,Non_Water,Water,Cropland
427,Cropland,Cropland,Water,Water,Water,Cropland
428,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
429,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
430,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
431,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
432,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Forest
433,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
434,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
435,Cropland,Bareland,Cropland,NULL,Non_Wetland,Grassland
436,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL
437,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL
438,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
439,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
440,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
441,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Forest
442,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL
443,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
444,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
445,Cropland,Built-up,Grassland,NULL,Non_Wetland,Built-up
446,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL
447,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
448,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL
449,Cropland,Water,Shrubland,NULL,Non_Wetland,Grassland
450,Cropland,Water,Shrubland,NULL,Non_Wetland,Cropland
451,Cropland,Water,Shrubland,NULL,Non_Wetland,Forest
452,Cropland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
453,Cropland,Water,Shrubland,Non_Water,Non_Wetland,Cropland
454,Cropland,Water,Shrubland,Non_Water,Non_Wetland,Bareland
455,Cropland,Water,Shrubland,Non_Water,Non_Wetland,Forest
456,Cropland,Water,Shrubland,Water,Non_Wetland,Grassland
457,Cropland,Water,Shrubland,Water,Non_Wetland,Cropland
458,Cropland,Water,Shrubland,Water,Non_Wetland,Forest
459,Cropland,Water,Grassland,NULL,Non_Wetland,Grassland
460,Cropland,Water,Grassland,NULL,Non_Wetland,Cropland
461,Cropland,Water,Grassland,NULL,Non_Wetland,Forest
462,Cropland,Water,Grassland,Non_Water,Non_Wetland,Grassland
463,Cropland,Water,Grassland,Non_Water,Non_Wetland,Cropland
464,Cropland,Water,Grassland,Non_Water,Non_Wetland,Bareland
465,Cropland,Water,Grassland,Non_Water,Non_Wetland,Forest
466,Cropland,Water,Grassland,Water,Non_Wetland,Grassland
467,Cropland,Water,Grassland,Water,Non_Wetland,Cropland
468,Cropland,Water,Cropland,NULL,Non_Wetland,NULL
469,Cropland,Water,Cropland,NULL,Non_Wetland,Grassland
470,Cropland,Water,Cropland,NULL,Non_Wetland,Cropland
471,Cropland,Water,Cropland,NULL,Non_Wetland,Forest
472,Cropland,Water,Cropland,Non_Water,Non_Wetland,Grassland
473,Cropland,Water,Cropland,Non_Water,Non_Wetland,Cropland
474,Cropland,Water,Cropland,Non_Water,Non_Wetland,Forest
475,Cropland,Water,Cropland,Water,Non_Wetland,Grassland
476,Cropland,Water,Cropland,Water,Non_Wetland,Forest
477,Cropland,Water,Wetland,NULL,Wetland,Grassland
478,Cropland,Water,Wetland,Water,Wetland,Cropland
479,Cropland,Water,Wetland,Water,Wetland,Forest
480,Cropland,Water,Bareland,NULL,Non_Wetland,Grassland
481,Cropland,Water,Bareland,NULL,Non_Wetland,Cropland
482,Cropland,Water,Bareland,NULL,Non_Wetland,Forest
483,Cropland,Water,Bareland,Non_Water,Non_Wetland,Grassland
484,Cropland,Water,Bareland,Water,Non_Wetland,Grassland
485,Cropland,Water,Water,NULL,Water,Forest
486,Cropland,Water,Forest,Non_Water,Non_Wetland,Grassland
487,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
488,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
489,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
490,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
491,Cropland,Forest,Shrubland,NULL,Non_Wetland,Cropland
492,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland
493,Cropland,Forest,Shrubland,NULL,Non_Wetland,Built-up
494,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
495,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
496,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
497,Cropland,Forest,Grassland,NULL,Non_Wetland,Built-up
498,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
499,Cropland,Forest,Grassland,Non_Water,Non_Wetland,NULL
500,Cropland,Forest,Grassland,Water,Non_Wetland,Grassland
501,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
502,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
503,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland
504,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
505,Cropland,Forest,Cropland,Non_Water,Non_Wetland,Grassland
506,Cropland,Forest,Cropland,Water,Non_Wetland,Grassland
507,Cropland,Forest,Cropland,Water,Non_Wetland,Cropland
508,Cropland,Forest,Cropland,Water,Non_Wetland,Forest
509,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL
510,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
511,Wetland,NULL,NULL,NULL,Non_Wetland,NULL
512,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
513,Wetland,NULL,NULL,NULL,Non_Wetland,Forest
514,Wetland,NULL,NULL,Non_Water,Non_Wetland,Cropland
515,Wetland,NULL,NULL,Water,Non_Wetland,NULL
516,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
517,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
518,Wetland,NULL,Shrubland,NULL,Non_Wetland,Cropland
519,Wetland,NULL,Shrubland,NULL,Non_Wetland,Bareland
520,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
521,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
522,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
523,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
524,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL
525,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
526,Wetland,NULL,Grassland,NULL,Non_Wetland,Cropland
527,Wetland,NULL,Grassland,NULL,Non_Wetland,Forest
528,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL
529,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
530,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
531,Wetland,NULL,Grassland,Water,Non_Wetland,Grassland
532,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL
533,Wetland,NULL,Cropland,NULL,Non_Wetland,Grassland
534,Wetland,NULL,Cropland,NULL,Non_Wetland,Cropland
535,Wetland,NULL,Cropland,NULL,Non_Wetland,Bareland
536,Wetland,NULL,Cropland,NULL,Non_Wetland,Forest
537,Wetland,NULL,Cropland,Non_Water,Non_Wetland,NULL
538,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
539,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
540,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Forest
541,Wetland,NULL,Cropland,Water,Non_Wetland,NULL
542,Wetland,NULL,Cropland,Water,Non_Wetland,Grassland
543,Wetland,NULL,Cropland,Water,Non_Wetland,Forest
544,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
545,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL
546,Wetland,NULL,Bareland,NULL,Non_Wetland,Grassland
547,Wetland,NULL,Bareland,NULL,Non_Wetland,Cropland
548,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland
549,Wetland,NULL,Bareland,NULL,Non_Wetland,Bareland
550,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
551,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Forest
552,Wetland,NULL,Bareland,Water,Non_Wetland,NULL
553,Wetland,NULL,Forest,NULL,Non_Wetland,NULL
554,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
555,Wetland,NULL,Forest,Water,Non_Wetland,Forest
556,Wetland,Cropland,NULL,NULL,Non_Wetland,NULL
557,Wetland,Cropland,NULL,NULL,Non_Wetland,Forest
558,Wetland,Cropland,Shrubland,NULL,Non_Wetland,NULL
559,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
560,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Forest
561,Wetland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
562,Wetland,Cropland,Grassland,NULL,Non_Wetland,NULL
563,Wetland,Cropland,Grassland,NULL,Non_Wetland,Grassland
564,Wetland,Cropland,Grassland,NULL,Non_Wetland,Forest
565,Wetland,Cropland,Grassland,Non_Water,Non_Wetland,NULL
566,Wetland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
567,Wetland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
568,Wetland,Cropland,Cropland,NULL,Non_Wetland,NULL
569,Wetland,Cropland,Cropland,NULL,Non_Wetland,Grassland
570,Wetland,Cropland,Cropland,NULL,Non_Wetland,Forest
571,Wetland,Cropland,Cropland,Non_Water,Non_Wetland,NULL
572,Wetland,Cropland,Cropland,Non_Water,Non_Wetland,Forest
573,Wetland,Cropland,Forest,NULL,Non_Wetland,NULL
574,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL
575,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL
576,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Forest
577,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
578,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL
579,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,NULL
580,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL
581,Wetland,Wetland,Cropland,Non_Water,Non_Wetland,NULL
582,Wetland,Wetland,Cropland,Non_Water,Non_Wetland,Forest
583,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL
584,Wetland,Water,NULL,NULL,Non_Wetland,NULL
585,Wetland,Water,NULL,NULL,Non_Wetland,Forest
586,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL
587,Wetland,Water,Shrubland,NULL,Non_Wetland,Grassland
588,Wetland,Water,Shrubland,NULL,Non_Wetland,Cropland
589,Wetland,Water,Shrubland,NULL,Non_Wetland,Water
590,Wetland,Water,Shrubland,NULL,Non_Wetland,Forest
591,Wetland,Water,Shrubland,Non_Water,Non_Wetland,NULL
592,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
593,Wetland,Water,Shrubland,Water,Non_Wetland,Grassland
594,Wetland,Water,Shrubland,Water,Non_Wetland,Forest
595,Wetland,Water,Grassland,NULL,Non_Wetland,NULL
596,Wetland,Water,Grassland,NULL,Non_Wetland,Grassland
597,Wetland,Water,Grassland,NULL,Non_Wetland,Cropland
598,Wetland,Water,Grassland,NULL,Non_Wetland,Forest
599,Wetland,Water,Grassland,Non_Water,Non_Wetland,NULL
600,Wetland,Water,Grassland,Non_Water,Non_Wetland,Grassland
601,Wetland,Water,Grassland,Water,Non_Wetland,NULL
602,Wetland,Water,Grassland,Water,Non_Wetland,Grassland
603,Wetland,Water,Grassland,Water,Non_Wetland,Cropland
604,Wetland,Water,Grassland,Water,Non_Wetland,Forest
605,Wetland,Water,Cropland,NULL,Non_Wetland,NULL
606,Wetland,Water,Cropland,NULL,Non_Wetland,Grassland
607,Wetland,Water,Cropland,NULL,Non_Wetland,Cropland
608,Wetland,Water,Cropland,NULL,Non_Wetland,Forest
609,Wetland,Water,Cropland,Non_Water,Non_Wetland,NULL
610,Wetland,Water,Cropland,Non_Water,Non_Wetland,Grassland
611,Wetland,Water,Cropland,Non_Water,Non_Wetland,Forest
612,Wetland,Water,Wetland,Water,Wetland,Forest
613,Wetland,Water,Bareland,NULL,Non_Wetland,NULL
614,Wetland,Water,Bareland,NULL,Non_Wetland,Grassland
615,Wetland,Water,Bareland,NULL,Non_Wetland,Bareland
616,Wetland,Water,Bareland,NULL,Non_Wetland,Forest
617,Wetland,Water,Bareland,Non_Water,Non_Wetland,Grassland
618,Wetland,Water,Bareland,Water,Non_Wetland,Grassland
619,Wetland,Water,Forest,NULL,Non_Wetland,NULL
620,Wetland,Water,Forest,NULL,Non_Wetland,Grassland
621,Wetland,Water,Forest,NULL,Non_Wetland,Forest
622,Wetland,Water,Forest,Water,Non_Wetland,Forest
623,Wetland,Forest,NULL,NULL,Non_Wetland,NULL
624,Wetland,Forest,NULL,NULL,Non_Wetland,Forest
625,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL
626,Wetland,Forest,Shrubland,NULL,Non_Wetland,Grassland
627,Wetland,Forest,Shrubland,NULL,Non_Wetland,Cropland
628,Wetland,Forest,Shrubland,NULL,Non_Wetland,Forest
629,Wetland,Forest,Shrubland,Water,Non_Wetland,NULL
630,Wetland,Forest,Shrubland,Water,Non_Wetland,Grassland
631,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL
632,Wetland,Forest,Grassland,NULL,Non_Wetland,Grassland
633,Wetland,Forest,Grassland,NULL,Non_Wetland,Cropland
634,Wetland,Forest,Grassland,NULL,Non_Wetland,Forest
635,Wetland,Forest,Grassland,Non_Water,Non_Wetland,Grassland
636,Wetland,Forest,Grassland,Water,Non_Wetland,Grassland
637,Wetland,Forest,Cropland,NULL,Non_Wetland,NULL
638,Wetland,Forest,Cropland,NULL,Non_Wetland,Grassland
639,Wetland,Forest,Cropland,NULL,Non_Wetland,Cropland
640,Wetland,Forest,Cropland,NULL,Non_Wetland,Forest
641,Wetland,Forest,Cropland,Non_Water,Non_Wetland,NULL
642,Wetland,Forest,Cropland,Water,Non_Wetland,Forest
643,Wetland,Forest,Bareland,NULL,Non_Wetland,NULL
644,Wetland,Forest,Bareland,NULL,Non_Wetland,Grassland
645,Wetland,Forest,Bareland,NULL,Non_Wetland,Cropland
646,Wetland,Forest,Bareland,NULL,Non_Wetland,Forest
647,Wetland,Forest,Built-up,NULL,Non_Wetland,NULL
648,Wetland,Forest,Built-up,NULL,Non_Wetland,Grassland
649,Wetland,Forest,Forest,NULL,Non_Wetland,NULL
650,Wetland,Forest,Forest,NULL,Non_Wetland,Forest
651,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
652,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
653,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland
654,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
655,Bareland,NULL,NULL,NULL,Non_Wetland,Forest
656,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
657,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
658,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
659,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
660,Bareland,NULL,Shrubland,NULL,Non_Wetland,Built-up
661,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest
662,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
663,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
664,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
665,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
666,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL
667,Bareland,NULL,Shrubland,Water,Non_Wetland,Grassland
668,Bareland,NULL,Shrubland,Water,Non_Wetland,Cropland
669,Bareland,NULL,Shrubland,Water,Non_Wetland,Bareland
670,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
671,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
672,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
673,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
674,Bareland,NULL,Grassland,NULL,Non_Wetland,Built-up
675,Bareland,NULL,Grassland,NULL,Non_Wetland,Forest
676,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL
677,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
678,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
679,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
680,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Forest
681,Bareland,NULL,Grassland,Water,Non_Wetland,NULL
682,Bareland,NULL,Grassland,Water,Non_Wetland,Grassland
683,Bareland,NULL,Grassland,Water,Non_Wetland,Bareland
684,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
685,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
686,Bareland,NULL,Cropland,NULL,Non_Wetland,Cropland
687,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
688,Bareland,NULL,Cropland,NULL,Non_Wetland,Forest
689,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
690,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
691,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
692,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Forest
693,Bareland,NULL,Cropland,Water,Non_Wetland,NULL
694,Bareland,NULL,Cropland,Water,Non_Wetland,Grassland
695,Bareland,NULL,Cropland,Water,Non_Wetland,Cropland
696,Bareland,NULL,Cropland,Water,Non_Wetland,Bareland
697,Bareland,NULL,Wetland,NULL,Wetland,Grassland
698,Bareland,NULL,Wetland,Water,Wetland,Grassland
699,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
700,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
701,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
702,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
703,Bareland,NULL,Bareland,NULL,Non_Wetland,Cropland
704,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
705,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
706,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
707,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
708,Bareland,NULL,Bareland,Water,Non_Wetland,NULL
709,Bareland,NULL,Bareland,Water,Non_Wetland,Grassland
710,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
711,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL
712,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
713,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
714,Bareland,NULL,Built-up,NULL,Non_Wetland,Forest
715,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
716,Bareland,NULL,Built-up,Water,Non_Wetland,Bareland
717,Bareland,NULL,Water,Non_Water,Water,Grassland
718,Bareland,NULL,Water,Non_Water,Water,Bareland
719,Bareland,NULL,Forest,NULL,Non_Wetland,NULL
720,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL
721,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
722,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
723,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL
724,Bareland,Cropland,Grassland,NULL,Non_Wetland,Grassland
725,Bareland,Cropland,Grassland,NULL,Non_Wetland,Cropland
726,Bareland,Cropland,Grassland,NULL,Non_Wetland,Forest
727,Bareland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
728,Bareland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
729,Bareland,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
730,Bareland,Cropland,Cropland,NULL,Non_Wetland,Grassland
731,Bareland,Cropland,Cropland,NULL,Non_Wetland,Cropland
732,Bareland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
733,Bareland,Cropland,Wetland,Water,Wetland,Cropland
734,Bareland,Cropland,Wetland,Water,Wetland,Bareland
735,Bareland,Cropland,Water,Water,Water,Water
736,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland
737,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL
738,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
739,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
740,Bareland,Bareland,Shrubland,Water,Non_Wetland,Bareland
741,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL
742,Bareland,Bareland,Grassland,NULL,Non_Wetland,Grassland
743,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland
744,Bareland,Bareland,Grassland,NULL,Non_Wetland,Forest
745,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,NULL
746,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
747,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
748,Bareland,Bareland,Grassland,Water,Non_Wetland,Grassland
749,Bareland,Bareland,Grassland,Water,Non_Wetland,Bareland
750,Bareland,Bareland,Cropland,NULL,Non_Wetland,Grassland
751,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland
752,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Cropland
753,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
754,Bareland,Bareland,Wetland,Non_Water,Wetland,Grassland
755,Bareland,Bareland,Wetland,Non_Water,Wetland,Cropland
756,Bareland,Bareland,Wetland,Water,Wetland,Bareland
757,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
758,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL
759,Bareland,Bareland,Bareland,NULL,Non_Wetland,Grassland
760,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland
761,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
762,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland
763,Bareland,Bareland,Built-up,NULL,Non_Wetland,NULL
764,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland
765,Bareland,Bareland,Water,Water,Water,Grassland
766,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
767,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
768,Bareland,Built-up,Grassland,NULL,Non_Wetland,NULL
769,Bareland,Built-up,Grassland,NULL,Non_Wetland,Grassland
770,Bareland,Built-up,Grassland,NULL,Non_Wetland,Bareland
771,Bareland,Built-up,Grassland,NULL,Non_Wetland,Built-up
772,Bareland,Built-up,Bareland,NULL,Non_Wetland,Grassland
773,Bareland,Built-up,Bareland,NULL,Non_Wetland,Bareland
774,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland
775,Bareland,Water,NULL,NULL,Non_Wetland,Grassland
776,Bareland,Water,NULL,NULL,Non_Wetland,Bareland
777,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL
778,Bareland,Water,Shrubland,NULL,Non_Wetland,Grassland
779,Bareland,Water,Shrubland,NULL,Non_Wetland,Cropland
780,Bareland,Water,Shrubland,NULL,Non_Wetland,Bareland
781,Bareland,Water,Shrubland,NULL,Non_Wetland,Built-up
782,Bareland,Water,Shrubland,NULL,Non_Wetland,Forest
783,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
784,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Cropland
785,Bareland,Water,Shrubland,Water,Non_Wetland,Cropland
786,Bareland,Water,Shrubland,Water,Non_Wetland,Bareland
787,Bareland,Water,Grassland,NULL,Non_Wetland,NULL
788,Bareland,Water,Grassland,NULL,Non_Wetland,Grassland
789,Bareland,Water,Grassland,NULL,Non_Wetland,Cropland
790,Bareland,Water,Grassland,NULL,Non_Wetland,Bareland
791,Bareland,Water,Grassland,NULL,Non_Wetland,Forest
792,Bareland,Water,Grassland,Non_Water,Non_Wetland,Grassland
793,Bareland,Water,Grassland,Non_Water,Non_Wetland,Cropland
794,Bareland,Water,Grassland,Non_Water,Non_Wetland,Bareland
795,Bareland,Water,Grassland,Non_Water,Non_Wetland,Forest
796,Bareland,Water,Grassland,Water,Non_Wetland,Grassland
797,Bareland,Water,Grassland,Water,Non_Wetland,Bareland
798,Bareland,Water,Grassland,Water,Non_Wetland,Forest
799,Bareland,Water,Cropland,NULL,Non_Wetland,NULL
800,Bareland,Water,Cropland,NULL,Non_Wetland,Grassland
801,Bareland,Water,Cropland,NULL,Non_Wetland,Cropland
802,Bareland,Water,Cropland,NULL,Non_Wetland,Bareland
803,Bareland,Water,Cropland,NULL,Non_Wetland,Forest
804,Bareland,Water,Cropland,Non_Water,Non_Wetland,Grassland
805,Bareland,Water,Cropland,Non_Water,Non_Wetland,Cropland
806,Bareland,Water,Cropland,Non_Water,Non_Wetland,Bareland
807,Bareland,Water,Cropland,Non_Water,Non_Wetland,Forest
808,Bareland,Water,Cropland,Water,Non_Wetland,Grassland
809,Bareland,Water,Cropland,Water,Non_Wetland,Bareland
810,Bareland,Water,Cropland,Water,Non_Wetland,Water
811,Bareland,Water,Wetland,NULL,Wetland,Grassland
812,Bareland,Water,Wetland,NULL,Wetland,Cropland
813,Bareland,Water,Wetland,NULL,Wetland,Bareland
814,Bareland,Water,Wetland,Non_Water,Wetland,Bareland
815,Bareland,Water,Wetland,Water,Wetland,Grassland
816,Bareland,Water,Wetland,Water,Wetland,Cropland
817,Bareland,Water,Wetland,Water,Wetland,Bareland
818,Bareland,Water,Wetland,Water,Wetland,Water
819,Bareland,Water,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
820,Bareland,Water,Bareland,NULL,Non_Wetland,NULL
821,Bareland,Water,Bareland,NULL,Non_Wetland,Grassland
822,Bareland,Water,Bareland,NULL,Non_Wetland,Bareland
823,Bareland,Water,Bareland,Non_Water,Non_Wetland,Grassland
824,Bareland,Water,Bareland,Non_Water,Non_Wetland,Bareland
825,Bareland,Water,Bareland,Non_Water,Non_Wetland,Water
826,Bareland,Water,Bareland,Water,Non_Wetland,Grassland
827,Bareland,Water,Bareland,Water,Non_Wetland,Cropland
828,Bareland,Water,Bareland,Water,Non_Wetland,Bareland
829,Bareland,Water,Built-up,NULL,Non_Wetland,Bareland
830,Bareland,Water,Water,NULL,Water,Grassland
831,Bareland,Water,Water,NULL,Water,Bareland
832,Bareland,Water,Water,NULL,Water,Forest
833,Bareland,Water,Water,Non_Water,Water,Bareland
834,Bareland,Water,Water,Water,Water,Bareland
835,Bareland,Water,Forest,Non_Water,Non_Wetland,Grassland
836,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL
837,Bareland,Forest,Shrubland,NULL,Non_Wetland,Grassland
838,Bareland,Forest,Shrubland,NULL,Non_Wetland,Bareland
839,Bareland,Forest,Shrubland,NULL,Non_Wetland,Built-up
840,Bareland,Forest,Shrubland,NULL,Non_Wetland,Forest
841,Bareland,Forest,Shrubland,Non_Water,Non_Wetland,Cropland
842,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL
843,Bareland,Forest,Grassland,NULL,Non_Wetland,Grassland
844,Bareland,Forest,Grassland,NULL,Non_Wetland,Bareland
