Value,AFRICA_2024_DynamicWorld_2024_38QKD_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38QKD_M_R,AFRICA_2024_GLC_FCS30D_2022_38QKD_M_R,AFRICA_2024_GSW_Yearly_2021_38QKD_M_R,AFRICA_2024_GWL_FCS30D_2022_38QKD_M_R,AFRICA_2024_WorldCover_2021_38QKD_M_R
430,NULL,Built-up,Wetland,NULL,Wetland,Wetland
431,NULL,Built-up,Wetland,NULL,Wetland,Bareland
432,NULL,Built-up,Wetland,NULL,Wetland,Built-up
433,NULL,Built-up,Wetland,NULL,Wetland,Water
434,NULL,Built-up,Wetland,NULL,Wetland,Forest
435,NULL,Built-up,Wetland,Non_Water,NULL,Grassland
436,NULL,Built-up,Wetland,Non_Water,NULL,Cropland
437,NULL,Built-up,Wetland,Non_Water,NULL,Wetland
438,NULL,Built-up,Wetland,Non_Water,NULL,Bareland
439,NULL,Built-up,Wetland,Non_Water,NULL,Built-up
440,NULL,Built-up,Wetland,Non_Water,NULL,Water
441,NULL,Built-up,Wetland,Non_Water,Wetland,NULL
442,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland
443,NULL,Built-up,Wetland,Non_Water,Wetland,Cropland
444,NULL,Built-up,Wetland,Non_Water,Wetland,Bareland
445,NULL,Built-up,Wetland,Non_Water,Wetland,Built-up
446,NULL,Built-up,Wetland,Non_Water,Wetland,Water
447,NULL,Built-up,Wetland,Water,NULL,Grassland
448,NULL,Built-up,Wetland,Water,NULL,Cropland
449,NULL,Built-up,Wetland,Water,NULL,Wetland
450,NULL,Built-up,Wetland,Water,NULL,Bareland
451,NULL,Built-up,Wetland,Water,NULL,Built-up
452,NULL,Built-up,Wetland,Water,NULL,Water
453,NULL,Built-up,Wetland,Water,Wetland,Grassland
454,NULL,Built-up,Wetland,Water,Wetland,Bareland
455,NULL,Built-up,Wetland,Water,Wetland,Built-up
456,NULL,Built-up,Wetland,Water,Wetland,Water
457,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
458,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
459,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
460,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
461,NULL,Built-up,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
462,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
463,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
464,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
465,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland
466,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
467,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
468,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
469,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
470,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL
471,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
472,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Cropland
473,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
474,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
475,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Water
476,NULL,Built-up,Bareland,Water,Non_Wetland,NULL
477,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
478,NULL,Built-up,Bareland,Water,Non_Wetland,Cropland
479,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
480,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up
481,NULL,Built-up,Bareland,Water,Non_Wetland,Water
482,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
483,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
484,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
485,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
486,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
487,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
488,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
489,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL
490,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
491,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Cropland
492,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
493,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
494,NULL,Built-up,Built-up,Water,Non_Wetland,NULL
495,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
496,NULL,Built-up,Built-up,Water,Non_Wetland,Cropland
497,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
498,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
499,NULL,Built-up,Built-up,Water,Non_Wetland,Water
500,NULL,Built-up,Water,NULL,Water,Bareland
501,NULL,Built-up,Water,Non_Water,Water,Bareland
502,NULL,Built-up,Water,Non_Water,Water,Built-up
503,NULL,Built-up,Water,Water,NULL,Bareland
504,NULL,Built-up,Water,Water,NULL,Water
505,NULL,Built-up,Water,Water,Water,Bareland
506,NULL,Built-up,Water,Water,Water,Built-up
507,NULL,Built-up,Water,Water,Water,Water
508,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
509,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
510,NULL,Water,NULL,NULL,Non_Wetland,NULL
511,NULL,Water,NULL,NULL,Non_Wetland,Cropland
512,NULL,Water,NULL,NULL,Non_Wetland,Wetland
513,NULL,Water,NULL,NULL,Non_Wetland,Bareland
514,NULL,Water,NULL,NULL,Non_Wetland,Water
515,NULL,Water,NULL,Non_Water,Non_Wetland,Bareland
516,NULL,Water,NULL,Water,Non_Wetland,NULL
517,NULL,Water,NULL,Water,Non_Wetland,Bareland
518,NULL,Water,NULL,Water,Non_Wetland,Water
519,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
520,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
521,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
522,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
523,NULL,Water,Shrubland,NULL,Non_Wetland,Water
524,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
525,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
526,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
527,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
528,NULL,Water,Shrubland,Water,Non_Wetland,Water
529,NULL,Water,Grassland,NULL,Non_Wetland,NULL
530,NULL,Water,Grassland,NULL,Non_Wetland,Wetland
531,NULL,Water,Grassland,NULL,Non_Wetland,Water
532,NULL,Water,Grassland,Non_Water,Non_Wetland,Bareland
533,NULL,Water,Grassland,Water,Non_Wetland,NULL
534,NULL,Water,Grassland,Water,Non_Wetland,Grassland
535,NULL,Water,Grassland,Water,Non_Wetland,Bareland
536,NULL,Water,Grassland,Water,Non_Wetland,Water
537,NULL,Water,Cropland,NULL,Non_Wetland,NULL
538,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
539,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
540,NULL,Water,Cropland,NULL,Non_Wetland,Wetland
541,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
542,NULL,Water,Cropland,NULL,Non_Wetland,Water
543,NULL,Water,Cropland,NULL,Non_Wetland,Forest
544,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL
545,NULL,Water,Cropland,Non_Water,Non_Wetland,Cropland
546,NULL,Water,Cropland,Non_Water,Non_Wetland,Wetland
547,NULL,Water,Cropland,Non_Water,Non_Wetland,Bareland
548,NULL,Water,Cropland,Non_Water,Non_Wetland,Water
549,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
550,NULL,Water,Cropland,Water,Non_Wetland,NULL
551,NULL,Water,Cropland,Water,Non_Wetland,Cropland
552,NULL,Water,Cropland,Water,Non_Wetland,Bareland
553,NULL,Water,Cropland,Water,Non_Wetland,Water
554,NULL,Water,Cropland,Water,Non_Wetland,Forest
555,NULL,Water,Wetland,NULL,NULL,NULL
556,NULL,Water,Wetland,NULL,NULL,Grassland
557,NULL,Water,Wetland,NULL,NULL,Wetland
558,NULL,Water,Wetland,NULL,NULL,Bareland
559,NULL,Water,Wetland,NULL,NULL,Built-up
560,NULL,Water,Wetland,NULL,NULL,Water
561,NULL,Water,Wetland,NULL,Wetland,NULL
562,NULL,Water,Wetland,NULL,Wetland,Grassland
563,NULL,Water,Wetland,NULL,Wetland,Cropland
564,NULL,Water,Wetland,NULL,Wetland,Wetland
565,NULL,Water,Wetland,NULL,Wetland,Bareland
566,NULL,Water,Wetland,NULL,Wetland,Water
567,NULL,Water,Wetland,NULL,Wetland,Forest
568,NULL,Water,Wetland,Non_Water,NULL,NULL
569,NULL,Water,Wetland,Non_Water,NULL,Cropland
570,NULL,Water,Wetland,Non_Water,NULL,Wetland
571,NULL,Water,Wetland,Non_Water,NULL,Bareland
572,NULL,Water,Wetland,Non_Water,NULL,Water
573,NULL,Water,Wetland,Non_Water,Wetland,NULL
574,NULL,Water,Wetland,Non_Water,Wetland,Grassland
575,NULL,Water,Wetland,Non_Water,Wetland,Cropland
576,NULL,Water,Wetland,Non_Water,Wetland,Wetland
577,NULL,Water,Wetland,Non_Water,Wetland,Bareland
578,NULL,Water,Wetland,Non_Water,Wetland,Water
579,NULL,Water,Wetland,Non_Water,Wetland,Forest
580,NULL,Water,Wetland,Water,NULL,NULL
581,NULL,Water,Wetland,Water,NULL,Grassland
582,NULL,Water,Wetland,Water,NULL,Wetland
583,NULL,Water,Wetland,Water,NULL,Bareland
584,NULL,Water,Wetland,Water,NULL,Built-up
585,NULL,Water,Wetland,Water,NULL,Water
586,NULL,Water,Wetland,Water,Wetland,NULL
587,NULL,Water,Wetland,Water,Wetland,Grassland
588,NULL,Water,Wetland,Water,Wetland,Cropland
589,NULL,Water,Wetland,Water,Wetland,Wetland
590,NULL,Water,Wetland,Water,Wetland,Bareland
591,NULL,Water,Wetland,Water,Wetland,Built-up
592,NULL,Water,Wetland,Water,Wetland,Water
593,NULL,Water,Wetland,Water,Wetland,Forest
594,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL
595,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
596,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
597,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
598,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water
599,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Forest
600,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Water
601,NULL,Water,Bareland,NULL,Non_Wetland,NULL
602,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
603,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
604,NULL,Water,Bareland,NULL,Non_Wetland,Wetland
605,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
606,NULL,Water,Bareland,NULL,Non_Wetland,Built-up
607,NULL,Water,Bareland,NULL,Non_Wetland,Water
608,NULL,Water,Bareland,NULL,Non_Wetland,Forest
609,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL
610,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
611,NULL,Water,Bareland,Non_Water,Non_Wetland,Cropland
612,NULL,Water,Bareland,Non_Water,Non_Wetland,Wetland
613,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
614,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
615,NULL,Water,Bareland,Non_Water,Non_Wetland,Forest
616,NULL,Water,Bareland,Water,Non_Wetland,NULL
617,NULL,Water,Bareland,Water,Non_Wetland,Grassland
618,NULL,Water,Bareland,Water,Non_Wetland,Cropland
619,NULL,Water,Bareland,Water,Non_Wetland,Wetland
620,NULL,Water,Bareland,Water,Non_Wetland,Bareland
621,NULL,Water,Bareland,Water,Non_Wetland,Built-up
622,NULL,Water,Bareland,Water,Non_Wetland,Water
623,NULL,Water,Bareland,Water,Non_Wetland,Forest
624,NULL,Water,Built-up,NULL,Non_Wetland,NULL
625,NULL,Water,Built-up,NULL,Non_Wetland,Cropland
626,NULL,Water,Built-up,NULL,Non_Wetland,Wetland
627,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
628,NULL,Water,Built-up,NULL,Non_Wetland,Built-up
629,NULL,Water,Built-up,NULL,Non_Wetland,Water
630,NULL,Water,Built-up,NULL,Non_Wetland,Forest
631,NULL,Water,Built-up,Non_Water,Non_Wetland,NULL
632,NULL,Water,Built-up,Non_Water,Non_Wetland,Cropland
633,NULL,Water,Built-up,Non_Water,Non_Wetland,Wetland
634,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland
635,NULL,Water,Built-up,Non_Water,Non_Wetland,Water
636,NULL,Water,Built-up,Non_Water,Non_Wetland,Forest
637,NULL,Water,Built-up,Water,Non_Wetland,NULL
638,NULL,Water,Built-up,Water,Non_Wetland,Grassland
639,NULL,Water,Built-up,Water,Non_Wetland,Cropland
640,NULL,Water,Built-up,Water,Non_Wetland,Bareland
641,NULL,Water,Built-up,Water,Non_Wetland,Built-up
642,NULL,Water,Built-up,Water,Non_Wetland,Water
643,NULL,Water,Water,NULL,NULL,Bareland
644,NULL,Water,Water,NULL,NULL,Water
645,NULL,Water,Water,NULL,Water,Bareland
646,NULL,Water,Water,NULL,Water,Water
647,NULL,Water,Water,Non_Water,NULL,Built-up
648,NULL,Water,Water,Non_Water,Water,Water
649,NULL,Water,Water,Water,NULL,NULL
650,NULL,Water,Water,Water,NULL,Wetland
651,NULL,Water,Water,Water,NULL,Bareland
652,NULL,Water,Water,Water,NULL,Built-up
653,NULL,Water,Water,Water,NULL,Water
654,NULL,Water,Water,Water,Water,Cropland
655,NULL,Water,Water,Water,Water,Wetland
656,NULL,Water,Water,Water,Water,Bareland
657,NULL,Water,Water,Water,Water,Water
658,NULL,Water,Forest,NULL,Non_Wetland,Wetland
659,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
660,NULL,Forest,NULL,NULL,Non_Wetland,NULL
661,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
662,NULL,Forest,NULL,NULL,Non_Wetland,Forest
663,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL
664,NULL,Forest,NULL,Non_Water,Non_Wetland,Forest
665,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
666,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
667,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
668,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
669,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
670,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
671,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
672,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
673,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
674,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
675,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
676,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
677,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
678,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
679,NULL,Forest,Cropland,NULL,Non_Wetland,Water
680,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
681,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL
682,NULL,Forest,Cropland,Non_Water,Non_Wetland,Cropland
683,NULL,Forest,Cropland,Non_Water,Non_Wetland,Bareland
684,NULL,Forest,Cropland,Non_Water,Non_Wetland,Forest
685,NULL,Forest,Cropland,Water,Non_Wetland,NULL
686,NULL,Forest,Cropland,Water,Non_Wetland,Cropland
687,NULL,Forest,Cropland,Water,Non_Wetland,Bareland
688,NULL,Forest,Cropland,Water,Non_Wetland,Water
689,NULL,Forest,Wetland,NULL,Wetland,NULL
690,NULL,Forest,Wetland,NULL,Wetland,Cropland
691,NULL,Forest,Wetland,NULL,Wetland,Wetland
692,NULL,Forest,Wetland,Non_Water,NULL,Forest
693,NULL,Forest,Wetland,Non_Water,Wetland,NULL
694,NULL,Forest,Wetland,Non_Water,Wetland,Cropland
695,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
696,NULL,Forest,Wetland,Non_Water,Wetland,Water
697,NULL,Forest,Wetland,Water,Wetland,NULL
698,NULL,Forest,Wetland,Water,Wetland,Cropland
699,NULL,Forest,Wetland,Water,Wetland,Wetland
700,NULL,Forest,Wetland,Water,Wetland,Water
701,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
702,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
703,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
704,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
705,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
706,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
707,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
708,NULL,Forest,Bareland,NULL,Non_Wetland,Water
709,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
710,NULL,Forest,Bareland,Non_Water,Non_Wetland,Cropland
711,NULL,Forest,Bareland,Non_Water,Non_Wetland,Forest
712,NULL,Forest,Bareland,Water,Non_Wetland,Cropland
713,NULL,Forest,Bareland,Water,Non_Wetland,Water
714,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
715,NULL,Forest,Built-up,NULL,Non_Wetland,Wetland
716,NULL,Forest,Built-up,Non_Water,Non_Wetland,Cropland
717,NULL,Forest,Built-up,Water,Non_Wetland,Cropland
718,NULL,Forest,Water,Non_Water,Water,NULL
719,NULL,Forest,Forest,NULL,Non_Wetland,NULL
720,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
721,NULL,Forest,Forest,NULL,Non_Wetland,Forest
722,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
723,NULL,Forest,Forest,Non_Water,Non_Wetland,Cropland
724,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
725,NULL,Forest,Forest,Water,Non_Wetland,NULL
726,NULL,Forest,Forest,Water,Non_Wetland,Cropland
727,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
728,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
729,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
730,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
731,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
732,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
733,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
734,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
735,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
736,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
737,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
738,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
739,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
740,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
741,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
742,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
743,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
744,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
745,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
746,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
747,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
748,Wetland,NULL,Grassland,NULL,Non_Wetland,Bareland
749,Wetland,NULL,Cropland,NULL,Non_Wetland,Cropland
750,Wetland,NULL,Wetland,NULL,Wetland,Wetland
751,Wetland,NULL,Wetland,NULL,Wetland,Bareland
752,Wetland,NULL,Wetland,NULL,Wetland,Water
753,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland
754,Wetland,NULL,Wetland,Water,Wetland,Wetland
755,Wetland,NULL,Wetland,Water,Wetland,Bareland
756,Wetland,NULL,Wetland,Water,Wetland,Water
757,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL
758,Wetland,NULL,Bareland,NULL,Non_Wetland,Grassland
759,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland
760,Wetland,NULL,Bareland,NULL,Non_Wetland,Bareland
761,Wetland,NULL,Bareland,NULL,Non_Wetland,Water
762,Wetland,NULL,Bareland,Water,Non_Wetland,Wetland
763,Wetland,NULL,Bareland,Water,Non_Wetland,Bareland
764,Wetland,Wetland,Cropland,NULL,Non_Wetland,Wetland
765,Wetland,Wetland,Wetland,NULL,Wetland,NULL
766,Wetland,Wetland,Wetland,NULL,Wetland,Cropland
767,Wetland,Wetland,Wetland,NULL,Wetland,Wetland
768,Wetland,Wetland,Wetland,NULL,Wetland,Bareland
769,Wetland,Wetland,Wetland,NULL,Wetland,Water
770,Wetland,Wetland,Wetland,Water,Wetland,Water
771,Wetland,Wetland,Bareland,NULL,Non_Wetland,NULL
772,Wetland,Wetland,Bareland,NULL,Non_Wetland,Wetland
773,Wetland,Wetland,Bareland,NULL,Non_Wetland,Bareland
774,Wetland,Bareland,Cropland,NULL,Non_Wetland,Bareland
775,Wetland,Bareland,Wetland,NULL,Wetland,Cropland
776,Wetland,Bareland,Wetland,NULL,Wetland,Wetland
777,Wetland,Bareland,Wetland,NULL,Wetland,Bareland
778,Wetland,Bareland,Bareland,NULL,Non_Wetland,Wetland
779,Wetland,Bareland,Bareland,NULL,Non_Wetland,Bareland
780,Wetland,Bareland,Bareland,NULL,Non_Wetland,Water
781,Wetland,Water,Cropland,NULL,Non_Wetland,Wetland
782,Wetland,Water,Wetland,NULL,Wetland,NULL
783,Wetland,Water,Wetland,NULL,Wetland,Cropland
784,Wetland,Water,Wetland,NULL,Wetland,Wetland
785,Wetland,Water,Wetland,NULL,Wetland,Bareland
786,Wetland,Water,Wetland,NULL,Wetland,Water
787,Wetland,Water,Wetland,Non_Water,Wetland,Wetland
788,Wetland,Water,Wetland,Non_Water,Wetland,Water
789,Wetland,Water,Wetland,Water,NULL,Bareland
790,Wetland,Water,Wetland,Water,NULL,Water
791,Wetland,Water,Wetland,Water,Wetland,Wetland
792,Wetland,Water,Wetland,Water,Wetland,Bareland
793,Wetland,Water,Wetland,Water,Wetland,Water
794,Wetland,Water,Bareland,NULL,Non_Wetland,NULL
795,Wetland,Water,Bareland,NULL,Non_Wetland,Cropland
796,Wetland,Water,Bareland,NULL,Non_Wetland,Wetland
797,Wetland,Water,Bareland,NULL,Non_Wetland,Bareland
798,Wetland,Water,Bareland,NULL,Non_Wetland,Water
799,Wetland,Water,Bareland,NULL,Non_Wetland,Forest
800,Wetland,Water,Bareland,Water,Non_Wetland,Wetland
801,Wetland,Water,Bareland,Water,Non_Wetland,Bareland
802,Wetland,Water,Bareland,Water,Non_Wetland,Water
803,Wetland,Forest,Wetland,NULL,Wetland,Wetland
804,Wetland,Forest,Wetland,Non_Water,Wetland,Wetland
805,Wetland,Forest,Bareland,Water,Non_Wetland,Wetland
806,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
807,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
808,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland
809,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
810,Bareland,NULL,NULL,NULL,Non_Wetland,Water
811,Bareland,NULL,NULL,Non_Water,Non_Wetland,Bareland
812,Bareland,NULL,NULL,Water,Non_Wetland,Cropland
813,Bareland,NULL,NULL,Water,Non_Wetland,Bareland
814,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
815,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
816,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
817,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
818,Bareland,NULL,Shrubland,NULL,Non_Wetland,Water
819,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
820,Bareland,NULL,Shrubland,Water,Non_Wetland,Bareland
821,Bareland,NULL,Shrubland,Water,Non_Wetland,Water
822,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
823,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
824,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
825,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
826,Bareland,NULL,Grassland,NULL,Non_Wetland,Water
827,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
828,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
829,Bareland,NULL,Cropland,NULL,Non_Wetland,Cropland
830,Bareland,NULL,Cropland,NULL,Non_Wetland,Wetland
831,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
832,Bareland,NULL,Cropland,NULL,Non_Wetland,Built-up
833,Bareland,NULL,Cropland,NULL,Non_Wetland,Water
834,Bareland,NULL,Cropland,NULL,Non_Wetland,Forest
835,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
836,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
837,Bareland,NULL,Cropland,Water,Non_Wetland,NULL
838,Bareland,NULL,Cropland,Water,Non_Wetland,Grassland
839,Bareland,NULL,Cropland,Water,Non_Wetland,Cropland
840,Bareland,NULL,Cropland,Water,Non_Wetland,Wetland
841,Bareland,NULL,Cropland,Water,Non_Wetland,Bareland
842,Bareland,NULL,Cropland,Water,Non_Wetland,Water
843,Bareland,NULL,Wetland,NULL,NULL,Water
844,Bareland,NULL,Wetland,NULL,Wetland,Grassland
845,Bareland,NULL,Wetland,NULL,Wetland,Wetland
846,Bareland,NULL,Wetland,NULL,Wetland,Bareland
847,Bareland,NULL,Wetland,NULL,Wetland,Water
848,Bareland,NULL,Wetland,Water,NULL,Water
849,Bareland,NULL,Wetland,Water,Wetland,Grassland
850,Bareland,NULL,Wetland,Water,Wetland,Wetland
851,Bareland,NULL,Wetland,Water,Wetland,Bareland
852,Bareland,NULL,Wetland,Water,Wetland,Water
853,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
854,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
855,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
856,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
857,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
858,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
859,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
860,Bareland,NULL,Bareland,NULL,Non_Wetland,Cropland
861,Bareland,NULL,Bareland,NULL,Non_Wetland,Wetland
862,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
863,Bareland,NULL,Bareland,NULL,Non_Wetland,Built-up
864,Bareland,NULL,Bareland,NULL,Non_Wetland,Water
865,Bareland,NULL,Bareland,NULL,Non_Wetland,Forest
866,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
867,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Water
868,Bareland,NULL,Bareland,Water,Non_Wetland,Grassland
869,Bareland,NULL,Bareland,Water,Non_Wetland,Cropland
870,Bareland,NULL,Bareland,Water,Non_Wetland,Wetland
871,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
872,Bareland,NULL,Bareland,Water,Non_Wetland,Water
873,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL
874,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
875,Bareland,NULL,Built-up,NULL,Non_Wetland,Cropland
876,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
877,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up
