Value,AFRICA_2024_DynamicWorld_2024_37NHF_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NHF_M_R,AFRICA_2024_GLC_FCS30D_2022_37NHF_M_R,AFRICA_2024_GSW_Yearly_2021_37NHF_M_R,AFRICA_2024_GWL_FCS30D_2022_37NHF_M_R,AFRICA_2024_WorldCover_2021_37NHF_M_R
421,Cropland,NULL,Grassland,Water,Non_Wetland,Forest
422,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
423,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
424,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
425,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
426,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
427,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
428,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL
429,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
430,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
431,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
432,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
433,Cropland,NULL,Cropland,Water,Non_Wetland,NULL
434,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
435,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
436,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland
437,Cropland,NULL,Cropland,Water,Non_Wetland,Forest
438,Cropland,NULL,Wetland,NULL,Wetland,NULL
439,Cropland,NULL,Wetland,NULL,Wetland,Grassland
440,Cropland,NULL,Wetland,NULL,Wetland,Cropland
441,Cropland,NULL,Wetland,NULL,Wetland,Bareland
442,Cropland,NULL,Wetland,NULL,Wetland,Forest
443,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland
444,Cropland,NULL,Wetland,Water,Wetland,Grassland
445,Cropland,NULL,Wetland,Water,Wetland,Cropland
446,Cropland,NULL,Wetland,Water,Wetland,Bareland
447,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
448,Cropland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
449,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
450,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
451,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
452,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
453,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
454,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
455,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
456,Cropland,NULL,Bareland,Water,Non_Wetland,NULL
457,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
458,Cropland,NULL,Bareland,Water,Non_Wetland,Cropland
459,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
460,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
461,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
462,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
463,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
464,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
465,Cropland,NULL,Built-up,Water,Non_Wetland,Cropland
466,Cropland,NULL,Water,NULL,Water,Grassland
467,Cropland,NULL,Water,NULL,Water,Cropland
468,Cropland,NULL,Water,NULL,Water,Bareland
469,Cropland,NULL,Water,NULL,Water,Forest
470,Cropland,NULL,Water,Non_Water,Water,Grassland
471,Cropland,NULL,Water,Non_Water,Water,Cropland
472,Cropland,NULL,Water,Water,Water,Grassland
473,Cropland,NULL,Water,Water,Water,Bareland
474,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
475,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
476,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
477,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
478,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
479,Cropland,NULL,Forest,Non_Water,Non_Wetland,Cropland
480,Cropland,NULL,Forest,Non_Water,Non_Wetland,Wetland
481,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
482,Cropland,NULL,Forest,Water,Non_Wetland,Cropland
483,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
484,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
485,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
486,Cropland,Cropland,NULL,NULL,Non_Wetland,Wetland
487,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
488,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Cropland
489,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Forest
490,Cropland,Cropland,NULL,Water,Non_Wetland,Forest
491,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
492,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
493,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
494,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
495,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
496,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
497,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
498,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
499,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
500,Cropland,Cropland,Shrubland,Water,Non_Wetland,Grassland
501,Cropland,Cropland,Shrubland,Water,Non_Wetland,Cropland
502,Cropland,Cropland,Shrubland,Water,Non_Wetland,Forest
503,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
504,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
505,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
506,Cropland,Cropland,Grassland,NULL,Non_Wetland,Wetland
507,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
508,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
509,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL
510,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
511,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
512,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Forest
513,Cropland,Cropland,Grassland,Water,Non_Wetland,Grassland
514,Cropland,Cropland,Grassland,Water,Non_Wetland,Cropland
515,Cropland,Cropland,Grassland,Water,Non_Wetland,Forest
516,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
517,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
518,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
519,Cropland,Cropland,Cropland,NULL,Non_Wetland,Wetland
520,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
521,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
522,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
523,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
524,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
525,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Forest
526,Cropland,Cropland,Cropland,Water,Non_Wetland,Grassland
527,Cropland,Cropland,Cropland,Water,Non_Wetland,Cropland
528,Cropland,Cropland,Cropland,Water,Non_Wetland,Forest
529,Cropland,Cropland,Wetland,NULL,Wetland,Grassland
530,Cropland,Cropland,Wetland,NULL,Wetland,Cropland
531,Cropland,Cropland,Wetland,NULL,Wetland,Bareland
532,Cropland,Cropland,Wetland,NULL,Wetland,Forest
533,Cropland,Cropland,Wetland,Non_Water,Wetland,Cropland
534,Cropland,Cropland,Wetland,Non_Water,Wetland,Forest
535,Cropland,Cropland,Wetland,Water,Wetland,Grassland
536,Cropland,Cropland,Wetland,Water,Wetland,Cropland
537,Cropland,Cropland,Wetland,Water,Wetland,Forest
538,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
539,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
540,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
541,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
542,Cropland,Cropland,Bareland,NULL,Non_Wetland,Forest
543,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
544,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
545,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Forest
546,Cropland,Cropland,Bareland,Water,Non_Wetland,Grassland
547,Cropland,Cropland,Bareland,Water,Non_Wetland,Cropland
548,Cropland,Cropland,Bareland,Water,Non_Wetland,Forest
549,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
550,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
551,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
552,Cropland,Cropland,Built-up,NULL,Non_Wetland,Forest
553,Cropland,Cropland,Water,NULL,Water,Grassland
554,Cropland,Cropland,Water,NULL,Water,Cropland
555,Cropland,Cropland,Water,NULL,Water,Bareland
556,Cropland,Cropland,Water,NULL,Water,Forest
557,Cropland,Cropland,Water,Non_Water,Water,Grassland
558,Cropland,Cropland,Water,Non_Water,Water,Cropland
559,Cropland,Cropland,Water,Water,Water,Cropland
560,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
561,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
562,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
563,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland
564,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
565,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Forest
566,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
567,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
568,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL
569,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
570,Cropland,Bareland,Grassland,NULL,Non_Wetland,Cropland
571,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
572,Cropland,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
573,Cropland,Bareland,Grassland,Non_Water,Non_Wetland,Cropland
574,Cropland,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
575,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL
576,Cropland,Bareland,Cropland,NULL,Non_Wetland,Grassland
577,Cropland,Bareland,Cropland,Non_Water,Non_Wetland,Grassland
578,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL
579,Cropland,Bareland,Bareland,NULL,Non_Wetland,Grassland
580,Cropland,Bareland,Bareland,NULL,Non_Wetland,Cropland
581,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
582,Cropland,Bareland,Built-up,NULL,Non_Wetland,Grassland
583,Cropland,Bareland,Built-up,NULL,Non_Wetland,Bareland
584,Cropland,Bareland,Water,NULL,Water,Grassland
585,Cropland,Bareland,Water,Non_Water,Water,Grassland
586,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
587,Cropland,Built-up,NULL,NULL,Non_Wetland,Forest
588,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL
589,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
590,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
591,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Forest
592,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL
593,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
594,Cropland,Built-up,Grassland,NULL,Non_Wetland,Cropland
595,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL
596,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
597,Cropland,Built-up,Cropland,NULL,Non_Wetland,Cropland
598,Cropland,Built-up,Cropland,NULL,Non_Wetland,Forest
599,Cropland,Built-up,Bareland,NULL,Non_Wetland,Bareland
600,Cropland,Built-up,Bareland,NULL,Non_Wetland,Forest
601,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
602,Cropland,Water,NULL,NULL,Non_Wetland,Forest
603,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL
604,Cropland,Water,Shrubland,NULL,Non_Wetland,Grassland
605,Cropland,Water,Shrubland,NULL,Non_Wetland,Cropland
606,Cropland,Water,Shrubland,NULL,Non_Wetland,Forest
607,Cropland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
608,Cropland,Water,Shrubland,Non_Water,Non_Wetland,Bareland
609,Cropland,Water,Shrubland,Non_Water,Non_Wetland,Forest
610,Cropland,Water,Shrubland,Water,Non_Wetland,Grassland
611,Cropland,Water,Shrubland,Water,Non_Wetland,Cropland
612,Cropland,Water,Shrubland,Water,Non_Wetland,Forest
613,Cropland,Water,Grassland,NULL,Non_Wetland,Grassland
614,Cropland,Water,Grassland,NULL,Non_Wetland,Cropland
615,Cropland,Water,Grassland,NULL,Non_Wetland,Forest
616,Cropland,Water,Grassland,Non_Water,Non_Wetland,Grassland
617,Cropland,Water,Grassland,Non_Water,Non_Wetland,Bareland
618,Cropland,Water,Grassland,Non_Water,Non_Wetland,Forest
619,Cropland,Water,Grassland,Water,Non_Wetland,Grassland
620,Cropland,Water,Grassland,Water,Non_Wetland,Cropland
621,Cropland,Water,Cropland,NULL,Non_Wetland,NULL
622,Cropland,Water,Cropland,NULL,Non_Wetland,Grassland
623,Cropland,Water,Cropland,NULL,Non_Wetland,Cropland
624,Cropland,Water,Cropland,NULL,Non_Wetland,Forest
625,Cropland,Water,Cropland,Non_Water,Non_Wetland,Grassland
626,Cropland,Water,Cropland,Non_Water,Non_Wetland,Cropland
627,Cropland,Water,Cropland,Non_Water,Non_Wetland,Forest
628,Cropland,Water,Cropland,Water,Non_Wetland,Cropland
629,Cropland,Water,Cropland,Water,Non_Wetland,Forest
630,Cropland,Water,Wetland,NULL,Wetland,Grassland
631,Cropland,Water,Wetland,NULL,Wetland,Forest
632,Cropland,Water,Wetland,Water,Wetland,Cropland
633,Cropland,Water,Bareland,NULL,Non_Wetland,Grassland
634,Cropland,Water,Bareland,NULL,Non_Wetland,Bareland
635,Cropland,Water,Bareland,NULL,Non_Wetland,Forest
636,Cropland,Water,Bareland,Water,Non_Wetland,Grassland
637,Cropland,Water,Bareland,Water,Non_Wetland,Cropland
638,Cropland,Water,Water,NULL,Water,Cropland
639,Cropland,Water,Water,NULL,Water,Forest
640,Cropland,Water,Forest,NULL,Non_Wetland,Forest
641,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
642,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
643,Cropland,Forest,NULL,NULL,Non_Wetland,Cropland
644,Cropland,Forest,NULL,NULL,Non_Wetland,Forest
645,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
646,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
647,Cropland,Forest,Shrubland,NULL,Non_Wetland,Cropland
648,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
649,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
650,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Cropland
651,Cropland,Forest,Shrubland,Water,Non_Wetland,Grassland
652,Cropland,Forest,Shrubland,Water,Non_Wetland,Cropland
653,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
654,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
655,Cropland,Forest,Grassland,NULL,Non_Wetland,Cropland
656,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
657,Cropland,Forest,Grassland,Non_Water,Non_Wetland,NULL
658,Cropland,Forest,Grassland,Non_Water,Non_Wetland,Grassland
659,Cropland,Forest,Grassland,Non_Water,Non_Wetland,Cropland
660,Cropland,Forest,Grassland,Water,Non_Wetland,Grassland
661,Cropland,Forest,Grassland,Water,Non_Wetland,Cropland
662,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
663,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
664,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland
665,Cropland,Forest,Cropland,NULL,Non_Wetland,Wetland
666,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
667,Cropland,Forest,Cropland,Non_Water,Non_Wetland,NULL
668,Cropland,Forest,Cropland,Non_Water,Non_Wetland,Grassland
669,Cropland,Forest,Cropland,Non_Water,Non_Wetland,Cropland
670,Cropland,Forest,Cropland,Water,Non_Wetland,Cropland
671,Cropland,Forest,Cropland,Water,Non_Wetland,Forest
672,Cropland,Forest,Wetland,NULL,Wetland,Grassland
673,Cropland,Forest,Wetland,NULL,Wetland,Cropland
674,Cropland,Forest,Wetland,NULL,Wetland,Forest
675,Cropland,Forest,Wetland,Non_Water,Wetland,Grassland
676,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL
677,Cropland,Forest,Bareland,NULL,Non_Wetland,Grassland
678,Cropland,Forest,Bareland,NULL,Non_Wetland,Cropland
679,Cropland,Forest,Bareland,NULL,Non_Wetland,Forest
680,Cropland,Forest,Built-up,NULL,Non_Wetland,NULL
681,Cropland,Forest,Water,NULL,Water,Cropland
682,Cropland,Forest,Water,NULL,Water,Forest
683,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
684,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
685,Cropland,Forest,Forest,NULL,Non_Wetland,Cropland
686,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
687,Wetland,NULL,NULL,NULL,Non_Wetland,NULL
688,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
689,Wetland,NULL,NULL,NULL,Non_Wetland,Forest
690,Wetland,NULL,NULL,Non_Water,Non_Wetland,Cropland
691,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
692,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
693,Wetland,NULL,Shrubland,NULL,Non_Wetland,Cropland
694,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
695,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
696,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
697,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
698,Wetland,NULL,Shrubland,Water,Non_Wetland,Grassland
699,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL
700,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
701,Wetland,NULL,Grassland,NULL,Non_Wetland,Cropland
702,Wetland,NULL,Grassland,NULL,Non_Wetland,Forest
703,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL
704,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
705,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
706,Wetland,NULL,Grassland,Water,Non_Wetland,NULL
707,Wetland,NULL,Grassland,Water,Non_Wetland,Grassland
708,Wetland,NULL,Grassland,Water,Non_Wetland,Cropland
709,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL
710,Wetland,NULL,Cropland,NULL,Non_Wetland,Grassland
711,Wetland,NULL,Cropland,NULL,Non_Wetland,Cropland
712,Wetland,NULL,Cropland,NULL,Non_Wetland,Forest
713,Wetland,NULL,Cropland,Non_Water,Non_Wetland,NULL
714,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
715,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
716,Wetland,NULL,Cropland,Water,Non_Wetland,Grassland
717,Wetland,NULL,Cropland,Water,Non_Wetland,Cropland
718,Wetland,NULL,Wetland,NULL,Wetland,Grassland
719,Wetland,NULL,Wetland,NULL,Wetland,Cropland
720,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL
721,Wetland,NULL,Bareland,NULL,Non_Wetland,Grassland
722,Wetland,NULL,Bareland,Water,Non_Wetland,Cropland
723,Wetland,NULL,Water,NULL,Water,Grassland
724,Wetland,NULL,Water,NULL,Water,Forest
725,Wetland,NULL,Water,Water,Water,Cropland
726,Wetland,NULL,Forest,NULL,Non_Wetland,NULL
727,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
728,Wetland,NULL,Forest,Water,Non_Wetland,Cropland
729,Wetland,Cropland,NULL,NULL,Non_Wetland,NULL
730,Wetland,Cropland,NULL,NULL,Non_Wetland,Grassland
731,Wetland,Cropland,NULL,NULL,Non_Wetland,Forest
732,Wetland,Cropland,Shrubland,NULL,Non_Wetland,NULL
733,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
734,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Forest
735,Wetland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
736,Wetland,Cropland,Grassland,NULL,Non_Wetland,NULL
737,Wetland,Cropland,Grassland,NULL,Non_Wetland,Grassland
738,Wetland,Cropland,Grassland,NULL,Non_Wetland,Cropland
739,Wetland,Cropland,Grassland,NULL,Non_Wetland,Forest
740,Wetland,Cropland,Grassland,Non_Water,Non_Wetland,NULL
741,Wetland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
742,Wetland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
743,Wetland,Cropland,Cropland,NULL,Non_Wetland,NULL
744,Wetland,Cropland,Cropland,NULL,Non_Wetland,Grassland
745,Wetland,Cropland,Cropland,NULL,Non_Wetland,Cropland
746,Wetland,Cropland,Cropland,NULL,Non_Wetland,Forest
747,Wetland,Cropland,Cropland,Non_Water,Non_Wetland,NULL
748,Wetland,Cropland,Cropland,Non_Water,Non_Wetland,Forest
749,Wetland,Cropland,Cropland,Water,Non_Wetland,Grassland
750,Wetland,Cropland,Cropland,Water,Non_Wetland,Cropland
751,Wetland,Cropland,Forest,NULL,Non_Wetland,NULL
752,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL
753,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL
754,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Forest
755,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
756,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL
757,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,NULL
758,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL
759,Wetland,Wetland,Cropland,Non_Water,Non_Wetland,NULL
760,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL
761,Wetland,Water,NULL,NULL,Non_Wetland,NULL
762,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL
763,Wetland,Water,Shrubland,NULL,Non_Wetland,Forest
764,Wetland,Water,Shrubland,Non_Water,Non_Wetland,NULL
765,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
766,Wetland,Water,Shrubland,Water,Non_Wetland,Grassland
767,Wetland,Water,Grassland,NULL,Non_Wetland,NULL
768,Wetland,Water,Grassland,NULL,Non_Wetland,Grassland
769,Wetland,Water,Grassland,NULL,Non_Wetland,Cropland
770,Wetland,Water,Grassland,NULL,Non_Wetland,Forest
771,Wetland,Water,Grassland,Non_Water,Non_Wetland,NULL
772,Wetland,Water,Grassland,Non_Water,Non_Wetland,Grassland
773,Wetland,Water,Grassland,Water,Non_Wetland,NULL
774,Wetland,Water,Grassland,Water,Non_Wetland,Grassland
775,Wetland,Water,Grassland,Water,Non_Wetland,Cropland
776,Wetland,Water,Cropland,NULL,Non_Wetland,NULL
777,Wetland,Water,Cropland,NULL,Non_Wetland,Grassland
778,Wetland,Water,Cropland,NULL,Non_Wetland,Forest
779,Wetland,Water,Cropland,Non_Water,Non_Wetland,NULL
780,Wetland,Water,Cropland,Non_Water,Non_Wetland,Grassland
781,Wetland,Water,Cropland,Non_Water,Non_Wetland,Forest
782,Wetland,Water,Wetland,Water,Wetland,Cropland
783,Wetland,Water,Bareland,Water,Non_Wetland,Grassland
784,Wetland,Water,Forest,NULL,Non_Wetland,NULL
785,Wetland,Water,Forest,NULL,Non_Wetland,Forest
786,Wetland,Forest,NULL,NULL,Non_Wetland,NULL
787,Wetland,Forest,NULL,NULL,Non_Wetland,Forest
788,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL
789,Wetland,Forest,Shrubland,NULL,Non_Wetland,Grassland
790,Wetland,Forest,Shrubland,NULL,Non_Wetland,Forest
791,Wetland,Forest,Shrubland,Water,Non_Wetland,NULL
792,Wetland,Forest,Shrubland,Water,Non_Wetland,Grassland
793,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL
794,Wetland,Forest,Grassland,NULL,Non_Wetland,Grassland
795,Wetland,Forest,Grassland,NULL,Non_Wetland,Cropland
796,Wetland,Forest,Grassland,Non_Water,Non_Wetland,Grassland
797,Wetland,Forest,Grassland,Water,Non_Wetland,Grassland
798,Wetland,Forest,Cropland,NULL,Non_Wetland,NULL
799,Wetland,Forest,Cropland,NULL,Non_Wetland,Grassland
800,Wetland,Forest,Cropland,NULL,Non_Wetland,Forest
801,Wetland,Forest,Cropland,Non_Water,Non_Wetland,NULL
802,Wetland,Forest,Cropland,Water,Non_Wetland,Forest
803,Wetland,Forest,Wetland,Water,Wetland,Cropland
804,Wetland,Forest,Bareland,NULL,Non_Wetland,NULL
805,Wetland,Forest,Bareland,NULL,Non_Wetland,Grassland
806,Wetland,Forest,Bareland,NULL,Non_Wetland,Forest
807,Wetland,Forest,Built-up,NULL,Non_Wetland,NULL
808,Wetland,Forest,Built-up,NULL,Non_Wetland,Grassland
809,Wetland,Forest,Forest,NULL,Non_Wetland,NULL
810,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
811,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
812,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland
813,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
814,Bareland,NULL,NULL,NULL,Non_Wetland,Built-up
815,Bareland,NULL,NULL,NULL,Non_Wetland,Forest
816,Bareland,NULL,NULL,Water,Non_Wetland,Grassland
817,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
818,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
819,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
820,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
821,Bareland,NULL,Shrubland,NULL,Non_Wetland,Built-up
822,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest
823,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
824,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
825,Bareland,NULL,Shrubland,Water,Non_Wetland,Grassland
826,Bareland,NULL,Shrubland,Water,Non_Wetland,Bareland
827,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
828,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
829,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
830,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
831,Bareland,NULL,Grassland,NULL,Non_Wetland,Built-up
832,Bareland,NULL,Grassland,NULL,Non_Wetland,Forest
833,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL
834,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
835,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
836,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
837,Bareland,NULL,Grassland,Water,Non_Wetland,NULL
838,Bareland,NULL,Grassland,Water,Non_Wetland,Grassland
839,Bareland,NULL,Grassland,Water,Non_Wetland,Cropland
840,Bareland,NULL,Grassland,Water,Non_Wetland,Bareland
841,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
842,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
843,Bareland,NULL,Cropland,NULL,Non_Wetland,Cropland
844,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
845,Bareland,NULL,Cropland,NULL,Non_Wetland,Forest
