Value,AFRICA_2024_DynamicWorld_2024_37PGQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PGQ_M_R,AFRICA_2024_GLC_FCS30D_2022_37PGQ_M_R,AFRICA_2024_GSW_Yearly_2021_37PGQ_M_R,AFRICA_2024_GWL_FCS30D_2022_37PGQ_M_R,AFRICA_2024_WorldCover_2021_37PGQ_M_R
423,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland
424,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
425,Bareland,NULL,Shrubland,NULL,Non_Wetland,Built-up
426,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
427,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
428,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL
429,Bareland,NULL,Shrubland,Water,Non_Wetland,Cropland
430,Bareland,NULL,Shrubland,Water,Non_Wetland,Bareland
431,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
432,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
433,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
434,Bareland,NULL,Grassland,NULL,Non_Wetland,Wetland
435,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
436,Bareland,NULL,Grassland,NULL,Non_Wetland,Built-up
437,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
438,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
439,Bareland,NULL,Grassland,Water,Non_Wetland,NULL
440,Bareland,NULL,Grassland,Water,Non_Wetland,Cropland
441,Bareland,NULL,Grassland,Water,Non_Wetland,Bareland
442,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
443,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
444,Bareland,NULL,Cropland,NULL,Non_Wetland,Cropland
445,Bareland,NULL,Cropland,NULL,Non_Wetland,Wetland
446,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
447,Bareland,NULL,Cropland,NULL,Non_Wetland,Forest
448,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL
449,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
450,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
451,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
452,Bareland,NULL,Cropland,Water,Non_Wetland,NULL
453,Bareland,NULL,Cropland,Water,Non_Wetland,Grassland
454,Bareland,NULL,Cropland,Water,Non_Wetland,Cropland
455,Bareland,NULL,Cropland,Water,Non_Wetland,Bareland
456,Bareland,NULL,Wetland,NULL,Wetland,NULL
457,Bareland,NULL,Wetland,NULL,Wetland,Grassland
458,Bareland,NULL,Wetland,NULL,Wetland,Cropland
459,Bareland,NULL,Wetland,NULL,Wetland,Bareland
460,Bareland,NULL,Wetland,NULL,Wetland,Water
461,Bareland,NULL,Wetland,Water,Wetland,NULL
462,Bareland,NULL,Wetland,Water,Wetland,Grassland
463,Bareland,NULL,Wetland,Water,Wetland,Cropland
464,Bareland,NULL,Wetland,Water,Wetland,Bareland
465,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
466,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
467,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
468,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
469,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
470,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
471,Bareland,NULL,Bareland,NULL,Non_Wetland,Cropland
472,Bareland,NULL,Bareland,NULL,Non_Wetland,Wetland
473,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
474,Bareland,NULL,Bareland,NULL,Non_Wetland,Built-up
475,Bareland,NULL,Bareland,NULL,Non_Wetland,Water
476,Bareland,NULL,Bareland,NULL,Non_Wetland,Forest
477,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL
478,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
479,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
480,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
481,Bareland,NULL,Bareland,Water,Non_Wetland,NULL
482,Bareland,NULL,Bareland,Water,Non_Wetland,Grassland
483,Bareland,NULL,Bareland,Water,Non_Wetland,Cropland
484,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
485,Bareland,NULL,Bareland,Water,Non_Wetland,Water
486,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL
487,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
488,Bareland,NULL,Built-up,NULL,Non_Wetland,Cropland
489,Bareland,NULL,Built-up,NULL,Non_Wetland,Wetland
490,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
491,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up
492,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL
493,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Cropland
494,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
495,Bareland,NULL,Built-up,Water,Non_Wetland,NULL
496,Bareland,NULL,Built-up,Water,Non_Wetland,Cropland
497,Bareland,NULL,Built-up,Water,Non_Wetland,Bareland
498,Bareland,NULL,Water,NULL,Water,NULL
499,Bareland,NULL,Water,NULL,Water,Grassland
500,Bareland,NULL,Water,NULL,Water,Wetland
501,Bareland,NULL,Water,NULL,Water,Bareland
502,Bareland,NULL,Water,NULL,Water,Forest
503,Bareland,NULL,Water,Water,Water,Bareland
504,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
505,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland
506,Bareland,NULL,Forest,NULL,Non_Wetland,Forest
507,Bareland,Cropland,NULL,NULL,Non_Wetland,Bareland
508,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL
509,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
510,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
511,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
512,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL
513,Bareland,Cropland,Grassland,NULL,Non_Wetland,Grassland
514,Bareland,Cropland,Grassland,NULL,Non_Wetland,Cropland
515,Bareland,Cropland,Grassland,NULL,Non_Wetland,Bareland
516,Bareland,Cropland,Cropland,NULL,Non_Wetland,NULL
517,Bareland,Cropland,Cropland,NULL,Non_Wetland,Grassland
518,Bareland,Cropland,Cropland,NULL,Non_Wetland,Cropland
519,Bareland,Cropland,Cropland,NULL,Non_Wetland,Bareland
520,Bareland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
521,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL
522,Bareland,Cropland,Bareland,NULL,Non_Wetland,Grassland
523,Bareland,Cropland,Bareland,NULL,Non_Wetland,Cropland
524,Bareland,Cropland,Bareland,NULL,Non_Wetland,Bareland
525,Bareland,Cropland,Built-up,NULL,Non_Wetland,NULL
526,Bareland,Cropland,Built-up,NULL,Non_Wetland,Grassland
527,Bareland,Cropland,Built-up,NULL,Non_Wetland,Bareland
528,Bareland,Wetland,Shrubland,NULL,Non_Wetland,Bareland
529,Bareland,Wetland,Shrubland,NULL,Non_Wetland,Forest
530,Bareland,Wetland,Grassland,NULL,Non_Wetland,Bareland
531,Bareland,Wetland,Cropland,NULL,Non_Wetland,NULL
532,Bareland,Wetland,Cropland,NULL,Non_Wetland,Grassland
533,Bareland,Wetland,Cropland,NULL,Non_Wetland,Bareland
534,Bareland,Wetland,Bareland,NULL,Non_Wetland,NULL
535,Bareland,Wetland,Bareland,NULL,Non_Wetland,Grassland
536,Bareland,Wetland,Bareland,NULL,Non_Wetland,Wetland
537,Bareland,Wetland,Bareland,NULL,Non_Wetland,Bareland
538,Bareland,Wetland,Bareland,NULL,Non_Wetland,Forest
539,Bareland,Wetland,Built-up,NULL,Non_Wetland,Bareland
540,Bareland,Wetland,Water,NULL,Water,NULL
541,Bareland,Wetland,Water,NULL,Water,Grassland
542,Bareland,Wetland,Water,NULL,Water,Wetland
543,Bareland,Wetland,Water,NULL,Water,Bareland
544,Bareland,Wetland,Water,NULL,Water,Forest
545,Bareland,Wetland,Forest,NULL,Non_Wetland,NULL
546,Bareland,Wetland,Forest,NULL,Non_Wetland,Grassland
547,Bareland,Wetland,Forest,NULL,Non_Wetland,Bareland
548,Bareland,Wetland,Forest,NULL,Non_Wetland,Forest
549,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL
550,Bareland,Bareland,NULL,NULL,Non_Wetland,Grassland
551,Bareland,Bareland,NULL,NULL,Non_Wetland,Cropland
552,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland
553,Bareland,Bareland,NULL,Non_Water,Non_Wetland,Bareland
554,Bareland,Bareland,NULL,Water,Non_Wetland,Bareland
555,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL
556,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
557,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Cropland
558,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Wetland
559,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
560,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Water
561,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
562,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL
563,Bareland,Bareland,Shrubland,Water,Non_Wetland,Grassland
564,Bareland,Bareland,Shrubland,Water,Non_Wetland,Cropland
565,Bareland,Bareland,Shrubland,Water,Non_Wetland,Bareland
566,Bareland,Bareland,Shrubland,Water,Non_Wetland,Water
567,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL
568,Bareland,Bareland,Grassland,NULL,Non_Wetland,Grassland
569,Bareland,Bareland,Grassland,NULL,Non_Wetland,Cropland
570,Bareland,Bareland,Grassland,NULL,Non_Wetland,Wetland
571,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland
572,Bareland,Bareland,Grassland,NULL,Non_Wetland,Water
573,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Cropland
574,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
575,Bareland,Bareland,Grassland,Water,Non_Wetland,Cropland
576,Bareland,Bareland,Grassland,Water,Non_Wetland,Wetland
577,Bareland,Bareland,Grassland,Water,Non_Wetland,Bareland
578,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL
579,Bareland,Bareland,Cropland,NULL,Non_Wetland,Grassland
580,Bareland,Bareland,Cropland,NULL,Non_Wetland,Cropland
581,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland
582,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
583,Bareland,Bareland,Cropland,Water,Non_Wetland,NULL
584,Bareland,Bareland,Cropland,Water,Non_Wetland,Grassland
585,Bareland,Bareland,Cropland,Water,Non_Wetland,Wetland
586,Bareland,Bareland,Cropland,Water,Non_Wetland,Bareland
587,Bareland,Bareland,Wetland,NULL,Wetland,Bareland
588,Bareland,Bareland,Wetland,NULL,Wetland,Water
589,Bareland,Bareland,Wetland,Non_Water,Wetland,Bareland
590,Bareland,Bareland,Wetland,Water,Wetland,NULL
591,Bareland,Bareland,Wetland,Water,Wetland,Grassland
592,Bareland,Bareland,Wetland,Water,Wetland,Cropland
593,Bareland,Bareland,Wetland,Water,Wetland,Wetland
594,Bareland,Bareland,Wetland,Water,Wetland,Bareland
595,Bareland,Bareland,Wetland,Water,Wetland,Water
596,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
597,Bareland,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
598,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL
599,Bareland,Bareland,Bareland,NULL,Non_Wetland,Grassland
600,Bareland,Bareland,Bareland,NULL,Non_Wetland,Cropland
601,Bareland,Bareland,Bareland,NULL,Non_Wetland,Wetland
602,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland
603,Bareland,Bareland,Bareland,NULL,Non_Wetland,Built-up
604,Bareland,Bareland,Bareland,NULL,Non_Wetland,Water
605,Bareland,Bareland,Bareland,NULL,Non_Wetland,Forest
606,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
607,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
608,Bareland,Bareland,Bareland,Water,Non_Wetland,NULL
609,Bareland,Bareland,Bareland,Water,Non_Wetland,Grassland
610,Bareland,Bareland,Bareland,Water,Non_Wetland,Cropland
611,Bareland,Bareland,Bareland,Water,Non_Wetland,Wetland
612,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland
613,Bareland,Bareland,Bareland,Water,Non_Wetland,Water
614,Bareland,Bareland,Built-up,NULL,Non_Wetland,NULL
615,Bareland,Bareland,Built-up,NULL,Non_Wetland,Grassland
616,Bareland,Bareland,Built-up,NULL,Non_Wetland,Cropland
617,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland
618,Bareland,Bareland,Built-up,NULL,Non_Wetland,Built-up
619,Bareland,Bareland,Built-up,NULL,Non_Wetland,Water
620,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
621,Bareland,Bareland,Built-up,Water,Non_Wetland,NULL
622,Bareland,Bareland,Built-up,Water,Non_Wetland,Grassland
623,Bareland,Bareland,Built-up,Water,Non_Wetland,Bareland
624,Bareland,Bareland,Built-up,Water,Non_Wetland,Water
625,Bareland,Bareland,Water,NULL,Water,NULL
626,Bareland,Bareland,Water,NULL,Water,Grassland
627,Bareland,Bareland,Water,NULL,Water,Bareland
628,Bareland,Bareland,Water,NULL,Water,Water
629,Bareland,Bareland,Water,Non_Water,Water,Bareland
630,Bareland,Bareland,Water,Water,Water,Bareland
631,Bareland,Bareland,Water,Water,Water,Water
632,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL
633,Bareland,Bareland,Forest,NULL,Non_Wetland,Grassland
634,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland
635,Bareland,Built-up,NULL,NULL,Non_Wetland,Bareland
636,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
637,Bareland,Built-up,Grassland,NULL,Non_Wetland,NULL
638,Bareland,Built-up,Grassland,NULL,Non_Wetland,Grassland
639,Bareland,Built-up,Grassland,NULL,Non_Wetland,Bareland
640,Bareland,Built-up,Cropland,NULL,Non_Wetland,Bareland
641,Bareland,Built-up,Bareland,NULL,Non_Wetland,NULL
642,Bareland,Built-up,Bareland,NULL,Non_Wetland,Grassland
643,Bareland,Built-up,Bareland,NULL,Non_Wetland,Bareland
644,Bareland,Built-up,Bareland,NULL,Non_Wetland,Built-up
645,Bareland,Built-up,Built-up,NULL,Non_Wetland,NULL
646,Bareland,Built-up,Built-up,NULL,Non_Wetland,Grassland
647,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland
648,Bareland,Built-up,Built-up,NULL,Non_Wetland,Built-up
649,Bareland,Built-up,Water,NULL,Water,Grassland
650,Bareland,Built-up,Water,NULL,Water,Bareland
651,Bareland,Built-up,Forest,NULL,Non_Wetland,NULL
652,Bareland,Built-up,Forest,NULL,Non_Wetland,Grassland
653,Bareland,Built-up,Forest,NULL,Non_Wetland,Bareland
654,Bareland,Water,Grassland,NULL,Non_Wetland,Bareland
655,Bareland,Water,Cropland,NULL,Non_Wetland,Bareland
656,Bareland,Water,Wetland,Water,Wetland,Bareland
657,Bareland,Water,Bareland,NULL,Non_Wetland,NULL
658,Bareland,Water,Bareland,NULL,Non_Wetland,Grassland
659,Bareland,Water,Bareland,NULL,Non_Wetland,Bareland
660,Bareland,Water,Bareland,NULL,Non_Wetland,Water
661,Bareland,Water,Bareland,Water,Non_Wetland,Bareland
662,Bareland,Water,Bareland,Water,Non_Wetland,Water
663,Bareland,Water,Built-up,NULL,Non_Wetland,Bareland
664,Bareland,Water,Built-up,Water,Non_Wetland,Bareland
665,Bareland,Water,Water,NULL,Water,Bareland
666,Bareland,Water,Water,Water,Water,Bareland
667,Bareland,Water,Water,Water,Water,Water
668,Bareland,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Bareland
669,Bareland,Forest,Grassland,NULL,Non_Wetland,Grassland
670,Bareland,Forest,Bareland,NULL,Non_Wetland,NULL
671,Bareland,Forest,Bareland,NULL,Non_Wetland,Grassland
672,Bareland,Forest,Bareland,NULL,Non_Wetland,Bareland
673,Bareland,Forest,Built-up,NULL,Non_Wetland,Grassland
674,Water,NULL,Shrubland,NULL,Non_Wetland,NULL
675,Water,NULL,Shrubland,NULL,Non_Wetland,Cropland
676,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland
677,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland
678,Water,NULL,Grassland,NULL,Non_Wetland,NULL
679,Water,NULL,Grassland,NULL,Non_Wetland,Cropland
680,Water,NULL,Grassland,NULL,Non_Wetland,Wetland
681,Water,NULL,Grassland,NULL,Non_Wetland,Bareland
682,Water,NULL,Cropland,NULL,Non_Wetland,NULL
683,Water,NULL,Cropland,NULL,Non_Wetland,Cropland
684,Water,NULL,Cropland,NULL,Non_Wetland,Wetland
685,Water,NULL,Cropland,NULL,Non_Wetland,Bareland
686,Water,NULL,Cropland,Water,Non_Wetland,Cropland
687,Water,NULL,Wetland,NULL,Wetland,NULL
688,Water,NULL,Wetland,NULL,Wetland,Cropland
689,Water,NULL,Wetland,NULL,Wetland,Wetland
690,Water,NULL,Wetland,Non_Water,Wetland,Cropland
691,Water,NULL,Wetland,Water,Wetland,Cropland
692,Water,NULL,Wetland,Water,Wetland,Bareland
693,Water,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
694,Water,NULL,Bareland,NULL,Non_Wetland,NULL
695,Water,NULL,Bareland,NULL,Non_Wetland,Grassland
696,Water,NULL,Bareland,NULL,Non_Wetland,Cropland
697,Water,NULL,Bareland,NULL,Non_Wetland,Wetland
698,Water,NULL,Bareland,NULL,Non_Wetland,Bareland
699,Water,NULL,Bareland,NULL,Non_Wetland,Water
700,Water,NULL,Bareland,Water,Non_Wetland,Bareland
701,Water,NULL,Built-up,NULL,Non_Wetland,NULL
702,Water,NULL,Built-up,NULL,Non_Wetland,Grassland
703,Water,NULL,Built-up,NULL,Non_Wetland,Cropland
704,Water,NULL,Built-up,NULL,Non_Wetland,Wetland
705,Water,NULL,Built-up,NULL,Non_Wetland,Bareland
706,Water,NULL,Water,NULL,Water,Bareland
707,Water,NULL,Water,NULL,Water,Water
708,Water,NULL,Forest,NULL,Non_Wetland,Bareland
709,Water,Cropland,Grassland,NULL,Non_Wetland,NULL
710,Water,Cropland,Bareland,NULL,Non_Wetland,Bareland
711,Water,Wetland,NULL,NULL,Non_Wetland,Wetland
712,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL
713,Water,Wetland,Shrubland,NULL,Non_Wetland,Cropland
714,Water,Wetland,Shrubland,NULL,Non_Wetland,Wetland
715,Water,Wetland,Shrubland,NULL,Non_Wetland,Bareland
716,Water,Wetland,Grassland,NULL,Non_Wetland,NULL
717,Water,Wetland,Grassland,NULL,Non_Wetland,Cropland
718,Water,Wetland,Grassland,NULL,Non_Wetland,Wetland
719,Water,Wetland,Grassland,NULL,Non_Wetland,Bareland
720,Water,Wetland,Cropland,NULL,Non_Wetland,Wetland
721,Water,Wetland,Cropland,NULL,Non_Wetland,Bareland
722,Water,Wetland,Wetland,NULL,Wetland,Wetland
723,Water,Wetland,Wetland,NULL,Wetland,Bareland
724,Water,Wetland,Wetland,Water,Wetland,Water
725,Water,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
726,Water,Wetland,Bareland,NULL,Non_Wetland,NULL
727,Water,Wetland,Bareland,NULL,Non_Wetland,Wetland
728,Water,Wetland,Bareland,NULL,Non_Wetland,Bareland
729,Water,Wetland,Bareland,NULL,Non_Wetland,Water
730,Water,Wetland,Built-up,NULL,Non_Wetland,NULL
731,Water,Wetland,Built-up,NULL,Non_Wetland,Cropland
732,Water,Wetland,Built-up,NULL,Non_Wetland,Wetland
733,Water,Wetland,Built-up,NULL,Non_Wetland,Bareland
734,Water,Wetland,Water,NULL,Water,Bareland
735,Water,Wetland,Water,NULL,Water,Forest
736,Water,Wetland,Water,Water,Water,Water
737,Water,Wetland,Forest,NULL,Non_Wetland,Bareland
738,Water,Bareland,Shrubland,NULL,Non_Wetland,NULL
739,Water,Bareland,Shrubland,NULL,Non_Wetland,Bareland
740,Water,Bareland,Shrubland,NULL,Non_Wetland,Water
741,Water,Bareland,Shrubland,Water,Non_Wetland,Bareland
742,Water,Bareland,Shrubland,Water,Non_Wetland,Water
743,Water,Bareland,Grassland,NULL,Non_Wetland,NULL
744,Water,Bareland,Grassland,NULL,Non_Wetland,Cropland
745,Water,Bareland,Grassland,NULL,Non_Wetland,Wetland
746,Water,Bareland,Grassland,NULL,Non_Wetland,Bareland
747,Water,Bareland,Grassland,NULL,Non_Wetland,Water
748,Water,Bareland,Grassland,Water,Non_Wetland,Wetland
749,Water,Bareland,Grassland,Water,Non_Wetland,Bareland
750,Water,Bareland,Cropland,NULL,Non_Wetland,NULL
751,Water,Bareland,Cropland,NULL,Non_Wetland,Wetland
752,Water,Bareland,Cropland,NULL,Non_Wetland,Bareland
753,Water,Bareland,Cropland,Water,Non_Wetland,Bareland
754,Water,Bareland,Wetland,NULL,Wetland,Bareland
755,Water,Bareland,Wetland,NULL,Wetland,Water
756,Water,Bareland,Wetland,Water,Wetland,Cropland
757,Water,Bareland,Wetland,Water,Wetland,Wetland
758,Water,Bareland,Wetland,Water,Wetland,Bareland
759,Water,Bareland,Wetland,Water,Wetland,Water
760,Water,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
761,Water,Bareland,Bareland,NULL,Non_Wetland,NULL
762,Water,Bareland,Bareland,NULL,Non_Wetland,Wetland
763,Water,Bareland,Bareland,NULL,Non_Wetland,Bareland
764,Water,Bareland,Bareland,NULL,Non_Wetland,Water
765,Water,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
766,Water,Bareland,Bareland,Water,Non_Wetland,Wetland
767,Water,Bareland,Bareland,Water,Non_Wetland,Bareland
768,Water,Bareland,Bareland,Water,Non_Wetland,Water
769,Water,Bareland,Built-up,NULL,Non_Wetland,Wetland
770,Water,Bareland,Built-up,NULL,Non_Wetland,Bareland
771,Water,Bareland,Built-up,Water,Non_Wetland,Wetland
772,Water,Bareland,Built-up,Water,Non_Wetland,Bareland
773,Water,Bareland,Built-up,Water,Non_Wetland,Water
774,Water,Bareland,Water,NULL,Water,Bareland
775,Water,Bareland,Water,NULL,Water,Water
776,Water,Bareland,Water,Water,Water,NULL
777,Water,Bareland,Water,Water,Water,Wetland
778,Water,Bareland,Water,Water,Water,Bareland
779,Water,Bareland,Water,Water,Water,Water
780,Water,Bareland,Forest,NULL,Non_Wetland,Bareland
781,Water,Built-up,Bareland,NULL,Non_Wetland,Bareland
782,Water,Built-up,Water,NULL,Water,Bareland
783,Water,Water,NULL,NULL,Non_Wetland,NULL
784,Water,Water,NULL,NULL,Non_Wetland,Wetland
785,Water,Water,Shrubland,NULL,Non_Wetland,NULL
786,Water,Water,Shrubland,NULL,Non_Wetland,Cropland
787,Water,Water,Shrubland,NULL,Non_Wetland,Wetland
788,Water,Water,Shrubland,NULL,Non_Wetland,Bareland
789,Water,Water,Shrubland,NULL,Non_Wetland,Water
790,Water,Water,Shrubland,Water,Non_Wetland,NULL
791,Water,Water,Shrubland,Water,Non_Wetland,Wetland
792,Water,Water,Shrubland,Water,Non_Wetland,Bareland
793,Water,Water,Shrubland,Water,Non_Wetland,Water
794,Water,Water,Grassland,NULL,Non_Wetland,NULL
795,Water,Water,Grassland,NULL,Non_Wetland,Cropland
796,Water,Water,Grassland,NULL,Non_Wetland,Wetland
797,Water,Water,Grassland,NULL,Non_Wetland,Bareland
798,Water,Water,Grassland,NULL,Non_Wetland,Water
799,Water,Water,Grassland,Water,Non_Wetland,NULL
800,Water,Water,Grassland,Water,Non_Wetland,Wetland
801,Water,Water,Grassland,Water,Non_Wetland,Bareland
802,Water,Water,Grassland,Water,Non_Wetland,Water
803,Water,Water,Cropland,NULL,Non_Wetland,NULL
804,Water,Water,Cropland,NULL,Non_Wetland,Cropland
805,Water,Water,Cropland,NULL,Non_Wetland,Wetland
806,Water,Water,Cropland,NULL,Non_Wetland,Bareland
807,Water,Water,Cropland,NULL,Non_Wetland,Water
808,Water,Water,Cropland,Water,Non_Wetland,Cropland
809,Water,Water,Cropland,Water,Non_Wetland,Wetland
810,Water,Water,Cropland,Water,Non_Wetland,Bareland
811,Water,Water,Cropland,Water,Non_Wetland,Water
812,Water,Water,Wetland,NULL,Wetland,NULL
813,Water,Water,Wetland,NULL,Wetland,Cropland
814,Water,Water,Wetland,NULL,Wetland,Wetland
815,Water,Water,Wetland,NULL,Wetland,Bareland
816,Water,Water,Wetland,NULL,Wetland,Water
817,Water,Water,Wetland,Water,Wetland,NULL
818,Water,Water,Wetland,Water,Wetland,Cropland
819,Water,Water,Wetland,Water,Wetland,Wetland
820,Water,Water,Wetland,Water,Wetland,Bareland
821,Water,Water,Wetland,Water,Wetland,Water
822,Water,Water,Bareland,NULL,Non_Wetland,NULL
823,Water,Water,Bareland,NULL,Non_Wetland,Grassland
824,Water,Water,Bareland,NULL,Non_Wetland,Cropland
825,Water,Water,Bareland,NULL,Non_Wetland,Wetland
826,Water,Water,Bareland,NULL,Non_Wetland,Bareland
827,Water,Water,Bareland,NULL,Non_Wetland,Water
828,Water,Water,Bareland,Water,Non_Wetland,NULL
829,Water,Water,Bareland,Water,Non_Wetland,Cropland
830,Water,Water,Bareland,Water,Non_Wetland,Wetland
831,Water,Water,Bareland,Water,Non_Wetland,Bareland
832,Water,Water,Bareland,Water,Non_Wetland,Water
833,Water,Water,Built-up,NULL,Non_Wetland,NULL
834,Water,Water,Built-up,NULL,Non_Wetland,Cropland
835,Water,Water,Built-up,NULL,Non_Wetland,Wetland
836,Water,Water,Built-up,NULL,Non_Wetland,Bareland
837,Water,Water,Built-up,NULL,Non_Wetland,Water
838,Water,Water,Built-up,Water,Non_Wetland,NULL
839,Water,Water,Built-up,Water,Non_Wetland,Cropland
840,Water,Water,Built-up,Water,Non_Wetland,Wetland
841,Water,Water,Built-up,Water,Non_Wetland,Bareland
842,Water,Water,Built-up,Water,Non_Wetland,Water
843,Water,Water,Water,NULL,Water,Wetland
844,Water,Water,Water,NULL,Water,Bareland
845,Water,Water,Water,NULL,Water,Water
846,Water,Water,Water,Water,Water,NULL
847,Water,Water,Water,Water,Water,Wetland
848,Water,Water,Water,Water,Water,Bareland
849,Water,Water,Water,Water,Water,Water
850,Water,Water,Forest,NULL,Non_Wetland,Bareland
851,Water,Forest,Shrubland,Water,Non_Wetland,Bareland
852,Water,Forest,Grassland,NULL,Non_Wetland,Wetland
853,Water,Forest,Grassland,NULL,Non_Wetland,Bareland
854,Water,Forest,Bareland,NULL,Non_Wetland,Wetland
855,Permanent_ice_and_snow,Bareland,Wetland,Water,Wetland,Bareland
856,Permanent_ice_and_snow,Bareland,Bareland,NULL,Non_Wetland,Bareland
857,Permanent_ice_and_snow,Bareland,Bareland,Water,Non_Wetland,Bareland
858,Permanent_ice_and_snow,Bareland,Bareland,Water,Non_Wetland,Water
859,Permanent_ice_and_snow,Bareland,Water,NULL,Water,Bareland
860,Permanent_ice_and_snow,Bareland,Water,Water,Water,Bareland
861,Permanent_ice_and_snow,Bareland,Water,Water,Water,Water
862,Permanent_ice_and_snow,Water,Wetland,Water,Wetland,Bareland
863,Permanent_ice_and_snow,Water,Water,Water,Water,Bareland
