Value,AFRICA_2024_DynamicWorld_2024_35PRS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PRS_M_R,AFRICA_2024_GLC_FCS30D_2022_35PRS_M_R,AFRICA_2024_GSW_Yearly_2021_35PRS_M_R,AFRICA_2024_GWL_FCS30D_2022_35PRS_M_R,AFRICA_2024_WorldCover_2021_35PRS_M_R
414,Water,NULL,Grassland,NULL,Non_Wetland,Bareland
415,Water,NULL,Grassland,NULL,Non_Wetland,Water
416,Water,NULL,Grassland,Non_Water,Non_Wetland,Grassland
417,Water,NULL,Grassland,Non_Water,Non_Wetland,Bareland
418,Water,NULL,Grassland,Water,Non_Wetland,Grassland
419,Water,NULL,Grassland,Water,Non_Wetland,Cropland
420,Water,NULL,Grassland,Water,Non_Wetland,Bareland
421,Water,NULL,Grassland,Water,Non_Wetland,Water
422,Water,NULL,Cropland,NULL,Non_Wetland,Grassland
423,Water,NULL,Cropland,NULL,Non_Wetland,Bareland
424,Water,NULL,Bareland,NULL,Non_Wetland,Grassland
425,Water,NULL,Bareland,NULL,Non_Wetland,Bareland
426,Water,NULL,Bareland,Water,Non_Wetland,Grassland
427,Water,NULL,Bareland,Water,Non_Wetland,Bareland
428,Water,NULL,Built-up,NULL,Non_Wetland,NULL
429,Water,NULL,Built-up,NULL,Non_Wetland,Grassland
430,Water,NULL,Built-up,NULL,Non_Wetland,Bareland
431,Water,NULL,Built-up,Non_Water,Non_Wetland,Grassland
432,Water,NULL,Built-up,Water,Non_Wetland,Grassland
433,Water,NULL,Water,NULL,Water,NULL
434,Water,NULL,Water,NULL,Water,Grassland
435,Water,NULL,Water,NULL,Water,Bareland
436,Water,NULL,Water,Water,Water,Grassland
437,Water,NULL,Water,Water,Water,Bareland
438,Water,Cropland,Grassland,NULL,Non_Wetland,Grassland
439,Water,Bareland,Shrubland,NULL,Non_Wetland,Bareland
440,Water,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
441,Water,Bareland,Cropland,Water,Non_Wetland,Bareland
442,Water,Bareland,Bareland,NULL,Non_Wetland,Bareland
443,Water,Bareland,Built-up,NULL,Non_Wetland,Bareland
444,Water,Bareland,Water,NULL,Water,Grassland
445,Water,Bareland,Water,NULL,Water,Bareland
446,Water,Bareland,Water,Water,Water,Grassland
447,Water,Bareland,Water,Water,Water,Bareland
448,Water,Water,Grassland,NULL,Non_Wetland,Grassland
449,Water,Water,Grassland,NULL,Non_Wetland,Bareland
450,Water,Water,Grassland,NULL,Non_Wetland,Water
451,Water,Water,Grassland,NULL,Non_Wetland,Forest
452,Water,Water,Grassland,Non_Water,Non_Wetland,Grassland
453,Water,Water,Grassland,Non_Water,Non_Wetland,Bareland
454,Water,Water,Grassland,Water,Non_Wetland,Grassland
455,Water,Water,Grassland,Water,Non_Wetland,Bareland
456,Water,Water,Cropland,NULL,Non_Wetland,Grassland
457,Water,Water,Wetland,NULL,Wetland,Water
458,Water,Water,Wetland,Water,Wetland,Grassland
459,Water,Water,Wetland,Water,Wetland,Wetland
460,Water,Water,Wetland,Water,Wetland,Bareland
461,Water,Water,Wetland,Water,Wetland,Water
462,Water,Water,Bareland,NULL,Non_Wetland,Bareland
463,Water,Water,Bareland,NULL,Non_Wetland,Water
464,Water,Water,Bareland,Non_Water,Non_Wetland,Bareland
465,Water,Water,Bareland,Water,Non_Wetland,Grassland
466,Water,Water,Bareland,Water,Non_Wetland,Bareland
467,Water,Water,Bareland,Water,Non_Wetland,Water
468,Forest,NULL,NULL,NULL,Non_Wetland,NULL
469,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
470,Forest,NULL,NULL,NULL,Non_Wetland,Forest
471,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
472,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
473,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
474,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
475,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
476,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland
477,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
478,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL
479,Forest,NULL,Grassland,Non_Water,Non_Wetland,Grassland
480,Forest,NULL,Grassland,Water,Non_Wetland,Forest
481,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
482,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
483,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland
484,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
485,Forest,NULL,Cropland,Non_Water,Non_Wetland,NULL
486,Forest,NULL,Cropland,Non_Water,Non_Wetland,Grassland
487,Forest,NULL,Cropland,Non_Water,Non_Wetland,Forest
488,Forest,NULL,Cropland,Water,Non_Wetland,NULL
489,Forest,NULL,Cropland,Water,Non_Wetland,Grassland
490,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
491,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
492,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
493,Forest,NULL,Bareland,NULL,Non_Wetland,NULL
494,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland
495,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
496,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland
497,Forest,NULL,Built-up,NULL,Non_Wetland,Bareland
498,Forest,NULL,Built-up,NULL,Non_Wetland,Forest
499,Forest,NULL,Built-up,Non_Water,Non_Wetland,NULL
500,Forest,NULL,Built-up,Non_Water,Non_Wetland,Grassland
501,Forest,NULL,Forest,NULL,Non_Wetland,NULL
502,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
503,Forest,NULL,Forest,NULL,Non_Wetland,Forest
504,Forest,Bareland,Cropland,NULL,Non_Wetland,NULL
505,Forest,Bareland,Built-up,NULL,Non_Wetland,NULL
506,Forest,Forest,NULL,NULL,Non_Wetland,NULL
507,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
508,Forest,Forest,NULL,NULL,Non_Wetland,Forest
509,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
510,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
511,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
512,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
513,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
514,Forest,Forest,Grassland,NULL,Non_Wetland,Forest
515,Forest,Forest,Grassland,Non_Water,Non_Wetland,Grassland
516,Forest,Forest,Grassland,Non_Water,Non_Wetland,Forest
517,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
518,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
519,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
520,Forest,Forest,Cropland,Non_Water,Non_Wetland,Forest
521,Forest,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
522,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland
523,Forest,Forest,Built-up,NULL,Non_Wetland,NULL
524,Forest,Forest,Built-up,NULL,Non_Wetland,Forest
525,Forest,Forest,Forest,NULL,Non_Wetland,NULL
526,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
527,Forest,Forest,Forest,NULL,Non_Wetland,Forest
