Value,AFRICA_2024_DynamicWorld_2024_37PHR_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PHR_M_R,AFRICA_2024_GLC_FCS30D_2022_37PHR_M_R,AFRICA_2024_GSW_Yearly_2021_37PHR_M_R,AFRICA_2024_GWL_FCS30D_2022_37PHR_M_R,AFRICA_2024_WorldCover_2021_37PHR_M_R
442,Water,Bareland,Wetland,NULL,NULL,Water
443,Water,Bareland,Wetland,NULL,Wetland,Wetland
444,Water,Bareland,Wetland,NULL,Wetland,Bareland
445,Water,Bareland,Wetland,NULL,Wetland,Water
446,Water,Bareland,Wetland,Water,NULL,Bareland
447,Water,Bareland,Wetland,Water,NULL,Water
448,Water,Bareland,Wetland,Water,Wetland,Wetland
449,Water,Bareland,Wetland,Water,Wetland,Bareland
450,Water,Bareland,Wetland,Water,Wetland,Water
451,Water,Bareland,Bareland,NULL,Non_Wetland,NULL
452,Water,Bareland,Bareland,NULL,Non_Wetland,Grassland
453,Water,Bareland,Bareland,NULL,Non_Wetland,Wetland
454,Water,Bareland,Bareland,NULL,Non_Wetland,Bareland
455,Water,Bareland,Bareland,NULL,Non_Wetland,Water
456,Water,Bareland,Bareland,NULL,Non_Wetland,Forest
457,Water,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
458,Water,Bareland,Bareland,Non_Water,Non_Wetland,Water
459,Water,Bareland,Bareland,Water,Non_Wetland,NULL
460,Water,Bareland,Bareland,Water,Non_Wetland,Grassland
461,Water,Bareland,Bareland,Water,Non_Wetland,Wetland
462,Water,Bareland,Bareland,Water,Non_Wetland,Bareland
463,Water,Bareland,Bareland,Water,Non_Wetland,Water
464,Water,Bareland,Built-up,NULL,Non_Wetland,Bareland
465,Water,Bareland,Built-up,Water,Non_Wetland,Bareland
466,Water,Bareland,Built-up,Water,Non_Wetland,Water
467,Water,Bareland,Water,NULL,NULL,Bareland
468,Water,Bareland,Water,NULL,NULL,Water
469,Water,Bareland,Water,NULL,Water,Bareland
470,Water,Bareland,Water,NULL,Water,Water
471,Water,Bareland,Water,Water,NULL,Bareland
472,Water,Bareland,Water,Water,NULL,Water
473,Water,Bareland,Water,Water,Water,Bareland
474,Water,Bareland,Water,Water,Water,Water
475,Water,Built-up,Wetland,NULL,Wetland,Water
476,Water,Built-up,Wetland,Water,Wetland,Bareland
477,Water,Built-up,Wetland,Water,Wetland,Water
478,Water,Built-up,Bareland,NULL,Non_Wetland,Bareland
479,Water,Built-up,Bareland,Water,Non_Wetland,Bareland
480,Water,Built-up,Bareland,Water,Non_Wetland,Water
481,Water,Built-up,Water,Water,NULL,Bareland
482,Water,Water,Shrubland,NULL,Non_Wetland,Cropland
483,Water,Water,Shrubland,NULL,Non_Wetland,Wetland
484,Water,Water,Shrubland,NULL,Non_Wetland,Bareland
485,Water,Water,Shrubland,NULL,Non_Wetland,Water
486,Water,Water,Shrubland,Non_Water,Non_Wetland,Bareland
487,Water,Water,Shrubland,Non_Water,Non_Wetland,Water
488,Water,Water,Shrubland,Water,Non_Wetland,Bareland
489,Water,Water,Shrubland,Water,Non_Wetland,Water
490,Water,Water,Grassland,NULL,Non_Wetland,NULL
491,Water,Water,Grassland,NULL,Non_Wetland,Grassland
492,Water,Water,Grassland,NULL,Non_Wetland,Cropland
493,Water,Water,Grassland,NULL,Non_Wetland,Wetland
494,Water,Water,Grassland,NULL,Non_Wetland,Bareland
495,Water,Water,Grassland,NULL,Non_Wetland,Water
496,Water,Water,Grassland,Water,Non_Wetland,NULL
497,Water,Water,Grassland,Water,Non_Wetland,Grassland
498,Water,Water,Grassland,Water,Non_Wetland,Wetland
499,Water,Water,Grassland,Water,Non_Wetland,Bareland
500,Water,Water,Grassland,Water,Non_Wetland,Water
501,Water,Water,Cropland,NULL,Non_Wetland,NULL
502,Water,Water,Cropland,NULL,Non_Wetland,Grassland
503,Water,Water,Cropland,NULL,Non_Wetland,Cropland
504,Water,Water,Cropland,NULL,Non_Wetland,Wetland
505,Water,Water,Cropland,NULL,Non_Wetland,Bareland
506,Water,Water,Cropland,NULL,Non_Wetland,Water
507,Water,Water,Cropland,Non_Water,Non_Wetland,NULL
508,Water,Water,Cropland,Water,Non_Wetland,Cropland
509,Water,Water,Cropland,Water,Non_Wetland,Wetland
510,Water,Water,Cropland,Water,Non_Wetland,Bareland
511,Water,Water,Wetland,NULL,NULL,NULL
512,Water,Water,Wetland,NULL,NULL,Wetland
513,Water,Water,Wetland,NULL,NULL,Bareland
514,Water,Water,Wetland,NULL,NULL,Water
515,Water,Water,Wetland,NULL,Wetland,NULL
516,Water,Water,Wetland,NULL,Wetland,Wetland
517,Water,Water,Wetland,NULL,Wetland,Bareland
518,Water,Water,Wetland,NULL,Wetland,Water
519,Water,Water,Wetland,Non_Water,Wetland,Wetland
520,Water,Water,Wetland,Non_Water,Wetland,Bareland
521,Water,Water,Wetland,Non_Water,Wetland,Water
522,Water,Water,Wetland,Water,NULL,Wetland
523,Water,Water,Wetland,Water,NULL,Bareland
524,Water,Water,Wetland,Water,NULL,Water
525,Water,Water,Wetland,Water,Wetland,NULL
526,Water,Water,Wetland,Water,Wetland,Grassland
527,Water,Water,Wetland,Water,Wetland,Cropland
528,Water,Water,Wetland,Water,Wetland,Wetland
529,Water,Water,Wetland,Water,Wetland,Bareland
530,Water,Water,Wetland,Water,Wetland,Water
531,Water,Water,Bareland,NULL,Non_Wetland,NULL
532,Water,Water,Bareland,NULL,Non_Wetland,Grassland
533,Water,Water,Bareland,NULL,Non_Wetland,Cropland
534,Water,Water,Bareland,NULL,Non_Wetland,Wetland
535,Water,Water,Bareland,NULL,Non_Wetland,Bareland
536,Water,Water,Bareland,NULL,Non_Wetland,Water
537,Water,Water,Bareland,Non_Water,Non_Wetland,Bareland
538,Water,Water,Bareland,Non_Water,Non_Wetland,Water
539,Water,Water,Bareland,Water,Non_Wetland,NULL
540,Water,Water,Bareland,Water,Non_Wetland,Wetland
541,Water,Water,Bareland,Water,Non_Wetland,Bareland
542,Water,Water,Bareland,Water,Non_Wetland,Water
543,Water,Water,Bareland,Water,Non_Wetland,Forest
544,Water,Water,Built-up,NULL,Non_Wetland,Wetland
545,Water,Water,Built-up,NULL,Non_Wetland,Bareland
546,Water,Water,Built-up,NULL,Non_Wetland,Water
547,Water,Water,Built-up,Non_Water,Non_Wetland,Water
548,Water,Water,Built-up,Water,Non_Wetland,Bareland
549,Water,Water,Built-up,Water,Non_Wetland,Water
550,Water,Water,Water,NULL,NULL,Grassland
551,Water,Water,Water,NULL,NULL,Bareland
552,Water,Water,Water,NULL,NULL,Water
553,Water,Water,Water,NULL,Water,NULL
554,Water,Water,Water,NULL,Water,Bareland
555,Water,Water,Water,NULL,Water,Water
556,Water,Water,Water,Non_Water,NULL,Water
557,Water,Water,Water,Non_Water,Water,Bareland
558,Water,Water,Water,Water,NULL,NULL
559,Water,Water,Water,Water,NULL,Wetland
560,Water,Water,Water,Water,NULL,Bareland
561,Water,Water,Water,Water,NULL,Water
562,Water,Water,Water,Water,Water,Wetland
563,Water,Water,Water,Water,Water,Bareland
564,Water,Water,Water,Water,Water,Water
565,Water,Forest,Wetland,NULL,Wetland,Wetland
566,Water,Forest,Bareland,NULL,Non_Wetland,Bareland
567,Permanent_ice_and_snow,Bareland,Wetland,Water,Wetland,Bareland
568,Permanent_ice_and_snow,Bareland,Bareland,NULL,Non_Wetland,Bareland
569,Permanent_ice_and_snow,Bareland,Bareland,Water,Non_Wetland,Bareland
570,Permanent_ice_and_snow,Bareland,Water,NULL,Water,Bareland
571,Permanent_ice_and_snow,Bareland,Water,Water,NULL,Water
572,Permanent_ice_and_snow,Bareland,Water,Water,Water,Bareland
573,Permanent_ice_and_snow,Water,Wetland,Water,NULL,Water
574,Permanent_ice_and_snow,Water,Wetland,Water,Wetland,Bareland
575,Permanent_ice_and_snow,Water,Wetland,Water,Wetland,Water
576,Permanent_ice_and_snow,Water,Bareland,Water,Non_Wetland,Bareland
577,Permanent_ice_and_snow,Water,Bareland,Water,Non_Wetland,Water
578,Permanent_ice_and_snow,Water,Water,Water,NULL,Water
579,Permanent_ice_and_snow,Water,Water,Water,Water,Bareland
580,Forest,NULL,Wetland,NULL,Wetland,Wetland
581,Forest,NULL,Wetland,Non_Water,Wetland,Wetland
582,Forest,NULL,Wetland,Water,Wetland,Wetland
583,Forest,NULL,Wetland,Water,Wetland,Bareland
584,Forest,Cropland,Grassland,NULL,Non_Wetland,Wetland
585,Forest,Cropland,Wetland,NULL,Wetland,Wetland
586,Forest,Cropland,Wetland,Non_Water,Wetland,Wetland
587,Forest,Cropland,Wetland,Water,Wetland,Wetland
588,Forest,Wetland,Wetland,NULL,Wetland,NULL
589,Forest,Wetland,Wetland,Water,Wetland,Wetland
590,Forest,Water,Grassland,NULL,Non_Wetland,Wetland
591,Forest,Water,Cropland,Non_Water,Non_Wetland,Wetland
592,Forest,Water,Wetland,NULL,NULL,Wetland
593,Forest,Water,Wetland,NULL,NULL,Bareland
594,Forest,Water,Wetland,NULL,Wetland,NULL
595,Forest,Water,Wetland,NULL,Wetland,Cropland
596,Forest,Water,Wetland,NULL,Wetland,Wetland
597,Forest,Water,Wetland,NULL,Wetland,Bareland
598,Forest,Water,Wetland,Non_Water,NULL,Wetland
599,Forest,Water,Wetland,Non_Water,Wetland,Wetland
600,Forest,Water,Wetland,Water,Wetland,Wetland
601,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
602,Forest,Forest,Cropland,NULL,Non_Wetland,Wetland
603,Forest,Forest,Wetland,NULL,NULL,Wetland
604,Forest,Forest,Wetland,NULL,Wetland,NULL
605,Forest,Forest,Wetland,NULL,Wetland,Wetland
606,Forest,Forest,Wetland,Non_Water,Wetland,Wetland
607,Forest,Forest,Wetland,Water,Wetland,Wetland
