Value,AFRICA_2024_DynamicWorld_2024_36PTT_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PTT_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTT_M_R,AFRICA_2024_GSW_Yearly_2021_36PTT_M_R,AFRICA_2024_GWL_FCS30D_2022_36PTT_M_R,AFRICA_2024_WorldCover_2021_36PTT_M_R
419,Wetland,Cropland,Shrubland,Water,Non_Wetland,Wetland
420,Wetland,Cropland,Shrubland,Water,Non_Wetland,Bareland
421,Wetland,Cropland,Cropland,NULL,Non_Wetland,Grassland
422,Wetland,Cropland,Cropland,NULL,Non_Wetland,Cropland
423,Wetland,Cropland,Cropland,Water,Non_Wetland,Cropland
424,Wetland,Cropland,Cropland,Water,Non_Wetland,Wetland
425,Wetland,Cropland,Cropland,Water,Non_Wetland,Bareland
426,Wetland,Cropland,Water,Water,Water,Wetland
427,Wetland,Water,Shrubland,Water,Non_Wetland,Water
428,Wetland,Water,Cropland,NULL,Non_Wetland,Cropland
429,Wetland,Water,Cropland,Water,Non_Wetland,Cropland
430,Wetland,Water,Cropland,Water,Non_Wetland,Wetland
431,Wetland,Water,Cropland,Water,Non_Wetland,Bareland
432,Wetland,Water,Cropland,Water,Non_Wetland,Water
433,Wetland,Water,Bareland,Water,Non_Wetland,Bareland
434,Wetland,Forest,Shrubland,NULL,Non_Wetland,Grassland
435,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
436,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
437,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland
438,Bareland,NULL,NULL,NULL,Non_Wetland,Wetland
439,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
440,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
441,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
442,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
443,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland
444,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
445,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest
446,Bareland,NULL,Shrubland,Water,Non_Wetland,Grassland
447,Bareland,NULL,Shrubland,Water,Non_Wetland,Wetland
448,Bareland,NULL,Shrubland,Water,Non_Wetland,Bareland
449,Bareland,NULL,Shrubland,Water,Non_Wetland,Water
450,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
451,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
452,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
453,Bareland,NULL,Grassland,NULL,Non_Wetland,Wetland
454,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
455,Bareland,NULL,Grassland,NULL,Non_Wetland,Built-up
456,Bareland,NULL,Grassland,NULL,Non_Wetland,Water
457,Bareland,NULL,Grassland,NULL,Non_Wetland,Forest
458,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
459,Bareland,NULL,Grassland,Water,Non_Wetland,Grassland
460,Bareland,NULL,Grassland,Water,Non_Wetland,Bareland
461,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
462,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
463,Bareland,NULL,Cropland,NULL,Non_Wetland,Cropland
464,Bareland,NULL,Cropland,NULL,Non_Wetland,Wetland
465,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
466,Bareland,NULL,Cropland,NULL,Non_Wetland,Water
467,Bareland,NULL,Cropland,NULL,Non_Wetland,Forest
468,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
469,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
470,Bareland,NULL,Cropland,Water,Non_Wetland,NULL
471,Bareland,NULL,Cropland,Water,Non_Wetland,Grassland
472,Bareland,NULL,Cropland,Water,Non_Wetland,Cropland
473,Bareland,NULL,Cropland,Water,Non_Wetland,Wetland
474,Bareland,NULL,Cropland,Water,Non_Wetland,Bareland
475,Bareland,NULL,Cropland,Water,Non_Wetland,Water
476,Bareland,NULL,Cropland,Water,Non_Wetland,Forest
477,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
478,Bareland,NULL,Bareland,NULL,Non_Wetland,Cropland
479,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
480,Bareland,NULL,Bareland,NULL,Non_Wetland,Water
481,Bareland,NULL,Bareland,Water,Non_Wetland,Cropland
482,Bareland,NULL,Bareland,Water,Non_Wetland,Wetland
483,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
484,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL
485,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
486,Bareland,NULL,Built-up,NULL,Non_Wetland,Cropland
487,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
488,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up
489,Bareland,NULL,Built-up,NULL,Non_Wetland,Forest
490,Bareland,NULL,Water,Water,Water,Wetland
491,Bareland,NULL,Water,Water,Water,Bareland
492,Bareland,NULL,Water,Water,Water,Water
493,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
494,Bareland,NULL,Forest,NULL,Non_Wetland,Cropland
495,Bareland,NULL,Forest,NULL,Non_Wetland,Forest
496,Bareland,Cropland,NULL,NULL,Non_Wetland,Grassland
497,Bareland,Cropland,NULL,NULL,Non_Wetland,Cropland
498,Bareland,Cropland,NULL,NULL,Non_Wetland,Bareland
499,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL
500,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
501,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
502,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
503,Bareland,Cropland,Shrubland,Water,Non_Wetland,Cropland
504,Bareland,Cropland,Shrubland,Water,Non_Wetland,Wetland
505,Bareland,Cropland,Shrubland,Water,Non_Wetland,Bareland
506,Bareland,Cropland,Grassland,NULL,Non_Wetland,Grassland
507,Bareland,Cropland,Grassland,NULL,Non_Wetland,Cropland
508,Bareland,Cropland,Grassland,NULL,Non_Wetland,Bareland
509,Bareland,Cropland,Grassland,NULL,Non_Wetland,Built-up
510,Bareland,Cropland,Grassland,NULL,Non_Wetland,Forest
511,Bareland,Cropland,Grassland,Water,Non_Wetland,Bareland
512,Bareland,Cropland,Cropland,NULL,Non_Wetland,Grassland
513,Bareland,Cropland,Cropland,NULL,Non_Wetland,Cropland
514,Bareland,Cropland,Cropland,NULL,Non_Wetland,Bareland
515,Bareland,Cropland,Cropland,NULL,Non_Wetland,Water
516,Bareland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
517,Bareland,Cropland,Cropland,Water,Non_Wetland,Grassland
518,Bareland,Cropland,Cropland,Water,Non_Wetland,Cropland
519,Bareland,Cropland,Cropland,Water,Non_Wetland,Wetland
520,Bareland,Cropland,Cropland,Water,Non_Wetland,Bareland
521,Bareland,Cropland,Cropland,Water,Non_Wetland,Water
522,Bareland,Cropland,Bareland,NULL,Non_Wetland,Grassland
523,Bareland,Cropland,Bareland,NULL,Non_Wetland,Cropland
524,Bareland,Cropland,Bareland,NULL,Non_Wetland,Bareland
525,Bareland,Cropland,Bareland,Water,Non_Wetland,Cropland
526,Bareland,Cropland,Bareland,Water,Non_Wetland,Wetland
527,Bareland,Cropland,Bareland,Water,Non_Wetland,Water
528,Bareland,Cropland,Built-up,NULL,Non_Wetland,Grassland
529,Bareland,Cropland,Built-up,NULL,Non_Wetland,Cropland
530,Bareland,Cropland,Built-up,NULL,Non_Wetland,Bareland
531,Bareland,Cropland,Water,Water,Water,Wetland
532,Bareland,Cropland,Forest,NULL,Non_Wetland,Grassland
533,Bareland,Cropland,Forest,NULL,Non_Wetland,Cropland
534,Bareland,Bareland,NULL,NULL,Non_Wetland,Grassland
535,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
536,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Cropland
537,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
538,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Forest
539,Bareland,Bareland,Shrubland,Water,Non_Wetland,Wetland
540,Bareland,Bareland,Shrubland,Water,Non_Wetland,Bareland
541,Bareland,Bareland,Grassland,NULL,Non_Wetland,Grassland
542,Bareland,Bareland,Grassland,NULL,Non_Wetland,Cropland
543,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland
544,Bareland,Bareland,Grassland,NULL,Non_Wetland,Water
545,Bareland,Bareland,Grassland,NULL,Non_Wetland,Forest
546,Bareland,Bareland,Cropland,NULL,Non_Wetland,Grassland
547,Bareland,Bareland,Cropland,NULL,Non_Wetland,Cropland
548,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland
549,Bareland,Bareland,Cropland,NULL,Non_Wetland,Forest
550,Bareland,Bareland,Cropland,Water,Non_Wetland,Grassland
551,Bareland,Bareland,Cropland,Water,Non_Wetland,Cropland
552,Bareland,Bareland,Cropland,Water,Non_Wetland,Wetland
553,Bareland,Bareland,Cropland,Water,Non_Wetland,Bareland
554,Bareland,Bareland,Cropland,Water,Non_Wetland,Water
555,Bareland,Bareland,Bareland,NULL,Non_Wetland,Grassland
556,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland
557,Bareland,Bareland,Bareland,Water,Non_Wetland,Wetland
558,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland
559,Bareland,Bareland,Water,Water,Water,Cropland
560,Bareland,Bareland,Water,Water,Water,Bareland
561,Bareland,Bareland,Forest,NULL,Non_Wetland,Grassland
562,Bareland,Bareland,Forest,NULL,Non_Wetland,Cropland
563,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland
564,Bareland,Built-up,NULL,NULL,Non_Wetland,Cropland
565,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
566,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
567,Bareland,Built-up,Grassland,NULL,Non_Wetland,Grassland
568,Bareland,Built-up,Grassland,NULL,Non_Wetland,Cropland
569,Bareland,Built-up,Grassland,NULL,Non_Wetland,Bareland
570,Bareland,Built-up,Grassland,NULL,Non_Wetland,Built-up
571,Bareland,Built-up,Cropland,NULL,Non_Wetland,Grassland
572,Bareland,Built-up,Cropland,NULL,Non_Wetland,Cropland
573,Bareland,Built-up,Cropland,NULL,Non_Wetland,Built-up
574,Bareland,Water,Shrubland,NULL,Non_Wetland,Grassland
575,Bareland,Water,Shrubland,NULL,Non_Wetland,Forest
576,Bareland,Water,Shrubland,Water,Non_Wetland,Cropland
577,Bareland,Water,Shrubland,Water,Non_Wetland,Wetland
578,Bareland,Water,Shrubland,Water,Non_Wetland,Bareland
579,Bareland,Water,Shrubland,Water,Non_Wetland,Water
580,Bareland,Water,Grassland,NULL,Non_Wetland,Grassland
581,Bareland,Water,Grassland,NULL,Non_Wetland,Bareland
582,Bareland,Water,Grassland,Water,Non_Wetland,Wetland
583,Bareland,Water,Cropland,NULL,Non_Wetland,Grassland
584,Bareland,Water,Cropland,NULL,Non_Wetland,Cropland
585,Bareland,Water,Cropland,NULL,Non_Wetland,Bareland
586,Bareland,Water,Cropland,Water,Non_Wetland,Grassland
587,Bareland,Water,Cropland,Water,Non_Wetland,Cropland
588,Bareland,Water,Cropland,Water,Non_Wetland,Wetland
589,Bareland,Water,Cropland,Water,Non_Wetland,Bareland
590,Bareland,Water,Cropland,Water,Non_Wetland,Water
591,Bareland,Water,Bareland,NULL,Non_Wetland,Cropland
592,Bareland,Water,Bareland,Water,Non_Wetland,Wetland
593,Bareland,Water,Bareland,Water,Non_Wetland,Bareland
594,Bareland,Water,Water,Water,Water,Wetland
595,Bareland,Forest,NULL,NULL,Non_Wetland,Grassland
596,Bareland,Forest,NULL,NULL,Non_Wetland,Cropland
597,Bareland,Forest,NULL,NULL,Non_Wetland,Forest
598,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL
599,Bareland,Forest,Shrubland,NULL,Non_Wetland,Grassland
600,Bareland,Forest,Shrubland,NULL,Non_Wetland,Cropland
601,Bareland,Forest,Shrubland,NULL,Non_Wetland,Bareland
602,Bareland,Forest,Shrubland,NULL,Non_Wetland,Forest
603,Bareland,Forest,Grassland,NULL,Non_Wetland,Grassland
604,Bareland,Forest,Grassland,NULL,Non_Wetland,Cropland
605,Bareland,Forest,Grassland,NULL,Non_Wetland,Bareland
606,Bareland,Forest,Grassland,NULL,Non_Wetland,Forest
607,Bareland,Forest,Cropland,NULL,Non_Wetland,Grassland
608,Bareland,Forest,Cropland,NULL,Non_Wetland,Cropland
609,Bareland,Forest,Cropland,NULL,Non_Wetland,Bareland
610,Bareland,Forest,Cropland,NULL,Non_Wetland,Forest
611,Bareland,Forest,Bareland,NULL,Non_Wetland,Forest
612,Bareland,Forest,Built-up,NULL,Non_Wetland,Forest
613,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland
614,Bareland,Forest,Forest,NULL,Non_Wetland,Cropland
615,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland
616,Bareland,Forest,Forest,NULL,Non_Wetland,Forest
617,Water,NULL,NULL,NULL,Non_Wetland,Grassland
618,Water,NULL,NULL,NULL,Non_Wetland,Bareland
619,Water,NULL,Shrubland,NULL,Non_Wetland,NULL
620,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
621,Water,NULL,Shrubland,NULL,Non_Wetland,Cropland
622,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland
623,Water,NULL,Shrubland,NULL,Non_Wetland,Forest
624,Water,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
625,Water,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
626,Water,NULL,Shrubland,Non_Water,Non_Wetland,Forest
627,Water,NULL,Shrubland,Water,Non_Wetland,NULL
628,Water,NULL,Shrubland,Water,Non_Wetland,Grassland
629,Water,NULL,Shrubland,Water,Non_Wetland,Wetland
630,Water,NULL,Shrubland,Water,Non_Wetland,Bareland
631,Water,NULL,Shrubland,Water,Non_Wetland,Water
632,Water,NULL,Grassland,NULL,Non_Wetland,Grassland
633,Water,NULL,Grassland,NULL,Non_Wetland,Cropland
634,Water,NULL,Grassland,NULL,Non_Wetland,Bareland
635,Water,NULL,Grassland,NULL,Non_Wetland,Water
636,Water,NULL,Grassland,NULL,Non_Wetland,Forest
637,Water,NULL,Grassland,Water,Non_Wetland,Grassland
638,Water,NULL,Grassland,Water,Non_Wetland,Bareland
639,Water,NULL,Grassland,Water,Non_Wetland,Water
640,Water,NULL,Cropland,NULL,Non_Wetland,NULL
641,Water,NULL,Cropland,NULL,Non_Wetland,Grassland
642,Water,NULL,Cropland,NULL,Non_Wetland,Cropland
643,Water,NULL,Cropland,NULL,Non_Wetland,Wetland
644,Water,NULL,Cropland,NULL,Non_Wetland,Bareland
645,Water,NULL,Cropland,NULL,Non_Wetland,Water
646,Water,NULL,Cropland,NULL,Non_Wetland,Forest
647,Water,NULL,Cropland,Non_Water,Non_Wetland,Grassland
648,Water,NULL,Cropland,Non_Water,Non_Wetland,Cropland
649,Water,NULL,Cropland,Non_Water,Non_Wetland,Forest
650,Water,NULL,Cropland,Water,Non_Wetland,Grassland
651,Water,NULL,Cropland,Water,Non_Wetland,Cropland
652,Water,NULL,Cropland,Water,Non_Wetland,Wetland
653,Water,NULL,Cropland,Water,Non_Wetland,Bareland
654,Water,NULL,Cropland,Water,Non_Wetland,Water
655,Water,NULL,Cropland,Water,Non_Wetland,Forest
656,Water,NULL,Bareland,NULL,Non_Wetland,Grassland
657,Water,NULL,Bareland,NULL,Non_Wetland,Cropland
658,Water,NULL,Bareland,NULL,Non_Wetland,Bareland
659,Water,NULL,Bareland,Non_Water,Non_Wetland,Grassland
660,Water,NULL,Bareland,Non_Water,Non_Wetland,Cropland
661,Water,NULL,Bareland,Water,Non_Wetland,Cropland
662,Water,NULL,Bareland,Water,Non_Wetland,Wetland
663,Water,NULL,Bareland,Water,Non_Wetland,Bareland
664,Water,NULL,Bareland,Water,Non_Wetland,Water
665,Water,NULL,Water,NULL,Water,Grassland
666,Water,NULL,Water,Water,Water,Wetland
667,Water,NULL,Water,Water,Water,Bareland
668,Water,NULL,Forest,NULL,Non_Wetland,Grassland
669,Water,NULL,Forest,NULL,Non_Wetland,Forest
670,Water,Cropland,Shrubland,NULL,Non_Wetland,Grassland
671,Water,Cropland,Shrubland,NULL,Non_Wetland,Cropland
672,Water,Cropland,Shrubland,NULL,Non_Wetland,Water
673,Water,Cropland,Shrubland,Water,Non_Wetland,Wetland
674,Water,Cropland,Shrubland,Water,Non_Wetland,Bareland
675,Water,Cropland,Grassland,NULL,Non_Wetland,Grassland
676,Water,Cropland,Grassland,NULL,Non_Wetland,Bareland
677,Water,Cropland,Grassland,Water,Non_Wetland,Water
678,Water,Cropland,Cropland,NULL,Non_Wetland,Grassland
679,Water,Cropland,Cropland,NULL,Non_Wetland,Cropland
680,Water,Cropland,Cropland,NULL,Non_Wetland,Bareland
681,Water,Cropland,Cropland,NULL,Non_Wetland,Water
682,Water,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
683,Water,Cropland,Cropland,Water,Non_Wetland,Grassland
684,Water,Cropland,Cropland,Water,Non_Wetland,Cropland
685,Water,Cropland,Cropland,Water,Non_Wetland,Wetland
686,Water,Cropland,Cropland,Water,Non_Wetland,Bareland
687,Water,Cropland,Cropland,Water,Non_Wetland,Water
688,Water,Cropland,Wetland,NULL,Wetland,Water
689,Water,Cropland,Wetland,Water,Wetland,Cropland
690,Water,Cropland,Bareland,NULL,Non_Wetland,Cropland
691,Water,Cropland,Bareland,NULL,Non_Wetland,Bareland
692,Water,Cropland,Bareland,Water,Non_Wetland,Grassland
693,Water,Cropland,Bareland,Water,Non_Wetland,Cropland
694,Water,Cropland,Bareland,Water,Non_Wetland,Wetland
695,Water,Cropland,Bareland,Water,Non_Wetland,Bareland
696,Water,Bareland,Shrubland,Water,Non_Wetland,Grassland
697,Water,Bareland,Shrubland,Water,Non_Wetland,Wetland
698,Water,Bareland,Cropland,Water,Non_Wetland,Cropland
699,Water,Bareland,Cropland,Water,Non_Wetland,Wetland
700,Water,Bareland,Cropland,Water,Non_Wetland,Bareland
701,Water,Bareland,Cropland,Water,Non_Wetland,Water
702,Water,Bareland,Bareland,Water,Non_Wetland,Wetland
703,Water,Bareland,Bareland,Water,Non_Wetland,Bareland
704,Water,Water,Shrubland,NULL,Non_Wetland,Grassland
705,Water,Water,Shrubland,NULL,Non_Wetland,Cropland
706,Water,Water,Shrubland,NULL,Non_Wetland,Bareland
707,Water,Water,Shrubland,NULL,Non_Wetland,Water
708,Water,Water,Shrubland,Water,Non_Wetland,Grassland
709,Water,Water,Shrubland,Water,Non_Wetland,Cropland
710,Water,Water,Shrubland,Water,Non_Wetland,Wetland
711,Water,Water,Shrubland,Water,Non_Wetland,Bareland
712,Water,Water,Shrubland,Water,Non_Wetland,Water
713,Water,Water,Grassland,NULL,Non_Wetland,Grassland
714,Water,Water,Grassland,NULL,Non_Wetland,Cropland
715,Water,Water,Grassland,NULL,Non_Wetland,Bareland
716,Water,Water,Grassland,Non_Water,Non_Wetland,Bareland
717,Water,Water,Grassland,Water,Non_Wetland,Wetland
718,Water,Water,Grassland,Water,Non_Wetland,Bareland
719,Water,Water,Grassland,Water,Non_Wetland,Water
720,Water,Water,Cropland,NULL,Non_Wetland,Grassland
721,Water,Water,Cropland,NULL,Non_Wetland,Cropland
722,Water,Water,Cropland,NULL,Non_Wetland,Wetland
723,Water,Water,Cropland,NULL,Non_Wetland,Bareland
724,Water,Water,Cropland,NULL,Non_Wetland,Water
725,Water,Water,Cropland,Non_Water,Non_Wetland,Grassland
726,Water,Water,Cropland,Non_Water,Non_Wetland,Cropland
727,Water,Water,Cropland,Water,Non_Wetland,Grassland
728,Water,Water,Cropland,Water,Non_Wetland,Cropland
729,Water,Water,Cropland,Water,Non_Wetland,Wetland
730,Water,Water,Cropland,Water,Non_Wetland,Bareland
731,Water,Water,Cropland,Water,Non_Wetland,Water
732,Water,Water,Wetland,Water,Wetland,Grassland
733,Water,Water,Wetland,Water,Wetland,Cropland
734,Water,Water,Wetland,Water,Wetland,Wetland
735,Water,Water,Wetland,Water,Wetland,Bareland
736,Water,Water,Wetland,Water,Wetland,Water
737,Water,Water,Bareland,NULL,Non_Wetland,Grassland
738,Water,Water,Bareland,NULL,Non_Wetland,Cropland
739,Water,Water,Bareland,NULL,Non_Wetland,Bareland
740,Water,Water,Bareland,NULL,Non_Wetland,Water
741,Water,Water,Bareland,Non_Water,Non_Wetland,Wetland
742,Water,Water,Bareland,Non_Water,Non_Wetland,Bareland
743,Water,Water,Bareland,Water,Non_Wetland,Grassland
744,Water,Water,Bareland,Water,Non_Wetland,Cropland
745,Water,Water,Bareland,Water,Non_Wetland,Wetland
746,Water,Water,Bareland,Water,Non_Wetland,Bareland
747,Water,Water,Bareland,Water,Non_Wetland,Water
748,Water,Water,Water,Water,Water,Cropland
749,Water,Water,Water,Water,Water,Wetland
750,Water,Water,Water,Water,Water,Bareland
751,Water,Water,Water,Water,Water,Water
752,Forest,NULL,NULL,NULL,Non_Wetland,NULL
753,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
754,Forest,NULL,NULL,NULL,Non_Wetland,Cropland
755,Forest,NULL,NULL,NULL,Non_Wetland,Wetland
756,Forest,NULL,NULL,NULL,Non_Wetland,Forest
757,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
758,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
759,Forest,NULL,Shrubland,NULL,Non_Wetland,Cropland
760,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland
761,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland
762,Forest,NULL,Shrubland,NULL,Non_Wetland,Built-up
763,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
764,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL
765,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
766,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
767,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Forest
768,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
769,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
770,Forest,NULL,Grassland,NULL,Non_Wetland,Cropland
771,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland
772,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland
773,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
774,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
775,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
776,Forest,NULL,Cropland,NULL,Non_Wetland,Cropland
777,Forest,NULL,Cropland,NULL,Non_Wetland,Wetland
778,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland
779,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
780,Forest,NULL,Cropland,Non_Water,Non_Wetland,NULL
781,Forest,NULL,Cropland,Non_Water,Non_Wetland,Grassland
782,Forest,NULL,Cropland,Non_Water,Non_Wetland,Cropland
783,Forest,NULL,Cropland,Water,Non_Wetland,Grassland
784,Forest,NULL,Cropland,Water,Non_Wetland,Cropland
785,Forest,NULL,Cropland,Water,Non_Wetland,Wetland
786,Forest,NULL,Cropland,Water,Non_Wetland,Water
787,Forest,NULL,Wetland,NULL,Wetland,NULL
788,Forest,NULL,Wetland,NULL,Wetland,Grassland
789,Forest,NULL,Wetland,NULL,Wetland,Forest
790,Forest,NULL,Bareland,NULL,Non_Wetland,NULL
791,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland
792,Forest,NULL,Bareland,NULL,Non_Wetland,Forest
793,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
794,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland
795,Forest,NULL,Built-up,NULL,Non_Wetland,Built-up
796,Forest,NULL,Built-up,NULL,Non_Wetland,Forest
797,Forest,NULL,Water,NULL,Water,Grassland
798,Forest,NULL,Water,NULL,Water,Forest
799,Forest,NULL,Forest,NULL,Non_Wetland,NULL
800,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
801,Forest,NULL,Forest,NULL,Non_Wetland,Cropland
802,Forest,NULL,Forest,NULL,Non_Wetland,Wetland
803,Forest,NULL,Forest,NULL,Non_Wetland,Forest
804,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL
805,Forest,NULL,Forest,Non_Water,Non_Wetland,Grassland
806,Forest,NULL,Forest,Non_Water,Non_Wetland,Forest
807,Forest,NULL,Forest,Water,Non_Wetland,Forest
808,Forest,Cropland,NULL,NULL,Non_Wetland,NULL
809,Forest,Cropland,NULL,NULL,Non_Wetland,Grassland
810,Forest,Cropland,NULL,NULL,Non_Wetland,Cropland
811,Forest,Cropland,NULL,NULL,Non_Wetland,Wetland
812,Forest,Cropland,NULL,NULL,Non_Wetland,Forest
813,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL
814,Forest,Cropland,Shrubland,NULL,Non_Wetland,Grassland
815,Forest,Cropland,Shrubland,NULL,Non_Wetland,Cropland
816,Forest,Cropland,Shrubland,NULL,Non_Wetland,Wetland
817,Forest,Cropland,Shrubland,NULL,Non_Wetland,Forest
818,Forest,Cropland,Grassland,NULL,Non_Wetland,NULL
819,Forest,Cropland,Grassland,NULL,Non_Wetland,Grassland
820,Forest,Cropland,Grassland,NULL,Non_Wetland,Cropland
821,Forest,Cropland,Grassland,NULL,Non_Wetland,Forest
822,Forest,Cropland,Cropland,NULL,Non_Wetland,NULL
823,Forest,Cropland,Cropland,NULL,Non_Wetland,Grassland
824,Forest,Cropland,Cropland,NULL,Non_Wetland,Cropland
825,Forest,Cropland,Cropland,NULL,Non_Wetland,Wetland
826,Forest,Cropland,Cropland,NULL,Non_Wetland,Forest
827,Forest,Cropland,Wetland,NULL,Wetland,Grassland
828,Forest,Cropland,Wetland,NULL,Wetland,Cropland
829,Forest,Cropland,Wetland,NULL,Wetland,Wetland
830,Forest,Cropland,Wetland,NULL,Wetland,Forest
831,Forest,Cropland,Bareland,NULL,Non_Wetland,Forest
832,Forest,Cropland,Built-up,NULL,Non_Wetland,Forest
833,Forest,Cropland,Forest,NULL,Non_Wetland,NULL
834,Forest,Cropland,Forest,NULL,Non_Wetland,Grassland
835,Forest,Cropland,Forest,NULL,Non_Wetland,Cropland
836,Forest,Cropland,Forest,NULL,Non_Wetland,Wetland
837,Forest,Cropland,Forest,NULL,Non_Wetland,Forest
838,Forest,Bareland,Cropland,Water,Non_Wetland,Wetland
839,Forest,Built-up,NULL,NULL,Non_Wetland,NULL
840,Forest,Built-up,NULL,NULL,Non_Wetland,Grassland
841,Forest,Built-up,NULL,NULL,Non_Wetland,Forest
842,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL
843,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland
844,Forest,Built-up,Shrubland,NULL,Non_Wetland,Cropland
845,Forest,Built-up,Shrubland,NULL,Non_Wetland,Forest
846,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL
847,Forest,Built-up,Grassland,NULL,Non_Wetland,Grassland
848,Forest,Built-up,Grassland,NULL,Non_Wetland,Forest
849,Forest,Built-up,Cropland,NULL,Non_Wetland,Grassland
850,Forest,Built-up,Cropland,NULL,Non_Wetland,Cropland
851,Forest,Built-up,Cropland,NULL,Non_Wetland,Forest
852,Forest,Built-up,Wetland,NULL,Wetland,Forest
853,Forest,Built-up,Built-up,NULL,Non_Wetland,Forest
854,Forest,Built-up,Forest,NULL,Non_Wetland,NULL
855,Forest,Built-up,Forest,NULL,Non_Wetland,Grassland
856,Forest,Built-up,Forest,NULL,Non_Wetland,Forest
