Value,AFRICA_2024_DynamicWorld_2024_37NGH_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NGH_M_R,AFRICA_2024_GLC_FCS30D_2022_37NGH_M_R,AFRICA_2024_GSW_Yearly_2021_37NGH_M_R,AFRICA_2024_GWL_FCS30D_2022_37NGH_M_R,AFRICA_2024_WorldCover_2021_37NGH_M_R
419,Wetland,Water,Cropland,NULL,Non_Wetland,Grassland
420,Wetland,Water,Cropland,Non_Water,Non_Wetland,Grassland
421,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
422,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
423,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland
424,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
425,Bareland,NULL,NULL,NULL,Non_Wetland,Forest
426,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
427,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
428,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
429,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
430,Bareland,NULL,Shrubland,NULL,Non_Wetland,Built-up
431,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest
432,Bareland,NULL,Shrubland,Water,Non_Wetland,Grassland
433,Bareland,NULL,Shrubland,Water,Non_Wetland,Bareland
434,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
435,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
436,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
437,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
438,Bareland,NULL,Grassland,NULL,Non_Wetland,Built-up
439,Bareland,NULL,Grassland,NULL,Non_Wetland,Forest
440,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
441,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
442,Bareland,NULL,Grassland,Water,Non_Wetland,Grassland
443,Bareland,NULL,Grassland,Water,Non_Wetland,Bareland
444,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
445,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
446,Bareland,NULL,Cropland,NULL,Non_Wetland,Cropland
447,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
448,Bareland,NULL,Cropland,NULL,Non_Wetland,Forest
449,Bareland,NULL,Cropland,Water,Non_Wetland,Grassland
450,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
451,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
452,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
453,Bareland,NULL,Bareland,NULL,Non_Wetland,Built-up
454,Bareland,NULL,Bareland,NULL,Non_Wetland,Forest
455,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
456,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL
457,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
458,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
459,Bareland,NULL,Forest,NULL,Non_Wetland,NULL
460,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
461,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland
462,Bareland,NULL,Forest,NULL,Non_Wetland,Forest
463,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL
464,Bareland,Cropland,NULL,NULL,Non_Wetland,Grassland
465,Bareland,Cropland,NULL,NULL,Non_Wetland,Cropland
466,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL
467,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
468,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
469,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
470,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
471,Bareland,Cropland,Shrubland,Water,Non_Wetland,Grassland
472,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL
473,Bareland,Cropland,Grassland,NULL,Non_Wetland,Grassland
474,Bareland,Cropland,Grassland,NULL,Non_Wetland,Cropland
475,Bareland,Cropland,Grassland,NULL,Non_Wetland,Bareland
476,Bareland,Cropland,Cropland,NULL,Non_Wetland,NULL
477,Bareland,Cropland,Cropland,NULL,Non_Wetland,Grassland
478,Bareland,Cropland,Cropland,NULL,Non_Wetland,Cropland
479,Bareland,Cropland,Cropland,NULL,Non_Wetland,Bareland
480,Bareland,Cropland,Bareland,NULL,Non_Wetland,Grassland
481,Bareland,Cropland,Forest,NULL,Non_Wetland,Cropland
482,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL
483,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
484,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
485,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL
486,Bareland,Bareland,Grassland,NULL,Non_Wetland,Grassland
487,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland
488,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL
489,Bareland,Bareland,Cropland,NULL,Non_Wetland,Grassland
490,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland
491,Bareland,Bareland,Bareland,NULL,Non_Wetland,Grassland
492,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland
493,Bareland,Bareland,Built-up,NULL,Non_Wetland,Grassland
494,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland
495,Bareland,Built-up,NULL,NULL,Non_Wetland,Grassland
496,Bareland,Built-up,Shrubland,NULL,Non_Wetland,NULL
497,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
498,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
499,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
500,Bareland,Built-up,Grassland,NULL,Non_Wetland,NULL
501,Bareland,Built-up,Grassland,NULL,Non_Wetland,Grassland
502,Bareland,Built-up,Grassland,NULL,Non_Wetland,Bareland
503,Bareland,Built-up,Grassland,NULL,Non_Wetland,Built-up
504,Bareland,Built-up,Bareland,NULL,Non_Wetland,Grassland
505,Bareland,Built-up,Bareland,NULL,Non_Wetland,Bareland
506,Bareland,Built-up,Bareland,NULL,Non_Wetland,Built-up
507,Bareland,Built-up,Built-up,NULL,Non_Wetland,Grassland
508,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland
509,Bareland,Built-up,Built-up,NULL,Non_Wetland,Built-up
510,Bareland,Water,NULL,NULL,Non_Wetland,NULL
511,Bareland,Water,NULL,NULL,Non_Wetland,Grassland
512,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL
513,Bareland,Water,Shrubland,NULL,Non_Wetland,Grassland
514,Bareland,Water,Shrubland,NULL,Non_Wetland,Bareland
515,Bareland,Water,Grassland,NULL,Non_Wetland,NULL
516,Bareland,Water,Grassland,NULL,Non_Wetland,Grassland
517,Bareland,Water,Grassland,NULL,Non_Wetland,Bareland
518,Bareland,Water,Grassland,Non_Water,Non_Wetland,Grassland
519,Bareland,Water,Grassland,Non_Water,Non_Wetland,Bareland
520,Bareland,Water,Grassland,Water,Non_Wetland,Grassland
521,Bareland,Water,Grassland,Water,Non_Wetland,Bareland
522,Bareland,Water,Cropland,NULL,Non_Wetland,NULL
523,Bareland,Water,Cropland,NULL,Non_Wetland,Grassland
524,Bareland,Water,Cropland,NULL,Non_Wetland,Bareland
525,Bareland,Water,Bareland,NULL,Non_Wetland,Grassland
526,Bareland,Water,Bareland,NULL,Non_Wetland,Bareland
527,Bareland,Water,Bareland,Non_Water,Non_Wetland,Bareland
528,Bareland,Water,Bareland,Water,Non_Wetland,Bareland
529,Bareland,Water,Forest,NULL,Non_Wetland,NULL
530,Bareland,Water,Forest,NULL,Non_Wetland,Bareland
531,Bareland,Water,Forest,NULL,Non_Wetland,Forest
532,Bareland,Forest,NULL,NULL,Non_Wetland,NULL
533,Bareland,Forest,NULL,NULL,Non_Wetland,Grassland
534,Bareland,Forest,NULL,NULL,Non_Wetland,Bareland
535,Bareland,Forest,NULL,NULL,Non_Wetland,Forest
536,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL
537,Bareland,Forest,Shrubland,NULL,Non_Wetland,Grassland
538,Bareland,Forest,Shrubland,NULL,Non_Wetland,Bareland
539,Bareland,Forest,Shrubland,NULL,Non_Wetland,Forest
540,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL
541,Bareland,Forest,Grassland,NULL,Non_Wetland,Grassland
542,Bareland,Forest,Grassland,NULL,Non_Wetland,Cropland
543,Bareland,Forest,Grassland,NULL,Non_Wetland,Bareland
544,Bareland,Forest,Grassland,NULL,Non_Wetland,Forest
545,Bareland,Forest,Cropland,NULL,Non_Wetland,NULL
546,Bareland,Forest,Cropland,NULL,Non_Wetland,Grassland
547,Bareland,Forest,Cropland,NULL,Non_Wetland,Cropland
548,Bareland,Forest,Cropland,NULL,Non_Wetland,Bareland
549,Bareland,Forest,Cropland,NULL,Non_Wetland,Forest
550,Bareland,Forest,Bareland,NULL,Non_Wetland,NULL
551,Bareland,Forest,Bareland,NULL,Non_Wetland,Grassland
552,Bareland,Forest,Bareland,NULL,Non_Wetland,Bareland
553,Bareland,Forest,Bareland,NULL,Non_Wetland,Forest
554,Bareland,Forest,Built-up,NULL,Non_Wetland,Grassland
555,Bareland,Forest,Forest,NULL,Non_Wetland,NULL
556,Bareland,Forest,Forest,NULL,Non_Wetland,Bareland
557,Bareland,Forest,Forest,NULL,Non_Wetland,Forest
558,Water,NULL,NULL,NULL,Non_Wetland,NULL
559,Water,NULL,NULL,NULL,Non_Wetland,Grassland
560,Water,NULL,NULL,NULL,Non_Wetland,Cropland
561,Water,NULL,NULL,NULL,Non_Wetland,Forest
562,Water,NULL,NULL,Water,Non_Wetland,NULL
563,Water,NULL,NULL,Water,Non_Wetland,Grassland
564,Water,NULL,Shrubland,NULL,Non_Wetland,NULL
565,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
566,Water,NULL,Shrubland,NULL,Non_Wetland,Cropland
567,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland
568,Water,NULL,Shrubland,NULL,Non_Wetland,Water
569,Water,NULL,Shrubland,NULL,Non_Wetland,Forest
570,Water,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
571,Water,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
572,Water,NULL,Shrubland,Water,Non_Wetland,Grassland
573,Water,NULL,Shrubland,Water,Non_Wetland,Cropland
574,Water,NULL,Grassland,NULL,Non_Wetland,NULL
575,Water,NULL,Grassland,NULL,Non_Wetland,Grassland
576,Water,NULL,Grassland,NULL,Non_Wetland,Cropland
577,Water,NULL,Grassland,NULL,Non_Wetland,Bareland
578,Water,NULL,Grassland,Non_Water,Non_Wetland,Grassland
579,Water,NULL,Grassland,Water,Non_Wetland,Bareland
580,Water,NULL,Cropland,NULL,Non_Wetland,NULL
581,Water,NULL,Cropland,NULL,Non_Wetland,Grassland
582,Water,NULL,Cropland,NULL,Non_Wetland,Bareland
583,Water,NULL,Cropland,NULL,Non_Wetland,Water
584,Water,NULL,Cropland,NULL,Non_Wetland,Forest
585,Water,NULL,Wetland,Water,Wetland,Cropland
586,Water,NULL,Bareland,NULL,Non_Wetland,NULL
587,Water,NULL,Bareland,NULL,Non_Wetland,Grassland
588,Water,NULL,Bareland,NULL,Non_Wetland,Cropland
589,Water,NULL,Bareland,NULL,Non_Wetland,Bareland
590,Water,NULL,Bareland,NULL,Non_Wetland,Water
591,Water,NULL,Bareland,NULL,Non_Wetland,Forest
592,Water,NULL,Bareland,Water,Non_Wetland,Cropland
593,Water,NULL,Water,NULL,Water,Grassland
594,Water,NULL,Water,Non_Water,Water,Grassland
595,Water,NULL,Forest,NULL,Non_Wetland,NULL
596,Water,NULL,Forest,NULL,Non_Wetland,Grassland
597,Water,NULL,Forest,NULL,Non_Wetland,Cropland
598,Water,NULL,Forest,NULL,Non_Wetland,Forest
599,Water,Cropland,NULL,NULL,Non_Wetland,Grassland
600,Water,Cropland,Shrubland,NULL,Non_Wetland,Grassland
601,Water,Cropland,Shrubland,NULL,Non_Wetland,Cropland
602,Water,Cropland,Shrubland,NULL,Non_Wetland,Bareland
603,Water,Cropland,Grassland,NULL,Non_Wetland,Bareland
604,Water,Cropland,Cropland,NULL,Non_Wetland,Grassland
605,Water,Cropland,Cropland,NULL,Non_Wetland,Bareland
606,Water,Cropland,Wetland,Water,Wetland,Water
607,Water,Cropland,Bareland,NULL,Non_Wetland,Cropland
608,Water,Cropland,Bareland,Water,Non_Wetland,Cropland
609,Water,Cropland,Forest,NULL,Non_Wetland,NULL
610,Water,Built-up,Grassland,NULL,Non_Wetland,Grassland
611,Water,Water,NULL,NULL,Non_Wetland,NULL
612,Water,Water,NULL,NULL,Non_Wetland,Grassland
613,Water,Water,NULL,NULL,Non_Wetland,Cropland
614,Water,Water,NULL,NULL,Non_Wetland,Forest
615,Water,Water,NULL,Water,Non_Wetland,Water
616,Water,Water,Shrubland,NULL,Non_Wetland,NULL
617,Water,Water,Shrubland,NULL,Non_Wetland,Grassland
618,Water,Water,Shrubland,NULL,Non_Wetland,Cropland
619,Water,Water,Shrubland,NULL,Non_Wetland,Bareland
620,Water,Water,Shrubland,NULL,Non_Wetland,Water
621,Water,Water,Shrubland,NULL,Non_Wetland,Forest
622,Water,Water,Shrubland,Non_Water,Non_Wetland,Grassland
623,Water,Water,Shrubland,Water,Non_Wetland,Grassland
624,Water,Water,Shrubland,Water,Non_Wetland,Cropland
625,Water,Water,Shrubland,Water,Non_Wetland,Bareland
626,Water,Water,Shrubland,Water,Non_Wetland,Water
627,Water,Water,Grassland,NULL,Non_Wetland,NULL
628,Water,Water,Grassland,NULL,Non_Wetland,Grassland
629,Water,Water,Grassland,NULL,Non_Wetland,Cropland
630,Water,Water,Grassland,NULL,Non_Wetland,Bareland
631,Water,Water,Grassland,NULL,Non_Wetland,Water
632,Water,Water,Grassland,NULL,Non_Wetland,Forest
633,Water,Water,Grassland,Non_Water,Non_Wetland,Grassland
634,Water,Water,Grassland,Non_Water,Non_Wetland,Bareland
635,Water,Water,Grassland,Water,Non_Wetland,Grassland
636,Water,Water,Grassland,Water,Non_Wetland,Wetland
637,Water,Water,Grassland,Water,Non_Wetland,Bareland
638,Water,Water,Grassland,Water,Non_Wetland,Water
639,Water,Water,Cropland,NULL,Non_Wetland,NULL
640,Water,Water,Cropland,NULL,Non_Wetland,Grassland
641,Water,Water,Cropland,NULL,Non_Wetland,Bareland
642,Water,Water,Cropland,NULL,Non_Wetland,Water
643,Water,Water,Cropland,NULL,Non_Wetland,Forest
644,Water,Water,Cropland,Non_Water,Non_Wetland,Grassland
645,Water,Water,Cropland,Non_Water,Non_Wetland,Bareland
646,Water,Water,Cropland,Water,Non_Wetland,Grassland
647,Water,Water,Cropland,Water,Non_Wetland,Bareland
648,Water,Water,Cropland,Water,Non_Wetland,Water
649,Water,Water,Wetland,NULL,Wetland,Bareland
650,Water,Water,Wetland,Water,Wetland,Bareland
651,Water,Water,Wetland,Water,Wetland,Water
652,Water,Water,Lichens_and_Mosses,NULL,Non_Wetland,Forest
653,Water,Water,Bareland,NULL,Non_Wetland,NULL
654,Water,Water,Bareland,NULL,Non_Wetland,Grassland
655,Water,Water,Bareland,NULL,Non_Wetland,Cropland
656,Water,Water,Bareland,NULL,Non_Wetland,Bareland
657,Water,Water,Bareland,NULL,Non_Wetland,Water
658,Water,Water,Bareland,NULL,Non_Wetland,Forest
659,Water,Water,Bareland,Non_Water,Non_Wetland,Bareland
660,Water,Water,Bareland,Water,Non_Wetland,Grassland
661,Water,Water,Bareland,Water,Non_Wetland,Cropland
662,Water,Water,Bareland,Water,Non_Wetland,Bareland
663,Water,Water,Bareland,Water,Non_Wetland,Water
664,Water,Water,Built-up,NULL,Non_Wetland,Bareland
665,Water,Water,Built-up,Water,Non_Wetland,Bareland
666,Water,Water,Built-up,Water,Non_Wetland,Water
667,Water,Water,Water,NULL,Water,Grassland
668,Water,Water,Water,NULL,Water,Cropland
669,Water,Water,Water,NULL,Water,Bareland
670,Water,Water,Water,NULL,Water,Water
671,Water,Water,Water,NULL,Water,Forest
672,Water,Water,Water,Non_Water,Water,Bareland
673,Water,Water,Water,Non_Water,Water,Water
674,Water,Water,Water,Water,Water,Cropland
675,Water,Water,Water,Water,Water,Bareland
676,Water,Water,Water,Water,Water,Water
677,Water,Water,Forest,NULL,Non_Wetland,NULL
678,Water,Water,Forest,NULL,Non_Wetland,Grassland
679,Water,Water,Forest,NULL,Non_Wetland,Cropland
680,Water,Water,Forest,NULL,Non_Wetland,Bareland
681,Water,Water,Forest,NULL,Non_Wetland,Water
682,Water,Water,Forest,NULL,Non_Wetland,Forest
683,Water,Forest,NULL,NULL,Non_Wetland,NULL
684,Water,Forest,NULL,NULL,Non_Wetland,Forest
685,Water,Forest,Shrubland,NULL,Non_Wetland,NULL
686,Water,Forest,Shrubland,NULL,Non_Wetland,Grassland
687,Water,Forest,Shrubland,NULL,Non_Wetland,Forest
688,Water,Forest,Grassland,NULL,Non_Wetland,Grassland
689,Water,Forest,Grassland,NULL,Non_Wetland,Forest
690,Water,Forest,Cropland,NULL,Non_Wetland,NULL
691,Water,Forest,Cropland,NULL,Non_Wetland,Grassland
692,Water,Forest,Cropland,NULL,Non_Wetland,Forest
693,Water,Forest,Bareland,NULL,Non_Wetland,NULL
694,Water,Forest,Bareland,NULL,Non_Wetland,Grassland
695,Water,Forest,Bareland,NULL,Non_Wetland,Forest
696,Water,Forest,Forest,NULL,Non_Wetland,NULL
697,Water,Forest,Forest,NULL,Non_Wetland,Grassland
698,Water,Forest,Forest,NULL,Non_Wetland,Forest
699,Forest,NULL,NULL,NULL,Non_Wetland,NULL
700,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
701,Forest,NULL,NULL,NULL,Non_Wetland,Cropland
702,Forest,NULL,NULL,NULL,Non_Wetland,Water
703,Forest,NULL,NULL,NULL,Non_Wetland,Forest
704,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
705,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
706,Forest,NULL,Shrubland,NULL,Non_Wetland,Cropland
707,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland
708,Forest,NULL,Shrubland,NULL,Non_Wetland,Water
709,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
710,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL
711,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
712,Forest,NULL,Shrubland,Water,Non_Wetland,NULL
713,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
714,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
715,Forest,NULL,Grassland,NULL,Non_Wetland,Cropland
716,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland
717,Forest,NULL,Grassland,NULL,Non_Wetland,Built-up
718,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
719,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL
720,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
721,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
722,Forest,NULL,Cropland,NULL,Non_Wetland,Cropland
723,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland
724,Forest,NULL,Cropland,NULL,Non_Wetland,Water
725,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
726,Forest,NULL,Cropland,Non_Water,Non_Wetland,NULL
727,Forest,NULL,Cropland,Non_Water,Non_Wetland,Grassland
728,Forest,NULL,Cropland,Water,Non_Wetland,NULL
729,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
730,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
731,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
732,Forest,NULL,Bareland,NULL,Non_Wetland,NULL
733,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland
734,Forest,NULL,Bareland,NULL,Non_Wetland,Cropland
735,Forest,NULL,Bareland,NULL,Non_Wetland,Bareland
736,Forest,NULL,Bareland,NULL,Non_Wetland,Water
737,Forest,NULL,Bareland,NULL,Non_Wetland,Forest
738,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
739,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland
740,Forest,NULL,Built-up,NULL,Non_Wetland,Forest
741,Forest,NULL,Water,NULL,Water,NULL
742,Forest,NULL,Water,NULL,Water,Grassland
743,Forest,NULL,Forest,NULL,Non_Wetland,NULL
744,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
745,Forest,NULL,Forest,NULL,Non_Wetland,Cropland
746,Forest,NULL,Forest,NULL,Non_Wetland,Bareland
747,Forest,NULL,Forest,NULL,Non_Wetland,Water
748,Forest,NULL,Forest,NULL,Non_Wetland,Forest
749,Forest,NULL,Forest,Water,Non_Wetland,Grassland
750,Forest,Cropland,NULL,NULL,Non_Wetland,NULL
751,Forest,Cropland,NULL,NULL,Non_Wetland,Grassland
752,Forest,Cropland,NULL,NULL,Non_Wetland,Cropland
753,Forest,Cropland,NULL,NULL,Non_Wetland,Forest
754,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL
755,Forest,Cropland,Shrubland,NULL,Non_Wetland,Grassland
756,Forest,Cropland,Shrubland,NULL,Non_Wetland,Cropland
757,Forest,Cropland,Shrubland,NULL,Non_Wetland,Forest
758,Forest,Cropland,Grassland,NULL,Non_Wetland,NULL
759,Forest,Cropland,Grassland,NULL,Non_Wetland,Grassland
760,Forest,Cropland,Grassland,NULL,Non_Wetland,Cropland
761,Forest,Cropland,Cropland,NULL,Non_Wetland,NULL
762,Forest,Cropland,Cropland,NULL,Non_Wetland,Grassland
763,Forest,Cropland,Cropland,NULL,Non_Wetland,Cropland
764,Forest,Cropland,Cropland,NULL,Non_Wetland,Forest
765,Forest,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
766,Forest,Cropland,Bareland,NULL,Non_Wetland,NULL
767,Forest,Cropland,Bareland,NULL,Non_Wetland,Grassland
768,Forest,Cropland,Bareland,NULL,Non_Wetland,Cropland
769,Forest,Cropland,Bareland,NULL,Non_Wetland,Forest
770,Forest,Cropland,Built-up,NULL,Non_Wetland,NULL
771,Forest,Cropland,Built-up,NULL,Non_Wetland,Grassland
772,Forest,Cropland,Built-up,NULL,Non_Wetland,Cropland
773,Forest,Cropland,Forest,NULL,Non_Wetland,NULL
774,Forest,Cropland,Forest,NULL,Non_Wetland,Grassland
775,Forest,Cropland,Forest,NULL,Non_Wetland,Cropland
776,Forest,Cropland,Forest,NULL,Non_Wetland,Forest
777,Forest,Bareland,Bareland,NULL,Non_Wetland,Grassland
778,Forest,Built-up,NULL,NULL,Non_Wetland,NULL
779,Forest,Built-up,NULL,NULL,Non_Wetland,Grassland
780,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL
781,Forest,Built-up,Shrubland,NULL,Non_Wetland,Grassland
782,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL
783,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL
784,Forest,Built-up,Cropland,NULL,Non_Wetland,Cropland
785,Forest,Built-up,Forest,NULL,Non_Wetland,NULL
786,Forest,Water,NULL,NULL,Non_Wetland,NULL
787,Forest,Water,NULL,NULL,Non_Wetland,Grassland
788,Forest,Water,NULL,NULL,Non_Wetland,Water
789,Forest,Water,NULL,NULL,Non_Wetland,Forest
790,Forest,Water,Shrubland,NULL,Non_Wetland,NULL
791,Forest,Water,Shrubland,NULL,Non_Wetland,Grassland
792,Forest,Water,Shrubland,NULL,Non_Wetland,Bareland
793,Forest,Water,Shrubland,NULL,Non_Wetland,Water
794,Forest,Water,Shrubland,NULL,Non_Wetland,Forest
795,Forest,Water,Grassland,NULL,Non_Wetland,NULL
796,Forest,Water,Grassland,NULL,Non_Wetland,Grassland
797,Forest,Water,Grassland,NULL,Non_Wetland,Forest
798,Forest,Water,Cropland,NULL,Non_Wetland,NULL
799,Forest,Water,Cropland,NULL,Non_Wetland,Grassland
800,Forest,Water,Cropland,NULL,Non_Wetland,Bareland
801,Forest,Water,Cropland,NULL,Non_Wetland,Water
802,Forest,Water,Cropland,NULL,Non_Wetland,Forest
803,Forest,Water,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
804,Forest,Water,Lichens_and_Mosses,NULL,Non_Wetland,Forest
805,Forest,Water,Bareland,NULL,Non_Wetland,NULL
806,Forest,Water,Bareland,NULL,Non_Wetland,Grassland
807,Forest,Water,Bareland,NULL,Non_Wetland,Water
808,Forest,Water,Bareland,NULL,Non_Wetland,Forest
809,Forest,Water,Built-up,NULL,Non_Wetland,Grassland
810,Forest,Water,Forest,NULL,Non_Wetland,NULL
811,Forest,Water,Forest,NULL,Non_Wetland,Grassland
812,Forest,Water,Forest,NULL,Non_Wetland,Water
813,Forest,Water,Forest,NULL,Non_Wetland,Forest
814,Forest,Forest,NULL,NULL,Non_Wetland,NULL
815,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
816,Forest,Forest,NULL,NULL,Non_Wetland,Cropland
817,Forest,Forest,NULL,NULL,Non_Wetland,Bareland
818,Forest,Forest,NULL,NULL,Non_Wetland,Water
819,Forest,Forest,NULL,NULL,Non_Wetland,Forest
820,Forest,Forest,NULL,Water,Non_Wetland,Grassland
821,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
822,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
823,Forest,Forest,Shrubland,NULL,Non_Wetland,Cropland
824,Forest,Forest,Shrubland,NULL,Non_Wetland,Bareland
825,Forest,Forest,Shrubland,NULL,Non_Wetland,Built-up
826,Forest,Forest,Shrubland,NULL,Non_Wetland,Water
827,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
828,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL
829,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Forest
830,Forest,Forest,Shrubland,Water,Non_Wetland,NULL
831,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
832,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
833,Forest,Forest,Grassland,NULL,Non_Wetland,Cropland
834,Forest,Forest,Grassland,NULL,Non_Wetland,Bareland
835,Forest,Forest,Grassland,NULL,Non_Wetland,Water
836,Forest,Forest,Grassland,NULL,Non_Wetland,Forest
837,Forest,Forest,Grassland,Water,Non_Wetland,NULL
838,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
839,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
840,Forest,Forest,Cropland,NULL,Non_Wetland,Cropland
841,Forest,Forest,Cropland,NULL,Non_Wetland,Bareland
842,Forest,Forest,Cropland,NULL,Non_Wetland,Water
843,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
844,Forest,Forest,Cropland,Non_Water,Non_Wetland,Grassland
845,Forest,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
846,Forest,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
847,Forest,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
848,Forest,Forest,Bareland,NULL,Non_Wetland,NULL
849,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland
850,Forest,Forest,Bareland,NULL,Non_Wetland,Cropland
851,Forest,Forest,Bareland,NULL,Non_Wetland,Water
852,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
853,Forest,Forest,Built-up,NULL,Non_Wetland,NULL
854,Forest,Forest,Built-up,NULL,Non_Wetland,Grassland
855,Forest,Forest,Built-up,NULL,Non_Wetland,Forest
856,Forest,Forest,Forest,NULL,Non_Wetland,NULL
857,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
858,Forest,Forest,Forest,NULL,Non_Wetland,Cropland
859,Forest,Forest,Forest,NULL,Non_Wetland,Bareland
