Value,AFRICA_2024_DynamicWorld_2024_35PNN_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PNN_M_R,AFRICA_2024_GLC_FCS30D_2022_35PNN_M_R,AFRICA_2024_GSW_Yearly_2021_35PNN_M_R,AFRICA_2024_GWL_FCS30D_2022_35PNN_M_R,AFRICA_2024_WorldCover_2021_35PNN_M_R
431,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
432,Cropland,NULL,Forest,Water,Non_Wetland,Wetland
433,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
434,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
435,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
436,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
437,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
438,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
439,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
440,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
441,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
442,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
443,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
444,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
445,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
446,Cropland,Wetland,Wetland,Non_Water,Wetland,Grassland
447,Cropland,Wetland,Wetland,Water,Wetland,Wetland
448,Cropland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
449,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
450,Cropland,Built-up,NULL,NULL,Non_Wetland,Cropland
451,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
452,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
453,Cropland,Built-up,Grassland,NULL,Non_Wetland,Cropland
454,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up
455,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
456,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
457,Cropland,Forest,NULL,NULL,Non_Wetland,Cropland
458,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
459,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
460,Cropland,Forest,Shrubland,NULL,Non_Wetland,Cropland
461,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
462,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
463,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
464,Cropland,Forest,Grassland,Non_Water,Non_Wetland,Grassland
465,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
466,Wetland,NULL,NULL,NULL,Non_Wetland,NULL
467,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
468,Wetland,NULL,NULL,NULL,Non_Wetland,Wetland
469,Wetland,NULL,NULL,NULL,Non_Wetland,Forest
470,Wetland,NULL,NULL,Non_Water,Non_Wetland,NULL
471,Wetland,NULL,NULL,Non_Water,Non_Wetland,Grassland
472,Wetland,NULL,NULL,Non_Water,Non_Wetland,Cropland
473,Wetland,NULL,NULL,Non_Water,Non_Wetland,Forest
474,Wetland,NULL,NULL,Water,Non_Wetland,NULL
475,Wetland,NULL,NULL,Water,Non_Wetland,Grassland
476,Wetland,NULL,NULL,Water,Non_Wetland,Wetland
477,Wetland,NULL,NULL,Water,Non_Wetland,Forest
478,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
479,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
480,Wetland,NULL,Shrubland,NULL,Non_Wetland,Cropland
481,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
482,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
483,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
484,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
485,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
486,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
487,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
488,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL
489,Wetland,NULL,Shrubland,Water,Non_Wetland,Grassland
490,Wetland,NULL,Shrubland,Water,Non_Wetland,Forest
491,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL
492,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
493,Wetland,NULL,Grassland,NULL,Non_Wetland,Cropland
494,Wetland,NULL,Grassland,NULL,Non_Wetland,Bareland
495,Wetland,NULL,Grassland,NULL,Non_Wetland,Forest
496,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL
497,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
498,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
499,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
500,Wetland,NULL,Grassland,Water,Non_Wetland,Grassland
501,Wetland,NULL,Grassland,Water,Non_Wetland,Wetland
502,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL
503,Wetland,NULL,Cropland,NULL,Non_Wetland,Grassland
504,Wetland,NULL,Cropland,NULL,Non_Wetland,Cropland
505,Wetland,NULL,Cropland,NULL,Non_Wetland,Forest
506,Wetland,NULL,Cropland,Non_Water,Non_Wetland,NULL
507,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
508,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
509,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Forest
510,Wetland,NULL,Cropland,Water,Non_Wetland,NULL
511,Wetland,NULL,Cropland,Water,Non_Wetland,Grassland
512,Wetland,NULL,Cropland,Water,Non_Wetland,Wetland
513,Wetland,NULL,Cropland,Water,Non_Wetland,Forest
514,Wetland,NULL,Wetland,NULL,Wetland,NULL
515,Wetland,NULL,Wetland,NULL,Wetland,Grassland
516,Wetland,NULL,Wetland,NULL,Wetland,Cropland
517,Wetland,NULL,Wetland,NULL,Wetland,Wetland
518,Wetland,NULL,Wetland,NULL,Wetland,Forest
519,Wetland,NULL,Wetland,Non_Water,Wetland,NULL
520,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland
521,Wetland,NULL,Wetland,Non_Water,Wetland,Cropland
522,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland
523,Wetland,NULL,Wetland,Non_Water,Wetland,Forest
524,Wetland,NULL,Wetland,Water,Wetland,NULL
525,Wetland,NULL,Wetland,Water,Wetland,Grassland
526,Wetland,NULL,Wetland,Water,Wetland,Cropland
527,Wetland,NULL,Wetland,Water,Wetland,Wetland
528,Wetland,NULL,Wetland,Water,Wetland,Forest
529,Wetland,NULL,Water,NULL,Water,NULL
530,Wetland,NULL,Water,NULL,Water,Grassland
531,Wetland,NULL,Water,NULL,Water,Forest
532,Wetland,NULL,Water,Non_Water,Water,NULL
533,Wetland,NULL,Water,Non_Water,Water,Grassland
534,Wetland,NULL,Water,Non_Water,Water,Forest
535,Wetland,NULL,Water,Water,Water,NULL
536,Wetland,NULL,Water,Water,Water,Grassland
537,Wetland,NULL,Water,Water,Water,Forest
538,Wetland,NULL,Forest,NULL,Non_Wetland,NULL
539,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
540,Wetland,NULL,Forest,NULL,Non_Wetland,Cropland
541,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland
542,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
543,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL
544,Wetland,NULL,Forest,Non_Water,Non_Wetland,Grassland
545,Wetland,NULL,Forest,Non_Water,Non_Wetland,Cropland
546,Wetland,NULL,Forest,Non_Water,Non_Wetland,Wetland
547,Wetland,NULL,Forest,Non_Water,Non_Wetland,Forest
548,Wetland,NULL,Forest,Water,Non_Wetland,NULL
549,Wetland,NULL,Forest,Water,Non_Wetland,Grassland
550,Wetland,NULL,Forest,Water,Non_Wetland,Cropland
551,Wetland,NULL,Forest,Water,Non_Wetland,Wetland
552,Wetland,NULL,Forest,Water,Non_Wetland,Forest
553,Wetland,Cropland,Wetland,Non_Water,Wetland,Grassland
554,Wetland,Cropland,Wetland,Non_Water,Wetland,Cropland
555,Wetland,Cropland,Wetland,Non_Water,Wetland,Wetland
556,Wetland,Cropland,Wetland,Water,Wetland,Grassland
557,Wetland,Cropland,Wetland,Water,Wetland,Cropland
558,Wetland,Cropland,Wetland,Water,Wetland,Wetland
559,Wetland,Cropland,Forest,Non_Water,Non_Wetland,Cropland
560,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL
561,Wetland,Wetland,NULL,NULL,Non_Wetland,Forest
562,Wetland,Wetland,NULL,Non_Water,Non_Wetland,NULL
563,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Grassland
564,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Forest
565,Wetland,Wetland,NULL,Water,Non_Wetland,NULL
566,Wetland,Wetland,NULL,Water,Non_Wetland,Wetland
567,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL
568,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
569,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Forest
570,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
571,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
572,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
573,Wetland,Wetland,Shrubland,Water,Non_Wetland,Grassland
574,Wetland,Wetland,Shrubland,Water,Non_Wetland,Forest
575,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL
576,Wetland,Wetland,Grassland,NULL,Non_Wetland,Grassland
577,Wetland,Wetland,Grassland,NULL,Non_Wetland,Forest
578,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,Forest
579,Wetland,Wetland,Grassland,Water,Non_Wetland,Forest
580,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL
581,Wetland,Wetland,Cropland,NULL,Non_Wetland,Grassland
582,Wetland,Wetland,Cropland,NULL,Non_Wetland,Forest
583,Wetland,Wetland,Wetland,NULL,Wetland,NULL
584,Wetland,Wetland,Wetland,NULL,Wetland,Grassland
585,Wetland,Wetland,Wetland,NULL,Wetland,Cropland
586,Wetland,Wetland,Wetland,NULL,Wetland,Wetland
587,Wetland,Wetland,Wetland,NULL,Wetland,Forest
588,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL
589,Wetland,Wetland,Wetland,Non_Water,Wetland,Grassland
590,Wetland,Wetland,Wetland,Non_Water,Wetland,Cropland
591,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland
592,Wetland,Wetland,Wetland,Non_Water,Wetland,Forest
593,Wetland,Wetland,Wetland,Water,Wetland,NULL
594,Wetland,Wetland,Wetland,Water,Wetland,Grassland
595,Wetland,Wetland,Wetland,Water,Wetland,Cropland
596,Wetland,Wetland,Wetland,Water,Wetland,Wetland
597,Wetland,Wetland,Wetland,Water,Wetland,Forest
598,Wetland,Wetland,Bareland,Water,Non_Wetland,Forest
599,Wetland,Wetland,Water,NULL,Water,NULL
600,Wetland,Wetland,Water,NULL,Water,Wetland
601,Wetland,Wetland,Water,NULL,Water,Forest
602,Wetland,Wetland,Water,Non_Water,Water,Grassland
603,Wetland,Wetland,Water,Water,Water,NULL
604,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL
605,Wetland,Wetland,Forest,NULL,Non_Wetland,Grassland
606,Wetland,Wetland,Forest,NULL,Non_Wetland,Forest
607,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL
608,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
609,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Cropland
610,Wetland,Wetland,Forest,Water,Non_Wetland,NULL
611,Wetland,Wetland,Forest,Water,Non_Wetland,Grassland
612,Wetland,Wetland,Forest,Water,Non_Wetland,Forest
613,Wetland,Built-up,NULL,NULL,Non_Wetland,Grassland
614,Wetland,Built-up,Grassland,NULL,Non_Wetland,Grassland
615,Wetland,Built-up,Grassland,Water,Non_Wetland,Grassland
616,Wetland,Built-up,Forest,NULL,Non_Wetland,Grassland
617,Wetland,Water,Shrubland,NULL,Non_Wetland,Grassland
618,Wetland,Water,Wetland,NULL,Wetland,NULL
619,Wetland,Water,Wetland,NULL,Wetland,Grassland
620,Wetland,Water,Wetland,NULL,Wetland,Forest
621,Wetland,Water,Wetland,Water,Wetland,NULL
622,Wetland,Water,Wetland,Water,Wetland,Grassland
623,Wetland,Water,Wetland,Water,Wetland,Wetland
624,Wetland,Water,Wetland,Water,Wetland,Water
625,Wetland,Water,Wetland,Water,Wetland,Forest
626,Wetland,Water,Forest,NULL,Non_Wetland,NULL
627,Wetland,Water,Forest,NULL,Non_Wetland,Grassland
628,Wetland,Forest,NULL,NULL,Non_Wetland,NULL
629,Wetland,Forest,NULL,NULL,Non_Wetland,Grassland
630,Wetland,Forest,NULL,NULL,Non_Wetland,Forest
631,Wetland,Forest,NULL,Non_Water,Non_Wetland,NULL
632,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL
633,Wetland,Forest,Shrubland,NULL,Non_Wetland,Grassland
634,Wetland,Forest,Shrubland,NULL,Non_Wetland,Forest
635,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,NULL
636,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
637,Wetland,Forest,Shrubland,Water,Non_Wetland,Forest
638,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL
639,Wetland,Forest,Grassland,NULL,Non_Wetland,Grassland
640,Wetland,Forest,Grassland,NULL,Non_Wetland,Forest
641,Wetland,Forest,Grassland,Non_Water,Non_Wetland,Grassland
642,Wetland,Forest,Cropland,NULL,Non_Wetland,NULL
643,Wetland,Forest,Cropland,Non_Water,Non_Wetland,Grassland
644,Wetland,Forest,Wetland,NULL,Wetland,NULL
645,Wetland,Forest,Wetland,NULL,Wetland,Grassland
646,Wetland,Forest,Wetland,NULL,Wetland,Wetland
647,Wetland,Forest,Wetland,NULL,Wetland,Forest
648,Wetland,Forest,Wetland,Non_Water,Wetland,Grassland
649,Wetland,Forest,Wetland,Non_Water,Wetland,Cropland
650,Wetland,Forest,Wetland,Non_Water,Wetland,Wetland
651,Wetland,Forest,Wetland,Water,Wetland,NULL
652,Wetland,Forest,Wetland,Water,Wetland,Wetland
653,Wetland,Forest,Water,Non_Water,Water,Forest
654,Wetland,Forest,Forest,NULL,Non_Wetland,NULL
655,Wetland,Forest,Forest,NULL,Non_Wetland,Grassland
656,Wetland,Forest,Forest,NULL,Non_Wetland,Forest
657,Wetland,Forest,Forest,Non_Water,Non_Wetland,NULL
658,Wetland,Forest,Forest,Non_Water,Non_Wetland,Grassland
659,Wetland,Forest,Forest,Non_Water,Non_Wetland,Forest
660,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
661,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
662,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland
663,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
664,Bareland,NULL,NULL,NULL,Non_Wetland,Built-up
665,Bareland,NULL,NULL,NULL,Non_Wetland,Forest
666,Bareland,NULL,NULL,Non_Water,Non_Wetland,Grassland
667,Bareland,NULL,NULL,Non_Water,Non_Wetland,Cropland
668,Bareland,NULL,NULL,Water,Non_Wetland,Grassland
669,Bareland,NULL,NULL,Water,Non_Wetland,Wetland
670,Bareland,NULL,NULL,Water,Non_Wetland,Bareland
671,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
672,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
673,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
674,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland
675,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
676,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest
677,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
678,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
679,Bareland,NULL,Shrubland,Water,Non_Wetland,Grassland
680,Bareland,NULL,Shrubland,Water,Non_Wetland,Wetland
681,Bareland,NULL,Shrubland,Water,Non_Wetland,Bareland
682,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
683,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
684,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
685,Bareland,NULL,Grassland,NULL,Non_Wetland,Wetland
686,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
687,Bareland,NULL,Grassland,NULL,Non_Wetland,Built-up
688,Bareland,NULL,Grassland,NULL,Non_Wetland,Water
689,Bareland,NULL,Grassland,NULL,Non_Wetland,Forest
690,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
691,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
692,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
693,Bareland,NULL,Grassland,Water,Non_Wetland,Grassland
694,Bareland,NULL,Grassland,Water,Non_Wetland,Wetland
695,Bareland,NULL,Grassland,Water,Non_Wetland,Bareland
696,Bareland,NULL,Grassland,Water,Non_Wetland,Water
697,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
698,Bareland,NULL,Cropland,NULL,Non_Wetland,Cropland
699,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
700,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
701,Bareland,NULL,Cropland,Water,Non_Wetland,Grassland
702,Bareland,NULL,Cropland,Water,Non_Wetland,Cropland
703,Bareland,NULL,Cropland,Water,Non_Wetland,Wetland
704,Bareland,NULL,Wetland,NULL,Wetland,Grassland
705,Bareland,NULL,Wetland,NULL,Wetland,Bareland
706,Bareland,NULL,Wetland,NULL,Wetland,Forest
707,Bareland,NULL,Wetland,Non_Water,Wetland,Grassland
708,Bareland,NULL,Wetland,Non_Water,Wetland,Cropland
709,Bareland,NULL,Wetland,Non_Water,Wetland,Wetland
710,Bareland,NULL,Wetland,Water,Wetland,Grassland
711,Bareland,NULL,Wetland,Water,Wetland,Cropland
712,Bareland,NULL,Wetland,Water,Wetland,Wetland
713,Bareland,NULL,Wetland,Water,Wetland,Bareland
714,Bareland,NULL,Wetland,Water,Wetland,Water
715,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
716,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
717,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
718,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
719,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
720,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
721,Bareland,NULL,Bareland,Water,Non_Wetland,Grassland
722,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
723,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL
724,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
725,Bareland,NULL,Built-up,NULL,Non_Wetland,Cropland
726,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
727,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up
728,Bareland,NULL,Built-up,NULL,Non_Wetland,Forest
729,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
730,Bareland,NULL,Built-up,Water,Non_Wetland,Grassland
731,Bareland,NULL,Water,Non_Water,Water,Cropland
732,Bareland,NULL,Water,Water,Water,Grassland
733,Bareland,NULL,Water,Water,Water,Bareland
734,Bareland,NULL,Forest,NULL,Non_Wetland,NULL
735,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
736,Bareland,NULL,Forest,NULL,Non_Wetland,Cropland
737,Bareland,NULL,Forest,NULL,Non_Wetland,Wetland
738,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland
739,Bareland,NULL,Forest,NULL,Non_Wetland,Forest
740,Bareland,NULL,Forest,Non_Water,Non_Wetland,Grassland
741,Bareland,NULL,Forest,Non_Water,Non_Wetland,Cropland
742,Bareland,NULL,Forest,Water,Non_Wetland,Grassland
743,Bareland,NULL,Forest,Water,Non_Wetland,Cropland
744,Bareland,NULL,Forest,Water,Non_Wetland,Wetland
745,Bareland,NULL,Forest,Water,Non_Wetland,Bareland
746,Bareland,Cropland,NULL,NULL,Non_Wetland,Grassland
747,Bareland,Cropland,NULL,NULL,Non_Wetland,Cropland
748,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
749,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
750,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL
751,Bareland,Cropland,Grassland,NULL,Non_Wetland,Grassland
752,Bareland,Cropland,Grassland,NULL,Non_Wetland,Cropland
753,Bareland,Cropland,Grassland,NULL,Non_Wetland,Bareland
754,Bareland,Cropland,Grassland,NULL,Non_Wetland,Built-up
755,Bareland,Cropland,Wetland,Water,Wetland,Wetland
756,Bareland,Cropland,Built-up,NULL,Non_Wetland,Grassland
757,Bareland,Cropland,Built-up,NULL,Non_Wetland,Built-up
758,Bareland,Cropland,Forest,NULL,Non_Wetland,Grassland
759,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland
760,Bareland,Bareland,NULL,Water,Non_Wetland,Bareland
761,Bareland,Bareland,Shrubland,Water,Non_Wetland,Bareland
762,Bareland,Bareland,Grassland,Water,Non_Wetland,Wetland
763,Bareland,Bareland,Grassland,Water,Non_Wetland,Bareland
764,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
765,Bareland,Bareland,Wetland,Non_Water,Wetland,Bareland
766,Bareland,Bareland,Wetland,Water,Wetland,Bareland
767,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland
768,Bareland,Bareland,Water,Water,Water,Bareland
769,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland
770,Bareland,Built-up,NULL,NULL,Non_Wetland,Grassland
771,Bareland,Built-up,NULL,NULL,Non_Wetland,Cropland
772,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
773,Bareland,Built-up,Grassland,NULL,Non_Wetland,NULL
774,Bareland,Built-up,Grassland,NULL,Non_Wetland,Grassland
775,Bareland,Built-up,Grassland,NULL,Non_Wetland,Cropland
776,Bareland,Built-up,Grassland,NULL,Non_Wetland,Bareland
777,Bareland,Built-up,Grassland,NULL,Non_Wetland,Built-up
778,Bareland,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
779,Bareland,Built-up,Cropland,NULL,Non_Wetland,Grassland
780,Bareland,Built-up,Cropland,NULL,Non_Wetland,Built-up
781,Bareland,Built-up,Bareland,NULL,Non_Wetland,Built-up
782,Bareland,Built-up,Built-up,NULL,Non_Wetland,Grassland
783,Bareland,Built-up,Built-up,NULL,Non_Wetland,Cropland
784,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland
785,Bareland,Built-up,Built-up,NULL,Non_Wetland,Built-up
786,Bareland,Built-up,Forest,NULL,Non_Wetland,Grassland
787,Bareland,Built-up,Forest,NULL,Non_Wetland,Built-up
788,Bareland,Water,NULL,NULL,Non_Wetland,Grassland
789,Bareland,Water,NULL,Water,Non_Wetland,Grassland
790,Bareland,Water,Wetland,Water,Wetland,Bareland
791,Bareland,Water,Built-up,NULL,Non_Wetland,Grassland
792,Bareland,Forest,NULL,NULL,Non_Wetland,Grassland
793,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL
794,Bareland,Forest,Grassland,NULL,Non_Wetland,Grassland
795,Bareland,Forest,Bareland,NULL,Non_Wetland,Bareland
796,Bareland,Forest,Forest,NULL,Non_Wetland,NULL
797,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland
798,Bareland,Forest,Forest,NULL,Non_Wetland,Cropland
799,Water,NULL,NULL,NULL,Non_Wetland,Grassland
800,Water,NULL,NULL,NULL,Non_Wetland,Cropland
801,Water,NULL,NULL,NULL,Non_Wetland,Wetland
802,Water,NULL,NULL,NULL,Non_Wetland,Bareland
803,Water,NULL,NULL,NULL,Non_Wetland,Water
804,Water,NULL,NULL,NULL,Non_Wetland,Forest
805,Water,NULL,NULL,Non_Water,Non_Wetland,NULL
806,Water,NULL,NULL,Non_Water,Non_Wetland,Grassland
807,Water,NULL,NULL,Non_Water,Non_Wetland,Bareland
808,Water,NULL,NULL,Water,Non_Wetland,Grassland
809,Water,NULL,NULL,Water,Non_Wetland,Wetland
810,Water,NULL,NULL,Water,Non_Wetland,Bareland
811,Water,NULL,Shrubland,NULL,Non_Wetland,NULL
812,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
813,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland
814,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland
815,Water,NULL,Shrubland,NULL,Non_Wetland,Forest
816,Water,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
817,Water,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
818,Water,NULL,Shrubland,Non_Water,Non_Wetland,Forest
819,Water,NULL,Shrubland,Water,Non_Wetland,Grassland
820,Water,NULL,Shrubland,Water,Non_Wetland,Wetland
821,Water,NULL,Shrubland,Water,Non_Wetland,Bareland
822,Water,NULL,Shrubland,Water,Non_Wetland,Forest
823,Water,NULL,Grassland,NULL,Non_Wetland,NULL
824,Water,NULL,Grassland,NULL,Non_Wetland,Grassland
825,Water,NULL,Grassland,NULL,Non_Wetland,Cropland
826,Water,NULL,Grassland,NULL,Non_Wetland,Wetland
827,Water,NULL,Grassland,NULL,Non_Wetland,Bareland
828,Water,NULL,Grassland,NULL,Non_Wetland,Built-up
829,Water,NULL,Grassland,NULL,Non_Wetland,Water
830,Water,NULL,Grassland,NULL,Non_Wetland,Forest
831,Water,NULL,Grassland,Non_Water,Non_Wetland,NULL
832,Water,NULL,Grassland,Non_Water,Non_Wetland,Grassland
833,Water,NULL,Grassland,Non_Water,Non_Wetland,Cropland
834,Water,NULL,Grassland,Non_Water,Non_Wetland,Wetland
835,Water,NULL,Grassland,Non_Water,Non_Wetland,Bareland
836,Water,NULL,Grassland,Water,Non_Wetland,Grassland
837,Water,NULL,Grassland,Water,Non_Wetland,Cropland
838,Water,NULL,Grassland,Water,Non_Wetland,Wetland
839,Water,NULL,Grassland,Water,Non_Wetland,Bareland
840,Water,NULL,Cropland,NULL,Non_Wetland,NULL
841,Water,NULL,Cropland,NULL,Non_Wetland,Grassland
842,Water,NULL,Cropland,NULL,Non_Wetland,Bareland
843,Water,NULL,Cropland,NULL,Non_Wetland,Forest
844,Water,NULL,Cropland,Non_Water,Non_Wetland,NULL
845,Water,NULL,Cropland,Non_Water,Non_Wetland,Grassland
846,Water,NULL,Cropland,Non_Water,Non_Wetland,Cropland
847,Water,NULL,Cropland,Non_Water,Non_Wetland,Forest
848,Water,NULL,Cropland,Water,Non_Wetland,Grassland
849,Water,NULL,Cropland,Water,Non_Wetland,Wetland
850,Water,NULL,Cropland,Water,Non_Wetland,Bareland
851,Water,NULL,Cropland,Water,Non_Wetland,Forest
852,Water,NULL,Wetland,NULL,Wetland,NULL
853,Water,NULL,Wetland,NULL,Wetland,Grassland
854,Water,NULL,Wetland,NULL,Wetland,Cropland
855,Water,NULL,Wetland,NULL,Wetland,Wetland
856,Water,NULL,Wetland,NULL,Wetland,Forest
857,Water,NULL,Wetland,Non_Water,Wetland,NULL
858,Water,NULL,Wetland,Non_Water,Wetland,Grassland
859,Water,NULL,Wetland,Non_Water,Wetland,Cropland
860,Water,NULL,Wetland,Non_Water,Wetland,Wetland
861,Water,NULL,Wetland,Non_Water,Wetland,Bareland
862,Water,NULL,Wetland,Non_Water,Wetland,Forest
863,Water,NULL,Wetland,Water,Wetland,NULL
