Value,AFRICA_2024_DynamicWorld_2024_37NHD_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NHD_M_R,AFRICA_2024_GLC_FCS30D_2022_37NHD_M_R,AFRICA_2024_GSW_Yearly_2021_37NHD_M_R,AFRICA_2024_GWL_FCS30D_2022_37NHD_M_R,AFRICA_2024_WorldCover_2021_37NHD_M_R
436,NULL,Forest,Grassland,Water,Non_Wetland,NULL
437,NULL,Forest,Grassland,Water,Non_Wetland,Grassland
438,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
439,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
440,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
441,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
442,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
443,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL
444,NULL,Forest,Cropland,Non_Water,Non_Wetland,Forest
445,NULL,Forest,Cropland,Water,Non_Wetland,NULL
446,NULL,Forest,Cropland,Water,Non_Wetland,Forest
447,NULL,Forest,Wetland,NULL,Wetland,NULL
448,NULL,Forest,Wetland,NULL,Wetland,Forest
449,NULL,Forest,Wetland,Non_Water,Wetland,NULL
450,NULL,Forest,Wetland,Non_Water,Wetland,Forest
451,NULL,Forest,Wetland,Water,Wetland,Forest
452,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
453,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
454,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
455,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
456,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL
457,NULL,Forest,Bareland,Non_Water,Non_Wetland,Forest
458,NULL,Forest,Bareland,Water,Non_Wetland,Forest
459,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
460,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
461,NULL,Forest,Water,NULL,Water,NULL
462,NULL,Forest,Water,NULL,Water,Forest
463,NULL,Forest,Water,Non_Water,Water,NULL
464,NULL,Forest,Water,Non_Water,Water,Forest
465,NULL,Forest,Water,Water,Water,Forest
466,NULL,Forest,Forest,NULL,Non_Wetland,NULL
467,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
468,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
469,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
470,NULL,Forest,Forest,NULL,Non_Wetland,Forest
471,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
472,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
473,NULL,Forest,Forest,Water,Non_Wetland,NULL
474,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
475,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
476,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL
477,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest
478,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
479,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
480,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
481,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
482,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
483,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
484,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
485,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL
486,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Forest
487,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
488,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
489,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL
490,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest
491,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL
492,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Forest
493,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
494,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
495,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
496,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
497,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
498,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL
499,Grassland,Wetland,NULL,NULL,Non_Wetland,Forest
500,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Forest
501,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL
502,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
503,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL
504,Grassland,Wetland,Grassland,NULL,Non_Wetland,Forest
505,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL
506,Grassland,Wetland,Cropland,NULL,Non_Wetland,Forest
507,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL
508,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
509,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Forest
510,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
511,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
512,Grassland,Forest,NULL,Non_Water,Non_Wetland,NULL
513,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
514,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
515,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest
516,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
517,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
518,Grassland,Forest,Bareland,Non_Water,Non_Wetland,NULL
519,Grassland,Forest,Bareland,Non_Water,Non_Wetland,Forest
520,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
521,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
522,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
523,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
524,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
525,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
526,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL
527,Cropland,NULL,NULL,Non_Water,Non_Wetland,Forest
528,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
529,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
530,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
531,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
532,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
533,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
534,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
535,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
536,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
537,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
538,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
539,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
540,Cropland,NULL,Grassland,Water,Non_Wetland,Forest
541,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
542,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
543,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
544,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
545,Cropland,NULL,Wetland,NULL,Wetland,Cropland
546,Cropland,NULL,Wetland,NULL,Wetland,Forest
547,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
548,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
549,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
550,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
551,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Forest
552,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
553,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
554,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
555,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
556,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
557,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
558,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
559,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
560,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
561,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
562,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
563,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
564,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
565,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
566,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
567,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
568,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
569,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
570,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
571,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
572,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
573,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
574,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
575,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
576,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
577,Cropland,Cropland,Cropland,NULL,Non_Wetland,Wetland
578,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
579,Cropland,Cropland,Bareland,NULL,Non_Wetland,Forest
580,Cropland,Cropland,Water,NULL,Water,Cropland
581,Cropland,Cropland,Water,NULL,Water,Forest
582,Cropland,Cropland,Water,Non_Water,Water,Forest
583,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
584,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
585,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
586,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
587,Cropland,Wetland,NULL,NULL,Non_Wetland,NULL
588,Cropland,Wetland,NULL,NULL,Non_Wetland,Grassland
589,Cropland,Wetland,NULL,NULL,Non_Wetland,Forest
590,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL
591,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
592,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Cropland
593,Cropland,Wetland,Grassland,NULL,Non_Wetland,NULL
594,Cropland,Wetland,Grassland,NULL,Non_Wetland,Grassland
595,Cropland,Wetland,Cropland,NULL,Non_Wetland,NULL
596,Cropland,Wetland,Cropland,NULL,Non_Wetland,Cropland
597,Cropland,Wetland,Forest,NULL,Non_Wetland,Forest
598,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL
599,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
600,Cropland,Bareland,Grassland,NULL,Non_Wetland,Cropland
601,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
602,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Forest
603,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL
604,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
605,Cropland,Water,NULL,NULL,Non_Wetland,Forest
606,Cropland,Water,Shrubland,NULL,Non_Wetland,Grassland
607,Cropland,Water,Shrubland,NULL,Non_Wetland,Cropland
608,Cropland,Water,Shrubland,NULL,Non_Wetland,Forest
609,Cropland,Water,Grassland,NULL,Non_Wetland,Grassland
610,Cropland,Water,Grassland,NULL,Non_Wetland,Cropland
611,Cropland,Water,Grassland,NULL,Non_Wetland,Bareland
612,Cropland,Water,Grassland,NULL,Non_Wetland,Forest
613,Cropland,Water,Cropland,NULL,Non_Wetland,NULL
614,Cropland,Water,Cropland,NULL,Non_Wetland,Grassland
615,Cropland,Water,Cropland,NULL,Non_Wetland,Forest
616,Cropland,Water,Cropland,Water,Non_Wetland,Forest
617,Cropland,Water,Wetland,NULL,Wetland,Forest
618,Cropland,Water,Bareland,NULL,Non_Wetland,Grassland
619,Cropland,Water,Bareland,NULL,Non_Wetland,Cropland
620,Cropland,Water,Bareland,NULL,Non_Wetland,Forest
621,Cropland,Water,Bareland,Non_Water,Non_Wetland,Forest
622,Cropland,Water,Water,NULL,Water,Forest
623,Cropland,Water,Forest,NULL,Non_Wetland,Forest
624,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
625,Cropland,Forest,NULL,NULL,Non_Wetland,Forest
626,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
627,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
628,Cropland,Forest,Shrubland,NULL,Non_Wetland,Cropland
629,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
630,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
631,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
632,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
633,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
634,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
635,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland
636,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
637,Cropland,Forest,Bareland,NULL,Non_Wetland,Forest
638,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
639,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
640,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
641,Wetland,NULL,NULL,NULL,Non_Wetland,NULL
642,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
643,Wetland,NULL,NULL,NULL,Non_Wetland,Forest
644,Wetland,NULL,NULL,Non_Water,Non_Wetland,NULL
645,Wetland,NULL,NULL,Non_Water,Non_Wetland,Forest
646,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
647,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
648,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
649,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
650,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
651,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL
652,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
653,Wetland,NULL,Grassland,NULL,Non_Wetland,Bareland
654,Wetland,NULL,Grassland,NULL,Non_Wetland,Forest
655,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL
656,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Forest
657,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL
658,Wetland,NULL,Cropland,NULL,Non_Wetland,Grassland
659,Wetland,NULL,Cropland,NULL,Non_Wetland,Forest
660,Wetland,NULL,Cropland,Non_Water,Non_Wetland,NULL
661,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Forest
662,Wetland,NULL,Wetland,Non_Water,Wetland,Forest
663,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL
664,Wetland,NULL,Bareland,NULL,Non_Wetland,Forest
665,Wetland,NULL,Bareland,Non_Water,Non_Wetland,NULL
666,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Forest
667,Wetland,NULL,Forest,NULL,Non_Wetland,NULL
668,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
669,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL
670,Wetland,NULL,Forest,Non_Water,Non_Wetland,Forest
671,Wetland,Cropland,Shrubland,NULL,Non_Wetland,NULL
672,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
673,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
674,Wetland,Cropland,Grassland,NULL,Non_Wetland,Forest
675,Wetland,Cropland,Cropland,NULL,Non_Wetland,Grassland
676,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL
677,Wetland,Wetland,NULL,NULL,Non_Wetland,Grassland
678,Wetland,Wetland,NULL,NULL,Non_Wetland,Forest
679,Wetland,Wetland,NULL,Non_Water,Non_Wetland,NULL
680,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Grassland
681,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Cropland
682,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Forest
683,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL
684,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
685,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Cropland
686,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Forest
687,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
688,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
689,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
690,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL
691,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL
692,Wetland,Wetland,Grassland,NULL,Non_Wetland,Grassland
693,Wetland,Wetland,Grassland,NULL,Non_Wetland,Bareland
694,Wetland,Wetland,Grassland,NULL,Non_Wetland,Forest
695,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,NULL
696,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
697,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,Forest
698,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL
699,Wetland,Wetland,Cropland,NULL,Non_Wetland,Grassland
700,Wetland,Wetland,Cropland,NULL,Non_Wetland,Cropland
701,Wetland,Wetland,Cropland,NULL,Non_Wetland,Forest
702,Wetland,Wetland,Cropland,Non_Water,Non_Wetland,NULL
703,Wetland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
704,Wetland,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
705,Wetland,Wetland,Cropland,Non_Water,Non_Wetland,Forest
706,Wetland,Wetland,Wetland,NULL,Wetland,Forest
707,Wetland,Wetland,Wetland,Non_Water,Wetland,Forest
708,Wetland,Wetland,Bareland,NULL,Non_Wetland,NULL
709,Wetland,Wetland,Bareland,NULL,Non_Wetland,Forest
710,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,NULL
711,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
712,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,Forest
713,Wetland,Wetland,Built-up,NULL,Non_Wetland,NULL
714,Wetland,Wetland,Built-up,NULL,Non_Wetland,Grassland
715,Wetland,Wetland,Built-up,NULL,Non_Wetland,Forest
716,Wetland,Wetland,Built-up,Non_Water,Non_Wetland,NULL
717,Wetland,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
718,Wetland,Wetland,Built-up,Non_Water,Non_Wetland,Forest
719,Wetland,Wetland,Water,NULL,Water,Grassland
720,Wetland,Wetland,Water,Non_Water,Water,Grassland
721,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL
722,Wetland,Wetland,Forest,NULL,Non_Wetland,Grassland
723,Wetland,Wetland,Forest,NULL,Non_Wetland,Forest
724,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL
725,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
726,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Forest
727,Wetland,Water,NULL,NULL,Non_Wetland,NULL
728,Wetland,Water,NULL,NULL,Non_Wetland,Grassland
729,Wetland,Water,NULL,NULL,Non_Wetland,Forest
730,Wetland,Water,NULL,Non_Water,Non_Wetland,NULL
731,Wetland,Water,NULL,Non_Water,Non_Wetland,Grassland
732,Wetland,Water,NULL,Non_Water,Non_Wetland,Forest
733,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL
734,Wetland,Water,Shrubland,NULL,Non_Wetland,Grassland
735,Wetland,Water,Shrubland,Non_Water,Non_Wetland,NULL
736,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
737,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Forest
738,Wetland,Water,Grassland,NULL,Non_Wetland,NULL
739,Wetland,Water,Grassland,NULL,Non_Wetland,Grassland
740,Wetland,Water,Grassland,NULL,Non_Wetland,Bareland
741,Wetland,Water,Grassland,Non_Water,Non_Wetland,NULL
742,Wetland,Water,Grassland,Non_Water,Non_Wetland,Grassland
743,Wetland,Water,Grassland,Non_Water,Non_Wetland,Forest
744,Wetland,Water,Cropland,NULL,Non_Wetland,NULL
745,Wetland,Water,Cropland,NULL,Non_Wetland,Grassland
746,Wetland,Water,Cropland,NULL,Non_Wetland,Forest
747,Wetland,Water,Cropland,Non_Water,Non_Wetland,NULL
748,Wetland,Water,Cropland,Non_Water,Non_Wetland,Grassland
749,Wetland,Water,Cropland,Non_Water,Non_Wetland,Forest
750,Wetland,Water,Bareland,Non_Water,Non_Wetland,NULL
751,Wetland,Water,Bareland,Non_Water,Non_Wetland,Grassland
752,Wetland,Water,Built-up,Non_Water,Non_Wetland,NULL
753,Wetland,Water,Built-up,Non_Water,Non_Wetland,Forest
754,Wetland,Water,Water,Non_Water,Water,NULL
755,Wetland,Water,Water,Non_Water,Water,Grassland
756,Wetland,Water,Forest,NULL,Non_Wetland,NULL
757,Wetland,Water,Forest,NULL,Non_Wetland,Grassland
758,Wetland,Water,Forest,Non_Water,Non_Wetland,NULL
759,Wetland,Water,Forest,Non_Water,Non_Wetland,Grassland
760,Wetland,Water,Forest,Non_Water,Non_Wetland,Cropland
761,Wetland,Water,Forest,Non_Water,Non_Wetland,Forest
762,Wetland,Forest,NULL,NULL,Non_Wetland,NULL
763,Wetland,Forest,NULL,NULL,Non_Wetland,Forest
764,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL
765,Wetland,Forest,Shrubland,NULL,Non_Wetland,Forest
766,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL
767,Wetland,Forest,Grassland,NULL,Non_Wetland,Forest
768,Wetland,Forest,Cropland,NULL,Non_Wetland,NULL
769,Wetland,Forest,Cropland,NULL,Non_Wetland,Forest
770,Wetland,Forest,Wetland,NULL,Wetland,Forest
771,Wetland,Forest,Bareland,NULL,Non_Wetland,NULL
772,Wetland,Forest,Bareland,NULL,Non_Wetland,Forest
773,Wetland,Forest,Forest,NULL,Non_Wetland,NULL
774,Wetland,Forest,Forest,NULL,Non_Wetland,Forest
775,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
776,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
777,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland
778,Bareland,NULL,NULL,NULL,Non_Wetland,Forest
779,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL
780,Bareland,NULL,NULL,Non_Water,Non_Wetland,Forest
781,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
782,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
783,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
784,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
785,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest
786,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
787,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
788,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
789,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
790,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
791,Bareland,NULL,Grassland,NULL,Non_Wetland,Forest
792,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
793,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
794,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
795,Bareland,NULL,Cropland,NULL,Non_Wetland,Cropland
796,Bareland,NULL,Cropland,NULL,Non_Wetland,Forest
797,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Forest
798,Bareland,NULL,Cropland,Water,Non_Wetland,Grassland
799,Bareland,NULL,Cropland,Water,Non_Wetland,Forest
800,Bareland,NULL,Wetland,NULL,Wetland,Cropland
801,Bareland,NULL,Wetland,Water,Wetland,Water
802,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
803,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
804,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
805,Bareland,NULL,Bareland,NULL,Non_Wetland,Cropland
806,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
807,Bareland,NULL,Bareland,NULL,Non_Wetland,Forest
808,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Forest
809,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL
810,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
811,Bareland,NULL,Built-up,NULL,Non_Wetland,Cropland
812,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
813,Bareland,NULL,Built-up,NULL,Non_Wetland,Forest
814,Bareland,NULL,Water,NULL,Water,Bareland
815,Bareland,NULL,Water,NULL,Water,Forest
816,Bareland,NULL,Water,Water,Water,Bareland
817,Bareland,NULL,Forest,NULL,Non_Wetland,NULL
818,Bareland,NULL,Forest,NULL,Non_Wetland,Forest
819,Bareland,NULL,Forest,Non_Water,Non_Wetland,Forest
820,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL
821,Bareland,Cropland,NULL,NULL,Non_Wetland,Grassland
822,Bareland,Cropland,NULL,NULL,Non_Wetland,Forest
823,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL
824,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
825,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
826,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Forest
827,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL
828,Bareland,Cropland,Grassland,NULL,Non_Wetland,Grassland
829,Bareland,Cropland,Grassland,NULL,Non_Wetland,Cropland
830,Bareland,Cropland,Grassland,NULL,Non_Wetland,Bareland
831,Bareland,Cropland,Grassland,NULL,Non_Wetland,Forest
832,Bareland,Cropland,Cropland,NULL,Non_Wetland,Grassland
833,Bareland,Cropland,Cropland,NULL,Non_Wetland,Forest
834,Bareland,Cropland,Wetland,NULL,Wetland,Forest
835,Bareland,Cropland,Bareland,NULL,Non_Wetland,Forest
836,Bareland,Cropland,Forest,NULL,Non_Wetland,Grassland
837,Bareland,Cropland,Forest,NULL,Non_Wetland,Forest
838,Bareland,Wetland,NULL,NULL,Non_Wetland,NULL
839,Bareland,Wetland,NULL,NULL,Non_Wetland,Forest
840,Bareland,Wetland,NULL,Non_Water,Non_Wetland,NULL
841,Bareland,Wetland,NULL,Non_Water,Non_Wetland,Forest
842,Bareland,Wetland,Shrubland,NULL,Non_Wetland,NULL
843,Bareland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
844,Bareland,Wetland,Grassland,Non_Water,Non_Wetland,NULL
845,Bareland,Wetland,Cropland,Non_Water,Non_Wetland,NULL
846,Bareland,Wetland,Bareland,NULL,Non_Wetland,NULL
847,Bareland,Wetland,Forest,NULL,Non_Wetland,NULL
848,Bareland,Wetland,Forest,NULL,Non_Wetland,Forest
849,Bareland,Wetland,Forest,Non_Water,Non_Wetland,Forest
850,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland
851,Bareland,Bareland,NULL,NULL,Non_Wetland,Forest
852,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
853,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Cropland
854,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
855,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL
856,Bareland,Bareland,Grassland,NULL,Non_Wetland,Grassland
857,Bareland,Bareland,Grassland,NULL,Non_Wetland,Cropland
858,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland
859,Bareland,Bareland,Grassland,Water,Non_Wetland,Bareland
860,Bareland,Bareland,Cropland,NULL,Non_Wetland,Grassland
