Value,AFRICA_2024_DynamicWorld_2024_36PUQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PUQ_M_R,AFRICA_2024_GLC_FCS30D_2022_36PUQ_M_R,AFRICA_2024_GSW_Yearly_2021_36PUQ_M_R,AFRICA_2024_GWL_FCS30D_2022_36PUQ_M_R,AFRICA_2024_WorldCover_2021_36PUQ_M_R
428,Wetland,NULL,Wetland,NULL,Wetland,Grassland
429,Wetland,NULL,Wetland,NULL,Wetland,Wetland
430,Wetland,NULL,Wetland,NULL,Wetland,Forest
431,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland
432,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland
433,Wetland,NULL,Wetland,Water,Wetland,Grassland
434,Wetland,NULL,Wetland,Water,Wetland,Wetland
435,Wetland,NULL,Bareland,NULL,Non_Wetland,Grassland
436,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland
437,Wetland,NULL,Bareland,NULL,Non_Wetland,Water
438,Wetland,NULL,Bareland,NULL,Non_Wetland,Forest
439,Wetland,NULL,Water,NULL,Water,NULL
440,Wetland,NULL,Water,NULL,Water,Grassland
441,Wetland,NULL,Water,NULL,Water,Wetland
442,Wetland,NULL,Water,NULL,Water,Forest
443,Wetland,NULL,Water,Water,Water,NULL
444,Wetland,NULL,Water,Water,Water,Grassland
445,Wetland,NULL,Water,Water,Water,Wetland
446,Wetland,NULL,Water,Water,Water,Water
447,Wetland,NULL,Water,Water,Water,Forest
448,Wetland,NULL,Forest,NULL,Non_Wetland,NULL
449,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
450,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland
451,Wetland,NULL,Forest,NULL,Non_Wetland,Water
452,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
453,Wetland,NULL,Forest,Non_Water,Non_Wetland,Grassland
454,Wetland,NULL,Forest,Non_Water,Non_Wetland,Wetland
455,Wetland,NULL,Forest,Non_Water,Non_Wetland,Forest
456,Wetland,NULL,Forest,Water,Non_Wetland,NULL
457,Wetland,NULL,Forest,Water,Non_Wetland,Grassland
458,Wetland,NULL,Forest,Water,Non_Wetland,Wetland
459,Wetland,NULL,Forest,Water,Non_Wetland,Water
460,Wetland,NULL,Forest,Water,Non_Wetland,Forest
461,Wetland,Cropland,NULL,NULL,Non_Wetland,Grassland
462,Wetland,Cropland,NULL,NULL,Non_Wetland,Wetland
463,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
464,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
465,Wetland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
466,Wetland,Cropland,Shrubland,Water,Non_Wetland,Grassland
467,Wetland,Cropland,Shrubland,Water,Non_Wetland,Wetland
468,Wetland,Cropland,Wetland,NULL,Wetland,NULL
469,Wetland,Cropland,Wetland,NULL,Wetland,Grassland
470,Wetland,Cropland,Wetland,NULL,Wetland,Wetland
471,Wetland,Cropland,Wetland,Non_Water,Wetland,Grassland
472,Wetland,Cropland,Wetland,Non_Water,Wetland,Wetland
473,Wetland,Cropland,Wetland,Water,Wetland,Grassland
474,Wetland,Cropland,Bareland,NULL,Non_Wetland,Wetland
475,Wetland,Cropland,Forest,NULL,Non_Wetland,Grassland
476,Wetland,Cropland,Forest,NULL,Non_Wetland,Wetland
477,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL
478,Wetland,Wetland,NULL,NULL,Non_Wetland,Grassland
479,Wetland,Wetland,NULL,NULL,Non_Wetland,Wetland
480,Wetland,Wetland,NULL,NULL,Non_Wetland,Water
481,Wetland,Wetland,NULL,NULL,Non_Wetland,Forest
482,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Wetland
483,Wetland,Wetland,NULL,Water,Non_Wetland,Grassland
484,Wetland,Wetland,NULL,Water,Non_Wetland,Wetland
485,Wetland,Wetland,NULL,Water,Non_Wetland,Water
486,Wetland,Wetland,NULL,Water,Non_Wetland,Forest
487,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL
488,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
489,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
490,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Bareland
491,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Built-up
492,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Water
493,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Forest
494,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
495,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL
496,Wetland,Wetland,Shrubland,Water,Non_Wetland,Grassland
497,Wetland,Wetland,Shrubland,Water,Non_Wetland,Wetland
498,Wetland,Wetland,Shrubland,Water,Non_Wetland,Bareland
499,Wetland,Wetland,Shrubland,Water,Non_Wetland,Water
500,Wetland,Wetland,Shrubland,Water,Non_Wetland,Forest
501,Wetland,Wetland,Cropland,NULL,Non_Wetland,Built-up
502,Wetland,Wetland,Wetland,NULL,Wetland,NULL
503,Wetland,Wetland,Wetland,NULL,Wetland,Grassland
504,Wetland,Wetland,Wetland,NULL,Wetland,Wetland
505,Wetland,Wetland,Wetland,NULL,Wetland,Forest
506,Wetland,Wetland,Wetland,Non_Water,Wetland,Grassland
507,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland
508,Wetland,Wetland,Wetland,Water,Wetland,Grassland
509,Wetland,Wetland,Wetland,Water,Wetland,Wetland
510,Wetland,Wetland,Built-up,NULL,Non_Wetland,Built-up
511,Wetland,Wetland,Water,NULL,Water,NULL
512,Wetland,Wetland,Water,NULL,Water,Grassland
513,Wetland,Wetland,Water,NULL,Water,Wetland
514,Wetland,Wetland,Water,NULL,Water,Bareland
515,Wetland,Wetland,Water,NULL,Water,Water
516,Wetland,Wetland,Water,NULL,Water,Forest
517,Wetland,Wetland,Water,Non_Water,Water,Wetland
518,Wetland,Wetland,Water,Water,Water,NULL
519,Wetland,Wetland,Water,Water,Water,Grassland
520,Wetland,Wetland,Water,Water,Water,Wetland
521,Wetland,Wetland,Water,Water,Water,Bareland
522,Wetland,Wetland,Water,Water,Water,Water
523,Wetland,Wetland,Water,Water,Water,Forest
524,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL
525,Wetland,Wetland,Forest,NULL,Non_Wetland,Grassland
526,Wetland,Wetland,Forest,NULL,Non_Wetland,Wetland
527,Wetland,Wetland,Forest,NULL,Non_Wetland,Bareland
528,Wetland,Wetland,Forest,NULL,Non_Wetland,Water
529,Wetland,Wetland,Forest,NULL,Non_Wetland,Forest
530,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
531,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
532,Wetland,Wetland,Forest,Water,Non_Wetland,NULL
533,Wetland,Wetland,Forest,Water,Non_Wetland,Grassland
534,Wetland,Wetland,Forest,Water,Non_Wetland,Wetland
535,Wetland,Wetland,Forest,Water,Non_Wetland,Water
536,Wetland,Wetland,Forest,Water,Non_Wetland,Forest
537,Wetland,Water,NULL,NULL,Non_Wetland,Wetland
538,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL
539,Wetland,Water,Shrubland,NULL,Non_Wetland,Grassland
540,Wetland,Water,Shrubland,NULL,Non_Wetland,Wetland
541,Wetland,Water,Shrubland,NULL,Non_Wetland,Water
542,Wetland,Water,Shrubland,NULL,Non_Wetland,Forest
543,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Wetland
544,Wetland,Water,Shrubland,Water,Non_Wetland,Grassland
545,Wetland,Water,Shrubland,Water,Non_Wetland,Wetland
546,Wetland,Water,Shrubland,Water,Non_Wetland,Water
547,Wetland,Water,Shrubland,Water,Non_Wetland,Forest
548,Wetland,Water,Wetland,NULL,Wetland,NULL
549,Wetland,Water,Wetland,NULL,Wetland,Grassland
550,Wetland,Water,Wetland,NULL,Wetland,Wetland
551,Wetland,Water,Wetland,NULL,Wetland,Water
552,Wetland,Water,Wetland,NULL,Wetland,Forest
553,Wetland,Water,Wetland,Non_Water,Wetland,Grassland
554,Wetland,Water,Wetland,Non_Water,Wetland,Wetland
555,Wetland,Water,Wetland,Non_Water,Wetland,Forest
556,Wetland,Water,Wetland,Water,Wetland,Grassland
557,Wetland,Water,Wetland,Water,Wetland,Wetland
558,Wetland,Water,Wetland,Water,Wetland,Water
559,Wetland,Water,Wetland,Water,Wetland,Forest
560,Wetland,Water,Water,NULL,Water,Wetland
561,Wetland,Water,Water,NULL,Water,Water
562,Wetland,Water,Water,Water,Water,Wetland
563,Wetland,Water,Forest,NULL,Non_Wetland,NULL
564,Wetland,Water,Forest,NULL,Non_Wetland,Grassland
565,Wetland,Water,Forest,NULL,Non_Wetland,Wetland
566,Wetland,Water,Forest,NULL,Non_Wetland,Forest
567,Wetland,Water,Forest,Non_Water,Non_Wetland,Wetland
568,Wetland,Forest,NULL,NULL,Non_Wetland,NULL
569,Wetland,Forest,NULL,NULL,Non_Wetland,Grassland
570,Wetland,Forest,NULL,NULL,Non_Wetland,Wetland
571,Wetland,Forest,NULL,NULL,Non_Wetland,Forest
572,Wetland,Forest,NULL,Water,Non_Wetland,Grassland
573,Wetland,Forest,NULL,Water,Non_Wetland,Wetland
574,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL
575,Wetland,Forest,Shrubland,NULL,Non_Wetland,Grassland
576,Wetland,Forest,Shrubland,NULL,Non_Wetland,Wetland
577,Wetland,Forest,Shrubland,NULL,Non_Wetland,Bareland
578,Wetland,Forest,Shrubland,NULL,Non_Wetland,Water
579,Wetland,Forest,Shrubland,NULL,Non_Wetland,Forest
580,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
581,Wetland,Forest,Shrubland,Water,Non_Wetland,Grassland
582,Wetland,Forest,Shrubland,Water,Non_Wetland,Wetland
583,Wetland,Forest,Shrubland,Water,Non_Wetland,Water
584,Wetland,Forest,Shrubland,Water,Non_Wetland,Forest
585,Wetland,Forest,Wetland,NULL,Wetland,NULL
586,Wetland,Forest,Wetland,NULL,Wetland,Grassland
587,Wetland,Forest,Wetland,NULL,Wetland,Wetland
588,Wetland,Forest,Wetland,NULL,Wetland,Forest
589,Wetland,Forest,Wetland,Water,Wetland,Wetland
590,Wetland,Forest,Wetland,Water,Wetland,Water
591,Wetland,Forest,Bareland,Water,Non_Wetland,Wetland
592,Wetland,Forest,Water,NULL,Water,NULL
593,Wetland,Forest,Water,NULL,Water,Grassland
594,Wetland,Forest,Water,NULL,Water,Wetland
595,Wetland,Forest,Water,NULL,Water,Forest
596,Wetland,Forest,Water,Water,Water,NULL
597,Wetland,Forest,Water,Water,Water,Grassland
598,Wetland,Forest,Water,Water,Water,Wetland
599,Wetland,Forest,Water,Water,Water,Water
600,Wetland,Forest,Water,Water,Water,Forest
601,Wetland,Forest,Forest,NULL,Non_Wetland,NULL
602,Wetland,Forest,Forest,NULL,Non_Wetland,Grassland
603,Wetland,Forest,Forest,NULL,Non_Wetland,Wetland
604,Wetland,Forest,Forest,NULL,Non_Wetland,Forest
605,Wetland,Forest,Forest,Water,Non_Wetland,Grassland
606,Wetland,Forest,Forest,Water,Non_Wetland,Wetland
607,Wetland,Forest,Forest,Water,Non_Wetland,Water
608,Wetland,Forest,Forest,Water,Non_Wetland,Forest
609,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
610,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
611,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
612,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland
613,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
614,Bareland,NULL,Shrubland,NULL,Non_Wetland,Water
615,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest
616,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
617,Bareland,NULL,Shrubland,Water,Non_Wetland,Grassland
618,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
619,Bareland,NULL,Grassland,NULL,Non_Wetland,Forest
620,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
621,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
622,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
623,Bareland,NULL,Bareland,Water,Non_Wetland,Grassland
624,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
625,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
626,Bareland,NULL,Forest,NULL,Non_Wetland,Wetland
627,Bareland,NULL,Forest,NULL,Non_Wetland,Forest
628,Bareland,Cropland,Grassland,NULL,Non_Wetland,Grassland
629,Bareland,Cropland,Bareland,Water,Non_Wetland,Grassland
630,Bareland,Cropland,Built-up,NULL,Non_Wetland,Built-up
631,Bareland,Forest,Shrubland,NULL,Non_Wetland,Grassland
632,Bareland,Forest,Shrubland,NULL,Non_Wetland,Wetland
633,Bareland,Forest,Shrubland,NULL,Non_Wetland,Forest
634,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland
635,Bareland,Forest,Forest,NULL,Non_Wetland,Wetland
636,Bareland,Forest,Forest,NULL,Non_Wetland,Forest
637,Water,NULL,NULL,NULL,Non_Wetland,Grassland
638,Water,NULL,NULL,NULL,Non_Wetland,Wetland
639,Water,NULL,NULL,NULL,Non_Wetland,Water
640,Water,NULL,NULL,NULL,Non_Wetland,Forest
641,Water,NULL,NULL,Water,Non_Wetland,Forest
642,Water,NULL,Shrubland,NULL,Non_Wetland,NULL
643,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
644,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland
645,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland
646,Water,NULL,Shrubland,NULL,Non_Wetland,Built-up
647,Water,NULL,Shrubland,NULL,Non_Wetland,Water
648,Water,NULL,Shrubland,NULL,Non_Wetland,Forest
649,Water,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
650,Water,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
651,Water,NULL,Shrubland,Water,Non_Wetland,Grassland
652,Water,NULL,Shrubland,Water,Non_Wetland,Wetland
653,Water,NULL,Shrubland,Water,Non_Wetland,Bareland
654,Water,NULL,Shrubland,Water,Non_Wetland,Built-up
655,Water,NULL,Shrubland,Water,Non_Wetland,Water
656,Water,NULL,Shrubland,Water,Non_Wetland,Forest
657,Water,NULL,Grassland,NULL,Non_Wetland,Grassland
658,Water,NULL,Grassland,NULL,Non_Wetland,Bareland
659,Water,NULL,Grassland,NULL,Non_Wetland,Water
660,Water,NULL,Grassland,NULL,Non_Wetland,Forest
661,Water,NULL,Grassland,Water,Non_Wetland,Grassland
662,Water,NULL,Grassland,Water,Non_Wetland,Water
663,Water,NULL,Grassland,Water,Non_Wetland,Forest
664,Water,NULL,Cropland,NULL,Non_Wetland,Grassland
665,Water,NULL,Cropland,NULL,Non_Wetland,Bareland
666,Water,NULL,Cropland,NULL,Non_Wetland,Built-up
667,Water,NULL,Cropland,NULL,Non_Wetland,Water
668,Water,NULL,Cropland,NULL,Non_Wetland,Forest
669,Water,NULL,Cropland,Water,Non_Wetland,Grassland
670,Water,NULL,Cropland,Water,Non_Wetland,Bareland
671,Water,NULL,Cropland,Water,Non_Wetland,Water
672,Water,NULL,Wetland,NULL,Wetland,NULL
673,Water,NULL,Wetland,NULL,Wetland,Grassland
674,Water,NULL,Wetland,NULL,Wetland,Wetland
675,Water,NULL,Wetland,NULL,Wetland,Forest
676,Water,NULL,Wetland,Non_Water,Wetland,Grassland
677,Water,NULL,Wetland,Non_Water,Wetland,Wetland
678,Water,NULL,Wetland,Water,Wetland,Grassland
679,Water,NULL,Wetland,Water,Wetland,Wetland
680,Water,NULL,Wetland,Water,Wetland,Water
681,Water,NULL,Wetland,Water,Wetland,Forest
682,Water,NULL,Bareland,NULL,Non_Wetland,Grassland
683,Water,NULL,Bareland,NULL,Non_Wetland,Wetland
684,Water,NULL,Bareland,NULL,Non_Wetland,Bareland
685,Water,NULL,Bareland,NULL,Non_Wetland,Water
686,Water,NULL,Bareland,NULL,Non_Wetland,Forest
687,Water,NULL,Bareland,Water,Non_Wetland,Grassland
688,Water,NULL,Bareland,Water,Non_Wetland,Wetland
689,Water,NULL,Bareland,Water,Non_Wetland,Bareland
690,Water,NULL,Bareland,Water,Non_Wetland,Water
691,Water,NULL,Bareland,Water,Non_Wetland,Forest
692,Water,NULL,Built-up,NULL,Non_Wetland,Grassland
693,Water,NULL,Built-up,NULL,Non_Wetland,Bareland
694,Water,NULL,Built-up,NULL,Non_Wetland,Forest
695,Water,NULL,Built-up,Water,Non_Wetland,Water
696,Water,NULL,Water,NULL,Water,Grassland
697,Water,NULL,Water,NULL,Water,Wetland
698,Water,NULL,Water,Non_Water,Water,Wetland
699,Water,NULL,Water,Water,Water,Grassland
700,Water,NULL,Water,Water,Water,Wetland
701,Water,NULL,Water,Water,Water,Bareland
702,Water,NULL,Water,Water,Water,Water
703,Water,NULL,Water,Water,Water,Forest
704,Water,NULL,Forest,NULL,Non_Wetland,NULL
705,Water,NULL,Forest,NULL,Non_Wetland,Grassland
706,Water,NULL,Forest,NULL,Non_Wetland,Wetland
707,Water,NULL,Forest,NULL,Non_Wetland,Bareland
708,Water,NULL,Forest,NULL,Non_Wetland,Water
709,Water,NULL,Forest,NULL,Non_Wetland,Forest
710,Water,NULL,Forest,Non_Water,Non_Wetland,Wetland
711,Water,NULL,Forest,Water,Non_Wetland,Grassland
712,Water,NULL,Forest,Water,Non_Wetland,Wetland
713,Water,NULL,Forest,Water,Non_Wetland,Water
714,Water,NULL,Forest,Water,Non_Wetland,Forest
715,Water,Cropland,Shrubland,NULL,Non_Wetland,NULL
716,Water,Cropland,Shrubland,NULL,Non_Wetland,Grassland
717,Water,Cropland,Shrubland,NULL,Non_Wetland,Wetland
718,Water,Cropland,Shrubland,NULL,Non_Wetland,Bareland
719,Water,Cropland,Shrubland,NULL,Non_Wetland,Forest
720,Water,Cropland,Shrubland,Water,Non_Wetland,Grassland
721,Water,Cropland,Shrubland,Water,Non_Wetland,Wetland
722,Water,Cropland,Shrubland,Water,Non_Wetland,Forest
723,Water,Cropland,Cropland,NULL,Non_Wetland,Wetland
724,Water,Cropland,Wetland,NULL,Wetland,NULL
725,Water,Cropland,Wetland,NULL,Wetland,Grassland
726,Water,Cropland,Wetland,NULL,Wetland,Wetland
727,Water,Cropland,Wetland,NULL,Wetland,Forest
728,Water,Cropland,Wetland,Non_Water,Wetland,Grassland
729,Water,Cropland,Wetland,Non_Water,Wetland,Wetland
730,Water,Cropland,Wetland,Water,Wetland,Grassland
731,Water,Cropland,Wetland,Water,Wetland,Wetland
732,Water,Cropland,Bareland,NULL,Non_Wetland,Wetland
733,Water,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
734,Water,Cropland,Bareland,Water,Non_Wetland,Grassland
735,Water,Cropland,Water,NULL,Water,Bareland
736,Water,Cropland,Forest,NULL,Non_Wetland,Grassland
737,Water,Cropland,Forest,NULL,Non_Wetland,Wetland
738,Water,Wetland,NULL,NULL,Non_Wetland,Forest
739,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL
740,Water,Wetland,Shrubland,NULL,Non_Wetland,Grassland
741,Water,Wetland,Shrubland,NULL,Non_Wetland,Wetland
742,Water,Wetland,Shrubland,NULL,Non_Wetland,Water
743,Water,Wetland,Shrubland,NULL,Non_Wetland,Forest
744,Water,Wetland,Shrubland,Water,Non_Wetland,Grassland
745,Water,Wetland,Shrubland,Water,Non_Wetland,Wetland
746,Water,Wetland,Shrubland,Water,Non_Wetland,Forest
747,Water,Wetland,Wetland,NULL,Wetland,NULL
748,Water,Wetland,Wetland,NULL,Wetland,Grassland
749,Water,Wetland,Wetland,NULL,Wetland,Wetland
750,Water,Wetland,Wetland,NULL,Wetland,Forest
751,Water,Wetland,Wetland,Non_Water,Wetland,Grassland
752,Water,Wetland,Wetland,Water,Wetland,Grassland
753,Water,Wetland,Wetland,Water,Wetland,Wetland
754,Water,Wetland,Water,NULL,Water,Forest
755,Water,Wetland,Water,Water,Water,Grassland
756,Water,Wetland,Forest,NULL,Non_Wetland,NULL
757,Water,Wetland,Forest,NULL,Non_Wetland,Grassland
758,Water,Wetland,Forest,NULL,Non_Wetland,Wetland
759,Water,Wetland,Forest,NULL,Non_Wetland,Forest
760,Water,Wetland,Forest,Water,Non_Wetland,Grassland
761,Water,Water,NULL,NULL,Non_Wetland,Grassland
762,Water,Water,NULL,NULL,Non_Wetland,Wetland
763,Water,Water,NULL,NULL,Non_Wetland,Bareland
764,Water,Water,NULL,NULL,Non_Wetland,Water
765,Water,Water,NULL,NULL,Non_Wetland,Forest
766,Water,Water,NULL,Water,Non_Wetland,Bareland
767,Water,Water,NULL,Water,Non_Wetland,Water
768,Water,Water,Shrubland,NULL,Non_Wetland,NULL
769,Water,Water,Shrubland,NULL,Non_Wetland,Grassland
770,Water,Water,Shrubland,NULL,Non_Wetland,Wetland
771,Water,Water,Shrubland,NULL,Non_Wetland,Bareland
772,Water,Water,Shrubland,NULL,Non_Wetland,Built-up
773,Water,Water,Shrubland,NULL,Non_Wetland,Water
774,Water,Water,Shrubland,NULL,Non_Wetland,Forest
775,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL
776,Water,Water,Shrubland,Non_Water,Non_Wetland,Grassland
777,Water,Water,Shrubland,Non_Water,Non_Wetland,Wetland
778,Water,Water,Shrubland,Non_Water,Non_Wetland,Water
779,Water,Water,Shrubland,Non_Water,Non_Wetland,Forest
780,Water,Water,Shrubland,Water,Non_Wetland,Grassland
781,Water,Water,Shrubland,Water,Non_Wetland,Wetland
782,Water,Water,Shrubland,Water,Non_Wetland,Bareland
783,Water,Water,Shrubland,Water,Non_Wetland,Built-up
784,Water,Water,Shrubland,Water,Non_Wetland,Water
785,Water,Water,Shrubland,Water,Non_Wetland,Forest
786,Water,Water,Grassland,NULL,Non_Wetland,Grassland
787,Water,Water,Grassland,NULL,Non_Wetland,Bareland
788,Water,Water,Grassland,NULL,Non_Wetland,Forest
789,Water,Water,Grassland,Non_Water,Non_Wetland,Water
790,Water,Water,Grassland,Water,Non_Wetland,Water
791,Water,Water,Cropland,NULL,Non_Wetland,Grassland
792,Water,Water,Cropland,NULL,Non_Wetland,Wetland
793,Water,Water,Cropland,NULL,Non_Wetland,Bareland
794,Water,Water,Cropland,NULL,Non_Wetland,Water
795,Water,Water,Cropland,NULL,Non_Wetland,Forest
796,Water,Water,Cropland,Non_Water,Non_Wetland,Wetland
797,Water,Water,Cropland,Water,Non_Wetland,Grassland
798,Water,Water,Cropland,Water,Non_Wetland,Bareland
799,Water,Water,Cropland,Water,Non_Wetland,Water
800,Water,Water,Wetland,NULL,Wetland,NULL
801,Water,Water,Wetland,NULL,Wetland,Grassland
802,Water,Water,Wetland,NULL,Wetland,Wetland
803,Water,Water,Wetland,NULL,Wetland,Bareland
804,Water,Water,Wetland,NULL,Wetland,Water
805,Water,Water,Wetland,NULL,Wetland,Forest
806,Water,Water,Wetland,Non_Water,Wetland,NULL
807,Water,Water,Wetland,Non_Water,Wetland,Grassland
808,Water,Water,Wetland,Non_Water,Wetland,Wetland
809,Water,Water,Wetland,Non_Water,Wetland,Water
810,Water,Water,Wetland,Non_Water,Wetland,Forest
811,Water,Water,Wetland,Water,Wetland,Grassland
812,Water,Water,Wetland,Water,Wetland,Wetland
813,Water,Water,Wetland,Water,Wetland,Bareland
814,Water,Water,Wetland,Water,Wetland,Water
815,Water,Water,Wetland,Water,Wetland,Forest
816,Water,Water,Bareland,NULL,Non_Wetland,Grassland
817,Water,Water,Bareland,NULL,Non_Wetland,Wetland
818,Water,Water,Bareland,NULL,Non_Wetland,Bareland
819,Water,Water,Bareland,NULL,Non_Wetland,Water
820,Water,Water,Bareland,NULL,Non_Wetland,Forest
821,Water,Water,Bareland,Non_Water,Non_Wetland,NULL
822,Water,Water,Bareland,Non_Water,Non_Wetland,Grassland
823,Water,Water,Bareland,Non_Water,Non_Wetland,Wetland
824,Water,Water,Bareland,Non_Water,Non_Wetland,Bareland
825,Water,Water,Bareland,Non_Water,Non_Wetland,Water
826,Water,Water,Bareland,Water,Non_Wetland,Grassland
827,Water,Water,Bareland,Water,Non_Wetland,Bareland
828,Water,Water,Bareland,Water,Non_Wetland,Water
829,Water,Water,Bareland,Water,Non_Wetland,Forest
830,Water,Water,Built-up,NULL,Non_Wetland,Grassland
831,Water,Water,Built-up,NULL,Non_Wetland,Water
832,Water,Water,Built-up,Water,Non_Wetland,Water
833,Water,Water,Water,NULL,Water,Grassland
834,Water,Water,Water,NULL,Water,Wetland
835,Water,Water,Water,NULL,Water,Bareland
836,Water,Water,Water,NULL,Water,Water
837,Water,Water,Water,NULL,Water,Forest
838,Water,Water,Water,Non_Water,Water,Wetland
839,Water,Water,Water,Water,Water,Grassland
840,Water,Water,Water,Water,Water,Wetland
841,Water,Water,Water,Water,Water,Bareland
842,Water,Water,Water,Water,Water,Water
843,Water,Water,Water,Water,Water,Forest
844,Water,Water,Forest,NULL,Non_Wetland,NULL
845,Water,Water,Forest,NULL,Non_Wetland,Grassland
846,Water,Water,Forest,NULL,Non_Wetland,Wetland
847,Water,Water,Forest,NULL,Non_Wetland,Bareland
848,Water,Water,Forest,NULL,Non_Wetland,Water
849,Water,Water,Forest,NULL,Non_Wetland,Forest
850,Water,Water,Forest,Non_Water,Non_Wetland,Grassland
851,Water,Water,Forest,Non_Water,Non_Wetland,Wetland
852,Water,Water,Forest,Water,Non_Wetland,Wetland
853,Water,Water,Forest,Water,Non_Wetland,Bareland
854,Water,Water,Forest,Water,Non_Wetland,Water
855,Water,Water,Forest,Water,Non_Wetland,Forest
856,Water,Forest,NULL,NULL,Non_Wetland,Wetland
857,Water,Forest,NULL,NULL,Non_Wetland,Forest
858,Water,Forest,Shrubland,NULL,Non_Wetland,NULL
859,Water,Forest,Shrubland,NULL,Non_Wetland,Grassland
860,Water,Forest,Shrubland,NULL,Non_Wetland,Wetland
861,Water,Forest,Shrubland,NULL,Non_Wetland,Water
862,Water,Forest,Shrubland,NULL,Non_Wetland,Forest
863,Water,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
864,Water,Forest,Shrubland,Water,Non_Wetland,Grassland
865,Water,Forest,Shrubland,Water,Non_Wetland,Wetland
866,Water,Forest,Shrubland,Water,Non_Wetland,Forest
867,Water,Forest,Wetland,NULL,Wetland,Grassland
868,Water,Forest,Wetland,NULL,Wetland,Wetland
869,Water,Forest,Wetland,NULL,Wetland,Forest
870,Water,Forest,Wetland,Water,Wetland,Wetland
871,Water,Forest,Bareland,NULL,Non_Wetland,Wetland
872,Water,Forest,Water,NULL,Water,Forest
873,Water,Forest,Forest,NULL,Non_Wetland,Grassland
874,Water,Forest,Forest,NULL,Non_Wetland,Wetland
875,Water,Forest,Forest,NULL,Non_Wetland,Water
876,Water,Forest,Forest,NULL,Non_Wetland,Forest
877,Water,Forest,Forest,Non_Water,Non_Wetland,Wetland
878,Water,Forest,Forest,Water,Non_Wetland,Grassland
879,Forest,NULL,NULL,NULL,Non_Wetland,NULL
880,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
881,Forest,NULL,NULL,NULL,Non_Wetland,Wetland
882,Forest,NULL,NULL,NULL,Non_Wetland,Forest
883,Forest,NULL,NULL,Non_Water,Non_Wetland,Wetland
884,Forest,NULL,NULL,Non_Water,Non_Wetland,Forest
885,Forest,NULL,NULL,Water,Non_Wetland,Grassland
886,Forest,NULL,NULL,Water,Non_Wetland,Wetland
887,Forest,NULL,NULL,Water,Non_Wetland,Forest
888,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
889,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
