Value,AFRICA_2024_DynamicWorld_2024_36NZL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NZL_M_R,AFRICA_2024_GLC_FCS30D_2022_36NZL_M_R,AFRICA_2024_GSW_Yearly_2021_36NZL_M_R,AFRICA_2024_GWL_FCS30D_2022_36NZL_M_R,AFRICA_2024_WorldCover_2021_36NZL_M_R
884,Grassland,Forest,Grassland,Water,Non_Wetland,Grassland
885,Grassland,Forest,Grassland,Water,Non_Wetland,Cropland
886,Grassland,Forest,Grassland,Water,Non_Wetland,Wetland
887,Grassland,Forest,Grassland,Water,Non_Wetland,Water
888,Grassland,Forest,Grassland,Water,Non_Wetland,Forest
889,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
890,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
891,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
892,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
893,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
894,Grassland,Forest,Cropland,Non_Water,Non_Wetland,NULL
895,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Grassland
896,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Wetland
897,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Forest
898,Grassland,Forest,Cropland,Water,Non_Wetland,NULL
899,Grassland,Forest,Cropland,Water,Non_Wetland,Grassland
900,Grassland,Forest,Cropland,Water,Non_Wetland,Wetland
901,Grassland,Forest,Cropland,Water,Non_Wetland,Forest
902,Grassland,Forest,Wetland,NULL,Wetland,NULL
903,Grassland,Forest,Wetland,NULL,Wetland,Grassland
904,Grassland,Forest,Wetland,NULL,Wetland,Wetland
905,Grassland,Forest,Wetland,NULL,Wetland,Bareland
906,Grassland,Forest,Wetland,NULL,Wetland,Forest
907,Grassland,Forest,Wetland,Non_Water,Wetland,NULL
908,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland
909,Grassland,Forest,Wetland,Non_Water,Wetland,Cropland
910,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland
911,Grassland,Forest,Wetland,Non_Water,Wetland,Forest
912,Grassland,Forest,Wetland,Water,Wetland,Grassland
913,Grassland,Forest,Wetland,Water,Wetland,Cropland
914,Grassland,Forest,Wetland,Water,Wetland,Wetland
915,Grassland,Forest,Wetland,Water,Wetland,Forest
916,Grassland,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
917,Grassland,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
918,Grassland,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
919,Grassland,Forest,Lichens_and_Mosses,Water,Non_Wetland,Forest
920,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL
921,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
922,Grassland,Forest,Bareland,NULL,Non_Wetland,Cropland
923,Grassland,Forest,Bareland,NULL,Non_Wetland,Wetland
924,Grassland,Forest,Bareland,NULL,Non_Wetland,Bareland
925,Grassland,Forest,Bareland,NULL,Non_Wetland,Forest
926,Grassland,Forest,Bareland,Non_Water,Non_Wetland,Grassland
927,Grassland,Forest,Bareland,Non_Water,Non_Wetland,Wetland
928,Grassland,Forest,Bareland,Non_Water,Non_Wetland,Forest
929,Grassland,Forest,Bareland,Water,Non_Wetland,NULL
930,Grassland,Forest,Bareland,Water,Non_Wetland,Grassland
931,Grassland,Forest,Bareland,Water,Non_Wetland,Cropland
932,Grassland,Forest,Bareland,Water,Non_Wetland,Wetland
933,Grassland,Forest,Bareland,Water,Non_Wetland,Bareland
934,Grassland,Forest,Bareland,Water,Non_Wetland,Water
935,Grassland,Forest,Bareland,Water,Non_Wetland,Forest
936,Grassland,Forest,Built-up,NULL,Non_Wetland,Grassland
937,Grassland,Forest,Built-up,NULL,Non_Wetland,Wetland
938,Grassland,Forest,Built-up,NULL,Non_Wetland,Forest
939,Grassland,Forest,Built-up,Non_Water,Non_Wetland,Wetland
940,Grassland,Forest,Built-up,Water,Non_Wetland,Wetland
941,Grassland,Forest,Built-up,Water,Non_Wetland,Forest
942,Grassland,Forest,Water,NULL,Water,Wetland
943,Grassland,Forest,Water,NULL,Water,Forest
944,Grassland,Forest,Water,Non_Water,Water,Grassland
945,Grassland,Forest,Water,Non_Water,Water,Forest
946,Grassland,Forest,Water,Water,Water,Wetland
947,Grassland,Forest,Water,Water,Water,Bareland
948,Grassland,Forest,Water,Water,Water,Water
949,Grassland,Forest,Water,Water,Water,Forest
950,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
951,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
952,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
953,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
954,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
955,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL
956,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland
957,Grassland,Forest,Forest,Non_Water,Non_Wetland,Wetland
958,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest
959,Grassland,Forest,Forest,Water,Non_Wetland,Grassland
960,Grassland,Forest,Forest,Water,Non_Wetland,Wetland
961,Grassland,Forest,Forest,Water,Non_Wetland,Forest
962,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
963,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
964,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
965,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
966,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
967,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
968,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
969,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
970,Cropland,NULL,NULL,Non_Water,Non_Wetland,Forest
971,Cropland,NULL,NULL,Water,Non_Wetland,Grassland
972,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
973,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
974,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
975,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
976,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
977,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
978,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
979,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
980,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
981,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
982,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
983,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
984,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL
985,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
986,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
987,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland
988,Cropland,NULL,Shrubland,Water,Non_Wetland,Forest
989,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
990,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
991,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
992,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
993,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
994,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
995,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
996,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL
997,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
998,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
999,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
1000,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
1001,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Forest
1002,Cropland,NULL,Grassland,Water,Non_Wetland,NULL
1003,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
1004,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
1005,Cropland,NULL,Grassland,Water,Non_Wetland,Wetland
1006,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
1007,Cropland,NULL,Grassland,Water,Non_Wetland,Forest
1008,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
1009,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
1010,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
1011,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
1012,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
1013,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
1014,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
1015,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL
1016,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
1017,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
1018,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
1019,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
1020,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
1021,Cropland,NULL,Cropland,Water,Non_Wetland,Wetland
1022,Cropland,NULL,Wetland,NULL,Wetland,NULL
1023,Cropland,NULL,Wetland,NULL,Wetland,Grassland
1024,Cropland,NULL,Wetland,NULL,Wetland,Wetland
1025,Cropland,NULL,Wetland,NULL,Wetland,Forest
1026,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland
1027,Cropland,NULL,Wetland,Non_Water,Wetland,Forest
1028,Cropland,NULL,Wetland,Water,Wetland,Grassland
1029,Cropland,NULL,Wetland,Water,Wetland,Cropland
1030,Cropland,NULL,Wetland,Water,Wetland,Wetland
1031,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
1032,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
1033,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
1034,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
1035,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
1036,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
1037,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
1038,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
1039,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
1040,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
1041,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
1042,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Forest
1043,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
1044,Cropland,NULL,Bareland,Water,Non_Wetland,Cropland
1045,Cropland,NULL,Bareland,Water,Non_Wetland,Wetland
1046,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
1047,Cropland,NULL,Bareland,Water,Non_Wetland,Forest
1048,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
1049,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
1050,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
1051,Cropland,NULL,Built-up,NULL,Non_Wetland,Wetland
1052,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
1053,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
1054,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
1055,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
1056,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
1057,Cropland,NULL,Built-up,Water,Non_Wetland,Grassland
1058,Cropland,NULL,Built-up,Water,Non_Wetland,Cropland
1059,Cropland,NULL,Water,Non_Water,Water,Grassland
1060,Cropland,NULL,Water,Water,Water,Grassland
1061,Cropland,NULL,Water,Water,Water,Wetland
1062,Cropland,NULL,Water,Water,Water,Forest
1063,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
1064,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
1065,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
1066,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
1067,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
1068,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up
1069,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
1070,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
1071,Cropland,NULL,Forest,Non_Water,Non_Wetland,Cropland
1072,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
1073,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
1074,Cropland,NULL,Forest,Water,Non_Wetland,Wetland
1075,Cropland,NULL,Forest,Water,Non_Wetland,Forest
1076,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
1077,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
1078,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
1079,Cropland,Cropland,NULL,NULL,Non_Wetland,Wetland
1080,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
1081,Cropland,Cropland,NULL,NULL,Non_Wetland,Built-up
1082,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
1083,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Grassland
1084,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Wetland
1085,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Forest
1086,Cropland,Cropland,NULL,Water,Non_Wetland,Grassland
1087,Cropland,Cropland,NULL,Water,Non_Wetland,Wetland
1088,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
1089,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
1090,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
1091,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
1092,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
1093,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
1094,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
1095,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
1096,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
1097,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
1098,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
1099,Cropland,Cropland,Shrubland,Water,Non_Wetland,NULL
1100,Cropland,Cropland,Shrubland,Water,Non_Wetland,Grassland
1101,Cropland,Cropland,Shrubland,Water,Non_Wetland,Cropland
1102,Cropland,Cropland,Shrubland,Water,Non_Wetland,Wetland
1103,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
1104,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
1105,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
1106,Cropland,Cropland,Grassland,NULL,Non_Wetland,Wetland
1107,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
1108,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up
1109,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
1110,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL
1111,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
1112,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
1113,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Wetland
1114,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
1115,Cropland,Cropland,Grassland,Water,Non_Wetland,Grassland
1116,Cropland,Cropland,Grassland,Water,Non_Wetland,Cropland
1117,Cropland,Cropland,Grassland,Water,Non_Wetland,Wetland
1118,Cropland,Cropland,Grassland,Water,Non_Wetland,Forest
1119,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
1120,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
1121,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
1122,Cropland,Cropland,Cropland,NULL,Non_Wetland,Wetland
1123,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
1124,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up
1125,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
1126,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
1127,Cropland,Cropland,Cropland,Water,Non_Wetland,Grassland
1128,Cropland,Cropland,Cropland,Water,Non_Wetland,Wetland
1129,Cropland,Cropland,Wetland,NULL,Wetland,NULL
1130,Cropland,Cropland,Wetland,NULL,Wetland,Grassland
1131,Cropland,Cropland,Wetland,NULL,Wetland,Cropland
1132,Cropland,Cropland,Wetland,NULL,Wetland,Wetland
1133,Cropland,Cropland,Wetland,NULL,Wetland,Forest
1134,Cropland,Cropland,Wetland,Non_Water,Wetland,Grassland
1135,Cropland,Cropland,Wetland,Non_Water,Wetland,Wetland
1136,Cropland,Cropland,Wetland,Water,Wetland,Grassland
1137,Cropland,Cropland,Wetland,Water,Wetland,Cropland
1138,Cropland,Cropland,Wetland,Water,Wetland,Wetland
1139,Cropland,Cropland,Wetland,Water,Wetland,Forest
1140,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
1141,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
1142,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
1143,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
1144,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
1145,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
1146,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
1147,Cropland,Cropland,Bareland,NULL,Non_Wetland,Wetland
1148,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
1149,Cropland,Cropland,Bareland,NULL,Non_Wetland,Forest
1150,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
1151,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
1152,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
1153,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
1154,Cropland,Cropland,Bareland,Water,Non_Wetland,Grassland
1155,Cropland,Cropland,Bareland,Water,Non_Wetland,Cropland
1156,Cropland,Cropland,Bareland,Water,Non_Wetland,Wetland
1157,Cropland,Cropland,Bareland,Water,Non_Wetland,Forest
1158,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
1159,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
1160,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
1161,Cropland,Cropland,Built-up,NULL,Non_Wetland,Wetland
1162,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
1163,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up
1164,Cropland,Cropland,Built-up,NULL,Non_Wetland,Forest
1165,Cropland,Cropland,Built-up,Non_Water,Non_Wetland,Grassland
1166,Cropland,Cropland,Built-up,Water,Non_Wetland,Grassland
1167,Cropland,Cropland,Water,Non_Water,Water,Grassland
1168,Cropland,Cropland,Water,Water,Water,Grassland
1169,Cropland,Cropland,Water,Water,Water,Wetland
1170,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
1171,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
1172,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
1173,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland
1174,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland
1175,Cropland,Cropland,Forest,NULL,Non_Wetland,Built-up
1176,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
1177,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
1178,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Cropland
1179,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Wetland
1180,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Forest
1181,Cropland,Cropland,Forest,Water,Non_Wetland,Grassland
1182,Cropland,Cropland,Forest,Water,Non_Wetland,Wetland
1183,Cropland,Wetland,NULL,NULL,Non_Wetland,NULL
1184,Cropland,Wetland,NULL,NULL,Non_Wetland,Grassland
1185,Cropland,Wetland,NULL,NULL,Non_Wetland,Wetland
1186,Cropland,Wetland,NULL,NULL,Non_Wetland,Bareland
1187,Cropland,Wetland,NULL,NULL,Non_Wetland,Forest
1188,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL
1189,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
1190,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Cropland
1191,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
1192,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Forest
1193,Cropland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
1194,Cropland,Wetland,Shrubland,Non_Water,Non_Wetland,Cropland
1195,Cropland,Wetland,Shrubland,Water,Non_Wetland,Grassland
1196,Cropland,Wetland,Shrubland,Water,Non_Wetland,Cropland
1197,Cropland,Wetland,Shrubland,Water,Non_Wetland,Wetland
1198,Cropland,Wetland,Grassland,NULL,Non_Wetland,NULL
1199,Cropland,Wetland,Grassland,NULL,Non_Wetland,Grassland
1200,Cropland,Wetland,Grassland,NULL,Non_Wetland,Cropland
1201,Cropland,Wetland,Grassland,NULL,Non_Wetland,Wetland
1202,Cropland,Wetland,Grassland,NULL,Non_Wetland,Bareland
1203,Cropland,Wetland,Grassland,NULL,Non_Wetland,Built-up
1204,Cropland,Wetland,Grassland,NULL,Non_Wetland,Forest
1205,Cropland,Wetland,Grassland,Non_Water,Non_Wetland,NULL
1206,Cropland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
1207,Cropland,Wetland,Grassland,Non_Water,Non_Wetland,Cropland
1208,Cropland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
1209,Cropland,Wetland,Grassland,Water,Non_Wetland,NULL
1210,Cropland,Wetland,Grassland,Water,Non_Wetland,Grassland
1211,Cropland,Wetland,Grassland,Water,Non_Wetland,Cropland
1212,Cropland,Wetland,Grassland,Water,Non_Wetland,Wetland
1213,Cropland,Wetland,Grassland,Water,Non_Wetland,Bareland
1214,Cropland,Wetland,Grassland,Water,Non_Wetland,Water
1215,Cropland,Wetland,Cropland,NULL,Non_Wetland,NULL
1216,Cropland,Wetland,Cropland,NULL,Non_Wetland,Grassland
1217,Cropland,Wetland,Cropland,NULL,Non_Wetland,Cropland
1218,Cropland,Wetland,Cropland,NULL,Non_Wetland,Wetland
1219,Cropland,Wetland,Cropland,NULL,Non_Wetland,Forest
1220,Cropland,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
1221,Cropland,Wetland,Cropland,Water,Non_Wetland,Wetland
1222,Cropland,Wetland,Cropland,Water,Non_Wetland,Forest
1223,Cropland,Wetland,Wetland,NULL,Wetland,NULL
1224,Cropland,Wetland,Wetland,NULL,Wetland,Cropland
1225,Cropland,Wetland,Wetland,NULL,Wetland,Wetland
1226,Cropland,Wetland,Wetland,NULL,Wetland,Forest
1227,Cropland,Wetland,Wetland,Non_Water,Wetland,Wetland
1228,Cropland,Wetland,Wetland,Water,Wetland,NULL
1229,Cropland,Wetland,Wetland,Water,Wetland,Grassland
1230,Cropland,Wetland,Wetland,Water,Wetland,Cropland
1231,Cropland,Wetland,Wetland,Water,Wetland,Wetland
1232,Cropland,Wetland,Bareland,NULL,Non_Wetland,NULL
1233,Cropland,Wetland,Bareland,NULL,Non_Wetland,Grassland
1234,Cropland,Wetland,Bareland,NULL,Non_Wetland,Cropland
1235,Cropland,Wetland,Bareland,NULL,Non_Wetland,Wetland
1236,Cropland,Wetland,Bareland,NULL,Non_Wetland,Bareland
1237,Cropland,Wetland,Bareland,NULL,Non_Wetland,Forest
1238,Cropland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
1239,Cropland,Wetland,Bareland,Water,Non_Wetland,Grassland
1240,Cropland,Wetland,Bareland,Water,Non_Wetland,Wetland
1241,Cropland,Wetland,Bareland,Water,Non_Wetland,Bareland
1242,Cropland,Wetland,Built-up,NULL,Non_Wetland,NULL
1243,Cropland,Wetland,Built-up,NULL,Non_Wetland,Grassland
1244,Cropland,Wetland,Built-up,NULL,Non_Wetland,Bareland
1245,Cropland,Wetland,Built-up,Water,Non_Wetland,NULL
1246,Cropland,Wetland,Built-up,Water,Non_Wetland,Grassland
1247,Cropland,Wetland,Built-up,Water,Non_Wetland,Wetland
1248,Cropland,Wetland,Water,NULL,Water,Wetland
1249,Cropland,Wetland,Water,Water,Water,Wetland
1250,Cropland,Wetland,Water,Water,Water,Forest
1251,Cropland,Wetland,Forest,NULL,Non_Wetland,NULL
1252,Cropland,Wetland,Forest,NULL,Non_Wetland,Grassland
1253,Cropland,Wetland,Forest,NULL,Non_Wetland,Cropland
1254,Cropland,Wetland,Forest,NULL,Non_Wetland,Wetland
1255,Cropland,Wetland,Forest,NULL,Non_Wetland,Forest
1256,Cropland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
1257,Cropland,Wetland,Forest,Water,Non_Wetland,Forest
1258,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
1259,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
1260,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL
1261,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
1262,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
1263,Cropland,Bareland,Grassland,NULL,Non_Wetland,Forest
1264,Cropland,Bareland,Cropland,NULL,Non_Wetland,Grassland
1265,Cropland,Bareland,Cropland,NULL,Non_Wetland,Bareland
1266,Cropland,Bareland,Bareland,NULL,Non_Wetland,Grassland
1267,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
1268,Cropland,Bareland,Built-up,NULL,Non_Wetland,Grassland
1269,Cropland,Bareland,Built-up,NULL,Non_Wetland,Bareland
1270,Cropland,Bareland,Forest,NULL,Non_Wetland,Grassland
1271,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL
1272,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
1273,Cropland,Built-up,NULL,NULL,Non_Wetland,Forest
1274,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL
1275,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
1276,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
1277,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Forest
1278,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL
1279,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
1280,Cropland,Built-up,Grassland,NULL,Non_Wetland,Cropland
1281,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
1282,Cropland,Built-up,Grassland,NULL,Non_Wetland,Built-up
1283,Cropland,Built-up,Grassland,NULL,Non_Wetland,Forest
1284,Cropland,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
1285,Cropland,Built-up,Grassland,Water,Non_Wetland,Grassland
1286,Cropland,Built-up,Grassland,Water,Non_Wetland,Forest
1287,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL
1288,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
1289,Cropland,Built-up,Cropland,NULL,Non_Wetland,Forest
1290,Cropland,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
1291,Cropland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
1292,Cropland,Built-up,Bareland,NULL,Non_Wetland,Grassland
1293,Cropland,Built-up,Bareland,Water,Non_Wetland,Grassland
1294,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
